PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-10,18:06:24.97,1,1,"Lloyd, Jaxon",1000119504,Left,LON_LAN,"Lowe, Logan",1000448251,Right,NCA_BUL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.00257,-3.293826,3.056449,2345.393326,143.585514,10:45,6.03459,-1.93708,5.70688,-19.49273,17.91151,-12.2941,1.33356,-0.11117,79.50037,-6.957654,0.860278,0.440182,,,,,,,,,,,,7.15217,10.42997,1.68874,50,5.7461,-6.21666,-125.98967,-7.85688,11.47277,26.07964,-15.44331,LON_LAN,NCA_BUL,BuddyBoldingStadium,D1,BSOU,20260410-BuddyBoldingStadium-1,84565e20-3529-11f1-ad0e-3d91cef25efe,85.6293,,,7.5022,,,,,,,11f32601-6a9e-4655-a113-3bef7721ec84,2026-04-10,22:06:24.97,2026-04-10T18:06:24.9793024-04:00,2026-04-10T22:06:24.9793024Z,,v3,471338,1570,,"McMullan, Jack",1000091243,Right,LON_LAN,d78c435b-945b-4c2e-b8f9-e88bf48c9e12,54.79174,-126.97768,13.03982,6.03266,-7.27182,-7.72166,1.93248,-6.6513,5.73638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-10,18:06:39.32,1,2,"Lloyd, Jaxon",1000119504,Left,LON_LAN,"Lowe, Logan",1000448251,Right,NCA_BUL,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.46335,-2.439471,3.557701,2286.21681,151.228866,11:00,5.99589,-2.00542,5.9025,-18.82922,17.85607,-9.14583,2.15651,0.53926,79.91398,-6.000342,1.92014,0.435931,,,,,,,,,,,,5.67622,10.18859,1.72441,50,5.78863,-7.4996,-126.71561,-5.9592,9.22252,26.06423,-15.61999,LON_LAN,NCA_BUL,BuddyBoldingStadium,D1,BSOU,20260410-BuddyBoldingStadium-1,8ce22c40-3529-11f1-ad0e-3d91cef25efe,86.46429,,,7.54937,,,,,,,11f32601-6a9e-4655-a113-3bef7721ec84,2026-04-10,22:06:39.32,2026-04-10T18:06:39.3223680-04:00,2026-04-10T22:06:39.3223680Z,,v3,471338,1570,,"McMullan, Jack",1000091243,Right,LON_LAN,a33b86f7-2838-4ee1-b49d-a2c5181fab3c,54.59502,-127.65726,13.03212,5.99373,-5.39488,-7.81,2.00138,-7.83279,4.61126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-10,18:06:57.37,1,3,"Lloyd, Jaxon",1000119504,Left,LON_LAN,"Lowe, Logan",1000448251,Right,NCA_BUL,Undefined,1,Top,0,1,1,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,77.91851,-1.862165,3.064917,2110.615442,129.262185,10:15,5.89774,-2.02676,5.81992,-31.74514,15.05139,-16.34792,1.51791,-0.53681,70.70478,-7.791017,0.136167,0.492355,,,,,,,,,,,,9.32367,8.76044,1.7857,50,5.72658,-5.43238,-112.85764,-4.59094,11.87434,22.94248,-21.01703,LON_LAN,NCA_BUL,BuddyBoldingStadium,D1,BSOU,20260410-BuddyBoldingStadium-1,97a76fa0-3529-11f1-ad0e-3d91cef25efe,76.55543,,,7.21373,,,,,,,11f32601-6a9e-4655-a113-3bef7721ec84,2026-04-10,22:06:57.37,2026-04-10T18:06:57.3766144-04:00,2026-04-10T22:06:57.3766144Z,,v3,471338,1570,,"McMullan, Jack",1000091243,Right,LON_LAN,a4f32954-9955-4b93-b6e9-ed659d5a867b,54.67707,-113.80446,11.47124,5.89815,-3.72359,-10.50851,2.02,-5.92242,5.93717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-10,18:07:15.52,1,4,"Lloyd, Jaxon",1000119504,Left,LON_LAN,"Lowe, Logan",1000448251,Right,NCA_BUL,Undefined,1,Top,0,1,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,76.86768,-3.803272,3.395357,2133.25998,135.082778,10:30,5.8589,-1.91964,5.84336,-33.30128,14.18757,-12.64898,-0.4621,0.18536,71.12176,-9.924036,1.12736,0.495983,,,,,,,,,,,,7.50941,8.72319,1.65094,50,5.52866,-6.16915,-111.32508,-8.37603,9.45145,19.43802,-21.19491,LON_LAN,NCA_BUL,BuddyBoldingStadium,D1,BSOU,20260410-BuddyBoldingStadium-1,a276c520-3529-11f1-ad0e-3d91cef25efe,75.99536,,,5.74592,,,,,,,11f32601-6a9e-4655-a113-3bef7721ec84,2026-04-10,22:07:15.52,2026-04-10T18:07:15.5282432-04:00,2026-04-10T22:07:15.5282432Z,,v3,471338,1570,,"McMullan, Jack",1000091243,Right,LON_LAN,b713c934-bd5b-4b1d-99db-5f36f1d0277c,54.65761,-112.13538,9.71901,5.8594,-7.49249,-10.59746,1.91633,-6.56314,4.72573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-10,18:07:35.60,1,5,"Lloyd, Jaxon",1000119504,Left,LON_LAN,"Lowe, Logan",1000448251,Right,NCA_BUL,Undefined,1,Top,0,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.77139,-2.375992,3.524262,2382.681604,152.424134,11:00,6.00028,-1.99547,5.87399,-19.38812,17.52343,-8.58646,2.17236,0.56642,80.13123,-6.012424,1.98759,0.437273,52.43673,47.950701,134.982275,4368.870983,,,,,35.14328,,,5.30315,9.9189,1.71532,50,5.79645,-7.40921,-125.87297,-5.81704,8.59538,23.09819,-16.09742,LON_LAN,NCA_BUL,BuddyBoldingStadium,D1,BSOU,20260410-BuddyBoldingStadium-1,ae6daab0-3529-11f1-ad0e-3d91cef25efe,86.19887,31.9693,,6.64016,,,,1.75196,2.25958,-0.55622,11f32601-6a9e-4655-a113-3bef7721ec84,2026-04-10,22:07:35.60,2026-04-10T18:07:35.6079104-04:00,2026-04-10T22:07:35.6079104Z,,v3,471338,1570,,"McMullan, Jack",1000091243,Right,LON_LAN,b0fef401-cd1d-46de-88b6-3cf9137d274b,54.62589,-126.71899,11.54909,5.99872,-5.22743,-8.04871,1.99246,-7.72404,4.29769,329.645667,1.75196,-36.41183,-2.29013,1.70438,-0.5011,0.12033,-0.02413,0.00602,-0.00034,2.25958,57.1088,-24.44036,2.6419,-0.50482,0.06994,-0.01021,0.00047,0.0006,-0.55622,36.43436,-4.70223,0.63417,-0.07923,-0.00669,0.00181,-0.00215,0.0006,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
6,2026-04-10,18:07:56.47,1,6,"Lloyd, Jaxon",1000119504,Left,LON_LAN,"Lowe, Logan",1000448251,Right,NCA_BUL,Undefined,1,Top,0,2,2,ChangeUp,Changeup,InPlay,Undefined,Popup,Out,1,0,,77.36277,-0.66155,3.224397,2138.04305,111.623469,9:45,5.8474,-2.09057,5.83608,-39.64656,7.48902,-14.88146,1.92764,-0.33061,70.64832,-7.993108,0.557544,0.494135,61.01966,74.165311,34.657042,,,,,79.13436,79.13436,52.476272,4.814691,8.62843,4.45859,1.83659,50,5.76997,-5.7812,-112.18615,-2.49074,10.91863,21.63578,-26.53206,LON_LAN,NCA_BUL,BuddyBoldingStadium,D1,BSOU,20260410-BuddyBoldingStadium-1,bae33620-3529-11f1-ad0e-3d91cef25efe,76.27959,96.21381,,6.71446,,,,3.23261,2.17821,0.34973,11f32601-6a9e-4655-a113-3bef7721ec84,2026-04-10,22:07:56.47,2026-04-10T18:07:56.4739072-04:00,2026-04-10T22:07:56.4739072Z,Popup,v3,471338,1570,,"McMullan, Jack",1000091243,Right,LON_LAN,0444f0d3-5668-4583-86e3-2c3fb4f3663c,54.6632,-113.0819,10.81789,5.85035,-1.39228,-13.26603,2.08529,-6.23325,5.45931,,3.22782,20.16262,-7.41309,2.27079,-0.33284,-0.03521,0.02995,-0.00583,0.00039,2.17053,86.27204,-23.99922,3.6361,-1.59348,0.60187,-0.14383,0.01816,-0.00092,0.35338,13.81402,0.50278,-0.68839,0.38954,-0.13967,0.02933,-0.00321,0.00014,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
7,2026-04-10,18:08:30.20,2,1,"Lloyd, Jaxon",1000119504,Left,LON_LAN,"Johnson, Blaize",10082492,Left,NCA_BUL,Undefined,1,Top,1,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,77.64314,-2.567595,3.986118,2212.847681,119.809103,10:00,5.8504,-2.05624,5.94368,-35.39478,11.39048,-17.05788,0.51184,0.22565,70.9803,-9.124486,0.924887,0.492295,,,,,,,,,,,,10.01512,7.07607,1.7482,50,5.6254,-7.22238,-112.40558,-6.08044,12.71779,21.79767,-23.18843,LON_LAN,NCA_BUL,BuddyBoldingStadium,D1,BSOU,20260410-BuddyBoldingStadium-1,cefdd930-3529-11f1-ad0e-3d91cef25efe,76.56466,,,6.66284,,,,,,,11f32601-6a9e-4655-a113-3bef7721ec84,2026-04-10,22:08:30.20,2026-04-10T18:08:30.2085120-04:00,2026-04-10T22:08:30.2085120Z,,v3,471338,1570,,"McMullan, Jack",1000091243,Right,LON_LAN,feb6a08e-4205-4b0e-8a01-2a3774f0812d,54.55541,-113.28553,10.89884,5.85196,-5.14435,-11.59421,2.05012,-7.73578,6.35889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-10,18:08:50.65,2,2,"Lloyd, Jaxon",1000119504,Left,LON_LAN,"Johnson, Blaize",10082492,Left,NCA_BUL,Undefined,1,Top,1,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.09565,-2.024763,3.545604,2332.209708,138.935987,10:45,5.90632,-1.8734,5.9213,-20.35584,16.65103,-13.43686,2.32671,0.30126,79.41643,-5.869738,1.13782,0.437837,93.97275,53.628807,40.397408,3909.655927,70.81907,136.57154,84.17036,231.17746,103.39469,57.539675,6.117006,7.96138,9.49839,1.59721,50,5.73245,-7.28091,-126.23528,-5.07954,12.80452,26.48335,-16.89746,LON_LAN,NCA_BUL,BuddyBoldingStadium,D1,BSOU,20260410-BuddyBoldingStadium-1,db24a860-3529-11f1-ad0e-3d91cef25efe,86.08779,146.44671,,7.67922,,,,3.35663,2.70317,-0.43395,11f32601-6a9e-4655-a113-3bef7721ec84,2026-04-10,22:08:50.65,2026-04-10T18:08:50.6551296-04:00,2026-04-10T22:08:50.6551296Z,FlyBall,v3,471338,1570,,"McMullan, Jack",1000091243,Right,LON_LAN,9ce42d27-76db-4023-9dfe-04275827f8d5,54.57786,-127.19206,13.24167,5.90494,-4.46908,-8.44873,1.86861,-7.74351,6.40226,,3.35601,62.19507,-24.63295,7.28391,-1.30079,0.06545,0.02298,-0.00435,0.00023,2.68757,111.23088,-27.02017,3.23062,-0.73323,0.14383,-0.01419,0.00011,5E-05,-0.43636,53.00681,-8.45163,1.77357,-0.33275,0.05973,-0.00918,0.00094,-4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
9,2026-04-10,18:09:23.04,2,3,"Lloyd, Jaxon",1000119504,Left,LON_LAN,"Johnson, Blaize",10082492,Left,NCA_BUL,Undefined,1,Top,1,1,1,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,79.1004,-1.083287,2.826729,2018.214718,115.692827,9:45,5.92984,-1.88532,5.804,-36.33632,8.62524,-14.878,1.893,-0.49413,72.46871,-7.799068,0.160537,0.482605,,,,,,,,,,,,8.44048,5.13878,1.66227,50,5.81911,-5.11038,-114.76137,-3.29281,11.22235,21.83677,-25.34159,LON_LAN,NCA_BUL,BuddyBoldingStadium,D1,BSOU,20260410-BuddyBoldingStadium-1,ee7aea00-3529-11f1-ad0e-3d91cef25efe,78.10199,,,6.63169,,,,,,,11f32601-6a9e-4655-a113-3bef7721ec84,2026-04-10,22:09:23.04,2026-04-10T18:09:23.0427136-04:00,2026-04-10T22:09:23.0427136Z,,v3,471338,1570,,"McMullan, Jack",1000091243,Right,LON_LAN,b24d7ca0-f2bf-4b10-8ebd-f97ead45c8b9,54.69506,-115.65129,10.91838,5.93226,-2.26005,-12.6708,1.87985,-5.56773,5.61118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-10,18:09:43.34,2,4,"Lloyd, Jaxon",1000119504,Left,LON_LAN,"Johnson, Blaize",10082492,Left,NCA_BUL,Undefined,1,Top,1,1,2,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,76.90101,-1.166046,3.680965,2026.527936,122.383481,10:00,5.89025,-1.83078,5.77574,-37.83014,10.34048,-13.57572,1.65034,0.46778,69.8139,-8.180446,1.252753,0.499531,93.13377,-3.532972,40.221937,,,,,31.34019,21.63531,35.599998,0.212372,8.15768,6.11075,1.53506,50,5.77101,-6.67134,-111.35672,-3.39344,10.10508,22.51422,-24.60455,LON_LAN,NCA_BUL,BuddyBoldingStadium,D1,BSOU,20260410-BuddyBoldingStadium-1,fa9499d0-3529-11f1-ad0e-3d91cef25efe,75.45565,1.78901,,7.08711,,,,3.3578,1.78901,-0.4677,11f32601-6a9e-4655-a113-3bef7721ec84,2026-04-10,22:09:43.34,2026-04-10T18:09:43.3476608-04:00,2026-04-10T22:09:43.3476608Z,GroundBall,v3,471338,1570,,"McMullan, Jack",1000091243,Right,LON_LAN,bfbf40f0-cf24-4010-8e2f-48dc3725dc6d,54.72259,-112.30748,11.25711,5.89237,-2.35441,-12.30227,1.82579,-7.09807,5.05254,180,3.35504,104.1803,,,,,,,,1.78924,-8.42398,,,,,,,,-0.47004,88.10757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
