PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-10,13:04:20.69,1,1,"Simmon, Zachary",10325372,Right,FRE_PAC,"Brown, Tyson",10972467,Right,MEN_COL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.90517,-2.824912,-1.875529,2541.413614,197.678717,12:30,5.9933,0.93403,6.67643,-14.01068,20.85442,6.2387,2.23809,-0.2624,80.16746,-5.583065,-0.739771,0.424978,,,,,,,,,,,,-3.86276,12.23631,-0.81062,50,5.79794,3.97555,-128.90982,-6.6438,-6.39864,30.69343,-11.90464,FRE_PAC,MEN_COL,FresnoPacificUniversity,D2,Team,20260410-FresnoPacificUniversity-1,76eda8d0-3518-11f1-8a8e-a1b1e42eb2b3,88.69261,,,8.7377,,,,,,,c0f455d4-b004-4892-80b0-5d125d79981c,2026-04-10,20:04:20.69,2026-04-10T13:04:20.6984704-07:00,2026-04-10T20:04:20.6984704Z,,v3,643-144923,643-146687,7836,"Verners, Bodhi",10327732,Right,FRE_PAC,de8ff7f7-736b-4c94-a7d1-f72806b7fe3e,53.81808,-129.81573,15.34671,5.98885,-6.29244,-5.95232,-0.93074,4.16441,-3.19932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-10,13:04:42.67,1,2,"Simmon, Zachary",10325372,Right,FRE_PAC,"Brown, Tyson",10972467,Right,MEN_COL,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.45767,-2.007249,-2.565002,2519.904745,176.871927,12:00,6.07194,0.80138,6.91312,-13.3941,20.41214,-1.05382,3.12528,-1.62382,81.37541,-4.642277,-2.757449,0.418475,,,,,,,,,,,,-0.20469,11.75489,-0.64015,50,5.94023,5.85845,-129.88575,-4.80869,-0.34745,28.80156,-12.21944,FRE_PAC,MEN_COL,FresnoPacificUniversity,D2,Team,20260410-FresnoPacificUniversity-1,84119cb0-3518-11f1-8a8e-a1b1e42eb2b3,90.0709,,,8.08226,,,,,,,c0f455d4-b004-4892-80b0-5d125d79981c,2026-04-10,20:04:42.67,2026-04-10T13:04:42.6764288-07:00,2026-04-10T20:04:42.6764288Z,,v3,643-144923,643-146687,7836,"Verners, Bodhi",10327732,Right,FRE_PAC,5246692d-84df-49a3-9f1b-59e6e244137c,53.58255,-130.67775,14.40078,6.06784,-4.47268,-6.10972,-0.80138,5.86801,-0.17372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-10,13:05:07.21,1,3,"Simmon, Zachary",10325372,Right,FRE_PAC,"Brown, Tyson",10972467,Right,MEN_COL,Undefined,1,Top,0,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.48914,0.79788,-1.570332,2327.838205,199.283677,12:45,6.02328,1.00353,6.71984,-15.69765,18.08095,5.95949,5.44475,0.06448,81.61905,-2.251988,-0.484597,0.418304,,,,,,,,,,,,-3.54937,9.60855,-0.90153,50,6.06918,3.33337,-130.09792,1.4552,-6.08186,27.34882,-15.70977,FRE_PAC,MEN_COL,FresnoPacificUniversity,D2,Team,20260410-FresnoPacificUniversity-1,929fcef0-3518-11f1-8a8e-a1b1e42eb2b3,90.10768,,,7.87009,,,,,,,c0f455d4-b004-4892-80b0-5d125d79981c,2026-04-10,20:05:07.21,2026-04-10T13:05:07.2162304-07:00,2026-04-10T20:05:07.2162304Z,,v3,643-144923,643-146687,7836,"Verners, Bodhi",10327732,Right,FRE_PAC,52d1bb30-8eb9-4d9b-97d7-473d19ae1b7d,53.77612,-130.88932,13.67441,6.02049,1.9098,-7.85489,-1.00054,3.50936,-3.04093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-10,13:05:30.33,1,4,"Simmon, Zachary",10325372,Right,FRE_PAC,"Brown, Tyson",10972467,Right,MEN_COL,Undefined,1,Top,0,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.04771,-0.52558,-2.461428,2387.051175,192.999144,12:30,5.8434,1.05514,6.95089,-14.55284,20.32647,4.41996,4.15193,-0.81779,79.79087,-3.395888,-1.653363,0.425065,,,,,,,,,,,,-3.07792,11.2967,-0.9034,50,5.80479,5.33344,-127.90212,-1.44902,-5.05423,28.52333,-13.62374,FRE_PAC,MEN_COL,FresnoPacificUniversity,D2,Team,20260410-FresnoPacificUniversity-1,a06c10c0-3518-11f1-8a8e-a1b1e42eb2b3,88.67453,,,8.25684,,,,,,,c0f455d4-b004-4892-80b0-5d125d79981c,2026-04-10,20:05:30.33,2026-04-10T13:05:30.3340544-07:00,2026-04-10T20:05:30.3340544Z,,v3,643-144923,643-146687,7836,"Verners, Bodhi",10327732,Right,FRE_PAC,e9eccf9e-ea9a-4666-a9d1-e290c8b08f95,53.54443,-128.69013,14.26166,5.83962,-1.07264,-6.81187,-1.05268,5.47307,-2.52711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-10,13:05:54.13,1,5,"Simmon, Zachary",10325372,Right,FRE_PAC,"Brown, Tyson",10972467,Right,MEN_COL,Undefined,1,Top,0,3,1,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,88.35166,-0.424937,-2.176801,2311.45861,190.504451,12:15,5.79456,1.04171,6.65262,-13.68768,21.61619,3.77083,4.26473,-0.63722,79.42972,-3.141957,-1.491135,0.427644,,,,,,,,,,,,-2.66394,11.81646,-0.89639,50,5.75952,4.72186,-128.19443,-1.20437,-4.36129,30.5027,-12.8286,FRE_PAC,MEN_COL,FresnoPacificUniversity,D2,Team,20260410-FresnoPacificUniversity-1,ae9df230-3518-11f1-8a8e-a1b1e42eb2b3,88.13974,,,8.92194,,,,,,,c0f455d4-b004-4892-80b0-5d125d79981c,2026-04-10,20:05:54.13,2026-04-10T13:05:54.1396480-07:00,2026-04-10T20:05:54.1396480Z,,v3,643-144923,643-146687,7836,"Verners, Bodhi",10327732,Right,FRE_PAC,6cc62ec2-2eb8-4079-9071-3a3eca51c692,53.84045,-129.105,15.25135,5.78976,-0.82141,-6.4143,-1.03929,4.85205,-2.18065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-10,13:06:20.87,2,1,"Simmon, Zachary",10325372,Right,FRE_PAC,"Aldridge, Shane",1000257296,Left,MEN_COL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.74554,-1.863861,-1.708228,2429.334475,193.598481,12:30,5.97824,0.90526,6.79314,-16.73525,18.18895,4.14193,2.88105,-0.30922,80.58622,-5.089571,-0.952384,0.425338,71.82114,66.003034,-49.991113,5228.756724,,,,,40.38232,,,-2.67386,10.50201,-0.79598,50,5.8507,3.6596,-127.61288,-4.5508,-4.42166,25.57025,-14.80725,FRE_PAC,MEN_COL,FresnoPacificUniversity,D2,Team,20260410-FresnoPacificUniversity-1,be8e7390-3518-11f1-8a8e-a1b1e42eb2b3,88.61752,77.29726,,7.15932,,,,2.91551,3.01314,0.28402,c0f455d4-b004-4892-80b0-5d125d79981c,2026-04-10,20:06:20.87,2026-04-10T13:06:20.8731136-07:00,2026-04-10T20:06:20.8731136Z,,v3,643-144923,643-146687,7836,"Verners, Bodhi",10327732,Right,FRE_PAC,182c45d0-48ef-4d6b-bbfc-ee526a2729cb,53.7065,-128.35342,12.78512,5.97629,-4.12197,-7.40363,-0.90382,3.78766,-2.21083,154.734111,2.91551,27.54229,-9.58469,2.85373,-1.04307,1.10443,-1.23581,0.75964,-0.18472,3.01314,96.23287,-25.84422,2.8972,-0.55099,0.07903,0.00879,-0.01711,0.00541,0.28402,-32.81249,0.21717,0.48872,-0.36213,0.49556,-0.57469,0.35627,-0.08704,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
7,2026-04-10,13:07:03.91,2,2,"Simmon, Zachary",10325372,Right,FRE_PAC,"Aldridge, Shane",1000257296,Left,MEN_COL,Undefined,1,Top,0,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.93023,-2.243923,-1.752768,2411.722633,197.811936,12:30,5.89972,1.08498,6.68639,-15.85402,19.41056,5.85563,2.52423,-0.03065,80.02068,-5.322682,-0.686351,0.427406,76.57028,53.510215,-37.907315,5013.448091,73.64385,102.29984,-81.71026,219.4263,79.81081,-53.34668,5.127368,-3.63016,11.28902,-0.97026,50,5.74337,3.69363,-127.71721,-5.37141,-5.95432,28.01197,-13.65731,FRE_PAC,MEN_COL,FresnoPacificUniversity,D2,Team,20260410-FresnoPacificUniversity-1,d830a570-3518-11f1-8a8e-a1b1e42eb2b3,88.1888,103.3721,,7.90955,,,,2.08631,2.80614,-0.01092,c0f455d4-b004-4892-80b0-5d125d79981c,2026-04-10,20:07:03.91,2026-04-10T13:07:03.9150080-07:00,2026-04-10T20:07:03.9150080Z,Popup,v3,643-144923,643-146687,7836,"Verners, Bodhi",10327732,Right,FRE_PAC,94970cb2-5ded-4cfc-b4f9-44f3e8ebd3fb,53.81197,-128.55056,14.00598,5.89712,-4.96511,-6.82866,-1.08278,3.87077,-2.97716,148.637042,2.11347,52.10435,-12.23548,-0.53828,3.04286,-1.60461,0.40183,-0.04947,0.0024,2.79577,90.4548,-24.69981,2.98633,-0.62992,0.02618,0.03292,-0.00788,0.00054,-0.0008,-41.22634,1.76383,-0.8386,0.79506,-0.35363,0.079,-0.00864,0.00037,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
8,2026-04-10,13:07:32.38,2,3,"Simmon, Zachary",10325372,Right,FRE_PAC,"Aldridge, Shane",1000257296,Left,MEN_COL,Undefined,1,Top,0,0,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.37894,2.120216,-2.016876,2264.098765,33.766628,7:15,5.7339,1.10114,6.02375,-44.55101,-0.82303,-1.59067,3.98713,-0.90017,72.51933,-6.150855,-2.302758,0.475939,,,,,,,,,,,,0.15441,-0.58768,-0.94247,50,5.87645,4.16436,-116.49493,2.89256,0.20877,25.16956,-32.96866,FRE_PAC,MEN_COL,FresnoPacificUniversity,D2,Team,20260410-FresnoPacificUniversity-1,e93b7070-3518-11f1-8a8e-a1b1e42eb2b3,79.19598,,,7.85962,,,,,,,c0f455d4-b004-4892-80b0-5d125d79981c,2026-04-10,20:07:32.38,2026-04-10T13:07:32.3850752-07:00,2026-04-10T20:07:32.3850752Z,,v3,643-144923,643-146687,7836,"Verners, Bodhi",10327732,Right,FRE_PAC,654c48d1-813b-4254-9b80-76d6c29f6004,54.4721,-117.45719,12.58478,5.74177,4.15298,-16.48433,-1.10152,4.15637,0.10438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-10,13:08:14.48,2,4,"Simmon, Zachary",10325372,Right,FRE_PAC,"Aldridge, Shane",1000257296,Left,MEN_COL,Undefined,1,Top,0,1,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,1,0,,80.65915,0.691015,-2.720846,2334.884723,2.482202,6:00,5.50621,1.28924,6.17646,-45.44262,-2.82705,-0.18083,2.35824,-1.24045,73.95911,-7.702329,-2.753455,0.469846,,,,,,,,,,,,-0.69055,-1.21622,-1.08338,50,5.53586,5.57266,-117.11996,-0.01269,-0.95589,22.82957,-33.8576,FRE_PAC,MEN_COL,FresnoPacificUniversity,D2,Team,20260410-FresnoPacificUniversity-1,024b9b80-3519-11f1-8a8e-a1b1e42eb2b3,80.22298,,,6.70004,,,,,,,c0f455d4-b004-4892-80b0-5d125d79981c,2026-04-10,20:08:14.48,2026-04-10T13:08:14.4830464-07:00,2026-04-10T20:08:14.4830464Z,,v3,643-144923,643-146687,7836,"Verners, Bodhi",10327732,Right,FRE_PAC,9a1b37fd-3c1f-4702-a0ec-7de367090c84,54.32251,-117.95951,11.41478,5.51343,1.23242,-16.9288,-1.28896,5.60782,-0.47794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-10,13:08:33.96,2,5,"Simmon, Zachary",10325372,Right,FRE_PAC,"Aldridge, Shane",1000257296,Left,MEN_COL,Undefined,1,Top,1,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.45609,-3.620181,-2.397053,2487.158925,187.846474,12:15,6.03144,0.96844,6.91114,-12.36792,21.60418,2.81402,1.69664,-0.9813,81.22699,-6.06605,-1.882896,0.419501,49.77049,-35.52891,75.664315,,,,,4.90636,4.81605,43.865402,0.049731,-2.2448,13.00024,-0.81884,50,5.79893,5.3303,-129.74599,-8.44674,-3.78795,29.70282,-10.23715,FRE_PAC,MEN_COL,FresnoPacificUniversity,D2,Team,20260410-FresnoPacificUniversity-1,0ddcba60-3519-11f1-8a8e-a1b1e42eb2b3,89.85069,2.12259,,8.2291,,,,2.80132,2.12259,0.51992,c0f455d4-b004-4892-80b0-5d125d79981c,2026-04-10,20:08:33.96,2026-04-10T13:08:33.9619840-07:00,2026-04-10T20:08:33.9619840Z,GroundBall,v3,643-144923,643-146687,7836,"Verners, Bodhi",10327732,Right,FRE_PAC,518c0ce9-697d-4df7-9c04-83baa8eb031b,53.58728,-130.56464,14.85141,6.02785,-8.16459,-5.11857,-0.96719,5.4347,-1.89397,,2.80059,14.80017,,,,,,,,2.12469,-42.68184,,,,,,,,0.51707,57.91266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
