PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-10,15:07:22.39,1,1,"Piech, Ryan",1000182630,Right,XAV_MUS,"Lemon, Austin",822759,Left,VIL_WIL,Undefined,1,Top,0,0,0,Fastball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.83081,-4.210178,-3.644308,2126.736586,,,6.74509,1.93846,6.34192,,,,2.60635,-0.01765,83.44389,-4.942484,-0.606235,0.412699,,,,,,,,,,,,-9.74705,17.03792,-1.68048,50,6.43571,7.7595,-132.90558,-9.68798,-17.38529,29.22864,-1.78438,XAV_MUS,VIL_WIL,HaydenField,D1,BEAST,20260410-HaydenField-1,81d9cec0-3510-11f1-9be9-b99de87a501f,91.33153,,,8.38692,,,,,,,64504865-a816-494e-8256-da2f7ceb5bad,2026-04-10,19:07:22.39,2026-04-10T15:07:22.3966720-04:00,2026-04-10T19:07:22.3966720Z,,v3,471497,471478,35b8a87e249d4c43978f25c6a463d341,"Fitz, Jonathan",812192,Right,XAV_MUS,760ffaae-bf29-401d-adab-58163bc43a53,54.15656,-133.81657,14.61432,6.73679,-9.63237,-0.89219,-1.93076,8.30136,-8.69264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
2,2026-04-10,15:07:41.59,1,2,"Piech, Ryan",1000182630,Right,XAV_MUS,"Lemon, Austin",822759,Left,VIL_WIL,Undefined,1,Top,0,0,1,Fastball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.79304,-2.158182,-2.295527,2154.144092,,,6.38341,1.72647,6.32149,,,,3.25811,0.34613,83.77481,-4.795122,-0.701394,0.411531,87.12498,42.786353,-37.949082,2828.24134,,,,,102.28448,,,-5.23083,10.84875,-1.56269,50,6.21884,4.97885,-133.25601,-5.36627,-9.39185,29.02313,-12.69529,XAV_MUS,VIL_WIL,HaydenField,D1,BEAST,20260410-HaydenField-1,8d4e8c00-3510-11f1-9be9-b99de87a501f,91.59076,81.99643,,8.01823,,,,-0.63097,2.82929,-0.18534,64504865-a816-494e-8256-da2f7ceb5bad,2026-04-10,19:07:41.59,2026-04-10T15:07:41.5948288-04:00,2026-04-10T19:07:41.5948288Z,,v3,471497,471478,35b8a87e249d4c43978f25c6a463d341,"Fitz, Jonathan",812192,Right,XAV_MUS,9e28a485-318a-4327-98ce-7fc342147c5e,54.17627,-134.16252,14.51157,6.38025,-4.96975,-6.34764,-1.72278,5.27219,-4.69593,,-0.63097,73.95,-18.86275,4.80722,-1.17205,0.46882,-0.37897,0.22288,-0.05196,2.82929,86.79884,-22.89348,2.18448,-0.34709,-0.03757,0.13781,-0.09726,0.0238,-0.18534,-57.67044,3.25865,-0.10321,-0.11929,0.13213,-0.15163,0.0963,-0.02296,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,High,Undefined,,,
3,2026-04-10,15:08:05.02,1,3,"Piech, Ryan",1000182630,Right,XAV_MUS,"Lemon, Austin",822759,Left,VIL_WIL,Undefined,1,Top,0,0,2,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,92.56281,-0.776373,-2.098867,2219.042427,,,6.53544,1.58813,6.31779,,,,4.96728,-0.08454,84.30826,-2.805932,-1.532192,0.408,,,,,,,,,,,,-2.20709,11.86532,-1.43594,50,6.4731,4.79252,-134.42922,-2.01406,-4.0325,29.5611,-10.49523,XAV_MUS,VIL_WIL,HaydenField,D1,BEAST,20260410-HaydenField-1,9b3c3880-3510-11f1-9be9-b99de87a501f,92.38348,,,8.25456,,,,,,,64504865-a816-494e-8256-da2f7ceb5bad,2026-04-10,19:08:05.02,2026-04-10T15:08:05.0202624-04:00,2026-04-10T19:08:05.0202624Z,,v3,471497,471478,35b8a87e249d4c43978f25c6a463d341,"Fitz, Jonathan",812192,Right,XAV_MUS,d3f96a7f-c270-4733-9374-9f1d4005e527,54.17797,-135.34484,14.78055,6.53045,-1.68898,-5.24761,-1.58632,4.91742,-2.01625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
4,2026-04-10,15:08:25.12,1,4,"Piech, Ryan",1000182630,Right,XAV_MUS,"Lemon, Austin",822759,Left,VIL_WIL,Undefined,1,Top,0,1,2,ChangeUp,,BallCalled,Undefined,Undefined,Undefined,0,0,,87.8717,-4.483744,-4.59811,1995.518191,,,6.42602,1.80645,6.57289,,,,0.94644,-1.24636,81.20233,-7.568384,-2.05458,0.427381,,,,,,,,,,,,-8.58154,11.50973,-1.49585,50,6.10946,9.716,-127.17039,-10.4078,-14.19528,23.61003,-13.13502,XAV_MUS,VIL_WIL,HaydenField,D1,BEAST,20260410-HaydenField-1,a73da560-3510-11f1-9be9-b99de87a501f,88.19398,,,6.66937,,,,,,,64504865-a816-494e-8256-da2f7ceb5bad,2026-04-10,19:08:25.12,2026-04-10T15:08:25.1246592-04:00,2026-04-10T19:08:25.1246592Z,,v3,471497,471478,35b8a87e249d4c43978f25c6a463d341,"Fitz, Jonathan",812192,Right,XAV_MUS,bc37256d-0ebf-416f-96f5-393a408e1889,53.92779,-127.89753,11.80502,6.42377,-10.00326,-6.56751,-1.80182,10.15319,-7.09764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
5,2026-04-10,15:08:46.37,1,5,"Piech, Ryan",1000182630,Right,XAV_MUS,"Lemon, Austin",822759,Left,VIL_WIL,Undefined,1,Top,0,2,2,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,93.49624,-4.037806,-1.512379,2306.03387,,,6.62821,1.52029,6.29536,,,,2.45487,0.99579,84.47732,-5.193133,0.372651,0.406637,,,,,,,,,,,,-5.83996,15.32485,-1.41365,50,6.3276,3.12234,-135.41647,-9.54308,-10.72538,32.59266,-4.02924,XAV_MUS,VIL_WIL,HaydenField,D1,BEAST,20260410-HaydenField-1,b3e5b280-3510-11f1-9be9-b99de87a501f,92.69313,,,9.01892,,,,,,,64504865-a816-494e-8256-da2f7ceb5bad,2026-04-10,19:08:46.37,2026-04-10T15:08:46.3798272-04:00,2026-04-10T19:08:46.3798272Z,,v3,471497,471478,35b8a87e249d4c43978f25c6a463d341,"Fitz, Jonathan",812192,Right,XAV_MUS,da63b215-5192-40d9-819d-c12feb8a8ba8,54.20057,-136.42374,16.29633,6.6206,-9.41856,-2.01462,-1.51527,3.45381,-5.36269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
6,2026-04-10,15:09:04.80,1,6,"Piech, Ryan",1000182630,Right,XAV_MUS,"Lemon, Austin",822759,Left,VIL_WIL,Undefined,1,Top,0,3,2,Fastball,,InPlay,Undefined,GroundBall,Error,0,0,,93.52884,-3.053654,-1.798223,2276.997228,,,6.56929,1.47254,6.29629,,,,3.06692,0.7476,84.6051,-4.725681,0.22402,0.405924,91.80328,9.534611,-12.84742,1108.215881,,,,134.84227,134.84227,-15.267366,1.212136,-6.35209,13.51202,-1.34544,50,6.34031,3.78067,-135.61465,-7.35423,-11.70741,32.51694,-7.27033,XAV_MUS,VIL_WIL,HaydenField,D1,BEAST,20260410-HaydenField-1,bee518b0-3510-11f1-9be9-b99de87a501f,92.85587,8.52609,,8.92374,,,,-0.59785,2.75337,-0.57143,64504865-a816-494e-8256-da2f7ceb5bad,2026-04-10,19:09:04.80,2026-04-10T15:09:04.8051200-04:00,2026-04-10T19:09:04.8051200Z,LineDrive,v3,471497,471478,35b8a87e249d4c43978f25c6a463d341,"Fitz, Jonathan",812192,Right,XAV_MUS,420b7e33-56f4-4806-96ae-ba40fcda7b05,54.20066,-136.61815,16.25847,6.5638,-7.12986,-3.63517,-1.46769,4.14197,-5.85371,,-0.59786,129.4626,-22.60717,5.26912,-2.47575,2.77412,-2.3934,1.09771,-0.20524,2.75337,22.30266,-22.71561,2.4435,-0.26522,-0.32782,0.38622,-0.18952,0.03658,-0.57144,-29.52313,-1.10123,2.3743,-2.26067,3.03145,-2.68534,1.25041,-0.23656,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,High,High,,,
7,2026-04-10,15:09:50.73,2,1,"Piech, Ryan",1000182630,Right,XAV_MUS,"Leonard, Brayden",10002121,Right,VIL_WIL,Undefined,1,Top,0,0,0,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,91.92485,-2.218928,-0.946906,2200.906667,,,6.52889,1.80104,6.26468,,,,3.28243,1.02484,82.80729,-5.018498,-0.736767,0.414091,,,,,,,,,,,,-0.92614,10.85753,-1.73153,50,6.35769,2.15771,-133.37159,-5.54451,-1.63836,33.47256,-12.96725,XAV_MUS,VIL_WIL,HaydenField,D1,BEAST,20260410-HaydenField-1,da3f0cb0-3510-11f1-9be9-b99de87a501f,91.02448,,,9.11755,,,,,,,64504865-a816-494e-8256-da2f7ceb5bad,2026-04-10,19:09:50.73,2026-04-10T15:09:50.7356672-04:00,2026-04-10T19:09:50.7356672Z,,v3,471497,471478,35b8a87e249d4c43978f25c6a463d341,"Fitz, Jonathan",812192,Right,XAV_MUS,6ba81c45-d2b8-44f2-9ea7-b1ffaeeef285,54.23381,-134.42996,16.73628,6.52652,-5.1345,-6.48362,-1.80057,2.20951,-0.81918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
8,2026-04-10,15:10:14.27,2,2,"Piech, Ryan",1000182630,Right,XAV_MUS,"Leonard, Brayden",10002121,Right,VIL_WIL,Undefined,1,Top,0,1,0,Slider,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.54799,0.465836,-1.799708,2364.601481,,,6.47885,1.53541,5.90931,,,,3.25767,-0.50195,76.21486,-7.603012,-2.589503,0.456827,,,,,,,,,,,,1.69536,-1.51945,-1.38853,50,6.49162,3.98727,-121.27873,-0.50978,2.5031,25.64573,-34.41739,XAV_MUS,VIL_WIL,HaydenField,D1,BEAST,20260410-HaydenField-1,e84e7200-3510-11f1-9be9-b99de87a501f,82.50931,,,7.33313,,,,,,,64504865-a816-494e-8256-da2f7ceb5bad,2026-04-10,19:10:14.27,2026-04-10T15:10:14.2744576-04:00,2026-04-10T19:10:14.2744576Z,,v3,471497,471478,35b8a87e249d4c43978f25c6a463d341,"Fitz, Jonathan",812192,Right,XAV_MUS,ee9aa7d5-c7aa-4367-acdb-548fe91f2432,54.58867,-122.24521,12.82287,6.48639,0.78726,-17.20869,-1.53702,3.89294,1.25155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
9,2026-04-10,15:10:38.72,2,3,"Piech, Ryan",1000182630,Right,XAV_MUS,"Leonard, Brayden",10002121,Right,VIL_WIL,Undefined,1,Top,0,1,1,Slider,,InPlay,Undefined,LineDrive,Single,0,0,,84.3794,-0.83531,-1.333597,2277.896531,,,6.51572,1.52645,5.86521,,,,2.76833,0.01499,77.64481,-7.400493,-1.920561,0.450585,84.72809,14.755082,13.628213,3038.72841,104.53979,18.7034,34.22588,208.25852,208.25852,22.106822,2.245892,1.31193,2.39599,-1.41648,50,6.42723,2.98316,-122.59741,-2.9785,1.99878,23.99857,-28.52365,XAV_MUS,VIL_WIL,HaydenField,D1,BEAST,20260410-HaydenField-1,f6dfffa0-3510-11f1-9be9-b99de87a501f,83.65231,18.69495,,6.73459,,,,0.33656,2.63063,-0.06506,64504865-a816-494e-8256-da2f7ceb5bad,2026-04-10,19:10:38.72,2026-04-10T15:10:38.7238400-04:00,2026-04-10T19:10:38.7238400Z,LineDrive,v3,471497,471478,35b8a87e249d4c43978f25c6a463d341,"Fitz, Jonathan",812192,Right,XAV_MUS,ef6a20da-adef-4b2d-9275-532fa80bd5c7,54.63382,-123.50116,11.99928,6.51917,-1.90435,-14.26183,-1.5274,2.90789,0.99939,246.044362,0.33656,116.78637,-19.79168,3.90158,-0.75079,0.11859,-0.01797,0.0024,-0.00016,2.63063,31.64946,-16.47478,0.9083,-0.0344,-0.00965,0.00582,-0.00085,3E-05,-0.06506,28.31455,6.40117,-2.72362,0.82701,-0.19988,0.04038,-0.00571,0.0004,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,High,High,,,
10,2026-04-10,15:11:17.61,3,1,"Piech, Ryan",1000182630,Right,XAV_MUS,"Whooley, Michael",833390,Right,VIL_WIL,Undefined,1,Top,0,0,0,Slider,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,83.30572,-1.05734,-1.419985,2237.598952,,,6.594,1.54241,5.8859,,,,3.21708,0.07247,75.41918,-6.437624,-1.745454,0.459622,,,,,,,,,,,,0.4687,6.9363,-1.4269,50,6.49245,3.06848,-120.77769,-3.11797,0.68343,26.35175,-22.06039,XAV_MUS,VIL_WIL,HaydenField,D1,BEAST,20260410-HaydenField-1,0e132d50-3511-11f1-9be9-b99de87a501f,82.00741,,,7.88654,,,,,,,64504865-a816-494e-8256-da2f7ceb5bad,2026-04-10,19:11:17.61,2026-04-10T15:11:17.6106496-04:00,2026-04-10T19:11:17.6106496Z,,v3,471497,471478,35b8a87e249d4c43978f25c6a463d341,"Fitz, Jonathan",812192,Right,XAV_MUS,8f2436c2-98dd-43e6-8243-4ca05d1d0fb4,54.60741,-121.7788,13.17588,6.59498,-2.27989,-11.03019,-1.54298,3.04252,0.34172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
