PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-10,18:03:06.38,1,1,"Danilowicz, Wyatt",804863,Left,LOU_CAR,"Sasaki, Rintaro",827685,Left,STA_CAR,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.42038,-3.415769,1.678894,2215.369421,157.936274,11:15,5.88958,-0.88681,5.69294,-14.203,20.01131,-7.60465,1.51751,0.04457,82.56321,-6.146593,0.319527,0.420993,,,,,,,,,,,,4.38847,11.60245,0.75054,50,5.59359,-3.53678,-132.31963,-8.29917,7.67799,31.70048,-11.87452,LOU_CAR,STA_CAR,JimPatterson,D1,ACC,20260410-JimPatterson-1,0df446c0-3529-11f1-ba61-5bd1649602da,89.53212,,,8.85718,,,,,,,ba5ead51-fa21-441a-bc58-11473cf35ca0,2026-04-10,22:03:06.38,2026-04-10T18:03:06.3813120-04:00,2026-04-10T22:03:06.3813120Z,,v3,471341,471454,8b44a8cedf7d4c858f3e19f2aa75c3ca,"Baker, George",702989,Right,LOU_CAR,702f123c-71e7-4795-85dd-4d87db10fe03,54.80338,-133.46543,15.85024,5.88581,-7.86997,-5.93726,0.88339,-3.81429,3.839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-10,18:03:21.48,1,2,"Danilowicz, Wyatt",804863,Left,LOU_CAR,"Sasaki, Rintaro",827685,Left,STA_CAR,Undefined,1,Top,0,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,84.00048,-2.749668,2.932766,2471.414203,218.91071,1:15,5.74004,-1.16088,5.84885,-38.01774,3.09768,1.1328,0.01149,1.66113,75.11987,-9.770329,3.136034,0.461502,,,,,,,,,,,,0.53591,3.11335,0.92159,50,5.49431,-6.2629,-121.34585,-7.09786,0.77166,31.31975,-27.691,LOU_CAR,STA_CAR,JimPatterson,D1,ACC,20260410-JimPatterson-1,1701ef10-3529-11f1-ba61-5bd1649602da,81.67336,,,8.88062,,,,,,,ba5ead51-fa21-441a-bc58-11473cf35ca0,2026-04-10,22:03:21.48,2026-04-10T18:03:21.4846976-04:00,2026-04-10T22:03:21.4846976Z,,v3,471341,471454,8b44a8cedf7d4c858f3e19f2aa75c3ca,"Baker, George",702989,Right,LOU_CAR,e8fddef3-6f64-4eb6-84ba-930cbeff36a3,54.64551,-122.539,15.65988,5.74461,-6.04294,-13.8455,1.16074,-6.2923,0.38583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-10,18:03:36.57,1,3,"Danilowicz, Wyatt",804863,Left,LOU_CAR,"Sasaki, Rintaro",827685,Left,STA_CAR,Undefined,1,Top,0,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.63557,-0.8869,2.850908,2460.031066,277.183973,3:15,5.70687,-1.01918,6.25539,-40.7449,1.02744,5.43567,1.49255,2.06489,73.71421,-8.490035,3.832699,0.465175,,,,,,,,,,,,-1.68839,1.4637,0.80519,50,5.62233,-6.17053,-119.56218,-3.13482,-2.35893,30.52068,-30.12904,LOU_CAR,STA_CAR,JimPatterson,D1,ACC,20260410-JimPatterson-1,2002ed30-3529-11f1-ba61-5bd1649602da,81.02859,,,8.92136,,,,,,,ba5ead51-fa21-441a-bc58-11473cf35ca0,2026-04-10,22:03:36.57,2026-04-10T18:03:36.5788672-04:00,2026-04-10T22:03:36.5788672Z,,v3,471341,471454,8b44a8cedf7d4c858f3e19f2aa75c3ca,"Baker, George",702989,Right,LOU_CAR,45f9c039-5b54-4062-9d7e-5666700f8e3f,54.23662,-120.63881,15.26034,5.71416,-2.072,-15.06452,1.02139,-6.08732,-1.17947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-10,18:03:52.43,1,4,"Danilowicz, Wyatt",804863,Left,LOU_CAR,"Sasaki, Rintaro",827685,Left,STA_CAR,Undefined,1,Top,0,2,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.84561,-2.331139,0.794339,2323.819249,160.007739,11:15,5.95676,-0.85291,5.47094,-12.8993,21.14485,-7.25146,2.69885,-0.71379,82.9888,-4.824263,-0.496865,0.419945,75.92805,80.063884,149.140282,2627.267758,,,,,4.9019,,,3.90162,11.73099,0.78821,50,5.74349,-1.5106,-133.08227,-5.77993,6.91781,31.59022,-11.37435,LOU_CAR,STA_CAR,JimPatterson,D1,ACC,20260410-JimPatterson-1,296bd4e0-3529-11f1-ba61-5bd1649602da,89.75561,34.55762,,8.85681,,,,1.35541,2.8315,0.64286,ba5ead51-fa21-441a-bc58-11473cf35ca0,2026-04-10,22:03:52.43,2026-04-10T18:03:52.4313600-04:00,2026-04-10T22:03:52.4313600Z,,v3,471341,471454,8b44a8cedf7d4c858f3e19f2aa75c3ca,"Baker, George",702989,Right,LOU_CAR,ddcc8ad2-fbf8-4945-91ce-35de45da46c7,55.02578,-134.26996,15.79511,5.95276,-5.3523,-5.68717,0.8499,-1.77069,3.4589,338.257671,1.35731,-16.57665,-3.72901,,,,,,,2.83263,109.64305,-21.87342,,,,,,,0.64691,9.68185,-10.07898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Undefined,,,
5,2026-04-10,18:04:21.80,1,5,"Danilowicz, Wyatt",804863,Left,LOU_CAR,"Sasaki, Rintaro",827685,Left,STA_CAR,Undefined,1,Top,0,2,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.7078,-3.627459,1.774516,2372.326953,155.419299,11:15,5.87361,-0.86585,5.72338,-12.52583,20.84824,-9.06252,1.44495,0.03229,84.25458,-6.022461,0.153881,0.415792,,,,,,,,,,,,5.10398,11.90883,0.72346,50,5.56271,-3.72629,-132.9816,-8.78768,9.18797,27.10675,-10.73627,LOU_CAR,STA_CAR,JimPatterson,D1,ACC,20260410-JimPatterson-1,3ae714f0-3529-11f1-ba61-5bd1649602da,90.65214,,,7.45322,,,,,,,ba5ead51-fa21-441a-bc58-11473cf35ca0,2026-04-10,22:04:21.80,2026-04-10T18:04:21.8086400-04:00,2026-04-10T22:04:21.8086400Z,,v3,471341,471454,8b44a8cedf7d4c858f3e19f2aa75c3ca,"Baker, George",702989,Right,LOU_CAR,0e54d612-77e8-432d-98f5-6fb752008828,54.77643,-133.95168,13.55337,5.87032,-8.40346,-5.36814,0.86269,-4.0551,4.59399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-10,18:04:41.92,1,6,"Danilowicz, Wyatt",804863,Left,LOU_CAR,"Sasaki, Rintaro",827685,Left,STA_CAR,Undefined,1,Top,0,3,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,83.41132,-1.763384,1.758057,2444.474934,245.348668,2:15,5.5581,-1.19767,5.98747,-35.55817,4.92441,7.68784,0.95931,1.07288,75.99287,-8.338291,3.141506,0.457937,,,,,,,,,,,,-3.40177,3.5013,1.05476,50,5.39947,-4.0135,-120.98178,-4.86665,-4.97872,26.35865,-27.04966,LOU_CAR,STA_CAR,JimPatterson,D1,ACC,20260410-JimPatterson-1,4706b830-3529-11f1-ba61-5bd1649602da,82.30928,,,7.41845,,,,,,,ba5ead51-fa21-441a-bc58-11473cf35ca0,2026-04-10,22:04:41.92,2026-04-10T18:04:41.9210000-04:00,2026-04-10T22:04:41.9210000Z,,v3,471341,471454,8b44a8cedf7d4c858f3e19f2aa75c3ca,"Baker, George",702989,Right,LOU_CAR,b88ff8e5-3c0e-45b2-97c7-8daa94dbbc13,54.51013,-121.96045,13.17932,5.56152,-3.86232,-13.52483,1.20035,-3.82864,-2.48936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.18374,,,,,,,2.6695,3.83812,-2.00732,,,,2.76122,76.19417,-4.50617,4.00137,25.44613,-15.73552,-2.12886,-24.27268,3.33882,High,High,High,,,High,High,Low
7,2026-04-10,18:05:15.56,2,1,"Danilowicz, Wyatt",804863,Left,LOU_CAR,"Tokheim, Teddy",834598,Right,STA_CAR,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.11833,-4.025983,0.824442,2346.752515,151.990624,11:00,5.76962,-0.85312,6.11597,-12.97638,20.42773,-10.30004,0.95943,-0.94914,83.58087,-6.517889,-1.032231,0.415979,,,,,,,,,,,,5.60138,12.02776,0.79547,50,5.45385,-1.48541,-132.1697,-9.6446,9.92254,27.78926,-10.86746,LOU_CAR,STA_CAR,JimPatterson,D1,ACC,20260410-JimPatterson-1,5aedc820-3529-11f1-ba61-5bd1649602da,90.61139,,,7.53746,,,,,,,ba5ead51-fa21-441a-bc58-11473cf35ca0,2026-04-10,22:05:15.56,2026-04-10T18:05:15.5653632-04:00,2026-04-10T22:05:15.5653632Z,,v3,471341,471454,8b44a8cedf7d4c858f3e19f2aa75c3ca,"Baker, George",702989,Right,LOU_CAR,11f8753a-daee-4d7c-a786-04bd478ea478,54.38445,-133.08836,13.89463,5.76674,-9.28535,-5.43373,0.85,-1.81344,4.96127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-10,18:05:33.84,2,2,"Danilowicz, Wyatt",804863,Left,LOU_CAR,"Tokheim, Teddy",834598,Right,STA_CAR,Undefined,1,Top,1,1,0,ChangeUp,Changeup,InPlay,Undefined,LineDrive,Double,0,0,,86.40641,-1.601902,2.60731,1501.571592,111.898494,9:45,5.54143,-1.0636,5.90622,-30.06502,7.07059,-14.89666,1.54715,0.11687,79.87762,-7.150301,-0.067699,0.438598,108.45539,15.583123,-30.934914,2763.95322,90.71224,23.75435,-62.21947,291.66705,285.02,-40.919652,2.56968,8.38233,4.34374,0.863,50,5.3952,-5.13155,-125.53357,-4.51116,13.48137,23.53616,-25.18794,LOU_CAR,STA_CAR,JimPatterson,D1,ACC,20260410-JimPatterson-1,65e8c180-3529-11f1-ba61-5bd1649602da,85.93844,26.63249,,6.5288,,,,2.34707,1.66949,-0.08746,ba5ead51-fa21-441a-bc58-11473cf35ca0,2026-04-10,22:05:33.84,2026-04-10T18:05:33.8441728-04:00,2026-04-10T22:05:33.8441728Z,LineDrive,v3,471341,471454,8b44a8cedf7d4c858f3e19f2aa75c3ca,"Baker, George",702989,Right,LOU_CAR,c0b1853e-5aaa-4228-b83c-8068b19a07e4,54.59545,-126.39223,11.76808,5.54302,-3.59224,-12.59397,1.05918,-5.62339,6.74069,107.565071,2.34708,131.425,-30.11535,7.6226,-1.77035,0.36189,-0.06462,0.00816,-0.0005,1.66949,42.73144,-19.71871,1.28095,-0.03927,-0.03149,0.01108,-0.00151,9E-05,-0.08745,-78.76574,-1.19914,2.69923,-1.12977,0.33628,-0.07396,0.01054,-0.00071,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
9,2026-04-10,18:06:24.83,3,1,"Danilowicz, Wyatt",804863,Left,LOU_CAR,"Jeon, Eric",837510,Right,STA_CAR,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.13367,-2.60089,1.378785,2335.226238,154.257296,11:15,5.86559,-0.95939,5.83992,-12.37001,20.89048,-9.51894,2.41515,-0.47096,83.55972,-5.003889,-0.327571,0.415084,,,,,,,,,,,,5.26674,11.78205,0.85266,50,5.64638,-2.79257,-133.58315,-6.38703,9.44283,30.86043,-11.04983,LOU_CAR,STA_CAR,JimPatterson,D1,ACC,20260410-JimPatterson-1,84471be0-3529-11f1-ba61-5bd1649602da,90.80681,,,8.57395,,,,,,,ba5ead51-fa21-441a-bc58-11473cf35ca0,2026-04-10,22:06:24.83,2026-04-10T18:06:24.8304640-04:00,2026-04-10T22:06:24.8304640Z,,v3,471341,471454,8b44a8cedf7d4c858f3e19f2aa75c3ca,"Baker, George",702989,Right,LOU_CAR,c8474393-2ed6-416c-b940-11a8483640c3,54.65724,-134.65477,15.43022,5.86151,-6.00333,-5.52491,0.95532,-3.12047,4.72142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-10,18:06:45.73,3,2,"Danilowicz, Wyatt",804863,Left,LOU_CAR,"Jeon, Eric",837510,Right,STA_CAR,Undefined,1,Top,1,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.94553,-2.266297,2.143709,2287.207111,146.945018,11:00,5.85663,-0.80592,6.25506,-14.61997,18.8791,-11.55627,2.5459,0.20879,82.75799,-5.089486,0.056724,0.41657,73.9803,17.895871,167.201122,1401.004884,-107.68014,15.20585,22.47128,166.05139,50.08506,168.951555,1.935397,6.62618,10.79733,0.65224,50,5.68094,-4.46546,-131.98247,-5.6041,11.62865,29.41999,-13.22526,LOU_CAR,STA_CAR,JimPatterson,D1,ACC,20260410-JimPatterson-1,90b6daf0-3529-11f1-ba61-5bd1649602da,90.48288,16.71907,,8.18754,,,,0.95739,2.46239,-0.2543,ba5ead51-fa21-441a-bc58-11473cf35ca0,2026-04-10,22:06:45.73,2026-04-10T18:06:45.7323008-04:00,2026-04-10T22:06:45.7323008Z,LineDrive,v3,471341,471454,8b44a8cedf7d4c858f3e19f2aa75c3ca,"Baker, George",702989,Right,LOU_CAR,8713d4b9-388d-4b4a-afc3-fb67f9fc983f,54.24321,-132.92496,14.71,5.85368,-5.18042,-6.61263,0.80126,-4.83799,5.81432,327.124631,0.95745,-100.6929,8.19338,-0.04695,0.06776,0.18163,-0.23715,0.09887,-0.0145,2.46237,33.34355,-21.03836,2.02903,-0.43878,0.26177,-0.11317,0.02486,-0.00218,-0.25432,22.87549,-3.20828,0.02106,-0.03276,-0.0788,0.10066,-0.04154,0.00606,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
