PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-10,16:06:58.84,1,1,"Nayral, Mathis",1000252574,Right,KAN_JAY,"Gaskin, Cayden",808559,Right,UCF_KNI,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.73295,-2.634703,-3.572062,2246.761858,202.586635,12:45,6.22177,2.86868,6.14352,-11.80371,20.08245,7.89134,2.79694,0.22107,84.89816,-4.944008,-2.15343,0.406418,89.90384,19.964028,76.884216,4653.148146,,,,,78.98477,,,-5.15685,11.49749,-2.60025,50,6.01439,8.1318,-135.73809,-6.54189,-9.53753,32.12286,-10.90956,KAN_JAY,UCF_KNI,KansasUniversity,D1,BIG12,20260410-KansasUniversity-1,37359f50-3521-11f1-930e-1735bc16344a,92.74313,27.42586,,8.83479,,,,0.59958,3.06778,-0.59499,aa226f02-b135-4896-9ce6-519463a2c839,2026-04-10,21:06:58.84,2026-04-10T16:06:58.8493824-05:00,2026-04-10T21:06:58.8493824Z,,v3,471329,471267,c1c83028651d4551af2e835e4593a2aa,"Mungarrieta, Augusto",1000334193,Right,KAN_JAY,8da0bb37-20fb-4cdd-880e-9e3c1a56e2b7,54.35444,-136.7647,16.06143,6.21789,-6.19324,-5.45478,-2.865,8.43661,-4.76876,,0.59958,28.12328,-13.68355,3.19176,-0.73068,0.17019,-0.04033,0.00854,-0.00115,3.06778,45.02055,-15.54533,0.42146,0.07298,-0.05185,0.01795,-0.00468,0.00075,-0.59499,120.70196,-18.12834,4.35309,-0.93189,0.2045,-0.04542,0.00881,-0.00104,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
2,2026-04-10,16:07:22.71,1,2,"Nayral, Mathis",1000252574,Right,KAN_JAY,"Gaskin, Cayden",808559,Right,UCF_KNI,Undefined,1,Top,0,0,1,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.32277,-0.206532,-3.263808,2732.874492,93.468214,9:00,6.21928,2.73531,5.92514,-36.17593,1.80087,-8.1976,3.01266,-0.97963,78.38777,-6.8893,-4.732119,0.443538,,,,,,,,,,,,3.15732,1.38937,-2.46944,50,6.18249,7.47098,-125.09592,-1.68545,4.93611,28.392,-30.00191,KAN_JAY,UCF_KNI,KansasUniversity,D1,BIG12,20260410-KansasUniversity-1,457f4e80-3521-11f1-930e-1735bc16344a,84.98137,,,7.93499,,,,,,,aa226f02-b135-4896-9ce6-519463a2c839,2026-04-10,21:07:22.71,2026-04-10T16:07:22.7149824-05:00,2026-04-10T21:07:22.7149824Z,,v3,471329,471267,c1c83028651d4551af2e835e4593a2aa,"Mungarrieta, Augusto",1000334193,Right,KAN_JAY,ae0bb9d3-e162-4602-958a-4dc9c6626286,54.57279,-126.1295,14.196,6.22397,-0.59327,-15.00096,-2.73814,7.29129,2.46805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-10,16:07:47.19,1,3,"Nayral, Mathis",1000252574,Right,KAN_JAY,"Gaskin, Cayden",808559,Right,UCF_KNI,Undefined,1,Top,0,0,2,Slider,Curveball,InPlay,Undefined,GroundBall,Error,0,0,,85.56812,-0.636972,-2.866892,2672.326515,57.132308,8:00,6.24262,2.74021,5.99808,-45.18243,-6.44016,-12.09449,1.88641,-0.92645,77.6403,-8.930748,-5.040794,0.447985,70.84197,-14.140084,-8.814705,,,,,10.39702,10.15384,-2.143573,0.082907,5.30418,-2.78677,-2.50759,50,6.16753,6.68697,-124.05685,-2.9212,8.09118,29.71303,-36.42511,KAN_JAY,UCF_KNI,KansasUniversity,D1,BIG12,20260410-KansasUniversity-1,54093b00-3521-11f1-930e-1735bc16344a,84.13764,2.06457,,7.92782,,,,2.23992,2.06457,0.87044,aa226f02-b135-4896-9ce6-519463a2c839,2026-04-10,21:07:47.19,2026-04-10T16:07:47.1909376-05:00,2026-04-10T21:07:47.1909376Z,GroundBall,v3,471329,471267,c1c83028651d4551af2e835e4593a2aa,"Mungarrieta, Augusto",1000334193,Right,KAN_JAY,6e5c75c3-e51f-4dd2-81fc-b24b3e303b96,54.50259,-125.13062,14.85652,6.24931,-1.60486,-18.21255,-2.74396,6.39457,4.04559,182.094818,2.24,99.55131,-15.1093,,,,,,,2.06445,-25.36289,5.59416,,,,,,,0.87042,-15.43661,2.98526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2026-04-10,16:08:37.46,2,1,"Nayral, Mathis",1000252574,Right,KAN_JAY,"Williamson, Andrew",824713,Left,UCF_KNI,Undefined,1,Top,0,0,0,Splitter,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,82.47563,-1.945723,-3.211991,1940.236628,251.044653,2:15,6.25693,2.45164,6.08548,-36.00467,5.05969,10.77426,1.453,0.37492,75.52495,-8.60487,-1.271158,0.461215,,,,,,,,,,,,-6.50091,3.59504,-2.20908,50,6.08755,6.30154,-119.58855,-5.19549,-9.36423,24.20975,-26.99557,KAN_JAY,UCF_KNI,KansasUniversity,D1,BIG12,20260410-KansasUniversity-1,720c2ef0-3521-11f1-930e-1735bc16344a,81.72415,,,6.95068,,,,,,,aa226f02-b135-4896-9ce6-519463a2c839,2026-04-10,21:08:37.46,2026-04-10T16:08:37.4682112-05:00,2026-04-10T21:08:37.4682112Z,,v3,471329,471267,c1c83028651d4551af2e835e4593a2aa,"Mungarrieta, Augusto",1000334193,Right,KAN_JAY,a28f3666-8b4f-4daa-9c16-1e4d9e6ae766,54.41373,-120.47876,12.10488,6.26034,-4.20284,-13.49779,-2.44713,6.64586,-4.68212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-10,16:08:59.62,2,2,"Nayral, Mathis",1000252574,Right,KAN_JAY,"Williamson, Andrew",824713,Left,UCF_KNI,Undefined,1,Top,0,0,1,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.24632,-4.524709,-4.552124,2298.773274,213.939326,1:15,6.19775,2.78782,6.03762,-14.68324,17.47123,10.92827,0.76248,-0.52541,84.75549,-7.348035,-2.59416,0.408124,,,,,,,,,,,,-7.12241,10.83729,-2.43781,50,5.8351,10.33524,-135.89655,-11.20004,-13.08194,34.7321,-12.26887,KAN_JAY,UCF_KNI,KansasUniversity,D1,BIG12,20260410-KansasUniversity-1,7f2fd4b0-3521-11f1-930e-1735bc16344a,92.35537,,,9.49083,,,,,,,aa226f02-b135-4896-9ce6-519463a2c839,2026-04-10,21:08:59.62,2026-04-10T16:08:59.6241920-05:00,2026-04-10T21:08:59.6241920Z,,v3,471329,471267,c1c83028651d4551af2e835e4593a2aa,"Mungarrieta, Augusto",1000334193,Right,KAN_JAY,8235e04f-d7c5-4905-a4d5-6e6068ec208a,54.45945,-137.03154,17.36605,6.19455,-10.79911,-6.13444,-2.78253,10.76274,-6.54097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-10,16:09:22.50,2,3,"Nayral, Mathis",1000252574,Right,KAN_JAY,"Williamson, Andrew",824713,Left,UCF_KNI,Undefined,1,Top,0,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.10404,1.349394,-0.782805,2643.271943,77.120779,8:30,6.31219,2.74251,5.77668,-42.12542,-1.18535,-11.14453,4.0577,1.08535,75.58968,-6.413597,-2.779106,0.460517,,,,,,,,,,,,5.39725,-0.55075,-2.67131,50,6.39863,2.1051,-120.61021,1.39248,7.87847,25.43508,-32.97801,KAN_JAY,UCF_KNI,KansasUniversity,D1,BIG12,20260410-KansasUniversity-1,8cef4540-3521-11f1-930e-1735bc16344a,81.84812,,,7.51436,,,,,,,aa226f02-b135-4896-9ce6-519463a2c839,2026-04-10,21:09:22.50,2026-04-10T16:09:22.5020416-05:00,2026-04-10T21:09:22.5020416Z,,v3,471329,471267,c1c83028651d4551af2e835e4593a2aa,"Mungarrieta, Augusto",1000334193,Right,KAN_JAY,d1cf0485-9398-4818-bd05-6187a81b138f,54.72174,-121.60188,12.71754,6.31927,2.67824,-16.489,-2.74739,1.79793,3.93924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-10,16:09:44.23,2,4,"Nayral, Mathis",1000252574,Right,KAN_JAY,"Williamson, Andrew",824713,Left,UCF_KNI,Undefined,1,Top,0,2,1,Splitter,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,81.93894,-1.948635,-3.252412,1906.658758,252.238142,2:30,6.26535,2.41379,5.98368,-36.01226,6.37099,14.88186,1.45455,0.63608,73.94235,-8.641206,-0.576278,0.468564,,,,,,,,,,,,-8.70548,4.41347,-2.16473,50,6.09169,6.15497,-118.6018,-5.17039,-12.14796,26.97894,-26.01532,KAN_JAY,UCF_KNI,KansasUniversity,D1,BIG12,20260410-KansasUniversity-1,99cd2f70-3521-11f1-930e-1735bc16344a,80.44252,,,7.99659,,,,,,,aa226f02-b135-4896-9ce6-519463a2c839,2026-04-10,21:09:44.23,2026-04-10T16:09:44.2320896-05:00,2026-04-10T21:09:44.2320896Z,,v3,471329,471267,c1c83028651d4551af2e835e4593a2aa,"Mungarrieta, Augusto",1000334193,Right,KAN_JAY,d170890e-1116-4498-a362-ab10222588db,54.51307,-119.62401,13.48947,6.26891,-4.1847,-13.00766,-2.40666,6.61524,-6.07398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-10,16:10:30.61,2,5,"Nayral, Mathis",1000252574,Right,KAN_JAY,"Williamson, Andrew",824713,Left,UCF_KNI,Undefined,1,Top,0,2,2,Splitter,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,81.79664,-0.515525,-2.272233,1904.783107,249.453491,2:15,6.34909,2.30706,5.89961,-36.08604,5.99882,12.1856,2.86294,1.21198,74.46456,-7.20752,-0.083881,0.466911,,,,,,,,,,,,-6.89473,3.67603,-2.13106,50,6.28718,4.22804,-118.66764,-2.22105,-9.74819,24.50615,-26.97667,KAN_JAY,UCF_KNI,KansasUniversity,D1,BIG12,20260410-KansasUniversity-1,b5789ed0-3521-11f1-930e-1735bc16344a,80.72722,,,7.33209,,,,,,,aa226f02-b135-4896-9ce6-519463a2c839,2026-04-10,21:10:30.61,2026-04-10T16:10:30.6119680-05:00,2026-04-10T21:10:30.6119680Z,,v3,471329,471267,c1c83028651d4551af2e835e4593a2aa,"Mungarrieta, Augusto",1000334193,Right,KAN_JAY,86e93455-4e67-474a-a5cc-822b48f23369,54.59821,-119.61346,12.25307,6.35281,-1.17989,-13.48833,-2.3015,4.60428,-4.87409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-10,16:10:55.87,2,6,"Nayral, Mathis",1000252574,Right,KAN_JAY,"Williamson, Andrew",824713,Left,UCF_KNI,Undefined,1,Top,0,3,2,FourSeamFastBall,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,92.62711,-4.52686,-4.558924,2314.150354,204.361482,12:45,6.19373,2.74629,6.40583,-13.67753,18.78218,7.99359,0.86947,-0.78848,84.24252,-7.167397,-3.117471,0.410057,,,,,,,,,,,,-5.53583,11.49575,-2.42274,50,5.86153,10.34289,-133.79323,-10.9661,-9.9676,30.66082,-11.4753,KAN_JAY,UCF_KNI,KansasUniversity,D1,BIG12,20260410-KansasUniversity-1,c4810a20-3521-11f1-930e-1735bc16344a,91.9201,,,8.38459,,,,,,,aa226f02-b135-4896-9ce6-519463a2c839,2026-04-10,21:10:55.87,2026-04-10T16:10:55.8724608-05:00,2026-04-10T21:10:55.8724608Z,,v3,471329,471267,c1c83028651d4551af2e835e4593a2aa,"Mungarrieta, Augusto",1000334193,Right,KAN_JAY,4cb6bce1-e1ae-451a-bb2e-f948cdb4e771,54.09296,-134.72793,15.33041,6.1905,-10.61627,-5.73765,-2.74267,10.64676,-4.9838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-10,16:11:33.30,3,1,"Nayral, Mathis",1000252574,Right,KAN_JAY,"Smith, John",828333,Right,UCF_KNI,Undefined,1,Top,0,0,0,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,84.20231,-0.046527,-1.827984,2585.197785,98.122174,9:15,6.33483,2.82054,5.71297,-38.63868,2.53217,-5.49575,3.07157,0.65901,74.56707,-7.231735,-2.811195,0.461813,,,,,,,,,,,,1.98748,2.00039,-2.66467,50,6.30889,4.135,-121.66562,-1.46159,2.87161,31.88128,-29.28377,KAN_JAY,UCF_KNI,KansasUniversity,D1,BIG12,20260410-KansasUniversity-1,daddd500-3521-11f1-930e-1735bc16344a,81.6184,,,9.63523,,,,,,,aa226f02-b135-4896-9ce6-519463a2c839,2026-04-10,21:11:33.30,2026-04-10T16:11:33.3070336-05:00,2026-04-10T21:11:33.3070336Z,,v3,471329,471267,c1c83028651d4551af2e835e4593a2aa,"Mungarrieta, Augusto",1000334193,Right,KAN_JAY,3a8e2164-da08-4316-9848-ba4453a3e2ac,54.77321,-122.91003,15.94064,6.34364,-0.31857,-14.64188,-2.82388,4.02292,1.4358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
