PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-10,12:33:21.68,1,1,"Sohosky, Zac",1000224033,Left,MIA_RED,"Shirley, Colton",1000218385,Left,OHI_BOB,Undefined,1,Top,0,0,0,Fastball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIA_RED,OHI_BOB,McKieFieldStad,D1,MAC,20260410-McKieFieldStad-1,f753ab00-34fa-11f1-a8a0-c75cc342d123,,,,,,,,,,,3d2edc3c-52c2-40cf-b942-4e8b92551e20,2026-04-10,16:33:21.68,2026-04-10T12:33:21.6834432-04:00,2026-04-10T16:33:21.6834432Z,,v3,471355,471399,f3f5aaf3fcf54a4cbc29fe2d3be44e57,"Raether, Carson",1000338521,Right,MIA_RED,4512e2ce-13ad-4f01-bfa1-a28b58548384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-04-10,12:33:22.68,1,2,"Sohosky, Zac",1000224033,Left,MIA_RED,"Shirley, Colton",1000218385,Left,OHI_BOB,Undefined,1,Top,0,0,1,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,76.88898,0.495327,0.827823,1919.231876,315.757143,4:30,5.7693,-1.23401,5.34264,-50.67526,-0.88098,2.84992,2.01107,-0.21992,68.60256,-8.810719,1.335037,0.50788,,,,,,,,,,,,-1.11665,-0.07543,1.15727,50,5.77808,-1.72028,-111.23888,-0.72719,-1.35157,26.27639,-32.26535,MIA_RED,OHI_BOB,McKieFieldStad,D1,MAC,20260410-McKieFieldStad-1,fe0f4d00-34fa-11f1-a8a0-c75cc342d123,74.21525,,,8.28642,,,,,,,3d2edc3c-52c2-40cf-b942-4e8b92551e20,2026-04-10,16:33:22.68,2026-04-10T12:33:22.6834432-04:00,2026-04-10T16:33:22.6834432Z,,v3,471355,471399,f3f5aaf3fcf54a4cbc29fe2d3be44e57,"Raether, Carson",1000338521,Right,MIA_RED,e1d23380-ba41-4334-9554-293a198b71bf,55.1517,-112.44921,13.1382,5.77735,0.759,-16.13268,1.23508,-1.65802,-0.67578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-10,12:33:42.74,1,3,"Sohosky, Zac",1000224033,Left,MIA_RED,"Shirley, Colton",1000218385,Left,OHI_BOB,Undefined,1,Top,0,0,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,78.08137,-0.647695,3.719136,2022.271879,43.480425,7:30,5.70067,-1.21526,5.76202,-49.22373,-2.31358,-3.79173,0.99456,1.93515,70.96011,-9.66663,3.040712,0.492952,,,,,,,,,,,,3.16736,-0.51961,0.90928,50,5.61707,-7.20712,-113.05292,-2.85428,4.02751,23.97444,-32.83478,MIA_RED,OHI_BOB,McKieFieldStad,D1,MAC,20260410-McKieFieldStad-1,0a0659a0-34fb-11f1-a8a0-c75cc342d123,76.46266,,,7.12126,,,,,,,3d2edc3c-52c2-40cf-b942-4e8b92551e20,2026-04-10,16:33:42.74,2026-04-10T12:33:42.7466240-04:00,2026-04-10T16:33:42.7466240Z,,v3,471355,471399,f3f5aaf3fcf54a4cbc29fe2d3be44e57,"Raether, Carson",1000338521,Right,MIA_RED,f3a61415-4e87-40bc-baa7-751e8bc78a65,54.7358,-114.05279,11.98722,5.70756,-1.48488,-16.41739,1.21336,-7.37509,2.01376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-10,12:33:58.35,1,4,"Sohosky, Zac",1000224033,Left,MIA_RED,"Shirley, Colton",1000218385,Left,OHI_BOB,Undefined,1,Top,0,1,2,Fastball,Sinker,InPlay,Undefined,GroundBall,Error,0,0,,90.77775,-1.58564,2.454458,1733.023397,140.419923,10:45,6.04401,-0.74202,5.72533,-17.6091,17.68729,-13.38859,3.09803,0.42968,80.28291,-4.986392,0.060935,0.427599,73.89368,-17.048202,-4.441864,,,,,10.60882,10.33834,-6.467157,0.093426,7.69418,9.98083,0.54537,50,5.90122,-5.01328,-131.22558,-4.14893,12.963,36.51053,-15.35857,MIA_RED,OHI_BOB,McKieFieldStad,D1,MAC,20260410-McKieFieldStad-1,133aeae0-34fb-11f1-a8a0-c75cc342d123,88.14905,3.03322,,10.49483,,,,0.90054,3.03322,-0.41932,3d2edc3c-52c2-40cf-b942-4e8b92551e20,2026-04-10,16:33:58.35,2026-04-10T12:33:58.3531520-04:00,2026-04-10T16:33:58.3531520Z,GroundBall,v3,471355,471399,f3f5aaf3fcf54a4cbc29fe2d3be44e57,"Raether, Carson",1000338521,Right,MIA_RED,9f56fc69-df19-4d8b-bea9-668ada95670f,54.76672,-132.54517,18.25526,6.04114,-3.59383,-7.67929,0.73503,-5.4818,6.4815,159.67504,0.90055,103.30208,-1.183,,,,,,,3.03322,-31.77463,-7.41172,,,,,,,-0.41932,-8.02468,-2.96458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2026-04-10,12:34:35.57,2,1,"Sohosky, Zac",1000224033,Left,MIA_RED,"Hill, Cameron",1000112762,Right,OHI_BOB,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.54612,-3.269496,2.772127,1814.484236,155.408245,11:15,5.98721,-0.71889,5.89414,-17.93088,18.03836,-7.57819,1.45063,1.22531,79.75639,-6.714395,1.413599,0.431655,,,,,,,,,,,,4.90347,10.84678,0.50004,50,5.71358,-5.93955,-129.38101,-7.90903,8.06618,34.41733,-14.3312,MIA_RED,OHI_BOB,McKieFieldStad,D1,MAC,20260410-McKieFieldStad-1,29692bb0-34fb-11f1-a8a0-c75cc342d123,87.32071,,,9.78973,,,,,,,3d2edc3c-52c2-40cf-b942-4e8b92551e20,2026-04-10,16:34:35.57,2026-04-10T12:34:35.5754496-04:00,2026-04-10T16:34:35.5754496Z,,v3,471355,471399,f3f5aaf3fcf54a4cbc29fe2d3be44e57,"Raether, Carson",1000338521,Right,MIA_RED,ba4764ea-6dd7-44c2-a702-80dd0e20a564,54.60004,-130.59895,17.20867,5.98449,-7.40188,-7.1656,0.71527,-6.22499,4.03309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-10,12:34:53.54,2,2,"Sohosky, Zac",1000224033,Left,MIA_RED,"Hill, Cameron",1000112762,Right,OHI_BOB,Undefined,1,Top,0,1,0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,83.28643,-0.452565,2.261355,1597.214414,113.001721,9:45,5.87172,-1.05111,6.30718,-30.76462,9.98745,-19.67151,2.89076,-0.60612,74.25323,-6.285138,-1.297618,0.459458,,,,,,,,,,,,11.0343,5.81654,0.8942,50,5.82416,-4.01029,-120.70053,-1.84079,15.78834,30.07565,-23.85151,MIA_RED,OHI_BOB,McKieFieldStad,D1,MAC,20260410-McKieFieldStad-1,34234b80-34fb-11f1-a8a0-c75cc342d123,82.03667,,,9.0332,,,,,,,3d2edc3c-52c2-40cf-b942-4e8b92551e20,2026-04-10,16:34:53.54,2026-04-10T12:34:53.5480320-04:00,2026-04-10T16:34:53.5480320Z,,v3,471355,471399,f3f5aaf3fcf54a4cbc29fe2d3be44e57,"Raether, Carson",1000338521,Right,MIA_RED,fbf23f56-7bd6-4026-a21b-3efd1011cdc1,54.18776,-121.73954,15.03783,5.87352,-1.0168,-11.92575,1.04217,-4.55573,7.89417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-10,12:35:12.43,2,3,"Sohosky, Zac",1000224033,Left,MIA_RED,"Hill, Cameron",1000112762,Right,OHI_BOB,Undefined,1,Top,0,1,1,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.04598,-3.669311,2.649926,1687.069406,126.699987,10:15,5.9912,-0.8759,5.94435,-21.75619,15.19946,-18.42816,0.76641,0.04811,78.94912,-7.7869,-0.661133,0.437534,,,,,,,,,,,,10.40646,9.49619,0.67529,50,5.68643,-5.12251,-127.28665,-8.82544,16.65649,32.06685,-16.97453,MIA_RED,OHI_BOB,McKieFieldStad,D1,MAC,20260410-McKieFieldStad-1,3f60a510-34fb-11f1-a8a0-c75cc342d123,86.14748,,,9.09685,,,,,,,3d2edc3c-52c2-40cf-b942-4e8b92551e20,2026-04-10,16:35:12.43,2026-04-10T12:35:12.4355072-04:00,2026-04-10T16:35:12.4355072Z,,v3,471355,471399,f3f5aaf3fcf54a4cbc29fe2d3be44e57,"Raether, Carson",1000338521,Right,MIA_RED,df80d5b2-cb63-438c-8670-6b4fce169b42,54.55164,-128.42821,16.03343,5.98986,-8.22115,-8.48726,0.8682,-5.71547,8.32824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-10,12:35:33.82,2,4,"Sohosky, Zac",1000224033,Left,MIA_RED,"Hill, Cameron",1000112762,Right,OHI_BOB,Undefined,1,Top,0,2,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,82.73776,-1.388916,2.407302,1608.831122,126.028527,10:15,5.91827,-0.8407,6.28961,-29.45628,11.31623,-13.53989,2.18229,0.25067,74.8745,-6.93893,-0.041409,0.459574,,,,,,,,,,,,7.76705,6.76304,0.66947,50,5.80195,-4.52838,-119.99347,-3.75685,11.15917,26.37819,-22.45741,MIA_RED,OHI_BOB,McKieFieldStad,D1,MAC,20260410-McKieFieldStad-1,4c29f5d0-34fb-11f1-a8a0-c75cc342d123,82.01608,,,7.86326,,,,,,,3d2edc3c-52c2-40cf-b942-4e8b92551e20,2026-04-10,16:35:33.82,2026-04-10T12:35:33.8250240-04:00,2026-04-10T16:35:33.8250240Z,,v3,471355,471399,f3f5aaf3fcf54a4cbc29fe2d3be44e57,"Raether, Carson",1000338521,Right,MIA_RED,0194caff-f61c-46f8-9a71-1cc8bc5146f2,54.20566,-120.91447,13.18909,5.91943,-2.97275,-11.2287,0.83438,-4.918,5.57958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-10,12:36:20.65,2,5,"Sohosky, Zac",1000224033,Left,MIA_RED,"Hill, Cameron",1000112762,Right,OHI_BOB,Undefined,1,Top,0,2,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.56444,-4.519837,2.572984,1601.708412,123.342921,10:00,5.88908,-0.80907,6.21332,-29.23407,11.56682,-15.08202,-0.73114,0.31018,75.11188,-9.990312,-0.154343,0.459733,,,,,,,,,,,,8.87548,8.07981,0.62398,50,5.53498,-4.86953,-120.7403,-10.39887,12.72693,29.77664,-20.58809,MIA_RED,OHI_BOB,McKieFieldStad,D1,MAC,20260410-McKieFieldStad-1,6814df30-34fb-11f1-a8a0-c75cc342d123,81.98758,,,8.45256,,,,,,,3d2edc3c-52c2-40cf-b942-4e8b92551e20,2026-04-10,16:36:20.65,2026-04-10T12:36:20.6525952-04:00,2026-04-10T16:36:20.6525952Z,,v3,471355,471399,f3f5aaf3fcf54a4cbc29fe2d3be44e57,"Raether, Carson",1000338521,Right,MIA_RED,4899fd0f-f318-4ae6-8003-3f01545c7d25,54.28415,-121.79226,14.88832,5.88951,-9.67152,-10.29405,0.80395,-5.31916,6.36346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-10,12:36:41.30,2,6,"Sohosky, Zac",1000224033,Left,MIA_RED,"Hill, Cameron",1000112762,Right,OHI_BOB,Undefined,1,Top,0,3,2,Fastball,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,,90.43383,-0.505709,2.371533,1768.266373,136.745899,10:30,5.98245,-0.88863,5.6496,-20.50989,14.73162,-12.58449,3.80121,0.27584,80.82711,-4.400072,0.124928,0.427266,,,,,,,,,,,,7.13906,8.01036,0.69547,50,5.92692,-4.84491,-130.9151,-1.81616,12.11775,33.29329,-18.5774,MIA_RED,OHI_BOB,McKieFieldStad,D1,MAC,20260410-McKieFieldStad-1,74594880-34fb-11f1-a8a0-c75cc342d123,88.21769,,,9.60672,,,,,,,3d2edc3c-52c2-40cf-b942-4e8b92551e20,2026-04-10,16:36:41.30,2026-04-10T12:36:41.3007872-04:00,2026-04-10T16:36:41.3007872Z,,v3,471355,471399,f3f5aaf3fcf54a4cbc29fe2d3be44e57,"Raether, Carson",1000338521,Right,MIA_RED,acc1b708-c39b-4175-a096-5575ab109eb2,54.84356,-132.14114,16.64664,5.98121,-1.13204,-9.2887,0.8821,-5.29116,6.05887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
