PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-10,19:05:38.90,1,1,"Robertson, Aaron",839282,Left,WES_HIL,"Solorzano, Steve",814833,Right,NMS_AGG,Undefined,1,Top,0,0,0,FourSeamFastBall,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.13443,-1.986515,2.722199,2257.210305,130.136772,10:15,5.25193,-2.44652,7.17949,-20.72359,12.43446,-13.35662,1.72233,-1.09128,81.58325,-5.985949,0.267205,0.414444,,,,,,,,,,,,7.97827,7.65642,2.29079,50,5.12984,-5.73238,-130.87656,-5.04449,13.653,31.06671,-19.07181,WES_HIL,NMS_AGG,NickDenesField,D1,CUSA,20260410-NickDenesField-1,cb3b8060-3531-11f1-a1b7-d1e91e4b29b7,90.947,,,8.55118,,,,,,,690ec316-c1b3-4215-8d0d-de71890b5827,2026-04-10,23:05:38.90,2026-04-10T19:05:38.9023744-04:00,2026-04-10T23:05:38.9023744Z,,v3,471490,471379,06b33a2bf2c34391b3ee5055030fd4d4,"Ross, Camden",833393,Right,WES_HIL,daf32c4d-8180-4e42-96ad-dcac8da62703,53.31916,-131.66208,15.53335,5.25129,-4.56226,-9.5359,2.4401,-6.0776,6.8265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-10,19:05:54.92,1,2,"Robertson, Aaron",839282,Left,WES_HIL,"Solorzano, Steve",814833,Right,NMS_AGG,Undefined,1,Top,0,0,1,Curveball,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,74.67809,0.568294,2.927494,1955.382193,305.268011,4:15,5.39563,-2.31796,6.62177,-56.93247,-7.6715,13.12816,1.17239,1.45932,68.53908,-9.978522,5.315085,0.505153,,,,,,,,,,,,-5.96977,-3.69189,2.11448,50,5.41207,-5.9699,-108.47572,-0.47005,-7.01931,21.3112,-36.515,WES_HIL,NMS_AGG,NickDenesField,D1,CUSA,20260410-NickDenesField-1,d4e1bf30-3531-11f1-a1b7-d1e91e4b29b7,74.61591,,,6.13901,,,,,,,690ec316-c1b3-4215-8d0d-de71890b5827,2026-04-10,23:05:54.92,2026-04-10T19:05:54.9275648-04:00,2026-04-10T23:05:54.9275648Z,,v3,471490,471379,06b33a2bf2c34391b3ee5055030fd4d4,"Ross, Camden",833393,Right,WES_HIL,3c6c93d5-67ef-43c3-bd18-d85441468806,53.88128,-109.23558,10.6556,5.40562,0.8319,-18.2575,2.32288,-5.71963,-3.50965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-10,19:06:12.09,1,3,"Robertson, Aaron",839282,Left,WES_HIL,"Solorzano, Steve",814833,Right,NMS_AGG,Undefined,1,Top,0,0,2,FourSeamFastBall,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,90.12758,-0.982207,2.61313,2244.878663,134.534203,10:30,5.1995,-2.56877,6.98564,-20.88332,12.3843,-11.43461,2.56496,-1.14355,81.75543,-4.998121,0.519817,0.415128,85.74376,-32.184866,28.779968,,,,,5.97971,5.97971,31.378414,0.038332,6.91489,7.24839,2.4112,50,5.13178,-5.55982,-130.95443,-2.77982,11.88541,30.28726,-19.71541,WES_HIL,NMS_AGG,NickDenesField,D1,CUSA,20260410-NickDenesField-1,defe6680-3531-11f1-a1b7-d1e91e4b29b7,90.79711,2.57404,,8.37214,,,,1.52047,2.57404,1.14449,690ec316-c1b3-4215-8d0d-de71890b5827,2026-04-10,23:06:12.09,2026-04-10T19:06:12.0944640-04:00,2026-04-10T23:06:12.0944640Z,GroundBall,v3,471490,471379,06b33a2bf2c34391b3ee5055030fd4d4,"Ross, Camden",833393,Right,WES_HIL,8847402d-1111-46ee-9802-8e1476ec0eef,53.51482,-131.76483,15.14363,5.1991,-2.25228,-9.8577,2.56422,-5.87784,5.9427,,1.51905,93.51633,,,,,,,,2.57506,-67.15066,,,,,,,,1.14371,51.36847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
4,2026-04-10,19:06:47.73,2,1,"Robertson, Aaron",839282,Left,WES_HIL,"Taclas, Aidan",838428,Left,NMS_AGG,Undefined,1,Top,1,0,0,FourSeamFastBall,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.47306,-1.753124,4.427102,2277.031945,119.269106,10:00,5.36087,-2.55765,7.04271,-24.02647,8.71638,-13.72536,1.76081,0.3283,82.9568,-6.314036,1.91779,0.411841,,,,,,,,,,,,8.53095,5.46681,2.29275,50,5.2466,-9.6653,-131.29062,-4.68096,14.90919,27.46596,-22.61992,WES_HIL,NMS_AGG,NickDenesField,D1,CUSA,20260410-NickDenesField-1,f455f660-3531-11f1-a1b7-d1e91e4b29b7,91.52181,,,7.51625,,,,,,,690ec316-c1b3-4215-8d0d-de71890b5827,2026-04-10,23:06:47.73,2026-04-10T19:06:47.7329408-04:00,2026-04-10T23:06:47.7329408Z,,v3,471490,471379,06b33a2bf2c34391b3ee5055030fd4d4,"Ross, Camden",833393,Right,WES_HIL,58071b78-cb7c-45ee-817b-abde6520e0f1,53.45872,-132.0122,13.73298,5.36177,-4.08669,-11.30996,2.55182,-10.05699,7.4546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-10,19:07:06.18,2,2,"Robertson, Aaron",839282,Left,WES_HIL,"Taclas, Aidan",838428,Left,NMS_AGG,Undefined,1,Top,1,0,1,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.89641,-2.343634,3.984232,2354.736947,141.594951,10:45,5.45275,-2.44687,6.89882,-17.43513,14.77123,-10.83166,1.85854,0.28576,83.41845,-5.708743,2.00914,0.408453,70.81553,29.597541,-146.991545,5097.889478,,,,,46.11853,,,6.95969,8.89331,2.19862,50,5.29812,-8.86781,-133.2306,-5.89791,12.40083,30.9443,-16.32789,WES_HIL,NMS_AGG,NickDenesField,D1,CUSA,20260410-NickDenesField-1,ff409c10-3531-11f1-a1b7-d1e91e4b29b7,92.2809,22.78689,,8.47796,,,,0.91303,1.72754,-0.28294,690ec316-c1b3-4215-8d0d-de71890b5827,2026-04-10,23:07:06.18,2026-04-10T19:07:06.1883392-04:00,2026-04-10T23:07:06.1883392Z,,v3,471490,471379,06b33a2bf2c34391b3ee5055030fd4d4,"Ross, Camden",833393,Right,WES_HIL,4318ee3b-415e-4f65-9c1e-bab21c868d2e,53.60118,-134.06441,15.47215,5.45112,-5.45795,-8.16395,2.44207,-9.20195,6.20042,57.603076,0.91303,-75.73326,3.0787,1.03901,-0.42076,0.13894,-0.02957,0.00524,0,1.72754,51.29822,-24.88978,2.94815,-0.59412,0.10787,-0.01898,0.00472,-0.00096,-0.28294,-49.19765,12.57826,-2.60809,0.58962,-0.10148,0.02183,-0.00721,0.00193,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
6,2026-04-10,19:07:29.97,2,3,"Robertson, Aaron",839282,Left,WES_HIL,"Taclas, Aidan",838428,Left,NMS_AGG,Undefined,1,Top,1,0,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.72836,-2.19688,4.849107,2246.297957,298.1,4:00,5.51563,-2.51849,6.47765,-41.30597,-0.84024,4.03295,0.04785,2.28116,76.02681,-9.807025,5.577926,0.457841,,,,,,,,,,,,-0.65,0.60453,2.17483,50,5.3425,-10.30359,-119.7711,-5.84614,-0.93609,24.98195,-31.30343,WES_HIL,NMS_AGG,NickDenesField,D1,CUSA,20260410-NickDenesField-1,0d69a3e0-3532-11f1-a1b7-d1e91e4b29b7,82.3264,,,6.70155,,,,,,,690ec316-c1b3-4215-8d0d-de71890b5827,2026-04-10,23:07:29.97,2026-04-10T19:07:29.9706880-04:00,2026-04-10T23:07:29.9706880Z,,v3,471490,471379,06b33a2bf2c34391b3ee5055030fd4d4,"Ross, Camden",833393,Right,WES_HIL,bdea2e60-2602-40b9-9f7f-88502eacb602,54.02402,-120.60751,12.49098,5.52069,-4.79808,-15.65172,2.51928,-10.27225,-0.46804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-10,19:07:51.07,2,4,"Robertson, Aaron",839282,Left,WES_HIL,"Taclas, Aidan",838428,Left,NMS_AGG,Undefined,1,Top,1,1,2,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,80.39697,1.635147,2.737063,2297.44038,304.807681,4:15,5.4077,-2.45217,6.60024,-45.22723,-3.15303,6.35248,3.13893,0.58669,73.91332,-6.781833,3.890324,0.466852,79.04838,-16.154134,-72.468695,,,,,10.22842,10.11349,-79.291122,0.089858,-2.56752,-1.68721,2.263,50,5.50131,-5.80556,-116.82482,2.02498,-3.54819,22.01681,-34.50568,WES_HIL,NMS_AGG,NickDenesField,D1,CUSA,20260410-NickDenesField-1,1a166bf0-3532-11f1-a1b7-d1e91e4b29b7,80.73743,2.90761,,6.48365,,,,-1.1231,2.90761,-0.47846,690ec316-c1b3-4215-8d0d-de71890b5827,2026-04-10,23:07:51.07,2026-04-10T19:07:51.0749184-04:00,2026-04-10T23:07:51.0749184Z,GroundBall,v3,471490,471379,06b33a2bf2c34391b3ee5055030fd4d4,"Ross, Camden",833393,Right,WES_HIL,354a0047-23ef-4726-b7de-1a9820c7df3f,53.90199,-117.55789,11.00841,5.41475,3.17388,-17.25284,2.45433,-5.68742,-1.77409,180,-1.12463,33.65006,,,,,,,,2.90908,-32.35781,,,,,,,,-0.47363,-106.52137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2026-04-10,19:08:11.06,2,5,"Robertson, Aaron",839282,Left,WES_HIL,"Taclas, Aidan",838428,Left,NMS_AGG,Undefined,1,Top,1,1,2,FourSeamFastBall,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.32854,-1.035579,4.167807,2432.662907,138.717071,10:30,5.26148,-2.65809,6.90762,-16.04725,15.82749,-12.9367,2.97841,0.06656,83.61689,-4.157227,1.809729,0.406345,65.21429,46.317208,-66.808596,5376.16894,31.51316,70.36044,-105.38924,197.25313,87.24221,-76.366136,4.335969,8.1326,9.04945,2.39942,50,5.1901,-9.26275,-133.91825,-2.80686,14.63579,31.35357,-15.88823,WES_HIL,NMS_AGG,NickDenesField,D1,CUSA,20260410-NickDenesField-1,25eef410-3532-11f1-a1b7-d1e91e4b29b7,92.75971,70.44283,,8.71166,,,,0.55032,2.91494,-0.09363,690ec316-c1b3-4215-8d0d-de71890b5827,2026-04-10,23:08:11.06,2026-04-10T19:08:11.0668288-04:00,2026-04-10T23:08:11.0668288Z,Popup,v3,471490,471379,06b33a2bf2c34391b3ee5055030fd4d4,"Ross, Camden",833393,Right,WES_HIL,6dd7490d-0c71-48fa-8356-5d8b348323ec,53.59241,-134.7567,15.67679,5.25948,-2.38198,-7.94412,2.65235,-9.65413,7.3179,,0.55295,25.94295,-8.64068,1.69063,0.32849,-0.3611,0.11066,-0.01531,0.00081,2.91386,69.19115,-19.93142,1.51761,-0.23371,-0.02968,0.03536,-0.00812,0.0006,-0.09559,-60.66977,7.6591,-1.14131,-0.2886,0.26893,-0.08196,0.01162,-0.00064,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
9,2026-04-10,19:08:40.14,2,6,"Robertson, Aaron",839282,Left,WES_HIL,"Taclas, Aidan",838428,Left,NMS_AGG,Undefined,1,Top,1,1,2,Curveball,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,76.69935,-0.03115,2.180359,2106.220884,323.448115,4:45,5.39841,-2.40552,6.58773,-55.44523,-9.25603,7.87532,0.74941,0.24974,71.1129,-10.262977,3.615164,0.48915,,,,,,,,,,,,-3.55189,-4.50386,2.25312,50,5.37345,-4.50072,-111.59817,-1.6059,-4.4718,20.39745,-37.84438,WES_HIL,NMS_AGG,NickDenesField,D1,CUSA,20260410-NickDenesField-1,37635650-3532-11f1-a1b7-d1e91e4b29b7,77.05708,,,5.58645,,,,,,,690ec316-c1b3-4215-8d0d-de71890b5827,2026-04-10,23:08:40.14,2026-04-10T19:08:40.1497088-04:00,2026-04-10T23:08:40.1497088Z,,v3,471490,471379,06b33a2bf2c34391b3ee5055030fd4d4,"Ross, Camden",833393,Right,WES_HIL,cf7c4543-a12c-4f70-9ec3-4c43662b6378,53.91734,-112.31188,10.19873,5.40647,-0.28171,-18.92219,2.40786,-4.34425,-2.2359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-10,19:09:16.89,3,1,"Robertson, Aaron",839282,Left,WES_HIL,"Clough De Los Santos, Jonatan",10113700,Right,NMS_AGG,Undefined,1,Top,2,0,0,FourSeamFastBall,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.10819,-1.432798,4.627823,2337.62933,122.547435,10:00,5.44943,-2.43012,6.75917,-21.13867,10.89886,-15.45316,2.37463,0.51829,84.06552,-5.45381,1.81999,0.407381,,,,,,,,,,,,9.42288,6.48351,2.13145,50,5.34711,-10.20164,-133.54919,-3.94818,16.99664,29.09585,-20.47934,WES_HIL,NMS_AGG,NickDenesField,D1,CUSA,20260410-NickDenesField-1,4d3d5ca0-3532-11f1-a1b7-d1e91e4b29b7,92.52373,,,8.04268,,,,,,,690ec316-c1b3-4215-8d0d-de71890b5827,2026-04-10,23:09:16.89,2026-04-10T19:09:16.8977920-04:00,2026-04-10T23:09:16.8977920Z,,v3,471490,471379,06b33a2bf2c34391b3ee5055030fd4d4,"Ross, Camden",833393,Right,WES_HIL,62b732ae-ec5c-4802-9fec-7a1995e169b8,53.74146,-134.36185,14.54792,5.4494,-3.37618,-10.23967,2.42302,-10.67637,8.49832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
