PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-10,19:01:45.71,1,1,"Pennington, Mason",10062091,Right,SOU_RED,"Krupp, Kyle",10072907,Left,MOR_EAG,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.53253,-2.603401,-2.194301,2126.017976,207.474055,1:00,6.4595,1.16515,6.6688,-16.6093,19.07269,9.28386,2.69011,-0.06978,79.59957,-5.819915,-0.504457,0.429928,,,,,,,,,,,,-5.52863,11.18355,-1.0213,50,6.27775,4.5163,-127.03394,-6.16213,-8.96882,27.78555,-14.03152,SOU_RED,MOR_EAG,SEMissouriState,D1,OVC,20260410-SEMissouriState-2,a38338d0-3539-11f1-8c0a-2b454866b08e,87.67147,,,7.93296,,,,,,,86845f94-09c2-438f-b9c2-fae75ca9aab9,2026-04-11,00:01:45.71,2026-04-10T19:01:45.7149952-05:00,2026-04-11T00:01:45.7149952Z,,v3,471444,471366,,"Sims, Tank",10135104,Right,SOU_RED,59d9f96d-b20d-4368-bb20-d8f4fb190186,53.82804,-127.86849,13.89278,6.4565,-5.74069,-7.01576,-1.16099,4.78568,-4.48441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-10,19:01:56.96,1,2,"Pennington, Mason",10062091,Right,SOU_RED,"Krupp, Kyle",10072907,Left,MOR_EAG,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.78333,-2.890335,-3.545885,2254.871946,200.634421,12:45,6.45408,1.04293,6.77259,-12.10414,21.80789,7.76752,2.79891,-1.55169,81.42822,-5.289932,-2.132732,0.41913,,,,,,,,,,,,-5.2467,12.84044,-0.81439,50,6.26033,7.78368,-130.17129,-6.82171,-8.91392,29.82965,-10.35861,SOU_RED,MOR_EAG,SEMissouriState,D1,OVC,20260410-SEMissouriState-2,aa314640-3539-11f1-8c0a-2b454866b08e,89.93026,,,8.35512,,,,,,,86845f94-09c2-438f-b9c2-fae75ca9aab9,2026-04-11,00:01:56.96,2026-04-10T19:01:56.9654272-05:00,2026-04-11T00:01:56.9654272Z,,v3,471444,471366,,"Sims, Tank",10135104,Right,SOU_RED,91a66dfe-68a1-4283-b053-bca8379150f6,53.7268,-131.02253,14.91483,6.45078,-6.52611,-5.17931,-1.04014,8.03805,-4.45696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-10,19:02:09.84,1,3,"Pennington, Mason",10062091,Right,SOU_RED,"Krupp, Kyle",10072907,Left,MOR_EAG,Undefined,1,Top,0,1,1,Slider,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,80.58813,-0.168966,-1.686357,2191.993188,33.750791,7:15,6.42623,1.11597,6.33621,-49.51857,-6.71929,-5.47016,2.14405,-0.893,73.48736,-9.324798,-2.678472,0.470858,,,,,,,,,,,,2.28898,-2.93067,-0.99087,50,6.39165,3.64722,-117.04099,-1.88631,3.12819,25.13372,-36.17923,SOU_RED,MOR_EAG,SEMissouriState,D1,OVC,20260410-SEMissouriState-2,b1f02770-3539-11f1-8c0a-2b454866b08e,80.05061,,,7.10076,,,,,,,86845f94-09c2-438f-b9c2-fae75ca9aab9,2026-04-11,00:02:09.84,2026-04-10T19:02:09.8469888-05:00,2026-04-11T00:02:09.8469888Z,,v3,471444,471366,,"Sims, Tank",10135104,Right,SOU_RED,fa9e934a-3236-48cd-beee-8b6f19658601,54.16232,-117.93143,12.56686,6.43577,-0.60455,-18.08962,-1.11812,3.53639,1.56409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-10,19:02:26.84,1,4,"Pennington, Mason",10062091,Right,SOU_RED,"Krupp, Kyle",10072907,Left,MOR_EAG,Undefined,1,Top,0,1,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.225,-2.769807,-1.837866,2276.929739,206.168408,12:45,6.52845,1.13685,6.67172,-10.99922,22.74234,10.58127,3.07456,0.33664,81.52965,-4.972629,0.088215,0.418075,,,,,,,,,,,,-6.1387,13.1967,-1.01747,50,6.33779,3.78698,-130.90574,-6.52021,-10.5157,30.93541,-9.56787,SOU_RED,MOR_EAG,SEMissouriState,D1,OVC,20260410-SEMissouriState-2,bc05a2d0-3539-11f1-8c0a-2b454866b08e,90.15715,,,8.69535,,,,,,,86845f94-09c2-438f-b9c2-fae75ca9aab9,2026-04-11,00:02:26.84,2026-04-10T19:02:26.8483072-05:00,2026-04-11T00:02:26.8483072Z,,v3,471444,471366,,"Sims, Tank",10135104,Right,SOU_RED,e58f6ba1-e5c9-4e42-ba79-6ee7364006e1,53.82508,-131.80657,15.4677,6.5236,-6.24159,-4.78394,-1.1322,4.0932,-5.25785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-10,19:02:42.02,1,5,"Pennington, Mason",10062091,Right,SOU_RED,"Krupp, Kyle",10072907,Left,MOR_EAG,Undefined,1,Top,0,1,2,Slider,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,79.59421,-0.929413,-1.521941,2125.299319,59.400203,8:00,6.30943,1.22929,6.36814,-46.84227,-2.6291,-7.21902,1.55032,-0.77306,72.04481,-9.623813,-2.832272,0.478572,,,,,,,,,,,,3.20591,-0.49268,-1.11637,50,6.22165,3.33219,-115.4748,-3.28381,4.22687,26.22189,-32.82365,SOU_RED,MOR_EAG,SEMissouriState,D1,OVC,20260410-SEMissouriState-2,c51b8880-3539-11f1-8c0a-2b454866b08e,78.76025,,,7.5494,,,,,,,86845f94-09c2-438f-b9c2-fae75ca9aab9,2026-04-11,00:02:42.02,2026-04-10T19:02:42.0230000-05:00,2026-04-11T00:02:42.0230000Z,,v3,471444,471366,,"Sims, Tank",10135104,Right,SOU_RED,5fa27ef0-3d8c-4b0e-8590-438d0d09eb2f,54.12807,-116.40843,13.11095,6.31776,-2.11514,-16.41182,-1.23233,3.18169,2.11343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.38448,2.930129,1.96736,0.962769,-1.06912,1.11826,0.8974,1.12288,4.1203,1.17401,64.22708,4.37536,60.57472,1.16926,74.02782,-8.90773,4.15327,15.46805,-15.86109,1.16282,62.89344,-1.21862,High,High,High,,,Medium,Medium,Medium
6,2026-04-10,19:03:12.12,2,1,"Pennington, Mason",10062091,Right,SOU_RED,"Germann, Davis",10326206,Right,MOR_EAG,Undefined,1,Top,1,0,0,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,80.20348,0.621404,-0.634492,2265.178471,56.333557,8:00,6.40619,1.30753,6.28476,-46.16585,-2.82217,-6.52378,3.1318,0.17909,72.75466,-7.957267,-1.815975,0.473843,67.20369,23.29301,161.463636,3205.623024,,,,,29.35077,,,3.1728,-1.19272,-1.25782,50,6.4303,1.52932,-116.47392,-0.14975,4.28738,25.20753,-33.78577,SOU_RED,MOR_EAG,SEMissouriState,D1,OVC,20260410-SEMissouriState-2,d70baa70-3539-11f1-8c0a-2b454866b08e,79.5463,14.38633,,7.44882,,,,1.4671,2.90216,-0.25085,86845f94-09c2-438f-b9c2-fae75ca9aab9,2026-04-11,00:03:12.12,2026-04-10T19:03:12.1213952-05:00,2026-04-11T00:03:12.1213952Z,,v3,471444,471366,,"Sims, Tank",10135104,Right,SOU_RED,3a60e4c3-b096-4ae9-a92d-755316460542,54.21313,-117.3822,12.60376,6.41376,1.06761,-16.89289,-1.31014,1.37484,2.14369,266.551997,1.46162,-85.63453,11.98936,,,,,,,2.90765,38.77417,-19.98223,,,,,,,-0.23946,28.35897,-13.485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
7,2026-04-10,19:03:27.46,2,2,"Pennington, Mason",10062091,Right,SOU_RED,"Germann, Davis",10326206,Right,MOR_EAG,Undefined,1,Top,1,0,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,79.94351,-3.503123,-2.618244,2134.192213,29.765525,7:00,6.30768,1.1984,6.44277,-47.79321,-4.11114,-3.23142,-0.90136,-1.47837,73.23073,-12.270481,-3.206435,0.475689,,,,,,,,,,,,0.81606,-0.47992,-1.01128,50,6.03825,5.40937,-115.79412,-8.51991,1.0875,25.35351,-32.8136,SOU_RED,MOR_EAG,SEMissouriState,D1,OVC,20260410-SEMissouriState-2,e02eaf80-3539-11f1-8c0a-2b454866b08e,79.23758,,,6.71278,,,,,,,86845f94-09c2-438f-b9c2-fae75ca9aab9,2026-04-11,00:03:27.46,2026-04-10T19:03:27.4669568-05:00,2026-04-11T00:03:27.4669568Z,,v3,471444,471366,,"Sims, Tank",10135104,Right,SOU_RED,b6800ec3-e121-4193-87c5-7109d84c79a4,54.05513,-116.67863,12.67676,6.31551,-7.37514,-16.4068,-1.19933,5.37143,0.54375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-10,19:03:43.96,2,3,"Pennington, Mason",10062091,Right,SOU_RED,"Germann, Davis",10326206,Right,MOR_EAG,Undefined,1,Top,1,1,1,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,80.68549,-2.077547,-1.962385,2145.836019,234.657415,1:45,6.37281,1.29723,6.56223,-29.4412,12.84351,16.02182,2.01278,0.8326,73.3934,-7.641019,0.952244,0.468018,,,,,,,,,,,,-9.05268,7.8328,-1.16841,50,6.21719,3.45723,-117.12966,-5.02284,-12.42549,24.59924,-21.42299,SOU_RED,MOR_EAG,SEMissouriState,D1,OVC,20260410-SEMissouriState-2,e9ff59b0-3539-11f1-8c0a-2b454866b08e,80.53623,,,7.29209,,,,,,,86845f94-09c2-438f-b9c2-fae75ca9aab9,2026-04-11,00:03:43.96,2026-04-10T19:03:43.9682048-05:00,2026-04-11T00:03:43.9682048Z,,v3,471444,471366,,"Sims, Tank",10135104,Right,SOU_RED,6339ee74-2d08-4052-935a-f98f767282f3,53.93594,-117.95338,12.29962,6.37337,-4.30548,-10.71149,-1.29114,3.87331,-6.21274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-10,19:04:01.31,2,4,"Pennington, Mason",10062091,Right,SOU_RED,"Germann, Davis",10326206,Right,MOR_EAG,Undefined,1,Top,1,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.3042,-2.626516,-3.518016,2232.64765,205.65446,12:45,6.52455,1.04203,6.76984,-13.80009,19.81659,8.9417,2.96991,-1.42936,81.65449,-5.3394,-1.890841,0.4173,,,,,,,,,,,,-5.77831,11.61162,-0.81495,50,6.34681,7.69278,-130.85913,-6.29299,-9.9035,30.59894,-12.27274,SOU_RED,MOR_EAG,SEMissouriState,D1,OVC,20260410-SEMissouriState-2,f45b7b00-3539-11f1-8c0a-2b454866b08e,90.32448,,,8.64971,,,,,,,86845f94-09c2-438f-b9c2-fae75ca9aab9,2026-04-11,00:04:01.31,2026-04-10T19:04:01.3147648-05:00,2026-04-11T00:04:01.3147648Z,,v3,471444,471366,,"Sims, Tank",10135104,Right,SOU_RED,39514c02-35f9-4001-90fa-88775bf9a4c7,53.72558,-131.7274,15.29947,6.52044,-5.94474,-6.13637,-1.03722,7.9738,-4.95175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-10,19:04:15.63,2,5,"Pennington, Mason",10062091,Right,SOU_RED,"Germann, Davis",10326206,Right,MOR_EAG,Undefined,1,Top,1,2,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,90.63425,-2.300468,-1.924773,2227.787621,199.39036,12:45,6.5435,1.08479,6.66792,-12.07457,21.36753,7.1,3.43019,-0.08525,81.85623,-4.698794,-0.632643,0.416215,,,,,,,,,,,,-4.31469,12.29044,-0.95812,50,6.38361,4.13522,-131.50584,-5.50733,-7.45871,31.23056,-10.92773,SOU_RED,MOR_EAG,SEMissouriState,D1,OVC,20260410-SEMissouriState-2,fcde4870-3539-11f1-8c0a-2b454866b08e,90.55992,,,8.77802,,,,,,,86845f94-09c2-438f-b9c2-fae75ca9aab9,2026-04-11,00:04:15.63,2026-04-10T19:04:15.6360000-05:00,2026-04-11T00:04:15.6360000Z,,v3,471444,471366,,"Sims, Tank",10135104,Right,SOU_RED,4fe1f96e-377e-473c-aac6-d3165fb66305,53.8274,-132.41166,15.61528,6.53875,-5.19037,-5.46387,-1.08119,4.35156,-3.72935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.66195,,,0.918774,,,,5.34408,5.29896,1.48622,63.82308,4.51352,60.97939,5.39157,71.96477,-9.15851,5.31887,12.07586,-14.12027,1.48406,66.47482,-1.86966,High,High,High,,,Medium,Medium,Medium
