PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-10,21:05:05.77,1,1,"Bayles, Max",814742,Right,SAN_BRO,"Griffith, Tanner",1000125250,Left,STM_GAE,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.19895,-2.37708,1.364858,2396.787556,190.949957,12:15,6.62271,0.10035,6.49997,-13.79351,18.71725,3.44146,3.2895,1.64016,84.2628,-5.02499,1.989311,0.410379,,,,,,,,,,,,-1.46079,10.69016,-0.19719,50,6.44978,-3.29528,-132.60384,-5.84724,-2.62832,25.56158,-12.93953,SAN_BRO,STM_GAE,StephenSchottBBS,D1,WCC,20260410-StephenSchottBBS-1,7a699710-3542-11f1-a7f2-bb8742b4b259,91.84791,,,6.93614,,,,,,,017f8e33-80be-4c57-9638-d8cbda12cce6,2026-04-11,01:05:05.77,2026-04-10T21:05:05.7700352-04:00,2026-04-11T01:05:05.7700352Z,,v3,471436,471428,4d73147f010546cabb1e3fb215a2a0ea,"Luetzow, Johnny",805158,Right,SAN_BRO,506d6593-e7c7-4d17-bd0b-4698c2617efd,53.99975,-133.37263,12.78079,6.61979,-5.45807,-6.46977,-0.09927,-3.21623,-1.31416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-10,21:05:19.68,1,2,"Bayles, Max",814742,Right,SAN_BRO,"Griffith, Tanner",1000125250,Left,STM_GAE,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.7954,-5.439027,0.104156,2496.690089,186.994097,12:15,6.60891,0.1576,6.58926,-11.89064,21.12352,2.46658,0.61908,0.45859,83.74159,-7.733296,0.552784,0.413544,,,,,,,,,,,,-1.28264,12.89965,-0.16573,50,6.2306,-0.33122,-131.5852,-12.79698,-2.2624,26.34473,-9.4208,SAN_BRO,STM_GAE,StephenSchottBBS,D1,WCC,20260410-StephenSchottBBS-1,82b2ddf0-3542-11f1-a7f2-bb8742b4b259,91.14499,,,7.05381,,,,,,,017f8e33-80be-4c57-9638-d8cbda12cce6,2026-04-11,01:05:19.68,2026-04-10T21:05:19.6893184-04:00,2026-04-11T01:05:19.6893184Z,,v3,471436,471428,4d73147f010546cabb1e3fb215a2a0ea,"Luetzow, Johnny",805158,Right,SAN_BRO,8474b9e1-5d90-40ab-9ff7-c4dcc889ae34,53.91211,-132.36613,13.17236,6.6058,-12.51772,-4.7104,-0.15691,-0.26416,-1.1312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-10,21:05:34.67,1,3,"Bayles, Max",814742,Right,SAN_BRO,"Griffith, Tanner",1000125250,Left,STM_GAE,Undefined,1,Top,0,2,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.66951,-3.740588,0.206507,2450.951061,190.717521,12:15,6.65077,-0.03418,6.39654,-12.41406,20.22159,3.6313,2.17118,0.45835,84.04882,-6.143468,0.864543,0.411166,75.13282,38.0788,-142.1225,3773.42247,,,,,48.58716,,,-1.85264,11.938,0.01772,50,6.37614,-0.62269,-133.06273,-8.99857,-3.32502,28.27469,-10.74847,SAN_BRO,STM_GAE,StephenSchottBBS,D1,WCC,20260410-StephenSchottBBS-1,8ba3fd90-3542-11f1-a7f2-bb8742b4b259,91.67199,32.57429,,7.62069,,,,1.63661,2.15405,-0.42881,017f8e33-80be-4c57-9638-d8cbda12cce6,2026-04-11,01:05:34.67,2026-04-10T21:05:34.6704896-04:00,2026-04-11T01:05:34.6704896Z,,v3,471436,471428,4d73147f010546cabb1e3fb215a2a0ea,"Luetzow, Johnny",805158,Right,SAN_BRO,3283a557-2dc3-4bae-b0db-3d96de3e5e14,54.10394,-133.93194,14.13735,6.64769,-8.66815,-5.37424,0.03529,-0.52047,-1.66251,,1.63661,-68.46699,1.68444,-0.4332,0.08842,-0.02323,0.00718,-0.00288,0.00084,2.15405,67.96195,-31.60533,5.04343,-1.21777,0.29836,-0.07848,0.02051,-0.00387,-0.42881,-53.25693,11.35421,-2.749,0.62485,-0.15763,0.04205,-0.01176,0.00244,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
4,2026-04-10,21:05:52.67,1,4,"Bayles, Max",814742,Right,SAN_BRO,"Griffith, Tanner",1000125250,Left,STM_GAE,Undefined,1,Top,0,2,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,81.08019,-0.959321,-0.041206,2802.634978,43.92507,7:30,6.64055,0.18588,5.58762,-46.27495,-3.26941,-4.44382,1.88841,-0.22292,74.70343,-9.382503,-0.836792,0.471991,,,,,,,,,,,,2.24547,-0.99158,-0.17936,50,6.52789,0.2599,-117.77478,-3.56566,3.14676,22.84217,-33.5636,SAN_BRO,STM_GAE,StephenSchottBBS,D1,WCC,20260410-StephenSchottBBS-1,966681d0-3542-11f1-a7f2-bb8742b4b259,79.85841,,,6.37676,,,,,,,017f8e33-80be-4c57-9638-d8cbda12cce6,2026-04-11,01:05:52.67,2026-04-10T21:05:52.6761984-04:00,2026-04-11T01:05:52.6761984Z,,v3,471436,471428,4d73147f010546cabb1e3fb215a2a0ea,"Luetzow, Johnny",805158,Right,SAN_BRO,3dc50aa9-1ca9-4214-8272-c99ed6961984,54.91339,-118.7239,11.42108,6.64707,-2.17106,-16.7818,-0.18744,0.12915,1.57338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-10,21:06:08.97,1,5,"Bayles, Max",814742,Right,SAN_BRO,"Griffith, Tanner",1000125250,Left,STM_GAE,Undefined,1,Top,0,2,2,Slider,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,81.03995,-0.646105,0.473895,2837.404594,18.095288,6:30,6.6418,0.26132,5.37747,-50.93826,-7.6117,-2.92103,1.7912,0.46217,74.83396,-9.857869,-0.047288,0.473749,78.94271,-32.93143,68.529182,,,,,4.7612,3.14693,29.589531,0.032078,1.61973,-3.36996,-0.30156,50,6.54721,-0.85857,-117.73756,-3.13437,2.27041,22.64314,-36.89787,SAN_BRO,STM_GAE,StephenSchottBBS,D1,WCC,20260410-StephenSchottBBS-1,a01cc630-3542-11f1-a7f2-bb8742b4b259,79.56199,2.02377,,6.20599,,,,2.99661,2.02377,-0.55669,017f8e33-80be-4c57-9638-d8cbda12cce6,2026-04-11,01:06:08.97,2026-04-10T21:06:08.9715712-04:00,2026-04-11T01:06:08.9715712Z,GroundBall,v3,471436,471428,4d73147f010546cabb1e3fb215a2a0ea,"Luetzow, Johnny",805158,Right,SAN_BRO,d81004ad-0dc5-4ce0-b8fb-3d7454074508,55.12559,-118.71922,11.32157,6.64842,-1.53473,-18.44894,-0.2622,-0.957,1.13521,,2.99619,35.65213,,,,,,,,2.02452,-63.08861,,,,,,,,-0.55776,90.64358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
6,2026-04-10,21:06:32.50,1,6,"Bayles, Max",814742,Right,SAN_BRO,"Griffith, Tanner",1000125250,Left,STM_GAE,Undefined,1,Top,0,2,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.45501,-2.26463,-0.097174,2429.164617,182.999593,12:00,6.66251,-0.09186,6.62976,-10.26497,21.60324,1.07724,3.73248,-0.09107,84.22312,-4.306716,0.098867,0.406303,,,,,,,,,,,,-0.59051,12.29745,0.09807,50,6.50415,0.18412,-134.32858,-5.48982,-1.07522,30.04633,-9.78313,SAN_BRO,STM_GAE,StephenSchottBBS,D1,WCC,20260410-StephenSchottBBS-1,ae154820-3542-11f1-a7f2-bb8742b4b259,92.76921,,,8.23189,,,,,,,017f8e33-80be-4c57-9638-d8cbda12cce6,2026-04-11,01:06:32.50,2026-04-10T21:06:32.5004288-04:00,2026-04-11T01:06:32.5004288Z,,v3,471436,471428,4d73147f010546cabb1e3fb215a2a0ea,"Luetzow, Johnny",805158,Right,SAN_BRO,d9f879d3-9831-4281-b4f1-d08b46966004,53.8677,-135.19093,15.02317,6.65768,-5.20904,-4.89157,0.09235,0.21498,-0.53761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-10,21:06:52.26,1,7,"Bayles, Max",814742,Right,SAN_BRO,"Griffith, Tanner",1000125250,Left,STM_GAE,Undefined,1,Top,0,3,2,Slider,Curveball,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,79.97993,1.260514,1.360171,2778.756119,24.760394,6:45,6.61413,0.12225,5.46214,-58.12035,-13.64977,-6.93863,2.95113,0.81739,73.49812,-9.279238,0.121683,0.479963,,,,,,,,,,,,3.88099,-6.78347,-0.2372,50,6.68528,-2.47907,-116.15999,0.48058,5.28199,22.551,-41.40631,SAN_BRO,STM_GAE,StephenSchottBBS,D1,WCC,20260410-StephenSchottBBS-1,b9eaea10-3542-11f1-a7f2-bb8742b4b259,78.53194,,,6.48181,,,,,,,017f8e33-80be-4c57-9638-d8cbda12cce6,2026-04-11,01:06:52.26,2026-04-10T21:06:52.2620000-04:00,2026-04-11T01:06:52.2620000Z,,v3,471436,471428,4d73147f010546cabb1e3fb215a2a0ea,"Luetzow, Johnny",805158,Right,SAN_BRO,58f55961-383e-4381-9913-2be8d8fc65a7,55.0412,-117.13459,11.2755,6.62585,2.27005,-20.70315,-0.12513,-2.70735,2.64099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.33835,,,1.331982,,,,-2.79449,6.18466,0.92387,75.85318,5.85678,-48.93321,-2.74149,63.69314,-3.54536,6.24084,18.79344,-14.35757,0.85936,-42.31848,3.73788,High,High,High,,,High,High,High
8,2026-04-10,21:07:24.39,2,1,"Bayles, Max",814742,Right,SAN_BRO,"Castellanos, Diego",1000151796,Left,STM_GAE,Undefined,1,Top,1,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,80.14017,2.438539,1.297759,2731.140433,39.443297,7:15,6.59143,0.30543,5.46624,-51.3281,-7.23063,-7.0391,4.59834,0.93365,73.62722,-6.908409,0.044017,0.477945,,,,,,,,,,,,3.8778,-3.84118,-0.41475,50,6.77107,-2.35047,-116.34067,3.14088,5.3304,21.22644,-37.45415,SAN_BRO,STM_GAE,StephenSchottBBS,D1,WCC,20260410-StephenSchottBBS-1,cd11de50-3542-11f1-a7f2-bb8742b4b259,78.86352,,,6.51295,,,,,,,017f8e33-80be-4c57-9638-d8cbda12cce6,2026-04-11,01:07:24.39,2026-04-10T21:07:24.3913216-04:00,2026-04-11T01:07:24.3913216Z,,v3,471436,471428,4d73147f010546cabb1e3fb215a2a0ea,"Luetzow, Johnny",805158,Right,SAN_BRO,e9014ab6-c648-43fa-8ece-661902542c00,55.03555,-117.25581,10.61322,6.60085,4.75565,-18.72707,-0.30846,-2.58028,2.6652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-10,21:07:40.18,2,2,"Bayles, Max",814742,Right,SAN_BRO,"Castellanos, Diego",1000151796,Left,STM_GAE,Undefined,1,Top,1,1,0,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,80.72142,-0.703468,-0.143072,2650.713487,34.836436,7:15,6.55078,0.21311,5.72791,-48.32117,-5.04244,-4.4737,1.86881,-0.29295,74.18937,-9.522687,-0.946145,0.473488,,,,,,,,,,,,2.26146,-2.05165,-0.19829,50,6.46187,0.46207,-117.27521,-3.05257,3.13,23.45915,-35.01367,SAN_BRO,STM_GAE,StephenSchottBBS,D1,WCC,20260410-StephenSchottBBS-1,d67547c0-3542-11f1-a7f2-bb8742b4b259,79.60598,,,6.53205,,,,,,,017f8e33-80be-4c57-9638-d8cbda12cce6,2026-04-11,01:07:40.18,2026-04-10T21:07:40.1805824-04:00,2026-04-11T01:07:40.1805824Z,,v3,471436,471428,4d73147f010546cabb1e3fb215a2a0ea,"Luetzow, Johnny",805158,Right,SAN_BRO,58afc9b7-da11-4546-a2d7-0b65ddabbbc2,54.77422,-118.22637,11.72957,6.55686,-1.63293,-17.50684,-0.21445,0.33516,1.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-10,21:08:02.49,2,3,"Bayles, Max",814742,Right,SAN_BRO,"Castellanos, Diego",1000151796,Left,STM_GAE,Undefined,1,Top,1,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.45543,-2.497884,2.478259,2192.615897,183.88133,12:15,6.602,0.01593,6.57577,-14.92426,17.96324,1.14193,3.06526,2.38398,82.99978,-5.389064,2.685528,0.41275,,,,,,,,,,,,0.16008,10.49961,-0.18649,50,6.42354,-5.78735,-132.63854,-6.14627,0.28261,30.74708,-13.6371,SAN_BRO,STM_GAE,StephenSchottBBS,D1,WCC,20260410-StephenSchottBBS-1,e3bb4290-3542-11f1-a7f2-bb8742b4b259,91.32031,,,8.45565,,,,,,,017f8e33-80be-4c57-9638-d8cbda12cce6,2026-04-11,01:08:02.49,2026-04-10T21:08:02.4942592-04:00,2026-04-11T01:08:02.4942592Z,,v3,471436,471428,4d73147f010546cabb1e3fb215a2a0ea,"Luetzow, Johnny",805158,Right,SAN_BRO,82f1384b-6f66-4010-9edb-89c006100fcb,53.92037,-133.54423,15.37354,6.59866,-5.74457,-6.81855,-0.0159,-5.79568,0.14131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
