PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-10,18:35:50.28,1,1,"Cehajic, Trey",824658,Right,TUL_GRE,"Burress, Braden",831271,Right,ECU_PIR,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Error,0,0,,92.35482,-2.206577,-1.889273,2051.007505,215.934091,1:15,6.01104,1.19575,6.58118,-16.75221,15.41942,10.37816,2.59069,0.32853,83.8473,-5.429716,-0.00257,0.408233,95.79762,-4.771526,-20.59846,,,,,21.89203,21.5578,-19.534451,0.150733,-6.07244,9.1217,-1.07044,50,5.85253,4.01841,-134.10451,-5.6175,-10.95306,31.57761,-15.72089,TUL_GRE,ECU_PIR,Tulane,D1,AMER,20260410-Tulane-1,0272a550-3536-11f1-8d47-c7a413af776e,92.33076,2.51765,,8.50752,,,,1.12963,2.51765,-0.181,517bb551-153d-406b-9b83-f59e93edee94,2026-04-10,23:35:50.28,2026-04-10T18:35:50.2844928-05:00,2026-04-10T23:35:50.2844928Z,GroundBall,v3,471471,471285,672c510969fd4128b0ef1e06e790dc52,"Pinkney, Hugh",692218,Right,TUL_GRE,0dbdcb66-9998-461b-b8c4-c20a48651ec3,53.91825,-135.02399,15.78881,6.00943,-5.15974,-7.86045,-1.1921,4.33735,-5.47653,335.414314,1.12934,131.0904,-11.30005,,,,,,,2.51831,-11.74513,-32.94786,,,,,,,-0.18111,-49.25049,12.53373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,High,,,
2,2026-04-10,18:36:35.73,2,1,"Cehajic, Trey",824658,Right,TUL_GRE,"Whitaker, Davin",825279,Left,ECU_PIR,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.3596,-2.164626,-2.044205,1872.222218,230.745463,1:45,5.9916,1.70494,6.4599,-19.69993,12.62194,14.09501,2.35936,1.00097,83.90225,-5.911918,0.512989,0.409185,,,,,,,,,,,,-7.94441,7.58138,-1.56605,50,5.82966,4.20066,-134.05019,-5.64493,-14.3328,31.27519,-18.49616,TUL_GRE,ECU_PIR,Tulane,D1,AMER,20260410-Tulane-1,1da191b0-3536-11f1-8d47-c7a413af776e,92.11593,,,8.45735,,,,,,,517bb551-153d-406b-9b83-f59e93edee94,2026-04-10,23:36:35.73,2026-04-10T18:36:35.7350912-05:00,2026-04-10T23:36:35.7350912Z,,v3,471471,471285,672c510969fd4128b0ef1e06e790dc52,"Pinkney, Hugh",692218,Right,TUL_GRE,a853e2be-413e-416e-96d5-7aa1e235a3be,54.03773,-134.98894,15.6376,5.99076,-5.08975,-9.24808,-1.69859,4.63088,-7.1664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-10,18:36:56.70,2,2,"Cehajic, Trey",824658,Right,TUL_GRE,"Whitaker, Davin",825279,Left,ECU_PIR,Undefined,1,Top,0,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,87.73382,-2.886499,-2.464985,1442.705836,237.684363,2:00,5.94096,1.66315,6.97922,-26.26482,8.87603,12.15056,1.12227,0.43238,80.03609,-7.862196,-0.237457,0.426656,,,,,,,,,,,,-7.22335,5.97768,-1.51458,50,5.75411,5.04959,-127.36087,-7.12924,-11.76092,28.29008,-22.44128,TUL_GRE,ECU_PIR,Tulane,D1,AMER,20260410-Tulane-1,2a134c90-3536-11f1-8d47-c7a413af776e,88.34394,,,7.69773,,,,,,,517bb551-153d-406b-9b83-f59e93edee94,2026-04-10,23:36:56.70,2026-04-10T18:36:56.7010816-05:00,2026-04-10T23:36:56.7010816Z,,v3,471471,471285,672c510969fd4128b0ef1e06e790dc52,"Pinkney, Hugh",692218,Right,TUL_GRE,13f26fca-9105-4da1-bf17-e8f7746b9ff1,53.51945,-128.14025,14.14504,5.942,-6.511,-11.22064,-1.65815,5.3736,-5.88046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-10,18:37:37.61,2,3,"Cehajic, Trey",824658,Right,TUL_GRE,"Whitaker, Davin",825279,Left,ECU_PIR,Undefined,1,Top,0,1,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,88.38459,-3.189519,-3.69894,1503.203444,244.327406,2:15,5.9397,1.45613,6.83407,-29.37667,5.76906,9.38276,0.57358,-1.14026,80.21989,-8.715853,-1.986182,0.426685,,,,,,,,,,,,-6.17882,4.46776,-1.22163,50,5.72409,7.93193,-128.0226,-7.98906,-10.09534,30.25951,-24.87436,TUL_GRE,ECU_PIR,Tulane,D1,AMER,20260410-Tulane-1,427472f0-3536-11f1-8d47-c7a413af776e,88.33783,,,8.16469,,,,,,,517bb551-153d-406b-9b83-f59e93edee94,2026-04-10,23:37:37.61,2026-04-10T18:37:37.6129024-05:00,2026-04-10T23:37:37.6129024Z,,v3,471471,471285,672c510969fd4128b0ef1e06e790dc52,"Pinkney, Hugh",692218,Right,TUL_GRE,76821771-99dc-4833-bd92-42c0699fbb02,53.66412,-128.88574,15.12976,5.94186,-7.27952,-12.43718,-1.45199,8.2199,-5.04767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-10,18:38:19.03,2,4,"Cehajic, Trey",824658,Right,TUL_GRE,"Whitaker, Davin",825279,Left,ECU_PIR,Undefined,1,Top,0,2,1,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,92.71946,-1.806979,-2.338595,2078.506757,235.763448,1:45,6.06918,1.56165,6.53185,-19.84785,12.5391,16.6143,2.75569,0.79975,83.14549,-5.614506,0.67907,0.409597,,,,,,,,,,,,-9.41851,7.53563,-1.40532,50,5.93511,4.78836,-134.4253,-4.80883,-16.85939,35.04365,-18.68506,TUL_GRE,ECU_PIR,Tulane,D1,AMER,20260410-Tulane-1,5b24cac0-3536-11f1-8d47-c7a413af776e,92.02328,,,9.57397,,,,,,,517bb551-153d-406b-9b83-f59e93edee94,2026-04-10,23:38:19.03,2026-04-10T18:38:19.0370816-05:00,2026-04-10T23:38:19.0370816Z,,v3,471471,471285,672c510969fd4128b0ef1e06e790dc52,"Pinkney, Hugh",692218,Right,TUL_GRE,9eec4c5c-cbd9-43b8-94b5-70ea1f19f80e,53.96374,-135.45467,17.52182,6.0683,-4.25998,-9.34253,-1.55324,5.28359,-8.4297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-10,18:39:02.43,2,5,"Cehajic, Trey",824658,Right,TUL_GRE,"Whitaker, Davin",825279,Left,ECU_PIR,Undefined,1,Top,0,2,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.72199,-0.964628,-1.778446,2076.759842,226.38758,1:30,6.11817,1.6879,6.45563,-18.73462,14.16056,13.64016,3.67029,1.19029,82.8028,-4.56032,0.695527,0.412798,,,,,,,,,,,,-7.63032,8.03591,-1.56738,50,6.04141,3.56409,-133.14275,-2.76443,-13.51166,32.19084,-17.94418,TUL_GRE,ECU_PIR,Tulane,D1,AMER,20260410-Tulane-1,750405a0-3536-11f1-8d47-c7a413af776e,91.30967,,,8.9192,,,,,,,517bb551-153d-406b-9b83-f59e93edee94,2026-04-10,23:39:02.43,2026-04-10T18:39:02.4311296-05:00,2026-04-10T23:39:02.4311296Z,,v3,471471,471285,672c510969fd4128b0ef1e06e790dc52,"Pinkney, Hugh",692218,Right,TUL_GRE,f1bc251d-b8bc-450d-8664-69882633762a,54.04066,-134.11613,16.09542,6.11679,-2.22183,-8.97209,-1.68133,3.97265,-6.75583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-10,18:39:37.78,2,6,"Cehajic, Trey",824658,Right,TUL_GRE,"Whitaker, Davin",825279,Left,ECU_PIR,Undefined,1,Top,0,3,2,Fastball,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,,91.66933,-1.023491,-1.573148,1861.293533,233.258956,1:45,5.98757,1.56527,6.54525,-21.69021,11.08473,13.31489,3.24097,1.23177,82.93402,-5.154733,0.846858,0.412043,,,,,,,,,,,,-7.43091,6.47552,-1.46137,50,5.9075,3.11125,-133.12283,-3.01356,-13.16697,31.93431,-20.69996,TUL_GRE,ECU_PIR,Tulane,D1,AMER,20260410-Tulane-1,8a12f3c0-3536-11f1-8d47-c7a413af776e,91.47699,,,8.73531,,,,,,,517bb551-153d-406b-9b83-f59e93edee94,2026-04-10,23:39:37.78,2026-04-10T18:39:37.7864192-05:00,2026-04-10T23:39:37.7864192Z,,v3,471471,471285,672c510969fd4128b0ef1e06e790dc52,"Pinkney, Hugh",692218,Right,TUL_GRE,f369c518-f09a-47de-a421-828aa98fa43a,53.9517,-134.06744,15.96715,5.98758,-2.40127,-10.34998,-1.55916,3.50073,-6.58348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-10,18:40:19.43,3,1,"Cehajic, Trey",824658,Right,TUL_GRE,"Lenahan, Grady",834864,Right,ECU_PIR,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,2,0,,92.68477,-2.318614,-3.293277,2110.024513,217.757759,1:15,6.08531,1.55122,6.57284,-16.4619,16.2232,11.53205,2.58356,-0.50973,82.42045,-5.531896,-1.200769,0.411478,100.07003,-13.144684,-0.757346,,,,,12.95795,12.64761,1.80519,0.084088,-7.27563,9.74595,-1.3293,50,5.91876,7.24827,-134.14908,-5.85566,-12.85388,37.26192,-14.95583,TUL_GRE,ECU_PIR,Tulane,D1,AMER,20260410-Tulane-1,a2e2ba70-3536-11f1-8d47-c7a413af776e,91.6026,2.6223,,10.26431,,,,1.15813,2.6223,0.53002,517bb551-153d-406b-9b83-f59e93edee94,2026-04-10,23:40:19.43,2026-04-10T18:40:19.4363392-05:00,2026-04-10T23:40:19.4363392Z,GroundBall,v3,471471,471285,672c510969fd4128b0ef1e06e790dc52,"Pinkney, Hugh",692218,Right,TUL_GRE,c90bd3ec-4bcc-4903-a459-b3073280065b,53.92313,-135.23439,18.63096,6.08297,-5.42005,-7.47791,-1.54587,7.62266,-6.42694,187.94882,1.15831,142.88202,-31.35262,,,,,,,2.62186,-33.30689,25.35766,,,,,,,0.52995,-1.87824,5.12581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
9,2026-04-10,18:41:01.42,4,1,"Cehajic, Trey",824658,Right,TUL_GRE,"Herring, Jack",801937,Left,ECU_PIR,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.58274,-3.622435,-3.319775,2227.277813,210.557973,1:00,5.95632,1.52455,6.75552,-15.28772,16.58481,9.15079,1.36357,-0.74861,84.27843,-6.574276,-1.653771,0.406331,,,,,,,,,,,,-5.80902,10.16544,-1.30992,50,5.71214,7.42271,-134.15182,-8.87898,-10.51937,30.72886,-13.76573,TUL_GRE,ECU_PIR,Tulane,D1,AMER,20260410-Tulane-1,bbeb9280-3536-11f1-8d47-c7a413af776e,92.76293,,,8.30431,,,,,,,517bb551-153d-406b-9b83-f59e93edee94,2026-04-10,23:41:01.42,2026-04-10T18:41:01.4286848-05:00,2026-04-10T23:41:01.4286848Z,,v3,471471,471285,672c510969fd4128b0ef1e06e790dc52,"Pinkney, Hugh",692218,Right,TUL_GRE,fe983a9c-8546-4b76-9b58-228620f8cd4e,53.74253,-135.00636,15.36443,5.95373,-8.49617,-6.88286,-1.52041,7.71525,-5.25968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-10,18:41:20.79,4,2,"Cehajic, Trey",824658,Right,TUL_GRE,"Herring, Jack",801937,Left,ECU_PIR,Undefined,1,Top,2,1,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,87.09133,-2.501765,-3.626459,1446.167068,279.872669,3:15,6.00845,1.43356,6.9036,-36.93219,-1.12654,13.31867,0.64606,-0.76406,79.71128,-9.397282,-1.188435,0.430672,,,,,,,,,,,,-8.21583,0.50567,-1.20925,50,5.83815,7.5404,-126.36795,-6.60914,-13.16449,27.93417,-31.36379,TUL_GRE,ECU_PIR,Tulane,D1,AMER,20260410-Tulane-1,c77a1950-3536-11f1-8d47-c7a413af776e,87.51996,,,7.38005,,,,,,,517bb551-153d-406b-9b83-f59e93edee94,2026-04-10,23:41:20.79,2026-04-10T18:41:20.7980544-05:00,2026-04-10T23:41:20.7980544Z,,v3,471471,471285,672c510969fd4128b0ef1e06e790dc52,"Pinkney, Hugh",692218,Right,TUL_GRE,b8bf5005-6c61-4086-bf87-00287f1b0f68,53.59706,-127.16061,13.96708,6.01306,-5.71916,-15.68189,-1.42851,7.91395,-6.58224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
