PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-10,15:05:45.77,1,1,"Jensen, Sawyer",10300916,Right,DAY_FLY,"Gale, Joe",10139876,Right,STJ_HAW,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.04204,-2.543561,-2.842631,2169.542399,214.558201,1:15,6.7963,1.03461,5.91412,-14.19048,20.07375,12.95343,3.24867,-0.52629,81.96963,-5.29712,-0.520072,0.4213,,,,,,,,,,,,-7.47414,11.41524,-0.81364,50,6.58397,5.96401,-131.78383,-6.22576,-12.95156,31.83054,-12.39319,DAY_FLY,STJ_HAW,WoernerField,D1,A10,20260410-WoernerField-1,47fbcff0-3510-11f1-955f-af02c5278ba3,89.46693,,,9.07242,,,,,,,538451d0-c684-41b5-b424-fe5770e57453,2026-04-10,19:05:45.77,2026-04-10T15:05:45.7770000-04:00,2026-04-10T19:05:45.7770000Z,,v3,471281,471426,292aaf3116dc42d489bb00e5b6793ef0,"MacDougall, Ryan",836327,Right,DAY_FLY,4696bf45-eb1f-42a5-9aad-8c0ddf5a7ef1,54.57998,-132.88545,15.91527,6.79201,-5.79684,-6.19659,-1.02781,6.41225,-6.47578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-10,15:05:59.75,1,2,"Jensen, Sawyer",10300916,Right,DAY_FLY,"Gale, Joe",10139876,Right,STJ_HAW,Undefined,1,Top,0,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.34979,-4.287593,-2.828128,2337.44925,208.858562,1:00,6.78922,1.01882,5.81975,-11.55571,22.9047,11.87544,1.82763,-0.62308,81.86394,-6.56868,-0.703055,0.422505,,,,,,,,,,,,-6.99422,13.50205,-0.79437,50,6.4309,5.98616,-131.91597,-10.15971,-12.07165,33.43297,-8.87025,DAY_FLY,STJ_HAW,WoernerField,D1,A10,20260410-WoernerField-1,505877c0-3510-11f1-955f-af02c5278ba3,89.21186,,,9.48584,,,,,,,538451d0-c684-41b5-b424-fe5770e57453,2026-04-10,19:05:59.75,2026-04-10T15:05:59.7580000-04:00,2026-04-10T19:05:59.7580000Z,,v3,471281,471426,292aaf3116dc42d489bb00e5b6793ef0,"MacDougall, Ryan",836327,Right,DAY_FLY,e8a29b68-135c-47df-a534-71746546351e,54.67491,-133.09551,16.71648,6.78382,-9.84676,-4.43512,-1.01307,6.41205,-6.03583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-10,15:06:11.64,1,3,"Jensen, Sawyer",10300916,Right,DAY_FLY,"Gale, Joe",10139876,Right,STJ_HAW,Undefined,1,Top,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.58877,-1.100665,-2.695233,2105.138484,204.819817,12:45,6.8909,1.07952,5.92171,-15.25694,19.51233,8.40552,4.59687,-0.7229,80.98146,-4.068154,-1.188203,0.424394,,,,,,,,,,,,-5.16603,10.69394,-0.86821,50,6.79409,5.79485,-131.13466,-2.9176,-8.80436,33.22762,-13.94855,DAY_FLY,STJ_HAW,WoernerField,D1,A10,20260410-WoernerField-1,576ee3f0-3510-11f1-955f-af02c5278ba3,88.81474,,,9.60732,,,,,,,538451d0-c684-41b5-b424-fe5770e57453,2026-04-10,19:06:11.64,2026-04-10T15:06:11.6460000-04:00,2026-04-10T19:06:11.6460000Z,,v3,471281,471426,292aaf3116dc42d489bb00e5b6793ef0,"MacDougall, Ryan",836327,Right,DAY_FLY,c79a1c31-04dd-4fbd-80f5-8cb0b629df1b,54.57037,-132.28766,16.61381,6.88694,-2.43359,-6.97428,-1.07459,6.10036,-4.40218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-10,15:06:22.62,1,4,"Jensen, Sawyer",10300916,Right,DAY_FLY,"Gale, Joe",10139876,Right,STJ_HAW,Undefined,1,Top,0,1,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,71.9611,-0.35793,-1.718033,1985.208897,57.638738,8:00,6.55227,1.11497,5.7673,-65.3174,-9.35193,-18.24836,0.7759,-2.00507,65.05034,-12.278284,-4.997078,0.538433,,,,,,,,,,,,8.66504,-4.03122,-0.96167,50,6.48366,3.76402,-104.25312,-2.60894,9.19128,23.43096,-36.45008,DAY_FLY,STJ_HAW,WoernerField,D1,A10,20260410-WoernerField-1,5e046050-3510-11f1-955f-af02c5278ba3,70.00398,,,6.91076,,,,,,,538451d0-c684-41b5-b424-fe5770e57453,2026-04-10,19:06:22.62,2026-04-10T15:06:22.6210000-04:00,2026-04-10T19:06:22.6210000Z,,v3,471281,471426,292aaf3116dc42d489bb00e5b6793ef0,"MacDougall, Ryan",836327,Right,DAY_FLY,adf2ddfe-7a52-4416-993c-4c1411691b98,54.73129,-105.31111,11.71548,6.5643,-0.96309,-18.22504,-1.12226,3.349,4.59564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-10,15:06:35.50,1,5,"Jensen, Sawyer",10300916,Right,DAY_FLY,"Gale, Joe",10139876,Right,STJ_HAW,Undefined,1,Top,0,2,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,92.04294,-3.582324,-2.426707,2216.921004,221.152442,1:15,6.75901,1.03397,5.9692,-15.90517,17.71052,14.35564,2.10502,-0.02092,82.71875,-6.637045,0.152313,0.417294,58.83866,0.607278,-6.901281,3610.368645,,,,32.44673,31.33103,-6.439648,0.376729,-8.16831,10.65083,-0.84963,50,6.46606,5.01263,-133.14432,-8.79309,-14.38036,33.724,-13.42325,DAY_FLY,STJ_HAW,WoernerField,D1,A10,20260410-WoernerField-1,65a5f580-3510-11f1-955f-af02c5278ba3,90.32583,2.09309,,9.32419,,,,1.00033,2.08114,0.02387,538451d0-c684-41b5-b424-fe5770e57453,2026-04-10,19:06:35.50,2026-04-10T15:06:35.5010000-04:00,2026-04-10T19:06:35.5010000Z,GroundBall,v3,471281,471426,292aaf3116dc42d489bb00e5b6793ef0,"MacDougall, Ryan",836327,Right,DAY_FLY,cc976c4c-9fea-4d79-91ae-6080981e52bc,54.52634,-134.28589,16.862,6.75602,-8.33871,-6.71163,-1.02755,5.49941,-7.19018,326.939565,1.00176,85.61548,-7.15141,,,,,,,2.08378,0.82155,-16.88139,,,,,,,0.02336,-10.35073,1.6729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2026-04-10,15:07:07.56,2,1,"Jensen, Sawyer",10300916,Right,DAY_FLY,"Kelsey, Alex",827329,Left,STJ_HAW,Undefined,1,Top,1,0,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,70.90507,2.720781,0.190303,1853.803152,49.935827,7:45,6.53209,1.21724,5.11732,-71.6615,-12.69379,-17.87599,3.12518,-0.09317,63.61897,-10.290781,-2.978784,0.552686,,,,,,,,,,,,8.8443,-6.47343,-1.22089,50,6.73326,0.3495,-102.55652,2.50084,9.12168,21.95454,-38.85052,DAY_FLY,STJ_HAW,WoernerField,D1,A10,20260410-WoernerField-1,78cff700-3510-11f1-955f-af02c5278ba3,68.19864,,,7.2861,,,,,,,538451d0-c684-41b5-b424-fe5770e57453,2026-04-10,19:07:07.56,2026-04-10T15:07:07.5630000-04:00,2026-04-10T19:07:07.5630000Z,,v3,471281,471426,292aaf3116dc42d489bb00e5b6793ef0,"MacDougall, Ryan",836327,Right,DAY_FLY,aa608dbe-436c-4ea8-8fed-5c8957a20e5c,55.38091,-103.70202,10.97727,6.54989,4.52792,-19.42526,-1.22671,-0.12644,4.56084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-10,15:07:20.12,2,2,"Jensen, Sawyer",10300916,Right,DAY_FLY,"Kelsey, Alex",827329,Left,STJ_HAW,Undefined,1,Top,1,0,1,ChangeUp,Changeup,InPlay,Undefined,LineDrive,Single,0,0,,81.84793,-2.191756,-1.61203,1762.917297,240.674117,2:00,6.42375,1.22196,6.484,-32.16254,10.19784,14.8878,1.72943,0.98216,72.57566,-8.298636,1.094337,0.468437,66.39203,20.765551,7.036261,2026.064698,109.23787,21.68998,12.92202,196.20906,194.52457,7.127364,2.481481,-8.43808,6.71737,-1.11479,50,6.25607,2.78631,-118.49408,-5.41547,-11.50954,31.19967,-23.01154,DAY_FLY,STJ_HAW,WoernerField,D1,A10,20260410-WoernerField-1,803aebd0-3510-11f1-955f-af02c5278ba3,80.46422,21.87096,,9.27228,,,,1.88121,1.88012,-0.94732,538451d0-c684-41b5-b424-fe5770e57453,2026-04-10,19:07:20.12,2026-04-10T15:07:20.1200000-04:00,2026-04-10T19:07:20.1200000Z,LineDrive,v3,471281,471426,292aaf3116dc42d489bb00e5b6793ef0,"MacDougall, Ryan",836327,Right,DAY_FLY,21217bc5-90da-4189-8ce3-c021d902fc19,54.00946,-119.54512,15.59984,6.42545,-4.64027,-11.50577,-1.21518,3.17404,-5.75477,189.334713,1.88117,90.36599,-7.64436,1.59586,-0.4707,0.24246,-0.1183,0.03313,-0.00368,1.88018,34.52015,-15.56851,0.54774,0.14974,-0.21577,0.12536,-0.03409,0.00352,-0.94733,11.15385,-0.3701,-0.00952,-0.02351,0.03907,-0.024,0.00669,-0.00071,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2026-04-10,15:07:55.98,3,1,"Jensen, Sawyer",10300916,Right,DAY_FLY,"Primrose, Blake",827699,Right,STJ_HAW,Undefined,1,Top,1,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,70.5679,2.80895,-0.101868,1954.387638,38.031468,7:15,6.67964,1.07668,5.60587,-73.54224,-15.74147,-13.94162,3.17527,-0.18021,64.05996,-10.607396,-2.596664,0.54719,,,,,,,,,,,,6.95221,-8.1528,-1.05905,50,6.8734,0.68415,-102.30811,2.73414,7.21045,20.25576,-40.62965,DAY_FLY,STJ_HAW,WoernerField,D1,A10,20260410-WoernerField-1,95ae8f30-3510-11f1-955f-af02c5278ba3,68.88363,,,6.50794,,,,,,,538451d0-c684-41b5-b424-fe5770e57453,2026-04-10,19:07:55.98,2026-04-10T15:07:55.9850000-04:00,2026-04-10T19:07:55.9850000Z,,v3,471281,471426,292aaf3116dc42d489bb00e5b6793ef0,"MacDougall, Ryan",836327,Right,DAY_FLY,30d22d11-42c7-4cd3-936a-80f42b4ebb99,54.89552,-103.27282,10.12788,6.69711,4.66917,-20.31483,-1.08345,0.34074,3.60522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-10,15:08:53.30,3,2,"Jensen, Sawyer",10300916,Right,DAY_FLY,"Primrose, Blake",827699,Right,STJ_HAW,Undefined,1,Top,1,0,1,Curveball,Curveball,InPlay,Undefined,Popup,Out,1,0,,71.06173,2.501052,-0.554099,1922.306254,48.413961,7:30,6.66099,1.12694,5.82489,-66.57429,-10.31567,-13.82737,3.43979,-0.54047,64.70407,-9.709786,-3.036552,0.539841,89.20415,62.795568,-5.834389,,,,,,61.37857,,,6.90414,-5.57296,-1.07329,50,6.82602,1.46673,-103.10568,2.54511,7.30714,19.83286,-38.0723,DAY_FLY,STJ_HAW,WoernerField,D1,A10,20260410-WoernerField-1,b7ccd7c0-3510-11f1-955f-af02c5278ba3,69.82136,127.33226,,6.35765,,,,1.48767,3.74253,0.58368,538451d0-c684-41b5-b424-fe5770e57453,2026-04-10,19:08:53.30,2026-04-10T15:08:53.3010000-04:00,2026-04-10T19:08:53.3010000Z,,v3,471281,471426,292aaf3116dc42d489bb00e5b6793ef0,"MacDougall, Ryan",836327,Right,DAY_FLY,0e70c3db-7855-447d-8b93-7db48388ac60,54.67622,-104.00128,9.91643,6.67227,4.26436,-19.03615,-1.13207,1.13676,3.65357,,1.48767,59.50508,-20.3779,6.62115,-3.00565,2.68152,-1.88058,0.71062,-0.10924,3.74253,116.35894,-26.86869,2.55427,0.30173,-1.03811,0.84424,-0.33218,0.05201,0.58368,-6.08099,4.90694,-1.83798,0.9487,-0.89341,0.63344,-0.24021,0.03699,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
10,2026-04-10,15:09:26.67,4,1,"Jensen, Sawyer",10300916,Right,DAY_FLY,"Beggy, Richard ",1000142249,Right,STJ_HAW,Undefined,1,Top,2,0,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,70.88643,2.407587,0.667349,1902.974142,50.082505,7:45,6.54245,1.29502,5.87095,-66.90216,-10.30638,-14.74406,3.20498,0.68623,64.34463,-9.886004,-1.983383,0.541456,,,,,,,,,,,,7.68969,-5.34725,-1.34076,50,6.69958,-0.68156,-102.82057,2.33654,8.0722,20.1357,-37.78728,DAY_FLY,STJ_HAW,WoernerField,D1,A10,20260410-WoernerField-1,cbc23f90-3510-11f1-955f-af02c5278ba3,69.61308,,,6.5418,,,,,,,538451d0-c684-41b5-b424-fe5770e57453,2026-04-10,19:09:26.67,2026-04-10T15:09:26.6750000-04:00,2026-04-10T19:09:26.6750000Z,,v3,471281,471426,292aaf3116dc42d489bb00e5b6793ef0,"MacDougall, Ryan",836327,Right,DAY_FLY,935375c1-e3cd-4b11-8969-f7d48beae341,54.62867,-103.72306,10.06785,6.5569,4.03017,-18.89364,-1.30211,-1.04336,4.0361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
