PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-10,17:35:31.55,1,1,"Bouchard, Alec",1000295524,Right,WOF_TER,"Tobin, Lane",1000191853,Right,CIT_BUL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.07004,-1.611386,-2.401027,2523.171064,197.156184,12:30,5.84574,2.04427,5.17463,-15.36808,19.62914,5.68024,3.04693,0.25679,82.34983,-4.532722,-1.396476,0.425783,,,,,,,,,,,,-3.54654,10.60674,-1.82504,50,5.68448,5.25641,-131.84589,-4.20038,-6.18637,30.39806,-13.67237,WOF_TER,CIT_BUL,WoffordCollege,D1,SOCON,20260410-WoffordCollege-1,334c8170-3525-11f1-ac18-b352b460e6ce,88.52504,,,8.72022,,,,,,,2add5ea3-7ee5-454f-b1f7-6a918f55a5bd,2026-04-10,21:35:31.55,2026-04-10T17:35:31.5535360-04:00,2026-04-10T21:35:31.5535360Z,,v3,471512,471271,52046e57eda744ca9db4ac18ebd74de2,"Manning, Lucas",809053,Right,WOF_TER,4e35a1b2-e8f7-4287-b28e-50b7fa02767c,55.32425,-133.06778,15.19903,5.84227,-3.6508,-6.83618,-2.04133,5.50508,-3.09319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-10,17:35:46.88,1,2,"Bouchard, Alec",1000295524,Right,WOF_TER,"Tobin, Lane",1000191853,Right,CIT_BUL,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.12062,-4.20301,-3.508042,2511.439018,204.523955,12:45,5.80597,1.97698,5.31169,-18.17241,16.75544,7.08359,0.33187,-0.72972,82.81765,-7.594521,-2.253324,0.425361,,,,,,,,,,,,-4.64985,10.0513,-1.66381,50,5.41063,7.748,-131.59883,-10.30967,-8.08761,30.05724,-14.69154,WOF_TER,CIT_BUL,WoffordCollege,D1,SOCON,20260410-WoffordCollege-1,3c696c00-3525-11f1-ac18-b352b460e6ce,88.61285,,,8.30297,,,,,,,2add5ea3-7ee5-454f-b1f7-6a918f55a5bd,2026-04-10,21:35:46.88,2026-04-10T17:35:46.8806656-04:00,2026-04-10T21:35:46.8806656Z,,v3,471512,471271,52046e57eda744ca9db4ac18ebd74de2,"Manning, Lucas",809053,Right,WOF_TER,9838979f-743d-4f0f-9e93-b20829241bbb,55.19059,-132.77907,15.02862,5.80413,-9.73279,-7.34577,-1.97428,8.06557,-4.04381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-10,17:36:03.59,1,3,"Bouchard, Alec",1000295524,Right,WOF_TER,"Tobin, Lane",1000191853,Right,CIT_BUL,Undefined,1,Top,0,2,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.87042,-1.261908,-3.295721,2493.934467,221.094188,1:15,5.7425,1.87293,5.25774,-20.82454,14.05725,11.24461,2.81928,-0.29012,82.64835,-5.139882,-1.305341,0.42508,,,,,,,,,,,,-6.55607,7.7302,-1.57911,50,5.6116,7.05099,-131.59934,-3.64702,-11.45718,28.83378,-18.66499,WOF_TER,CIT_BUL,WoffordCollege,D1,SOCON,20260410-WoffordCollege-1,465da3c0-3525-11f1-ac18-b352b460e6ce,88.67142,,,8.22207,,,,,,,2add5ea3-7ee5-454f-b1f7-6a918f55a5bd,2026-04-10,21:36:03.59,2026-04-10T17:36:03.5910144-04:00,2026-04-10T21:36:03.5910144Z,,v3,471512,471271,52046e57eda744ca9db4ac18ebd74de2,"Manning, Lucas",809053,Right,WOF_TER,b737c73c-bab4-4f8a-9f89-3a8e76067795,55.24291,-132.7431,14.41689,5.74159,-2.90663,-9.3325,-1.86782,7.50547,-5.72859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-10,17:36:23.08,1,4,"Bouchard, Alec",1000295524,Right,WOF_TER,"Tobin, Lane",1000191853,Right,CIT_BUL,Undefined,1,Top,0,2,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.85391,-1.141316,-2.735917,2632.591075,193.670724,12:30,5.93366,1.86166,5.31463,-14.59942,19.71804,4.49736,3.64442,-0.33349,82.80138,-3.937681,-1.939015,0.421628,93.29123,12.395002,42.09936,3901.939745,76.92605,16.45309,78.62795,205.76712,189.74182,49.833311,1.990791,-3.1152,10.59012,-1.6168,50,5.82015,6.14357,-132.98031,-3.10196,-5.5086,31.84156,-13.44759,WOF_TER,CIT_BUL,WoffordCollege,D1,SOCON,20260410-WoffordCollege-1,520530d0-3525-11f1-ac18-b352b460e6ce,89.39745,16.46494,,9.05253,,,,1.28942,3.72424,0.23224,2add5ea3-7ee5-454f-b1f7-6a918f55a5bd,2026-04-10,21:36:23.08,2026-04-10T17:36:23.0805504-04:00,2026-04-10T21:36:23.0805504Z,LineDrive,v3,471512,471271,52046e57eda744ca9db4ac18ebd74de2,"Manning, Lucas",809053,Right,WOF_TER,d3d57703-156d-4a02-98d5-bbd51f6aaf0d,55.18511,-134.21612,15.92078,5.93042,-2.58004,-6.7238,-1.85939,6.35736,-2.7543,,1.28932,99.16576,-23.22621,5.1866,-2.11352,1.34278,-0.64673,0.17135,-0.01874,3.72429,29.36476,-18.28393,1.64797,0.1682,-0.54375,0.33269,-0.09434,0.01062,0.23234,89.58345,-6.99136,0.74946,0.86212,-1.15929,0.65469,-0.18262,0.02046,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
5,2026-04-10,17:36:46.48,1,5,"Bouchard, Alec",1000295524,Right,WOF_TER,"Tobin, Lane",1000191853,Right,CIT_BUL,Undefined,1,Top,0,2,2,Slider,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,82.51559,-1.467822,-1.709652,2581.222882,337.571986,5:15,6.28111,1.41096,4.53408,-48.03436,-4.2941,2.40173,0.87961,-0.01737,75.26211,-10.049447,-1.288051,0.476006,,,,,,,,,,,,-1.72634,-1.30539,-1.23505,50,6.08205,3.45851,-119.44718,-4.9751,-2.46113,25.84687,-34.03508,WOF_TER,CIT_BUL,WoffordCollege,D1,SOCON,20260410-WoffordCollege-1,5ffe7610-3525-11f1-ac18-b352b460e6ce,79.18486,,,7.25347,,,,,,,2add5ea3-7ee5-454f-b1f7-6a918f55a5bd,2026-04-10,21:36:46.48,2026-04-10T17:36:46.4805376-04:00,2026-04-10T21:36:46.4805376Z,,v3,471512,471271,52046e57eda744ca9db4ac18ebd74de2,"Manning, Lucas",809053,Right,WOF_TER,039bd7cf-31c9-4bb5-b2cf-1da406c13cd3,55.96924,-120.73194,12.92343,6.2873,-3.28333,-17.01754,-1.41,3.58084,-1.23056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-10,17:37:20.89,2,1,"Bouchard, Alec",1000295524,Right,WOF_TER,"Gibson, Michael",1000236638,Right,CIT_BUL,Undefined,1,Top,1,0,0,Slider,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,82.24454,-1.148073,-1.458924,2678.69831,19.058909,6:45,6.18423,1.54663,4.58666,-49.86522,-7.22619,-2.86914,0.93612,-0.08067,77.25557,-9.982049,-1.963141,0.469975,,,,,,,,,,,,1.08945,-3.06414,-1.39292,50,6.01798,3.16791,-119.53529,-4.38378,1.60406,19.23552,-36.6856,WOF_TER,CIT_BUL,WoffordCollege,D1,SOCON,20260410-WoffordCollege-1,7481ed10-3525-11f1-ac18-b352b460e6ce,80.20088,,,4.98897,,,,,,,2add5ea3-7ee5-454f-b1f7-6a918f55a5bd,2026-04-10,21:37:20.89,2026-04-10T17:37:20.8922112-04:00,2026-04-10T21:37:20.8922112Z,,v3,471512,471271,52046e57eda744ca9db4ac18ebd74de2,"Manning, Lucas",809053,Right,WOF_TER,951054d0-49ff-4ca5-b42d-703fdc97f1b8,55.92065,-120.48427,9.61776,6.18961,-2.5739,-18.3428,-1.54725,3.08877,0.80203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-10,17:37:40.11,2,2,"Bouchard, Alec",1000295524,Right,WOF_TER,"Gibson, Michael",1000236638,Right,CIT_BUL,Undefined,1,Top,1,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.65448,-2.006009,-2.392333,2578.255227,208.824781,1:00,5.84724,1.83435,5.37663,-14.91217,18.62623,9.60414,2.72145,0.3905,83.85482,-4.846596,-0.686981,0.416814,,,,,,,,,,,,-5.51138,10.27343,-1.62681,50,5.65717,5.14616,-134.17413,-5.17025,-9.96253,31.30971,-13.60344,WOF_TER,CIT_BUL,WoffordCollege,D1,SOCON,20260410-WoffordCollege-1,7fea9c60-3525-11f1-ac18-b352b460e6ce,90.42983,,,8.79967,,,,,,,2add5ea3-7ee5-454f-b1f7-6a918f55a5bd,2026-04-10,21:37:40.11,2026-04-10T17:37:40.1115648-04:00,2026-04-10T21:37:40.1115648Z,,v3,471512,471271,52046e57eda744ca9db4ac18ebd74de2,"Manning, Lucas",809053,Right,WOF_TER,05c17606-5ca9-4e05-99d8-a87283ef262f,55.12251,-135.36419,15.65486,5.84386,-4.65319,-6.80172,-1.82961,5.52482,-4.98126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-10,17:38:00.96,2,3,"Bouchard, Alec",1000295524,Right,WOF_TER,"Gibson, Michael",1000236638,Right,CIT_BUL,Undefined,1,Top,1,0,2,Slider,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,82.62743,-0.230368,-1.259644,2636.051384,8.718777,6:15,6.20023,1.26558,4.42449,-51.70412,-7.97516,-1.45461,1.6717,-0.05772,75.29186,-9.455037,-1.514421,0.475944,,,,,,,,,,,,0.31224,-3.37662,-1.13025,50,6.12474,2.69806,-119.65504,-2.61136,0.44717,25.70359,-37.00999,WOF_TER,CIT_BUL,WoffordCollege,D1,SOCON,20260410-WoffordCollege-1,8c5f3d70-3525-11f1-ac18-b352b460e6ce,79.19507,,,7.33556,,,,,,,2add5ea3-7ee5-454f-b1f7-6a918f55a5bd,2026-04-10,21:38:00.96,2026-04-10T17:38:00.9609728-04:00,2026-04-10T21:38:00.9609728Z,,v3,471512,471271,52046e57eda744ca9db4ac18ebd74de2,"Manning, Lucas",809053,Right,WOF_TER,c856fd8e-e13c-4dff-9d61-784837f6cbd9,56.07814,-120.95366,12.8518,6.20944,-0.7415,-18.505,-1.266,2.67547,0.22358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-10,17:38:39.81,3,1,"Bouchard, Alec",1000295524,Right,WOF_TER,"Daniels, Phillips",1000097151,Right,CIT_BUL,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.73009,-3.083235,-3.352666,2526.56713,207.258068,1:00,5.75343,1.96316,5.14923,-14.9645,19.68355,9.50292,1.59573,-0.40508,82.99961,-5.921642,-1.67468,0.423653,,,,,,,,,,,,-5.75709,11.09949,-1.65683,50,5.45344,7.31382,-132.57472,-7.63609,-10.15128,30.79882,-12.6027,WOF_TER,CIT_BUL,WoffordCollege,D1,SOCON,20260410-WoffordCollege-1,a376a5c0-3525-11f1-ac18-b352b460e6ce,88.96997,,,8.73049,,,,,,,2add5ea3-7ee5-454f-b1f7-6a918f55a5bd,2026-04-10,21:38:39.81,2026-04-10T17:38:39.8191616-04:00,2026-04-10T21:38:39.8191616Z,,v3,471512,471271,52046e57eda744ca9db4ac18ebd74de2,"Manning, Lucas",809053,Right,WOF_TER,4a14cb6f-0243-4923-8c1e-0a6f942ddab3,55.35109,-133.81207,15.39941,5.75005,-7.12977,-6.30135,-1.95886,7.72165,-5.07564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-10,17:38:56.13,3,2,"Bouchard, Alec",1000295524,Right,WOF_TER,"Daniels, Phillips",1000097151,Right,CIT_BUL,Undefined,1,Top,2,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.48778,-1.338028,-2.678225,2528.883115,204.398957,12:45,5.90759,1.80587,5.1229,-14.23631,20.73615,8.81666,3.45925,0.01597,82.14227,-4.073268,-1.120945,0.425632,71.84431,45.12886,153.461546,4611.45301,,,,,48.54356,,,-5.23918,11.09705,-1.56106,50,5.77148,5.76446,-132.34145,-3.52931,-9.14494,32.40444,-12.8042,WOF_TER,CIT_BUL,WoffordCollege,D1,SOCON,20260410-WoffordCollege-1,ad457b30-3525-11f1-ac18-b352b460e6ce,88.55635,41.87415,,9.34551,,,,0.3885,3.25314,-0.05969,2add5ea3-7ee5-454f-b1f7-6a918f55a5bd,2026-04-10,21:38:56.13,2026-04-10T17:38:56.1383424-04:00,2026-04-10T21:38:56.1383424Z,,v3,471512,471271,52046e57eda744ca9db4ac18ebd74de2,"Manning, Lucas",809053,Right,WOF_TER,94a02b22-7eda-4049-94b6-f893b235397d,55.37573,-133.65124,16.20222,5.90368,-3.01177,-6.4021,-1.80153,6.1341,-4.57247,321.56658,0.3885,-66.50856,2.23059,0.77205,1.28514,-4.07417,5.70925,-4.23449,1.31397,3.25314,74.67604,-30.24297,3.90909,0.05839,-1.8755,2.6858,-1.98226,0.61143,-0.05968,33.21494,-10.38118,2.60592,1.52462,-5.11936,7.09592,-5.2387,1.62048,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
