PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-11,14:04:49.56,1,1,"Scavone, Tommy",1000299039,Right,PEP_WAV,"O'Sullivan, Brendan",831020,Right,PAC_TIG,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.00407,-3.669856,-3.175403,2425.088638,202.735615,12:45,5.90137,0.53808,6.1007,-7.76953,24.04167,9.59945,1.84995,-1.60177,85.0414,-5.254898,-1.450245,0.405939,,,,,,,,,,,,-5.88559,13.80552,-0.29839,50,5.61392,7.1205,-136.02664,-8.84138,-10.92798,32.35355,-6.54096,PEP_WAV,PAC_TIG,704EddieDField,D1,WCC,20260411-704EddieDField-1,130db1c0-35ea-11f1-be84-fd1051c3814f,92.85236,,,8.96267,,,,,,,908c2dbe-598b-47ae-b771-c70fce28be62,2026-04-11,21:04:49.56,2026-04-11T14:04:49.5651328-07:00,2026-04-11T21:04:49.5651328Z,,v3,471410,471406,b99182aa57c94e5eb184bd6a44afd0cb,"Romero, Shawn",1000242429,Right,PEP_WAV,e33d8b03-f1ac-4cca-842a-96dcb4a8ac53,54.39703,-137.06847,16.17678,5.89523,-8.63075,-3.27048,-0.53335,7.4724,-5.46399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-11,14:05:04.64,1,2,"Scavone, Tommy",1000299039,Right,PEP_WAV,"O'Sullivan, Brendan",831020,Right,PAC_TIG,Undefined,1,Top,0,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,94.26397,-2.88407,-1.402416,2503.869303,200.539994,12:45,6.05419,0.37791,5.91553,-8.56512,23.13824,8.25682,2.6607,-0.23585,85.40919,-4.602775,0.07935,0.405251,72.1701,55.08084,135.321824,4802.264615,,,,,40.21097,,,-4.67469,13.07985,-0.2703,50,5.81814,2.98103,-136.676,-7.05525,-8.76689,32.53071,-7.64425,PEP_WAV,PAC_TIG,704EddieDField,D1,WCC,20260411-704EddieDField-1,1c0783f0-35ea-11f1-be84-fd1051c3814f,93.0101,51.58395,,8.85477,,,,1.67794,2.66901,0.2249,908c2dbe-598b-47ae-b771-c70fce28be62,2026-04-11,21:05:04.64,2026-04-11T14:05:04.6438912-07:00,2026-04-11T21:05:04.6438912Z,,v3,471410,471406,b99182aa57c94e5eb184bd6a44afd0cb,"Romero, Shawn",1000242429,Right,PEP_WAV,6a9d0bd2-81d8-4df1-b9d4-e702258dd570,54.5839,-137.7627,16.26535,6.04956,-6.79989,-3.82212,-0.37477,3.27389,-4.38345,324.555799,1.67794,-43.08295,-3.34539,2.13657,-1.8125,3.05609,-2.97354,1.14601,-0.02055,2.66901,86.79255,-28.14251,3.42678,-1.10511,0.95857,-0.64856,0.02036,0.12954,0.2249,42.60275,-10.01001,2.06334,-0.81982,0.95173,-0.77861,0.17137,0.06987,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
3,2026-04-11,14:05:25.71,1,3,"Scavone, Tommy",1000299039,Right,PEP_WAV,"O'Sullivan, Brendan",831020,Right,PAC_TIG,Undefined,1,Top,0,1,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.74325,-2.182629,-1.384452,2376.408994,202.685784,12:45,6.03039,0.54299,6.07532,-10.29627,21.25509,8.46697,3.15122,-0.03271,85.67671,-4.202053,0.139819,0.404278,75.34718,18.789571,166.36298,2682.939339,-108.50666,18.29542,18.06027,176.41644,60.63552,173.444372,2.035189,-4.74981,11.86753,-0.44032,50,5.85584,2.92465,-136.13779,-5.42726,-8.9213,29.65708,-9.88391,PEP_WAV,PAC_TIG,704EddieDField,D1,WCC,20260411-704EddieDField-1,28999810-35ea-11f1-be84-fd1051c3814f,93.23389,19.25437,,8.06654,,,,0.93968,3.07135,0.03008,908c2dbe-598b-47ae-b771-c70fce28be62,2026-04-11,21:05:25.71,2026-04-11T14:05:25.7147904-07:00,2026-04-11T21:05:25.7147904Z,LineDrive,v3,471410,471406,b99182aa57c94e5eb184bd6a44afd0cb,"Romero, Shawn",1000242429,Right,PEP_WAV,e0e5c336-9e0d-4adc-a0d6-4d0764fb26b4,54.42449,-137.09826,14.82854,6.02642,-5.10716,-4.94196,-0.53972,3.21358,-4.46065,285.144347,0.93966,-101.66902,8.21995,-0.59419,-0.00649,0.16574,-0.11214,0.0382,-0.00529,3.07134,35.59474,-21.04022,1.89592,-0.41531,0.14055,-0.05365,0.01591,-0.0021,0.03009,24.66543,-9.37245,1.48479,-0.24841,-0.03663,0.05322,-0.01967,0.00279,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
4,2026-04-11,14:05:46.05,1,4,"Scavone, Tommy",1000299039,Right,PEP_WAV,"O'Sullivan, Brendan",831020,Right,PAC_TIG,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.55523,-0.011212,-1.099401,2237.731799,200.926914,12:45,6.00067,0.35851,6.11211,-12.54457,19.16218,6.93811,4.94492,-0.08001,85.09949,-2.451639,0.150626,0.405273,,,,,,,,,,,,-3.86343,10.16111,-0.27753,50,5.99293,2.30085,-135.89767,-0.34015,-7.2057,30.52275,-13.22247,PEP_WAV,PAC_TIG,704EddieDField,D1,WCC,20260411-704EddieDField-1,34b39600-35ea-11f1-be84-fd1051c3814f,93.00513,,,8.45574,,,,,,,908c2dbe-598b-47ae-b771-c70fce28be62,2026-04-11,21:05:46.05,2026-04-11T14:05:46.0552192-07:00,2026-04-11T21:05:46.0552192Z,,v3,471410,471406,b99182aa57c94e5eb184bd6a44afd0cb,"Romero, Shawn",1000242429,Right,PEP_WAV,c20d4970-4568-48d8-82bf-75d50d531ca6,54.38534,-136.87908,15.26138,5.99703,0.08499,-6.61123,-0.35523,2.53254,-3.60285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-11,14:06:03.38,1,5,"Scavone, Tommy",1000299039,Right,PEP_WAV,"O'Sullivan, Brendan",831020,Right,PAC_TIG,Undefined,1,Top,0,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.54189,-2.415962,-1.321286,2325.932667,204.568845,12:45,5.81521,0.42397,5.88654,-12.47914,19.61985,8.47906,2.52991,-0.09659,85.09287,-4.828916,0.200024,0.407772,69.21916,48.480545,120.938072,4679.000366,,,,,36.32428,,,-4.74347,11.08532,-0.32238,50,5.61316,2.7575,-135.71813,-6.06815,-8.80367,31.07182,-11.60021,PEP_WAV,PAC_TIG,704EddieDField,D1,WCC,20260411-704EddieDField-1,3f0e57c0-35ea-11f1-be84-fd1051c3814f,92.43513,39.09707,,8.44901,,,,1.17862,2.56328,0.12035,908c2dbe-598b-47ae-b771-c70fce28be62,2026-04-11,21:06:03.38,2026-04-11T14:06:03.3829888-07:00,2026-04-11T21:06:03.3829888Z,,v3,471410,471406,b99182aa57c94e5eb184bd6a44afd0cb,"Romero, Shawn",1000242429,Right,PEP_WAV,57f9dc99-a838-4893-990f-344a8df04583,54.613,-136.77017,15.53591,5.81197,-5.67539,-5.8001,-0.42079,3.05557,-4.40184,312.567382,1.17862,-34.5973,-4.09762,2.06001,-0.22294,-1.19411,2.39582,-2.32395,0.9239,2.56328,76.01205,-24.24464,2.41874,-0.46365,0.27979,-0.42454,0.40299,-0.15973,0.12035,57.72141,-11.84947,2.93252,-0.32739,-0.84615,1.70191,-1.64801,0.65464,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
6,2026-04-11,14:06:24.53,1,6,"Scavone, Tommy",1000299039,Right,PEP_WAV,"O'Sullivan, Brendan",831020,Right,PAC_TIG,Undefined,1,Top,0,2,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.12437,-2.998075,-2.315599,2412.742772,204.931271,12:45,5.8154,0.35526,6.13999,-12.93938,18.14281,8.00237,1.96159,-1.11904,86.67335,-5.473995,-0.874041,0.401261,,,,,,,,,,,,-4.7165,10.42504,-0.18263,50,5.57952,5.18047,-136.62597,-7.51643,-8.98845,27.78291,-12.30665,PEP_WAV,PAC_TIG,704EddieDField,D1,WCC,20260411-704EddieDField-1,4ba7bee0-35ea-11f1-be84-fd1051c3814f,93.93492,,,7.45103,,,,,,,908c2dbe-598b-47ae-b771-c70fce28be62,2026-04-11,21:06:24.53,2026-04-11T14:06:24.5367296-07:00,2026-04-11T21:06:24.5367296Z,,v3,471410,471406,b99182aa57c94e5eb184bd6a44afd0cb,"Romero, Shawn",1000242429,Right,PEP_WAV,1293a9ae-77e9-46f3-a302-aaf537c035d8,54.36005,-137.50973,13.89146,5.81239,-7.12497,-6.15332,-0.35197,5.46638,-4.49423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-11,14:06:41.12,1,7,"Scavone, Tommy",1000299039,Right,PEP_WAV,"O'Sullivan, Brendan",831020,Right,PAC_TIG,Undefined,1,Top,0,3,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,94.1453,-2.980138,-1.8114,2401.295002,207.623972,1:00,5.85745,0.34823,6.08733,-10.21808,21.03627,10.4954,2.24519,-0.45342,86.23894,-4.977533,0.078058,0.402371,70.00961,56.010643,124.366145,4960.424338,,,,,31.70242,,,-5.95866,12.01174,-0.21416,50,5.6219,3.88038,-136.6668,-7.36795,-11.29645,29.45222,-9.40223,PEP_WAV,PAC_TIG,704EddieDField,D1,WCC,20260411-704EddieDField-1,5583dac0-35ea-11f1-be84-fd1051c3814f,93.67584,44.12843,,7.90636,,,,2.06067,2.30669,0.44698,908c2dbe-598b-47ae-b771-c70fce28be62,2026-04-11,21:06:41.12,2026-04-11T14:06:41.1245056-07:00,2026-04-11T21:06:41.1245056Z,,v3,471410,471406,b99182aa57c94e5eb184bd6a44afd0cb,"Romero, Shawn",1000242429,Right,PEP_WAV,379e2688-8699-4372-ad28-5578fb2ddcc8,54.41422,-137.61479,14.72611,5.85419,-7.06532,-4.70111,-0.34491,4.24399,-5.64823,323.941392,2.06067,-32.40219,-5.49376,2.67458,-0.47459,-0.89151,1.89157,-1.81452,0.70808,2.30669,85.13672,-26.96635,3.08301,-0.5385,0.11981,-0.1002,0.08723,-0.0337,0.44698,47.38287,-10.40625,2.74188,-0.38787,-0.54478,1.14098,-1.0897,0.42457,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
8,2026-04-11,14:07:04.18,1,8,"Scavone, Tommy",1000299039,Right,PEP_WAV,"O'Sullivan, Brendan",831020,Right,PAC_TIG,Undefined,1,Top,0,3,2,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,,93.82115,-2.327355,-1.053395,2356.776416,216.023457,1:15,5.86507,0.47869,6.10271,-13.95383,17.41556,11.96587,2.54832,0.50154,86.10945,-4.993638,1.102981,0.403111,104.25925,8.416251,-26.531473,1318.447888,95.68946,10.51612,-54.25429,200.16865,200.16865,-32.52851,1.60595,-6.51815,9.94375,-0.40416,50,5.67868,2.00611,-136.32882,-5.94572,-12.30829,29.02738,-13.39719,PEP_WAV,PAC_TIG,704EddieDField,D1,WCC,20260411-704EddieDField-1,634212d0-35ea-11f1-be84-fd1051c3814f,93.50393,10.56561,,7.7117,,,,2.04,2.43417,-0.48803,908c2dbe-598b-47ae-b771-c70fce28be62,2026-04-11,21:07:04.18,2026-04-11T14:07:04.1809408-07:00,2026-04-11T21:07:04.1809408Z,LineDrive,v3,471410,471406,b99182aa57c94e5eb184bd6a44afd0cb,"Romero, Shawn",1000242429,Right,PEP_WAV,2e2fd9a1-19aa-479e-9021-23eb60c3ffd2,54.39891,-137.26225,14.51369,5.86295,-5.51491,-6.6986,-0.47503,2.4019,-6.15415,,2.03998,135.33991,-27.11621,6.62437,-2.30296,1.47502,-0.85036,0.28063,-0.03855,2.43421,22.37552,-15.88094,0.3419,1.2752,-1.83948,1.26561,-0.43895,0.06153,-0.48805,-67.56616,0.16885,0.66109,-0.96081,1.09111,-0.72136,0.24802,-0.03469,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
9,2026-04-11,14:07:44.70,2,1,"Scavone, Tommy",1000299039,Right,PEP_WAV,"Sotomayor, Levi",1000194364,Left,PAC_TIG,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,92.0176,-1.957571,-1.753638,2193.493143,205.41093,12:45,5.93717,0.88364,6.21756,-12.49528,20.09237,9.0528,3.08787,0.01925,84.08088,-4.38482,-0.119765,0.410864,86.79743,19.498099,-11.042014,3019.880037,106.09708,33.28047,-29.03911,288.58184,276.90714,-23.214351,3.500038,-5.2304,11.32367,-0.75691,50,5.78425,3.72612,-133.6713,-4.88767,-9.45817,28.96317,-11.69732,PEP_WAV,PAC_TIG,704EddieDField,D1,WCC,20260411-704EddieDField-1,7b6a00c0-35ea-11f1-be84-fd1051c3814f,91.73944,37.99815,,7.93672,,,,1.8999,3.13942,-0.02446,908c2dbe-598b-47ae-b771-c70fce28be62,2026-04-11,21:07:44.70,2026-04-11T14:07:44.7032320-07:00,2026-04-11T21:07:44.7032320Z,LineDrive,v3,471410,471406,b99182aa57c94e5eb184bd6a44afd0cb,"Romero, Shawn",1000242429,Right,PEP_WAV,ef90abe2-3f6b-4b5f-8f24-0d6dbf032e3d,54.28357,-134.59624,14.48159,5.93437,-4.51412,-5.84866,-0.88073,4.02816,-4.72908,135.767714,1.89985,117.78069,-21.25774,4.36309,-0.78286,0.10926,-0.00903,-0.00013,9E-05,3.13968,42.48489,-13.27235,0.16645,-0.00296,0.03095,-0.01663,0.00429,-0.00041,-0.02475,-22.97674,-6.06973,1.87033,-0.4625,0.09549,-0.01511,0.00136,-4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2026-04-11,14:08:21.69,3,1,"Scavone, Tommy",1000299039,Right,PEP_WAV,"Tandy, Jake",824185,Right,PAC_TIG,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,92.81723,-3.049121,-1.816473,2372.078485,195.444443,12:30,5.99573,0.46169,5.99153,-10.11894,22.32324,5.87154,2.32259,-0.73302,84.61445,-5.039684,-0.761595,0.409946,,,,,,,,,,,,-3.52713,12.64808,-0.32165,50,5.74939,4.01267,-134.60197,-7.39497,-6.45784,29.76476,-9.01651,PEP_WAV,PAC_TIG,704EddieDField,D1,WCC,20260411-704EddieDField-1,9178f9c0-35ea-11f1-be84-fd1051c3814f,91.94493,,,8.20278,,,,,,,908c2dbe-598b-47ae-b771-c70fce28be62,2026-04-11,21:08:21.69,2026-04-11T14:08:21.6903168-07:00,2026-04-11T21:08:21.6903168Z,,v3,471410,471406,b99182aa57c94e5eb184bd6a44afd0cb,"Romero, Shawn",1000242429,Right,PEP_WAV,1fffdc2e-0fd8-4344-92bb-099330d847c1,54.50732,-135.59501,14.88238,5.9911,-7.09415,-4.50825,-0.45912,4.22813,-3.22892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
