PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-11,13:05:54.72,1,1,"Riggs, Bryce",1000180969,Right,EIU_PAN,"McLellan, Patrick",1000305136,Right,SOU_IND16,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.26638,-1.308827,-1.817553,1969.315059,185.34665,12:15,6.68488,1.80205,5.37206,-16.32005,21.31792,1.87642,4.09689,0.2537,79.27733,-4.415707,-1.484351,0.441555,,,,,,,,,,,,-1.46276,11.41886,-1.64037,50,6.55627,3.92887,-126.48369,-3.36792,-2.35882,26.89463,-13.75991,EIU_PAN,SOU_IND16,CoachesStadium,D1,OVC,20260411-CoachesStadium-1,15a46b90-35d1-11f1-8434-3fbdcbbdd3f7,85.36302,,,7.98904,,,,,,,671b3e57-4ef0-4349-bb5b-b95eedf67b38,2026-04-11,18:05:54.72,2026-04-11T13:05:54.7284480-05:00,2026-04-11T18:05:54.7284480Z,,v3,471287,southernindiana,75110fa21c9648859cd8d7055ff02d32,"Goodwin, Zak",10012235,Right,EIU_PAN,cb3ad811-be5f-44a5-bd12-ce18d16b551a,55.12565,-127.56891,13.44731,6.68097,-2.81269,-6.87996,-1.80082,4.02405,-1.17941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-11,13:06:13.45,1,2,"Riggs, Bryce",1000180969,Right,EIU_PAN,"McLellan, Patrick",1000305136,Right,SOU_IND16,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.77782,-2.929412,-3.245606,1970.543923,188.432377,12:15,6.62744,1.60219,5.38088,-16.85489,21.3193,2.96791,2.46989,-1.19633,79.02259,-6.116299,-2.719445,0.444689,,,,,,,,,,,,-2.41382,11.90359,-1.31348,50,6.35305,6.9854,-125.52432,-6.93079,-3.83766,26.24274,-13.2487,EIU_PAN,SOU_IND16,CoachesStadium,D1,OVC,20260411-CoachesStadium-1,20cbcc20-35d1-11f1-8434-3fbdcbbdd3f7,84.76134,,,7.75524,,,,,,,671b3e57-4ef0-4349-bb5b-b95eedf67b38,2026-04-11,18:06:13.45,2026-04-11T13:06:13.4500864-05:00,2026-04-11T18:06:13.4500864Z,,v3,471287,southernindiana,75110fa21c9648859cd8d7055ff02d32,"Goodwin, Zak",10012235,Right,EIU_PAN,d003c13f-1a6d-4313-89be-87e586a68486,55.1171,-126.58961,13.12137,6.62348,-6.39298,-6.62435,-1.6002,7.14118,-1.91883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-11,13:06:33.03,1,3,"Riggs, Bryce",1000180969,Right,EIU_PAN,"McLellan, Patrick",1000305136,Right,SOU_IND16,Undefined,1,Top,0,2,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.62923,-5.118542,-2.413465,1994.348026,188.127947,12:15,6.46647,1.98182,5.5134,-16.46119,21.80001,2.92366,0.29115,-0.03279,79.05955,-8.219455,-1.893025,0.445196,,,,,,,,,,,,-2.20831,12.97135,-1.77337,50,6.00814,5.1541,-125.15483,-11.70852,-3.48338,26.55417,-11.71293,EIU_PAN,SOU_IND16,CoachesStadium,D1,OVC,20260411-CoachesStadium-1,2c7a0ff0-35d1-11f1-8434-3fbdcbbdd3f7,84.66489,,,7.56968,,,,,,,671b3e57-4ef0-4349-bb5b-b95eedf67b38,2026-04-11,18:06:33.03,2026-04-11T13:06:33.0387456-05:00,2026-04-11T18:06:33.0387456Z,,v3,471287,southernindiana,75110fa21c9648859cd8d7055ff02d32,"Goodwin, Zak",10012235,Right,EIU_PAN,b0046975-d30d-4d8b-aace-ee0dcca43354,54.98887,-126.20888,13.27709,6.46367,-11.24359,-5.85646,-1.9807,5.29237,-1.74169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-11,13:06:56.93,1,4,"Riggs, Bryce",1000180969,Right,EIU_PAN,"McLellan, Patrick",1000305136,Right,SOU_IND16,Undefined,1,Top,0,3,0,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,86.08681,-3.996504,-2.460983,1996.815406,180.148548,12:00,6.41454,2.26296,5.39007,-18.54013,20.43414,0.04941,1.11411,-0.04099,78.24001,-7.478414,-2.452213,0.449325,,,,,,,,,,,,-0.77516,11.91863,-2.04298,50,6.04414,5.34685,-124.45612,-9.27322,-1.20461,27.12391,-13.65224,EIU_PAN,SOU_IND16,CoachesStadium,D1,OVC,20260411-CoachesStadium-1,3abc6c20-35d1-11f1-8434-3fbdcbbdd3f7,83.88686,,,7.8468,,,,,,,671b3e57-4ef0-4349-bb5b-b95eedf67b38,2026-04-11,18:06:56.93,2026-04-11T13:06:56.9362944-05:00,2026-04-11T18:06:56.9362944Z,,v3,471287,southernindiana,75110fa21c9648859cd8d7055ff02d32,"Goodwin, Zak",10012235,Right,EIU_PAN,eb4e66ab-6d52-4425-9bd5-7f893e169e7c,55.11033,-125.56492,13.56195,6.41181,-8.71512,-6.82612,-2.26257,5.3961,-0.60231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-11,13:07:31.06,2,1,"Riggs, Bryce",1000180969,Right,EIU_PAN,"Holiday, Khi",833396,Right,SOU_IND16,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,84.94973,-4.355733,-2.296334,1915.443267,197.92557,12:30,6.48422,2.12056,5.43074,-19.258,20.54296,6.20284,0.78875,0.48561,77.57459,-7.959374,-1.19327,0.454065,,,,,,,,,,,,-3.83319,12.06083,-1.92151,50,6.0843,4.67108,-122.8586,-9.95785,-5.83114,25.41507,-13.82682,EIU_PAN,SOU_IND16,CoachesStadium,D1,OVC,20260411-CoachesStadium-1,4f11f550-35d1-11f1-8434-3fbdcbbdd3f7,83.01109,,,7.37514,,,,,,,671b3e57-4ef0-4349-bb5b-b95eedf67b38,2026-04-11,18:07:31.06,2026-04-11T13:07:31.0654464-05:00,2026-04-11T18:07:31.0654464Z,,v3,471287,southernindiana,75110fa21c9648859cd8d7055ff02d32,"Goodwin, Zak",10012235,Right,EIU_PAN,3ab6eb05-137a-4f06-a2d1-6b92f7394bb4,55.07122,-123.90322,12.70754,6.48191,-9.38954,-6.91341,-2.11843,4.91075,-2.91557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-11,13:08:19.33,2,2,"Riggs, Bryce",1000180969,Right,EIU_PAN,"Holiday, Khi",833396,Right,SOU_IND16,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.51285,-3.231179,-2.165589,1918.455762,179.241549,12:00,6.50245,2.09633,5.3293,-17.85194,21.24312,-0.26465,1.97743,0.04123,78.44038,-6.576411,-2.21254,0.450021,,,,,,,,,,,,-0.45461,11.9228,-1.90025,50,6.19743,4.69563,-123.8751,-7.54807,-0.70802,24.20681,-13.60482,EIU_PAN,SOU_IND16,CoachesStadium,D1,OVC,20260411-CoachesStadium-1,6bd69ce0-35d1-11f1-8434-3fbdcbbdd3f7,83.75715,,,7.07247,,,,,,,671b3e57-4ef0-4349-bb5b-b95eedf67b38,2026-04-11,18:08:19.33,2026-04-11T13:08:19.3319424-05:00,2026-04-11T18:08:19.3319424Z,,v3,471287,southernindiana,75110fa21c9648859cd8d7055ff02d32,"Goodwin, Zak",10012235,Right,EIU_PAN,418fbbfa-70ea-4cd7-8e0e-21780e1504d6,55.17148,-124.88159,12.10341,6.49951,-6.9824,-6.80241,-2.0961,4.72507,-0.35401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-11,13:08:38.54,2,3,"Riggs, Bryce",1000180969,Right,EIU_PAN,"Holiday, Khi",833396,Right,SOU_IND16,Undefined,1,Top,0,1,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.40996,-1.962564,-2.880103,1929.814406,187.751296,12:15,6.53439,1.88857,5.55182,-17.03442,20.41517,2.60134,3.27788,-0.58827,79.23756,-5.204915,-2.417207,0.440448,41.2676,41.178319,-176.453066,2037.910816,,,,92.92331,40.29032,-177.441686,2.293957,-2.2041,11.32902,-1.64097,50,6.35358,6.25861,-126.60054,-4.84824,-3.54419,28.0735,-13.95711,EIU_PAN,SOU_IND16,CoachesStadium,D1,OVC,20260411-CoachesStadium-1,77489b00-35d1-11f1-8434-3fbdcbbdd3f7,85.57745,24.27672,,8.1724,,,,2.61555,3.41733,0.53906,671b3e57-4ef0-4349-bb5b-b95eedf67b38,2026-04-11,18:08:38.54,2026-04-11T13:08:38.5414144-05:00,2026-04-11T18:08:38.5414144Z,Popup,v3,471287,southernindiana,75110fa21c9648859cd8d7055ff02d32,"Goodwin, Zak",10012235,Right,EIU_PAN,b3de0ee6-f8a9-4341-9c32-a6011630b1db,54.94888,-127.69323,14.03675,6.53171,-4.30499,-6.97856,-1.88726,6.39656,-1.7721,11.186356,2.61543,-45.45958,0.82261,0.84837,-0.76579,0.60182,-0.25622,0.05392,-0.0045,3.41738,39.84677,-20.27418,1.30485,0.09566,-0.4128,0.26382,-0.07442,0.00798,0.53906,-2.81764,0.72802,-0.23683,-0.01189,0.07508,-0.04876,0.01376,-0.00147,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2026-04-11,13:09:08.36,2,4,"Riggs, Bryce",1000180969,Right,EIU_PAN,"Holiday, Khi",833396,Right,SOU_IND16,Undefined,1,Top,0,1,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.8436,-3.44464,-2.092571,2075.223639,196.71433,12:30,6.73947,1.59653,5.3616,-16.73749,19.70985,5.54225,2.1083,0.09514,80.85888,-6.600467,-1.10834,0.434514,69.17366,65.242939,106.327046,4543.639458,,,,,47.17059,,,-3.40748,11.28882,-1.41259,50,6.41805,4.45169,-128.59228,-8.27142,-5.67423,28.0365,-13.37569,EIU_PAN,SOU_IND16,CoachesStadium,D1,OVC,20260411-CoachesStadium-1,89130c80-35d1-11f1-8434-3fbdcbbdd3f7,86.74613,84.11836,,7.98473,,,,1.33063,1.87276,-0.19529,671b3e57-4ef0-4349-bb5b-b95eedf67b38,2026-04-11,18:09:08.36,2026-04-11T13:09:08.3613184-05:00,2026-04-11T18:09:08.3613184Z,,v3,471287,southernindiana,75110fa21c9648859cd8d7055ff02d32,"Goodwin, Zak",10012235,Right,EIU_PAN,fec1057d-500e-496f-8de2-8c23766c25ae,55.1388,-129.70783,14.01825,6.73658,-7.73922,-6.68784,-1.59421,4.67746,-2.83711,332.14272,1.33063,-11.94509,-4.71842,1.54259,0.32254,-1.33376,1.39673,-0.69719,0.13704,1.87276,92.13004,-25.04811,2.70447,-0.54426,0.15326,-0.08712,0.03958,-0.00774,-0.19528,40.77204,-7.86371,1.8539,0.08337,-0.83417,0.88719,-0.44299,0.08695,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
9,2026-04-11,13:09:34.98,2,5,"Riggs, Bryce",1000180969,Right,EIU_PAN,"Holiday, Khi",833396,Right,SOU_IND16,Undefined,1,Top,0,1,2,Slider,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,79.29742,-0.779291,-2.58726,2237.189105,28.247926,7:00,6.35025,2.32008,4.81274,-50.88101,-4.38859,-3.15465,1.3711,-0.39555,72.99628,-9.893176,-3.142858,0.490752,,,,,,,,,,,,0.81284,-1.55,-2.05977,50,6.22831,5.32453,-114.91614,-3.46072,1.08247,22.10915,-34.23824,EIU_PAN,SOU_IND16,CoachesStadium,D1,OVC,20260411-CoachesStadium-1,98f89160-35d1-11f1-8434-3fbdcbbdd3f7,76.8054,,,6.30114,,,,,,,671b3e57-4ef0-4349-bb5b-b95eedf67b38,2026-04-11,18:09:34.98,2026-04-11T13:09:34.9858304-05:00,2026-04-11T18:09:34.9858304Z,,v3,471287,southernindiana,75110fa21c9648859cd8d7055ff02d32,"Goodwin, Zak",10012235,Right,EIU_PAN,c0a38020-fcf5-48c6-a67c-ec8354de2fcb,55.69043,-116.00578,11.05458,6.35729,-1.77331,-17.11912,-2.32087,5.27118,0.54124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-11,13:10:18.54,2,6,"Riggs, Bryce",1000180969,Right,EIU_PAN,"Holiday, Khi",833396,Right,SOU_IND16,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.17145,-1.303359,-2.818048,2006.392504,181.171646,12:00,6.69643,1.62967,5.56194,-13.21056,22.86446,0.44134,4.37615,-0.96855,80.44493,-3.872858,-2.739524,0.43229,,,,,,,,,,,,-1.09819,12.26969,-1.38642,50,6.57524,6.33432,-129.09417,-3.2686,-1.83197,29.74967,-11.70588,EIU_PAN,SOU_IND16,CoachesStadium,D1,OVC,20260411-CoachesStadium-1,b2e2c8c0-35d1-11f1-8434-3fbdcbbdd3f7,87.19256,,,8.72652,,,,,,,671b3e57-4ef0-4349-bb5b-b95eedf67b38,2026-04-11,18:10:18.54,2026-04-11T13:10:18.5431040-05:00,2026-04-11T18:10:18.5431040Z,,v3,471287,southernindiana,75110fa21c9648859cd8d7055ff02d32,"Goodwin, Zak",10012235,Right,EIU_PAN,42c7642b-dabb-4df4-a591-3ae083ca7e82,54.93449,-130.22635,14.87484,6.69116,-2.82311,-5.85294,-1.62882,6.40404,-0.91598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
