PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-11,13:07:09.21,1,1,"Price, Jacob",1000160720,Right,EKU_COL,"Pace, Sawyer",10323327,Left,BEL_KNI,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,87.99554,-3.645545,-2.982819,2451.048623,223.438319,1:30,6.09697,1.8079,5.71096,-20.22757,16.48103,14.41017,1.00579,0.22731,80.17824,-7.439341,-0.407384,0.436069,,,,,,,,,,,,-8.24347,9.84052,-1.56727,50,5.77868,6.02872,-127.35018,-8.75872,-13.45933,27.56886,-16.10719,EKU_COL,BEL_KNI,EarleCombsStadium,D1,ASUN,20260411-EarleCombsStadium-1,e04a19c0-35c8-11f1-b3ec-a1036a47720d,86.43684,,,7.81729,,,,,,,0e7d1906-1cef-47e8-9c34-8d03a0b73296,2026-04-11,17:07:09.21,2026-04-11T13:07:09.2115456-04:00,2026-04-11T17:07:09.2115456Z,,v3,471288,643-144469,1f151492881e4a86a338d785012a692c,"Phillips, Tyler",1000088036,Right,EKU_COL,89c2f217-ec31-4093-a8a8-cbe5208b1d1a,54.78799,-128.3825,13.78443,6.09536,-8.15558,-8.0536,-1.80245,6.53271,-6.72967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-11,13:07:23.22,1,2,"Price, Jacob",1000160720,Right,EKU_COL,"Pace, Sawyer",10323327,Left,BEL_KNI,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.59763,-1.557573,-3.896109,2397.206408,220.082621,1:15,5.9944,1.78162,5.79909,-21.43001,15.32461,11.87666,2.75615,-0.85804,79.86824,-5.58519,-1.774599,0.436342,,,,,,,,,,,,-7.17437,8.62374,-1.46823,50,5.85339,8.14541,-126.90433,-4.12817,-11.67336,26.51715,-18.14242,EKU_COL,BEL_KNI,EarleCombsStadium,D1,ASUN,20260411-EarleCombsStadium-1,e8a4c5c0-35c8-11f1-b3ec-a1036a47720d,86.38271,,,7.72939,,,,,,,0e7d1906-1cef-47e8-9c34-8d03a0b73296,2026-04-11,17:07:23.22,2026-04-11T13:07:23.2216576-04:00,2026-04-11T17:07:23.2216576Z,,v3,471288,643-144469,1f151492881e4a86a338d785012a692c,"Phillips, Tyler",1000088036,Right,EKU_COL,ba7a848f-ff0f-4984-93f3-68d23ea8c93d,54.69938,-127.88251,13.25858,5.99333,-3.45892,-9.07121,-1.77664,8.57603,-5.83668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-11,13:07:39.87,1,3,"Price, Jacob",1000160720,Right,EKU_COL,"Pace, Sawyer",10323327,Left,BEL_KNI,Undefined,1,Top,0,2,0,Sinker,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.02358,-2.478189,-3.329646,2264.382507,236.328458,2:00,5.94692,1.8744,5.93217,-26.8145,11.12398,14.8102,1.40784,0.01592,78.63878,-7.469308,-0.671726,0.443314,,,,,,,,,,,,-8.58481,6.79363,-1.61677,50,5.73345,6.66003,-124.66987,-6.25711,-13.4638,25.88472,-21.51941,EKU_COL,BEL_KNI,EarleCombsStadium,D1,ASUN,20260411-EarleCombsStadium-1,f29246c0-35c8-11f1-b3ec-a1036a47720d,85.02427,,,7.38481,,,,,,,0e7d1906-1cef-47e8-9c34-8d03a0b73296,2026-04-11,17:07:39.87,2026-04-11T13:07:39.8765056-04:00,2026-04-11T17:07:39.8765056Z,,v3,471288,643-144469,1f151492881e4a86a338d785012a692c,"Phillips, Tyler",1000088036,Right,EKU_COL,dd88ee9b-a61e-4fff-bdbf-757cf470a306,54.56722,-125.61457,12.94236,5.94749,-5.47173,-10.75971,-1.86881,7.1514,-6.7319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-11,13:07:54.56,1,4,"Price, Jacob",1000160720,Right,EKU_COL,"Pace, Sawyer",10323327,Left,BEL_KNI,Undefined,1,Top,0,2,1,Splitter,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,,78.24026,2.198679,-0.43812,905.2913,293.638515,3:45,6.05371,1.44967,5.5831,-49.00833,-2.07417,8.60422,4.02404,1.75753,70.5661,-6.822139,1.097918,0.493078,,,,,,,,,,,,-4.43862,-1.16917,-1.41753,50,6.2115,0.52005,-113.36241,2.70866,-5.67945,23.95379,-33.67007,EKU_COL,BEL_KNI,EarleCombsStadium,D1,ASUN,20260411-EarleCombsStadium-1,fb60ea40-35c8-11f1-b3ec-a1036a47720d,76.44313,,,7.67416,,,,,,,0e7d1906-1cef-47e8-9c34-8d03a0b73296,2026-04-11,17:07:54.56,2026-04-11T13:07:54.5675264-04:00,2026-04-11T17:07:54.5675264Z,,v3,471288,643-144469,1f151492881e4a86a338d785012a692c,"Phillips, Tyler",1000088036,Right,EKU_COL,630f1bbf-c4c8-4146-bb7d-712db3c33a59,54.91301,-114.39583,11.9769,6.0633,4.16127,-16.83503,-1.44525,0.76507,-2.83972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-11,13:08:09.96,1,5,"Price, Jacob",1000160720,Right,EKU_COL,"Pace, Sawyer",10323327,Left,BEL_KNI,Undefined,1,Top,0,3,1,Sinker,Changeup,BallCalled,Walk,Undefined,Undefined,0,0,,86.45982,-3.266764,-3.80239,2250.145073,239.386411,2:00,5.88299,1.90419,5.74508,-27.24029,10.68709,15.91241,0.56144,-0.31518,79.07088,-8.304952,-0.957752,0.443249,,,,,,,,,,,,-9.31875,6.75575,-1.59805,50,5.59394,7.67675,-125.13538,-8.05719,-14.71257,26.26385,-21.508,EKU_COL,BEL_KNI,EarleCombsStadium,D1,ASUN,20260411-EarleCombsStadium-1,047e7110-35c9-11f1-b3ec-a1036a47720d,85.03669,,,7.38894,,,,,,,0e7d1906-1cef-47e8-9c34-8d03a0b73296,2026-04-11,17:08:09.96,2026-04-11T13:08:09.9689472-04:00,2026-04-11T17:08:09.9689472Z,,v3,471288,643-144469,1f151492881e4a86a338d785012a692c,"Phillips, Tyler",1000088036,Right,EKU_COL,320b70f8-1b70-42f4-a92c-35e65ae779f4,54.75569,-126.12957,13.13192,5.88353,-7.24303,-10.754,-1.89919,8.23367,-7.35629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-11,13:08:44.53,2,1,"Price, Jacob",1000160720,Right,EKU_COL,"Akers, Landon",838595,Right,BEL_KNI,Undefined,1,Top,0,0,0,Cutter,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.21199,-1.480004,-3.17251,2399.504724,186.032603,12:15,6.00153,1.59436,5.9628,-25.111,13.25607,1.27547,2.53421,-1.24406,78.2639,-6.165765,-2.943794,0.445811,,,,,,,,,,,,-1.51516,7.57532,-1.34321,50,5.86991,6.80153,-123.62225,-3.97199,-2.35069,24.05682,-20.42136,EKU_COL,BEL_KNI,EarleCombsStadium,D1,ASUN,20260411-EarleCombsStadium-1,191fd050-35c9-11f1-b3ec-a1036a47720d,84.54805,,,6.94808,,,,,,,0e7d1906-1cef-47e8-9c34-8d03a0b73296,2026-04-11,17:08:44.53,2026-04-11T13:08:44.5395968-04:00,2026-04-11T17:08:44.5395968Z,,v3,471288,643-144469,1f151492881e4a86a338d785012a692c,"Phillips, Tyler",1000088036,Right,EKU_COL,8295fb49-26fc-470c-a7e2-7db9765dc245,54.53563,-124.50175,12.02841,6.00147,-3.2254,-10.21068,-1.59344,6.88747,-1.17535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-11,13:09:06.36,2,2,"Price, Jacob",1000160720,Right,EKU_COL,"Akers, Landon",838595,Right,BEL_KNI,Undefined,1,Top,0,0,1,Sinker,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.66155,-0.618531,-3.541198,2266.6459,239.173393,2:00,5.9832,1.81058,5.90952,-28.24376,10.14847,14.81517,3.05432,-0.24587,77.81198,-5.894895,-0.886144,0.445957,83.16293,42.852866,32.930772,,83.49849,85.72539,71.61006,254.0775,152.93374,48.568911,5.098409,-8.70374,5.7578,-1.53481,50,5.91739,7.09246,-124.1783,-2.2444,-13.48425,26.68285,-23.25382,EKU_COL,BEL_KNI,EarleCombsStadium,D1,ASUN,20260411-EarleCombsStadium-1,261bc9d0-35c9-11f1-b3ec-a1036a47720d,84.52031,93.84959,,7.84957,,,,1.67074,2.98374,0.1805,0e7d1906-1cef-47e8-9c34-8d03a0b73296,2026-04-11,17:09:06.36,2026-04-11T13:09:06.3672832-04:00,2026-04-11T17:09:06.3672832Z,FlyBall,v3,471288,643-144469,1f151492881e4a86a338d785012a692c,"Phillips, Tyler",1000088036,Right,EKU_COL,4bdc4f4e-3fd5-4e2f-9b62-5a0ea6bbb0cf,54.5898,-125.16065,13.34143,5.98426,-1.3883,-11.62691,-1.80506,7.58889,-6.74213,212.060298,1.68493,74.74924,-21.19224,4.1782,0.34294,-0.53047,0.15214,-0.01906,0.00091,2.97956,83.02048,-21.9625,1.55699,0.02729,-0.14804,0.059,-0.00972,0.00058,0.17952,48.62455,-2.60021,-0.39635,0.31686,-0.11554,0.02763,-0.0037,0.0002,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
8,2026-04-11,13:09:57.01,2,3,"Price, Jacob",1000160720,Right,EKU_COL,"Akers, Landon",838595,Right,BEL_KNI,Undefined,1,Top,0,0,2,Splitter,Splitter,InPlay,Undefined,LineDrive,Single,0,0,,77.36804,-2.166174,-2.164948,737.121732,189.415473,12:15,6.1345,1.18538,5.69762,-35.0199,13.27619,1.88276,1.19516,-0.67615,69.50912,-8.688395,-1.8281,0.500181,59.46616,33.69105,27.718324,4062.55955,91.88656,33.98409,60.47184,172.63499,156.63802,37.675854,3.023936,-1.73843,8.04937,-1.0048,50,5.93108,4.16095,-111.92807,-5.26908,-2.14606,25.26267,-22.23731,EKU_COL,BEL_KNI,EarleCombsStadium,D1,ASUN,20260411-EarleCombsStadium-1,44578100-35c9-11f1-b3ec-a1036a47720d,75.35755,35.18151,,7.85892,,,,4.31379,1.68741,0.57411,0e7d1906-1cef-47e8-9c34-8d03a0b73296,2026-04-11,17:09:57.01,2026-04-11T13:09:57.0192384-04:00,2026-04-11T17:09:57.0192384Z,LineDrive,v3,471288,643-144469,1f151492881e4a86a338d785012a692c,"Phillips, Tyler",1000088036,Right,EKU_COL,afd13f06-9f76-4e44-9a53-a4f40b483100,54.79833,-113.00589,12.63134,6.13564,-4.32034,-11.11865,-1.18428,4.25251,-1.07303,235.087662,4.31386,64.2397,-10.31704,2.01202,-0.39266,0.08604,-0.04242,0.01297,-0.00138,1.68749,48.37606,-18.94621,1.20363,-0.05345,-0.10242,0.06255,-0.01499,0.00132,0.57421,33.74849,1.59649,-0.91273,0.22512,-0.01323,-0.0082,0.00266,-0.00026,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
9,2026-04-11,13:10:44.37,3,1,"Price, Jacob",1000160720,Right,EKU_COL,"Swader, AJ",838609,Left,BEL_KNI,Undefined,1,Top,0,0,0,Splitter,Splitter,InPlay,Undefined,GroundBall,Out,1,0,,76.56414,0.006271,-1.288567,752.620368,267.473893,3:00,6.10866,1.41981,5.59498,-47.14786,1.97327,3.16622,2.18553,0.48037,69.15747,-8.672528,-0.722536,0.504435,83.92711,-8.397263,36.92926,,,,,18.95862,17.27048,31.42887,0.140319,-2.05055,1.48008,-1.31148,50,6.0787,2.37698,-110.96622,-1.48035,-2.50212,23.81524,-30.36802,EKU_COL,BEL_KNI,EarleCombsStadium,D1,ASUN,20260411-EarleCombsStadium-1,6093e5c0-35c9-11f1-b3ec-a1036a47720d,74.72203,2.52785,,7.40667,,,,2.48844,2.52785,-0.40294,0e7d1906-1cef-47e8-9c34-8d03a0b73296,2026-04-11,17:10:44.37,2026-04-11T13:10:44.3724800-04:00,2026-04-11T17:10:44.3724800Z,GroundBall,v3,471288,643-144469,1f151492881e4a86a338d785012a692c,"Phillips, Tyler",1000088036,Right,EKU_COL,f1d8ba00-5a9c-405f-8de8-628831ec86d7,54.90258,-112.01346,11.90762,6.11444,-0.14497,-15.18401,-1.41842,2.487,-1.25106,180,2.48367,97.55424,,,,,,,,2.52873,-18.015,,,,,,,,-0.40653,73.32373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2026-04-11,13:11:22.74,4,1,"Price, Jacob",1000160720,Right,EKU_COL,"Bell, Jake",838613,Right,BEL_KNI,Undefined,1,Top,1,0,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,77.54684,0.618953,-2.583416,2258.31493,81.722083,8:45,5.9291,1.70241,5.42382,-46.78581,0.41976,-6.82937,2.61064,-1.2881,71.54283,-7.895808,-3.797296,0.494502,,,,,,,,,,,,2.73811,0.4835,-1.4682,50,5.95152,5.34181,-112.53812,-0.34488,3.5205,19.93206,-31.55241,EKU_COL,BEL_KNI,EarleCombsStadium,D1,ASUN,20260411-EarleCombsStadium-1,776fcbb0-35c9-11f1-b3ec-a1036a47720d,76.22301,,,6.004,,,,,,,0e7d1906-1cef-47e8-9c34-8d03a0b73296,2026-04-11,17:11:22.74,2026-04-11T13:11:22.7448832-04:00,2026-04-11T17:11:22.7448832Z,,v3,471288,643-144469,1f151492881e4a86a338d785012a692c,"Phillips, Tyler",1000088036,Right,EKU_COL,95d13ff9-f97c-4679-bcb4-2a188baca154,55.07601,-113.43359,9.96603,5.93517,1.07265,-15.77621,-1.70463,5.18365,1.76025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
