PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-11,14:04:11.59,1,1,"Corcoran, Brady",1000341649,Left,MCN_COW,"Newberry, Preston",1000138958,Left,IWC,Undefined,1,Top,0,0,0,Undefined,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,86.40242,-3.340121,2.385396,2213.772498,164.699325,11:30,6.11614,-0.78844,6.56305,-17.48544,18.74363,-4.8389,1.59063,0.99655,79.95889,-6.665349,1.506713,0.433211,75.6057,55.034769,-15.32342,,98.95551,106.11249,-48.03961,206.11934,193.54973,-29.505325,5.230299,3.15374,11.04174,0.62603,50,5.8779,-5.05354,-125.4835,-7.77065,5.07957,22.9766,-14.38968,MCN_COW,IWC,JoeMillerBallpark,D1,SLAND,20260411-JoeMillerBallpark-1,3a4baf50-35d9-11f1-b5f2-c73d4ac32b92,87.00704,106.3343,,6.44354,,,,1.44195,1.68673,-1.00925,08042c3a-c8fa-42a1-b2c4-b14ec371f253,2026-04-11,19:04:11.59,2026-04-11T14:04:11.5919872-05:00,2026-04-11T19:04:11.5919872Z,Popup,v3," 643-145297",471511,,"Schuck, Kaden",831041,Right,MCN_COW,53021b69-bfa8-4d09-94af-b8d9fd7666f2,53.93983,-126.20284,11.4883,6.11413,-7.32014,-7.19484,0.78674,-5.21257,2.53978,152.583896,1.44697,61.15617,-13.70419,2.40054,0.5345,-0.49331,0.13849,-0.01784,0.00089,1.67719,91.04641,-24.07551,3.13883,-0.98751,0.24569,-0.0323,0.00146,2E-05,-1.00413,-16.90852,-2.78006,0.39813,0.53956,-0.34503,0.09126,-0.01147,0.00056,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
2,2026-04-11,14:04:49.34,2,1,"Corcoran, Brady",1000341649,Left,MCN_COW,"Weaver, Jake",1000222601,Left,IWC,Undefined,1,Top,1,0,0,Undefined,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,87.34938,-2.488306,1.699539,2303.598621,162.704231,11:30,6.1913,-0.82603,6.26778,-15.74099,20.49619,-6.00985,2.58297,0.24053,79.69187,-5.520706,0.613743,0.43326,89.30141,39.00462,-13.83447,4170.07742,103.6858,79.21907,-36.73174,311.03335,159.03423,-27.723032,5.278395,3.61957,11.73312,0.70305,50,5.99909,-3.5277,-126.78995,-5.9056,5.87204,26.74482,-13.13934,MCN_COW,IWC,JoeMillerBallpark,D1,SLAND,20260411-JoeMillerBallpark-1,50c9e4e0-35d9-11f1-b5f2-c73d4ac32b92,86.99723,97.92702,,7.65751,,,,0.75403,2.59319,-0.25031,08042c3a-c8fa-42a1-b2c4-b14ec371f253,2026-04-11,19:04:49.34,2026-04-11T14:04:49.3438464-05:00,2026-04-11T19:04:49.3438464Z,FlyBall,v3," 643-145297",471511,,"Schuck, Kaden",831041,Right,MCN_COW,81e66deb-5086-4c8a-8a26-b7c0d8f90aa8,54.23313,-127.67976,13.37241,6.1883,-5.46845,-6.56967,0.82367,-3.72306,2.93602,146.541216,0.76221,98.66278,-21.18869,4.12046,-0.13296,-0.20503,0.05952,-0.00683,0.00029,2.59261,82.43283,-20.46066,1.39465,-0.0503,-0.08881,0.03696,-0.00584,0.00033,-0.24868,-24.37002,-3.61039,1.33894,-0.19678,-0.00539,0.00528,-0.0005,1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
3,2026-04-11,14:05:27.62,3,1,"Corcoran, Brady",1000341649,Left,MCN_COW,"Dejesus, Tony",1000378993,Right,IWC,Undefined,1,Top,2,0,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.81357,-1.496429,0.90665,2390.343633,158.275105,11:15,6.17726,-0.94509,6.32167,-14.40875,21.138,-7.98193,3.5978,-0.77513,80.41166,-4.286051,-0.537399,0.429113,,,,,,,,,,,,4.38827,11.73394,0.88237,50,6.06061,-1.70494,-127.63729,-3.67475,7.25369,25.77691,-12.77818,MCN_COW,IWC,JoeMillerBallpark,D1,SLAND,20260411-JoeMillerBallpark-1,679db480-35d9-11f1-b5f2-c73d4ac32b92,87.83807,,,7.40191,,,,,,,08042c3a-c8fa-42a1-b2c4-b14ec371f253,2026-04-11,19:05:27.62,2026-04-11T14:05:27.6280832-05:00,2026-04-11T19:05:27.6280832Z,,v3," 643-145297",471511,,"Schuck, Kaden",831041,Right,MCN_COW,9fe916a6-933a-414c-8767-a234091015d4,54.17893,-128.47847,12.88846,6.17373,-3.25776,-6.38909,0.94187,-1.94165,3.62685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-11,14:05:44.93,3,2,"Corcoran, Brady",1000341649,Left,MCN_COW,"Dejesus, Tony",1000378993,Right,IWC,Undefined,1,Top,2,1,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.78855,-1.918054,0.999201,2362.612192,162.024742,11:30,6.16458,-0.98487,6.47518,-12.95973,23.48419,-7.22343,3.32224,-0.66912,78.94444,-4.471439,-0.311225,0.434494,,,,,,,,,,,,4.05051,13.18371,0.91735,50,6.02313,-1.91852,-126.05472,-4.47305,6.48281,26.89114,-11.07377,MCN_COW,IWC,JoeMillerBallpark,D1,SLAND,20260411-JoeMillerBallpark-1,71eb56e0-35d9-11f1-b5f2-c73d4ac32b92,86.75018,,,7.8441,,,,,,,08042c3a-c8fa-42a1-b2c4-b14ec371f253,2026-04-11,19:05:44.93,2026-04-11T14:05:44.9365504-05:00,2026-04-11T19:05:44.9365504Z,,v3," 643-145297",471511,,"Schuck, Kaden",831041,Right,MCN_COW,adcf1233-62b0-481c-86e4-43176f13974d,54.0241,-126.91027,13.44557,6.15983,-4.12073,-5.53688,0.98167,-2.12477,3.2414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-11,14:06:04.22,3,3,"Corcoran, Brady",1000341649,Left,MCN_COW,"Dejesus, Tony",1000378993,Right,IWC,Undefined,1,Top,2,1,1,Undefined,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,74.07135,1.760665,-0.232731,1967.26475,333.944001,5:15,6.13617,-0.78643,5.62765,-64.82984,-13.41733,7.3276,2.37716,-0.39297,68.37012,-10.024574,1.079652,0.516067,,,,,,,,,,,,-3.78032,-6.81811,0.80147,50,6.24443,0.17166,-107.65026,1.22987,-4.42655,19.06272,-40.15764,MCN_COW,IWC,JoeMillerBallpark,D1,SLAND,20260411-JoeMillerBallpark-1,7d7a52e0-35d9-11f1-b5f2-c73d4ac32b92,73.03792,,,5.70123,,,,,,,08042c3a-c8fa-42a1-b2c4-b14ec371f253,2026-04-11,19:06:04.22,2026-04-11T14:06:04.2276864-05:00,2026-04-11T19:06:04.2276864Z,,v3," 643-145297",471511,,"Schuck, Kaden",831041,Right,MCN_COW,5e1ea947-f91b-4a4b-be3a-864c9afbba28,54.87859,-108.51072,9.53136,6.14801,3.04253,-20.07882,0.78921,0.37146,-2.21327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-11,14:06:24.37,3,4,"Corcoran, Brady",1000341649,Left,MCN_COW,"Dejesus, Tony",1000378993,Right,IWC,Undefined,1,Top,2,1,2,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,75.19026,-3.468201,1.279907,1536.90666,150.850909,11:00,6.09817,-0.80767,6.08491,-32.85829,16.32946,-8.21685,0.14662,-0.30809,69.37119,-9.560232,-0.202732,0.504777,,,,,,,,,,,,4.66902,9.88682,0.71339,50,5.81245,-2.16636,-109.08073,-7.49285,5.61917,19.38942,-20.27528,MCN_COW,IWC,JoeMillerBallpark,D1,SLAND,20260411-JoeMillerBallpark-1,89713870-35d9-11f1-b5f2-c73d4ac32b92,74.67144,,,5.81906,,,,,,,08042c3a-c8fa-42a1-b2c4-b14ec371f253,2026-04-11,19:06:24.37,2026-04-11T14:06:24.3745792-05:00,2026-04-11T19:06:24.3745792Z,,v3," 643-145297",471511,,"Schuck, Kaden",831041,Right,MCN_COW,15c75454-e25f-4a3f-bfa6-2dcfb0ba3099,54.41782,-109.8632,9.69471,6.09832,-6.67463,-10.13764,0.80539,-2.39312,2.80959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-11,14:06:47.94,3,5,"Corcoran, Brady",1000341649,Left,MCN_COW,"Dejesus, Tony",1000378993,Right,IWC,Undefined,1,Top,2,2,2,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.58135,0.228814,0.174116,2317.29637,161.513669,11:30,6.21328,-0.96607,6.16907,-14.15194,22.87596,-7.15422,5.24531,-1.40142,77.73248,-2.589143,-1.116303,0.437961,,,,,,,,,,,,3.7039,12.0689,0.95612,50,6.22309,-0.07974,-126.89033,0.22296,5.86467,32.94072,-13.0644,MCN_COW,IWC,JoeMillerBallpark,D1,SLAND,20260411-JoeMillerBallpark-1,978531a0-35d9-11f1-b5f2-c73d4ac32b92,86.06338,,,9.84887,,,,,,,08042c3a-c8fa-42a1-b2c4-b14ec371f253,2026-04-11,19:06:47.94,2026-04-11T14:06:47.9460352-05:00,2026-04-11T19:06:47.9460352Z,,v3," 643-145297",471511,,"Schuck, Kaden",831041,Right,MCN_COW,b74c49fe-1b1c-4115-82db-7f70c3633da6,54.32469,-128.00809,16.47036,6.20801,0.66627,-6.5322,0.9622,-0.27875,2.93233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-11,14:07:08.47,3,6,"Corcoran, Brady",1000341649,Left,MCN_COW,"Dejesus, Tony",1000378993,Right,IWC,Undefined,1,Top,2,3,2,Undefined,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,71.97402,1.665913,-0.002286,1815.357609,333.178759,5:00,6.08726,-0.93822,5.39206,-68.085,-12.34135,7.23052,1.97533,-0.33782,65.62218,-10.697367,1.287692,0.537365,,,,,,,,,,,,-3.65465,-6.27071,0.93306,50,6.18771,-0.25647,-104.4024,0.87109,-3.96404,20.40892,-38.97563,MCN_COW,IWC,JoeMillerBallpark,D1,SLAND,20260411-JoeMillerBallpark-1,a3c1abb0-35d9-11f1-b5f2-c73d4ac32b92,70.14313,,,6.35184,,,,,,,08042c3a-c8fa-42a1-b2c4-b14ec371f253,2026-04-11,19:07:08.47,2026-04-11T14:07:08.4703232-05:00,2026-04-11T19:07:08.4703232Z,,v3," 643-145297",471511,,"Schuck, Kaden",831041,Right,MCN_COW,dbb9ef16-ce58-4b48-81b3-78e67297da98,55.11247,-105.39706,10.20446,6.09897,2.77064,-19.48782,0.94086,-0.06328,-1.98202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-11,14:07:36.36,3,7,"Corcoran, Brady",1000341649,Left,MCN_COW,"Dejesus, Tony",1000378993,Right,IWC,Undefined,1,Top,2,3,2,Undefined,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,86.23089,-1.198145,1.732317,2340.56291,169.684094,11:45,6.10722,-0.71975,6.58868,-16.05808,21.97293,-3.69689,3.67044,0.5601,75.87112,-4.406218,1.060541,0.443854,,,,,,,,,,,,2.60114,12.3954,0.6024,50,6.01795,-3.62647,-124.82144,-2.91593,3.93864,34.52811,-13.40507,MCN_COW,IWC,JoeMillerBallpark,D1,SLAND,20260411-JoeMillerBallpark-1,b45c01a0-35d9-11f1-b5f2-c73d4ac32b92,84.92077,,,10.35977,,,,,,,08042c3a-c8fa-42a1-b2c4-b14ec371f253,2026-04-11,19:07:36.36,2026-04-11T14:07:36.3675648-05:00,2026-04-11T19:07:36.3675648Z,,v3," 643-145297",471511,,"Schuck, Kaden",831041,Right,MCN_COW,ad82a4a3-f9f6-48a3-855b-7287e5b34a35,53.90362,-125.89663,17.26406,6.10225,-2.4985,-6.70253,0.71723,-3.74912,1.96932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-11,14:08:08.13,4,1,"Corcoran, Brady",1000341649,Left,MCN_COW,"Enriquez, Christian",10973637,Right,IWC,Undefined,1,Top,2,0,0,Undefined,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,76.57361,0.984832,1.498368,2104.535241,239.316819,2:00,6.03102,-1.33049,5.68791,-44.92782,3.22579,2.83847,3.20539,0.30298,70.10852,-7.28027,2.005928,0.499443,,,,,,,,,,,,-1.00673,1.84244,1.20259,50,6.08596,-3.0139,-111.14448,0.49856,-1.25517,20.52853,-29.87692,MCN_COW,IWC,JoeMillerBallpark,D1,SLAND,20260411-JoeMillerBallpark-1,c74e2a40-35d9-11f1-b5f2-c73d4ac32b92,75.46897,,,6.46509,,,,,,,08042c3a-c8fa-42a1-b2c4-b14ec371f253,2026-04-11,19:08:08.13,2026-04-11T14:08:08.1370112-05:00,2026-04-11T19:08:08.1370112Z,,v3," 643-145297",471511,,"Schuck, Kaden",831041,Right,MCN_COW,737bef5b-c731-4f5a-9576-dabd2536e5ca,54.81258,-112.02984,10.26426,6.03667,1.78711,-14.93846,1.33141,-2.95976,-0.62759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
