PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-11,15:04:33.98,1,1,"Rutherford, Cal",1000236765,Right,EMU_EAG,"Tirado, Anthony",832076,Left,UMA_AMH,Undefined,1,Top,0,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,79.00146,-0.044345,-0.952128,1691.976396,227.744806,1:30,5.48732,2.04424,5.88867,-29.76706,15.44595,15.26615,2.96555,2.43223,71.58723,-5.642465,1.788105,0.483953,,,,,,,,,,,,-7.99591,8.38048,-1.97567,50,5.46684,1.3058,-114.61054,-0.94089,-10.52174,23.29662,-21.14627,EMU_EAG,UMA_AMH,OestrikeStadium,D1,MAC,20260411-OestrikeStadium-2,474a67f0-35d9-11f1-a3fd-3b861be0d0fe,77.88452,,,7.41423,,,,,,,0c53f077-bc37-46e5-beb0-e39377662bee,2026-04-11,19:04:33.98,2026-04-11T15:04:33.9819520-04:00,2026-04-11T19:04:33.9819520Z,,v3,471289,umass,e387806e420c469bba510a12f7642d7e,"Weaver, Nicholas",10106832,Right,EMU_EAG,6f0351cc-25de-4175-893f-4d8173d55269,54.60673,-115.54314,11.64831,5.48756,-0.09436,-10.57314,-2.03638,1.727,-5.26087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-11,15:05:35.34,1,2,"Rutherford, Cal",1000236765,Right,EMU_EAG,"Tirado, Anthony",832076,Left,UMA_AMH,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.91276,-3.114715,-3.43996,2078.099969,215.824916,1:15,5.31321,2.00948,5.97474,-15.9956,20.19119,13.72296,1.08466,-0.03981,80.39821,-6.168507,-0.978523,0.432959,,,,,,,,,,,,-8.02851,11.60461,-1.74474,50,5.05725,7.09861,-127.36992,-7.3809,-13.19359,26.07294,-13.10365,EMU_EAG,UMA_AMH,OestrikeStadium,D1,MAC,20260411-OestrikeStadium-2,6bd01390-35d9-11f1-a3fd-3b861be0d0fe,87.05784,,,7.51455,,,,,,,0c53f077-bc37-46e5-beb0-e39377662bee,2026-04-11,19:05:35.34,2026-04-11T15:05:35.3484288-04:00,2026-04-11T19:05:35.3484288Z,,v3,471289,umass,e387806e420c469bba510a12f7642d7e,"Weaver, Nicholas",10106832,Right,EMU_EAG,73a77747-2ac0-4821-88d2-3ad9d3b5303c,54.52575,-128.293,13.03647,5.31035,-6.91698,-6.55183,-2.00433,7.56572,-6.59679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-11,15:05:49.57,1,3,"Rutherford, Cal",1000236765,Right,EMU_EAG,"Tirado, Anthony",832076,Left,UMA_AMH,Undefined,1,Top,0,2,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,87.97198,-0.592534,-3.974933,2036.793643,221.748692,1:30,5.43887,1.85832,5.78586,-17.40458,19.0806,15.94552,3.43588,-0.51692,79.91541,-3.913349,-1.128178,0.43474,,,,,,,,,,,,-9.19859,10.22398,-1.53959,50,5.37948,8.16447,-127.44378,-1.81719,-15.0844,26.90533,-15.40816,EMU_EAG,UMA_AMH,OestrikeStadium,D1,MAC,20260411-OestrikeStadium-2,7453a450-35d9-11f1-a3fd-3b861be0d0fe,86.70109,,,8.05657,,,,,,,0c53f077-bc37-46e5-beb0-e39377662bee,2026-04-11,19:05:49.57,2026-04-11T15:05:49.5778816-04:00,2026-04-11T19:05:49.5778816Z,,v3,471289,umass,e387806e420c469bba510a12f7642d7e,"Weaver, Nicholas",10106832,Right,EMU_EAG,1926c5c3-c270-4aa8-988a-5f4fa671116e,54.7123,-128.43476,13.45266,5.43596,-1.24968,-7.70408,-1.85054,8.72007,-7.5422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-11,15:06:08.29,1,4,"Rutherford, Cal",1000236765,Right,EMU_EAG,"Tirado, Anthony",832076,Left,UMA_AMH,Undefined,1,Top,0,3,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.75139,-1.612933,-3.742454,2101.35987,222.114652,1:30,5.3768,1.93395,5.90133,-19.64434,18.67765,15.6991,2.23884,-0.23699,77.88114,-5.348705,-0.931652,0.445549,,,,,,,,,,,,-9.07867,10.40174,-1.64138,50,5.23557,7.47244,-124.21161,-4.05867,-14.10632,26.14557,-16.01195,EMU_EAG,UMA_AMH,OestrikeStadium,D1,MAC,20260411-OestrikeStadium-2,7f7eae60-35d9-11f1-a3fd-3b861be0d0fe,84.59775,,,7.87025,,,,,,,0c53f077-bc37-46e5-beb0-e39377662bee,2026-04-11,19:06:08.29,2026-04-11T15:06:08.2918400-04:00,2026-04-11T19:06:08.2918400Z,,v3,471289,umass,e387806e420c469bba510a12f7642d7e,"Weaver, Nicholas",10106832,Right,EMU_EAG,dda8a2b9-08a6-48ca-8b27-d6693c4c68c2,54.59663,-125.17543,13.07279,5.37431,-3.46842,-8.00597,-1.92642,7.99245,-7.05316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-11,15:06:26.33,1,5,"Rutherford, Cal",1000236765,Right,EMU_EAG,"Tirado, Anthony",832076,Left,UMA_AMH,Undefined,1,Top,0,3,1,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,88.25295,-0.915949,-2.496282,2088.413744,222.74916,1:30,5.24988,2.00139,5.91804,-17.00261,18.98544,16.44804,2.98207,1.05394,80.25778,-4.168871,0.454381,0.431768,,,,,,,,,,,,-9.0676,10.31268,-1.81025,50,5.16665,4.87675,-128.0493,-2.51996,-15.00173,27.31831,-15.11246,EMU_EAG,UMA_AMH,OestrikeStadium,D1,MAC,20260411-OestrikeStadium-2,8a3328e0-35d9-11f1-a3fd-3b861be0d0fe,87.29788,,,7.99517,,,,,,,0c53f077-bc37-46e5-beb0-e39377662bee,2026-04-11,19:06:26.33,2026-04-11T15:06:26.3344128-04:00,2026-04-11T19:06:26.3344128Z,,v3,471289,umass,e387806e420c469bba510a12f7642d7e,"Weaver, Nicholas",10106832,Right,EMU_EAG,cd725716-1d1d-4d1d-b1f5-c841dbdf1f39,54.58003,-129.02272,13.65916,5.24685,-1.98147,-7.55623,-1.99354,5.41129,-7.50086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-11,15:06:46.59,1,6,"Rutherford, Cal",1000236765,Right,EMU_EAG,"Tirado, Anthony",832076,Left,UMA_AMH,Undefined,1,Top,0,3,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,87.77672,-1.495233,-2.80316,2039.434029,216.132194,1:15,5.28985,1.96105,5.79043,-16.44001,19.9793,13.73776,2.5269,0.49608,80.21184,-4.629233,-0.345745,0.434347,,,,,,,,,,,,-7.71607,10.91808,-1.73811,50,5.15665,5.64372,-127.33055,-3.78789,-12.68884,25.7372,-14.21955,EMU_EAG,UMA_AMH,OestrikeStadium,D1,MAC,20260411-OestrikeStadium-2,964f70c0-35d9-11f1-a3fd-3b861be0d0fe,86.77947,,,7.56487,,,,,,,0c53f077-bc37-46e5-beb0-e39377662bee,2026-04-11,19:06:46.59,2026-04-11T15:06:46.5930000-04:00,2026-04-11T19:06:46.5930000Z,,v3,471289,umass,e387806e420c469bba510a12f7642d7e,"Weaver, Nicholas",10106832,Right,EMU_EAG,57f4d28a-9456-471c-8a92-e67e78a3a55e,54.70801,-128.27864,12.8686,5.28654,-3.26408,-7.10978,-1.95463,6.11115,-6.34442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.37312,2.657716,1.534157,1.12356,-2.50642,2.19972,-0.47859,-4.65133,6.17564,3.30641,65.03067,13.24983,59.77381,-4.47714,69.59694,-6.82199,6.27791,22.51975,-14.48124,3.37548,54.1614,-3.505,High,High,High,,,High,High,High
7,2026-04-11,15:07:20.86,2,1,"Rutherford, Cal",1000236765,Right,EMU_EAG,"Fox, Tyler",804043,Left,UMA_AMH,Undefined,1,Top,1,0,0,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,87.9125,-1.459238,-3.264766,2012.255014,224.199378,1:30,5.32935,1.9022,5.81569,-18.37844,17.9541,16.31843,2.43847,0.2231,80.26344,-4.94229,-0.345428,0.43383,,,,,,,,,,,,-9.16953,9.89898,-1.64402,50,5.19869,6.57141,-127.47944,-3.79413,-15.09718,26.07618,-15.87588,EMU_EAG,UMA_AMH,OestrikeStadium,D1,MAC,20260411-OestrikeStadium-2,aabd3ce0-35d9-11f1-a3fd-3b861be0d0fe,86.88304,,,7.64906,,,,,,,0c53f077-bc37-46e5-beb0-e39377662bee,2026-04-11,19:07:20.86,2026-04-11T15:07:20.8605696-04:00,2026-04-11T19:07:20.8605696Z,,v3,471289,umass,e387806e420c469bba510a12f7642d7e,"Weaver, Nicholas",10106832,Right,EMU_EAG,4e92c4f8-459e-49a7-a17f-f6e266df7860,54.68315,-128.43382,13.03809,5.32692,-3.21308,-7.93794,-1.89465,7.12396,-7.54859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-11,15:07:36.72,2,2,"Rutherford, Cal",1000236765,Right,EMU_EAG,"Fox, Tyler",804043,Left,UMA_AMH,Undefined,1,Top,1,0,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,87.68562,0.226422,-4.05779,2107.197402,217.720288,1:15,5.34278,1.92693,5.89937,-15.79359,20.91407,15.20611,4.23738,-0.57934,79.28289,-2.824999,-1.338341,0.436063,,,,,,,,,,,,-8.8813,10.93985,-1.60819,50,5.35179,8.34791,-126.97608,0.10105,-14.4042,27.59968,-14.43121,EMU_EAG,UMA_AMH,OestrikeStadium,D1,MAC,20260411-OestrikeStadium-2,b4289590-35d9-11f1-a3fd-3b861be0d0fe,86.43796,,,8.40273,,,,,,,0c53f077-bc37-46e5-beb0-e39377662bee,2026-04-11,19:07:36.72,2026-04-11T15:07:36.7295488-04:00,2026-04-11T19:07:36.7295488Z,,v3,471289,umass,e387806e420c469bba510a12f7642d7e,"Weaver, Nicholas",10106832,Right,EMU_EAG,cdc54327-de58-460d-b3ef-9ac185eb0d33,54.5972,-127.97143,13.79984,5.33877,0.6215,-7.21561,-1.91861,8.86738,-7.2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-11,15:07:57.52,2,3,"Rutherford, Cal",1000236765,Right,EMU_EAG,"Fox, Tyler",804043,Left,UMA_AMH,Undefined,1,Top,1,1,1,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.89875,-0.758918,-2.658601,2080.917213,220.016779,1:15,5.25745,1.9149,5.78274,-18.35202,18.19068,14.23946,3.02121,0.62617,79.78779,-4.251677,-0.111253,0.435083,,,,,,,,,,,,-8.05804,9.86394,-1.70427,50,5.18395,5.31897,-127.49103,-2.23275,-13.18237,27.69155,-16.03733,EMU_EAG,UMA_AMH,OestrikeStadium,D1,MAC,20260411-OestrikeStadium-2,c09a5070-35d9-11f1-a3fd-3b861be0d0fe,86.63284,,,8.11096,,,,,,,0c53f077-bc37-46e5-beb0-e39377662bee,2026-04-11,19:07:57.52,2026-04-11T15:07:57.5226368-04:00,2026-04-11T19:07:57.5226368Z,,v3,471289,umass,e387806e420c469bba510a12f7642d7e,"Weaver, Nicholas",10106832,Right,EMU_EAG,1bc1f465-ccd1-43e4-af30-87694011adf0,54.71659,-128.51141,13.84577,5.25533,-1.64181,-8.01867,-1.90922,5.80472,-6.59118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-11,15:08:20.77,2,4,"Rutherford, Cal",1000236765,Right,EMU_EAG,"Fox, Tyler",804043,Left,UMA_AMH,Undefined,1,Top,1,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.92143,-2.012941,-3.476526,2066.29549,209.127935,1:00,5.2609,1.99891,5.83769,-18.94729,17.99131,9.25571,1.80682,-0.465,79.08338,-5.629101,-1.821156,0.437433,,,,,,,,,,,,-5.83737,10.22564,-1.72058,50,5.08553,7.32891,-127.19348,-5.02543,-9.4032,30.151,-15.70191,EMU_EAG,UMA_AMH,OestrikeStadium,D1,MAC,20260411-OestrikeStadium-2,ce6cacc0-35d9-11f1-a3fd-3b861be0d0fe,86.16728,,,8.83805,,,,,,,0c53f077-bc37-46e5-beb0-e39377662bee,2026-04-11,19:08:20.77,2026-04-11T15:08:20.7768576-04:00,2026-04-11T19:08:20.7768576Z,,v3,471289,umass,e387806e420c469bba510a12f7642d7e,"Weaver, Nicholas",10106832,Right,EMU_EAG,e59fbdd0-4e59-4211-ab48-42039355abe6,54.6585,-128.29301,15.0755,5.25835,-4.45282,-7.85095,-1.9941,7.67182,-4.7016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
