PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-12,13:02:18.81,1,1,"Singleton, Dylan",828181,Left,NOT_IRI,"Gracia, AJ",1000091685,Left,VIR_CAV,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.20925,-1.011055,4.953796,2340.872218,133.087961,10:30,5.64175,-2.10945,6.037,-18.3506,17.18651,-16.99741,3.17272,1.07262,80.36106,-4.526711,1.910871,0.429054,,,,,,,,,,,,10.21512,9.50115,1.73066,50,5.55261,-10.4505,-128.99619,-2.80117,17.0047,29.85317,-16.35785,NOT_IRI,VIR_CAV,FrankEck,D1,ACC,20260412-FrankEck-1,5d9c05a0-3691-11f1-a5b1-8b6b3ecf2ba9,87.85003,,,8.84819,,,,,,,acbe1e7f-b8a9-486e-a77b-f611f81aedae,2026-04-12,17:02:18.81,2026-04-12T13:02:18.8135424-04:00,2026-04-12T17:02:18.8135424Z,,v3,225,471482,f456b0ab826148d79eded7390fee7039,"Quatrani, Mark",805544,Right,NOT_IRI,82885a7c-12f1-414b-84b7-437dbdde9208,54.46039,-130.02435,14.92659,5.63938,-2.23781,-8.17893,2.10066,-11.03615,8.50235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-12,13:02:35.87,1,2,"Singleton, Dylan",828181,Left,NOT_IRI,"Gracia, AJ",1000091685,Left,VIR_CAV,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.92533,-1.845,4.822419,2282.116766,137.866012,10:30,5.69933,-2.18257,5.87863,-14.68438,21.6167,-18.26619,2.75544,0.7846,79.42102,-4.718644,1.560942,0.433642,,,,,,,,,,,,10.82737,12.00048,1.80199,50,5.54119,-10.01737,-128.40011,-4.50298,17.70789,31.62994,-12.54762,NOT_IRI,VIR_CAV,FrankEck,D1,ACC,20260412-FrankEck-1,67c64180-3691-11f1-a5b1-8b6b3ecf2ba9,86.92065,,,9.50431,,,,,,,acbe1e7f-b8a9-486e-a77b-f611f81aedae,2026-04-12,17:02:35.87,2026-04-12T13:02:35.8766592-04:00,2026-04-12T17:02:35.8766592Z,,v3,225,471482,f456b0ab826148d79eded7390fee7039,"Quatrani, Mark",805544,Right,NOT_IRI,ef8ab3e6-c9b1-460f-90b3-cfe5702b494d,54.61655,-129.53235,15.81497,5.69434,-4.05382,-6.27381,2.17192,-10.65124,8.85394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-12,13:02:54.01,1,3,"Singleton, Dylan",828181,Left,NOT_IRI,"Gracia, AJ",1000091685,Left,VIR_CAV,Undefined,1,Top,0,1,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.23923,-0.461236,4.585924,1904.867837,121.763683,10:00,5.54644,-1.95779,6.48012,-32.46742,10.87516,-14.95253,2.41594,1.01614,72.25112,-6.602888,1.882811,0.473837,,,,,,,,,,,,9.24107,6.32945,1.64031,50,5.49996,-8.76333,-116.12273,-1.81758,12.39673,25.30439,-23.68321,NOT_IRI,VIR_CAV,FrankEck,D1,ACC,20260412-FrankEck-1,729e4990-3691-11f1-a5b1-8b6b3ecf2ba9,79.54732,,,7.98811,,,,,,,acbe1e7f-b8a9-486e-a77b-f611f81aedae,2026-04-12,17:02:54.01,2026-04-12T13:02:54.0141056-04:00,2026-04-12T17:02:54.0141056Z,,v3,225,471482,f456b0ab826148d79eded7390fee7039,"Quatrani, Mark",805544,Right,NOT_IRI,8e9b3fd0-ed86-4bcf-bd8d-2573f574109c,54.01606,-116.9946,12.6522,5.54852,-1.00157,-11.8416,1.94961,-9.19047,6.19836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-12,13:03:11.12,1,4,"Singleton, Dylan",828181,Left,NOT_IRI,"Gracia, AJ",1000091685,Left,VIR_CAV,Undefined,1,Top,0,2,1,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,78.02386,0.286247,1.528527,2097.955265,283.177775,3:30,5.55964,-2.11429,5.553,-46.40495,0.68661,4.13925,1.96013,-0.34073,70.86538,-8.228238,2.267454,0.493905,,,,,,,,,,,,-1.60276,0.74095,1.97927,50,5.55393,-3.17951,-113.13024,-0.95836,-2.0471,23.42348,-31.22768,NOT_IRI,VIR_CAV,FrankEck,D1,ACC,20260412-FrankEck-1,7ccddca0-3691-11f1-a5b1-8b6b3ecf2ba9,76.31523,,,7.15848,,,,,,,acbe1e7f-b8a9-486e-a77b-f611f81aedae,2026-04-12,17:03:11.12,2026-04-12T13:03:11.1297536-04:00,2026-04-12T17:03:11.1297536Z,,v3,225,471482,f456b0ab826148d79eded7390fee7039,"Quatrani, Mark",805544,Right,NOT_IRI,6dbf7ec5-7cb9-4ff7-b7f6-5006c86b421b,54.94572,-114.14966,11.71174,5.56607,0.4007,-15.61384,2.11571,-3.09042,-1.02355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-12,13:03:27.58,1,5,"Singleton, Dylan",828181,Left,NOT_IRI,"Gracia, AJ",1000091685,Left,VIR_CAV,Undefined,1,Top,0,2,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,79.71241,-1.697502,4.813886,1990.58276,111.353281,9:45,5.59317,-1.88033,6.55012,-36.3127,7.87351,-15.65123,1.00451,1.24022,71.51917,-8.53942,1.978675,0.478426,,,,,,,,,,,,9.82402,5.27233,1.55258,50,5.46068,-9.13575,-115.2232,-4.41962,12.86894,26.51847,-25.26761,NOT_IRI,VIR_CAV,FrankEck,D1,ACC,20260412-FrankEck-1,86a4a150-3691-11f1-a5b1-8b6b3ecf2ba9,78.78426,,,8.19324,,,,,,,acbe1e7f-b8a9-486e-a77b-f611f81aedae,2026-04-12,17:03:27.58,2026-04-12T13:03:27.5869184-04:00,2026-04-12T17:03:27.5869184Z,,v3,225,471482,f456b0ab826148d79eded7390fee7039,"Quatrani, Mark",805544,Right,NOT_IRI,ff4f25b3-44d7-46fe-a917-7e2a072222aa,53.94573,-116.12776,13.25924,5.59673,-3.55773,-12.63381,1.87169,-9.57471,6.43447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-12,13:03:43.89,1,6,"Singleton, Dylan",828181,Left,NOT_IRI,"Gracia, AJ",1000091685,Left,VIR_CAV,Undefined,1,Top,0,3,2,Fastball,Sinker,InPlay,Undefined,Popup,Out,1,0,,87.27684,-0.595881,3.341331,2201.087119,133.131636,10:30,5.66901,-2.12656,6.03476,-18.49462,18.80714,-18.54422,3.57504,-0.57429,78.02127,-4.169846,0.010658,0.439578,75.37516,57.285552,13.148147,,107.46661,118.52403,23.47139,200.30237,189.2022,11.938531,5.492246,10.77709,10.30831,1.87577,50,5.61271,-6.63067,-126.40582,-1.81895,17.04092,31.22432,-15.87433,NOT_IRI,VIR_CAV,FrankEck,D1,ACC,20260412-FrankEck-1,904cb4e0-3691-11f1-a5b1-8b6b3ecf2ba9,85.74683,118.5349,,9.25557,,,,1.04266,3.62121,0.57405,acbe1e7f-b8a9-486e-a77b-f611f81aedae,2026-04-12,17:03:43.89,2026-04-12T13:03:43.8931968-04:00,2026-04-12T17:03:43.8931968Z,Popup,v3,225,471482,f456b0ab826148d79eded7390fee7039,"Quatrani, Mark",805544,Right,NOT_IRI,cf9011d4-b9e6-4fec-b481-8ea8806cef96,54.46447,-127.50385,15.61216,5.66686,-1.26072,-7.93717,2.11948,-7.22993,8.52046,177.37434,1.04835,58.07713,-11.58699,2.60409,-0.25081,-0.02891,0.01104,-0.00105,3E-05,3.62104,92.99715,-22.25961,1.7476,0.00656,-0.14962,0.04868,-0.00679,0.00036,0.57548,13.56459,-3.28802,0.78698,-0.09416,-0.00223,0.0024,-0.00027,1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
7,2026-04-12,13:04:22.40,2,1,"Singleton, Dylan",828181,Left,NOT_IRI,"Becker, Eric",806027,Left,VIR_CAV,Undefined,1,Top,1,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.22909,0.423515,3.709608,2287.155015,128.405396,10:15,5.72848,-2.18597,5.86394,-19.80139,14.71083,-17.14127,4.47264,-0.16339,82.02496,-3.319954,0.643213,0.422822,,,,,,,,,,,,9.71142,7.71402,1.89439,50,5.75134,-7.71889,-130.79318,0.34984,16.79514,28.00647,-18.83328,NOT_IRI,VIR_CAV,FrankEck,D1,ACC,20260412-FrankEck-1,a7408fa0-3691-11f1-a5b1-8b6b3ecf2ba9,89.14488,,,8.20413,,,,,,,acbe1e7f-b8a9-486e-a77b-f611f81aedae,2026-04-12,17:04:22.40,2026-04-12T13:04:22.4041984-04:00,2026-04-12T17:04:22.4041984Z,,v3,225,471482,f456b0ab826148d79eded7390fee7039,"Quatrani, Mark",805544,Right,NOT_IRI,35d8c4c9-bbfa-443a-918e-afb224e3625e,54.63438,-131.78179,14.00324,5.72725,1.01464,-9.41664,2.17732,-8.31175,8.39757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-12,13:04:38.03,2,2,"Singleton, Dylan",828181,Left,NOT_IRI,"Becker, Eric",806027,Left,VIR_CAV,Undefined,1,Top,1,1,0,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,88.28002,-1.48727,3.414242,2306.080179,134.56639,10:30,5.66402,-2.22818,6.06419,-19.37407,16.33048,-15.4108,2.67029,-0.3488,80.62375,-5.160313,0.644819,0.430064,,,,,,,,,,,,8.8276,9.15831,1.97086,50,5.53795,-6.99545,-128.03799,-3.89292,14.65704,26.38605,-16.96791,NOT_IRI,VIR_CAV,FrankEck,D1,ACC,20260412-FrankEck-1,b092e210-3691-11f1-a5b1-8b6b3ecf2ba9,87.64379,,,7.65627,,,,,,,acbe1e7f-b8a9-486e-a77b-f611f81aedae,2026-04-12,17:04:38.03,2026-04-12T13:04:38.0332032-04:00,2026-04-12T17:04:38.0332032Z,,v3,225,471482,f456b0ab826148d79eded7390fee7039,"Quatrani, Mark",805544,Right,NOT_IRI,26fcaac9-7244-4b3c-8f10-daae034508e1,54.43475,-128.94867,13.19303,5.6622,-3.3073,-8.48395,2.22103,-7.50131,7.32852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-12,13:04:56.16,2,3,"Singleton, Dylan",828181,Left,NOT_IRI,"Becker, Eric",806027,Left,VIR_CAV,Undefined,1,Top,1,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.9283,-2.45821,4.713083,2331.802086,137.427348,10:30,5.7085,-2.10755,6.03076,-18.6704,16.97584,-14.4458,1.86701,1.06319,80.62485,-6.011133,2.125507,0.429713,,,,,,,,,,,,8.7839,9.81749,1.74589,50,5.50548,-9.98735,-128.58763,-6.07396,14.59763,28.516,-15.85877,NOT_IRI,VIR_CAV,FrankEck,D1,ACC,20260412-FrankEck-1,bb62fae0-3691-11f1-a5b1-8b6b3ecf2ba9,87.71544,,,8.30346,,,,,,,acbe1e7f-b8a9-486e-a77b-f611f81aedae,2026-04-12,17:04:56.16,2026-04-12T13:04:56.1632768-04:00,2026-04-12T17:04:56.1632768Z,,v3,225,471482,f456b0ab826148d79eded7390fee7039,"Quatrani, Mark",805544,Right,NOT_IRI,d834c426-2db0-4611-a39e-4e237b25fe6a,54.46703,-129.57447,14.258,5.70618,-5.52514,-7.92939,2.10026,-10.49252,7.29882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-12,13:05:15.09,2,4,"Singleton, Dylan",828181,Left,NOT_IRI,"Becker, Eric",806027,Left,VIR_CAV,Undefined,1,Top,1,2,1,Cutter,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,78.23274,-0.363858,2.927588,1981.631828,192.999711,12:30,5.54948,-2.1691,5.57983,-43.75778,2.4728,0.24008,1.56272,0.58751,72.05106,-8.356751,2.970403,0.489369,,,,,,,,,,,,0.69035,1.7791,1.91692,50,5.48946,-5.81347,-113.49762,-2.14848,0.90072,20.72124,-29.85276,NOT_IRI,VIR_CAV,FrankEck,D1,ACC,20260412-FrankEck-1,c6b36740-3691-11f1-a5b1-8b6b3ecf2ba9,77.02259,,,6.18168,,,,,,,acbe1e7f-b8a9-486e-a77b-f611f81aedae,2026-04-12,17:05:15.09,2026-04-12T13:05:15.0986752-04:00,2026-04-12T17:05:15.0986752Z,,v3,225,471482,f456b0ab826148d79eded7390fee7039,"Quatrani, Mark",805544,Right,NOT_IRI,0769a4e1-a799-4a9b-9eea-7039b5a7b5d2,54.92062,-114.39244,10.36062,5.5544,-0.85931,-14.92638,2.16881,-5.85237,0.45036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
11,2026-04-12,13:05:33.66,2,5,"Singleton, Dylan",828181,Left,NOT_IRI,"Becker, Eric",806027,Left,VIR_CAV,Undefined,1,Top,1,3,1,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,88.48971,-1.721152,4.894517,2294.248593,132.9875,10:30,5.71089,-2.03196,5.81113,-17.23965,19.26206,-19.21241,2.66739,0.92958,79.59794,-5.032566,1.468254,0.434838,,,,,,,,,,,,11.26233,10.72249,1.64094,50,5.55912,-10.10664,-127.86567,-4.3359,18.39385,29.68697,-14.6619,NOT_IRI,VIR_CAV,FrankEck,D1,ACC,20260412-FrankEck-1,d1ba4780-3691-11f1-a5b1-8b6b3ecf2ba9,86.68148,,,8.89178,,,,,,,acbe1e7f-b8a9-486e-a77b-f611f81aedae,2026-04-12,17:05:33.66,2026-04-12T13:05:33.6666112-04:00,2026-04-12T17:05:33.6666112Z,,v3,225,471482,f456b0ab826148d79eded7390fee7039,"Quatrani, Mark",805544,Right,NOT_IRI,2a4e350b-3223-4194-8a6d-5ee4f85575b5,54.68623,-128.9491,14.84348,5.7076,-3.80081,-7.33095,2.02204,-10.77792,9.19693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
12,2026-04-12,13:06:22.16,3,1,"Singleton, Dylan",828181,Left,NOT_IRI,"Tiroly, Joe",1000278564,Right,VIR_CAV,Undefined,1,Top,1,0,0,Fastball,Sinker,InPlay,Undefined,LineDrive,Double,0,1,,87.73681,-1.650824,3.178708,2235.614709,135.886123,10:30,5.70859,-2.49544,6.15529,-20.64474,15.32702,-13.75091,2.46022,-0.70151,80.28748,-5.554009,0.702334,0.43167,103.555,15.381439,-8.737184,2917.135045,108.13883,21.43861,-20.14776,261.0916,261.0916,-13.73684,2.199786,8.06701,8.74689,2.26097,50,5.57232,-6.53726,-127.33995,-4.28126,13.24774,26.11376,-17.80977,NOT_IRI,VIR_CAV,FrankEck,D1,ACC,20260412-FrankEck-1,eea080d0-3691-11f1-a5b1-8b6b3ecf2ba9,87.31764,22.29254,,7.44933,,,,2.13511,2.3251,0.74593,acbe1e7f-b8a9-486e-a77b-f611f81aedae,2026-04-12,17:06:22.16,2026-04-12T13:06:22.1632000-04:00,2026-04-12T17:06:22.1632000Z,LineDrive,v3,225,471482,f456b0ab826148d79eded7390fee7039,"Quatrani, Mark",805544,Right,NOT_IRI,9b12ad5a-bb99-48db-8de8-f1fb0165381d,54.3463,-128.22816,13.05688,5.70764,-3.6755,-8.90489,2.49099,-6.98785,6.62387,86.713822,2.13509,144.74184,-20.8524,4.7945,-1.11614,0.29723,-0.08643,0.01821,-0.00176,2.32511,40.28449,-22.12637,2.09233,-0.31488,-0.00525,0.02834,-0.00924,0.00108,0.74591,-22.2432,-5.73897,2.30262,-0.80187,0.30132,-0.10684,0.02486,-0.00253,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
13,2026-04-12,13:07:11.39,4,1,"Singleton, Dylan",828181,Left,NOT_IRI,"Didawick, Harrison",703494,Left,VIR_CAV,Undefined,1,Top,1,0,0,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,78.75737,0.514445,2.9912,1954.06826,106.273005,9:30,5.64489,-2.07814,6.28925,-38.19612,6.78244,-17.75529,2.93663,-0.79865,71.25638,-6.646237,-0.217023,0.482697,,,,,,,,,,,,10.25245,3.78748,1.86628,50,5.66443,-5.34785,-114.25624,-0.05321,13.35095,23.97627,-27.24192,NOT_IRI,VIR_CAV,FrankEck,D1,ACC,20260412-FrankEck-1,0c03d960-3692-11f1-a5b1-8b6b3ecf2ba9,78.08723,,,7.50099,,,,,,,acbe1e7f-b8a9-486e-a77b-f611f81aedae,2026-04-12,17:07:11.39,2026-04-12T13:07:11.3921024-04:00,2026-04-12T17:07:11.3921024Z,,v3,225,471482,f456b0ab826148d79eded7390fee7039,"Quatrani, Mark",805544,Right,NOT_IRI,8174316a-0b07-4215-b9e9-5582af1a1737,54.21124,-115.13657,11.98813,5.64802,0.94701,-13.62096,2.07163,-5.83805,6.67548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
