PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-12,12:06:03.63,1,1,"Evans, Tate",838312,Right,YAL_BUL,"Rickheim, Jack",831897,Right,HAR_CRI,Undefined,1,Top,0,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.21535,-2.038933,-5.698294,1852.670246,238.592576,2:00,5.79353,1.86574,6.10081,-25.89836,11.58571,17.03513,1.73949,-2.0021,79.10825,-6.871137,-2.648407,0.440651,,,,,,,,,,,,-10.2563,6.88725,-1.43464,50,5.62224,11.75782,-124.68474,-5.26016,-16.21537,24.05689,-21.2852,YAL_BUL,HAR_CRI,GeorgeHWBush48Field,D1,IVY,20260412-GeorgeHWBush48Field-1,81e7af20-3689-11f1-aabe-6b5161d6f091,85.53806,,,7.1071,,,,,,,1a947ee7-d7ff-4a70-93ea-ba1e207caf99,2026-04-12,16:06:03.63,2026-04-12T12:06:03.6337664-04:00,2026-04-12T16:06:03.6337664Z,,v3,643-146290,471310,0992c47f14ab41a78ddd884fe8250d63,"Turner, Owen",804050,Right,YAL_BUL,9c175c75-3280-4d80-8e72-bee7875fe218,54.39829,-125.53049,12.02845,5.79401,-4.51185,-10.6426,-1.85802,12.32789,-8.10769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-12,12:06:19.27,1,2,"Evans, Tate",838312,Right,YAL_BUL,"Rickheim, Jack",831897,Right,HAR_CRI,Undefined,1,Top,0,1,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,75.7882,1.006446,-1.545241,1986.059131,80.695919,8:45,5.66615,2.46732,5.2423,-51.6555,-1.12354,-17.54048,2.30784,-0.44699,68.94511,-8.39813,-4.655172,0.511628,,,,,,,,,,,,8.25536,-0.35913,-2.31178,50,5.72051,3.65051,-109.84147,0.19889,9.93408,22.18602,-32.6062,YAL_BUL,HAR_CRI,GeorgeHWBush48Field,D1,IVY,20260412-GeorgeHWBush48Field-1,8b7dc150-3689-11f1-aabe-6b5161d6f091,73.67153,,,6.84308,,,,,,,1a947ee7-d7ff-4a70-93ea-ba1e207caf99,2026-04-12,16:06:19.27,2026-04-12T12:06:19.2753152-04:00,2026-04-12T16:06:19.2753152Z,,v3,643-146290,471310,0992c47f14ab41a78ddd884fe8250d63,"Turner, Owen",804050,Right,YAL_BUL,77ddb42b-e16c-4b73-a1a4-cc90ec7e1856,55.25651,-110.89811,11.09301,5.67406,1.7518,-16.3031,-2.47438,3.17739,4.96704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-12,12:06:37.31,1,3,"Evans, Tate",838312,Right,YAL_BUL,"Rickheim, Jack",831897,Right,HAR_CRI,Undefined,1,Top,0,1,1,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,75.14744,1.040124,-0.510981,1981.477428,79.524708,8:45,5.61202,2.57461,5.01369,-52.21089,-0.75114,-13.26363,2.24295,0.98702,68.71289,-8.42057,-2.855655,0.516304,,,,,,,,,,,,6.42615,-0.19032,-2.51435,50,5.66963,1.49593,-108.98125,0.19126,7.66968,20.51343,-32.40118,YAL_BUL,HAR_CRI,GeorgeHWBush48Field,D1,IVY,20260412-GeorgeHWBush48Field-1,95f97890-3689-11f1-aabe-6b5161d6f091,73.00438,,,6.43455,,,,,,,1a947ee7-d7ff-4a70-93ea-ba1e207caf99,2026-04-12,16:06:37.31,2026-04-12T12:06:37.3168128-04:00,2026-04-12T16:06:37.3168128Z,,v3,643-146290,471310,0992c47f14ab41a78ddd884fe8250d63,"Turner, Owen",804050,Right,YAL_BUL,1ea51dad-021a-4b64-975e-fac9b9abcdac,55.48572,-110.00898,10.25672,5.61939,1.81456,-16.20059,-2.57967,1.11168,3.83484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-12,12:06:56.29,1,4,"Evans, Tate",838312,Right,YAL_BUL,"Rickheim, Jack",831897,Right,HAR_CRI,Undefined,1,Top,0,1,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,75.93783,-0.951233,-5.217087,1983.783288,277.739611,3:15,5.5328,2.20348,5.93684,-49.93471,-0.95161,19.23832,0.48537,-1.04663,69.55536,-10.107426,-1.769784,0.503726,,,,,,,,,,,,-11.5504,0.19047,-1.79757,50,5.42806,9.36648,-109.89887,-3.32812,-14.01327,20.9292,-31.94296,YAL_BUL,HAR_CRI,GeorgeHWBush48Field,D1,IVY,20260412-GeorgeHWBush48Field-1,a146fec0-3689-11f1-aabe-6b5161d6f091,74.82725,,,6.38247,,,,,,,1a947ee7-d7ff-4a70-93ea-ba1e207caf99,2026-04-12,16:06:56.29,2026-04-12T12:06:56.2929152-04:00,2026-04-12T16:06:56.2929152Z,,v3,643-146290,471310,0992c47f14ab41a78ddd884fe8250d63,"Turner, Owen",804050,Right,YAL_BUL,223b953f-57d5-4834-b82b-b3d325d6d026,54.56506,-110.76483,10.4646,5.53842,-2.00646,-15.97148,-2.19711,9.94629,-7.00664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-12,12:07:15.68,1,5,"Evans, Tate",838312,Right,YAL_BUL,"Rickheim, Jack",831897,Right,HAR_CRI,Undefined,1,Top,0,2,2,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,75.7831,0.059879,-4.320695,1919.617395,274.672492,3:15,5.5796,2.2087,5.75731,-49.2229,-0.07039,20.33871,1.53359,-0.12589,69.56244,-8.958238,-0.684325,0.504596,55.16257,-22.799288,-37.555465,,,,,6.0326,5.48483,-25.360133,0.046868,-11.69386,0.34236,-1.86287,50,5.55421,7.57511,-109.8492,-1.39994,-14.2489,19.96428,-31.75688,YAL_BUL,HAR_CRI,GeorgeHWBush48Field,D1,IVY,20260412-GeorgeHWBush48Field-1,acdf4990-3689-11f1-aabe-6b5161d6f091,74.69818,1.47441,,6.22066,,,,2.67056,1.47441,-0.44582,1a947ee7-d7ff-4a70-93ea-ba1e207caf99,2026-04-12,16:07:15.68,2026-04-12T12:07:15.6805120-04:00,2026-04-12T16:07:15.6805120Z,GroundBall,v3,643-146290,471310,0992c47f14ab41a78ddd884fe8250d63,"Turner, Owen",804050,Right,YAL_BUL,0c0dc5ac-c946-4e58-a1cd-7f0c8dda70d2,54.74485,-110.70819,9.98214,5.58505,-0.03357,-15.87844,-2.20199,8.18818,-7.12445,180,2.66903,59.33077,,,,,,,,1.47522,-31.45892,,,,,,,,-0.44464,-45.61742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
6,2026-04-12,12:07:49.21,2,1,"Evans, Tate",838312,Right,YAL_BUL,"Shulman, Tyler",831891,Left,HAR_CRI,Undefined,1,Top,1,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.85566,-1.211372,-2.868303,1841.29875,241.596686,2:00,5.76535,2.14608,5.87854,-26.29226,11.02969,18.06139,2.44774,0.98513,79.00697,-6.125482,0.370885,0.439697,,,,,,,,,,,,-10.09127,6.37713,-1.92469,50,5.65226,5.56377,-125.96973,-3.51589,-16.1069,27.18212,-21.99534,YAL_BUL,HAR_CRI,GeorgeHWBush48Field,D1,IVY,20260412-GeorgeHWBush48Field-1,c0e37e70-3689-11f1-aabe-6b5161d6f091,85.72369,,,7.84869,,,,,,,1a947ee7-d7ff-4a70-93ea-ba1e207caf99,2026-04-12,16:07:49.21,2026-04-12T12:07:49.2104704-04:00,2026-04-12T16:07:49.2104704Z,,v3,643-146290,471310,0992c47f14ab41a78ddd884fe8250d63,"Turner, Owen",804050,Right,YAL_BUL,8ed25a49-f3f3-4b99-8cb7-8af1b888e714,54.62016,-126.96277,13.59106,5.76602,-2.71234,-10.99767,-2.1387,6.1522,-8.05345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-12,12:08:03.68,2,2,"Evans, Tate",838312,Right,YAL_BUL,"Shulman, Tyler",831891,Left,HAR_CRI,Undefined,1,Top,1,0,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.55028,0.273285,0.39875,1984.682588,89.539944,9:00,5.60111,2.49773,5.22728,-47.99932,1.66339,-17.21997,1.85809,1.4376,69.34387,-8.493692,-2.659322,0.507209,,,,,,,,,,,,8.63292,1.34898,-2.52148,50,5.59114,-0.0707,-110.923,-1.10038,10.57005,23.03645,-30.52235,YAL_BUL,HAR_CRI,GeorgeHWBush48Field,D1,IVY,20260412-GeorgeHWBush48Field-1,c97e8ed0-3689-11f1-aabe-6b5161d6f091,74.3135,,,7.20641,,,,,,,1a947ee7-d7ff-4a70-93ea-ba1e207caf99,2026-04-12,16:08:03.68,2026-04-12T12:08:03.6878848-04:00,2026-04-12T16:08:03.6878848Z,,v3,643-146290,471310,0992c47f14ab41a78ddd884fe8250d63,"Turner, Owen",804050,Right,YAL_BUL,35420af7-6701-4634-aff2-99cfa615c2e9,55.26885,-112.01188,11.51823,5.60905,0.34235,-15.26118,-2.50633,-0.57032,5.28502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-12,12:08:20.61,2,3,"Evans, Tate",838312,Right,YAL_BUL,"Shulman, Tyler",831891,Left,HAR_CRI,Undefined,1,Top,1,1,1,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.53723,-0.83713,-2.615268,2064.831512,242.505749,2:00,5.73829,2.18816,5.99273,-25.46982,10.933,18.74596,2.83916,1.32501,79.92169,-5.604554,0.75435,0.434249,68.42541,0.810109,-71.600204,3223.752195,,,,41.76783,41.76783,-70.887803,0.444106,-10.34213,6.21311,-1.99205,50,5.65827,5.02907,-127.07554,-2.67235,-16.87526,26.55624,-22.0361,YAL_BUL,HAR_CRI,GeorgeHWBush48Field,D1,IVY,20260412-GeorgeHWBush48Field-1,d38f4f40-3689-11f1-aabe-6b5161d6f091,86.79911,2.78667,,7.61554,,,,-0.14462,2.75987,-0.74175,1a947ee7-d7ff-4a70-93ea-ba1e207caf99,2026-04-12,16:08:20.61,2026-04-12T12:08:20.6173184-04:00,2026-04-12T16:08:20.6173184Z,GroundBall,v3,643-146290,471310,0992c47f14ab41a78ddd884fe8250d63,"Turner, Owen",804050,Right,YAL_BUL,dbf9be79-3adc-422e-9fd6-821545bbc7a0,54.50621,-128.01378,13.27812,5.73893,-1.89381,-11.01805,-2.18027,5.62528,-8.43763,,-0.14592,31.7145,-1.32803,,,,,,,2.769,1.142,-16.65442,,,,,,,-0.75722,-94.74682,17.15603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2026-04-12,12:08:42.89,2,4,"Evans, Tate",838312,Right,YAL_BUL,"Shulman, Tyler",831891,Left,HAR_CRI,Undefined,1,Top,1,1,2,Slider,Curveball,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,76.22225,0.104376,-0.580523,1900.89575,81.951833,8:45,5.6698,2.26777,5.1949,-49.36302,-0.26736,-12.12253,1.6544,0.71147,70.58383,-8.826303,-2.732066,0.504305,,,,,,,,,,,,5.93414,0.23957,-2.20428,50,5.64179,1.58779,-110.73716,-1.46733,7.39886,19.01474,-31.87537,YAL_BUL,HAR_CRI,GeorgeHWBush48Field,D1,IVY,20260412-GeorgeHWBush48Field-1,e0d06810-3689-11f1-aabe-6b5161d6f091,74.74141,,,5.63842,,,,,,,1a947ee7-d7ff-4a70-93ea-ba1e207caf99,2026-04-12,16:08:42.89,2026-04-12T12:08:42.8950000-04:00,2026-04-12T16:08:42.8950000Z,,v3,643-146290,471310,0992c47f14ab41a78ddd884fe8250d63,"Turner, Owen",804050,Right,YAL_BUL,12cb658a-8993-42d5-98a5-c6814300b8cb,55.30639,-111.64461,9.50737,5.67552,0.05387,-15.93768,-2.27163,1.23469,3.69943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.43291,2.656995,1.477478,1.179517,1.33151,1.64113,-0.7074,-2.70977,4.34015,1.68786,77.29601,13.05547,-47.48569,-2.58447,74.14053,-5.40626,4.42871,23.77347,-13.92707,1.47774,-49.45666,6.67921,High,High,High,,,High,Low,Medium
10,2026-04-12,12:09:13.04,3,1,"Evans, Tate",838312,Right,YAL_BUL,"Colasante, Gio",702687,Right,HAR_CRI,Undefined,1,Top,2,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.34754,2.092279,0.191315,2011.826869,102.893562,9:30,5.65177,2.41029,5.15316,-45.32939,4.04973,-10.85993,3.84482,1.68539,69.78238,-6.183778,-1.731052,0.505758,,,,,,,,,,,,5.43548,1.92091,-2.41953,50,5.81275,0.06524,-110.72177,2.51409,6.73855,20.01424,-29.79263,YAL_BUL,HAR_CRI,GeorgeHWBush48Field,D1,IVY,20260412-GeorgeHWBush48Field-1,f2d87ed0-3689-11f1-aabe-6b5161d6f091,74.52658,,,6.56516,,,,,,,1a947ee7-d7ff-4a70-93ea-ba1e207caf99,2026-04-12,16:09:13.04,2026-04-12T12:09:13.0465280-04:00,2026-04-12T16:09:13.0465280Z,,v3,643-146290,471310,0992c47f14ab41a78ddd884fe8250d63,"Turner, Owen",804050,Right,YAL_BUL,f6c9fdf5-b5a0-412b-bf92-10398145f27b,55.34481,-111.68372,10.00712,5.6575,3.94604,-14.89632,-2.41489,-0.25864,3.36928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
