PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-12,11:01:51.41,1,1,"Flinn, Aidan",1000402841,Left,ILL_ILL,"Biddick, Dylan",1000180319,Left,NEW_PRI,Undefined,1,Top,0,0,0,TwoSeamFastBall,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.75794,-1.674461,5.525641,2159.046114,115.742188,9:45,6.01806,-3.36663,6.45431,-24.40588,9.25977,-16.80714,2.43831,0.32492,82.41745,-6.275571,2.495127,0.417604,,,,,,,,,,,,10.36871,5.68941,2.98114,50,5.88817,-12.01352,-131.27003,-4.60156,17.97296,29.50014,-22.31208,ILL_ILL,NEW_PRI,IllinoisField,D1,BIG10,20260412-IllinoisField-1,eb215b40-3688-11f1-9d3d-b1d43d0bf90d,90.25877,,,8.34049,,,,,,,3c92de71-4acd-4a7a-83f6-c8f8f1007cea,2026-04-12,16:01:51.41,2026-04-12T11:01:51.4198528-05:00,2026-04-12T16:01:51.4198528Z,,v3,4805,471381,f6804b5b6d8f488798eb4ba6f6970d2c,"Johannes, Will",831334,Right,ILL_ILL,a8101ab6-8168-4fc2-974d-03d6e03f774e,54.04506,-132.17594,14.75007,6.01896,-3.91638,-11.15604,3.35853,-12.56545,8.98648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-12,11:02:04.18,1,2,"Flinn, Aidan",1000402841,Left,ILL_ILL,"Biddick, Dylan",1000180319,Left,NEW_PRI,Undefined,1,Top,0,0,1,TwoSeamFastBall,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.99203,-1.568322,5.327068,2124.040113,116.084752,9:45,5.92968,-3.40397,6.5208,-23.8184,8.63776,-15.50942,2.49923,0.20545,84.05834,-6.051077,2.526034,0.410034,76.94858,28.169062,-124.483481,5088.733583,,,,,50.66219,,,9.59119,5.28662,3.03825,50,5.80973,-11.797,-133.20619,-4.3958,17.22957,28.66622,-22.67724,ILL_ILL,NEW_PRI,IllinoisField,D1,BIG10,20260412-IllinoisField-1,f2c03150-3688-11f1-9d3d-b1d43d0bf90d,91.92512,23.68075,,7.93369,,,,-0.75436,2.26318,-0.39583,3c92de71-4acd-4a7a-83f6-c8f8f1007cea,2026-04-12,16:02:04.18,2026-04-12T11:02:04.1854976-05:00,2026-04-12T16:02:04.1854976Z,,v3,4805,471381,f6804b5b6d8f488798eb4ba6f6970d2c,"Johannes, Will",831334,Right,ILL_ILL,56dff740-b5a9-4286-9088-7676691c3a84,53.97983,-134.05992,14.33311,5.93058,-3.72043,-11.33862,3.39723,-12.31013,8.61479,,-0.75436,-56.32851,-0.51546,2.54973,-0.93102,0.28975,-0.07704,0.02013,-0.00359,2.26318,53.27729,-27.69307,3.96043,-0.85052,0.17409,-0.03388,0.00659,-0.0008,-0.39583,-82.00913,19.95043,-3.89891,0.82901,-0.14062,0.02365,-0.00247,-0.0004,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
3,2026-04-12,11:02:22.72,1,3,"Flinn, Aidan",1000402841,Left,ILL_ILL,"Biddick, Dylan",1000180319,Left,NEW_PRI,Undefined,1,Top,0,0,2,TwoSeamFastBall,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,93.20881,0.203065,5.212731,2225.956747,111.195688,9:45,5.93093,-3.67746,6.36553,-24.66509,7.89532,-17.03269,4.06316,-0.28662,82.93524,-4.478041,2.146026,0.410692,,,,,,,,,,,,10.54119,4.42567,3.30613,50,5.93459,-11.52371,-134.64472,-0.31416,18.86772,36.04168,-24.25249,ILL_ILL,NEW_PRI,IllinoisField,D1,BIG10,20260412-IllinoisField-1,fdc42b60-3688-11f1-9d3d-b1d43d0bf90d,91.77786,,,10.27357,,,,,,,3c92de71-4acd-4a7a-83f6-c8f8f1007cea,2026-04-12,16:02:22.72,2026-04-12T11:02:22.7254784-05:00,2026-04-12T16:02:22.7254784Z,,v3,4805,471381,f6804b5b6d8f488798eb4ba6f6970d2c,"Johannes, Will",831334,Right,ILL_ILL,00c5823a-01ad-4b12-8094-69d368d02d4a,54.12937,-135.74556,18.02084,5.93287,0.4266,-12.12624,3.66691,-12.1,9.43386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-12,11:02:37.79,1,4,"Flinn, Aidan",1000402841,Left,ILL_ILL,"Biddick, Dylan",1000180319,Left,NEW_PRI,Undefined,1,Top,0,1,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,77.85663,0.608292,4.739726,2087.508437,284.946385,3:30,5.6605,-3.83906,5.89574,-47.60904,0.00398,6.90158,2.2598,1.14668,69.88201,-8.182763,5.971035,0.496632,,,,,,,,,,,,-1.77618,0.40232,3.45289,50,5.6833,-9.58714,-112.42252,-0.29571,-2.20899,25.74327,-31.67369,ILL_ILL,NEW_PRI,IllinoisField,D1,BIG10,20260412-IllinoisField-1,06c9bd60-3689-11f1-9d3d-b1d43d0bf90d,75.89618,,,7.97462,,,,,,,3c92de71-4acd-4a7a-83f6-c8f8f1007cea,2026-04-12,16:02:37.79,2026-04-12T11:02:37.7966080-05:00,2026-04-12T16:02:37.7966080Z,,v3,4805,471381,f6804b5b6d8f488798eb4ba6f6970d2c,"Johannes, Will",831334,Right,ILL_ILL,864fa929-0175-46fe-af94-3054710a9ae3,54.59962,-113.47089,12.87163,5.66908,0.99417,-15.83685,3.84149,-9.49718,-1.1045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-12,11:02:56.84,1,5,"Flinn, Aidan",1000402841,Left,ILL_ILL,"Biddick, Dylan",1000180319,Left,NEW_PRI,Undefined,1,Top,0,2,2,TwoSeamFastBall,Sinker,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,91.98779,-1.631898,6.378893,2209.503946,120.626766,10:00,5.87644,-3.72251,6.33889,-21.93411,11.7776,-17.55182,2.53634,0.71229,81.70365,-5.821899,3.230181,0.41789,,,,,,,,,,,,11.28721,7.09378,3.26355,50,5.74675,-14.04592,-132.5182,-4.45405,19.51784,35.59435,-19.90744,ILL_ILL,NEW_PRI,IllinoisField,D1,BIG10,20260412-IllinoisField-1,1218ca30-3689-11f1-9d3d-b1d43d0bf90d,90.19708,,,10.28414,,,,,,,3c92de71-4acd-4a7a-83f6-c8f8f1007cea,2026-04-12,16:02:56.84,2026-04-12T11:02:56.8490000-05:00,2026-04-12T16:02:56.8490000Z,,v3,4805,471381,f6804b5b6d8f488798eb4ba6f6970d2c,"Johannes, Will",831334,Right,ILL_ILL,03f78228-8260-402d-afff-decc0d30c725,54.15599,-133.62983,17.79718,5.87615,-3.83232,-9.95372,3.71173,-14.65548,9.75892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.6402,,,0.892163,,,,-1.47611,6.0937,-1.39539,75.70622,7.12924,-49.0887,-1.42403,92.20878,-6.42495,6.12313,12.83033,-13.10091,-1.48719,-60.82371,8.32547,High,High,High,,,High,High,High
6,2026-04-12,11:03:28.84,2,1,"Flinn, Aidan",1000402841,Left,ILL_ILL,"Rogers, Evan",10309710,Right,NEW_PRI,Undefined,1,Top,1,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,77.6678,0.387948,2.426493,1943.064642,299.486456,4:00,5.81076,-3.76542,6.073,-48.60766,-1.68213,6.01811,2.11944,-1.01723,70.23391,-8.60829,3.510167,0.493033,,,,,,,,,,,,-2.26059,-0.45933,3.57442,50,5.81562,-4.99249,-112.58955,-0.72162,-2.83949,24.52892,-32.75102,ILL_ILL,NEW_PRI,IllinoisField,D1,BIG10,20260412-IllinoisField-1,253e5ee0-3689-11f1-9d3d-b1d43d0bf90d,76.45011,,,7.4339,,,,,,,3c92de71-4acd-4a7a-83f6-c8f8f1007cea,2026-04-12,16:03:28.84,2026-04-12T11:03:28.8495616-05:00,2026-04-12T16:03:28.8495616Z,,v3,4805,471381,f6804b5b6d8f488798eb4ba6f6970d2c,"Johannes, Will",831334,Right,ILL_ILL,bc8ed0c0-5068-4fbd-9ebe-33024f04cd44,54.4252,-113.54954,12.26446,5.81878,0.56015,-16.37551,3.76763,-4.88136,-1.41974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-12,11:03:43.69,2,2,"Flinn, Aidan",1000402841,Left,ILL_ILL,"Rogers, Evan",10309710,Right,NEW_PRI,Undefined,1,Top,1,1,0,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,82.43957,-0.431415,5.781797,1621.240026,92.659406,9:00,5.85209,-3.77452,6.65564,-39.03372,2.52941,-16.8228,2.20243,0.13297,73.19645,-7.794583,2.736732,0.464008,92.51042,6.70396,-32.387018,3613.109826,,,,105.18689,103.14947,-36.087519,0.86741,11.05442,1.98815,3.39042,50,5.8079,-11.43855,-119.00833,-2.01039,15.29829,30.28553,-29.42266,ILL_ILL,NEW_PRI,IllinoisField,D1,BIG10,20260412-IllinoisField-1,2e0d9ea0-3689-11f1-9d3d-b1d43d0bf90d,81.2323,5.11513,,9.24312,,,,1.98895,2.3458,-0.30944,3c92de71-4acd-4a7a-83f6-c8f8f1007cea,2026-04-12,16:03:43.69,2026-04-12T11:03:43.6911104-05:00,2026-04-12T16:03:43.6911104Z,GroundBall,v3,4805,471381,f6804b5b6d8f488798eb4ba6f6970d2c,"Johannes, Will",831334,Right,ILL_ILL,b2a12d1a-d2c9-4f7e-9e3d-841c6d2c9f01,53.84178,-119.98201,15.14276,5.85733,-1.06445,-14.71133,3.76608,-11.93039,7.64914,,1.98895,113.79293,-24.64497,5.2011,-1.1065,0.19788,-0.03483,0.00544,-0.00054,2.3458,15.8394,-23.68763,3.16924,-0.70244,0.16195,-0.03555,0.00736,-0.00094,-0.30944,-72.17903,-0.29774,2.48956,-0.99481,0.31137,-0.08344,0.0186,-0.00244,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
8,2026-04-12,11:04:17.80,3,1,"Flinn, Aidan",1000402841,Left,ILL_ILL,"Tidwell, Eli",1000087968,Right,NEW_PRI,Undefined,1,Top,2,0,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,78.16989,1.087903,4.892354,1922.229755,216.218459,1:15,5.73139,-3.85592,6.17005,-44.57884,2.62854,0.46661,3.02513,0.7128,69.2703,-7.250947,4.976005,0.494512,,,,,,,,,,,,1.6711,1.60272,3.48441,50,5.79272,-9.669,-112.7517,0.81827,2.07088,27.62412,-30.18788,ILL_ILL,NEW_PRI,IllinoisField,D1,BIG10,20260412-IllinoisField-1,426830e0-3689-11f1-9d3d-b1d43d0bf90d,76.22156,,,8.89958,,,,,,,3c92de71-4acd-4a7a-83f6-c8f8f1007cea,2026-04-12,16:04:17.80,2026-04-12T11:04:17.8048000-05:00,2026-04-12T16:04:17.8048000Z,,v3,4805,471381,f6804b5b6d8f488798eb4ba6f6970d2c,"Johannes, Will",831334,Right,ILL_ILL,c7526ece-8c09-43a3-b854-2ce28ebe05a3,54.32205,-113.80568,13.81206,5.73953,1.97007,-15.09394,3.85483,-9.74801,1.03544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-12,11:04:31.05,3,2,"Flinn, Aidan",1000402841,Left,ILL_ILL,"Tidwell, Eli",1000087968,Right,NEW_PRI,Undefined,1,Top,2,0,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,80.05988,-0.966984,4.064763,2167.017925,280.68758,3:15,5.65685,-3.97682,6.20856,-44.19632,0.53165,6.88241,1.07898,0.3547,71.55134,-9.177114,5.303575,0.48135,,,,,,,,,,,,-1.98606,1.17756,3.66801,50,5.56271,-8.47914,-115.7123,-3.29491,-2.5942,28.94286,-30.63594,ILL_ILL,NEW_PRI,IllinoisField,D1,BIG10,20260412-IllinoisField-1,4a50ba20-3689-11f1-9d3d-b1d43d0bf90d,78.30566,,,8.50854,,,,,,,3c92de71-4acd-4a7a-83f6-c8f8f1007cea,2026-04-12,16:04:31.05,2026-04-12T11:04:31.0569472-05:00,2026-04-12T16:04:31.0569472Z,,v3,4805,471381,f6804b5b6d8f488798eb4ba6f6970d2c,"Johannes, Will",831334,Right,ILL_ILL,bf2cf2fc-938a-41d6-ab34-042583474bf3,54.28767,-116.77985,14.47143,5.6634,-2.16492,-15.31797,3.979,-8.38345,-1.2971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-12,11:04:47.25,3,3,"Flinn, Aidan",1000402841,Left,ILL_ILL,"Tidwell, Eli",1000087968,Right,NEW_PRI,Undefined,1,Top,2,0,2,TwoSeamFastBall,Sinker,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,93.83575,-1.282096,4.793373,2241.757291,117.357286,10:00,5.86949,-3.61708,6.45808,-20.39166,11.55548,-19.8921,2.98809,-0.86115,83.67151,-5.191956,1.199802,0.406806,,,,,,,,,,,,11.94127,6.83516,3.28501,50,5.76951,-10.50919,-135.67067,-3.65077,21.71408,36.42726,-19.74498,ILL_ILL,NEW_PRI,IllinoisField,D1,BIG10,20260412-IllinoisField-1,53e71a70-3689-11f1-9d3d-b1d43d0bf90d,92.65454,,,10.16424,,,,,,,3c92de71-4acd-4a7a-83f6-c8f8f1007cea,2026-04-12,16:04:47.25,2026-04-12T11:04:47.2500000-05:00,2026-04-12T16:04:47.2500000Z,,v3,4805,471381,f6804b5b6d8f488798eb4ba6f6970d2c,"Johannes, Will",831334,Right,ILL_ILL,63073d22-7f13-465f-a154-4e3bc347a7c1,54.03838,-136.75066,18.21363,5.86907,-3.06537,-9.87249,3.60613,-11.15297,10.85704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.16876,,,0.969434,,,,-0.42504,5.175,-2.61907,75.57894,4.55272,49.2081,-0.37924,86.22467,-8.19169,5.19394,12.56835,-13.67901,-2.60738,56.21495,-2.87155,High,High,High,,,High,High,High
