PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-12,13:05:16.35,1,1,"Niemeyer, Lucas",10080379,Left,LIN_UNI,"Connolly, Joe",825558,Right,WIU_LEA,Undefined,1,Top,0,0,0,Sinker,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,87.5579,-1.409055,2.988291,1973.269089,128.048996,10:15,5.42851,-2.21184,5.62318,-27.03986,9.84272,-11.07158,1.85826,-0.3434,80.1526,-6.412944,1.012895,0.437101,59.57473,-41.946614,5.087785,,,,,3.31394,3.20626,8.394622,0.028224,6.50922,5.72429,1.96448,50,5.29088,-6.16837,-126.99701,-4.05645,10.624,26.15752,-22.83116,LIN_UNI,WIU_LEA,LouBrockSportsComplex,D1,OVC,20260412-LouBrockSportsComplex-1,26d62d30-369a-11f1-9f88-3bce15e7b006,86.23274,1.65402,,7.4053,,,,1.44526,1.65402,0.32059,d775d4fe-4578-4534-ada3-c8644cd0db6f,2026-04-12,18:05:16.35,2026-04-12T13:05:16.3592192-05:00,2026-04-12T18:05:16.3592192Z,GroundBall,v3,lindenwood,3070,ccb65d1ef3574298a18f5b12914c54fe,"Zareh, William",1000274378,Right,LIN_UNI,f9fcdf98-8d1e-447f-ae3a-6c61f2b0ed68,54.8761,-127.9974,13.07876,5.42932,-3.18327,-11.41558,2.20816,-6.57468,5.312,180,1.44427,64.94975,,,,,,,,1.65492,-58.60243,,,,,,,,0.3205,5.78265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
2,2026-04-12,13:05:45.50,2,1,"Niemeyer, Lucas",10080379,Left,LIN_UNI,"Bushey, Liam",1000263050,Left,WIU_LEA,Undefined,1,Top,1,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,87.37856,-1.765393,4.406744,2039.098079,123.715477,10:00,5.50836,-2.19413,5.51617,-27.42238,8.88048,-12.0239,1.56705,0.93243,82.14839,-6.760023,2.271003,0.433652,,,,,,,,,,,,7.04957,5.09835,1.81827,50,5.3353,-9.29154,-126.87406,-4.89765,11.82376,18.89721,-23.62293,LIN_UNI,WIU_LEA,LouBrockSportsComplex,D1,OVC,20260412-LouBrockSportsComplex-1,383580d0-369a-11f1-9f88-3bce15e7b006,86.91854,,,5.23017,,,,,,,d775d4fe-4578-4534-ada3-c8644cd0db6f,2026-04-12,18:05:45.50,2026-04-12T13:05:45.5097344-05:00,2026-04-12T18:05:45.5097344Z,,v3,lindenwood,3070,ccb65d1ef3574298a18f5b12914c54fe,"Zareh, William",1000274378,Right,LIN_UNI,f8b6db8f-5050-4200-9f76-153d1c6f1412,54.98654,-127.61462,9.44861,5.50909,-3.9719,-11.81146,2.19148,-9.7549,5.91188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-12,13:05:58.39,2,2,"Niemeyer, Lucas",10080379,Left,LIN_UNI,"Bushey, Liam",1000263050,Left,WIU_LEA,Undefined,1,Top,1,1,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.34622,0.395917,3.560302,2266.281421,117.787597,10:00,5.48827,-2.50185,5.39194,-37.70203,4.29607,-6.30922,2.71821,0.31337,76.47573,-6.439183,2.441123,0.46643,,,,,,,,,,,,3.91764,2.3576,2.18839,50,5.49652,-7.1124,-118.25287,-0.48584,5.70471,16.54715,-28.74098,LIN_UNI,WIU_LEA,LouBrockSportsComplex,D1,OVC,20260412-LouBrockSportsComplex-1,3fea28d0-369a-11f1-9f88-3bce15e7b006,80.81055,,,4.87049,,,,,,,d775d4fe-4578-4534-ada3-c8644cd0db6f,2026-04-12,18:05:58.39,2026-04-12T13:05:58.3936512-05:00,2026-04-12T18:05:58.3936512Z,,v3,lindenwood,3070,ccb65d1ef3574298a18f5b12914c54fe,"Zareh, William",1000274378,Right,LIN_UNI,e8c7de13-eba2-44e3-9b59-08f7ee3093e8,55.11008,-118.96578,8.27357,5.49078,0.75241,-14.37049,2.50011,-7.35817,2.85236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-12,13:06:11.80,2,3,"Niemeyer, Lucas",10080379,Left,LIN_UNI,"Bushey, Liam",1000263050,Left,WIU_LEA,Undefined,1,Top,1,1,1,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.01908,-1.900201,4.528721,2199.430599,90.675161,9:00,5.51905,-2.3414,5.51116,-40.87943,1.31457,-4.10095,0.32931,1.56056,75.91346,-9.311602,3.799906,0.467516,,,,,,,,,,,,3.32473,1.44677,1.94875,50,5.32481,-9.25102,-118.78752,-5.34835,4.76747,21.99239,-30.09946,LIN_UNI,WIU_LEA,LouBrockSportsComplex,D1,OVC,20260412-LouBrockSportsComplex-1,47e5ebf0-369a-11f1-9f88-3bce15e7b006,80.62274,,,6.10562,,,,,,,d775d4fe-4578-4534-ada3-c8644cd0db6f,2026-04-12,18:06:11.80,2026-04-12T13:06:11.8054912-05:00,2026-04-12T18:06:11.8054912Z,,v3,lindenwood,3070,ccb65d1ef3574298a18f5b12914c54fe,"Zareh, William",1000274378,Right,LIN_UNI,4ef613dd-a7a1-493d-802e-dd2d953c8f6c,54.98999,-119.70781,10.99619,5.52226,-4.08882,-15.04973,2.34004,-9.45052,2.38373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-12,13:06:26.83,2,4,"Niemeyer, Lucas",10080379,Left,LIN_UNI,"Bushey, Liam",1000263050,Left,WIU_LEA,Undefined,1,Top,1,2,1,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.14867,-1.057636,4.11064,2041.771294,122.485108,10:00,5.44699,-2.2864,5.66349,-28.5125,7.02197,-9.67705,2.08209,0.74675,82.60704,-6.268773,2.386505,0.429039,81.66559,66.47985,-38.132826,5273.909248,,,,,46.98708,,,5.83422,4.04114,1.9449,50,5.33888,-8.81198,-128.05552,-3.3774,9.93567,20.09298,-25.29202,LIN_UNI,WIU_LEA,LouBrockSportsComplex,D1,OVC,20260412-LouBrockSportsComplex-1,50d66f50-369a-11f1-9f88-3bce15e7b006,87.85325,106.09307,,5.54163,,,,2.10897,2.98598,-0.70639,d775d4fe-4578-4534-ada3-c8644cd0db6f,2026-04-12,18:06:26.83,2026-04-12T13:06:26.8317696-05:00,2026-04-12T18:06:26.8317696Z,,v3,lindenwood,3070,ccb65d1ef3574298a18f5b12914c54fe,"Zareh, William",1000274378,Right,LIN_UNI,f7b3b927-71e1-437a-8f81-aeba497cd24a,54.83866,-128.81251,10.04649,5.44818,-2.42454,-12.64601,2.28394,-9.1863,4.96783,170.865001,2.10898,37.59553,-13.33096,3.65177,0.00267,-1.32807,1.30242,-0.58058,0.10098,2.98597,109.82592,-26.19095,3.06515,-0.89939,0.69466,-0.54813,0.23659,-0.04115,-0.70639,-29.51475,5.82794,-1.43061,0.08595,0.31928,-0.32547,0.14562,-0.02529,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
6,2026-04-12,13:06:59.12,2,5,"Niemeyer, Lucas",10080379,Left,LIN_UNI,"Bushey, Liam",1000263050,Left,WIU_LEA,Undefined,1,Top,1,2,2,Cutter,Slider,InPlay,Undefined,Popup,Out,1,0,,81.97311,0.262785,2.933998,2053.050591,77.174164,8:30,5.46776,-2.28325,5.62567,-40.67664,0.38866,-2.56914,2.32357,0.2428,76.98996,-7.129814,2.475667,0.461221,88.7791,51.348647,28.05744,,92.4398,133.69612,59.62284,197.91294,188.21088,37.550891,6.075602,1.9339,0.3839,2.03489,50,5.46328,-6.01453,-119.24847,-0.83389,2.85319,17.63992,-31.60764,LIN_UNI,WIU_LEA,LouBrockSportsComplex,D1,OVC,20260412-LouBrockSportsComplex-1,641b4bd0-369a-11f1-9f88-3bce15e7b006,81.72319,138.16333,,4.98315,,,,2.89101,2.66772,-0.06661,d775d4fe-4578-4534-ada3-c8644cd0db6f,2026-04-12,18:06:59.12,2026-04-12T13:06:59.1282688-05:00,2026-04-12T18:06:59.1282688Z,FlyBall,v3,lindenwood,3070,ccb65d1ef3574298a18f5b12914c54fe,"Zareh, William",1000274378,Right,LIN_UNI,feffea86-e5b7-4956-a347-1d40ab09a937,54.87675,-119.9677,8.81996,5.47101,0.45484,-15.80382,2.28249,-6.13086,1.42659,188.353918,2.89903,71.61775,-25.0393,6.8927,-1.22656,0.11562,-3E-05,-0.00091,5E-05,2.66517,101.71906,-22.0569,0.89926,0.34577,-0.19955,0.05018,-0.00627,0.00031,-0.06312,38.18952,-8.96011,2.15305,-0.30182,0.0082,0.00446,-0.00062,2E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
7,2026-04-12,13:07:33.46,3,1,"Niemeyer, Lucas",10080379,Left,LIN_UNI,"Campana, Wandel",1000094277,Left,WIU_LEA,Undefined,1,Top,2,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,87.51589,0.874528,2.873917,1952.063395,125.928115,10:15,5.45583,-2.25726,5.68659,-28.6747,7.57756,-9.12178,3.88247,-0.33653,81.09066,-4.409063,1.245881,0.43335,,,,,,,,,,,,5.33217,3.94398,2.02127,50,5.5113,-6.0072,-127.17537,0.94575,8.87256,22.17098,-25.61139,LIN_UNI,WIU_LEA,LouBrockSportsComplex,D1,OVC,20260412-LouBrockSportsComplex-1,789043e0-369a-11f1-9f88-3bce15e7b006,86.97919,,,6.42523,,,,,,,d775d4fe-4578-4534-ada3-c8644cd0db6f,2026-04-12,18:07:33.46,2026-04-12T13:07:33.4620160-05:00,2026-04-12T18:07:33.4620160Z,,v3,lindenwood,3070,ccb65d1ef3574298a18f5b12914c54fe,"Zareh, William",1000274378,Right,LIN_UNI,be510a6e-da74-4be0-85c4-1b5e79311308,54.81365,-128.01181,11.08549,5.4574,1.91198,-12.8057,2.25422,-6.34193,4.43628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-12,13:07:46.43,3,2,"Niemeyer, Lucas",10080379,Left,LIN_UNI,"Campana, Wandel",1000094277,Left,WIU_LEA,Undefined,1,Top,2,1,0,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.02029,-0.175292,2.71095,1877.805054,128.121657,10:15,5.33381,-2.41847,5.69771,-29.8038,6.54969,-7.22134,2.68663,-0.49215,81.42247,-5.636216,1.420844,0.433955,79.01811,60.373778,-48.196763,5685.943419,,,,,54.83101,,,4.28063,3.63756,2.19553,50,5.30009,-5.70383,-126.59587,-1.42685,7.11445,19.99423,-26.12836,LIN_UNI,WIU_LEA,LouBrockSportsComplex,D1,OVC,20260412-LouBrockSportsComplex-1,8047d210-369a-11f1-9f88-3bce15e7b006,86.85799,88.43048,,5.59782,,,,1.05777,2.94014,0.49485,d775d4fe-4578-4534-ada3-c8644cd0db6f,2026-04-12,18:07:46.43,2026-04-12T13:07:46.4308736-05:00,2026-04-12T18:07:46.4308736Z,,v3,lindenwood,3070,ccb65d1ef3574298a18f5b12914c54fe,"Zareh, William",1000274378,Right,LIN_UNI,6cad44a6-ec8d-4999-af45-59aa18fe7a7c,54.80374,-127.3523,9.99711,5.33537,-0.43835,-13.06418,2.41642,-5.97298,3.55722,154.633829,1.05777,38.18841,-17.43892,5.82586,-1.54344,0.37452,-0.08632,0.01602,-0.00172,2.94014,100.7422,-27.68013,3.02318,-0.39965,0.01775,0.00823,-0.00317,0.00047,0.49485,-42.70657,3.18647,0.08169,-0.20791,0.08454,-0.02508,0.00548,-0.00062,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
9,2026-04-12,13:08:06.03,3,3,"Niemeyer, Lucas",10080379,Left,LIN_UNI,"Campana, Wandel",1000094277,Left,WIU_LEA,Undefined,1,Top,2,1,1,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.03933,-0.022063,3.286601,1922.538398,103.772036,9:30,5.36115,-2.28587,5.7433,-33.29021,3.24362,-9.31898,2.56638,0.00093,80.97298,-6.12084,1.621254,0.435029,91.79643,31.306107,-23.035512,4613.88751,95.48414,59.20252,-54.61452,326.3038,271.1293,-43.088226,4.742488,5.55607,1.91709,2.0184,50,5.33847,-6.89068,-126.50155,-1.2147,9.15761,21.65878,-29.01426,LIN_UNI,WIU_LEA,LouBrockSportsComplex,D1,OVC,20260412-LouBrockSportsComplex-1,8bf4dd60-369a-11f1-9f88-3bce15e7b006,86.64332,74.62825,,6.06634,,,,0.92406,2.6643,-0.06217,d775d4fe-4578-4534-ada3-c8644cd0db6f,2026-04-12,18:08:06.03,2026-04-12T13:08:06.0331008-05:00,2026-04-12T18:08:06.0331008Z,FlyBall,v3,lindenwood,3070,ccb65d1ef3574298a18f5b12914c54fe,"Zareh, William",1000274378,Right,LIN_UNI,847f23cd-fd9b-43dc-a041-36d2123519d4,54.75823,-127.31362,10.82939,5.36362,-0.12685,-14.50713,2.28319,-7.23403,4.57881,132.110801,0.92396,105.86713,-25.81106,6.40772,-1.55813,0.37846,-0.08229,0.0115,-0.00067,2.66507,69.93721,-18.78015,0.64679,0.3078,-0.18019,0.04977,-0.00657,0.00033,-0.06291,-44.99831,-4.8364,2.90587,-0.9985,0.25084,-0.0434,0.00424,-0.00016,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
10,2026-04-12,13:08:45.66,3,4,"Niemeyer, Lucas",10080379,Left,LIN_UNI,"Campana, Wandel",1000094277,Left,WIU_LEA,Undefined,1,Top,2,1,2,Cutter,Slider,InPlay,Undefined,FlyBall,Out,1,0,,82.59321,-0.339515,2.923819,2015.558127,197.692307,12:30,5.3457,-2.33549,5.60155,-36.05041,4.55292,1.1337,2.02413,0.49085,77.37879,-6.905596,3.125901,0.458619,82.77865,28.465379,-0.227037,2928.101322,109.66144,52.69836,-8.6219,274.90555,269.34352,-11.651435,4.486429,0.05106,2.65205,2.08422,50,5.29266,-6.17738,-120.09963,-1.93264,0.07625,18.52868,-28.21654,LIN_UNI,WIU_LEA,LouBrockSportsComplex,D1,OVC,20260412-LouBrockSportsComplex-1,a39747a0-369a-11f1-9f88-3bce15e7b006,82.18679,62.44865,,5.21443,,,,1.48133,2.16261,-0.46592,d775d4fe-4578-4534-ada3-c8644cd0db6f,2026-04-12,18:08:45.66,2026-04-12T13:08:45.6654848-05:00,2026-04-12T18:08:45.6654848Z,LineDrive,v3,lindenwood,3070,ccb65d1ef3574298a18f5b12914c54fe,"Zareh, William",1000274378,Right,LIN_UNI,ef31dbcc-402d-4eb4-b772-e98950366632,54.90017,-120.85326,9.26434,5.34793,-0.78499,-14.10827,2.33554,-6.18048,0.03813,153.358723,1.48122,106.73367,-21.7355,4.90091,-1.06852,0.24113,-0.04781,0.00612,-0.00034,2.1633,57.84911,-14.54039,0.08466,0.30717,-0.1676,0.04685,-0.00639,0.00034,-0.46555,-0.43152,-6.51239,1.83056,-0.43686,0.09415,-0.0166,0.00192,-0.0001,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
