PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-12,13:02:35.31,1,1,"Foster, Charlie",825766,Left,MSU_BDG,"Wright, Garrett",835226,Right,TEN_VOL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,94.28534,-4.302493,3.528051,2285.752171,158.230521,11:15,6.64639,-1.89835,5.80529,-14.17772,17.89426,-6.68957,1.44847,0.82942,85.46646,-7.007501,2.332623,0.4076,,,,,,,,,,,,4.47229,10.76296,1.61243,50,6.28367,-8.09022,-136.19618,-10.68162,8.32306,32.48308,-12.14387,MSU_BDG,TEN_VOL,MSST,D1,SEC,20260412-MSST-1,c9776fa0-3699-11f1-9696-9bf06524583f,92.47405,,,8.81888,,,,,,,a1e9490e-58a0-4190-98e4-0eaa7f194682,2026-04-12,18:02:35.31,2026-04-12T13:02:35.3126912-05:00,2026-04-12T18:02:35.3126912Z,,v3,5080,471459,27404,"James, Chone",827316,Right,MSU_BDG,139baaf6-fa1b-47e3-b8cc-37e886de773c,54.69121,-137.31048,16.24154,6.64295,-10.26504,-6.07194,1.89486,-8.37573,4.16153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-12,13:02:51.41,1,2,"Foster, Charlie",825766,Left,MSU_BDG,"Wright, Garrett",835226,Right,TEN_VOL,Undefined,1,Top,0,0,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,89.4428,-1.701781,2.63583,2565.763076,213.917363,1:15,6.60623,-1.95826,5.66243,-27.2108,7.44512,4.41071,2.74962,0.86892,83.53573,-6.677555,3.423138,0.423702,,,,,,,,,,,,-1.65791,4.45697,1.7324,50,6.44475,-6.17097,-129.97938,-4.84247,-2.89092,22.32407,-24.40237,MSU_BDG,TEN_VOL,MSST,D1,SEC,20260412-MSST-1,d313ea70-3699-11f1-9696-9bf06524583f,88.95984,,,5.90706,,,,,,,a1e9490e-58a0-4190-98e4-0eaa7f194682,2026-04-12,18:02:51.41,2026-04-12T13:02:51.4196992-05:00,2026-04-12T18:02:51.4196992Z,,v3,5080,471459,27404,"James, Chone",827316,Right,MSU_BDG,5532811e-9fb4-4b52-a8aa-40f644cfe9dc,54.83836,-130.80774,11.16203,6.60764,-3.937,-12.20119,1.95939,-6.0637,-1.44546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-12,13:03:08.50,1,3,"Foster, Charlie",825766,Left,MSU_BDG,"Wright, Garrett",835226,Right,TEN_VOL,Undefined,1,Top,0,0,2,Fastball,Four-Seam,FoulBallFieldable,Undefined,Undefined,Undefined,0,0,,95.454,-2.27861,2.116353,2386.175723,172.427604,11:45,6.70896,-1.86355,5.83675,-13.56666,17.17654,-2.15417,3.458,-0.07513,87.29774,-4.86518,1.730531,0.399067,77.95533,15.88511,172.679836,1312.704256,,,,127.93331,48.45838,165.167949,1.201829,1.68823,9.71339,1.69226,50,6.51512,-5.02142,-138.50396,-5.9286,3.28201,30.70233,-13.29051,MSU_BDG,TEN_VOL,MSST,D1,SEC,20260412-MSST-1,dd3c9fb0-3699-11f1-9696-9bf06524583f,94.45138,11.72566,,8.15626,,,,0.61456,3.25413,0.28952,a1e9490e-58a0-4190-98e4-0eaa7f194682,2026-04-12,18:03:08.50,2026-04-12T13:03:08.5028352-05:00,2026-04-12T18:03:08.5028352Z,LineDrive,v3,5080,471459,27404,"James, Chone",827316,Right,MSU_BDG,c134fcbb-e379-4ba3-9679-207b37afe82c,54.66224,-139.53361,15.35116,6.70647,-5.48288,-6.64526,1.86251,-5.13149,1.64101,45.410827,0.80169,-111.15641,6.18843,,,,,,,3.32475,30.51609,-27.74115,,,,,,,0.16414,15.40262,9.82769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
4,2026-04-12,13:03:27.34,1,4,"Foster, Charlie",825766,Left,MSU_BDG,"Wright, Garrett",835226,Right,TEN_VOL,Undefined,1,Top,0,0,2,Slider,Cutter,HitByPitch,Undefined,Undefined,Undefined,0,0,,90.41082,-2.04653,3.783532,2530.791299,246.522633,2:15,6.63294,-1.8869,5.76687,-30.95557,3.54563,5.70461,2.1437,2.11482,83.13029,-7.713621,4.801932,0.422755,,,,,,,,,,,,-1.87854,2.66114,1.56979,50,6.4442,-8.90205,-131.02077,-5.80137,-3.26024,28.09594,-27.55565,MSU_BDG,TEN_VOL,MSST,D1,SEC,20260412-MSST-1,e878c0c0-3699-11f1-9696-9bf06524583f,89.15909,,,7.28053,,,,,,,a1e9490e-58a0-4190-98e4-0eaa7f194682,2026-04-12,18:03:27.34,2026-04-12T13:03:27.3464832-05:00,2026-04-12T18:03:27.3464832Z,,v3,5080,471459,27404,"James, Chone",827316,Right,MSU_BDG,ee70c008-9a9f-40bd-8d53-4767995ffc8f,54.73405,-132.03203,14.04797,6.63516,-4.80956,-13.77782,1.88809,-8.7847,-1.63012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-12,13:04:01.70,2,1,"Foster, Charlie",825766,Left,MSU_BDG,"Chapman, Reese",702256,Left,TEN_VOL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallFieldable,Undefined,Undefined,Undefined,0,0,,94.7611,-3.005726,2.835301,2308.846222,160.211023,11:15,6.64297,-2.00447,5.72625,-14.45304,16.99891,-5.74764,2.63309,0.15945,86.53592,-5.747454,1.808654,0.403641,77.8568,48.879886,-68.820682,5695.550779,,,,,70.63006,,,3.71492,9.79697,1.77129,50,6.38286,-6.53537,-137.28459,-7.66872,7.08518,30.57577,-13.48904,MSU_BDG,TEN_VOL,MSST,D1,SEC,20260412-MSST-1,fcf50bd0-3699-11f1-9696-9bf06524583f,93.38111,72.00212,,8.22519,,,,-0.41827,2.44649,-0.21682,a1e9490e-58a0-4190-98e4-0eaa7f194682,2026-04-12,18:04:01.70,2026-04-12T13:04:01.7008128-05:00,2026-04-12T18:04:01.7008128Z,,v3,5080,471459,27404,"James, Chone",827316,Right,MSU_BDG,c9daac6f-3d7f-4579-bf94-770ae46f678c,54.77182,-138.34328,15.28788,6.6403,-7.20166,-6.74452,2.00182,-6.7807,3.54259,,-0.41826,27.12848,-13.90061,3.7362,0.50707,-1.82152,1.48763,-0.61631,0.10605,2.44649,86.02381,-23.68135,2.38199,-0.89043,0.81463,-0.60314,0.25007,-0.04369,-0.21683,-70.02316,9.7696,-1.86323,0.22924,0.04051,-0.04486,0.016,-0.0021,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
6,2026-04-12,13:04:24.96,2,2,"Foster, Charlie",825766,Left,MSU_BDG,"Chapman, Reese",702256,Left,TEN_VOL,Undefined,1,Top,0,0,1,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Double,0,0,,95.1536,-3.153983,2.060453,2278.621711,160.701656,11:15,6.6182,-1.98659,5.61264,-16.4443,14.8417,-4.84351,2.29917,-0.46624,87.0195,-6.238143,1.196056,0.402575,92.48409,20.588959,-7.078494,2975.5156,108.14824,34.49807,-20.09807,313.35914,313.35914,-16.570131,3.465934,3.03347,8.71044,1.81372,50,6.33792,-4.73714,-137.90455,-8.16397,5.8403,30.7338,-15.40395,MSU_BDG,TEN_VOL,MSST,D1,SEC,20260412-MSST-1,0ad39d20-369a-11f1-9696-9bf06524583f,93.62843,40.41867,,8.13411,,,,0.43319,2.2586,0.44715,a1e9490e-58a0-4190-98e4-0eaa7f194682,2026-04-12,18:04:24.96,2026-04-12T13:04:24.9696256-05:00,2026-04-12T18:04:24.9696256Z,LineDrive,v3,5080,471459,27404,"James, Chone",827316,Right,MSU_BDG,cc373838-7a43-4c89-b150-e8ee3b3a39ab,54.88593,-138.98917,15.3669,6.61644,-7.62035,-7.70198,1.98454,-4.94324,2.92015,130.200285,0.43306,126.01536,-20.63917,4.66753,-0.97815,0.19624,-0.03717,0.00504,-0.00029,2.25867,47.69856,-15.48424,0.16907,0.1951,-0.06566,0.0107,0.00016,-0.00016,0.44715,-15.6476,-7.36153,2.69439,-0.76861,0.17833,-0.03272,0.00389,-0.0002,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2026-04-12,13:05:08.54,3,1,"Foster, Charlie",825766,Left,MSU_BDG,"Ford, Henry",814822,Right,TEN_VOL,Undefined,1,Top,0,0,0,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Single,0,1,,87.35796,-3.030936,1.870049,1373.709048,113.143419,9:45,6.68546,-1.78033,5.95348,-32.15781,4.51937,-7.82205,1.1906,-0.69726,80.26877,-8.946125,0.461882,0.435882,61.57895,-50.181103,-5.05886,,,,,3.10731,3.10731,11.280613,0.018402,4.59469,3.50945,1.6362,50,6.42606,-3.82716,-126.72229,-7.79437,7.44849,26.63694,-26.48482,MSU_BDG,TEN_VOL,MSST,D1,SEC,20260412-MSST-1,24cdb300-369a-11f1-9696-9bf06524583f,86.47386,1.27965,,7.08919,,,,1.98456,1.27965,0.70191,a1e9490e-58a0-4190-98e4-0eaa7f194682,2026-04-12,18:05:08.54,2026-04-12T13:05:08.5436416-05:00,2026-04-12T18:05:08.5436416Z,GroundBall,v3,5080,471459,27404,"James, Chone",827316,Right,MSU_BDG,83ecc0f7-d7af-4276-9a27-64c46c4ebaa3,54.54694,-127.67448,13.31847,6.68776,-6.84762,-13.24241,1.77777,-4.09342,3.72425,,1.98414,57.75073,,,,,,,,1.28015,-69.53899,,,,,,,,0.70195,-5.11232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
8,2026-04-12,13:05:52.59,4,1,"Foster, Charlie",825766,Left,MSU_BDG,"Grimmer, Blake",804084,Left,TEN_VOL,Undefined,1,Top,0,0,0,Slider,Cutter,InPlay,Undefined,GroundBall,Out,2,1,,90.2236,-2.524392,2.224688,2505.363753,207.888657,1:00,6.61379,-1.84935,5.73636,-26.38434,7.63205,3.56945,2.06109,0.52077,84.23319,-7.351433,2.863333,0.419774,74.58202,4.805956,17.33108,1435.901035,,,,65.49769,62.83089,17.624289,0.629242,-1.32925,4.74205,1.66174,50,6.38686,-5.24113,-131.09826,-6.72181,-2.35386,23.16214,-23.77664,MSU_BDG,TEN_VOL,MSST,D1,SEC,20260412-MSST-1,3f104390-369a-11f1-9696-9bf06524583f,89.79217,3.16267,,5.99041,,,,2.16359,2.16039,-0.47167,a1e9490e-58a0-4190-98e4-0eaa7f194682,2026-04-12,18:05:52.59,2026-04-12T13:05:52.5930496-05:00,2026-04-12T18:05:52.5930496Z,GroundBall,v3,5080,471459,27404,"James, Chone",827316,Right,MSU_BDG,b741e292-f706-46d6-813f-cd9bae948aa7,54.76537,-131.9375,11.58107,6.61481,-5.86029,-11.88832,1.8501,-5.15584,-1.17693,313.243406,2.18146,103.6693,-12.64744,,,,,,,2.18429,8.65228,-19.3236,,,,,,,-0.47639,32.57288,-0.46599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2026-04-12,13:06:31.40,5,1,"Foster, Charlie",825766,Left,MSU_BDG,"Grindlinger, Trent",815821,Right,TEN_VOL,Undefined,1,Top,2,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,94.6433,-2.214382,1.941529,2287.749009,161.450116,11:30,6.70086,-1.91291,5.78406,-11.31796,19.99257,-6.37611,3.6953,-0.63722,86.51602,-4.40311,0.80042,0.402732,,,,,,,,,,,,3.74996,11.05611,1.75653,50,6.5112,-4.35843,-137.31387,-5.60905,7.17522,29.78728,-11.01912,MSU_BDG,TEN_VOL,MSST,D1,SEC,20260412-MSST-1,56316fe0-369a-11f1-9696-9bf06524583f,93.59176,,,8.12728,,,,,,,a1e9490e-58a0-4190-98e4-0eaa7f194682,2026-04-12,18:06:31.40,2026-04-12T13:06:31.4036224-05:00,2026-04-12T18:06:31.4036224Z,,v3,5080,471459,27404,"James, Chone",827316,Right,MSU_BDG,184d7565-ebda-47b8-8805-e762ddd8a6e1,54.71301,-138.33248,14.89364,6.69657,-5.23223,-5.50956,1.90976,-4.60379,3.58761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-12,13:06:51.26,5,2,"Foster, Charlie",825766,Left,MSU_BDG,"Grindlinger, Trent",815821,Right,TEN_VOL,Undefined,1,Top,2,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,95.45097,-3.319386,3.360143,2358.803022,163.91114,11:30,6.74906,-1.81278,5.6849,-11.51898,19.6345,-5.36307,2.68636,0.87587,86.94147,-5.539519,2.404066,0.401721,,,,,,,,,,,,3.66193,11.19945,1.53301,50,6.46177,-7.85652,-138.12401,-8.34103,7.05913,31.3828,-10.58469,MSU_BDG,TEN_VOL,MSST,D1,SEC,20260412-MSST-1,6207fc30-369a-11f1-9696-9bf06524583f,93.82739,,,8.5095,,,,,,,a1e9490e-58a0-4190-98e4-0eaa7f194682,2026-04-12,18:06:51.26,2026-04-12T13:06:51.2632320-05:00,2026-04-12T18:06:51.2632320Z,,v3,5080,471459,27404,"James, Chone",827316,Right,MSU_BDG,2d12d39d-edd1-4093-887c-a1eb5bd89def,54.81204,-139.21305,15.6914,6.74485,-7.97372,-5.29235,1.80989,-8.10148,3.52957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
