PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-12,14:04:04.60,1,1,"Petrovic, Alex",830186,Right,AUB_TIG,"Bell, Tyler",1000364941,Left,KEN_WIL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.6764,-2.05397,-2.359553,2431.331923,219.298298,1:15,6.2124,1.69294,5.92036,-15.09883,17.48804,13.44351,3.04562,0.6223,84.52133,-4.936863,0.052666,0.410859,77.3907,23.239704,-156.640992,1776.639355,,,,,40.49053,,,-7.59327,9.87993,-1.51172,50,6.03923,4.96055,-134.47676,-5.27466,-13.87558,29.73265,-14.11991,AUB_TIG,KEN_WIL,PlainsmanPark,D1,SEC,20260412-PlainsmanPark-1,5eeb3230-36a2-11f1-994f-55da2682816f,91.74063,17.22146,,8.15507,,,,1.28138,3.07167,-0.50848,60de1f3f-aa5d-4ec7-8c92-28cfc00f3e34,2026-04-12,19:04:04.60,2026-04-12T14:04:04.6009344-05:00,2026-04-12T19:04:04.6009344Z,,v3,471236,471331,67aef16d6d97411eb3be3caf73d0281d,"Fralick, Chase",812834,Right,AUB_TIG,8f658e7c-1c18-444d-a478-b2f5fcc35511,54.58065,-135.48575,14.86633,6.2101,-4.79549,-7.05996,-1.68805,5.43143,-6.93779,56.048413,1.28388,-95.83094,5.52472,,,,,,,3.08144,44.47212,-25.04218,,,,,,,-0.51832,-41.03488,12.95931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
2,2026-04-12,14:04:22.10,1,2,"Petrovic, Alex",830186,Right,AUB_TIG,"Bell, Tyler",1000364941,Left,KEN_WIL,Undefined,1,Top,0,0,1,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.59531,-1.267876,-2.31606,2461.865095,178.60675,12:00,6.10942,1.7609,5.94958,-31.32364,5.64512,-0.11098,2.32201,-0.39768,79.9814,-7.045369,-2.335994,0.437612,,,,,,,,,,,,-0.54409,3.57087,-1.57646,50,5.99082,5.09212,-125.79203,-3.83581,-0.87748,23.96754,-26.41529,AUB_TIG,KEN_WIL,PlainsmanPark,D1,SEC,20260412-PlainsmanPark-1,69640340-36a2-11f1-994f-55da2682816f,86.13218,,,6.61392,,,,,,,60de1f3f-aa5d-4ec7-8c92-28cfc00f3e34,2026-04-12,19:04:22.10,2026-04-12T14:04:22.1084160-05:00,2026-04-12T19:04:22.1084160Z,,v3,471236,471331,67aef16d6d97411eb3be3caf73d0281d,"Fralick, Chase",812834,Right,AUB_TIG,c87257fa-3ae1-475b-806e-411d986502fe,54.55128,-126.65623,11.98377,6.11196,-2.88335,-13.20764,-1.76063,5.12376,-0.43874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-12,14:04:38.24,1,3,"Petrovic, Alex",830186,Right,AUB_TIG,"Bell, Tyler",1000364941,Left,KEN_WIL,Undefined,1,Top,0,0,2,Fastball,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,94.38108,-3.247477,-3.580471,2519.785345,215.249387,1:15,6.22674,1.3681,6.14596,-11.60548,20.01462,13.32579,2.24962,-0.83436,85.09514,-5.528478,-1.183731,0.404718,,,,,,,,,,,,-7.97205,11.67166,-1.10163,50,5.97259,7.95138,-136.53977,-8.031,-14.85227,33.74496,-10.42927,AUB_TIG,KEN_WIL,PlainsmanPark,D1,SEC,20260412-PlainsmanPark-1,72f92b10-36a2-11f1-994f-55da2682816f,93.13252,,,9.28593,,,,,,,60de1f3f-aa5d-4ec7-8c92-28cfc00f3e34,2026-04-12,19:04:38.24,2026-04-12T14:04:38.2471168-05:00,2026-04-12T19:04:38.2471168Z,,v3,471236,471331,67aef16d6d97411eb3be3caf73d0281d,"Fralick, Chase",812834,Right,AUB_TIG,e11123f2-6ad4-4aa2-bd2f-10cece4c3adc,54.35211,-137.61117,16.87248,6.22232,-7.69988,-5.21464,-1.36157,8.42294,-7.42614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-12,14:05:14.33,2,1,"Petrovic, Alex",830186,Right,AUB_TIG,"Lawrence, Luke",833072,Left,KEN_WIL,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,94.01475,-3.267709,-2.985771,2475.585744,219.634303,1:15,6.18298,1.75236,6.11201,-13.503,17.74808,13.91583,2.02879,0.14866,86.49951,-5.845888,-0.481494,0.40235,,,,,,,,,,,,-7.94174,10.29367,-1.53015,50,5.92436,6.51363,-136.3652,-8.17642,-15.06617,27.88289,-12.646,AUB_TIG,KEN_WIL,PlainsmanPark,D1,SEC,20260412-PlainsmanPark-1,8880a490-36a2-11f1-994f-55da2682816f,93.68073,,,7.51524,,,,,,,60de1f3f-aa5d-4ec7-8c92-28cfc00f3e34,2026-04-12,19:05:14.33,2026-04-12T14:05:14.3316480-05:00,2026-04-12T19:05:14.3316480Z,,v3,471236,471331,67aef16d6d97411eb3be3caf73d0281d,"Fralick, Chase",812834,Right,AUB_TIG,e332b6ca-05b2-47b6-a57e-3c5d0506d187,54.38935,-137.25976,13.94145,6.18018,-7.7707,-6.323,-1.74688,6.99699,-7.53309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-12,14:05:33.83,2,2,"Petrovic, Alex",830186,Right,AUB_TIG,"Lawrence, Luke",833072,Left,KEN_WIL,Undefined,1,Top,1,0,1,Cutter,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,87.93666,-1.543262,-2.989558,2513.653173,164.555831,11:30,6.04887,1.69344,6.14977,-31.19726,4.65173,-0.97669,2.02082,-1.15284,80.77065,-7.319616,-3.165503,0.430933,,,,,,,,,,,,-0.33217,3.15835,-1.46531,50,5.91514,6.70402,-127.63479,-4.46471,-0.54733,26.53198,-26.96964,AUB_TIG,KEN_WIL,PlainsmanPark,D1,SEC,20260412-PlainsmanPark-1,941c23b0-36a2-11f1-994f-55da2682816f,87.46704,,,7.166,,,,,,,60de1f3f-aa5d-4ec7-8c92-28cfc00f3e34,2026-04-12,19:05:33.83,2026-04-12T14:05:33.8311168-05:00,2026-04-12T19:05:33.8311168Z,,v3,471236,471331,67aef16d6d97411eb3be3caf73d0281d,"Fralick, Chase",812834,Right,AUB_TIG,3d9daa1c-c888-47fb-acc0-5f59e95956bf,54.35165,-128.53621,13.26599,6.05126,-3.54843,-13.48482,-1.69339,6.72262,-0.27366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-12,14:06:01.66,2,3,"Petrovic, Alex",830186,Right,AUB_TIG,"Lawrence, Luke",833072,Left,KEN_WIL,Undefined,1,Top,1,0,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,93.67133,-0.543089,-2.455341,2468.119022,219.966823,1:15,6.0219,1.86336,5.93272,-18.49395,12.8565,10.06312,3.97638,0.4225,86.71873,-4.004717,-0.649765,0.402989,,,,,,,,,,,,-5.74508,6.99756,-1.67287,50,5.96787,5.40335,-136.19718,-1.90897,-10.95586,25.63814,-18.82972,AUB_TIG,KEN_WIL,PlainsmanPark,D1,SEC,20260412-PlainsmanPark-1,a4b60470-36a2-11f1-994f-55da2682816f,93.53213,,,6.9526,,,,,,,60de1f3f-aa5d-4ec7-8c92-28cfc00f3e34,2026-04-12,19:06:01.66,2026-04-12T14:06:01.6680000-05:00,2026-04-12T19:06:01.6680000Z,,v3,471236,471331,67aef16d6d97411eb3be3caf73d0281d,"Fralick, Chase",812834,Right,AUB_TIG,c040fdcd-474c-4a23-a466-0b3918fc5799,54.56926,-137.05461,12.81907,6.02119,-1.27924,-9.41486,-1.85971,5.76976,-5.47793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.81262,2.820657,1.838797,0.98186,-0.82142,3.81645,-0.3986,-2.50238,6.81439,1.61781,64.44856,9.34106,60.35486,-2.42346,75.73273,-7.80242,6.80237,12.37544,-9.96602,1.67906,65.81336,-6.19358,High,High,High,,,High,Medium,Medium
7,2026-04-12,14:06:36.74,3,1,"Petrovic, Alex",830186,Right,AUB_TIG,"Tharnish, Jayce",814421,Right,KEN_WIL,Undefined,1,Top,2,0,0,Sweeper,Curveball,InPlay,Undefined,GroundBall,Out,1,0,,80.44369,-0.061449,-0.982321,2635.498886,65.058546,8:15,5.85488,1.88543,5.87893,-50.22247,-7.4367,-18.50792,1.6126,-0.5693,74.95026,-9.206398,-4.310072,0.470783,69.74386,-6.826148,-31.607335,,,,,17.85175,7.23502,-26.28142,0.156969,9.39382,-3.61067,-1.79469,50,5.81995,2.67116,-117.09002,-1.7524,13.12504,20.78021,-37.21885,AUB_TIG,KEN_WIL,PlainsmanPark,D1,SEC,20260412-PlainsmanPark-1,b9a95440-36a2-11f1-994f-55da2682816f,80.06322,1.91294,,5.49343,,,,2.39656,1.91294,0.47084,60de1f3f-aa5d-4ec7-8c92-28cfc00f3e34,2026-04-12,19:06:36.74,2026-04-12T14:06:36.7449600-05:00,2026-04-12T19:06:36.7449600Z,GroundBall,v3,471236,471331,67aef16d6d97411eb3be3caf73d0281d,"Fralick, Chase",812834,Right,AUB_TIG,befb8acc-3d66-4702-8987-e47297a01876,54.62743,-117.9084,10.39011,5.8601,-0.28662,-18.60942,-1.8897,2.15427,6.56252,180,2.39138,86.70432,,,,,,,,1.91367,-12.18679,,,,,,,,0.47402,-53.35616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
8,2026-04-12,14:09:42.13,1,1,"Cleaver, Ben",814183,Left,KEN_WIL,"Carter, Bristol",806043,Right,AUB_TIG,Undefined,1,Bottom,0,0,0,Fastball,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.69277,-0.614132,3.280149,1828.543341,169.899475,11:45,5.97665,-2.57806,7.39903,-24.45753,12.2417,-1.98299,3.38352,0.21929,77.80099,-5.307427,2.914838,0.436013,,,,,,,,,,,,1.95819,7.15926,2.40015,50,5.93662,-6.99352,-123.1476,-1.86733,3.01405,23.9254,-21.15449,AUB_TIG,KEN_WIL,PlainsmanPark,D1,SEC,20260412-PlainsmanPark-1,283076f0-36a3-11f1-994f-55da2682816f,86.44788,,,6.89178,,,,,,,60de1f3f-aa5d-4ec7-8c92-28cfc00f3e34,2026-04-12,19:09:42.13,2026-04-12T14:09:42.1395456-05:00,2026-04-12T19:09:42.1395456Z,,v3,471236,471331,67aef16d6d97411eb3be3caf73d0281d,"Schwartz, Ryan",815538,Right,KEN_WIL,5eef6d4e-9f7c-42d4-b777-b7c7d331ee2e,53.10015,-123.74843,11.9627,5.97685,-1.33608,-10.57725,2.57673,-7.06921,1.50702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-12,14:09:56.36,1,2,"Cleaver, Ben",814183,Left,KEN_WIL,"Carter, Bristol",806043,Right,AUB_TIG,Undefined,1,Bottom,0,0,1,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.5248,-0.257615,3.181907,1937.413175,154.725882,11:15,6.08875,-2.55638,6.99425,-23.83789,13.56942,-5.87118,3.86765,-0.14945,77.56389,-4.811563,2.108387,0.4402,,,,,,,,,,,,3.96736,7.66587,2.36248,50,6.06461,-6.62556,-122.84982,-1.13132,6.08237,23.61158,-20.42154,AUB_TIG,KEN_WIL,PlainsmanPark,D1,SEC,20260412-PlainsmanPark-1,30a365e0-36a3-11f1-994f-55da2682816f,85.62579,,,6.96091,,,,,,,60de1f3f-aa5d-4ec7-8c92-28cfc00f3e34,2026-04-12,19:09:56.36,2026-04-12T14:09:56.3677184-05:00,2026-04-12T19:09:56.3677184Z,,v3,471236,471331,67aef16d6d97411eb3be3caf73d0281d,"Schwartz, Ryan",815538,Right,KEN_WIL,bc7367d9-f5a0-4d82-94c5-94b354c1aa20,53.50489,-123.52162,11.80579,6.08853,-0.55028,-10.21077,2.55345,-6.79862,3.04119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-12,14:10:10.74,1,3,"Cleaver, Ben",814183,Left,KEN_WIL,"Carter, Bristol",806043,Right,AUB_TIG,Undefined,1,Bottom,0,1,1,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,79.87397,-0.74912,3.777236,1844.033406,121.568214,10:00,5.98498,-2.73818,6.96256,-32.35321,9.39878,-13.3317,2.60579,-0.40756,73.88814,-6.849333,1.340329,0.465061,,,,,,,,,,,,8.03622,5.60099,2.50769,50,5.9275,-7.23339,-116.09251,-2.32725,11.06649,19.89234,-24.46102,AUB_TIG,KEN_WIL,PlainsmanPark,D1,SEC,20260412-PlainsmanPark-1,3934b240-36a3-11f1-994f-55da2682816f,81.04836,,,5.98583,,,,,,,60de1f3f-aa5d-4ec7-8c92-28cfc00f3e34,2026-04-12,19:10:10.74,2026-04-12T14:10:10.7464704-05:00,2026-04-12T19:10:10.7464704Z,,v3,471236,471331,67aef16d6d97411eb3be3caf73d0281d,"Schwartz, Ryan",815538,Right,KEN_WIL,900fe239-60da-48d3-a576-fd2164cfa6e6,53.53874,-116.69729,9.94617,5.98695,-1.58357,-12.23051,2.73272,-7.56984,5.53325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
