PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-12,12:06:50.72,1,1,"Santana, Thomas",1000194824,Right,COL_LION,"Werdesheim, Grant",1000381899,Right,PRI_TIG,Undefined,1,Top,0,0,0,Sweeper,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,77.81699,-0.722776,-1.726687,2207.181939,118.252775,10:00,5.5521,1.59016,5.65044,-38.37837,9.29922,-13.90828,1.6794,-1.1799,70.03797,-7.83882,-4.21088,0.496968,,,,,,,,,,,,6.38674,5.52674,-1.43499,50,5.46705,3.94421,-112.66494,-2.6108,8.00946,25.10945,-25.24314,COL_LION,PRI_TIG,Robertson Field,D1,IVY,20260412-Robertson Field-1,9df9f6a0-3689-11f1-9390-9db5c75ff230,75.84478,,,7.77902,,,,,,,4992503b-9b47-470a-92ad-c872169c99dd,2026-04-12,16:06:50.72,2026-04-12T12:06:50.7228672-04:00,2026-04-12T16:06:50.7228672Z,,v3,471274,princeton,,"Estabrook, Owen",10109967,Right,COL_LION,67441a86-8f38-4680-974c-74b4ac1280d0,54.846,-113.73984,12.55472,5.55569,-1.53019,-12.62157,-1.5965,3.60134,4.00473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-12,12:07:09.07,1,2,"Santana, Thomas",1000194824,Right,COL_LION,"Werdesheim, Grant",1000381899,Right,PRI_TIG,Undefined,1,Top,0,1,0,Sweeper,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,77.96298,-0.558694,-1.12896,2221.097031,94.162083,9:15,5.53929,1.52447,5.53635,-44.23278,3.59642,-24.03304,1.33089,-1.5337,70.1689,-8.69081,-5.416243,0.497758,,,,,,,,,,,,11.61186,2.61457,-1.41067,50,5.46221,3.18842,-112.90195,-2.54468,14.56087,26.01253,-28.89546,COL_LION,PRI_TIG,Robertson Field,D1,IVY,20260412-Robertson Field-1,a8e9f380-3689-11f1-9390-9db5c75ff230,75.72447,,,7.79408,,,,,,,4992503b-9b47-470a-92ad-c872169c99dd,2026-04-12,16:07:09.07,2026-04-12T12:07:09.0771968-04:00,2026-04-12T16:07:09.0771968Z,,v3,471274,princeton,,"Estabrook, Owen",10109967,Right,COL_LION,1b263a29-7149-4ed5-b560-4a2a60af6c61,54.96205,-114.03947,13.00627,5.54587,-1.28109,-14.44773,-1.53618,2.55168,7.28043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-12,12:07:26.15,1,3,"Santana, Thomas",1000194824,Right,COL_LION,"Werdesheim, Grant",1000381899,Right,PRI_TIG,Undefined,1,Top,0,2,0,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.74562,-2.053312,-1.637567,2382.664638,179.348092,12:00,5.67255,1.17122,6.48591,-14.5908,18.99926,-0.2026,2.5698,-0.34963,82.00637,-4.89672,-1.674315,0.417135,84.72015,41.084443,37.34887,4442.47865,80.71778,82.4617,74.73017,288.69742,228.71359,49.854811,5.194668,-0.41453,10.95686,-1.05611,50,5.52162,3.77288,-131.68941,-5.07172,-0.71794,31.55142,-13.19742,COL_LION,PRI_TIG,Robertson Field,D1,IVY,20260412-Robertson Field-1,b3078530-3689-11f1-9390-9db5c75ff230,90.36029,96.18915,,8.73925,,,,1.13913,2.74253,0.16373,4992503b-9b47-470a-92ad-c872169c99dd,2026-04-12,16:07:26.15,2026-04-12T12:07:26.1553664-04:00,2026-04-12T16:07:26.1553664Z,FlyBall,v3,471274,princeton,,"Estabrook, Owen",10109967,Right,COL_LION,dea49004-f1b3-4c56-a3ec-5f30a97834f6,54.01399,-132.64763,15.77571,5.66956,-4.67091,-6.59871,-1.17102,3.79469,-0.35897,,1.1463,74.30304,-18.66525,3.76375,-0.04396,-0.2427,0.07044,-0.0084,0.00037,2.74066,81.68354,-20.57248,1.59601,-0.20493,-0.02768,0.024,-0.00449,0.00028,0.16499,56.79217,-4.90845,0.51528,0.06779,-0.05644,0.01466,-0.00181,9E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
4,2026-04-12,12:07:54.02,1,4,"Santana, Thomas",1000194824,Right,COL_LION,"Werdesheim, Grant",1000381899,Right,PRI_TIG,Undefined,1,Top,0,2,1,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.60998,-1.843229,0.067355,2396.878166,200.019971,12:45,5.84721,1.21624,6.23767,-12.41603,21.31891,7.27548,3.11158,1.88467,81.54178,-4.31545,1.381539,0.418034,,,,,,,,,,,,-3.6902,12.01414,-1.22442,50,5.70323,-0.4775,-132.71022,-4.51966,-6.39998,35.68288,-11.33777,COL_LION,PRI_TIG,Robertson Field,D1,IVY,20260412-Robertson Field-1,c3a92e20-3689-11f1-9390-9db5c75ff230,90.16603,,,10.0682,,,,,,,4992503b-9b47-470a-92ad-c872169c99dd,2026-04-12,16:07:54.02,2026-04-12T12:07:54.0293120-04:00,2026-04-12T16:07:54.0293120Z,,v3,471274,princeton,,"Estabrook, Owen",10109967,Right,COL_LION,3d35832b-e630-4c02-8a6b-9ad17f5489be,54.25698,-133.84993,17.84144,5.8418,-4.15753,-5.66888,-1.21243,-0.27309,-3.19999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-12,12:08:12.80,1,5,"Santana, Thomas",1000194824,Right,COL_LION,"Werdesheim, Grant",1000381899,Right,PRI_TIG,Undefined,1,Top,0,3,1,FourSeamFastBall,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,90.13412,-1.278677,-0.698891,2333.780479,191.171374,12:15,5.75642,1.09528,6.53208,-14.06587,20.10615,3.71776,3.41098,0.76392,80.8378,-4.053894,-0.02359,0.420733,,,,,,,,,,,,-2.16268,11.28906,-1.04809,50,5.66106,1.44254,-130.78049,-3.21652,-3.67062,32.72569,-13.01353,COL_LION,PRI_TIG,Robertson Field,D1,IVY,20260412-Robertson Field-1,ced91a30-3689-11f1-9390-9db5c75ff230,89.58754,,,9.29632,,,,,,,4992503b-9b47-470a-92ad-c872169c99dd,2026-04-12,16:08:12.80,2026-04-12T12:08:12.8079872-04:00,2026-04-12T16:08:12.8079872Z,,v3,471274,princeton,,"Estabrook, Owen",10109967,Right,COL_LION,7efd0b2d-3eb0-4cd7-ad87-2a5d1af0711d,53.96448,-131.7688,16.36285,5.75227,-2.82351,-6.50677,-1.09333,1.55339,-1.83531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-12,12:09:01.06,2,1,"Santana, Thomas",1000194824,Right,COL_LION,"Koonin, Jake",828769,Right,PRI_TIG,Undefined,1,Top,0,0,0,Sweeper,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,79.07951,0.578134,-0.802556,2325.845046,110.729869,9:45,5.67583,1.4853,5.7495,-37.86746,8.65241,-17.72072,3.05854,-0.73867,70.12355,-6.51475,-3.973621,0.490896,,,,,,,,,,,,8.54882,4.77886,-1.40841,50,5.70174,2.32668,-114.39543,-0.0195,10.91516,28.26381,-26.07238,COL_LION,PRI_TIG,Robertson Field,D1,IVY,20260412-Robertson Field-1,eba2f1e0-3689-11f1-9390-9db5c75ff230,76.78274,,,8.95596,,,,,,,4992503b-9b47-470a-92ad-c872169c99dd,2026-04-12,16:09:01.06,2026-04-12T12:09:01.0600960-04:00,2026-04-12T16:09:01.0600960Z,,v3,471274,princeton,,"Estabrook, Owen",10109967,Right,COL_LION,8f580fc9-727f-470f-8bd6-6b5079b8173c,54.74402,-115.56159,14.13191,5.68035,1.05625,-13.03619,-1.49512,1.87632,5.45758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-12,12:09:18.97,2,2,"Santana, Thomas",1000194824,Right,COL_LION,"Koonin, Jake",828769,Right,PRI_TIG,Undefined,1,Top,0,0,1,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.37387,-2.520403,-1.947698,2348.992323,199.187755,12:45,5.724,1.13263,6.34765,-14.72619,18.6619,6.07256,2.17376,-0.15501,82.44031,-5.381538,-0.849108,0.415879,,,,,,,,,,,,-3.74729,10.83182,-0.9936,50,5.53342,4.246,-132.44778,-6.1919,-6.56277,32.00698,-13.20395,COL_LION,PRI_TIG,Robertson Field,D1,IVY,20260412-Robertson Field-1,f6419a70-3689-11f1-9390-9db5c75ff230,90.63315,,,8.93355,,,,,,,4992503b-9b47-470a-92ad-c872169c99dd,2026-04-12,16:09:18.97,2026-04-12T12:09:18.9737984-04:00,2026-04-12T16:09:18.9737984Z,,v3,471274,princeton,,"Estabrook, Owen",10109967,Right,COL_LION,52ddd0cd-782a-4bb1-99fb-577f2ba6d8a1,54.14967,-133.44681,16.00349,5.72026,-5.77976,-6.60198,-1.12933,4.45085,-3.28138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-12,12:09:36.69,2,3,"Santana, Thomas",1000194824,Right,COL_LION,"Koonin, Jake",828769,Right,PRI_TIG,Undefined,1,Top,0,0,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.10679,-0.75556,-3.086212,1558.576569,208.553946,1:00,5.56291,1.25876,5.99606,-27.42616,13.33875,6.32181,2.57616,-1.07722,74.48001,-5.966715,-1.951469,0.459531,,,,,,,,,,,,-4.35713,7.6141,-1.01857,50,5.48872,6.28617,-121.54947,-2.41603,-6.29708,31.35804,-21.16991,COL_LION,PRI_TIG,Robertson Field,D1,IVY,20260412-Robertson Field-1,00db6100-368a-11f1-9390-9db5c75ff230,82.02377,,,9.62678,,,,,,,4992503b-9b47-470a-92ad-c872169c99dd,2026-04-12,16:09:36.69,2026-04-12T12:09:36.6964224-04:00,2026-04-12T16:09:36.6964224Z,,v3,471274,princeton,,"Estabrook, Owen",10109967,Right,COL_LION,a2eb7f39-b767-41a3-af85-d3f58f7e21de,54.49633,-122.70398,15.67902,5.56333,-1.63662,-10.58496,-1.25427,6.51801,-3.14854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-12,12:10:13.50,2,4,"Santana, Thomas",1000194824,Right,COL_LION,"Koonin, Jake",828769,Right,PRI_TIG,Undefined,1,Top,0,1,2,Sweeper,Slider,InPlay,Undefined,FlyBall,Out,1,0,,80.27341,1.231142,-0.295876,2371.383372,97.449311,9:15,5.6388,1.41958,5.55589,-41.25754,3.78051,-15.51229,3.35124,-0.14958,71.77096,-6.413408,-3.063059,0.483016,92.61951,43.030223,-8.238541,4131.045089,109.18583,95.9971,-13.35857,307.31489,307.31489,-5.741527,5.584323,7.72217,1.96347,-1.38346,50,5.71845,1.22867,-116.24911,1.13062,10.27629,27.3801,-29.56117,COL_LION,PRI_TIG,Robertson Field,D1,IVY,20260412-Robertson Field-1,16d1a1e0-368a-11f1-9390-9db5c75ff230,78.03564,116.41932,,8.50245,,,,0.91076,3.19765,0.16895,4992503b-9b47-470a-92ad-c872169c99dd,2026-04-12,16:10:13.50,2026-04-12T12:10:13.5058944-04:00,2026-04-12T16:10:13.5058944Z,FlyBall,v3,471274,princeton,,"Estabrook, Owen",10109967,Right,COL_LION,605795b0-94ef-4496-b525-dbaff752c76f,54.94275,-117.40751,13.69005,5.64416,2.38129,-14.78059,-1.42625,0.7939,5.13815,185.095467,0.9172,98.14272,-24.30621,6.63498,-1.08424,0.05278,0.01612,-0.00296,0.00015,3.19697,92.69941,-21.75047,0.8282,0.45317,-0.26497,0.07205,-0.00985,0.00052,0.16771,-14.20322,5.07209,-1.48549,0.27606,-0.02469,-0.00118,0.00044,-3E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
10,2026-04-12,12:10:52.28,3,1,"Santana, Thomas",1000194824,Right,COL_LION,"Cernius, Tomas",10114359,Left,PRI_TIG,Undefined,1,Top,1,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,74.84972,4.153513,0.358245,2134.355817,28.702599,7:00,5.83795,1.06112,5.91162,-70.94862,-19.23879,-11.70327,3.78764,0.41837,66.47867,-8.919972,-1.744467,0.517557,,,,,,,,,,,,6.02492,-10.56827,-1.0836,50,6.13331,-0.23119,-108.23863,5.5653,6.88242,25.41216,-44.24647,COL_LION,PRI_TIG,Robertson Field,D1,IVY,20260412-Robertson Field-1,2df47be0-368a-11f1-9390-9db5c75ff230,72.82767,,,8.37105,,,,,,,4992503b-9b47-470a-92ad-c872169c99dd,2026-04-12,16:10:52.28,2026-04-12T12:10:52.2867712-04:00,2026-04-12T16:10:52.2867712Z,,v3,471274,princeton,,"Estabrook, Owen",10109967,Right,COL_LION,aedbdcf1-5c5c-4679-a09f-5772637c14ac,54.59051,-109.31107,12.70608,5.85905,7.43258,-22.12324,-1.06772,-0.52164,3.44121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
