PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-12,12:00:56.69,1,1,"Wywoda, Declan",1000142924,Right,GEO_COL,"Blazier, Ian",813662,Left,SLU_BILL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.45469,-1.031648,-0.402078,2258.20896,206.253024,1:00,6.06646,1.21378,5.89407,-18.19025,18.85162,8.63465,3.59266,1.56003,78.77312,-4.521305,1.147908,0.438044,,,,,,,,,,,,-4.49992,10.33414,-1.18613,50,5.97302,0.51739,-126.8142,-2.78551,-7.21724,29.58785,-15.59952,GEO_COL,SLU_BILL,TuckerFieldatBarcroftPark,D1,A10,20260412-TuckerFieldatBarcroftPark-1,cadf9ae0-3688-11f1-9772-e1a8672fb097,86.04715,,,8.68157,,,,,,,7c34f87a-70c8-4a83-a19f-dd11c89f52a7,2026-04-12,16:00:56.69,2026-04-12T12:00:56.6953984-04:00,2026-04-12T16:00:56.6953984Z,,v3,471301,471427,3cec6008680746c79ab2e45a97dcf430,"Lavey, Robbie",835215,Right,GEO_COL,3ef205ce-e25c-4bdb-87cd-1224d6813f2a,54.59958,-127.88285,14.79393,6.06345,-2.22208,-7.79976,-1.20952,0.77806,-3.60862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-12,12:01:09.25,1,2,"Wywoda, Declan",1000142924,Right,GEO_COL,"Blazier, Ian",813662,Left,SLU_BILL,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.10024,-1.120604,-1.506974,2157.470068,208.406541,1:00,6.03924,1.27175,6.11852,-17.22391,19.88324,10.01178,3.5674,0.71252,78.29546,-4.456439,0.297066,0.43843,,,,,,,,,,,,-5.60189,10.9806,-1.16111,50,5.94426,2.90278,-126.28843,-2.9043,-8.89275,29.80794,-14.7429,GEO_COL,SLU_BILL,TuckerFieldatBarcroftPark,D1,A10,20260412-TuckerFieldatBarcroftPark-1,d260d6d0-3688-11f1-9772-e1a8672fb097,85.9714,,,8.80477,,,,,,,7c34f87a-70c8-4a83-a19f-dd11c89f52a7,2026-04-12,16:01:09.25,2026-04-12T12:01:09.2534784-04:00,2026-04-12T16:01:09.2534784Z,,v3,471301,471427,3cec6008680746c79ab2e45a97dcf430,"Lavey, Robbie",835215,Right,GEO_COL,fc0df77d-7fa4-400a-a882-4091b47d0014,54.37512,-127.3169,14.90397,6.0357,-2.39562,-7.37145,-1.26656,3.20961,-4.44637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-12,12:01:23.53,1,3,"Wywoda, Declan",1000142924,Right,GEO_COL,"Blazier, Ian",813662,Left,SLU_BILL,Undefined,1,Top,0,2,0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,,87.60475,-2.236284,-1.556204,2211.195218,203.57587,12:45,6.01307,1.2787,5.91124,-17.42418,19.42162,7.89796,2.48365,0.49213,79.18931,-5.574331,-0.13843,0.436883,95.21416,12.547962,22.709047,2501.655136,99.22665,12.1822,47.47692,174.90377,147.73437,28.178287,1.557518,-4.5541,11.05386,-1.15845,50,5.82386,3.12414,-127.00143,-5.44561,-7.34065,29.18809,-14.3565,GEO_COL,SLU_BILL,TuckerFieldatBarcroftPark,D1,A10,20260412-TuckerFieldatBarcroftPark-1,dadced80-3688-11f1-9772-e1a8672fb097,86.27578,12.85928,,8.41544,,,,2.13359,2.56487,-0.48186,7c34f87a-70c8-4a83-a19f-dd11c89f52a7,2026-04-12,16:01:23.53,2026-04-12T12:01:23.5322880-04:00,2026-04-12T16:01:23.5322880Z,LineDrive,v3,471301,471427,3cec6008680746c79ab2e45a97dcf430,"Lavey, Robbie",835215,Right,GEO_COL,356dbe4d-20dc-4927-b102-82409a06d5e6,54.5857,-128.051,14.59405,6.0104,-4.92936,-7.17825,-1.27554,3.3881,-3.67032,283.821158,2.13359,125.74514,-22.55415,3.9229,-0.85711,0.14195,-0.0071,-0.00516,0.00118,2.56486,30.34087,-24.27926,3.22443,-0.67978,0.08419,0.0291,-0.01794,0.00306,-0.48185,52.62011,1.67702,-1.07568,0.17049,0.10917,-0.11741,0.04651,-0.00717,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2026-04-12,12:02:09.44,2,1,"Wywoda, Declan",1000142924,Right,GEO_COL,"Kleinheider, Drew",10119804,Right,SLU_BILL,Undefined,1,Top,0,0,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.03704,-1.74018,-1.282467,2252.9848,168.559162,11:30,6.00262,1.34986,6.08661,-31.79557,9.46449,-1.64906,1.74229,0.02586,75.31228,-7.648029,-1.579809,0.462313,,,,,,,,,,,,0.48756,5.78445,-1.25007,50,5.85156,2.72936,-119.13147,-4.58319,0.69955,23.23339,-23.87465,GEO_COL,SLU_BILL,TuckerFieldatBarcroftPark,D1,A10,20260412-TuckerFieldatBarcroftPark-1,f6420510-3688-11f1-9772-e1a8672fb097,81.53009,,,6.72476,,,,,,,7c34f87a-70c8-4a83-a19f-dd11c89f52a7,2026-04-12,16:02:09.44,2026-04-12T12:02:09.4426112-04:00,2026-04-12T16:02:09.4426112Z,,v3,471301,471427,3cec6008680746c79ab2e45a97dcf430,"Lavey, Robbie",835215,Right,GEO_COL,c807d0f4-1702-498a-9746-f2cde02f82f8,54.4108,-119.98859,11.6167,6.0044,-3.70241,-11.93732,-1.35028,2.70355,0.34977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-12,12:02:38.62,2,2,"Wywoda, Declan",1000142924,Right,GEO_COL,"Kleinheider, Drew",10119804,Right,SLU_BILL,Undefined,1,Top,0,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,72.48679,2.922602,-0.911996,2332.307774,22.074647,6:45,5.96654,0.97982,5.53589,-61.6244,-7.75276,-3.80689,3.56562,-0.18992,66.70303,-8.305883,-1.590974,0.528265,,,,,,,,,,,,1.6648,-4.18252,-0.89812,50,6.17929,1.81261,-105.20835,3.43153,1.86754,17.70754,-36.86592,GEO_COL,SLU_BILL,TuckerFieldatBarcroftPark,D1,A10,20260412-TuckerFieldatBarcroftPark-1,07b296c0-3689-11f1-9772-e1a8672fb097,71.35144,,,5.78376,,,,,,,7c34f87a-70c8-4a83-a19f-dd11c89f52a7,2026-04-12,16:02:38.62,2026-04-12T12:02:38.6282496-04:00,2026-04-12T16:02:38.6282496Z,,v3,471301,471427,3cec6008680746c79ab2e45a97dcf430,"Lavey, Robbie",835215,Right,GEO_COL,5f806abd-8e46-4601-9485-ba323e4ce286,54.96538,-106.04077,8.85377,5.97724,5.16458,-18.43296,-0.98127,1.72482,0.93377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-12,12:02:54.11,2,3,"Wywoda, Declan",1000142924,Right,GEO_COL,"Kleinheider, Drew",10119804,Right,SLU_BILL,Undefined,1,Top,0,1,1,Cutter,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,82.1926,-2.651282,-1.862019,2257.037334,170.480664,11:45,5.97987,1.1823,6.10006,-29.03765,11.96052,-1.79287,1.105,-0.68979,75.77874,-8.042201,-2.185214,0.460844,,,,,,,,,,,,0.42606,7.28678,-1.03809,50,5.76035,3.94465,-119.31822,-6.38804,0.61534,22.55952,-21.64977,GEO_COL,SLU_BILL,TuckerFieldatBarcroftPark,D1,A10,20260412-TuckerFieldatBarcroftPark-1,10e72800-3689-11f1-9772-e1a8672fb097,81.79007,,,6.41386,,,,,,,7c34f87a-70c8-4a83-a19f-dd11c89f52a7,2026-04-12,16:02:54.11,2026-04-12T12:02:54.1138432-04:00,2026-04-12T16:02:54.1138432Z,,v3,471301,471427,3cec6008680746c79ab2e45a97dcf430,"Lavey, Robbie",835215,Right,GEO_COL,630fd2f6-c74f-4334-a5ab-60e7d33d4357,54.39916,-120.14709,11.27976,5.98044,-5.5926,-10.82489,-1.18261,3.92204,0.30767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-12,12:03:15.60,2,4,"Wywoda, Declan",1000142924,Right,GEO_COL,"Kleinheider, Drew",10119804,Right,SLU_BILL,Undefined,1,Top,0,1,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.15404,-2.524753,-2.821556,2404.661732,196.389979,12:30,6.07937,1.00665,5.99122,-13.99076,23.03812,6.39622,2.56932,-1.0773,79.0386,-5.245702,-1.673677,0.437967,73.21332,34.235024,146.675111,4003.091312,,,,,30.62916,,,-4.13528,12.97434,-0.78762,50,5.87237,5.9611,-126.27501,-5.90691,-6.62256,27.66892,-11.39584,GEO_COL,SLU_BILL,TuckerFieldatBarcroftPark,D1,A10,20260412-TuckerFieldatBarcroftPark-1,1db078c0-3689-11f1-9772-e1a8672fb097,86.06224,21.17463,,8.11543,,,,0.44292,2.48155,1.06653,7c34f87a-70c8-4a83-a19f-dd11c89f52a7,2026-04-12,16:03:15.60,2026-04-12T12:03:15.6028416-04:00,2026-04-12T16:03:15.6028416Z,,v3,471301,471427,3cec6008680746c79ab2e45a97dcf430,"Lavey, Robbie",835215,Right,GEO_COL,9ec4594f-f269-43c5-91fe-8cff8b8da8ff,54.50542,-127.2584,13.83446,6.07511,-5.50189,-5.69792,-1.00367,6.19647,-3.31128,288.884486,0.44344,-74.19923,5.90893,,,,,,,2.48979,60.10876,-24.72099,,,,,,,1.08124,48.22964,-17.8556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
8,2026-04-12,12:03:34.44,2,5,"Wywoda, Declan",1000142924,Right,GEO_COL,"Kleinheider, Drew",10119804,Right,SLU_BILL,Undefined,1,Top,0,1,2,Cutter,Slider,InPlay,Undefined,GroundBall,Out,1,0,,81.89167,-2.745022,-1.398342,2421.036198,163.260562,11:30,6.03289,1.04109,6.06873,-27.00498,14.29139,-3.91583,1.23956,-0.57949,75.53545,-7.770299,-2.103858,0.462517,72.73572,-23.792906,-31.04165,,,,,4.77039,3.13801,-11.469925,0.03073,1.65969,8.50894,-0.93064,50,5.80558,3.04605,-118.90148,-6.48932,2.38317,22.15138,-19.95594,GEO_COL,SLU_BILL,TuckerFieldatBarcroftPark,D1,A10,20260412-TuckerFieldatBarcroftPark-1,28e8c940-3689-11f1-9772-e1a8672fb097,81.49424,1.32487,,6.35622,,,,2.10056,1.32487,0.60089,7c34f87a-70c8-4a83-a19f-dd11c89f52a7,2026-04-12,16:03:34.44,2026-04-12T12:03:34.4453632-04:00,2026-04-12T16:03:34.4453632Z,GroundBall,v3,471301,471427,3cec6008680746c79ab2e45a97dcf430,"Lavey, Robbie",835215,Right,GEO_COL,bcb2b6f4-a548-4b6b-851f-298f75412782,54.43041,-119.72402,11.07569,6.03279,-5.7483,-9.97797,-1.04211,2.95756,1.19159,,2.09984,83.7805,,,,,,,,1.32524,-43.11336,,,,,,,,0.60133,-50.42333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
9,2026-04-12,12:04:11.25,3,1,"Wywoda, Declan",1000142924,Right,GEO_COL,"Iffrig, Riley",1000094154,Left,SLU_BILL,Undefined,1,Top,1,0,0,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,82.31166,-1.749105,-2.288507,1595.714145,250.902651,2:15,5.83462,1.55129,5.57291,-35.08722,7.08457,16.23391,1.27513,0.76541,74.95682,-8.208348,0.611264,0.467393,52.63586,-44.412009,-27.243495,,,,,4.53594,4.53594,-18.612505,0.027522,-8.99473,4.52189,-1.36534,50,5.66089,4.12201,-119.32102,-4.81433,-12.83021,25.23112,-25.72395,GEO_COL,SLU_BILL,TuckerFieldatBarcroftPark,D1,A10,20260412-TuckerFieldatBarcroftPark-1,3edce740-3689-11f1-9772-e1a8672fb097,80.64394,1.4927,,7.35484,,,,2.94406,1.4927,-0.75023,7c34f87a-70c8-4a83-a19f-dd11c89f52a7,2026-04-12,16:04:11.25,2026-04-12T12:04:11.2500736-04:00,2026-04-12T16:04:11.2500736Z,GroundBall,v3,471301,471427,3cec6008680746c79ab2e45a97dcf430,"Lavey, Robbie",835215,Right,GEO_COL,9c166197-4626-4be9-96f9-37056911fdca,54.92622,-120.35819,12.61556,5.83706,-3.7569,-12.86198,-1.54563,4.64942,-6.41511,,2.94321,49.21993,,,,,,,,1.49364,-54.23642,,,,,,,,-0.74979,-25.34286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
10,2026-04-12,12:04:50.05,4,1,"Wywoda, Declan",1000142924,Right,GEO_COL,"Beattie, Chase",809752,Right,SLU_BILL,Undefined,1,Top,2,0,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.58778,-2.686038,-2.041087,2283.145215,164.774576,11:30,6.00674,1.35298,6.16309,-29.62202,11.1726,-2.6748,1.05364,-0.75615,75.67416,-8.199663,-2.523765,0.459698,,,,,,,,,,,,0.78929,6.97807,-1.19686,50,5.78775,4.3694,-119.79222,-6.49838,1.14123,24.21457,-22.08455,GEO_COL,SLU_BILL,TuckerFieldatBarcroftPark,D1,A10,20260412-TuckerFieldatBarcroftPark-1,55ff2500-3689-11f1-9772-e1a8672fb097,81.99386,,,6.91362,,,,,,,7c34f87a-70c8-4a83-a19f-dd11c89f52a7,2026-04-12,16:04:50.05,2026-04-12T12:04:50.0544000-04:00,2026-04-12T16:04:50.0544000Z,,v3,471301,471427,3cec6008680746c79ab2e45a97dcf430,"Lavey, Robbie",835215,Right,GEO_COL,ff0dfa30-b5fc-4fda-91d1-506d7d8ca60f,54.33432,-120.66517,12.10729,6.00767,-5.70222,-11.04227,-1.35364,4.32826,0.57061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
