PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-07,18:05:29.74,1,1,"Joseph, Johnny",824493,Right,QUN_RYL,"Vannoy, Matthew",1000111908,Left,DAV_WIL,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.14575,-0.770433,-2.962965,2025.193574,224.074166,1:30,6.44538,2.60272,5.04365,-22.47674,15.09891,13.33099,3.84457,0.91625,79.64476,-4.956642,-0.611275,0.441189,,,,,,,,,,,,-7.4591,8.09394,-2.33098,50,6.35455,5.97003,-127.558,-2.51478,-12.17165,28.59125,-18.96648,QUN_RYL,DAV_WIL,StickWilliamsField,D1,ASUN,20260407-StickWilliamsField-1,e424fdb0-32cd-11f1-b887-a7d79eed24fa,85.43376,,,8.50099,,,,,,,f0f5ef8f-5fa4-4648-a5b1-3a0b947f16e1,2026-04-07,22:05:29.74,2026-04-07T18:05:29.7443840-04:00,2026-04-07T22:05:29.7443840Z,,v3,queensnc,471280,ebd5f75d9ee7481783d529600eba9978,"Brunetti, Mikey",10109154,Right,QUN_RYL,ffd66b85-0f62-4c01-849c-58f2295f4c51,55.45098,-128.77401,14.29563,6.44435,-1.70813,-9.48324,-2.5959,6.4877,-6.08583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-07,18:05:43.96,1,2,"Joseph, Johnny",824493,Right,QUN_RYL,"Vannoy, Matthew",1000111908,Left,DAV_WIL,Undefined,1,Top,0,1,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.85532,-2.035457,-4.33253,1968.790965,223.615607,1:30,6.41104,2.3972,5.09049,-23.89604,13.83166,11.94446,2.49507,-0.69845,79.8704,-6.450092,-2.228114,0.442081,,,,,,,,,,,,-7.17571,7.8443,-1.99668,50,6.19977,9.06629,-126.96881,-5.38504,-11.6572,27.16943,-19.43069,QUN_RYL,DAV_WIL,StickWilliamsField,D1,ASUN,20260407-StickWilliamsField-1,eca07820-32cd-11f1-b887-a7d79eed24fa,85.26141,,,7.98492,,,,,,,f0f5ef8f-5fa4-4648-a5b1-3a0b947f16e1,2026-04-07,22:05:43.96,2026-04-07T18:05:43.9631872-04:00,2026-04-07T22:05:43.9631872Z,,v3,queensnc,471280,ebd5f75d9ee7481783d529600eba9978,"Brunetti, Mikey",10109154,Right,QUN_RYL,da3b1633-4811-4c89-be75-9b6339f43fff,55.40559,-128.12031,13.58472,6.41055,-4.56153,-9.71534,-2.3914,9.56034,-5.8286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-07,18:05:59.71,1,3,"Joseph, Johnny",824493,Right,QUN_RYL,"Vannoy, Matthew",1000111908,Left,DAV_WIL,Undefined,1,Top,0,1,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.98688,-1.171721,-2.992051,1988.729302,208.077537,1:00,6.37488,2.38076,5.08025,-23.35277,13.32194,6.44292,3.32265,0.09469,80.84549,-5.493331,-1.854983,0.435868,,,,,,,,,,,,-4.05319,7.32181,-2.1024,50,6.24587,6.42802,-128.81934,-3.49133,-6.77563,28.05081,-19.93434,QUN_RYL,DAV_WIL,StickWilliamsField,D1,ASUN,20260407-StickWilliamsField-1,f60a2320-32cd-11f1-b887-a7d79eed24fa,86.47682,,,8.14138,,,,,,,f0f5ef8f-5fa4-4648-a5b1-3a0b947f16e1,2026-04-07,22:05:59.71,2026-04-07T18:05:59.7144064-04:00,2026-04-07T22:05:59.7144064Z,,v3,queensnc,471280,ebd5f75d9ee7481783d529600eba9978,"Brunetti, Mikey",10109154,Right,QUN_RYL,8ead2a0f-35eb-4f2c-a18d-4d9aa767fcab,55.41469,-129.99306,14.02541,6.37451,-2.65723,-9.96717,-2.3773,6.71153,-3.38782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-07,18:06:16.49,1,4,"Joseph, Johnny",824493,Right,QUN_RYL,"Vannoy, Matthew",1000111908,Left,DAV_WIL,Undefined,1,Top,0,1,2,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.86827,-1.570082,-3.330518,2058.507726,252.91975,2:30,6.23873,2.73412,5.02377,-31.1436,6.09579,16.20379,2.15899,0.93814,81.01076,-7.223107,-0.470528,0.439211,65.07356,19.28526,-68.360705,3726.274762,,,,130.65735,110.40637,-73.593248,1.70284,-8.9263,3.75721,-2.42886,50,6.06315,6.67783,-127.38538,-4.70915,-14.77364,24.39077,-25.95558,QUN_RYL,DAV_WIL,StickWilliamsField,D1,ASUN,20260407-StickWilliamsField-1,001194c0-32ce-11f1-b887-a7d79eed24fa,85.81861,13.93129,,6.85751,,,,-0.26746,1.73108,-0.72803,f0f5ef8f-5fa4-4648-a5b1-3a0b947f16e1,2026-04-07,22:06:16.49,2026-04-07T18:06:16.4968960-04:00,2026-04-07T22:06:16.4968960Z,LineDrive,v3,queensnc,471280,ebd5f75d9ee7481783d529600eba9978,"Brunetti, Mikey",10109154,Right,QUN_RYL,a13af185-2e9b-4b00-b8b1-9a370cb1c8c1,55.47625,-128.42965,12.19539,6.24098,-3.59788,-12.97779,-2.72831,7.31035,-7.38682,,-0.26745,33.21808,-9.58725,2.17407,0.05338,-0.53444,0.34277,-0.10752,0.01389,1.73108,31.52135,-21.73537,2.0294,-0.36347,0.04834,-0.00037,-0.00091,0.00012,-0.72803,-83.73692,7.09463,-0.64912,0.143,-0.12259,0.08372,-0.0271,0.00356,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
5,2026-04-07,18:06:34.40,1,5,"Joseph, Johnny",824493,Right,QUN_RYL,"Vannoy, Matthew",1000111908,Left,DAV_WIL,Undefined,1,Top,0,1,2,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,87.76786,-2.125973,-3.219011,2052.573027,246.081477,2:15,6.32186,2.42399,4.969,-28.28541,9.37611,18.39816,1.9525,0.91336,80.3887,-7.284979,0.025363,0.441693,74.06973,-11.815263,-19.148495,,,,,8.94634,8.36787,-24.450568,0.079816,-10.02587,5.58508,-2.12857,50,6.09307,6.30459,-127.10624,-5.80835,-16.40942,25.94469,-23.03292,QUN_RYL,DAV_WIL,StickWilliamsField,D1,ASUN,20260407-StickWilliamsField-1,0ab9da40-32ce-11f1-b887-a7d79eed24fa,85.33633,1.77921,,7.37916,,,,0.10931,1.77921,-0.91308,f0f5ef8f-5fa4-4648-a5b1-3a0b947f16e1,2026-04-07,22:06:34.40,2026-04-07T18:06:34.4036864-04:00,2026-04-07T22:06:34.4036864Z,GroundBall,v3,queensnc,471280,ebd5f75d9ee7481783d529600eba9978,"Brunetti, Mikey",10109154,Right,QUN_RYL,4247b015-d06d-48ad-814e-ff2f0d783c42,55.53013,-128.23008,12.97235,6.32306,-4.81064,-11.51646,-2.41705,7.01539,-8.20471,180,0.10656,100.66466,,,,,,,,1.77982,-22.29127,,,,,,,,-0.91212,-34.95371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2026-04-07,18:07:13.13,2,1,"Joseph, Johnny",824493,Right,QUN_RYL,"Daly, Jameson",1000097079,Left,DAV_WIL,Undefined,1,Top,1,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.54958,-1.510321,-2.427214,1930.948809,227.595145,1:30,6.41813,2.30961,4.93556,-23.65407,13.41312,13.35288,3.01785,1.12687,80.77727,-5.867025,-0.073811,0.438194,,,,,,,,,,,,-7.23367,7.41111,-2.08496,50,6.25206,4.79998,-128.2748,-4.26809,-12.03892,26.81539,-19.83986,QUN_RYL,DAV_WIL,StickWilliamsField,D1,ASUN,20260407-StickWilliamsField-1,21c20050-32ce-11f1-b887-a7d79eed24fa,86.01771,,,7.77231,,,,,,,f0f5ef8f-5fa4-4648-a5b1-3a0b947f16e1,2026-04-07,22:07:13.13,2026-04-07T18:07:13.1387392-04:00,2026-04-07T22:07:13.1387392Z,,v3,queensnc,471280,ebd5f75d9ee7481783d529600eba9978,"Brunetti, Mikey",10109154,Right,QUN_RYL,b98bc93c-4777-40d7-871d-62e7917a3b25,55.56053,-129.43199,13.40769,6.41777,-3.41192,-9.91993,-2.3033,5.3195,-6.01946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-07,18:07:30.55,2,2,"Joseph, Johnny",824493,Right,QUN_RYL,"Daly, Jameson",1000097079,Left,DAV_WIL,Undefined,1,Top,1,0,1,Fastball,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,87.16079,-1.163921,-3.996811,2042.53475,254.370809,2:30,6.31193,2.41328,5.06278,-32.17809,5.6515,16.13603,2.53009,-0.01693,80.30026,-7.008692,-1.150574,0.442677,98.45887,-8.743133,30.693439,,,,,18.07361,16.98833,28.40743,0.118285,-9.1067,3.42543,-2.0466,50,6.17544,8.10782,-126.30337,-3.80701,-14.81542,24.00865,-26.60131,QUN_RYL,DAV_WIL,StickWilliamsField,D1,ASUN,20260407-StickWilliamsField-1,2c4076b0-32ce-11f1-b887-a7d79eed24fa,85.14655,2.6005,,6.86052,,,,1.35691,2.6005,-0.0329,f0f5ef8f-5fa4-4648-a5b1-3a0b947f16e1,2026-04-07,22:07:30.55,2026-04-07T18:07:30.5585152-04:00,2026-04-07T22:07:30.5585152Z,GroundBall,v3,queensnc,471280,ebd5f75d9ee7481783d529600eba9978,"Brunetti, Mikey",10109154,Right,QUN_RYL,8b2c2e8b-1f7b-421f-ae33-9d9e6b6109dd,55.43777,-127.33283,12.00432,6.31423,-2.66639,-13.30066,-2.40787,8.74309,-7.40771,180,1.35323,122.92686,,,,,,,,2.60116,-21.98504,,,,,,,,-0.03508,72.96959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2026-04-07,18:08:11.89,3,1,"Joseph, Johnny",824493,Right,QUN_RYL,"Torreso, Anthony",811245,Right,DAV_WIL,Undefined,1,Top,2,0,0,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,88.55517,-1.398388,-3.272065,2047.773835,237.203489,2:00,6.38668,2.48462,4.94914,-25.40446,11.37764,15.92198,2.94585,0.71623,81.4191,-6.044956,-0.467632,0.436505,63.61128,13.190808,14.60429,2777.170613,,,,119.65145,114.97349,20.546995,1.543502,-8.76406,6.32394,-2.18092,50,6.23012,6.60564,-128.36519,-4.10882,-14.72137,24.90023,-21.55145,QUN_RYL,DAV_WIL,StickWilliamsField,D1,ASUN,20260407-StickWilliamsField-1,44e18c40-32ce-11f1-b887-a7d79eed24fa,86.35044,10.09223,,7.13608,,,,0.62329,2.87632,-0.71177,f0f5ef8f-5fa4-4648-a5b1-3a0b947f16e1,2026-04-07,22:08:11.89,2026-04-07T18:08:11.8900736-04:00,2026-04-07T22:08:11.8900736Z,GroundBall,v3,queensnc,471280,ebd5f75d9ee7481783d529600eba9978,"Brunetti, Mikey",10109154,Right,QUN_RYL,eb5c83ac-2aaf-403c-a9e4-bb6621958e1b,55.55049,-129.43739,12.45012,6.38706,-3.18082,-10.77573,-2.47901,7.23954,-7.36069,250.447597,0.62328,87.90028,-12.41075,1.88802,-0.32564,0.01253,0.01566,-0.00671,0.00104,2.87632,21.28946,-16.30787,0.98185,-0.13444,0.04799,-0.01892,0.00649,-0.001,-0.71176,22.90227,4.61463,-1.43389,0.33337,0.00549,-0.04604,0.02018,-0.00321,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2026-04-07,18:11:15.55,1,1,"Whelan, Thomas",10109489,Right,DAV_WIL,"Huneycutt, Hunter",1000064264,Left,QUN_RYL,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.69356,-0.694227,-2.75762,2475.244676,206.766925,1:00,5.73856,1.93366,6.67765,-15.90292,20.19686,9.60953,3.7775,0.20996,79.13753,-3.786385,-1.010025,0.432438,,,,,,,,,,,,-5.82059,11.17934,-1.75257,50,5.68518,5.70978,-125.95732,-1.87866,-9.34493,25.73679,-14.22572,QUN_RYL,DAV_WIL,StickWilliamsField,D1,ASUN,20260407-StickWilliamsField-1,b2490e20-32ce-11f1-b887-a7d79eed24fa,87.16267,,,7.55602,,,,,,,f0f5ef8f-5fa4-4648-a5b1-3a0b947f16e1,2026-04-07,22:11:15.55,2026-04-07T18:11:15.5540480-04:00,2026-04-07T22:11:15.5540480Z,,v3,queensnc,471280,ebd5f75d9ee7481783d529600eba9978,"Torreso, Anthony",811245,Right,DAV_WIL,167cfdc7-be29-4b14-85b6-2671934c8890,53.81955,-126.73536,12.8684,5.73548,-1.44861,-7.11286,-1.92945,5.99228,-4.67247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-07,18:11:37.77,1,2,"Whelan, Thomas",10109489,Right,DAV_WIL,"Huneycutt, Hunter",1000064264,Left,QUN_RYL,Undefined,1,Bottom,0,1,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,76.58184,0.013233,-1.806775,2511.676896,58.685083,8:00,5.6417,2.16726,5.98062,-48.989,-1.73287,-5.1315,1.57156,0.06434,70.93688,-8.969193,-2.730457,0.494767,,,,,,,,,,,,2.16799,-0.50921,-2.02163,50,5.61539,3.69115,-111.33432,-1.45907,2.72975,19.3999,-32.81522,QUN_RYL,DAV_WIL,StickWilliamsField,D1,ASUN,20260407-StickWilliamsField-1,bf928b60-32ce-11f1-b887-a7d79eed24fa,76.18224,,,5.64496,,,,,,,f0f5ef8f-5fa4-4648-a5b1-3a0b947f16e1,2026-04-07,22:11:37.77,2026-04-07T18:11:37.7728512-04:00,2026-04-07T22:11:37.7728512Z,,v3,queensnc,471280,ebd5f75d9ee7481783d529600eba9978,"Torreso, Anthony",811245,Right,DAV_WIL,611ef14c-3b61-4fbb-83e3-793e8213ec65,54.51999,-112.11916,9.69995,5.64756,-0.13151,-16.40761,-2.16872,3.58071,1.36488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
