PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-10,18:36:39.02,1,1,"Robinson, Kevin",1000306992,Right,NOR_DEM,"Rader, Jeremy",1000112426,Right,HBU_HUS,Undefined,1,Top,0,0,0,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.08937,-2.081551,-5.343486,2045.447791,241.348852,2:00,5.1182,2.53724,5.64446,-25.20753,9.80264,15.86363,1.06652,-1.13982,82.38757,-6.745317,-2.524931,0.425862,,,,,,,,,,,,-9.5039,5.88847,-2.09263,50,4.92467,11.48218,-130.2369,-5.64078,-16.34036,27.08481,-22.04984,NOR_DEM,HBU_HUS,BrownStroudField,D1,SLAND,20260410-BrownStroudField-1,203b4f60-3536-11f1-b1bb-c9c2bf43fc0a,88.50866,,,7.7018,,,,,,,3e382232-e97e-4b73-91db-66f5fd7645b0,2026-04-10,23:36:39.02,2026-04-10T18:36:39.0216704-05:00,2026-04-10T23:36:39.0216704Z,,v3,471394,471314,,"McNeil, Noah",1000311970,Right,NOR_DEM,1d3c85b1-6152-4af8-9266-cfe577915c51,54.85598,-131.24289,13.54241,5.11897,-4.8218,-11.02492,-2.53037,12.0891,-8.17018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-10,18:36:51.70,1,2,"Robinson, Kevin",1000306992,Right,NOR_DEM,"Rader, Jeremy",1000112426,Right,HBU_HUS,Undefined,1,Top,0,1,0,Undefined,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.58732,-0.739448,-5.25731,2058.625127,237.278074,2:00,5.19976,2.73183,6.35139,-23.6934,10.84997,15.09796,2.54175,-0.86291,81.48727,-5.209535,-2.540157,0.423013,,,,,,,,,,,,-9.33776,6.20689,-2.35587,50,5.13475,11.31995,-129.68299,-2.39746,-15.84466,28.0309,-21.64195,NOR_DEM,HBU_HUS,BrownStroudField,D1,SLAND,20260410-BrownStroudField-1,27cb0a40-3536-11f1-b1bb-c9c2bf43fc0a,89.10465,,,8.10004,,,,,,,3e382232-e97e-4b73-91db-66f5fd7645b0,2026-04-10,23:36:51.70,2026-04-10T18:36:51.7075968-05:00,2026-04-10T23:36:51.7075968Z,,v3,471394,471314,,"McNeil, Noah",1000311970,Right,NOR_DEM,e05c1812-5311-4fb9-a146-a077af7d04eb,54.14813,-130.57652,14.01545,5.20018,-1.70758,-10.82098,-2.72477,11.82503,-7.92233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-10,18:37:06.25,1,3,"Robinson, Kevin",1000306992,Right,NOR_DEM,"Rader, Jeremy",1000112426,Right,HBU_HUS,Undefined,1,Top,0,1,1,Undefined,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.02055,-1.624456,-4.223271,2089.054968,246.899064,2:15,5.31941,2.6402,6.56232,-26.06564,7.9091,15.82343,1.65351,0.07989,81.82542,-6.538003,-1.354576,0.419517,,,,,,,,,,,,-9.57603,4.9889,-2.35495,50,5.19624,9.01717,-130.48654,-4.49624,-16.3766,29.53453,-23.64219,NOR_DEM,HBU_HUS,BrownStroudField,D1,SLAND,20260410-BrownStroudField-1,30747280-3536-11f1-b1bb-c9c2bf43fc0a,89.84727,,,8.19513,,,,,,,3e382232-e97e-4b73-91db-66f5fd7645b0,2026-04-10,23:37:06.25,2026-04-10T18:37:06.2524928-05:00,2026-04-10T23:37:06.2524928Z,,v3,471394,471314,,"McNeil, Noah",1000311970,Right,NOR_DEM,8badd98d-7b82-48c9-a0e4-b56a3aae1bd5,53.93789,-131.37482,14.76726,5.32078,-3.78517,-11.8211,-2.63356,9.50971,-8.1883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-10,18:38:03.53,1,4,"Robinson, Kevin",1000306992,Right,NOR_DEM,"Rader, Jeremy",1000112426,Right,HBU_HUS,Undefined,1,Top,0,1,2,Undefined,,InPlay,Undefined,Popup,Out,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOR_DEM,HBU_HUS,BrownStroudField,D1,SLAND,20260410-BrownStroudField-1,41266f20-3536-11f1-b1bb-c9c2bf43fc0a,,,,,,,,,,,3e382232-e97e-4b73-91db-66f5fd7645b0,2026-04-10,23:38:03.53,2026-04-10T18:38:03.5360128-05:00,2026-04-10T23:38:03.5360128Z,,v3,471394,471314,,"McNeil, Noah",1000311970,Right,NOR_DEM,9c69633d-bf07-4e57-acce-3a23c93249ce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-04-10,18:38:04.53,2,1,"Robinson, Kevin",1000306992,Right,NOR_DEM,"DeFazio, Nico",824175,Right,HBU_HUS,Undefined,1,Top,1,0,0,Undefined,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.33411,-2.272003,-3.750523,2128.934595,230.866838,1:45,5.1303,2.66187,4.91083,-22.30001,13.37016,15.00879,1.11775,0.36093,82.58515,-6.371387,-1.111188,0.429857,,,,,,,,,,,,-8.81335,7.61142,-2.30881,50,4.88961,7.91457,-130.78808,-6.05226,-15.24002,28.01436,-19.0124,NOR_DEM,HBU_HUS,BrownStroudField,D1,SLAND,20260410-BrownStroudField-1,5332cba0-3536-11f1-b1bb-c9c2bf43fc0a,87.68598,,,7.74895,,,,,,,3e382232-e97e-4b73-91db-66f5fd7645b0,2026-04-10,23:38:04.53,2026-04-10T18:38:04.5360128-05:00,2026-04-10T23:38:04.5360128Z,,v3,471394,471314,,"McNeil, Noah",1000311970,Right,NOR_DEM,fe43e134-c64c-41ea-b551-c3077420cc6f,55.59431,-131.98092,14.00718,5.13008,-5.24272,-9.5062,-2.65963,8.56348,-7.62001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-10,18:38:18.43,2,2,"Robinson, Kevin",1000306992,Right,NOR_DEM,"DeFazio, Nico",824175,Right,HBU_HUS,Undefined,1,Top,1,0,1,Undefined,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,,90.76482,-2.437984,-5.038834,1078.06691,236.333238,2:00,5.50849,2.5436,7.23536,-20.41363,12.06288,16.51032,1.59094,-0.65277,82.87095,-6.359358,-2.013293,0.410163,,,,,,,,,,,,-10.31886,7.52052,-2.25849,50,5.36239,11.01717,-131.55471,-6.11785,-18.03599,28.59364,-19.02918,NOR_DEM,HBU_HUS,BrownStroudField,D1,SLAND,20260410-BrownStroudField-1,5b81dee0-3536-11f1-b1bb-c9c2bf43fc0a,91.89632,,,7.89388,,,,,,,3e382232-e97e-4b73-91db-66f5fd7645b0,2026-04-10,23:38:18.43,2026-04-10T18:38:18.4378880-05:00,2026-04-10T23:38:18.4378880Z,,v3,471394,471314,,"McNeil, Noah",1000311970,Right,NOR_DEM,a128a690-3f09-4bca-beb0-1fe96f2f9409,53.26554,-132.26257,14.29682,5.50801,-5.64676,-9.51459,-2.53676,11.46367,-9.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-10,18:38:33.04,2,3,"Robinson, Kevin",1000306992,Right,NOR_DEM,"DeFazio, Nico",824175,Right,HBU_HUS,Undefined,1,Top,1,1,1,Undefined,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.84982,-0.368091,-2.984945,2067.336116,175.484451,11:45,5.28134,2.86598,8.04636,-21.2534,16.66028,-1.21209,3.18184,0.10327,75.00656,-4.566358,-3.21105,0.443169,69.79133,56.32847,165.659955,3524.303856,,,,,21.44604,,,-0.28803,9.76359,-2.73762,50,5.26122,6.31783,-120.50214,-1.10329,-0.41731,26.62309,-18.02861,NOR_DEM,HBU_HUS,BrownStroudField,D1,SLAND,20260410-BrownStroudField-1,644007a0-3536-11f1-b1bb-c9c2bf43fc0a,85.05207,30.53771,,7.84327,,,,0.50982,3.12989,-0.0215,3e382232-e97e-4b73-91db-66f5fd7645b0,2026-04-10,23:38:33.04,2026-04-10T18:38:33.0452992-05:00,2026-04-10T23:38:33.0452992Z,,v3,471394,471314,,"McNeil, Noah",1000311970,Right,NOR_DEM,44ccfd40-6eff-4a21-a8d2-7f5ff720c084,52.45129,-121.0425,13.31155,5.2799,-0.73737,-9.0143,-2.86594,6.3263,-0.20865,359.345291,0.51804,-55.27668,-0.73539,,,,,,,3.14764,84.56552,-34.24168,,,,,,,-0.02329,14.12013,-0.04263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
8,2026-04-10,18:38:53.47,2,4,"Robinson, Kevin",1000306992,Right,NOR_DEM,"DeFazio, Nico",824175,Right,HBU_HUS,Undefined,1,Top,1,1,2,Undefined,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,89.73288,-0.986429,-4.407137,2124.977468,243.499416,2:00,5.22491,2.55781,4.96152,-27.57777,8.63512,14.90461,1.99198,-0.37198,81.72171,-6.031225,-1.787164,0.433115,74.01277,-45.599755,166.779315,,,,,1.18522,1.5279,42.446948,0.027606,-8.69237,4.88874,-2.14349,50,5.10671,9.30853,-129.79467,-3.31825,-14.78612,27.88794,-23.85807,NOR_DEM,HBU_HUS,BrownStroudField,D1,SLAND,20260410-BrownStroudField-1,705e4b50-3536-11f1-b1bb-c9c2bf43fc0a,87.02647,2.14705,,8.01117,,,,2.92142,2.14705,0.31905,3e382232-e97e-4b73-91db-66f5fd7645b0,2026-04-10,23:38:53.47,2026-04-10T18:38:53.4736896-05:00,2026-04-10T23:38:53.4736896Z,GroundBall,v3,471394,471314,,"McNeil, Noah",1000311970,Right,NOR_DEM,66998fb8-6128-4e82-bd4f-2f9156c366c4,55.53952,-130.9795,13.94397,5.22615,-2.30464,-11.92904,-2.55231,9.93672,-7.39306,,2.92235,-74.14589,,,,,,,,2.14803,-77.77599,,,,,,,,0.31883,17.41901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
9,2026-04-10,18:39:34.00,3,1,"Robinson, Kevin",1000306992,Right,NOR_DEM,"Bard, Luke",809467,Right,HBU_HUS,Undefined,1,Top,2,0,0,Undefined,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.8789,-1.497147,-3.663303,2147.621258,229.879957,1:45,5.20191,2.59874,4.94635,-23.48674,12.56548,13.49379,1.82665,0.25665,81.90172,-5.820664,-1.289099,0.432153,,,,,,,,,,,,-7.98418,6.99993,-2.25497,50,5.03732,7.73581,-130.14796,-4.2998,-13.63551,28.41316,-20.21949,NOR_DEM,HBU_HUS,BrownStroudField,D1,SLAND,20260410-BrownStroudField-1,8898fdf0-3536-11f1-b1bb-c9c2bf43fc0a,87.2201,,,7.97718,,,,,,,3e382232-e97e-4b73-91db-66f5fd7645b0,2026-04-10,23:39:34.00,2026-04-10T18:39:34.0082688-05:00,2026-04-10T23:39:34.0082688Z,,v3,471394,471314,,"McNeil, Noah",1000311970,Right,NOR_DEM,272be0c2-5b88-4ee7-8706-57ad8ecc3ccb,55.55775,-131.35569,14.20658,5.20182,-3.44035,-10.10974,-2.59611,8.31541,-6.81775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-10,18:39:48.08,3,2,"Robinson, Kevin",1000306992,Right,NOR_DEM,"Bard, Luke",809467,Right,HBU_HUS,Undefined,1,Top,2,0,1,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.56854,-2.321806,-2.80152,2055.739391,250.869012,2:15,4.93634,2.2673,14.24246,-20.67911,4.25362,10.38127,1.39249,0.93773,82.52562,-6.8278,-0.591604,0.359382,,,,,,,,,,,,-8.28918,3.90477,-2.45053,50,5.07913,6.65821,-130.28454,-4.56623,-14.29796,26.46281,-25.4387,NOR_DEM,HBU_HUS,BrownStroudField,D1,SLAND,20260410-BrownStroudField-1,90e3a460-3536-11f1-b1bb-c9c2bf43fc0a,104.8813,,,6.04292,,,,,,,3e382232-e97e-4b73-91db-66f5fd7645b0,2026-04-10,23:39:48.08,2026-04-10T18:39:48.0899072-05:00,2026-04-10T23:39:48.0899072Z,,v3,471394,471314,,"McNeil, Noah",1000311970,Right,NOR_DEM,2d11f4de-2bb7-49ce-b347-38f74c1a8277,46.26264,-129.5232,13.2314,4.93723,-5.29811,-12.71935,-2.26489,6.24686,-7.14898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
