PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-10,18:06:35.66,1,1,"Williams, Tyrell",10108260,Right,PRE_BLH,"Natividad, Gabriel",1000235635,Right,WIN_EAG,Undefined,1,Top,0,0,0,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.45178,-2.141589,-2.072551,1990.144121,192.517852,12:30,6.3387,1.38633,6.21302,-17.65572,19.0771,3.93268,2.88863,-0.19962,78.73043,-5.547627,-1.36304,0.436213,67.28081,47.54763,162.282756,3609.279381,-107.04419,50.46068,25.32836,164.62581,50.21608,169.961701,3.256557,-2.73854,11.00768,-1.2328,50,6.16919,4.43227,-126.76546,-5.20414,-4.37456,30.3382,-14.59023,PRE_BLH,WIN_EAG,PresbyterianCollege,D1,BSOU,20260410-PresbyterianCollege-1,8ab75d00-3529-11f1-bb33-5f4c0c2ed946,86.4084,53.91588,,8.72135,,,,3.18876,3.14154,0.17407,e711c414-0778-4fea-aa1f-fbc2252565fd,2026-04-10,22:06:35.66,2026-04-10T18:06:35.6612608-04:00,2026-04-10T22:06:35.6612608Z,Popup,v3,471507,471494,513f5a97ab5b4244be27804aabaa3c55,"Hyneman, Layton",10051477,Right,PRE_BLH,2bca4839-7e8b-4a93-aaa2-01522c500f8c,54.28768,-127.78749,15.1691,6.33622,-4.71262,-7.29512,-1.38459,4.57964,-2.18728,342.481413,3.18881,-63.44969,1.81857,1.01952,-0.07739,-0.13259,0.08717,-0.02169,0.00193,3.14212,72.78997,-30.40127,3.67764,-0.48857,-0.02759,0.03075,-0.00484,0.00019,0.17415,20.26772,-4.36375,0.46776,-0.13709,0.07847,-0.04087,0.01032,-0.00095,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
2,2026-04-10,18:06:58.84,1,2,"Williams, Tyrell",10108260,Right,PRE_BLH,"Natividad, Gabriel",1000235635,Right,WIN_EAG,Undefined,1,Top,0,0,1,Undefined,Changeup,HitByPitch,Undefined,Undefined,Undefined,0,0,,86.78802,-1.689816,-0.84302,1711.805522,206.524436,1:00,6.40728,1.19149,5.88584,-19.17367,18.61033,8.5791,3.23961,1.12349,77.97605,-5.360845,0.696785,0.44241,,,,,,,,,,,,-4.70547,10.51697,-1.12857,50,6.26014,1.49968,-125.80853,-4.25602,-7.38996,30.30931,-15.65716,PRE_BLH,WIN_EAG,PresbyterianCollege,D1,BSOU,20260410-PresbyterianCollege-1,9886fa30-3529-11f1-bb33-5f4c0c2ed946,85.19791,,,8.81198,,,,,,,e711c414-0778-4fea-aa1f-fbc2252565fd,2026-04-10,22:06:58.84,2026-04-10T18:06:58.8417024-04:00,2026-04-10T22:06:58.8417024Z,,v3,471507,471494,513f5a97ab5b4244be27804aabaa3c55,"Hyneman, Layton",10051477,Right,PRE_BLH,8f6dccc7-34f9-4c5c-85a5-d8a47023b519,54.61465,-126.9154,15.15466,6.40512,-3.68423,-7.82858,-1.18827,1.76955,-3.69498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-10,18:07:35.62,2,1,"Williams, Tyrell",10108260,Right,PRE_BLH,"Skowronski, Josh",1000145453,Left,WIN_EAG,Undefined,1,Top,0,0,0,Undefined,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.90761,-1.818326,-1.762212,1851.480768,224.428451,1:30,6.24576,1.66907,5.97105,-21.91419,15.59993,13.92765,2.73234,1.19533,78.27444,-5.977134,0.741435,0.440828,,,,,,,,,,,,-7.68241,8.99548,-1.53692,50,6.08956,3.29065,-125.95031,-4.6472,-12.12751,29.70135,-17.97372,PRE_BLH,WIN_EAG,PresbyterianCollege,D1,BSOU,20260410-PresbyterianCollege-1,ae7265a0-3529-11f1-bb33-5f4c0c2ed946,85.50379,,,8.63317,,,,,,,e711c414-0778-4fea-aa1f-fbc2252565fd,2026-04-10,22:07:35.62,2026-04-10T18:07:35.6265984-04:00,2026-04-10T22:07:35.6265984Z,,v3,471507,471494,513f5a97ab5b4244be27804aabaa3c55,"Hyneman, Layton",10051477,Right,PRE_BLH,ce0c22c7-a622-4622-a804-8779785ee282,54.5279,-127.01358,14.85067,6.24441,-4.00376,-8.98686,-1.66249,3.7248,-6.06375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-10,18:07:57.89,2,2,"Williams, Tyrell",10108260,Right,PRE_BLH,"Skowronski, Josh",1000145453,Left,WIN_EAG,Undefined,1,Top,0,0,1,Undefined,Sinker,InPlay,Undefined,Popup,Single,0,0,,89.20462,-2.233657,-1.341447,1860.94913,221.231281,1:15,6.30116,1.65922,6.04257,-20.46363,14.6958,11.83434,2.52608,1.40312,81.15951,-6.099361,0.789422,0.426768,67.9854,34.793574,-16.499974,4510.101331,101.87311,51.98538,-41.4953,217.62874,216.9267,-27.108519,3.849264,-6.53902,8.60162,-1.56112,50,6.11588,2.54883,-129.45529,-5.67252,-11.01056,28.9824,-17.69046,PRE_BLH,WIN_EAG,PresbyterianCollege,D1,BSOU,20260410-PresbyterianCollege-1,bbbad170-3529-11f1-bb33-5f4c0c2ed946,88.3206,52.60781,,8.04511,,,,1.98991,2.64463,-1.39965,e711c414-0778-4fea-aa1f-fbc2252565fd,2026-04-10,22:07:57.89,2026-04-10T18:07:57.8908672-04:00,2026-04-10T22:07:57.8908672Z,FlyBall,v3,471507,471494,513f5a97ab5b4244be27804aabaa3c55,"Hyneman, Layton",10051477,Right,PRE_BLH,21e80050-88cb-4219-997f-710aa8d5cf34,54.45985,-130.44994,14.4912,6.30014,-5.0654,-8.84523,-1.65508,2.9267,-5.50528,146.281436,1.98969,78.52013,-14.30597,3.30432,-0.78651,0.21823,-0.05694,0.00939,-0.00065,2.64516,56.8813,-17.63702,0.84851,0.11181,-0.14622,0.05406,-0.00901,0.00057,-1.39959,-23.25837,-1.56242,0.56756,-0.14412,0.02513,-0.00294,0.00025,-1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2026-04-10,18:08:36.71,3,1,"Williams, Tyrell",10108260,Right,PRE_BLH,"Wouters, Corey",1000472631,Left,WIN_EAG,Undefined,1,Top,0,0,0,Undefined,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.2779,-1.576057,-1.410754,1783.155859,217.632111,1:15,6.33345,1.31646,6.03351,-22.05096,14.583,10.30871,3.03553,0.8688,79.55823,-5.734267,0.444776,0.435626,,,,,,,,,,,,-5.71036,8.32764,-1.21171,50,6.19831,2.6998,-126.70369,-4.15131,-9.23948,27.01726,-18.69972,PRE_BLH,WIN_EAG,PresbyterianCollege,D1,BSOU,20260410-PresbyterianCollege-1,d2e26660-3529-11f1-bb33-5f4c0c2ed946,86.52486,,,7.71968,,,,,,,e711c414-0778-4fea-aa1f-fbc2252565fd,2026-04-10,22:08:36.71,2026-04-10T18:08:36.7121920-04:00,2026-04-10T22:08:36.7121920Z,,v3,471507,471494,513f5a97ab5b4244be27804aabaa3c55,"Hyneman, Layton",10051477,Right,PRE_BLH,337b302e-8ed9-466b-8bff-2f635c5ea0d7,54.46762,-127.65277,13.50863,6.3326,-3.49442,-9.34986,-1.31225,3.02437,-4.61974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-10,18:09:00.41,3,2,"Williams, Tyrell",10108260,Right,PRE_BLH,"Wouters, Corey",1000472631,Left,WIN_EAG,Undefined,1,Top,0,0,1,Undefined,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,74.88751,0.470906,-2.663448,2223.985303,35.577024,7:15,5.98517,1.59338,5.93896,-56.73708,-6.39067,-5.79394,1.69444,-1.36217,68.48081,-9.931263,-3.704795,0.510688,,,,,,,,,,,,2.13819,-2.97599,-1.37741,50,5.99077,5.25661,-108.64878,-0.81976,2.52042,21.49916,-35.682,PRE_BLH,WIN_EAG,PresbyterianCollege,D1,BSOU,20260410-PresbyterianCollege-1,e10c0a70-3529-11f1-bb33-5f4c0c2ed946,73.80718,,,6.4067,,,,,,,e711c414-0778-4fea-aa1f-fbc2252565fd,2026-04-10,22:09:00.41,2026-04-10T18:09:00.4192768-04:00,2026-04-10T22:09:00.4192768Z,,v3,471507,471494,513f5a97ab5b4244be27804aabaa3c55,"Hyneman, Layton",10051477,Right,PRE_BLH,5e5192c5-b937-4617-83ec-f5d18f36301e,54.565,-109.54837,10.74958,5.99384,0.67327,-17.841,-1.59515,5.15115,1.26021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-10,18:09:21.66,3,3,"Williams, Tyrell",10108260,Right,PRE_BLH,"Wouters, Corey",1000472631,Left,WIN_EAG,Undefined,1,Top,0,1,1,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.68052,-1.818027,-4.11967,2004.822919,237.385666,2:00,5.97045,1.4921,6.74697,-30.45277,11.31965,15.55839,1.76688,-0.98168,73.90798,-7.563411,-1.288123,0.465175,,,,,,,,,,,,-9.42878,6.91709,-1.22648,50,5.83888,7.90962,-117.03955,-4.50688,-13.04449,22.62729,-22.60444,PRE_BLH,WIN_EAG,PresbyterianCollege,D1,BSOU,20260410-PresbyterianCollege-1,edb1f4b0-3529-11f1-bb33-5f4c0c2ed946,81.02852,,,6.77254,,,,,,,e711c414-0778-4fea-aa1f-fbc2252565fd,2026-04-10,22:09:21.66,2026-04-10T18:09:21.6611328-04:00,2026-04-10T22:09:21.6611328Z,,v3,471507,471494,513f5a97ab5b4244be27804aabaa3c55,"Hyneman, Layton",10051477,Right,PRE_BLH,4cfdcd20-f4cd-4149-a4a8-4ace61cfada4,53.7561,-117.76348,11.31364,5.97151,-3.78368,-11.30222,-1.48622,8.32696,-6.52224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-10,18:09:41.07,3,4,"Williams, Tyrell",10108260,Right,PRE_BLH,"Wouters, Corey",1000472631,Left,WIN_EAG,Undefined,1,Top,0,2,1,Undefined,Changeup,InPlay,Undefined,LineDrive,FieldersChoice,1,1,,86.84711,-2.874733,-2.524997,1838.305719,215.388087,1:15,6.34281,1.31445,6.08551,-22.44316,14.50666,9.44323,1.80813,-0.23616,79.45161,-7.088609,-0.824716,0.437499,83.26768,-18.232781,-45.192387,,,,,7.53453,4.97236,-29.511516,0.049447,-5.62969,8.67902,-1.12443,50,6.1085,5.18389,-125.94541,-7.00271,-9.01744,26.24144,-18.27233,PRE_BLH,WIN_EAG,PresbyterianCollege,D1,BSOU,20260410-PresbyterianCollege-1,f93e0a80-3529-11f1-bb33-5f4c0c2ed946,86.15428,1.89292,,7.3955,,,,2.50742,1.89292,0.36534,e711c414-0778-4fea-aa1f-fbc2252565fd,2026-04-10,22:09:41.07,2026-04-10T18:09:41.0754560-04:00,2026-04-10T22:09:41.0754560Z,GroundBall,v3,471507,471494,513f5a97ab5b4244be27804aabaa3c55,"Hyneman, Layton",10051477,Right,PRE_BLH,86c23f2c-2fa3-445d-9f10-783281b153a7,54.4173,-126.86245,13.12072,6.34206,-6.36417,-9.13616,-1.3111,5.49902,-4.50872,180,2.50621,81.89643,,,,,,,,1.89348,-38.28156,,,,,,,,0.36656,-82.44826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
9,2026-04-10,18:10:28.91,4,1,"Williams, Tyrell",10108260,Right,PRE_BLH,"Hernandez, Jaylen",1000193856,Left,WIN_EAG,Undefined,1,Top,1,0,0,Undefined,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,87.44184,-2.280229,-1.986571,1994.602463,201.827148,12:45,6.32738,1.54014,6.01107,-16.65115,20.396,7.613,2.82485,0.33334,78.64389,-5.498095,-0.618043,0.438075,,,,,,,,,,,,-4.54583,11.61095,-1.38812,50,6.13908,4.0742,-126.66141,-5.47511,-7.25517,30.10747,-13.64283,PRE_BLH,WIN_EAG,PresbyterianCollege,D1,BSOU,20260410-PresbyterianCollege-1,15c61e40-352a-11f1-bb33-5f4c0c2ed946,86.04101,,,8.79794,,,,,,,e711c414-0778-4fea-aa1f-fbc2252565fd,2026-04-10,22:10:28.91,2026-04-10T18:10:28.9108992-04:00,2026-04-10T22:10:28.9108992Z,,v3,471507,471494,513f5a97ab5b4244be27804aabaa3c55,"Hyneman, Layton",10051477,Right,PRE_BLH,befec99b-790b-4019-8c71-588c353acf1c,54.48736,-127.7236,15.05374,6.32375,-4.99379,-6.82142,-1.53637,4.33016,-3.62759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-10,18:10:49.41,4,2,"Williams, Tyrell",10108260,Right,PRE_BLH,"Hernandez, Jaylen",1000193856,Left,WIN_EAG,Undefined,1,Top,1,0,1,Undefined,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,88.3931,-3.93984,-2.123541,2059.992041,217.629824,1:15,6.30403,1.53671,5.93513,-18.17127,18.25466,13.01875,1.12613,0.6505,79.75626,-7.399589,0.214683,0.434387,,,,,,,,,,,,-7.38914,11.05083,-1.37453,50,5.97868,4.19848,-127.86853,-9.33076,-12.02808,30.50241,-14.18544,PRE_BLH,WIN_EAG,PresbyterianCollege,D1,BSOU,20260410-PresbyterianCollege-1,21f5ee20-352a-11f1-bb33-5f4c0c2ed946,86.77156,,,8.63684,,,,,,,e711c414-0778-4fea-aa1f-fbc2252565fd,2026-04-10,22:10:49.41,2026-04-10T18:10:49.4134272-04:00,2026-04-10T22:10:49.4134272Z,,v3,471507,471494,513f5a97ab5b4244be27804aabaa3c55,"Hyneman, Layton",10051477,Right,PRE_BLH,6cf95863-047b-4732-bc1a-84cff9a7d30d,54.56556,-128.95303,15.2512,6.30146,-8.82641,-7.09272,-1.53141,4.62613,-6.01404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
