PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-14,12:04:43.06,1,1,"Watkins, Jordan",838213,Right,AIR_FOR,"Carpenter, Kaden",805890,Left,UTA_WOL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Out,1,0,,91.57408,-1.791575,-2.705902,1941.740029,222.594953,1:30,5.89208,1.18888,5.50277,-23.73308,9.47162,7.92626,2.23633,-0.68318,85.44931,-6.139625,-1.294651,0.414735,108.79933,18.116747,25.762376,2143.765295,97.77322,30.39217,50.40182,337.51792,325.42016,30.542336,3.166251,-4.64583,5.44646,-0.95812,50,5.71924,5.94683,-133.08483,-5.04437,-8.50579,22.98178,-22.20244,AIR_FOR,UTA_WOL,FalconField,D1,MW,20260414-FalconField-1,74efb8e0-382c-11f1-8a49-59a193495c76,90.88308,37.81685,,6.12478,,,,2.48915,2.38252,0.60534,494361b8-378a-4b80-969e-146363b337a1,2026-04-14,18:04:43.06,2026-04-14T12:04:43.0639616-06:00,2026-04-14T18:04:43.0639616Z,LineDrive,v3,471472,471519,4433630f92e7484cafdcc5ed270ff01e,"Archuleta, Dylan",838211,Right,AIR_FOR,c12ec18c-baa9-4af4-9671-e4e1a511949d,54.99813,-133.94516,11.49089,5.89252,-4.21323,-11.10122,-1.1867,6.26525,-4.2529,233.002643,2.4896,136.57027,-24.78104,5.57468,-1.10381,0.16754,-0.01802,0.00092,1E-05,2.3823,49.62812,-19.17782,1.57735,-0.33227,0.09187,-0.02193,0.00364,-0.00027,0.60506,65.92887,-4.10861,-0.05596,0.07764,-0.00288,-0.00417,0.00096,-6E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
2,2026-04-14,12:05:17.69,2,1,"Watkins, Jordan",838213,Right,AIR_FOR,"Hamlin, Mason",830618,Right,UTA_WOL,Undefined,1,Top,1,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.34845,-1.36077,-2.945887,2038.19004,232.21055,1:45,5.88254,1.37085,5.41944,-23.39879,9.25351,10.89422,2.65607,-0.48317,86.3375,-5.640743,-1.009835,0.411271,,,,,,,,,,,,-6.12327,5.21016,-1.117,50,5.74512,6.41754,-134.23064,-4.08043,-11.44684,22.34676,-22.43419,AIR_FOR,UTA_WOL,FalconField,D1,MW,20260414-FalconField-1,899f48f0-382c-11f1-8a49-59a193495c76,91.64859,,,6.01094,,,,,,,494361b8-378a-4b80-969e-146363b337a1,2026-04-14,18:05:17.69,2026-04-14T12:05:17.6945152-06:00,2026-04-14T18:05:17.6945152Z,,v3,471472,471519,4433630f92e7484cafdcc5ed270ff01e,"Archuleta, Dylan",838211,Right,AIR_FOR,8706a223-fd47-4514-93d4-a42fc564a687,55.08097,-135.07388,11.17338,5.88312,-3.23389,-11.21709,-1.36731,6.84947,-5.72342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-14,12:05:35.76,2,2,"Watkins, Jordan",838213,Right,AIR_FOR,"Hamlin, Mason",830618,Right,UTA_WOL,Undefined,1,Top,1,0,1,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,77.49763,1.480023,-1.127838,2189.04081,0.048479,6:00,6.00423,1.078,5.04544,-52.25215,-4.6063,-0.00504,3.04648,0.01363,71.72416,-7.947443,-1.128731,0.496803,,,,,,,,,,,,-0.28551,-2.24319,-0.97051,50,6.10326,2.21603,-112.55243,1.04353,-0.36914,18.91528,-35.0743,AIR_FOR,UTA_WOL,FalconField,D1,MW,20260414-FalconField-1,946ddb20-382c-11f1-8a49-59a193495c76,75.87005,,,5.77348,,,,,,,494361b8-378a-4b80-969e-146363b337a1,2026-04-14,18:05:35.76,2026-04-14T12:05:35.7627904-06:00,2026-04-14T18:05:35.7627904Z,,v3,471472,471519,4433630f92e7484cafdcc5ed270ff01e,"Archuleta, Dylan",838211,Right,AIR_FOR,3ae7f291-52c6-4bab-b685-9c3c366ac28d,55.45459,-113.46541,9.45764,6.01204,2.73646,-17.53715,-1.0779,2.23384,-0.18457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-14,12:05:55.17,2,3,"Watkins, Jordan",838213,Right,AIR_FOR,"Hamlin, Mason",830618,Right,UTA_WOL,Undefined,1,Top,1,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.12095,-2.095674,-5.066723,2006.51695,224.138145,1:30,6.07035,1.23716,5.54423,-22.93836,10.80847,9.61197,2.19179,-2.70921,84.76905,-6.306061,-3.362408,0.418108,,,,,,,,,,,,-6.00788,6.2287,-0.80387,50,5.87278,11.28028,-131.99372,-5.67741,-10.80343,23.01547,-20.97353,AIR_FOR,UTA_WOL,FalconField,D1,MW,20260414-FalconField-1,9fead5c0-382c-11f1-8a49-59a193495c76,90.15009,,,6.35191,,,,,,,494361b8-378a-4b80-969e-146363b337a1,2026-04-14,18:05:55.17,2026-04-14T12:05:55.1744000-06:00,2026-04-14T18:05:55.1744000Z,,v3,471472,471519,4433630f92e7484cafdcc5ed270ff01e,"Archuleta, Dylan",838211,Right,AIR_FOR,32416e89-805a-44aa-88bb-143bc51a31ee,54.9553,-132.85496,11.50773,6.07054,-4.89258,-10.48676,-1.23354,11.68454,-5.40172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-14,12:06:13.72,2,4,"Watkins, Jordan",838213,Right,AIR_FOR,"Hamlin, Mason",830618,Right,UTA_WOL,Undefined,1,Top,1,1,2,Slider,Slider,InPlay,Undefined,FlyBall,Out,1,0,,80.61174,0.065044,-2.667263,2121.595537,153.372714,11:00,5.54667,1.57489,4.9539,-39.2423,5.06563,-1.8878,2.338,-1.10436,74.43072,-7.037897,-2.999839,0.479085,94.0962,43.466749,21.122676,4878.873116,99.96688,94.81907,45.89775,319.33009,314.86246,29.574519,5.907011,0.25213,2.83693,-1.3146,50,5.52049,5.52615,-116.94857,-1.28561,0.35145,20.70713,-28.21944,AIR_FOR,UTA_WOL,FalconField,D1,MW,20260414-FalconField-1,ab005c00-382c-11f1-8a49-59a193495c76,78.67596,124.22379,,6.18102,,,,2.08327,2.56643,1.07066,494361b8-378a-4b80-969e-146363b337a1,2026-04-14,18:06:13.72,2026-04-14T12:06:13.7293312-06:00,2026-04-14T18:06:13.7293312Z,FlyBall,v3,471472,471519,4433630f92e7484cafdcc5ed270ff01e,"Archuleta, Dylan",838211,Right,AIR_FOR,e431bad2-17e6-4be3-b967-af7eb9b3aba8,55.54537,-117.92635,10.35356,5.54973,0.0469,-14.10972,-1.57515,5.50955,0.17572,199.767052,2.08985,93.32258,-21.12697,4.73006,-0.63196,-0.00306,0.01673,-0.00235,0.0001,2.56375,94.96345,-22.41084,2.16705,-0.3531,0.02493,0.00602,-0.00143,9E-05,1.07172,36.07385,-2.63912,0.19015,0.02156,-0.00466,-0.00077,0.00023,-1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
6,2026-04-14,12:06:49.19,3,1,"Watkins, Jordan",838213,Right,AIR_FOR,"Katschke, Hunter",701772,Right,UTA_WOL,Undefined,1,Top,2,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.17583,0.197631,-2.385963,2128.376953,247.511536,2:15,5.41518,1.73994,5.34666,-41.3551,3.18358,4.20067,2.15446,-0.14927,73.33667,-7.360753,-1.639749,0.48033,,,,,,,,,,,,-2.79256,1.97874,-1.5281,50,5.40352,4.67359,-116.26787,-1.02581,-3.8096,22.49255,-29.47466,AIR_FOR,UTA_WOL,FalconField,D1,MW,20260414-FalconField-1,c03066b0-382c-11f1-8a49-59a193495c76,78.4719,,,6.83916,,,,,,,494361b8-378a-4b80-969e-146363b337a1,2026-04-14,18:06:49.19,2026-04-14T12:06:49.1937792-06:00,2026-04-14T18:06:49.1937792Z,,v3,471472,471519,4433630f92e7484cafdcc5ed270ff01e,"Archuleta, Dylan",838211,Right,AIR_FOR,01ce5694-1429-41c1-b8e1-cdeae7ae9f18,55.15023,-117.25997,11.24627,5.4201,0.27426,-14.73733,-1.73795,4.84162,-1.9048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-14,12:07:06.68,3,2,"Watkins, Jordan",838213,Right,AIR_FOR,"Katschke, Hunter",701772,Right,UTA_WOL,Undefined,1,Top,2,0,1,ChangeUp,Changeup,BallinDirt,Undefined,Undefined,Undefined,0,0,,79.7877,-2.797241,-3.974266,1970.218909,264.742222,2:45,5.3612,1.67613,5.25834,-41.47459,2.95677,19.19005,-0.7315,-0.46459,74.80704,-10.251704,-0.568759,0.479751,,,,,,,,,,,,-10.68296,2.40307,-1.32683,50,5.07286,7.30263,-115.70464,-7.09904,-14.7344,18.06412,-28.85966,AIR_FOR,UTA_WOL,FalconField,D1,MW,20260414-FalconField-1,caa0ac40-382c-11f1-8a49-59a193495c76,78.56664,,,4.98066,,,,,,,494361b8-378a-4b80-969e-146363b337a1,2026-04-14,18:07:06.68,2026-04-14T12:07:06.6895872-06:00,2026-04-14T18:07:06.6895872Z,,v3,471472,471519,4433630f92e7484cafdcc5ed270ff01e,"Archuleta, Dylan",838211,Right,AIR_FOR,39b16bb2-d2ed-4991-a4b4-1032e4cad425,55.24433,-116.52053,9.03206,5.36406,-5.79557,-14.42983,-1.67169,7.96812,-7.3672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-14,12:07:25.95,3,3,"Watkins, Jordan",838213,Right,AIR_FOR,"Katschke, Hunter",701772,Right,UTA_WOL,Undefined,1,Top,2,1,1,Slider,Changeup,InPlay,Undefined,GroundBall,Double,0,0,,78.00661,0.68846,-3.1603,1908.819676,267.483665,3:00,5.44611,1.65101,5.15414,-44.46069,2.0837,19.00552,2.39015,0.25688,72.60706,-7.356699,0.202399,0.491027,104.46766,4.016883,-41.259173,3302.296097,,,,96.03462,93.73639,-42.79025,0.665695,-10.31327,1.19677,-1.37117,50,5.47575,5.5182,-113.30953,-0.16995,-13.62551,17.55825,-30.59293,AIR_FOR,UTA_WOL,FalconField,D1,MW,20260414-FalconField-1,d6196120-382c-11f1-8a49-59a193495c76,76.76249,3.86968,,5.39955,,,,2.5853,2.63147,-0.42478,494361b8-378a-4b80-969e-146363b337a1,2026-04-14,18:07:25.95,2026-04-14T12:07:25.9514368-06:00,2026-04-14T18:07:25.9514368Z,GroundBall,v3,471472,471519,4433630f92e7484cafdcc5ed270ff01e,"Archuleta, Dylan",838211,Right,AIR_FOR,61d4b0c8-b2a5-4c6a-9f55-cf763c5f00f0,55.34795,-114.13523,8.77913,5.44991,1.26873,-15.29647,-1.64574,6.15896,-6.81275,,2.62283,114.13604,-18.42061,,,,,,,2.66591,10.03427,-21.16179,,,,,,,-0.41972,-100.90073,5.29516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2026-04-14,12:08:09.64,4,1,"Watkins, Jordan",838213,Right,AIR_FOR,"Strong, Mason",701767,Right,UTA_WOL,Undefined,1,Top,2,0,0,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,89.87566,-1.463251,-2.070773,2078.984065,229.118765,1:45,6.02848,1.2499,5.63985,-24.18135,10.22882,10.7426,2.64717,0.21253,83.47822,-5.920182,-0.151662,0.422197,94.22359,5.409567,-14.222587,1413.738971,,,,106.92299,104.17061,-15.453125,0.827848,-5.98776,5.82674,-1.08117,50,5.88853,4.27058,-130.65524,-4.19241,-10.51323,23.46922,-21.94351,AIR_FOR,UTA_WOL,FalconField,D1,MW,20260414-FalconField-1,f01a06b0-382c-11f1-8a49-59a193495c76,89.27697,4.81359,,6.39744,,,,1.66139,2.75852,-0.26067,494361b8-378a-4b80-969e-146363b337a1,2026-04-14,18:08:09.64,2026-04-14T12:08:09.6430592-06:00,2026-04-14T18:08:09.6430592Z,GroundBall,v3,471472,471519,4433630f92e7484cafdcc5ed270ff01e,"Archuleta, Dylan",838211,Right,AIR_FOR,2fc45c61-b434-44b0-a47e-ca6cb23bbfdc,54.86043,-131.52541,11.73461,6.02889,-3.37882,-10.97176,-1.24674,4.66038,-5.25661,49.004582,1.69428,132.8236,-12.58494,,,,,,,2.80031,12.34666,-19.05722,,,,,,,-0.25075,-33.96502,-0.18981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2026-04-14,12:11:22.09,1,1,"Chancellor, Jordan",1000360206,Right,UTA_WOL,"Bradshaw, Kayden",833538,Right,AIR_FOR,Undefined,1,Bottom,0,0,0,Cutter,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.56527,2.625946,-2.095595,2350.409646,199.242856,12:45,6.17727,1.4754,5.48898,-20.98922,14.51347,4.67642,6.88809,-0.09619,81.36037,-1.310542,-1.26401,0.428846,,,,,,,,,,,,-2.89583,6.88926,-1.29485,50,6.39343,4.52782,-129.7453,5.25534,-4.93565,27.17667,-20.43206,AIR_FOR,UTA_WOL,FalconField,D1,MW,20260414-FalconField-1,62c92830-382d-11f1-8a49-59a193495c76,87.89262,,,8.2049,,,,,,,494361b8-378a-4b80-969e-146363b337a1,2026-04-14,18:11:22.09,2026-04-14T12:11:22.0964864-06:00,2026-04-14T18:11:22.0964864Z,,v3,471472,471519,4433630f92e7484cafdcc5ed270ff01e,"Strong, Mason",701767,Right,UTA_WOL,79cf73b3-a186-4812-aad3-cc3c8b88dd08,55.00352,-130.78915,13.58834,6.17651,6.04013,-10.21603,-1.4724,4.7174,-2.46782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
