PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-14,18:03:38.15,1,1,"Miller, Cole",832397,Left,ELO_PHO,"Natividad, Gabriel",1000235635,Right,WIN_EAG,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.37385,-1.644023,2.888569,1796.677091,133.810339,10:30,5.75625,-1.26112,6.04885,-28.42982,11.66694,-10.80221,1.86278,0.51509,76.298,-6.950937,0.945438,0.455749,,,,,,,,,,,,6.41351,6.86807,1.042,50,5.6128,-5.69175,-120.9656,-4.33531,9.47962,24.13784,-22.02256,ELO_PHO,WIN_EAG,LathamPark,D1,CAA,20260414-LathamPark-1,ca975a70-384d-11f1-a938-e35b5f64e60a,82.70433,,,7.07584,,,,,,,69bac0b0-ad5a-48c9-8faa-f21ebce4db3d,2026-04-14,22:03:38.15,2026-04-14T18:03:38.1500000-04:00,2026-04-14T22:03:38.1500000Z,,v3,471503,471494,d9f0be8367e04324ad25aae56a859250,"Bogdanchik, Gavin",1000052136,Right,ELO_PHO,5eb538a0-e8e1-49da-88fc-ee46619c77ae,54.45116,-121.85056,12.06892,5.75695,-3.5279,-11.01128,1.25704,-6.0393,4.73981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-14,18:03:49.91,1,2,"Miller, Cole",832397,Left,ELO_PHO,"Natividad, Gabriel",1000235635,Right,WIN_EAG,Undefined,1,Top,0,0,1,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,83.38852,-1.844913,2.142076,1691.248905,138.658485,10:30,5.71368,-1.41015,6.05869,-29.2421,10.90028,-8.41693,1.56743,-0.12795,76.19186,-7.300076,0.626204,0.456009,,,,,,,,,,,,5.00343,6.5491,1.24835,50,5.55459,-4.2084,-121.01709,-4.78671,7.37791,24.86586,-22.51696,ELO_PHO,WIN_EAG,LathamPark,D1,CAA,20260414-LathamPark-1,d1997b50-384d-11f1-a938-e35b5f64e60a,82.65731,,,7.19666,,,,,,,69bac0b0-ad5a-48c9-8faa-f21ebce4db3d,2026-04-14,22:03:49.91,2026-04-14T18:03:49.9130000-04:00,2026-04-14T22:03:49.9130000Z,,v3,471503,471494,d9f0be8367e04324ad25aae56a859250,"Bogdanchik, Gavin",1000052136,Right,ELO_PHO,78a4c794-2361-4f58-b172-5a212abbad5e,54.44144,-121.92627,12.43293,5.71456,-3.96341,-11.25848,1.40716,-4.47817,3.68896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-14,18:04:12.14,1,3,"Miller, Cole",832397,Left,ELO_PHO,"Natividad, Gabriel",1000235635,Right,WIN_EAG,Undefined,1,Top,0,0,2,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,84.73092,-0.961523,2.528413,1772.830984,144.698163,10:45,5.68401,-1.44824,5.79925,-23.02623,15.92395,-10.42457,2.86988,0.03629,77.726,-5.276851,0.662464,0.449186,,,,,,,,,,,,6.05158,8.76441,1.24686,50,5.59121,-5.02143,-123.02597,-2.77305,9.30315,23.70753,-18.70046,ELO_PHO,WIN_EAG,LathamPark,D1,CAA,20260414-LathamPark-1,ded2f300-384d-11f1-a938-e35b5f64e60a,83.91276,,,7.00492,,,,,,,69bac0b0-ad5a-48c9-8faa-f21ebce4db3d,2026-04-14,22:04:12.14,2026-04-14T18:04:12.1410000-04:00,2026-04-14T22:04:12.1410000Z,,v3,471503,471494,d9f0be8367e04324ad25aae56a859250,"Bogdanchik, Gavin",1000052136,Right,ELO_PHO,a5725da9-8894-4c6e-bde5-1eb7157a5986,54.70174,-123.92869,11.85377,5.68324,-2.06097,-9.35023,1.44481,-5.37567,4.65157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-14,18:04:32.88,1,4,"Miller, Cole",832397,Left,ELO_PHO,"Natividad, Gabriel",1000235635,Right,WIN_EAG,Undefined,1,Top,0,0,2,Sinker,Changeup,InPlay,Undefined,LineDrive,Single,0,0,,80.68922,-0.884463,0.900465,1815.248067,108.31465,9:30,5.61251,-1.23975,5.70613,-36.28407,6.71016,-16.37343,1.76458,-1.76513,74.46549,-7.553056,-2.032346,0.471929,72.12209,15.556471,12.089522,3288.662515,105.42445,17.50283,31.39478,189.57958,189.57958,19.270575,2.374627,8.67374,4.00244,1.17504,50,5.51556,-1.22719,-117.28671,-2.97781,12.12248,21.48956,-26.58023,ELO_PHO,WIN_EAG,LathamPark,D1,CAA,20260414-LathamPark-1,eb336fd0-384d-11f1-a938-e35b5f64e60a,79.86891,17.61653,,6.22373,,,,2.52923,1.95518,1.72126,69bac0b0-ad5a-48c9-8faa-f21ebce4db3d,2026-04-14,22:04:32.88,2026-04-14T18:04:32.8840000-04:00,2026-04-14T22:04:32.8840000Z,LineDrive,v3,471503,471494,d9f0be8367e04324ad25aae56a859250,"Bogdanchik, Gavin",1000052136,Right,ELO_PHO,764cc99c-3665-41b7-8ab7-08d3f8ae001a,54.79636,-118.16224,10.74478,5.61482,-1.89487,-13.29012,1.2351,-1.72109,6.06124,223.505469,2.52924,99.64311,-15.62827,3.03238,-0.52999,0.05144,0.00833,-0.00403,0.00052,1.95516,28.36944,-13.18143,0.22804,0.0613,0.01659,-0.01679,0.00599,-0.00078,1.72126,21.34282,3.64195,-1.3838,0.39548,-0.08509,0.01481,-0.00171,8E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2026-04-14,18:05:08.41,2,1,"Miller, Cole",832397,Left,ELO_PHO,"Skowronski, Josh",1000145453,Left,WIN_EAG,Undefined,1,Top,0,0,0,Fastball,Changeup,InPlay,Undefined,GroundBall,Out,2,0,,84.27152,-1.177101,3.152816,1919.747902,133.616604,10:30,5.65526,-1.37708,5.9617,-26.24832,13.22831,-12.50123,2.37459,0.50765,76.79711,-6.097213,0.909332,0.452211,95.5494,-10.44471,7.310343,,,,,14.54805,14.54805,4.530037,0.09414,7.38835,7.52496,1.13387,50,5.54709,-6.24665,-122.22388,-3.3124,11.11854,25.25264,-20.84992,ELO_PHO,WIN_EAG,LathamPark,D1,CAA,20260414-LathamPark-1,00643dd0-384e-11f1-a938-e35b5f64e60a,83.35137,2.39554,,7.47441,,,,1.6131,2.39554,-0.50452,69bac0b0-ad5a-48c9-8faa-f21ebce4db3d,2026-04-14,22:05:08.41,2026-04-14T18:05:08.4160000-04:00,2026-04-14T22:05:08.4160000Z,GroundBall,v3,471503,471494,d9f0be8367e04324ad25aae56a859250,"Bogdanchik, Gavin",1000052136,Right,ELO_PHO,18d795bc-700e-4e81-83fa-7f846830b9ca,54.53849,-123.15801,12.62632,5.65535,-2.54114,-10.42496,1.37255,-6.65794,5.55927,,1.60974,136.91798,,,,,,,,2.39616,-25.44645,,,,,,,,-0.50495,17.56472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
6,2026-04-14,18:05:41.57,3,1,"Miller, Cole",832397,Left,ELO_PHO,"Wouters, Corey",1000472631,Left,WIN_EAG,Undefined,1,Top,2,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.84858,-2.314371,1.455818,1717.228575,133.683553,10:30,5.72245,-1.34993,5.8131,-27.15942,12.90485,-12.11465,1.30523,-1.00547,76.6282,-7.368741,-0.717318,0.455564,,,,,,,,,,,,6.65902,7.66457,1.2381,50,5.51658,-2.61524,-121.65035,-5.76753,9.92684,25.02397,-20.74823,ELO_PHO,WIN_EAG,LathamPark,D1,CAA,20260414-LathamPark-1,1425eb70-384e-11f1-a938-e35b5f64e60a,82.73788,,,7.22038,,,,,,,69bac0b0-ad5a-48c9-8faa-f21ebce4db3d,2026-04-14,22:05:41.57,2026-04-14T18:05:41.5790000-04:00,2026-04-14T22:05:41.5790000Z,,v3,471503,471494,d9f0be8367e04324ad25aae56a859250,"Bogdanchik, Gavin",1000052136,Right,ELO_PHO,ef75927b-f58e-44cb-844b-205b6a27a779,54.687,-122.6107,12.51199,5.72264,-4.97127,-10.37411,1.34577,-2.9962,4.96342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-14,18:05:54.15,3,2,"Miller, Cole",832397,Left,ELO_PHO,"Wouters, Corey",1000472631,Left,WIN_EAG,Undefined,1,Top,2,1,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.57557,-2.720625,2.778817,1729.198382,141.113206,10:45,5.69186,-1.36711,5.7955,-25.79966,13.51194,-9.87764,1.00633,0.39659,77.59895,-7.513617,1.009996,0.451265,,,,,,,,,,,,5.87481,8.03902,1.14462,50,5.45225,-5.56487,-122.62259,-6.64615,8.94148,24.33196,-19.9386,ELO_PHO,WIN_EAG,LathamPark,D1,CAA,20260414-LathamPark-1,1ba37de0-384e-11f1-a938-e35b5f64e60a,83.52613,,,6.97662,,,,,,,69bac0b0-ad5a-48c9-8faa-f21ebce4db3d,2026-04-14,22:05:54.15,2026-04-14T18:05:54.1560000-04:00,2026-04-14T22:05:54.1560000Z,,v3,471503,471494,d9f0be8367e04324ad25aae56a859250,"Bogdanchik, Gavin",1000052136,Right,ELO_PHO,3eb579c1-71b9-48b8-9758-654a3f96ec20,54.70553,-123.55278,12.16598,5.69175,-5.88392,-9.9693,1.36389,-5.90669,4.47074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-14,18:06:10.25,3,3,"Miller, Cole",832397,Left,ELO_PHO,"Wouters, Corey",1000472631,Left,WIN_EAG,Undefined,1,Top,2,2,0,Fastball,Changeup,InPlay,Undefined,LineDrive,Single,0,0,,83.83005,-1.022437,2.370781,1803.710734,135.270663,10:30,5.66197,-1.2551,5.94375,-25.82978,14.1304,-12.65446,2.56017,-0.10925,76.22894,-5.876456,0.098386,0.454972,106.84207,8.119274,-18.287631,1866.575732,102.64124,7.92908,-39.5563,167.83102,164.82954,-22.912428,1.291868,7.24315,7.95638,1.07345,50,5.566,-4.54288,-121.63262,-2.94787,10.7685,25.54995,-20.34519,ELO_PHO,WIN_EAG,LathamPark,D1,CAA,20260414-LathamPark-1,25387ea0-384e-11f1-a938-e35b5f64e60a,82.84555,8.75027,,7.60111,,,,1.43297,2.53799,0.17257,69bac0b0-ad5a-48c9-8faa-f21ebce4db3d,2026-04-14,22:06:10.25,2026-04-14T18:06:10.2500000-04:00,2026-04-14T22:06:10.2500000Z,LineDrive,v3,471503,471494,d9f0be8367e04324ad25aae56a859250,"Bogdanchik, Gavin",1000052136,Right,ELO_PHO,481a5c7a-2876-47fc-9ea7-f2f242553f0d,54.55593,-122.5859,12.77497,5.66183,-2.18879,-10.1726,1.25045,-4.94466,5.38425,86.241179,1.43297,147.29536,-29.30513,7.17061,-1.68098,0.25861,0.09838,-0.09646,0.0247,2.53798,22.13185,-20.7569,2.07159,-0.5259,0.3286,-0.28726,0.15616,-0.03534,0.17257,-48.67829,-2.73662,1.31676,-0.37141,-0.07734,0.20725,-0.13177,0.03115,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2026-04-14,18:06:48.64,4,1,"Miller, Cole",832397,Left,ELO_PHO,"Hernandez, Jaylen",1000193856,Left,WIN_EAG,Undefined,1,Top,2,0,0,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,83.49946,-1.377866,3.273543,1925.113521,135.638069,10:30,5.67116,-1.52035,6.06813,-24.02989,16.23906,-14.49639,2.39124,0.30433,75.67118,-5.927691,0.667406,0.456727,32.64803,41.318937,-64.805615,3628.675812,,,,64.93048,61.81502,-68.878088,2.056726,8.54048,9.21571,1.27435,50,5.55149,-6.3704,-121.04044,-3.59804,12.53304,26.01288,-18.6501,ELO_PHO,WIN_EAG,LathamPark,D1,CAA,20260414-LathamPark-1,3c1e76b0-384e-11f1-a938-e35b5f64e60a,82.52732,17.73653,,7.82828,,,,2.62095,2.59801,-0.26315,69bac0b0-ad5a-48c9-8faa-f21ebce4db3d,2026-04-14,22:06:48.64,2026-04-14T18:06:48.6420000-04:00,2026-04-14T22:06:48.6420000Z,GroundBall,v3,471503,471494,d9f0be8367e04324ad25aae56a859250,"Bogdanchik, Gavin",1000052136,Right,ELO_PHO,c7bd0359-b1d3-421c-9908-bdded8153080,54.43159,-121.98912,13.00644,5.67031,-2.91788,-9.32505,1.51501,-6.82747,6.26652,140.330344,2.62091,15.31235,-4.25595,1.3329,-0.44388,0.24864,-0.14149,0.04435,-0.00535,2.59805,31.61219,-17.09182,0.6699,0.00374,-0.126,0.07489,-0.01627,0.00091,-0.26314,-32.54318,2.66495,-0.82441,0.26116,-0.14819,0.08672,-0.02819,0.00353,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2026-04-14,18:07:12.89,4,2,"Miller, Cole",832397,Left,ELO_PHO,"Hernandez, Jaylen",1000193856,Left,WIN_EAG,Undefined,1,Top,2,0,1,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,83.4107,-1.159958,2.781052,1809.189273,140.764821,10:45,5.69014,-1.53291,5.98435,-25.98686,14.21509,-10.52438,2.44801,0.1698,76.09731,-6.037028,0.890817,0.456347,30.69542,7.823349,-45.45526,1962.447181,,,,31.35386,30.03283,-43.92761,0.678294,6.25863,8.03847,1.31919,50,5.5841,-5.4766,-121.0259,-3.22616,9.24283,24.56831,-20.30277,ELO_PHO,WIN_EAG,LathamPark,D1,CAA,20260414-LathamPark-1,4a930670-384e-11f1-a938-e35b5f64e60a,82.59605,3.21397,,7.31339,,,,2.70994,2.58349,-0.15106,69bac0b0-ad5a-48c9-8faa-f21ebce4db3d,2026-04-14,22:07:12.89,2026-04-14T18:07:12.8950000-04:00,2026-04-14T22:07:12.8950000Z,GroundBall,v3,471503,471494,d9f0be8367e04324ad25aae56a859250,"Bogdanchik, Gavin",1000052136,Right,ELO_PHO,616d7b46-512f-47ed-bd9e-6b5b62026d7b,54.51579,-121.93916,12.28416,5.69,-2.47146,-10.15138,1.52915,-5.82018,4.62142,118.458422,2.70994,31.28596,-3.09516,0.24462,-0.04278,0.15019,-0.23425,0.19404,-0.06646,2.58349,6.12808,-14.99358,0.5279,-0.00883,-0.06928,0.08358,-0.06732,0.02308,-0.15106,-31.78715,-0.03258,-0.05088,-0.04264,-0.01211,0.03133,-0.02375,0.00777,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
