PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-14,18:07:22.71,1,1,"Arreola, Victor",809107,Right,FRE_BUL,"Lopez, Christian",10114317,Left,CSU_BAK,Undefined,1,Top,0,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.09575,-2.174225,-1.780486,1967.931238,217.571868,1:15,5.16153,1.65602,5.87168,-24.87852,17.39591,12.15394,1.06689,1.01455,73.9558,-6.878218,0.400616,0.467962,,,,,,,,,,,,-6.84481,10.08906,-1.51919,50,4.97138,3.22363,-118.93023,-5.2288,-9.61397,26.92319,-18.0033,FRE_BUL,CSU_BAK,PeteBeidenField,D1,MW,20260414-PeteBeidenField-1,7869c2a0-3867-11f1-aff6-4bb86e163eed,80.54602,,,8.13995,,,,,,,e6309ffd-552e-4dcd-9fbc-530089db6496,2026-04-15,01:07:22.71,2026-04-14T18:07:22.7130000-07:00,2026-04-15T01:07:22.7130000Z,,v3,471253,471252,98095c727ea74f6981598f396ad67c4d,"Payne, Ethan",1000024788,Right,FRE_BUL,f5497eef-8fe5-454f-9273-9763dc623339,54.62497,-119.97265,13.46159,5.16033,-4.53174,-9.00165,-1.65121,3.59587,-4.80699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-14,18:08:09.95,1,2,"Arreola, Victor",809107,Right,FRE_BUL,"Lopez, Christian",10114317,Left,CSU_BAK,Undefined,1,Top,0,1,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,81.49749,-2.750261,-2.684842,1935.709613,216.34685,1:15,5.21608,1.59875,6.02372,-24.32675,17.823,12.06485,0.63687,0.11569,74.4288,-7.327828,-0.51531,0.467271,,,,,,,,,,,,-7.04666,10.41749,-1.39528,50,4.98735,5.09279,-118.14573,-6.36086,-9.90906,23.58352,-17.52486,FRE_BUL,CSU_BAK,PeteBeidenField,D1,MW,20260414-PeteBeidenField-1,94944d10-3867-11f1-aff6-4bb86e163eed,80.66507,,,7.0687,,,,,,,e6309ffd-552e-4dcd-9fbc-530089db6496,2026-04-15,01:08:09.95,2026-04-14T18:08:09.9590000-07:00,2026-04-15T01:08:09.9590000Z,,v3,471253,471252,98095c727ea74f6981598f396ad67c4d,"Payne, Ethan",1000024788,Right,FRE_BUL,d81f3fe1-223d-4c41-a7f9-e7ed2a42cf3d,54.47515,-119.03568,11.79176,5.21491,-5.69954,-8.76243,-1.59451,5.46672,-4.95453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-14,18:08:24.22,1,3,"Arreola, Victor",809107,Right,FRE_BUL,"Lopez, Christian",10114317,Left,CSU_BAK,Undefined,1,Top,0,2,0,Fastball,Changeup,InPlay,Undefined,LineDrive,Out,1,0,,81.65501,-2.206287,-1.884445,1972.206712,199.793695,12:45,5.25282,1.51553,5.88775,-19.97371,22.41836,7.525,1.53758,0.39218,73.99366,-6.023682,-0.534619,0.468612,86.96491,27.155421,-20.58427,3891.090283,99.9124,46.91148,-46.01561,306.23573,298.59535,-31.985654,4.045743,-4.46949,12.63379,-1.36807,50,5.06361,3.6076,-118.37412,-5.08746,-6.26903,25.01638,-14.45361,FRE_BUL,CSU_BAK,PeteBeidenField,D1,MW,20260414-PeteBeidenField-1,9d12fbd0-3867-11f1-aff6-4bb86e163eed,80.43418,56.08337,,7.66135,,,,2.54549,1.64821,-0.40075,e6309ffd-552e-4dcd-9fbc-530089db6496,2026-04-15,01:08:24.22,2026-04-14T18:08:24.2240000-07:00,2026-04-15T01:08:24.2240000Z,LineDrive,v3,471253,471252,98095c727ea74f6981598f396ad67c4d,"Payne, Ethan",1000024788,Right,FRE_BUL,5f2c25c3-bea5-48a5-b3a7-3b14967998b2,54.60987,-119.34436,12.50819,5.25005,-4.52689,-7.2268,-1.5127,3.85074,-3.13451,140.368964,2.54512,106.25415,-22.38604,5.75477,-1.36589,0.32572,-0.07007,0.00998,-0.00062,1.64908,58.19007,-16.11,-0.15501,0.52268,-0.24813,0.06726,-0.00933,0.00051,-0.40068,-39.90338,-1.57549,1.10099,-0.3798,0.09079,-0.01515,0.00154,-7E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2026-04-14,18:09:04.69,2,1,"Arreola, Victor",809107,Right,FRE_BUL,"Miller, Taison",10183031,Left,CSU_BAK,Undefined,1,Top,1,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.20322,-0.876699,-1.539454,1968.603305,208.372846,1:00,5.32373,1.56585,5.90886,-22.14592,21.07186,10.48473,2.66414,1.01034,72.76373,-5.127108,0.342427,0.473154,,,,,,,,,,,,-5.82575,11.51713,-1.44796,50,5.24088,2.73912,-117.63453,-2.37385,-7.99198,26.67965,-16.37446,FRE_BUL,CSU_BAK,PeteBeidenField,D1,MW,20260414-PeteBeidenField-1,b534a830-3867-11f1-aff6-4bb86e163eed,79.66207,,,8.43949,,,,,,,e6309ffd-552e-4dcd-9fbc-530089db6496,2026-04-15,01:09:04.69,2026-04-14T18:09:04.6950000-07:00,2026-04-15T01:09:04.6950000Z,,v3,471253,471252,98095c727ea74f6981598f396ad67c4d,"Payne, Ethan",1000024788,Right,FRE_BUL,5e6f81bb-28fc-4d72-987c-cde4484310af,54.58364,-118.66955,13.33983,5.32065,-1.73861,-8.18723,-1.56024,3.04917,-3.99599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-14,18:09:24.37,2,2,"Arreola, Victor",809107,Right,FRE_BUL,"Miller, Taison",10183031,Left,CSU_BAK,Undefined,1,Top,1,0,1,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.39447,-2.125129,-3.997474,1973.27199,226.516662,1:30,5.22841,1.537,6.09931,-26.00639,14.73095,13.90509,1.09007,-1.00735,75.08856,-7.041202,-1.49837,0.459375,,,,,,,,,,,,-8.51615,8.74717,-1.23628,50,5.05097,7.89195,-120.63939,-5.23109,-12.31531,27.57066,-19.52461,FRE_BUL,CSU_BAK,PeteBeidenField,D1,MW,20260414-PeteBeidenField-1,c0f0f5c0-3867-11f1-aff6-4bb86e163eed,82.05148,,,8.30591,,,,,,,e6309ffd-552e-4dcd-9fbc-530089db6496,2026-04-15,01:09:24.37,2026-04-14T18:09:24.3760000-07:00,2026-04-15T01:09:24.3760000Z,,v3,471253,471252,98095c727ea74f6981598f396ad67c4d,"Payne, Ethan",1000024788,Right,FRE_BUL,63c7f030-6598-41d6-b547-bcd2615eff6b,54.39733,-121.64019,13.78533,5.22799,-4.52235,-9.7623,-1.53087,8.33899,-6.15766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-14,18:09:45.28,2,3,"Arreola, Victor",809107,Right,FRE_BUL,"Miller, Taison",10183031,Left,CSU_BAK,Undefined,1,Top,1,1,1,ChangeUp,Other,BallCalled,Undefined,Undefined,Undefined,0,0,,72.64716,-1.332417,-1.581117,1646.548626,244.558076,2:15,5.45063,1.30895,5.71196,-43.80337,10.20536,17.37021,0.55835,1.2831,66.18025,-9.415904,1.532066,0.528936,,,,,,,,,,,,-9.37977,6.16839,-1.18771,50,5.31215,2.2992,-105.33717,-3.70627,-10.3852,20.32831,-25.34448,FRE_BUL,CSU_BAK,PeteBeidenField,D1,MW,20260414-PeteBeidenField-1,cd72b630-3867-11f1-aff6-4bb86e163eed,71.26084,,,6.46692,,,,,,,e6309ffd-552e-4dcd-9fbc-530089db6496,2026-04-15,01:09:45.28,2026-04-14T18:09:45.2800000-07:00,2026-04-15T01:09:45.2800000Z,,v3,471253,471252,98095c727ea74f6981598f396ad67c4d,"Payne, Ethan",1000024788,Right,FRE_BUL,ae2e771e-94c8-4f89-8b81-f60f02fbbd59,54.78583,-106.25674,10.16415,5.45388,-2.55979,-12.67224,-1.30235,2.76899,-5.1926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-14,18:10:04.46,2,4,"Arreola, Victor",809107,Right,FRE_BUL,"Miller, Taison",10183031,Left,CSU_BAK,Undefined,1,Top,1,2,1,ChangeUp,Changeup,InPlay,Undefined,LineDrive,Single,0,0,,72.91531,-0.369701,-2.111625,1681.016246,212.41435,1:00,5.3646,1.54289,5.93223,-35.23797,18.50525,10.40595,2.08487,0.45005,65.36694,-7.028184,-0.243157,0.527635,68.69901,25.537075,13.897188,2128.663573,107.52967,32.58835,23.18114,218.80794,218.80794,11.21876,3.024646,-6.10544,10.20816,-1.38025,50,5.31559,3.53427,-105.60894,-1.59357,-6.71945,22.26204,-20.93931,FRE_BUL,CSU_BAK,PeteBeidenField,D1,MW,20260414-PeteBeidenField-1,d8dfd250-3867-11f1-aff6-4bb86e163eed,71.43664,32.73947,,7.54837,,,,3.27027,2.27371,-0.48264,e6309ffd-552e-4dcd-9fbc-530089db6496,2026-04-15,01:10:04.46,2026-04-14T18:10:04.4650000-07:00,2026-04-15T01:10:04.4650000Z,LineDrive,v3,471253,471252,98095c727ea74f6981598f396ad67c4d,"Payne, Ethan",1000024788,Right,FRE_BUL,47270369-0a77-41a2-8bdf-1f560226381b,54.56284,-106.56643,11.13102,5.36476,-0.69297,-10.46965,-1.53847,3.82327,-3.35972,162.073961,3.27015,88.25844,-10.16662,2.2171,-0.51729,0.15773,-0.04664,0.00837,-0.0006,2.27381,43.43296,-16.56709,0.90381,-0.08278,-0.02874,0.01589,-0.00243,8E-05,-0.4827,21.83831,-3.94781,0.79475,-0.19786,0.06621,-0.02086,0.0038,-0.00027,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2026-04-14,18:10:50.71,3,1,"Arreola, Victor",809107,Right,FRE_BUL,"Wilkes, Devon",1000436626,Left,CSU_BAK,Undefined,1,Top,1,0,0,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,79.91001,-1.040734,-2.056375,1930.741816,204.78539,12:45,5.29551,1.95579,5.65308,-23.24163,21.74938,9.25599,2.38734,0.80843,71.7794,-5.468884,-0.403671,0.482763,,,,,,,,,,,,-5.3774,11.85827,-1.78754,50,5.19308,3.78851,-115.72421,-2.73822,-7.15305,25.44076,-16.40016,FRE_BUL,CSU_BAK,PeteBeidenField,D1,MW,20260414-PeteBeidenField-1,f46b5da0-3867-11f1-aff6-4bb86e163eed,78.07643,,,8.13061,,,,,,,e6309ffd-552e-4dcd-9fbc-530089db6496,2026-04-15,01:10:50.71,2026-04-14T18:10:50.7130000-07:00,2026-04-15T01:10:50.7130000Z,,v3,471253,471252,98095c727ea74f6981598f396ad67c4d,"Payne, Ethan",1000024788,Right,FRE_BUL,a0470210-028f-4137-8ba0-53864f5c5f42,54.8417,-116.78375,12.72038,5.2929,-2.05519,-8.20008,-1.95153,4.08642,-3.57652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-14,18:11:22.38,3,2,"Arreola, Victor",809107,Right,FRE_BUL,"Wilkes, Devon",1000436626,Left,CSU_BAK,Undefined,1,Top,1,0,1,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.64711,0.059386,-1.295025,1880.5177,208.550209,1:00,5.42662,1.79229,5.62842,-23.05017,20.15103,10.24713,3.5612,1.43765,73.93572,-4.275949,0.534456,0.473064,,,,,,,,,,,,-5.53162,10.59906,-1.68869,50,5.41705,2.24279,-117.13056,-0.54484,-7.71703,21.25477,-17.38753,FRE_BUL,CSU_BAK,PeteBeidenField,D1,MW,20260414-PeteBeidenField-1,07b85070-3868-11f1-aff6-4bb86e163eed,79.67733,,,6.7114,,,,,,,e6309ffd-552e-4dcd-9fbc-530089db6496,2026-04-15,01:11:22.38,2026-04-14T18:11:22.3820000-07:00,2026-04-15T01:11:22.3820000Z,,v3,471253,471252,98095c727ea74f6981598f396ad67c4d,"Payne, Ethan",1000024788,Right,FRE_BUL,aebf0d2f-0ed0-4f85-8daa-fd993536876b,54.86908,-118.0108,10.62739,5.42471,0.17525,-8.69377,-1.78819,2.56238,-3.85851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-14,18:12:26.62,3,3,"Arreola, Victor",809107,Right,FRE_BUL,"Wilkes, Devon",1000436626,Left,CSU_BAK,Undefined,1,Top,1,1,1,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.28848,1.37492,-0.039231,1879.807577,214.062881,1:15,5.57744,1.69545,5.37015,-23.65962,18.43328,11.57292,4.89516,2.62307,75.03119,-3.059444,2.016648,0.466956,,,,,,,,,,,,-5.79418,9.25544,-1.70031,50,5.68432,-0.40508,-119.40331,2.13108,-8.36397,23.01511,-18.81365,FRE_BUL,CSU_BAK,PeteBeidenField,D1,MW,20260414-PeteBeidenField-1,2d988300-3868-11f1-aff6-4bb86e163eed,80.71948,,,7.25729,,,,,,,e6309ffd-552e-4dcd-9fbc-530089db6496,2026-04-15,01:12:26.62,2026-04-14T18:12:26.6240000-07:00,2026-04-15T01:12:26.6240000Z,,v3,471253,471252,98095c727ea74f6981598f396ad67c4d,"Payne, Ethan",1000024788,Right,FRE_BUL,e81f9c8e-2f15-4cfd-8828-28fc174d661b,55.12638,-120.38737,11.50755,5.57601,2.93549,-9.40683,-1.69064,-0.04746,-4.18199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
