PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-14,18:02:41.30,1,1,"Robertson, JP",830163,Right,OLE_REB,"Smith, Seth",835337,Left,SOU_GOL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,94.42632,-1.846481,-1.980494,2264.732351,206.605707,1:00,6.05759,2.45039,5.82279,-16.11347,15.37209,7.18965,2.99654,1.20757,86.14924,-4.898571,-0.692442,0.403857,,,,,,,,,,,,-4.22595,8.6752,-2.29271,50,5.89704,4.41256,-137.01552,-4.93431,-8.02158,30.69178,-15.70702,OLE_REB,SOU_GOL,TrustmarkPark,D1,SEC,20260414-TrustmarkPark-1,0a4d5860-3856-11f1-aebd-1fb37dafb7e0,93.33126,,,8.27708,,,,,,,bb24074a-325d-4103-90c3-561c75ac3ca4,2026-04-14,23:02:41.30,2026-04-14T18:02:41.3052928-05:00,2026-04-14T23:02:41.3052928Z,,v3,5322,471449,,"Fawley, Austin",701366,Right,OLE_REB,3d434ce3-b393-4650-9c52-bbeb2435e482,54.67468,-138.05868,15.34589,6.05568,-4.40045,-7.85351,-2.44732,4.6852,-4.01079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-14,18:02:59.90,1,2,"Robertson, JP",830163,Right,OLE_REB,"Smith, Seth",835337,Left,SOU_GOL,Undefined,1,Top,0,0,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,85.71665,-1.57202,-2.743154,2173.412369,74.555177,8:30,5.90279,2.9806,5.22282,-39.71817,-0.42496,-6.16989,1.11294,-0.1145,78.55679,-8.761317,-3.836812,0.45116,,,,,,,,,,,,2.27953,0.62252,-2.72264,50,5.72786,6.2192,-124.19051,-4.91655,3.53789,26.31914,-31.20787,OLE_REB,SOU_GOL,TrustmarkPark,D1,SEC,20260414-TrustmarkPark-1,156b4310-3856-11f1-aebd-1fb37dafb7e0,83.54569,,,7.15986,,,,,,,bb24074a-325d-4103-90c3-561c75ac3ca4,2026-04-14,23:02:59.90,2026-04-14T18:02:59.9049728-05:00,2026-04-14T23:02:59.9049728Z,,v3,5322,471449,,"Fawley, Austin",701366,Right,OLE_REB,44c9e4ca-b958-4bfd-82cc-5c697d4b9ce6,55.27574,-125.30359,13.15957,5.90788,-3.59673,-15.60393,-2.98249,6.06957,1.76894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-14,18:03:20.90,1,3,"Robertson, JP",830163,Right,OLE_REB,"Smith, Seth",835337,Left,SOU_GOL,Undefined,1,Top,0,0,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,86.73251,-1.527457,-2.877913,2426.999443,52.929607,7:45,5.9798,2.60333,5.18542,-42.2516,-3.88256,-6.7502,1.01964,-0.66902,79.70735,-9.143268,-4.073755,0.445823,,,,,,,,,,,,2.54768,-1.16437,-2.33047,50,5.80544,6.61504,-125.69028,-4.99812,4.05645,26.59282,-34.02799,OLE_REB,SOU_GOL,TrustmarkPark,D1,SEC,20260414-TrustmarkPark-1,21ed0380-3856-11f1-aebd-1fb37dafb7e0,84.54584,,,7.02516,,,,,,,bb24074a-325d-4103-90c3-561c75ac3ca4,2026-04-14,23:03:20.90,2026-04-14T18:03:20.9080000-05:00,2026-04-14T23:03:20.9080000Z,,v3,5322,471449,,"Fawley, Austin",701366,Right,OLE_REB,32aa9a83-e9e0-4ccc-92eb-726822daa8ed,55.31435,-126.80967,13.29641,5.98568,-3.56575,-17.014,-2.60532,6.44428,2.02823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.43144,,,1.059497,,,,0.10645,6.29177,-1.43308,76.38323,4.76456,-48.39047,0.15159,77.10049,-4.8774,6.31511,12.29723,-12.99732,-1.47861,-49.10144,4.57002,High,High,High,,,High,High,High
4,2026-04-14,18:03:58.39,2,1,"Robertson, JP",830163,Right,OLE_REB,"Urban, Joseph",1000116546,Right,SOU_GOL,Undefined,1,Top,1,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.50393,0.924153,-1.890643,2264.092637,44.603681,7:30,5.80622,2.63274,5.26792,-42.74872,-3.43244,-4.64071,3.11249,0.46936,78.0525,-6.852972,-2.713872,0.451292,,,,,,,,,,,,1.76193,-1.5874,-2.45629,50,5.85929,4.29776,-124.00911,0.36845,2.72956,25.99066,-34.63323,OLE_REB,SOU_GOL,TrustmarkPark,D1,SEC,20260414-TrustmarkPark-1,38467300-3856-11f1-aebd-1fb37dafb7e0,83.5212,,,7.45143,,,,,,,bb24074a-325d-4103-90c3-561c75ac3ca4,2026-04-14,23:03:58.39,2026-04-14T18:03:58.3995904-05:00,2026-04-14T23:03:58.3995904Z,,v3,5322,471449,,"Fawley, Austin",701366,Right,OLE_REB,60039760-5ca2-4daf-a42d-6a0a8dac3a81,55.23052,-125.10056,12.99533,5.81328,1.82283,-17.31662,-2.63436,4.18313,1.36478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-14,18:04:18.93,2,2,"Robertson, JP",830163,Right,OLE_REB,"Urban, Joseph",1000116546,Right,SOU_GOL,Undefined,1,Top,1,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,95.05575,-1.445052,-3.889271,2142.769227,202.929008,12:45,6.04671,2.52698,5.73954,-17.4643,13.78316,5.40492,3.24242,-0.64961,86.71799,-4.729647,-2.925542,0.402327,83.45811,53.776699,63.915711,5322.825027,,,,,74.61423,,,-3.86099,7.73359,-2.20634,50,5.91562,9.11849,-137.72469,-4.07334,-7.40648,30.94817,-17.33877,OLE_REB,SOU_GOL,TrustmarkPark,D1,SEC,20260414-TrustmarkPark-1,447cd290-3856-11f1-aebd-1fb37dafb7e0,93.68617,95.75806,,8.33775,,,,1.05256,3.40844,0.56718,bb24074a-325d-4103-90c3-561c75ac3ca4,2026-04-14,23:04:18.93,2026-04-14T18:04:18.9360128-05:00,2026-04-14T23:04:18.9360128Z,,v3,5322,471449,,"Fawley, Austin",701366,Right,OLE_REB,0b912a66-9895-46f5-acbb-95d3b171dad1,54.75887,-138.78994,15.47409,6.04555,-3.47653,-8.66939,-2.52459,9.37343,-3.70324,,1.05255,31.80652,-15.81669,5.15886,-1.09821,-0.07868,0.25339,-0.12527,0.02284,3.40844,98.74551,-24.45648,2.11737,-0.31194,0.1773,-0.14938,0.06621,-0.01176,0.56718,64.96658,-12.49844,3.03574,-0.5448,0.00156,0.07187,-0.03632,0.00661,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
6,2026-04-14,18:04:45.56,2,3,"Robertson, JP",830163,Right,OLE_REB,"Urban, Joseph",1000116546,Right,SOU_GOL,Undefined,1,Top,1,0,2,Slider,Slider,InPlay,Undefined,GroundBall,Error,0,0,E4,87.17822,-0.137325,-3.245028,2339.968903,56.852551,8:00,5.82295,2.82236,5.28039,-39.77774,-1.78492,-4.66721,2.37897,-0.6174,79.47005,-7.369448,-4.071681,0.443631,53.40454,-53.028356,37.807325,,,,,4.04932,2.2724,24.899977,0.039287,1.3648,-0.52303,-2.52246,50,5.78108,7.36478,-126.28819,-1.82425,2.18462,27.84421,-33.01124,OLE_REB,SOU_GOL,TrustmarkPark,D1,SEC,20260414-TrustmarkPark-1,545bc7c0-3856-11f1-aebd-1fb37dafb7e0,84.96347,2.474,,7.70817,,,,2.20149,2.474,0.56326,bb24074a-325d-4103-90c3-561c75ac3ca4,2026-04-14,23:04:45.56,2026-04-14T18:04:45.5663104-05:00,2026-04-14T23:04:45.5663104Z,GroundBall,v3,5322,471449,,"Fawley, Austin",701366,Right,OLE_REB,e9baad34-a677-4b8c-b717-644a903db172,55.21856,-127.43359,13.9221,5.82819,-0.4663,-16.50562,-2.82357,7.27491,1.09231,,2.20001,37.45287,,,,,,,,2.47649,-62.97217,,,,,,,,0.56211,29.05909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
7,2026-04-14,18:05:29.10,3,1,"Robertson, JP",830163,Right,OLE_REB,"Morrison, Kyle",835275,Left,SOU_GOL,Undefined,1,Top,1,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,94.53117,-1.818815,-2.445222,2246.23182,192.416764,12:30,6.02053,2.57001,5.82098,-13.3239,18.04332,3.75398,3.21712,0.60811,86.38314,-4.368402,-1.773339,0.403097,82.36711,12.171358,-165.731738,1083.082925,-107.71451,9.72547,-22.30389,156.15922,48.18021,-169.542513,1.55356,-2.54122,9.93438,-2.37192,50,5.86333,5.67487,-137.09454,-4.73109,-4.84766,29.6461,-13.22307,OLE_REB,SOU_GOL,TrustmarkPark,D1,SEC,20260414-TrustmarkPark-1,6e4f7500-3856-11f1-aebd-1fb37dafb7e0,93.50716,11.67871,,8.14803,,,,0.04538,3.0871,-0.53786,bb24074a-325d-4103-90c3-561c75ac3ca4,2026-04-14,23:05:29.10,2026-04-14T18:05:29.1001856-05:00,2026-04-14T23:05:29.1001856Z,LineDrive,v3,5322,471449,,"Fawley, Austin",701366,Right,OLE_REB,7c880b43-7a3f-46e0-9df5-d391f1b4ca7c,54.67283,-138.10132,14.82305,6.01637,-4.28203,-6.61154,-2.56743,5.83949,-2.42383,78.790063,-0.12504,-112.91453,9.16657,,,,,,,3.30005,23.57511,-16.62046,,,,,,,-0.75126,-27.16992,6.13082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
8,2026-04-14,18:05:54.36,3,2,"Robertson, JP",830163,Right,OLE_REB,"Morrison, Kyle",835275,Left,SOU_GOL,Undefined,1,Top,1,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.32474,-1.401228,-2.244506,2249.595484,198.998737,12:45,5.95153,2.6382,5.82177,-13.75705,17.94446,5.80977,3.50113,1.03457,85.57715,-4.045897,-1.204311,0.405239,,,,,,,,,,,,-3.60906,9.86662,-2.45797,50,5.82873,5.09335,-136.78748,-3.74461,-6.79659,31.87767,-13.59324,OLE_REB,SOU_GOL,TrustmarkPark,D1,SEC,20260414-TrustmarkPark-1,7d5dfad0-3856-11f1-aebd-1fb37dafb7e0,93.01281,,,8.7476,,,,,,,bb24074a-325d-4103-90c3-561c75ac3ca4,2026-04-14,23:05:54.36,2026-04-14T18:05:54.3667712-05:00,2026-04-14T23:05:54.3667712Z,,v3,5322,471449,,"Fawley, Austin",701366,Right,OLE_REB,c01a100e-f5cb-4f80-8635-ba05b16a658f,54.67403,-137.87244,15.93884,5.9483,-3.28197,-6.79662,-2.63526,5.32467,-3.39829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-14,18:06:36.22,3,3,"Robertson, JP",830163,Right,OLE_REB,"Morrison, Kyle",835275,Left,SOU_GOL,Undefined,1,Top,1,1,1,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.55383,-0.370005,-1.651801,2494.811888,74.468103,8:30,5.86141,2.94673,5.31699,-39.33943,-0.9924,-8.10024,2.23573,0.72105,79.04459,-7.532996,-3.09108,0.445695,,,,,,,,,,,,3.5713,-0.0165,-2.791,50,5.79944,3.97593,-125.54751,-2.30309,5.65935,27.11358,-32.20017,OLE_REB,SOU_GOL,TrustmarkPark,D1,SEC,20260414-TrustmarkPark-1,9651eb50-3856-11f1-aebd-1fb37dafb7e0,84.57012,,,7.50925,,,,,,,bb24074a-325d-4103-90c3-561c75ac3ca4,2026-04-14,23:06:36.22,2026-04-14T18:06:36.2201088-05:00,2026-04-14T23:06:36.2201088Z,,v3,5322,471449,,"Fawley, Austin",701366,Right,OLE_REB,5b34ddae-5bdb-4aae-9b83-64c2342b8ecf,55.18143,-126.66156,13.55679,5.86689,-0.98004,-16.10009,-2.94959,3.74339,2.82968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-14,18:07:20.81,3,4,"Robertson, JP",830163,Right,OLE_REB,"Morrison, Kyle",835275,Left,SOU_GOL,Undefined,1,Top,1,1,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,86.91048,-2.314219,-2.116435,2414.410203,87.446081,9:00,5.95657,2.64183,5.33399,-37.2327,1.04028,-6.23059,0.67995,0.13605,79.24295,-9.079525,-3.224417,0.445264,,,,,,,,,,,,2.47209,1.62276,-2.44603,50,5.72074,4.92394,-125.86184,-6.48765,3.91727,28.44163,-29.60263,OLE_REB,SOU_GOL,TrustmarkPark,D1,SEC,20260414-TrustmarkPark-1,b0e5d030-3856-11f1-aebd-1fb37dafb7e0,84.65192,,,7.66753,,,,,,,bb24074a-325d-4103-90c3-561c75ac3ca4,2026-04-14,23:07:20.81,2026-04-14T18:07:20.8147968-05:00,2026-04-14T23:07:20.8147968Z,,v3,5322,471449,,"Fawley, Austin",701366,Right,OLE_REB,796095e3-c078-40d6-99fb-43fca709495f,55.16369,-127.02334,14.22081,5.96099,-5.27873,-14.80132,-2.64385,4.76397,1.95864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
