PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-02,15:07:33.64,1,1,"Magill, Carson",815452,Right,STJ_HAW,"Blazier, Ian",813662,Left,SLU_BILL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.04801,-2.324013,-1.753782,1998.974662,204.638011,12:45,5.88452,1.03793,5.49231,-14.50839,22.49371,9.71331,2.49927,0.20627,79.64691,-5.118918,-0.024332,0.437809,,,,,,,,,,,,-5.42681,12.42764,-0.89115,50,5.67162,3.47466,-127.54558,-5.57453,-8.84933,28.7045,-11.90868,STJ_HAW,SLU_BILL,JohnWSmithsonField,D1,A10,20260402-JohnWSmithsonField-1,34a78740-2ec7-11f1-880d-c11cc54fd33c,86.09333,,,8.4011,,,,,,,26d34db3-effb-41c8-a828-0d0e64da7e3e,2026-04-02,19:07:33.64,2026-04-02T15:07:33.6409088-04:00,2026-04-02T19:07:33.6409088Z,,v3,471426,471427,,"Primrose, Blake",827699,Right,STJ_HAW,92f5f247-ab50-4d9f-b2dd-0aa1b0e3b46e,55.0041,-128.66683,14.35225,5.88029,-5.10935,-5.95434,-1.03363,3.82033,-4.42466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-02,15:07:51.41,1,2,"Magill, Carson",815452,Right,STJ_HAW,"Blazier, Ian",813662,Left,SLU_BILL,Undefined,1,Top,0,0,1,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,77.3275,1.610581,-0.047817,2023.89242,24.358607,6:45,5.88172,0.97754,5.24509,-57.63794,-9.36367,-4.97323,2.59253,0.51816,70.54924,-8.845603,-0.93156,0.500068,,,,,,,,,,,,2.46949,-4.69351,-0.96929,50,5.98664,0.29178,-112.17328,1.13498,3.11454,22.21561,-38.09348,STJ_HAW,SLU_BILL,JohnWSmithsonField,D1,A10,20260402-JohnWSmithsonField-1,3f491600-2ec7-11f1-880d-c11cc54fd33c,75.37461,,,6.77826,,,,,,,26d34db3-effb-41c8-a828-0d0e64da7e3e,2026-04-02,19:07:51.41,2026-04-02T15:07:51.4139648-04:00,2026-04-02T19:07:51.4139648Z,,v3,471426,471427,,"Primrose, Blake",827699,Right,STJ_HAW,193c34d8-c332-4b40-88a6-2cfcba92b2f1,55.25546,-113.20932,11.10781,5.89229,2.91151,-19.04674,-0.97952,0.14654,1.55727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-02,15:08:09.76,1,3,"Magill, Carson",815452,Right,STJ_HAW,"Blazier, Ian",813662,Left,SLU_BILL,Undefined,1,Top,0,0,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.05601,-1.465572,-1.988914,2042.108201,204.573575,12:45,5.85543,0.96996,5.44609,-17.39005,19.43966,8.32571,3.03297,-0.19912,80.07823,-4.760081,-0.50801,0.436788,,,,,,,,,,,,-4.8024,10.60323,-0.80028,50,5.71443,4.0727,-127.69103,-3.80895,-7.89053,27.4842,-14.75252,STJ_HAW,SLU_BILL,JohnWSmithsonField,D1,A10,20260402-JohnWSmithsonField-1,4a2f4ee0-2ec7-11f1-880d-c11cc54fd33c,86.29461,,,7.97778,,,,,,,26d34db3-effb-41c8-a828-0d0e64da7e3e,2026-04-02,19:08:09.76,2026-04-02T15:08:09.7699840-04:00,2026-04-02T19:08:09.7699840Z,,v3,471426,471427,,"Primrose, Blake",827699,Right,STJ_HAW,33681245-05ca-42b1-9bb6-df38d56a2675,55.05239,-128.77391,13.7421,5.85305,-3.2277,-7.37626,-0.96687,4.38359,-3.94527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-02,15:08:31.15,1,4,"Magill, Carson",815452,Right,STJ_HAW,"Blazier, Ian",813662,Left,SLU_BILL,Undefined,1,Top,0,0,2,ChangeUp,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,84.84767,-0.827975,-1.250655,1691.030477,245.769644,2:15,5.72144,1.24083,5.36788,-28.84029,10.7919,21.15143,2.54151,1.83062,77.59964,-6.147754,2.511,0.453102,,,,,,,,,,,,-10.93505,6.04193,-1.14399,50,5.62695,1.77334,-123.15066,-2.78135,-16.76019,24.90516,-22.91357,STJ_HAW,SLU_BILL,JohnWSmithsonField,D1,A10,20260402-JohnWSmithsonField-1,56f1e8e0-2ec7-11f1-880d-c11cc54fd33c,83.18762,,,7.24804,,,,,,,26d34db3-effb-41c8-a828-0d0e64da7e3e,2026-04-02,19:08:31.15,2026-04-02T15:08:31.1590000-04:00,2026-04-02T19:08:31.1590000Z,,v3,471426,471427,,"Primrose, Blake",827699,Right,STJ_HAW,f899e442-3a08-4ce9-aa6f-59aa04db4a56,55.13096,-124.18398,12.45258,5.72263,-1.83067,-11.45679,-1.23199,2.46872,-8.38009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.12039,2.432479,0.926669,1.505811,-0.93043,2.28303,-1.93693,-3.72744,4.96224,-0.75004,68.78292,11.53616,-56.01211,-3.62867,52.1432,-2.6852,5.08797,27.02379,-15.08836,-0.81755,-39.52396,1.9004,High,High,High,,,High,High,High
5,2026-04-02,15:09:01.21,2,1,"Magill, Carson",815452,Right,STJ_HAW,"Kleinheider, Drew",10119804,Right,SLU_BILL,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.64608,-2.494424,-3.240286,2112.736382,201.637335,12:45,5.7532,1.01057,5.55483,-14.42678,21.83694,8.17847,2.21506,-1.33874,80.68429,-5.258821,-1.785232,0.433419,,,,,,,,,,,,-5.07811,12.13009,-0.73583,50,5.52804,6.91137,-128.36923,-6.00697,-8.4449,27.41086,-12.00168,STJ_HAW,SLU_BILL,JohnWSmithsonField,D1,A10,20260402-JohnWSmithsonField-1,68d9a660-2ec7-11f1-880d-c11cc54fd33c,86.96545,,,7.96179,,,,,,,26d34db3-effb-41c8-a828-0d0e64da7e3e,2026-04-02,19:09:01.21,2026-04-02T15:09:01.2150784-04:00,2026-04-02T19:09:01.2150784Z,,v3,471426,471427,,"Primrose, Blake",827699,Right,STJ_HAW,a6c41b2e-8291-49a8-b0e4-4059454e816f,54.94321,-129.42045,13.70543,5.74959,-5.5467,-6.00084,-1.0071,7.23524,-4.22245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-02,15:09:17.79,2,2,"Magill, Carson",815452,Right,STJ_HAW,"Kleinheider, Drew",10119804,Right,SLU_BILL,Undefined,1,Top,1,1,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,86.97971,-3.019505,-2.833959,2076.906537,219.549543,1:15,5.54853,1.28728,5.27825,-20.01851,17.91032,13.76682,1.03833,-0.22928,79.60195,-6.748771,-0.393427,0.443258,,,,,,,,,,,,-7.7326,10.19158,-1.03921,50,5.25821,5.63804,-125.96699,-7.31784,-12.42781,25.52384,-15.79424,STJ_HAW,SLU_BILL,JohnWSmithsonField,D1,A10,20260402-JohnWSmithsonField-1,72b8f690-2ec7-11f1-880d-c11cc54fd33c,85.03505,,,7.37775,,,,,,,26d34db3-effb-41c8-a828-0d0e64da7e3e,2026-04-02,19:09:17.79,2026-04-02T15:09:17.7937920-04:00,2026-04-02T19:09:17.7937920Z,,v3,471426,471427,,"Primrose, Blake",827699,Right,STJ_HAW,3818db0c-f565-4f3a-9cd0-771e0194bff2,55.22135,-127.02055,12.76192,5.54681,-6.6659,-7.89712,-1.28252,6.15103,-6.21391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-02,15:09:36.16,2,3,"Magill, Carson",815452,Right,STJ_HAW,"Kleinheider, Drew",10119804,Right,SLU_BILL,Undefined,1,Top,1,2,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.2894,-3.678252,-3.470118,2051.559455,220.250679,1:15,5.56341,1.3872,5.33272,-19.56371,17.13371,13.51705,0.47092,-0.74617,81.09661,-7.311271,-1.073518,0.436003,,,,,,,,,,,,-7.83426,9.97406,-1.08398,50,5.21654,7.1723,-127.78348,-8.89248,-12.99726,25.49746,-15.62675,STJ_HAW,SLU_BILL,JohnWSmithsonField,D1,A10,20260402-JohnWSmithsonField-1,7dac9cf0-2ec7-11f1-880d-c11cc54fd33c,86.45004,,,7.19279,,,,,,,26d34db3-effb-41c8-a828-0d0e64da7e3e,2026-04-02,19:09:36.16,2026-04-02T15:09:36.1615360-04:00,2026-04-02T19:09:36.1615360Z,,v3,471426,471427,,"Primrose, Blake",827699,Right,STJ_HAW,71af5d01-ddd4-4c67-a46b-1ff0fab0fc78,55.16865,-128.81068,12.74873,5.56211,-8.26293,-7.81338,-1.38348,7.69592,-6.49863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-02,15:10:01.14,2,4,"Magill, Carson",815452,Right,STJ_HAW,"Kleinheider, Drew",10119804,Right,SLU_BILL,Undefined,1,Top,1,3,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.14011,-1.653429,-2.765838,2170.165919,217.096776,1:15,5.64235,1.34254,5.35734,-17.38765,19.63599,13.8806,2.64054,-0.0966,79.90742,-4.949609,-0.302472,0.437936,,,,,,,,,,,,-7.76441,10.70481,-1.10397,50,5.48167,5.54066,-127.66169,-4.22714,-12.72609,27.95624,-14.62856,STJ_HAW,SLU_BILL,JohnWSmithsonField,D1,A10,20260402-JohnWSmithsonField-1,8c8f57d0-2ec7-11f1-880d-c11cc54fd33c,86.06834,,,8.23269,,,,,,,26d34db3-effb-41c8-a828-0d0e64da7e3e,2026-04-02,19:10:01.14,2026-04-02T15:10:01.1457536-04:00,2026-04-02T19:10:01.1457536Z,,v3,471426,471427,,"Primrose, Blake",827699,Right,STJ_HAW,d61e8a48-c2ff-4aaa-901a-63e9472fb87f,55.13956,-128.78227,13.97812,5.63935,-3.64078,-7.31428,-1.33628,6.05076,-6.36305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-02,15:10:19.24,2,5,"Magill, Carson",815452,Right,STJ_HAW,"Kleinheider, Drew",10119804,Right,SLU_BILL,Undefined,1,Top,1,3,1,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,88.19787,-2.838432,-2.952041,2136.357356,210.164586,1:00,5.5679,1.37889,5.37542,-16.36603,20.69442,11.26686,1.53733,-0.45219,79.9508,-5.948239,-0.952511,0.438154,,,,,,,,,,,,-6.59079,11.65768,-1.12273,50,5.30225,6.08625,-127.63048,-6.83489,-10.77791,28.37757,-13.11026,STJ_HAW,SLU_BILL,JohnWSmithsonField,D1,A10,20260402-JohnWSmithsonField-1,9759f260-2ec7-11f1-880d-c11cc54fd33c,86.02554,,,8.24707,,,,,,,26d34db3-effb-41c8-a828-0d0e64da7e3e,2026-04-02,19:10:19.24,2026-04-02T15:10:19.2427520-04:00,2026-04-02T19:10:19.2427520Z,,v3,471426,471427,,"Primrose, Blake",827699,Right,STJ_HAW,1affb59a-5a66-4026-a662-56a443458fa0,55.12285,-128.76446,14.18879,5.56491,-6.31099,-6.55513,-1.37454,6.51694,-5.38895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-02,15:10:54.97,3,1,"Magill, Carson",815452,Right,STJ_HAW,"Iffrig, Riley",1000094154,Left,SLU_BILL,Undefined,1,Top,1,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.4052,-2.662758,-1.404958,2053.338216,219.660262,1:15,5.63774,1.20878,5.47174,-16.48993,20.21946,15.68946,1.76919,1.20119,80.11868,-5.798522,1.389094,0.436074,,,,,,,,,,,,-8.32032,11.37276,-1.09629,50,5.39273,2.44214,-128.07499,-6.44923,-13.68865,28.79932,-13.46352,STJ_HAW,SLU_BILL,JohnWSmithsonField,D1,A10,20260402-JohnWSmithsonField-1,aca74910-2ec7-11f1-880d-c11cc54fd33c,86.43594,,,8.28652,,,,,,,26d34db3-effb-41c8-a828-0d0e64da7e3e,2026-04-02,19:10:54.97,2026-04-02T15:10:54.9761024-04:00,2026-04-02T19:10:54.9761024Z,,v3,471426,471427,,"Primrose, Blake",827699,Right,STJ_HAW,45356fa4-a331-4701-bb71-3f42361f8b47,55.02542,-129.20008,14.39966,5.63441,-5.92326,-6.73176,-1.20215,2.97691,-6.84433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
