PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-03,12:03:45.76,1,1,"Fenton, Cole",10304883,Right,ALV_CCO,"Olivares, Rudy-James",10156577,Left,SAN_JAC,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.01693,-1.731587,-1.018531,1820.791478,208.70726,1:00,5.80564,0.69807,5.60511,-20.60879,15.0452,7.61611,2.47094,0.38177,81.42441,-5.586749,0.34143,0.42976,,,,,,,,,,,,-4.13733,8.44548,-0.61587,50,5.64411,1.96368,-129.19805,-4.58511,-6.99342,26.90702,-17.89851,ALV_CCO,SAN_JAC,700-HughAdamsPark,JUCO,NJCAA,20260403-700-HughAdamsPark-1,13aa5c80-2f7f-11f1-98b9-e11e83abef9a,87.70586,,,7.59253,,,,,,,96b28297-1690-4720-a0aa-a94ae94e8fc8,2026-04-03,17:03:45.76,2026-04-03T12:03:45.7678848-05:00,2026-04-03T17:03:45.7678848Z,,v3,643-147241,643-146528,pwg1pbk954fovbtd,"Ramirez, Nayden",1000365971,Right,ALV_CCO,9244e856-8a5f-41b8-841e-61480a242352,54.89743,-130.21401,13.45351,5.80448,-3.9093,-8.94926,-0.695,2.22774,-3.49671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-03,12:04:02.22,1,2,"Fenton, Cole",10304883,Right,ALV_CCO,"Olivares, Rudy-James",10156577,Left,SAN_JAC,Undefined,1,Top,0,0,1,Splitter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,79.98248,0.986358,0.294179,2000.318126,211.534752,1:00,5.77187,0.73736,5.33931,-37.37868,7.72532,3.77201,3.58249,1.3277,72.37607,-5.910195,0.964353,0.483369,,,,,,,,,,,,-1.77992,4.06028,-0.76665,50,5.8346,-0.75323,-115.91378,0.73285,-2.39382,23.98832,-26.71333,ALV_CCO,SAN_JAC,700-HughAdamsPark,JUCO,NJCAA,20260403-700-HughAdamsPark-1,1d7f7380-2f7f-11f1-98b9-e11e83abef9a,77.97857,,,7.60641,,,,,,,96b28297-1690-4720-a0aa-a94ae94e8fc8,2026-04-03,17:04:02.22,2026-04-03T12:04:02.2246912-05:00,2026-04-03T17:04:02.2246912Z,,v3,643-147241,643-146528,pwg1pbk954fovbtd,"Ramirez, Nayden",1000365971,Right,ALV_CCO,16599db6-600b-426a-885c-82657282d2f8,55.15995,-116.97675,11.99416,5.7759,1.91658,-13.35666,-0.73562,-0.64715,-1.19691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-03,12:04:20.51,1,3,"Fenton, Cole",10304883,Right,ALV_CCO,"Olivares, Rudy-James",10156577,Left,SAN_JAC,Undefined,1,Top,0,1,1,Curveball,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,77.01766,-0.229937,0.116228,2346.374208,47.712264,7:30,5.69567,0.81371,4.88987,-57.12731,-8.76599,-11.09253,0.71753,-0.0007,71.96432,-10.430123,-1.845437,0.500519,,,,,,,,,,,,5.58374,-4.02083,-0.8151,50,5.62382,0.20836,-111.97281,-2.50428,7.15679,18.4104,-37.32759,ALV_CCO,SAN_JAC,700-HughAdamsPark,JUCO,NJCAA,20260403-700-HughAdamsPark-1,2870f700-2f7f-11f1-98b9-e11e83abef9a,75.30673,,,5.05334,,,,,,,96b28297-1690-4720-a0aa-a94ae94e8fc8,2026-04-03,17:04:20.51,2026-04-03T12:04:20.5179904-05:00,2026-04-03T17:04:20.5179904Z,,v3,643-147241,643-146528,pwg1pbk954fovbtd,"Ramirez, Nayden",1000365971,Right,ALV_CCO,e0e5d3b5-947c-471f-8ec8-0baf6f060199,55.61917,-112.89293,9.2052,5.70236,-0.63872,-18.66379,-0.81658,-0.14932,3.5784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-03,12:04:43.76,1,4,"Fenton, Cole",10304883,Right,ALV_CCO,"Olivares, Rudy-James",10156577,Left,SAN_JAC,Undefined,1,Top,0,1,2,Splitter,Splitter,InPlay,Undefined,GroundBall,Out,1,0,,80.23361,0.038462,-0.802399,669.455421,268.735562,3:00,5.81439,0.65685,5.46352,-42.99483,1.59965,2.04941,2.2675,0.07651,72.8893,-7.845977,-0.436989,0.480631,96.69406,2.506229,10.65989,730.212954,,,,63.41856,62.1409,10.660451,0.471681,-1.29102,1.21138,-0.58762,50,5.78832,1.54821,-116.37353,-1.38149,-1.74757,24.47358,-30.53428,ALV_CCO,SAN_JAC,700-HughAdamsPark,JUCO,NJCAA,20260403-700-HughAdamsPark-1,36477200-2f7f-11f1-98b9-e11e83abef9a,78.42278,2.64002,,7.34431,,,,1.19509,2.24904,-0.06412,96b28297-1690-4720-a0aa-a94ae94e8fc8,2026-04-03,17:04:43.76,2026-04-03T12:04:43.7642240-05:00,2026-04-03T17:04:43.7642240Z,GroundBall,v3,643-147241,643-146528,pwg1pbk954fovbtd,"Ramirez, Nayden",1000365971,Right,ALV_CCO,289519bb-622b-460f-930c-a8461bdab43a,55.03954,-117.42857,12.23679,5.8195,-0.06517,-15.26714,-0.65599,1.62355,-0.87379,349.452022,1.20996,138.81355,-19.66741,,,,,,,2.26611,5.71401,-22.37191,,,,,,,-0.06314,26.18036,-2.49408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2026-04-03,12:05:22.40,2,1,"Fenton, Cole",10304883,Right,ALV_CCO,"Ramos, Andrew",10164855,Right,SAN_JAC,Undefined,1,Top,1,0,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.66696,-0.086168,-1.758395,2226.850866,129.51525,10:15,5.65791,0.98041,5.59982,-35.21813,5.77611,-5.5863,2.64258,-1.12738,76.45863,-6.542819,-2.755266,0.460821,,,,,,,,,,,,2.38953,3.31225,-0.82591,50,5.62754,3.91149,-120.12182,-1.37499,3.5214,21.39346,-27.29287,ALV_CCO,SAN_JAC,700-HughAdamsPark,JUCO,NJCAA,20260403-700-HughAdamsPark-1,4d4cd8f0-2f7f-11f1-98b9-e11e83abef9a,81.79402,,,6.20832,,,,,,,96b28297-1690-4720-a0aa-a94ae94e8fc8,2026-04-03,17:05:22.40,2026-04-03T12:05:22.4022528-05:00,2026-04-03T17:05:22.4022528Z,,v3,643-147241,643-146528,pwg1pbk954fovbtd,"Ramirez, Nayden",1000365971,Right,ALV_CCO,87e86c5f-5e8a-45f4-b22f-93d1d4e705f5,54.90453,-120.99216,10.69673,5.66089,-0.26466,-13.64643,-0.98213,3.76823,1.7607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-03,12:05:41.33,2,2,"Fenton, Cole",10304883,Right,ALV_CCO,"Ramos, Andrew",10164855,Right,SAN_JAC,Undefined,1,Top,1,0,1,Curveball,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,79.37225,-0.838281,-1.00477,2277.227761,64.82251,8:15,5.81348,0.61067,5.43437,-47.55156,-2.53421,-8.28166,1.06558,-1.02058,73.40959,-9.458133,-2.482119,0.482905,,,,,,,,,,,,3.94544,-0.73276,-0.51554,50,5.70568,2.33954,-115.30829,-3.30589,5.3151,21.32155,-33.16121,ALV_CCO,SAN_JAC,700-HughAdamsPark,JUCO,NJCAA,20260403-700-HughAdamsPark-1,58941d90-2f7f-11f1-98b9-e11e83abef9a,78.05359,,,5.96266,,,,,,,96b28297-1690-4720-a0aa-a94ae94e8fc8,2026-04-03,17:05:41.33,2026-04-03T12:05:41.3346816-05:00,2026-04-03T17:05:41.3346816Z,,v3,643-147241,643-146528,pwg1pbk954fovbtd,"Ramirez, Nayden",1000365971,Right,ALV_CCO,7982708c-632b-4b2e-9e2b-aa49c3ea822e,55.07217,-116.2424,10.66077,5.81869,-1.85308,-16.5806,-0.61293,2.10668,2.65755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-03,12:06:02.34,2,3,"Fenton, Cole",10304883,Right,ALV_CCO,"Ramos, Andrew",10164855,Right,SAN_JAC,Undefined,1,Top,1,1,1,Cutter,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,86.11174,-0.704522,-2.266859,2287.987077,117.555389,10:00,5.62315,0.81559,5.36411,-34.10943,4.09217,-5.72548,2.11947,-1.78845,79.58453,-6.917665,-3.28373,0.444849,,,,,,,,,,,,2.29776,2.57689,-0.60761,50,5.53546,5.19487,-125.0253,-2.79407,3.66324,23.50314,-28.06579,ALV_CCO,SAN_JAC,700-HughAdamsPark,JUCO,NJCAA,20260403-700-HughAdamsPark-1,6514f3a0-2f7f-11f1-98b9-e11e83abef9a,84.73095,,,6.52721,,,,,,,96b28297-1690-4720-a0aa-a94ae94e8fc8,2026-04-03,17:06:02.34,2026-04-03T12:06:02.3434752-05:00,2026-04-03T17:06:02.3434752Z,,v3,643-147241,643-146528,pwg1pbk954fovbtd,"Ramirez, Nayden",1000365971,Right,ALV_CCO,bd78198b-f058-4659-b4c1-f07dd9df8d95,55.1403,-125.9879,11.75157,5.62635,-1.6446,-14.0329,-0.81731,5.04483,1.83162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-03,12:06:22.95,2,4,"Fenton, Cole",10304883,Right,ALV_CCO,"Ramos, Andrew",10164855,Right,SAN_JAC,Undefined,1,Top,1,1,2,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,85.20187,-2.889408,-3.807709,2244.754583,99.367464,9:15,5.58815,0.77185,5.55187,-36.84904,1.62091,-4.01945,-0.19102,-3.12665,80.14141,-9.522761,-4.523261,0.446408,,,,,,,,,,,,1.22579,1.67039,-0.43891,50,5.31213,8.38338,-123.6179,-7.55177,1.93323,20.20626,-29.53967,ALV_CCO,SAN_JAC,700-HughAdamsPark,JUCO,NJCAA,20260403-700-HughAdamsPark-1,715e6600-2f7f-11f1-98b9-e11e83abef9a,84.4349,,,5.06046,,,,,,,96b28297-1690-4720-a0aa-a94ae94e8fc8,2026-04-03,17:06:22.95,2026-04-03T12:06:22.9581824-05:00,2026-04-03T17:06:22.9581824Z,,v3,643-147241,643-146528,pwg1pbk954fovbtd,"Ramirez, Nayden",1000365971,Right,ALV_CCO,1a15489b-4bc9-4291-8d6f-becc9d0c6d43,54.95639,-124.42542,10.10313,5.59033,-6.37125,-14.76983,-0.7724,8.30612,0.96661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-03,12:06:47.26,2,5,"Fenton, Cole",10304883,Right,ALV_CCO,"Ramos, Andrew",10164855,Right,SAN_JAC,Undefined,1,Top,1,2,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,90.36934,-1.854791,-3.094633,1885.036295,204.509881,12:45,5.8545,0.51183,5.40846,-19.93462,14.66572,6.2287,2.45219,-1.87161,83.40434,-5.549848,-1.988969,0.423362,,,,,,,,,,,,-3.88918,8.14615,-0.2404,50,5.67518,6.80475,-131.08186,-4.94681,-6.84152,24.84136,-17.844,ALV_CCO,SAN_JAC,700-HughAdamsPark,JUCO,NJCAA,20260403-700-HughAdamsPark-1,7fd71470-2f7f-11f1-98b9-e11e83abef9a,89.03131,,,6.965,,,,,,,96b28297-1690-4720-a0aa-a94ae94e8fc8,2026-04-03,17:06:47.26,2026-04-03T12:06:47.2680000-05:00,2026-04-03T17:06:47.2680000Z,,v3,643-147241,643-146528,pwg1pbk954fovbtd,"Ramirez, Nayden",1000365971,Right,ALV_CCO,398ce784-a14f-4fc1-afca-50f07857b43f,55.09492,-132.04387,12.42068,5.85337,-4.25579,-8.922,-0.50905,7.06969,-3.42076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.88444,2.988241,1.910067,1.078174,-1.61785,2.15081,1.97534,-2.68386,4.70467,6.22769,70.81992,6.02659,53.9742,-2.60628,76.56183,-7.86144,4.74869,17.05999,-14.73252,6.20441,44.15825,0.1418,High,High,High,,,High,High,High
10,2026-04-03,12:07:22.93,3,1,"Fenton, Cole",10304883,Right,ALV_CCO,"Fronduto, Danati",10147803,Left,SAN_JAC,Undefined,1,Top,2,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,75.52585,2.089933,1.497306,2215.083254,51.188236,7:45,5.71964,0.91476,5.62204,-55.16523,-6.48914,-9.6226,3.07455,1.51059,70.51276,-7.938683,-0.222341,0.502145,,,,,,,,,,,,5.22524,-3.36862,-1.03623,50,5.86215,-2.52054,-109.85908,2.22875,6.49508,16.3421,-36.3613,ALV_CCO,SAN_JAC,700-HughAdamsPark,JUCO,NJCAA,20260403-700-HughAdamsPark-1,9526dc20-2f7f-11f1-98b9-e11e83abef9a,75.06283,,,5.0131,,,,,,,96b28297-1690-4720-a0aa-a94ae94e8fc8,2026-04-03,17:07:22.93,2026-04-03T12:07:22.9365760-05:00,2026-04-03T17:07:22.9365760Z,,v3,643-147241,643-146528,pwg1pbk954fovbtd,"Ramirez, Nayden",1000365971,Right,ALV_CCO,384ee565-b16b-44f4-aa61-063922673cac,54.8863,-110.58356,8.17105,5.72762,3.84072,-18.18065,-0.91811,-2.80848,3.24754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
