PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-15,18:07:33.80,1,1,"Linn, Conner",701146,Left,IU,"Magill, Spike",10250132,Right,EVA_ACE,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.83164,-2.543135,3.312999,2284.056158,156.581237,11:15,5.71737,-1.56298,6.023,-15.4919,20.54292,-8.29906,2.06549,0.81729,79.68299,-5.55186,1.823466,0.432048,,,,,,,,,,,,5.34693,11.77859,1.30779,50,5.50954,-7.08273,-128.48771,-6.10417,8.76425,31.46354,-12.86755,IU,EVA_ACE,Bart Kaufman Field,D1,BIG10,20260415-Bart Kaufman Field-1,816c1050-3917-11f1-8aa9-4d07d0ae5fd5,87.24123,,,9.14865,,,,,,,dade52d1-15d3-4c24-a222-7fde5e91a367,2026-04-15,22:07:33.80,2026-04-15T18:07:33.8036224-04:00,2026-04-15T22:07:33.8036224Z,,v3,4866,471290,,"Ricketts, Brayden",807084,Right,IU,2dce5300-fc1a-4450-8c83-d71f21e583ec,54.47067,-129.57784,15.73177,5.71331,-5.65834,-6.43378,1.55845,-7.38639,4.38213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-15,18:07:47.82,1,2,"Linn, Conner",701146,Left,IU,"Magill, Spike",10250132,Right,EVA_ACE,Undefined,1,Top,0,0,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.77863,-3.287283,2.896895,2208.805233,132.535248,10:30,5.62824,-1.54058,5.95851,-21.09233,14.73469,-14.68115,0.81498,-0.07542,80.59991,-7.258947,0.260086,0.430801,,,,,,,,,,,,8.45134,8.94961,1.31879,50,5.35505,-5.89596,-128.54371,-8.04037,13.99804,29.15233,-17.35069,IU,EVA_ACE,Bart Kaufman Field,D1,BIG10,20260415-Bart Kaufman Field-1,89bf4240-3917-11f1-8aa9-4d07d0ae5fd5,87.49384,,,8.17872,,,,,,,dade52d1-15d3-4c24-a222-7fde5e91a367,2026-04-15,22:07:47.82,2026-04-15T18:07:47.8235648-04:00,2026-04-15T22:07:47.8235648Z,,v3,4866,471290,,"Ricketts, Brayden",807084,Right,IU,d373bc7c-79e8-44a2-abac-61f3fcabc941,54.53904,-129.56902,14.57617,5.62711,-7.43013,-8.67534,1.53481,-6.38829,6.99902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-15,18:08:03.50,1,3,"Linn, Conner",701146,Left,IU,"Magill, Spike",10250132,Right,EVA_ACE,Undefined,1,Top,0,1,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.18896,-3.371895,4.668715,1880.154576,114.417674,9:45,5.66722,-1.53213,6.57486,-29.59675,8.65886,-16.02981,0.09645,1.42065,77.35323,-8.926245,1.761572,0.445163,,,,,,,,,,,,9.92158,6.02693,1.21732,50,5.42252,-9.47291,-123.19359,-8.12416,15.03981,27.58354,-23.038,IU,EVA_ACE,Bart Kaufman Field,D1,BIG10,20260415-Bart Kaufman Field-1,931bf4f0-3917-11f1-8aa9-4d07d0ae5fd5,84.67113,,,7.83573,,,,,,,dade52d1-15d3-4c24-a222-7fde5e91a367,2026-04-15,22:08:03.50,2026-04-15T18:08:03.5002368-04:00,2026-04-15T22:08:03.5002368Z,,v3,4866,471290,,"Ricketts, Brayden",807084,Right,IU,0408cded-fa4d-419d-91bd-1634003ffab3,53.92287,-124.06882,13.79177,5.66871,-7.39316,-11.519,1.52547,-9.95012,7.51991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-15,18:08:24.27,1,4,"Linn, Conner",701146,Left,IU,"Magill, Spike",10250132,Right,EVA_ACE,Undefined,1,Top,0,2,1,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,78.66455,0.79194,0.784594,2497.310658,308.88231,4:15,5.69723,-1.66656,5.44851,-48.4357,-1.85126,4.36197,2.40246,-0.56847,71.24535,-8.079136,1.562134,0.491238,,,,,,,,,,,,-1.92658,-0.64906,1.59427,50,5.73426,-1.73766,-114.03149,-0.07696,-2.49564,24.13844,-33.0148,IU,EVA_ACE,Bart Kaufman Field,D1,BIG10,20260415-Bart Kaufman Field-1,9f8858a0-3917-11f1-8aa9-4d07d0ae5fd5,76.72952,,,7.4192,,,,,,,dade52d1-15d3-4c24-a222-7fde5e91a367,2026-04-15,22:08:24.27,2026-04-15T18:08:24.2739200-04:00,2026-04-15T22:08:24.2739200Z,,v3,4866,471290,,"Ricketts, Brayden",807084,Right,IU,eb9034ed-4577-445f-bdaf-c309cc87db7a,55.04741,-115.09498,12.06922,5.70561,1.3776,-16.5074,1.6684,-1.62771,-1.24782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-15,18:08:41.16,1,5,"Linn, Conner",701146,Left,IU,"Magill, Spike",10250132,Right,EVA_ACE,Undefined,1,Top,0,2,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,77.72735,2.272414,-0.849986,2476.619238,310.015793,4:15,5.75348,-1.46726,5.24745,-56.64806,-8.03178,11.81926,3.16959,-1.28113,69.60382,-8.070438,1.248542,0.501836,,,,,,,,,,,,-6.14252,-4.16752,1.53632,50,5.92074,1.17788,-112.46523,2.45648,-7.65821,25.44671,-37.36991,IU,EVA_ACE,Bart Kaufman Field,D1,BIG10,20260415-Bart Kaufman Field-1,a99fa8c0-3917-11f1-8aa9-4d07d0ae5fd5,75.10901,,,8.12353,,,,,,,dade52d1-15d3-4c24-a222-7fde5e91a367,2026-04-15,22:08:41.16,2026-04-15T18:08:41.1608576-04:00,2026-04-15T22:08:41.1608576Z,,v3,4866,471290,,"Ricketts, Brayden",807084,Right,IU,b6775d98-2aab-49e5-85aa-97fec6772063,55.24852,-113.64658,12.72336,5.76642,4.19135,-18.68496,1.47339,1.53341,-3.8291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-15,18:09:02.63,1,6,"Linn, Conner",701146,Left,IU,"Magill, Spike",10250132,Right,EVA_ACE,Undefined,1,Top,0,3,2,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Out,1,0,,88.52895,-2.610174,2.843646,2206.017876,144.17069,10:45,5.81365,-1.35677,6.12074,-18.33147,17.65288,-11.78099,1.86834,0.29252,79.77346,-6.123322,0.722473,0.431746,103.45903,9.328163,-34.776069,3140.957333,87.70586,7.19113,-66.39034,155.36848,109.06579,-38.468501,1.222748,7.00941,10.34938,1.14497,50,5.60403,-5.8833,-128.20067,-6.35668,11.47321,30.57839,-15.23393,IU,EVA_ACE,Bart Kaufman Field,D1,BIG10,20260415-Bart Kaufman Field-1,b65ac8b0-3917-11f1-8aa9-4d07d0ae5fd5,87.30237,8.64257,,8.75549,,,,1.65877,2.13991,-0.35692,dade52d1-15d3-4c24-a222-7fde5e91a367,2026-04-15,22:09:02.63,2026-04-15T18:09:02.6375168-04:00,2026-04-15T22:09:02.6375168Z,LineDrive,v3,4866,471290,,"Ricketts, Brayden",807084,Right,IU,46451291-3f42-447a-8d23-5ddf1f85ac1a,54.37514,-129.24001,15.28919,5.81129,-5.83889,-7.61697,1.35157,-6.27327,5.73661,,1.65877,122.98888,-26.19743,6.27458,-1.59554,0.42024,-0.10764,0.02199,-0.00246,2.13991,24.59531,-25.03072,3.76126,-0.98705,0.26081,-0.06606,0.01361,-0.00152,-0.35692,-85.40334,7.02987,-1.6933,0.42233,-0.11043,0.02837,-0.0058,0.00065,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
7,2026-04-15,18:09:56.83,2,1,"Linn, Conner",701146,Left,IU,"Longmeier, Charlie",10003531,Left,EVA_ACE,Undefined,1,Top,1,0,0,Slider,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,78.08512,0.688925,0.820693,2553.146188,286.058753,3:30,5.78788,-1.52981,5.38577,-48.83696,-1.01197,9.908,2.36397,0.06514,70.15772,-8.268749,2.584605,0.497736,66.30942,72.852868,-136.781183,5011.504388,,,,,16.64154,,,-4.69587,-0.25398,1.44917,50,5.81529,-2.01361,-113.08644,-0.28489,-5.92159,25.66062,-32.4943,IU,EVA_ACE,Bart Kaufman Field,D1,BIG10,20260415-Bart Kaufman Field-1,d6b408b0-3917-11f1-8aa9-4d07d0ae5fd5,75.72781,47.98759,,7.9274,,,,1.41521,2.65058,-0.08108,dade52d1-15d3-4c24-a222-7fde5e91a367,2026-04-15,22:09:56.83,2026-04-15T18:09:56.8321536-04:00,2026-04-15T22:09:56.8321536Z,,v3,4866,471290,,"Ricketts, Brayden",807084,Right,IU,df61f89b-2261-4803-8b68-f2c33c15c5a1,55.11038,-114.24016,12.83031,5.79526,1.17608,-16.24715,1.53372,-1.74737,-2.9608,9.831578,1.41521,-20.89547,-4.93011,1.89976,1.32783,-5.26262,8.69598,-7.6386,2.80761,2.65058,92.93063,-30.08602,3.59365,0.67359,-3.76777,6.20824,-5.42883,1.98852,-0.08108,-19.63507,1.25368,0.59186,1.52255,-5.06499,8.29469,-7.27763,2.67441,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
8,2026-04-15,18:10:17.90,2,2,"Linn, Conner",701146,Left,IU,"Longmeier, Charlie",10003531,Left,EVA_ACE,Undefined,1,Top,1,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,77.77159,0.134922,1.537247,2523.254191,296.489114,4:00,5.67941,-1.47044,5.34054,-53.42471,-5.84185,14.88709,1.35396,1.21257,71.23114,-9.550353,4.185826,0.496474,,,,,,,,,,,,-7.00496,-2.51536,1.32077,50,5.65325,-3.61289,-112.83138,-1.57004,-8.93041,22.651,-35.38079,IU,EVA_ACE,Bart Kaufman Field,D1,BIG10,20260415-Bart Kaufman Field-1,e3461cd0-3917-11f1-8aa9-4d07d0ae5fd5,75.92023,,,6.54045,,,,,,,dade52d1-15d3-4c24-a222-7fde5e91a367,2026-04-15,22:10:17.90,2026-04-15T18:10:17.9028480-04:00,2026-04-15T22:10:17.9028480Z,,v3,4866,471290,,"Ricketts, Brayden",807084,Right,IU,2c9d766a-1e2a-48fe-bf02-e1f43ca8803b,55.1592,-113.86239,11.3255,5.68806,0.04038,-17.69039,1.47597,-3.2064,-4.4652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-15,18:10:35.28,2,3,"Linn, Conner",701146,Left,IU,"Longmeier, Charlie",10003531,Left,EVA_ACE,Undefined,1,Top,1,1,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.78715,-2.76556,3.63016,2189.687704,131.8435,10:30,5.81166,-1.38893,6.12817,-21.42237,13.09257,-13.36851,1.463,0.85704,82.14334,-6.79008,1.224514,0.422839,,,,,,,,,,,,7.89138,7.87619,1.11781,50,5.58859,-7.69803,-130.1014,-6.95792,13.51937,27.41195,-18.68072,IU,EVA_ACE,Bart Kaufman Field,D1,BIG10,20260415-Bart Kaufman Field-1,ed945b70-3917-11f1-8aa9-4d07d0ae5fd5,89.14139,,,7.6438,,,,,,,dade52d1-15d3-4c24-a222-7fde5e91a367,2026-04-15,22:10:35.28,2026-04-15T18:10:35.2852480-04:00,2026-04-15T22:10:35.2852480Z,,v3,4866,471290,,"Ricketts, Brayden",807084,Right,IU,8d450028-0388-4bfa-ab33-7c1b27a954d0,54.36924,-131.01875,13.70597,5.81098,-6.33277,-9.34036,1.383,-8.15046,6.75968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-15,18:10:50.88,2,4,"Linn, Conner",701146,Left,IU,"Longmeier, Charlie",10003531,Left,EVA_ACE,Undefined,1,Top,1,2,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,79.3031,0.025837,2.106155,2643.007303,288.722609,3:30,5.72588,-1.4713,5.63303,-46.854,-2.00394,9.93914,1.8455,1.32286,73.1299,-8.517936,3.881899,0.482007,,,,,,,,,,,,-4.44087,-0.57209,1.28573,50,5.69826,-4.62121,-115.15186,-1.51706,-5.9607,21.45185,-32.94191,IU,EVA_ACE,Bart Kaufman Field,D1,BIG10,20260415-Bart Kaufman Field-1,f6e77130-3917-11f1-8aa9-4d07d0ae5fd5,78.199,,,6.1732,,,,,,,dade52d1-15d3-4c24-a222-7fde5e91a367,2026-04-15,22:10:50.88,2026-04-15T18:10:50.8845056-04:00,2026-04-15T22:10:50.8845056Z,,v3,4866,471290,,"Ricketts, Brayden",807084,Right,IU,3a12c51e-3edb-411c-87c6-b4c6c5984092,54.86598,-116.05482,10.72593,5.73293,-0.13047,-16.47096,1.47497,-4.37031,-2.98035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
