PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-15,15:06:57.81,1,1,"Beasley, James",1000318512,Right,PRI_TIG,"Gallagher, Will",1000239314,Right,RID_BRO,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.86093,-1.28653,-2.024823,2134.075287,231.473789,1:45,6.3254,1.63949,6.49168,-20.84387,13.41327,15.61068,3.4064,1.08075,82.03105,-5.2263,0.808643,0.421257,,,,,,,,,,,,-8.7017,7.66674,-1.50394,50,6.22575,3.97542,-129.26684,-3.49791,-14.85842,24.63787,-19.08288,PRI_TIG,RID_BRO,ClarkeField,D1,IVY,20260415-ClarkeField-1,46ab34f0-38fe-11f1-8f6d-59a7754aa554,89.47613,,,6.82988,,,,,,,3e81b490-275f-4a0a-b65e-a3c17f58e63a,2026-04-15,19:06:57.81,2026-04-15T15:06:57.8169856-04:00,2026-04-15T19:06:57.8169856Z,,v3,princeton,471421,ded8d3f3eed84ce799fea87775cb5e1e,"Robbins, Will",1000381897,Right,PRI_TIG,6f796137-d0a8-4470-967e-798e2e6824d3,54.00989,-130.02887,12.31894,6.32482,-2.90769,-9.54144,-1.63401,4.43497,-7.42921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-15,15:07:15.91,1,2,"Beasley, James",1000318512,Right,PRI_TIG,"Gallagher, Will",1000239314,Right,RID_BRO,Undefined,1,Top,0,1,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.90151,-2.1217,-2.113,2083.826047,227.667848,1:30,6.33708,1.55571,6.38513,-21.91367,13.253,13.4382,2.55698,0.73094,81.29418,-6.240419,0.321548,0.426813,,,,,,,,,,,,-7.57052,7.77296,-1.40963,50,6.1739,4.20563,-127.79469,-5.37537,-12.64328,23.89956,-19.19268,PRI_TIG,RID_BRO,ClarkeField,D1,IVY,20260415-ClarkeField-1,5178dcc0-38fe-11f1-8f6d-59a7754aa554,88.31147,,,6.60733,,,,,,,3e81b490-275f-4a0a-b65e-a3c17f58e63a,2026-04-15,19:07:15.91,2026-04-15T15:07:15.9173120-04:00,2026-04-15T19:07:15.9173120Z,,v3,princeton,471421,ded8d3f3eed84ce799fea87775cb5e1e,"Robbins, Will",1000381897,Right,PRI_TIG,04632a65-ab6e-4ea2-809d-74fd4e673fec,54.11655,-128.56224,11.94978,6.33664,-4.75898,-9.59634,-1.55122,4.61168,-6.32164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-15,15:07:33.58,1,3,"Beasley, James",1000318512,Right,PRI_TIG,"Gallagher, Will",1000239314,Right,RID_BRO,Undefined,1,Top,0,1,1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.4268,-3.182055,-2.375786,2160.51295,230.562099,1:45,6.2497,1.5928,6.62991,-19.49816,14.76367,16.5317,1.7058,0.79388,81.45924,-6.902005,0.632927,0.421286,,,,,,,,,,,,-9.43426,9.08032,-1.43813,50,6.02576,4.75448,-129.74322,-7.7384,-15.96129,29.03434,-16.81158,PRI_TIG,RID_BRO,ClarkeField,D1,IVY,20260415-ClarkeField-1,5bfb98e0-38fe-11f1-8f6d-59a7754aa554,89.47002,,,7.96756,,,,,,,3e81b490-275f-4a0a-b65e-a3c17f58e63a,2026-04-15,19:07:33.58,2026-04-15T15:07:33.5834112-04:00,2026-04-15T19:07:33.5834112Z,,v3,princeton,471421,ded8d3f3eed84ce799fea87775cb5e1e,"Robbins, Will",1000381897,Right,PRI_TIG,9643c287-9991-439f-9983-27e523da5a64,53.87023,-130.60643,14.51717,6.24841,-7.23857,-8.40579,-1.58654,5.22903,-7.98065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-15,15:07:52.30,1,4,"Beasley, James",1000318512,Right,PRI_TIG,"Gallagher, Will",1000239314,Right,RID_BRO,Undefined,1,Top,0,1,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,79.39551,2.920612,-1.41411,1793.276328,41.7504,7:30,6.10427,1.40084,6.04353,-47.50664,-3.07744,-4.05095,4.85261,-0.24626,72.16165,-5.871657,-2.142492,0.47974,,,,,,,,,,,,1.63937,-1.93106,-1.2886,50,6.30721,2.99756,-115.15342,4.3645,2.18514,22.84681,-34.74799,PRI_TIG,RID_BRO,ClarkeField,D1,IVY,20260415-ClarkeField-1,672e1d00-38fe-11f1-8f6d-59a7754aa554,78.56851,,,7.23387,,,,,,,3e81b490-275f-4a0a-b65e-a3c17f58e63a,2026-04-15,19:07:52.30,2026-04-15T15:07:52.3049984-04:00,2026-04-15T19:07:52.3049984Z,,v3,princeton,471421,ded8d3f3eed84ce799fea87775cb5e1e,"Robbins, Will",1000381897,Right,PRI_TIG,f1cc7a7f-dc18-47a2-9c9b-9cc79ca457bd,54.45539,-116.03402,11.42341,6.11318,5.70381,-17.374,-1.40252,2.91334,1.09257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-15,15:08:13.82,1,5,"Beasley, James",1000318512,Right,PRI_TIG,"Gallagher, Will",1000239314,Right,RID_BRO,Undefined,1,Top,0,2,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.03047,-3.743473,-2.231877,2130.040352,222.835066,1:30,6.28002,1.54644,6.60232,-18.05536,15.72666,13.53721,1.33852,0.62888,82.24392,-7.187546,0.230586,0.418325,,,,,,,,,,,,-7.82745,9.72323,-1.39964,50,6.01663,4.57999,-130.58568,-9.02928,-13.45189,28.71877,-15.46415,PRI_TIG,RID_BRO,ClarkeField,D1,IVY,20260415-ClarkeField-1,73f91b70-38fe-11f1-8f6d-59a7754aa554,90.10314,,,7.78655,,,,,,,3e81b490-275f-4a0a-b65e-a3c17f58e63a,2026-04-15,19:08:13.82,2026-04-15T15:08:13.8217472-04:00,2026-04-15T19:08:13.8217472Z,,v3,princeton,471421,ded8d3f3eed84ce799fea87775cb5e1e,"Robbins, Will",1000381897,Right,PRI_TIG,ee875e03-b23e-4fd1-996e-b04a58130a5b,53.8986,-131.44027,14.35939,6.27847,-8.56911,-7.73207,-1.54188,4.98028,-6.72595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-15,15:08:34.26,1,6,"Beasley, James",1000318512,Right,PRI_TIG,"Gallagher, Will",1000239314,Right,RID_BRO,Undefined,1,Top,0,3,2,Fastball,Sinker,InPlay,Undefined,FlyBall,Double,0,0,,89.80963,-2.993755,-2.359347,2303.183942,229.043322,1:45,6.24525,1.4485,6.56728,-18.55009,15.28194,16.35501,1.95017,0.64735,82.25317,-6.526868,0.613321,0.418635,95.17887,25.316422,-21.791532,1598.659888,101.08778,46.37186,-43.37243,358.13724,353.65253,-28.219729,4.392969,-9.31623,9.2163,-1.29282,50,6.03096,4.75547,-130.39452,-7.32666,-16.02215,27.69939,-16.32379,PRI_TIG,RID_BRO,ClarkeField,D1,IVY,20260415-ClarkeField-1,80293970-38fe-11f1-8f6d-59a7754aa554,90.03653,62.9395,,7.55646,,,,2.37176,2.08969,-0.63439,3e81b490-275f-4a0a-b65e-a3c17f58e63a,2026-04-15,19:08:34.26,2026-04-15T15:08:34.2640128-04:00,2026-04-15T19:08:34.2640128Z,FlyBall,v3,princeton,471421,ded8d3f3eed84ce799fea87775cb5e1e,"Robbins, Will",1000381897,Right,PRI_TIG,932f96a6-5044-4a79-8868-28f4fcd39296,53.9342,-131.22759,13.8497,6.24393,-6.83571,-8.1619,-1.44308,5.23734,-8.01108,160.55178,2.37121,117.18643,-21.98569,5.23148,-1.19154,0.26615,-0.04886,0.00562,-0.00028,2.09044,59.67139,-15.5664,0.34394,0.16647,-0.09134,0.02241,-0.0026,0.00011,-0.6344,-46.84606,4.81951,-1.29633,0.27951,-0.0541,0.00824,-0.00084,4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
7,2026-04-15,15:09:15.52,2,1,"Beasley, James",1000318512,Right,PRI_TIG,"Hartmann, Erich",1000239317,Left,RID_BRO,Undefined,1,Top,0,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.95413,3.737476,-0.447185,1682.202399,34.448141,7:15,6.09199,1.79624,6.30622,-47.88526,-1.14744,-1.815,5.54976,1.23301,69.99978,-5.178535,-0.775092,0.492046,,,,,,,,,,,,0.80256,-1.14654,-1.76268,50,6.34435,0.93626,-111.61874,5.88972,1.00803,20.91916,-33.61412,PRI_TIG,RID_BRO,ClarkeField,D1,IVY,20260415-ClarkeField-1,98cebbd0-38fe-11f1-8f6d-59a7754aa554,76.6035,,,6.95435,,,,,,,3e81b490-275f-4a0a-b65e-a3c17f58e63a,2026-04-15,19:09:15.52,2026-04-15T15:09:15.5276288-04:00,2026-04-15T19:09:15.5276288Z,,v3,princeton,471421,ded8d3f3eed84ce799fea87775cb5e1e,"Robbins, Will",1000381897,Right,PRI_TIG,69212049-a340-4863-a86a-e4eee5a90825,54.19267,-112.40177,10.45958,6.10034,7.14793,-16.80706,-1.79701,0.89853,0.50402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-15,15:09:35.44,2,2,"Beasley, James",1000318512,Right,PRI_TIG,"Hartmann, Erich",1000239317,Left,RID_BRO,Undefined,1,Top,0,1,0,Fastball,Sinker,InPlay,Undefined,FlyBall,Out,1,0,,89.19288,-2.373142,-3.483312,2154.597062,233.623506,1:45,6.2031,1.55789,6.3826,-21.44922,13.09631,16.28343,2.22723,-0.29353,81.7043,-6.423638,-0.538072,0.423026,93.29936,32.515248,6.329438,3755.989903,109.86631,65.5262,5.4185,315.48028,313.4561,-6.697556,5.145285,-9.5326,7.83158,-1.31431,50,6.02178,7.25238,-129.41302,-5.9996,-16.16831,26.97231,-18.89086,PRI_TIG,RID_BRO,ClarkeField,D1,IVY,20260415-ClarkeField-1,a49fa2d0-38fe-11f1-8f6d-59a7754aa554,89.10187,88.45544,,7.48858,,,,2.8041,2.43671,0.28413,3e81b490-275f-4a0a-b65e-a3c17f58e63a,2026-04-15,19:09:35.44,2026-04-15T15:09:35.4461696-04:00,2026-04-15T19:09:35.4461696Z,FlyBall,v3,princeton,471421,ded8d3f3eed84ce799fea87775cb5e1e,"Robbins, Will",1000381897,Right,PRI_TIG,4b494ba5-7173-482c-af3c-fa9a2e507162,54.11912,-130.2687,13.48616,6.20261,-5.4003,-9.44543,-1.55252,7.76531,-8.08415,155.442102,2.80308,114.70217,-24.94204,6.00474,-1.28807,0.25376,-0.04096,0.00425,-0.00019,2.44012,73.4913,-17.49572,0.94706,-0.05843,-0.02849,0.01085,-0.00142,7E-05,0.28363,12.72828,-9.29992,2.32577,-0.50194,0.09284,-0.01374,0.00134,-6E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
9,2026-04-15,15:10:16.30,3,1,"Beasley, James",1000318512,Right,PRI_TIG,"Neri, Kyle",1000115802,Right,RID_BRO,Undefined,1,Top,1,0,0,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,89.3401,-0.965324,-2.543558,2128.543735,238.410921,2:00,6.26819,1.51565,6.63752,-23.3584,10.67894,15.61339,3.43696,0.48664,81.70439,-5.391519,0.297216,0.419903,,,,,,,,,,,,-8.91843,6.22626,-1.34935,50,6.19329,5.1694,-129.84145,-2.85743,-15.20844,27.46065,-21.55651,PRI_TIG,RID_BRO,ClarkeField,D1,IVY,20260415-ClarkeField-1,bcf9eb60-38fe-11f1-8f6d-59a7754aa554,89.76457,,,7.63571,,,,,,,3e81b490-275f-4a0a-b65e-a3c17f58e63a,2026-04-15,19:10:16.30,2026-04-15T15:10:16.3089920-04:00,2026-04-15T19:10:16.3089920Z,,v3,princeton,471421,ded8d3f3eed84ce799fea87775cb5e1e,"Robbins, Will",1000381897,Right,PRI_TIG,6e22e9a5-427d-4cdd-99cf-fd13930d2d05,53.86266,-130.65582,13.73033,6.26855,-2.21815,-10.77825,-1.50934,5.62042,-7.60422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-15,15:10:37.41,3,2,"Beasley, James",1000318512,Right,PRI_TIG,"Neri, Kyle",1000115802,Right,RID_BRO,Undefined,1,Top,1,0,1,Fastball,Sinker,InPlay,Undefined,FlyBall,Out,1,0,,88.65613,-2.145082,-2.754558,2226.864072,237.430758,2:00,6.23611,1.50792,6.68715,-22.08966,12.45658,17.76918,2.43018,0.46737,81.15967,-6.338065,0.481845,0.423031,87.69194,23.926782,10.066281,3354.878025,107.02858,40.6164,25.39332,288.36766,279.60835,20.219447,3.830765,-10.208,7.52028,-1.33071,50,6.08389,5.54316,-128.7885,-5.43494,-17.11624,27.16364,-19.5644,PRI_TIG,RID_BRO,ClarkeField,D1,IVY,20260415-ClarkeField-1,c98e7080-38fe-11f1-8f6d-59a7754aa554,89.10094,47.37878,,7.49646,,,,1.57147,2.47409,-0.43665,3e81b490-275f-4a0a-b65e-a3c17f58e63a,2026-04-15,19:10:37.41,2026-04-15T15:10:37.4159872-04:00,2026-04-15T19:10:37.4159872Z,LineDrive,v3,princeton,471421,ded8d3f3eed84ce799fea87775cb5e1e,"Robbins, Will",1000381897,Right,PRI_TIG,2344b1f5-0b0c-4af3-9ba2-6d43c33fb186,53.81435,-129.59051,13.58182,6.23583,-4.8573,-9.7822,-1.50183,6.04852,-8.55812,222.896185,1.57085,115.77374,-20.58529,4.30793,-1.09383,0.32364,-0.08446,0.01323,-0.00085,2.47473,52.14028,-16.38129,0.63921,0.195,-0.1638,0.05788,-0.00953,0.0006,-0.43652,20.53975,4.62709,-1.89084,0.56468,-0.15262,0.03416,-0.00467,0.00027,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
