PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-17,18:06:23.44,1,1,"Kittredge, Ryan",1000191453,Right,UTA_UTE,"Thompson, Kyeler",831546,Right,TEX_RAI,Undefined,1,Top,0,0,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.06455,-1.917457,-4.206735,2078.440343,232.512568,1:45,5.76633,2.84175,5.36514,-23.70375,10.6389,12.50339,1.98756,-0.06791,83.70628,-6.281553,-1.991551,0.421782,,,,,,,,,,,,-7.45382,6.158,-2.47311,50,5.57699,9.14701,-131.90919,-5.30138,-13.20832,26.5544,-21.2619,UTA_UTE,TEX_RAI,AmericaFirstBallpark,D1,BIG12,20260417-AmericaFirstBallpark-1,6fd4c860-3aba-11f1-a744-19ef9aaeb10b,89.36463,,,7.35828,,,,,,,756d9897-5a0e-4030-89e3-72fecbabb439,2026-04-18,00:06:23.44,2026-04-17T18:06:23.4430976-06:00,2026-04-18T00:06:23.4430976Z,,v3,471475,2330,353a1410dd1f4e329f38b460132321fd,"Smith, Derek",805978,Right,UTA_UTE,e6ea926f-89fc-4808-83a6-a298bc005c13,55.13521,-132.93893,13.2772,5.76659,-4.47687,-10.63095,-2.83775,9.65921,-6.60416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-17,18:06:40.18,1,2,"Kittredge, Ryan",1000191453,Right,UTA_UTE,"Thompson, Kyeler",831546,Right,TEX_RAI,Undefined,1,Top,0,0,1,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.37517,-2.898106,-4.902349,2027.883516,228.048228,1:30,5.67689,2.82732,5.67588,-20.5193,13.19745,13.55579,1.25298,-0.62438,84.22846,-6.706936,-2.490652,0.417921,,,,,,,,,,,,-8.24205,7.76678,-2.42218,50,5.41859,10.77063,-132.24885,-7.42285,-14.72163,25.94542,-18.30132,UTA_UTE,TEX_RAI,AmericaFirstBallpark,D1,BIG12,20260417-AmericaFirstBallpark-1,79dcfd50-3aba-11f1-a744-19ef9aaeb10b,90.19036,,,7.14671,,,,,,,756d9897-5a0e-4030-89e3-72fecbabb439,2026-04-18,00:06:40.18,2026-04-17T18:06:40.1875456-06:00,2026-04-18T00:06:40.1875456Z,,v3,471475,2330,353a1410dd1f4e329f38b460132321fd,"Smith, Derek",805978,Right,UTA_UTE,5fc403ba-e6b3-46ec-a885-28ec1d604b47,54.82541,-133.19216,12.97271,5.67637,-6.75745,-9.15066,-2.8235,11.30587,-7.36082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-17,18:07:00.04,1,3,"Kittredge, Ryan",1000191453,Right,UTA_UTE,"Thompson, Kyeler",831546,Right,TEX_RAI,Undefined,1,Top,0,1,1,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.13549,-1.946922,-3.245287,1920.396623,224.673775,1:30,5.68714,2.74592,5.50247,-21.78379,12.15741,11.03115,2.04731,0.62672,84.03345,-5.975877,-1.282926,0.41931,,,,,,,,,,,,-6.44233,6.9426,-2.47008,50,5.50216,7.0131,-132.2113,-5.27802,-11.50411,25.84689,-19.77656,UTA_UTE,TEX_RAI,AmericaFirstBallpark,D1,BIG12,20260417-AmericaFirstBallpark-1,85a558d0-3aba-11f1-a744-19ef9aaeb10b,89.89166,,,7.10204,,,,,,,756d9897-5a0e-4030-89e3-72fecbabb439,2026-04-18,00:07:00.04,2026-04-17T18:07:00.0436736-06:00,2026-04-18T00:07:00.0436736Z,,v3,471475,2330,353a1410dd1f4e329f38b460132321fd,"Smith, Derek",805978,Right,UTA_UTE,3e52ad02-79ec-4be8-a68f-7e2dafcfbb6c,54.99776,-133.18476,12.92345,5.68691,-4.53318,-9.88828,-2.74237,7.44638,-5.75206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-17,18:07:33.99,1,4,"Kittredge, Ryan",1000191453,Right,UTA_UTE,"Thompson, Kyeler",831546,Right,TEX_RAI,Undefined,1,Top,0,1,2,ChangeUp,Changeup,InPlay,Undefined,FlyBall,Out,1,0,,84.873,-0.118094,-4.200443,1587.118012,245.126011,2:15,5.67643,3.21125,5.40803,-32.05277,7.67473,13.75631,2.89442,0.41508,77.42415,-6.015928,-1.76154,0.453646,88.48486,55.599142,-5.33599,6235.887229,109.82461,142.55698,-6.20822,219.86631,98.3294,-1.961063,6.144781,-8.14752,4.25878,-2.84698,50,5.64354,8.44725,-122.90847,-1.37837,-12.43716,24.83529,-25.67302,UTA_UTE,TEX_RAI,AmericaFirstBallpark,D1,BIG12,20260417-AmericaFirstBallpark-1,99e425b0-3aba-11f1-a744-19ef9aaeb10b,83.08778,148.21537,,7.44884,,,,1.63952,2.92946,-0.48284,756d9897-5a0e-4030-89e3-72fecbabb439,2026-04-18,00:07:33.99,2026-04-17T18:07:33.9904000-06:00,2026-04-18T00:07:33.9904000Z,FlyBall,v3,471475,2330,353a1410dd1f4e329f38b460132321fd,"Smith, Derek",805978,Right,UTA_UTE,f9e4fe67-fff5-4db2-b081-21c96f8aba4f,55.09086,-123.93287,12.41764,5.67855,-0.31941,-12.83651,-3.20599,8.96026,-6.21858,184.351649,1.6519,72.78317,-18.88067,4.07885,-0.1923,-0.14302,0.03949,-0.00425,0.00017,2.9247,107.13808,-24.24476,2.45405,-0.38174,0.00817,0.01241,-0.00241,0.00014,-0.48377,-6.79806,3.33827,-0.863,0.09262,0.01184,-0.00536,0.00067,-3E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
5,2026-04-17,18:08:12.35,2,1,"Kittredge, Ryan",1000191453,Right,UTA_UTE,"Lopez, Tracer",809718,Left,TEX_RAI,Undefined,1,Top,1,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,92.29125,-1.908201,-3.467472,2167.062051,240.632374,2:00,5.79343,3.0483,5.47736,-22.38671,10.9602,17.60576,2.13843,1.26694,84.52841,-6.054298,-0.336376,0.415622,,,,,,,,,,,,-9.76044,6.36115,-2.75569,50,5.6105,7.28458,-133.75431,-5.28074,-17.73203,28.08068,-20.61757,UTA_UTE,TEX_RAI,AmericaFirstBallpark,D1,BIG12,20260417-AmericaFirstBallpark-1,b0cb2f30-3aba-11f1-a744-19ef9aaeb10b,90.68914,,,7.76284,,,,,,,756d9897-5a0e-4030-89e3-72fecbabb439,2026-04-18,00:08:12.35,2026-04-17T18:08:12.3543552-06:00,2026-04-18T00:08:12.3543552Z,,v3,471475,2330,353a1410dd1f4e329f38b460132321fd,"Smith, Derek",805978,Right,UTA_UTE,d368df3a-155e-4fab-b331-5da44017ed6b,55.02085,-134.80428,14.04034,5.79354,-4.50982,-10.30879,-3.04047,7.9476,-8.86602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-17,18:08:32.05,2,2,"Kittredge, Ryan",1000191453,Right,UTA_UTE,"Lopez, Tracer",809718,Left,TEX_RAI,Undefined,1,Top,1,1,0,Sinker,Sinker,InPlay,Undefined,LineDrive,Single,0,0,,91.94856,-2.901886,-4.726341,1952.485889,237.692365,2:00,5.60628,2.82922,5.51704,-21.58651,11.91426,17.2358,1.08251,-0.16371,84.69436,-6.890846,-1.666131,0.41658,98.69107,10.017252,-1.630964,722.280354,109.93703,10.68026,-3.71901,199.36519,199.12986,-2.394887,1.669244,-9.95871,7.06815,-2.42886,50,5.3381,10.23473,-133.06823,-7.54236,-18.0075,26.28982,-19.39332,UTA_UTE,TEX_RAI,AmericaFirstBallpark,D1,BIG12,20260417-AmericaFirstBallpark-1,bc7e5500-3aba-11f1-a744-19ef9aaeb10b,90.48059,10.71951,,7.25421,,,,1.24863,1.05911,0.19052,756d9897-5a0e-4030-89e3-72fecbabb439,2026-04-18,00:08:32.05,2026-04-17T18:08:32.0559104-06:00,2026-04-18T00:08:32.0559104Z,LineDrive,v3,471475,2330,353a1410dd1f4e329f38b460132321fd,"Smith, Derek",805978,Right,UTA_UTE,e2c3c113-f1f1-4601-a4c4-c5fd512d102a,54.98345,-134.04918,13.14491,5.60603,-6.81874,-9.69666,-2.82329,10.90664,-9.00375,144.958439,1.24863,142.48231,-18.78333,3.61583,-0.76025,0.1591,-0.03221,0.00523,-0.00045,1.05911,25.17791,-17.49094,1.62032,-0.33969,0.07654,-0.01455,0.00238,-0.00022,0.19052,-4.05696,-0.75991,0.1049,-0.01951,0.00347,-0.00078,0.00012,-1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2026-04-17,18:09:12.90,3,1,"Kittredge, Ryan",1000191453,Right,UTA_UTE,"Shouse, Connor",815546,Right,TEX_RAI,Undefined,1,Top,1,0,0,Sinker,Sinker,InPlay,Undefined,Popup,Out,1,0,,90.51135,-0.361512,-3.856592,2053.213042,226.419096,1:30,5.67018,2.77184,5.54577,-21.20064,13.7054,13.14465,3.56485,0.25774,81.9653,-4.339211,-1.519884,0.425228,77.57531,75.858825,41.142027,,,,,,23.13185,,,-7.80402,7.38008,-2.44648,50,5.62506,8.24518,-131.06023,-1.54776,-13.47343,29.61164,-19.43255,UTA_UTE,TEX_RAI,AmericaFirstBallpark,D1,BIG12,20260417-AmericaFirstBallpark-1,d4ddcdb0-3aba-11f1-a744-19ef9aaeb10b,88.64056,105.99853,,8.54605,,,,0.49647,3.84095,-0.33362,756d9897-5a0e-4030-89e3-72fecbabb439,2026-04-18,00:09:12.90,2026-04-17T18:09:12.9039360-06:00,2026-04-18T00:09:12.9039360Z,,v3,471475,2330,353a1410dd1f4e329f38b460132321fd,"Smith, Derek",805978,Right,UTA_UTE,ad4cf940-b5ab-4ddd-b676-74c6e29ca4e0,54.95153,-132.17424,14.80582,5.66953,-0.81669,-9.71628,-2.76621,8.75206,-6.73671,,0.49644,20.9394,-12.68846,4.70444,-2.49303,2.34302,-1.58099,0.55961,-0.07889,3.84096,110.32808,-27.85414,3.16411,-0.30117,-0.30732,0.29752,-0.12195,0.01951,-0.33363,18.28934,-3.7421,1.04833,-0.419,0.35094,-0.22929,0.07934,-0.01089,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
8,2026-04-17,18:09:57.33,4,1,"Kittredge, Ryan",1000191453,Right,UTA_UTE,"Hughes, Logan",813314,Left,TEX_RAI,Undefined,1,Top,2,0,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.26928,-2.626831,-4.257501,1962.379551,228.471066,1:30,5.69358,2.79042,5.58378,-19.75942,13.54556,14.10146,1.58539,-0.01765,84.53649,-6.308406,-1.749422,0.415361,,,,,,,,,,,,-8.3267,7.89126,-2.43361,50,5.45438,9.31514,-133.57203,-6.82932,-15.08653,27.99655,-17.87645,UTA_UTE,TEX_RAI,AmericaFirstBallpark,D1,BIG12,20260417-AmericaFirstBallpark-1,ef4f0f60-3aba-11f1-a744-19ef9aaeb10b,90.74615,,,7.73279,,,,,,,756d9897-5a0e-4030-89e3-72fecbabb439,2026-04-18,00:09:57.33,2026-04-17T18:09:57.3383168-06:00,2026-04-18T00:09:57.3383168Z,,v3,471475,2330,353a1410dd1f4e329f38b460132321fd,"Smith, Derek",805978,Right,UTA_UTE,3c38b1a4-f9a0-479c-a9d5-c0547ac4a9ca,54.91561,-134.59839,13.99827,5.69273,-6.17396,-8.93823,-2.78524,9.86822,-7.54326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-17,18:10:19.14,4,2,"Kittredge, Ryan",1000191453,Right,UTA_UTE,"Hughes, Logan",813314,Left,TEX_RAI,Undefined,1,Top,2,0,1,Sinker,Sinker,InPlay,Undefined,LineDrive,Single,0,0,,91.62104,-2.140145,-4.131433,2165.782622,242.563605,2:00,5.65821,2.81082,5.62519,-23.113,10.58812,18.33469,1.72896,0.47687,83.92777,-6.425784,-0.864938,0.417824,108.36872,13.727494,2.628174,6662.209824,109.95976,20.85684,2.97434,293.90722,293.01283,0.809996,2.495588,-10.47788,6.26941,-2.47059,50,5.46053,8.78066,-132.7246,-5.79231,-18.7304,27.83564,-20.96679,UTA_UTE,TEX_RAI,AmericaFirstBallpark,D1,BIG12,20260417-AmericaFirstBallpark-1,fc4f75b0-3aba-11f1-a744-19ef9aaeb10b,90.21124,23.30494,,7.69327,,,,1.92427,1.78934,-0.49251,756d9897-5a0e-4030-89e3-72fecbabb439,2026-04-18,00:10:19.14,2026-04-17T18:10:19.1496704-06:00,2026-04-18T00:10:19.1496704Z,LineDrive,v3,471475,2330,353a1410dd1f4e329f38b460132321fd,"Smith, Derek",805978,Right,UTA_UTE,79cf3c2f-51a0-412a-b3d8-a71f601eb902,54.87492,-133.74308,13.91782,5.65844,-5.02515,-10.4834,-2.80441,9.46599,-9.3652,137.553305,1.92436,154.23269,-22.13941,4.31838,-0.76227,0.08943,-0.00609,0.00052,-8E-05,1.78925,37.72292,-17.96603,1.62116,-0.49485,0.1887,-0.05199,0.00854,-0.00059,-0.49234,7.06893,-4.21667,1.1681,0.025,-0.1583,0.06132,-0.01065,0.00071,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
10,2026-04-17,18:11:10.81,5,1,"Kittredge, Ryan",1000191453,Right,UTA_UTE,"Garcia, Linkin",828175,Right,TEX_RAI,Undefined,1,Top,2,0,0,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.119,-1.209088,-4.267639,2032.966298,246.377588,2:15,5.6908,2.8295,5.65897,-25.30064,8.60941,17.31202,2.45159,0.28507,83.66059,-5.886984,-1.182745,0.419117,99.42777,2.079961,65.976965,4624.986581,,,,74.73389,74.73389,70.260101,0.553231,-9.98729,4.99209,-2.47934,50,5.57211,9.10826,-132.0875,-3.7004,-17.73522,26.78163,-23.30919,UTA_UTE,TEX_RAI,AmericaFirstBallpark,D1,BIG12,20260417-AmericaFirstBallpark-1,1b1df700-3abb-11f1-a744-19ef9aaeb10b,89.93292,2.54772,,7.45841,,,,-0.52436,2.14234,-0.14129,756d9897-5a0e-4030-89e3-72fecbabb439,2026-04-18,00:11:10.81,2026-04-17T18:11:10.8147200-06:00,2026-04-18T00:11:10.8147200Z,GroundBall,v3,471475,2330,353a1410dd1f4e329f38b460132321fd,"Smith, Derek",805978,Right,UTA_UTE,c7943c48-77ec-4ee8-b5c8-5fcb42ec09e3,54.84169,-133.06556,13.39081,5.6917,-2.84915,-11.6546,-2.8238,9.75595,-8.86761,,-0.52436,59.32769,-25.55089,5.1017,-1.19898,0.27281,-0.0601,0.0099,-0.00016,2.14234,5.29268,-17.57677,2.04073,-0.44304,0.11226,-0.02557,0.00514,-0.00058,-0.14129,133.10813,-10.59359,0.49967,0.04184,-0.05428,0.02485,-0.01252,0.00423,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
