PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-17,15:05:57.29,1,1,"Griffin, Conner",10307830,Right,BIN_BEA,"Wensley, Casey",1000323295,Left,BRY_BUL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,94.81149,-2.442395,-2.131483,2175.89575,188.793175,12:15,6.3616,1.36336,6.81937,-15.21682,14.68339,2.13142,2.86247,-0.40446,87.13451,-5.36276,-1.742484,0.393558,,,,,,,,,,,,-1.69791,8.72398,-1.2268,50,6.19818,5.04548,-137.79909,-6.27527,-3.27783,29.46898,-15.33224,BIN_BEA,BRY_BUL,BinghamtonUniversity,D1,AMEAST,20260417-BinghamtonUniversity-1,77769dc0-3a90-11f1-856f-139ae538fde3,95.77357,,,7.67698,,,,,,,89dfda9c-98ad-4636-b232-54875e534c65,2026-04-17,19:05:57.29,2026-04-17T15:05:57.2986880-04:00,2026-04-17T19:05:57.2986880Z,,v3,471242,471248,,"Popoff, Tommy",10121636,Right,BIN_BEA,9457e21a-9e1b-4905-9109-7f7dfa14b9db,53.67935,-138.5837,14.73449,6.35982,-5.86704,-7.66612,-1.3623,5.13275,-1.63892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-17,15:06:14.56,1,2,"Griffin, Conner",10307830,Right,BIN_BEA,"Wensley, Casey",1000323295,Left,BRY_BUL,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,95.71624,-1.592313,-1.495854,2308.572378,189.514832,12:15,6.38875,1.15989,6.67321,-9.46382,20.07233,3.21059,4.14251,0.05866,87.53621,-3.472921,-0.911394,0.391155,,,,,,,,,,,,-2.09532,11.28083,-1.06089,50,6.27764,3.50207,-139.161,-4.04277,-4.11436,30.83776,-10.02295,BIN_BEA,BRY_BUL,BinghamtonUniversity,D1,AMEAST,20260417-BinghamtonUniversity-1,81b8a760-3a90-11f1-856f-139ae538fde3,96.36198,,,8.18003,,,,,,,89dfda9c-98ad-4636-b232-54875e534c65,2026-04-17,19:06:14.56,2026-04-17T15:06:14.5694208-04:00,2026-04-17T19:06:14.5694208Z,,v3,471242,471248,,"Popoff, Tommy",10121636,Right,BIN_BEA,0ec19c0e-1859-41d3-a96a-d0278eaf115a,53.82462,-140.00596,15.41888,6.38465,-3.76814,-5.01148,-1.15839,3.6148,-2.05718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-17,15:06:30.68,1,3,"Griffin, Conner",10307830,Right,BIN_BEA,"Wensley, Casey",1000323295,Left,BRY_BUL,Undefined,1,Top,0,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.27069,-2.283935,-0.619946,2188.257685,203.360212,12:45,6.3262,1.22088,6.82933,-14.57587,15.62481,6.3528,3.02711,1.18479,86.58738,-5.093145,0.541006,0.395531,,,,,,,,,,,,-3.5239,9.18028,-1.18301,50,6.17366,1.23442,-137.10729,-5.82972,-6.73252,29.26998,-14.63479,BIN_BEA,BRY_BUL,BinghamtonUniversity,D1,AMEAST,20260417-BinghamtonUniversity-1,8b5485f0-3a90-11f1-856f-139ae538fde3,95.2959,,,7.68331,,,,,,,89dfda9c-98ad-4636-b232-54875e534c65,2026-04-17,19:06:30.68,2026-04-17T15:06:30.6865664-04:00,2026-04-17T19:06:30.6865664Z,,v3,471242,471248,,"Popoff, Tommy",10121636,Right,BIN_BEA,d3947184-7a73-4121-9685-eeab197f608b,53.66898,-137.88832,14.63499,6.324,-5.4392,-7.3174,-1.21835,1.41407,-3.36626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-17,15:06:47.92,1,4,"Griffin, Conner",10307830,Right,BIN_BEA,"Wensley, Casey",1000323295,Left,BRY_BUL,Undefined,1,Top,0,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.81977,-0.131411,-1.23393,2146.479391,190.24754,12:15,6.3002,1.42683,6.72364,-14.97013,15.51418,2.64583,4.93256,0.51938,86.27509,-3.014245,-0.751701,0.397383,,,,,,,,,,,,-1.7087,8.49878,-1.34622,50,6.28517,2.8359,-136.54296,-0.69563,-3.24953,27.99784,-16.01139,BIN_BEA,BRY_BUL,BinghamtonUniversity,D1,AMEAST,20260417-BinghamtonUniversity-1,9593a960-3a90-11f1-856f-139ae538fde3,94.8516,,,7.54468,,,,,,,89dfda9c-98ad-4636-b232-54875e534c65,2026-04-17,19:06:47.92,2026-04-17T15:06:47.9234560-04:00,2026-04-17T19:06:47.9234560Z,,v3,471242,471248,,"Popoff, Tommy",10121636,Right,BIN_BEA,8648a3e1-7cd1-461c-9935-6476f7cf2428,53.77459,-137.31475,13.99892,6.29826,-0.25426,-8.0057,-1.42563,2.92547,-1.62476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-17,15:07:06.93,1,5,"Griffin, Conner",10307830,Right,BIN_BEA,"Wensley, Casey",1000323295,Left,BRY_BUL,Undefined,1,Top,0,3,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,94.237,-1.900137,-1.372311,2212.405843,186.685498,12:15,6.13366,1.65021,6.94047,-12.77686,17.3156,1.9228,3.33833,0.56115,86.48693,-4.390053,-1.020408,0.394821,,,,,,,,,,,,-1.38654,10.00375,-1.5653,50,6.01017,3.20936,-137.07487,-4.82844,-2.6477,29.26169,-13.07097,BIN_BEA,BRY_BUL,BinghamtonUniversity,D1,AMEAST,20260417-BinghamtonUniversity-1,a0ee00d0-3a90-11f1-856f-139ae538fde3,95.46712,,,7.75006,,,,,,,89dfda9c-98ad-4636-b232-54875e534c65,2026-04-17,19:07:06.93,2026-04-17T15:07:06.9374464-04:00,2026-04-17T19:07:06.9374464Z,,v3,471242,471248,,"Popoff, Tommy",10121636,Right,BIN_BEA,b35bd1f1-7c9b-4349-bc37-48b083adc60f,53.55752,-137.83221,14.63084,6.13075,-4.49014,-6.53549,-1.64925,3.27789,-1.32385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-17,15:07:23.70,1,6,"Griffin, Conner",10307830,Right,BIN_BEA,"Wensley, Casey",1000323295,Left,BRY_BUL,Undefined,1,Top,0,3,2,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,94.15174,-2.956575,-3.559864,2173.613032,193.321913,12:30,6.1334,1.23404,7.0557,-15.00918,15.06194,3.35488,2.18999,-1.7235,86.74571,-5.843308,-2.94615,0.394681,,,,,,,,,,,,-2.71126,9.10591,-1.02018,50,5.94937,8.37687,-136.67966,-7.43,-5.16275,28.26045,-14.83474,BIN_BEA,BRY_BUL,BinghamtonUniversity,D1,AMEAST,20260417-BinghamtonUniversity-1,aaee1f70-3a90-11f1-856f-139ae538fde3,95.50108,,,7.40604,,,,,,,89dfda9c-98ad-4636-b232-54875e534c65,2026-04-17,19:07:23.70,2026-04-17T15:07:23.7092352-04:00,2026-04-17T19:07:23.7092352Z,,v3,471242,471248,,"Popoff, Tommy",10121636,Right,BIN_BEA,8707f2db-7195-49e4-8415-31d57961cef1,53.44281,-137.38967,14.13022,6.13136,-7.0573,-7.41737,-1.23226,8.50658,-2.58137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-17,15:08:01.34,2,1,"Griffin, Conner",10307830,Right,BIN_BEA,"Greger, Gavin",808834,Left,BRY_BUL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.35846,-0.808142,-1.422236,2050.885321,197.766404,12:30,6.28803,1.24763,6.80949,-14.5767,15.4154,4.66591,4.33563,0.33845,86.96358,-3.615735,-0.570399,0.394162,,,,,,,,,,,,-2.8278,8.64623,-1.15731,50,6.22992,3.22832,-137.35368,-2.30592,-5.45091,27.8521,-15.50743,BIN_BEA,BRY_BUL,BinghamtonUniversity,D1,AMEAST,20260417-BinghamtonUniversity-1,c15d87f0-3a90-11f1-856f-139ae538fde3,95.62674,,,7.39488,,,,,,,89dfda9c-98ad-4636-b232-54875e534c65,2026-04-17,19:08:01.34,2026-04-17T15:08:01.3426688-04:00,2026-04-17T19:08:01.3426688Z,,v3,471242,471248,,"Popoff, Tommy",10121636,Right,BIN_BEA,63f71a18-cf97-4c27-aeef-04b48dd72624,53.68952,-138.0998,13.92605,6.28614,-1.89049,-7.75371,-1.24575,3.37434,-2.72545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-17,15:08:20.90,2,2,"Griffin, Conner",10307830,Right,BIN_BEA,"Greger, Gavin",808834,Left,BRY_BUL,Undefined,1,Top,0,1,0,Cutter,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.90719,-1.020994,-1.761062,2151.437207,99.345659,9:15,5.82108,1.91481,6.29276,-32.65033,1.95185,-5.75953,2.15885,-0.18845,82.13025,-7.06514,-2.80305,0.423373,,,,,,,,,,,,2.55815,1.55701,-1.78246,50,5.73004,4.19623,-129.30149,-3.3736,4.35063,25.80725,-29.52605,BIN_BEA,BRY_BUL,BinghamtonUniversity,D1,AMEAST,20260417-BinghamtonUniversity-1,cd04edf0-3a90-11f1-856f-139ae538fde3,89.02893,,,6.77695,,,,,,,89dfda9c-98ad-4636-b232-54875e534c65,2026-04-17,19:08:20.90,2026-04-17T15:08:20.9018368-04:00,2026-04-17T19:08:20.9018368Z,,v3,471242,471248,,"Popoff, Tommy",10121636,Right,BIN_BEA,85f45b08-d3b1-43a1-b1b4-8675f80914c7,54.20821,-130.1387,12.90363,5.82394,-2.41576,-14.76303,-1.9163,4.05509,2.17532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-17,15:08:51.30,2,3,"Griffin, Conner",10307830,Right,BIN_BEA,"Greger, Gavin",808834,Left,BRY_BUL,Undefined,1,Top,0,1,1,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.85158,0.405401,-1.077485,2109.493186,98.584536,9:15,5.94131,1.94594,5.98129,-34.69557,2.19311,-6.95528,3.42586,0.36748,79.57272,-6.013361,-2.328265,0.437137,,,,,,,,,,,,3.2548,1.38941,-1.85712,50,5.95433,2.65959,-126.19779,-0.2922,5.24488,25.86522,-29.93513,BIN_BEA,BRY_BUL,BinghamtonUniversity,D1,AMEAST,20260417-BinghamtonUniversity-1,df29b470-3a90-11f1-856f-139ae538fde3,86.22561,,,7.27886,,,,,,,89dfda9c-98ad-4636-b232-54875e534c65,2026-04-17,19:08:51.30,2026-04-17T15:08:51.3070000-04:00,2026-04-17T19:08:51.3070000Z,,v3,471242,471248,,"Popoff, Tommy",10121636,Right,BIN_BEA,b54944dc-f457-4c3b-9f18-ff21d01a9185,54.51688,-127.12019,12.93261,5.94572,0.77534,-14.96757,-1.94863,2.47255,2.62244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.01904,1.997205,0.781824,1.215381,-1.88186,3.06538,-0.23112,-0.99625,5.94051,0.17813,127.28028,3.21097,1.94911,-0.88744,116.9775,-9.58231,5.94788,11.45259,-11.28594,0.13987,-1.61657,2.58985,High,High,High,,,High,Medium,Medium
10,2026-04-17,15:09:19.20,2,4,"Griffin, Conner",10307830,Right,BIN_BEA,"Greger, Gavin",808834,Left,BRY_BUL,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.57551,-3.059052,-4.266668,2169.464593,178.736866,12:00,6.10609,1.56972,6.82215,-17.92847,12.91355,-0.26425,1.81103,-2.35174,86.1763,-6.458795,-4.314711,0.399708,,,,,,,,,,,,-0.99307,7.95902,-1.29477,50,5.9017,10.13033,-135.64902,-7.7556,-1.8587,28.4234,-17.27763,BIN_BEA,BRY_BUL,BinghamtonUniversity,D1,AMEAST,20260417-BinghamtonUniversity-1,efd102b0-3a90-11f1-856f-139ae538fde3,94.29993,,,7.39921,,,,,,,89dfda9c-98ad-4636-b232-54875e534c65,2026-04-17,19:09:19.20,2026-04-17T15:09:19.2079360-04:00,2026-04-17T19:09:19.2079360Z,,v3,471242,471248,,"Popoff, Tommy",10121636,Right,BIN_BEA,e79d6ae3-5880-44a7-9662-1c899fcb0f0c,53.67632,-136.41717,14.2117,6.10499,-7.28866,-8.63882,-1.56923,10.18056,-0.92935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
