PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-17,18:05:48.96,1,1,"Marshburn, Connor",823987,Right,UNC_SEA,"Brown, Michael",1000182043,Right,HOF_PRI,Undefined,1,Top,0,0,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.76838,-1.201395,-3.938045,2354.87464,242.4174,2:00,5.36626,2.48207,5.75017,-24.67572,9.5904,15.77406,2.18866,0.12454,81.93445,-5.835054,-1.121361,0.421312,,,,,,,,,,,,-9.38162,5.68016,-2.16426,50,5.25152,8.41621,-132.65922,-3.64283,-16.30918,34.85308,-22.29954,UNC_SEA,HOF_PRI,BrooksField,D1,CAA,20260417-BrooksField-1,97c4b0d0-3aa9-11f1-b5ee-9b82589a0f37,89.46444,,,9.83393,,,,,,,c63372a3-f27a-4b13-a058-c6ed60944fd8,2026-04-17,22:05:48.96,2026-04-17T18:05:48.9688064-04:00,2026-04-17T22:05:48.9688064Z,,v3,471373,471312,a1340ed258344db5b558c397653a5029,"Bubenik, Matous",10093244,Right,UNC_SEA,f11f17a6-73b9-42ca-a2dd-5909d2cd8e08,54.74704,-133.90058,17.42654,5.36712,-2.84859,-11.14977,-2.47436,8.99709,-8.15459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-17,18:06:03.29,1,2,"Marshburn, Connor",823987,Right,UNC_SEA,"Brown, Michael",1000182043,Right,HOF_PRI,Undefined,1,Top,0,0,1,Sinker,Sinker,InPlay,Undefined,FlyBall,Out,1,0,,93.55371,-0.93678,-3.406718,2411.107082,244.492283,2:15,5.29157,2.25073,5.67693,-24.30848,8.71634,15.55095,2.39093,0.36694,83.50219,-5.4939,-0.631292,0.41361,92.27101,18.11077,-16.007184,3038.427816,103.10012,28.84093,-38.34446,262.2088,254.34995,-26.627491,2.963199,-9.09264,5.11248,-1.97319,50,5.19748,7.33538,-135.32179,-3.0894,-16.44096,36.37435,-22.92986,UNC_SEA,HOF_PRI,BrooksField,D1,CAA,20260417-BrooksField-1,a04fbba0-3aa9-11f1-b5ee-9b82589a0f37,91.1303,31.33378,,10.05152,,,,1.68507,2.43194,-0.36424,c63372a3-f27a-4b13-a058-c6ed60944fd8,2026-04-17,22:06:03.29,2026-04-17T18:06:03.2983552-04:00,2026-04-17T22:06:03.2983552Z,LineDrive,v3,471373,471312,a1340ed258344db5b558c397653a5029,"Bubenik, Matous",10093244,Right,UNC_SEA,6e36549d-8e4f-45bf-bac1-4f8cb09d8084,54.82086,-136.61148,18.18717,5.29261,-2.2764,-11.46493,-2.24361,7.91831,-8.22048,125.834061,1.68507,123.63889,-25.86802,5.9803,-1.26436,0.23535,-0.0385,0.00456,-0.00025,2.43193,42.06813,-15.82858,0.19424,0.21334,-0.08003,0.01807,-0.00205,0.0001,-0.36422,-35.46982,-5.11042,2.70973,-0.89325,0.22614,-0.04336,0.00533,-0.00031,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2026-04-17,18:06:37.24,2,1,"Marshburn, Connor",823987,Right,UNC_SEA,"Griggs, CJ",10147390,Left,HOF_PRI,Undefined,1,Top,1,0,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,94.02784,-1.036572,-4.465691,2379.532653,246.522143,2:15,5.3907,2.32468,5.79368,-24.24974,8.12185,15.93753,2.4026,-0.50971,84.52267,-5.571997,-1.620706,0.4095,,,,,,,,,,,,-9.58717,4.81949,-1.96621,50,5.29078,9.89273,-135.97967,-3.33447,-17.65017,34.47255,-23.30127,UNC_SEA,HOF_PRI,BrooksField,D1,CAA,20260417-BrooksField-1,b48bf070-3aa9-11f1-b5ee-9b82589a0f37,92.04514,,,9.50517,,,,,,,c63372a3-f27a-4b13-a058-c6ed60944fd8,2026-04-17,22:06:37.24,2026-04-17T18:06:37.2481024-04:00,2026-04-17T22:06:37.2481024Z,,v3,471373,471312,a1340ed258344db5b558c397653a5029,"Bubenik, Matous",10093244,Right,UNC_SEA,92c90751-b763-41c6-99a3-e628125aedf1,54.70534,-137.16734,17.23628,5.39184,-2.53167,-11.65063,-2.31752,10.50082,-8.82509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-17,18:06:51.47,2,2,"Marshburn, Connor",823987,Right,UNC_SEA,"Griggs, CJ",10147390,Left,HOF_PRI,Undefined,1,Top,1,0,1,Cutter,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,89.19259,-0.399074,-0.718439,2658.730217,135.932803,10:30,5.30618,2.4158,5.44409,-29.46147,6.90819,-5.37914,2.47737,1.29481,80.17547,-5.860063,-1.676334,0.434052,,,,,,,,,,,,2.42886,4.03563,-2.34865,50,5.25117,1.87196,-129.18658,-1.98641,4.02829,31.58115,-25.48089,UNC_SEA,HOF_PRI,BrooksField,D1,CAA,20260417-BrooksField-1,bd0520f0-3aa9-11f1-b5ee-9b82589a0f37,86.83863,,,9.01713,,,,,,,c63372a3-f27a-4b13-a058-c6ed60944fd8,2026-04-17,22:06:51.47,2026-04-17T18:06:51.4725888-04:00,2026-04-17T22:06:51.4725888Z,,v3,471373,471312,a1340ed258344db5b558c397653a5029,"Bubenik, Matous",10093244,Right,UNC_SEA,48d2fbe1-8959-4783-884f-3ef97d23aba4,55.05042,-130.41537,15.79057,5.30918,-0.99498,-12.74044,-2.41844,1.71522,2.01415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-17,18:07:05.82,2,3,"Marshburn, Connor",823987,Right,UNC_SEA,"Griggs, CJ",10147390,Left,HOF_PRI,Undefined,1,Top,1,1,1,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,92.92016,-0.117297,-1.946894,2484.91831,245.994006,2:15,5.33592,2.33028,5.78532,-24.21419,8.66264,16.84839,3.20888,1.92229,83.87347,-4.649876,1.070633,0.412683,,,,,,,,,,,,-9.07323,4.80614,-2.17933,50,5.31198,3.79081,-134.73791,-1.13615,-16.47444,32.63364,-23.44744,UNC_SEA,HOF_PRI,BrooksField,D1,CAA,20260417-BrooksField-1,c5964640-3aa9-11f1-b5ee-9b82589a0f37,91.33516,,,9.04669,,,,,,,c63372a3-f27a-4b13-a058-c6ed60944fd8,2026-04-17,22:07:05.82,2026-04-17T18:07:05.8222080-04:00,2026-04-17T22:07:05.8222080Z,,v3,471373,471312,a1340ed258344db5b558c397653a5029,"Bubenik, Matous",10093244,Right,UNC_SEA,cd6e862e-6035-4798-9c3d-db85cc91aea0,54.71168,-135.8743,16.31682,5.33732,-0.31966,-11.72372,-2.32132,4.36449,-8.23722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-17,18:07:20.82,2,4,"Marshburn, Connor",823987,Right,UNC_SEA,"Griggs, CJ",10147390,Left,HOF_PRI,Undefined,1,Top,1,2,1,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.38391,-0.727149,-2.884633,2374.213747,254.826912,2:30,5.3444,2.21848,5.96447,-27.42974,5.80524,16.88387,2.38345,0.94846,83.09805,-5.855168,0.148251,0.414925,72.01992,25.46606,-137.785717,3029.926147,-87.80359,20.83665,-66.2602,159.52413,48.55121,-146.069176,2.112861,-9.59308,3.57847,-1.99882,50,5.27158,5.99798,-133.87413,-2.66418,-17.09264,33.81067,-25.79804,UNC_SEA,HOF_PRI,BrooksField,D1,CAA,20260417-BrooksField-1,ce84f4e0-3aa9-11f1-b5ee-9b82589a0f37,90.84167,23.23291,,9.28586,,,,0.45515,2.39758,-0.92685,c63372a3-f27a-4b13-a058-c6ed60944fd8,2026-04-17,22:07:20.82,2026-04-17T18:07:20.8295424-04:00,2026-04-17T22:07:20.8295424Z,FlyBall,v3,471373,471312,a1340ed258344db5b558c397653a5029,"Bubenik, Matous",10093244,Right,UNC_SEA,ffe33079-7444-448c-9675-0f185c62d39f,54.53426,-135.01443,16.90534,5.34676,-1.79412,-12.89902,-2.21083,6.57444,-8.54632,,0.45519,-70.63469,1.47318,1.45421,-0.20085,-0.11652,0.1195,-0.03893,0.00434,2.39758,45.41828,-27.72574,3.7626,-0.80371,0.21098,-0.05544,0.01517,-0.00218,-0.92678,-64.08158,12.54694,-1.51271,0.62623,-0.42854,0.23736,-0.07026,0.00801,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
7,2026-04-17,18:07:42.16,2,5,"Marshburn, Connor",823987,Right,UNC_SEA,"Griggs, CJ",10147390,Left,HOF_PRI,Undefined,1,Top,1,2,2,Sinker,Sinker,InPlay,Undefined,GroundBall,Single,0,0,,93.06146,-1.097628,-3.667666,2416.144915,267.863804,3:00,5.1941,2.16374,6.06493,-30.53214,1.63595,16.25584,1.6317,0.11936,85.09964,-6.747473,-0.743922,0.40821,101.36012,-3.248955,3.688715,,,,,18.45788,18.45788,2.33718,0.116296,-9.49831,1.42386,-1.88785,50,5.09231,7.9723,-135.01797,-3.68085,-17.4912,30.06014,-29.55198,UNC_SEA,HOF_PRI,BrooksField,D1,CAA,20260417-BrooksField-1,db36c600-3aa9-11f1-b5ee-9b82589a0f37,92.33583,1.6094,,7.96182,,,,1.52201,1.6094,-0.13605,c63372a3-f27a-4b13-a058-c6ed60944fd8,2026-04-17,22:07:42.16,2026-04-17T18:07:42.1694464-04:00,2026-04-17T22:07:42.1694464Z,GroundBall,v3,471373,471312,a1340ed258344db5b558c397653a5029,"Bubenik, Matous",10093244,Right,UNC_SEA,4b450027-d587-461e-963e-3745ef90ae41,54.43784,-136.00241,15.03007,5.197,-2.71305,-14.77599,-2.15832,8.54512,-8.7456,25.076141,1.52175,148.14465,-22.74722,,,,,,,1.61014,-8.50946,-45.93473,,,,,,,-0.13577,9.51784,-16.16827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2026-04-17,18:08:18.35,3,1,"Marshburn, Connor",823987,Right,UNC_SEA,"Cox, Tyler",802131,Left,HOF_PRI,Undefined,1,Top,1,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,93.32238,-1.976752,-5.856445,2408.483164,259.626412,2:45,5.18406,2.34279,6.03303,-27.9586,4.29614,17.68095,1.01328,-1.6261,85.20711,-7.153004,-2.694438,0.40876,,,,,,,,,,,,-10.75666,3.09055,-1.89326,50,5.01366,13.06928,-134.88342,-5.67422,-19.78321,29.80315,-26.49001,UNC_SEA,HOF_PRI,BrooksField,D1,CAA,20260417-BrooksField-1,f0cce580-3aa9-11f1-b5ee-9b82589a0f37,92.2117,,,8.11527,,,,,,,c63372a3-f27a-4b13-a058-c6ed60944fd8,2026-04-17,22:08:18.35,2026-04-17T18:08:18.3514624-04:00,2026-04-17T22:08:18.3514624Z,,v3,471373,471312,a1340ed258344db5b558c397653a5029,"Bubenik, Matous",10093244,Right,UNC_SEA,56e0d94e-387e-4b7d-9525-1f9d979eec03,54.46855,-135.86718,14.90157,5.18653,-4.79982,-13.245,-2.33544,13.72229,-9.89161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-17,18:08:38.43,3,2,"Marshburn, Connor",823987,Right,UNC_SEA,"Cox, Tyler",802131,Left,HOF_PRI,Undefined,1,Top,1,1,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.51205,0.488399,-1.528904,2236.950231,264.694963,2:45,5.32286,2.38948,5.9432,-30.93813,2.81988,17.40387,3.1979,2.42123,82.51059,-5.271999,1.598824,0.418177,,,,,,,,,,,,-9.333,1.67681,-2.27698,50,5.34477,2.76516,-132.7578,0.01741,-16.39694,32.5514,-29.2281,UNC_SEA,HOF_PRI,BrooksField,D1,CAA,20260417-BrooksField-1,fcc46750-3aa9-11f1-b5ee-9b82589a0f37,90.1352,,,9.00146,,,,,,,c63372a3-f27a-4b13-a058-c6ed60944fd8,2026-04-17,22:08:38.43,2026-04-17T18:08:38.4357888-04:00,2026-04-17T22:08:38.4357888Z,,v3,471373,471312,a1340ed258344db5b558c397653a5029,"Bubenik, Matous",10093244,Right,UNC_SEA,aca32e39-b09f-48e9-b27f-a6a89d11207d,54.55518,-133.87004,16.2757,5.32712,1.0161,-14.61405,-2.38104,3.32542,-8.19847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-17,18:08:57.49,3,3,"Marshburn, Connor",823987,Right,UNC_SEA,"Cox, Tyler",802131,Left,HOF_PRI,Undefined,1,Top,1,2,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.52261,-0.787506,-3.486575,2227.412314,258.984207,2:45,5.26089,2.293,5.8456,-28.65309,4.39725,16.73544,2.13989,0.44348,83.88673,-6.103839,-0.48932,0.41377,,,,,,,,,,,,-9.58745,2.83185,-2.01869,50,5.18002,7.42071,-134.08708,-2.88993,-17.2908,31.53747,-27.06684,UNC_SEA,HOF_PRI,BrooksField,D1,CAA,20260417-BrooksField-1,0824b230-3aaa-11f1-b5ee-9b82589a0f37,91.09508,,,8.63588,,,,,,,c63372a3-f27a-4b13-a058-c6ed60944fd8,2026-04-17,22:08:57.49,2026-04-17T18:08:57.4921728-04:00,2026-04-17T22:08:57.4921728Z,,v3,471373,471312,a1340ed258344db5b558c397653a5029,"Bubenik, Matous",10093244,Right,UNC_SEA,2f2d05b5-8c68-4b19-b1a8-f1c799b21b20,54.6543,-135.17735,15.76874,5.26376,-1.95422,-13.53342,-2.28556,8.01846,-8.6454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
