PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-17,18:07:20.19,1,1,"Bickett, Brady",1000460665,Left,CHA_BUC,"Ponce, Willie",10105900,Left,HIG_PAN,Undefined,1,Top,0,0,0,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.8766,-0.156955,2.791986,2356.049332,105.035109,9:30,5.17421,-1.78401,5.22274,-32.85683,7.19835,-20.6934,2.28839,-0.88124,76.32654,-6.24504,-0.874617,0.455513,43.51765,-39.397713,90.863653,,,,,4.94197,3.29171,50.885314,0.060831,11.38371,4.0863,1.54259,50,5.13561,-5.12849,-124.13767,-1.5291,17.21879,31.94764,-25.99319,CHA_BUC,HIG_PAN,CSUBallparkNielsen,D1,BSOU,20260417-CSUBallparkNielsen-1,ce2c4d90-3aa9-11f1-be47-193922aebb67,82.74724,2.48772,,9.55005,,,,3.16342,2.48772,0.8059,7a24964c-7364-4278-8019-a423fd0f8b66,2026-04-17,22:07:20.19,2026-04-17T18:07:20.1955840-04:00,2026-04-17T22:07:20.1955840Z,GroundBall,v3,471239,471515,b8fd878d578e435f98a7c494b8f21721,"Pringle, Lucas",1000268589,Right,CHA_BUC,f109d2ed-86df-4898-8c63-df85a5c68f82,55.27794,-125.48864,15.97382,5.17703,-0.42993,-12.9966,1.77485,-5.85662,8.60939,,3.16349,-0.7505,,,,,,,,2.49149,-40.89547,,,,,,,,0.80131,49.78535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
2,2026-04-17,18:07:48.17,1,2,"Bickett, Brady",1000460665,Left,CHA_BUC,"Ponce, Willie",10105900,Left,HIG_PAN,Undefined,1,Top,0,0,1,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.46312,-0.357092,2.642245,2260.88975,122.479561,10:00,5.24347,-1.65755,5.19761,-28.50159,11.7026,-15.92446,2.53207,-0.49733,76.41108,-5.660525,-0.176921,0.456359,,,,,,,,,,,,8.86276,6.38992,1.42509,50,5.18941,-4.99447,-123.6124,-1.76892,13.39457,29.97407,-22.51675,CHA_BUC,HIG_PAN,CSUBallparkNielsen,D1,BSOU,20260417-CSUBallparkNielsen-1,ded6d020-3aa9-11f1-be47-193922aebb67,82.59376,,,9.05203,,,,,,,7a24964c-7364-4278-8019-a423fd0f8b66,2026-04-17,22:07:48.17,2026-04-17T18:07:48.1747968-04:00,2026-04-17T22:07:48.1747968Z,,v3,471239,471515,b8fd878d578e435f98a7c494b8f21721,"Pringle, Lucas",1000268589,Right,CHA_BUC,8e4e11de-88d7-4d3f-99fd-5114140d905a,55.3027,-124.8916,14.98704,5.2444,-0.80798,-11.25838,1.65043,-5.56611,6.69729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-17,18:08:11.83,1,3,"Bickett, Brady",1000460665,Left,CHA_BUC,"Ponce, Willie",10105900,Left,HIG_PAN,Undefined,1,Top,0,0,2,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.79244,-0.824804,5.502804,2283.139223,116.289536,10:00,5.07942,-1.71645,5.30283,-30.35175,8.3128,-14.01123,1.77211,2.29815,78.41625,-6.415382,3.031336,0.447536,,,,,,,,,,,,8.78871,4.79803,1.22557,50,4.98221,-11.45719,-125.28361,-2.90443,13.80172,28.1337,-24.63927,CHA_BUC,HIG_PAN,CSUBallparkNielsen,D1,BSOU,20260417-CSUBallparkNielsen-1,ecef5d30-3aa9-11f1-be47-193922aebb67,84.22217,,,8.37619,,,,,,,7a24964c-7364-4278-8019-a423fd0f8b66,2026-04-17,22:08:11.83,2026-04-17T18:08:11.8323200-04:00,2026-04-17T22:08:11.8323200Z,,v3,471239,471515,b8fd878d578e435f98a7c494b8f21721,"Pringle, Lucas",1000268589,Right,CHA_BUC,96c833ef-3eed-4111-ac85-b5fa80b00ae5,55.20015,-126.44596,14.06685,5.08118,-1.88645,-12.31964,1.71071,-12.02741,6.90086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-17,18:08:34.76,1,4,"Bickett, Brady",1000460665,Left,CHA_BUC,"Ponce, Willie",10105900,Left,HIG_PAN,Undefined,1,Top,0,1,2,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,87.52447,-0.800636,3.129269,2342.89838,120.415543,10:00,5.17042,-1.78547,5.05826,-27.516,10.88737,-16.07438,2.12116,-0.17083,78.57671,-5.892626,0.292169,0.446022,80.48269,1.098347,17.72013,1855.447666,,,,45.34238,45.34238,18.64433,0.386969,9.08158,6.06414,1.50111,50,5.07281,-6.18838,-126.58277,-2.78256,14.45448,30.42689,-22.5222,CHA_BUC,HIG_PAN,CSUBallparkNielsen,D1,BSOU,20260417-CSUBallparkNielsen-1,fa955250-3aa9-11f1-be47-193922aebb67,84.50807,2.31973,,8.94776,,,,1.49293,2.2607,0.23727,7a24964c-7364-4278-8019-a423fd0f8b66,2026-04-17,22:08:34.76,2026-04-17T18:08:34.7693568-04:00,2026-04-17T22:08:34.7693568Z,GroundBall,v3,471239,471515,b8fd878d578e435f98a7c494b8f21721,"Pringle, Lucas",1000268589,Right,CHA_BUC,87318b4a-7a12-4923-bdba-a84226223032,55.44383,-127.88461,15.21345,5.17125,-1.81892,-11.2611,1.77912,-6.80683,7.22724,306.719261,1.49585,112.31908,-13.3549,,,,,,,2.26613,2.07583,-20.53272,,,,,,,0.23466,36.0114,2.19142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
5,2026-04-17,18:09:11.46,2,1,"Bickett, Brady",1000460665,Left,CHA_BUC,"Kelly, Frank",1000115728,Right,HIG_PAN,Undefined,1,Top,1,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,78.14787,2.730072,0.803483,2316.678932,313.402246,4:30,5.27049,-1.86798,4.96091,-52.49727,-4.71847,6.6678,3.47732,-0.55314,71.06921,-6.781399,1.97936,0.497495,,,,,,,,,,,,-3.04299,-2.65173,1.78438,50,5.49191,-1.86699,-113.20281,3.48645,-3.92001,22.06622,-35.59006,CHA_BUC,HIG_PAN,CSUBallparkNielsen,D1,BSOU,20260417-CSUBallparkNielsen-1,1084dc70-3aaa-11f1-be47-193922aebb67,75.76439,,,7.07866,,,,,,,7a24964c-7364-4278-8019-a423fd0f8b66,2026-04-17,22:09:11.46,2026-04-17T18:09:11.4648064-04:00,2026-04-17T22:09:11.4648064Z,,v3,471239,471515,b8fd878d578e435f98a7c494b8f21721,"Pringle, Lucas",1000268589,Right,CHA_BUC,dbca901d-4926-4396-8a74-794a652e77e9,55.54251,-114.27808,11.03311,5.27976,5.22074,-17.79503,1.87071,-1.67597,-1.96001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-17,18:09:30.54,2,2,"Bickett, Brady",1000460665,Left,CHA_BUC,"Kelly, Frank",1000115728,Right,HIG_PAN,Undefined,1,Top,1,1,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,77.18594,2.402706,-0.148109,2415.380078,303.044474,4:00,5.30784,-1.72329,4.72473,-54.28735,-4.7052,9.86875,3.06524,-1.04144,69.99405,-7.398643,1.586007,0.506797,,,,,,,,,,,,-4.84988,-2.49504,1.72898,50,5.50236,-0.13298,-111.75076,2.67493,-6.06423,22.24595,-35.29382,CHA_BUC,HIG_PAN,CSUBallparkNielsen,D1,BSOU,20260417-CSUBallparkNielsen-1,1bdf33e0-3aaa-11f1-be47-193922aebb67,74.37383,,,7.19189,,,,,,,7a24964c-7364-4278-8019-a423fd0f8b66,2026-04-17,22:09:30.54,2026-04-17T18:09:30.5409536-04:00,2026-04-17T22:09:30.5409536Z,,v3,471239,471515,b8fd878d578e435f98a7c494b8f21721,"Pringle, Lucas",1000268589,Right,CHA_BUC,4fa0854f-5314-45bf-b4a1-1d984e72f33b,55.77791,-112.89509,11.12298,5.31806,4.49045,-17.64691,1.7278,0.17897,-3.03211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-17,18:09:50.56,2,3,"Bickett, Brady",1000460665,Left,CHA_BUC,"Kelly, Frank",1000115728,Right,HIG_PAN,Undefined,1,Top,1,1,1,Slider,Curveball,InPlay,Undefined,FlyBall,Out,1,0,,77.67551,0.590108,1.34713,2476.325093,304.114949,4:15,5.29155,-1.84154,4.94641,-52.74727,-4.40114,8.8663,1.45381,0.17067,71.04242,-8.927265,2.912861,0.50044,82.79159,48.400867,4.073304,5169.829865,,,,,82.75459,,,-4.03795,-2.03626,1.70277,50,5.30466,-3.00249,-112.63999,-0.71632,-5.13958,22.23711,-34.76585,CHA_BUC,HIG_PAN,CSUBallparkNielsen,D1,BSOU,20260417-CSUBallparkNielsen-1,27ce0320-3aaa-11f1-be47-193922aebb67,75.31856,75.9683,,6.63309,,,,2.22834,1.64113,-0.14492,7a24964c-7364-4278-8019-a423fd0f8b66,2026-04-17,22:09:50.56,2026-04-17T18:09:50.5635840-04:00,2026-04-17T22:09:50.5635840Z,,v3,471239,471515,b8fd878d578e435f98a7c494b8f21721,"Pringle, Lucas",1000268589,Right,CHA_BUC,ebecf8c1-775c-4117-9c40-e7ec647d173e,55.55927,-113.73219,11.11856,5.2979,0.99124,-17.38292,1.84404,-2.75005,-2.56979,239.025978,2.22834,80.41378,-11.42942,2.45321,-0.4522,-0.02,0.12863,-0.09106,0.02375,1.64113,90.80449,-25.02928,2.8644,-0.62696,0.18395,-0.10429,0.05484,-0.01329,-0.14493,5.72669,5.79322,-1.72055,0.29436,0.23116,-0.38266,0.25087,-0.06448,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
8,2026-04-17,18:10:25.82,3,1,"Bickett, Brady",1000460665,Left,CHA_BUC,"Johnson, Landen",833378,Left,HIG_PAN,Undefined,1,Top,2,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.59841,-1.517494,3.498445,2450.342006,120.99048,10:00,5.22326,-1.80959,5.18587,-24.21108,14.25111,-21.14663,1.77489,-0.27609,78.08541,-6.052098,-0.241591,0.446363,,,,,,,,,,,,11.88619,8.07111,1.50136,50,5.06433,-6.78543,-126.55755,-4.1978,18.76595,32.2187,-19.43138,CHA_BUC,HIG_PAN,CSUBallparkNielsen,D1,BSOU,20260417-CSUBallparkNielsen-1,3cd48cd0-3aaa-11f1-be47-193922aebb67,84.44345,,,9.513,,,,,,,7a24964c-7364-4278-8019-a423fd0f8b66,2026-04-17,22:10:25.82,2026-04-17T18:10:25.8258944-04:00,2026-04-17T22:10:25.8258944Z,,v3,471239,471515,b8fd878d578e435f98a7c494b8f21721,"Pringle, Lucas",1000268589,Right,CHA_BUC,fd6ef461-6219-46b4-88d9-d8dd4c05d0cd,55.31611,-127.90375,16.10935,5.22277,-3.38589,-9.71569,1.80126,-7.56953,9.38298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-17,18:10:42.95,3,2,"Bickett, Brady",1000460665,Left,CHA_BUC,"Johnson, Landen",833378,Left,HIG_PAN,Undefined,1,Top,2,0,1,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.1862,0.34295,3.19029,2432.728002,127.99467,10:15,5.28201,-1.6778,4.91191,-25.31856,14.41158,-16.56969,3.49696,-0.03855,77.3703,-4.363429,0.275709,0.453661,,,,,,,,,,,,9.15646,7.40493,1.3803,50,5.29526,-6.16875,-124.61152,-0.16058,14.17643,28.62563,-20.70942,CHA_BUC,HIG_PAN,CSUBallparkNielsen,D1,BSOU,20260417-CSUBallparkNielsen-1,47061bb0-3aaa-11f1-be47-193922aebb67,83.08504,,,8.8159,,,,,,,7a24964c-7364-4278-8019-a423fd0f8b66,2026-04-17,22:10:42.95,2026-04-17T18:10:42.9543936-04:00,2026-04-17T22:10:42.9543936Z,,v3,471239,471515,b8fd878d578e435f98a7c494b8f21721,"Pringle, Lucas",1000268589,Right,CHA_BUC,802474b6-8645-4df5-9c51-5eec78429fff,55.58789,-125.88861,14.31282,5.28181,0.76335,-10.35471,1.66962,-6.80122,7.08822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-17,18:11:07.23,3,3,"Bickett, Brady",1000460665,Left,CHA_BUC,"Johnson, Landen",833378,Left,HIG_PAN,Undefined,1,Top,2,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.07347,0.44487,4.681533,2524.201118,137.630948,10:30,5.24622,-1.8599,5.01305,-24.64777,14.10005,-11.59918,3.61357,1.60225,78.44116,-4.130817,2.644545,0.448018,,,,,,,,,,,,7.17496,7.23174,1.41953,50,5.26983,-9.75846,-125.74751,0.0983,11.36297,28.09639,-20.72115,CHA_BUC,HIG_PAN,CSUBallparkNielsen,D1,BSOU,20260417-CSUBallparkNielsen-1,557d6a90-3aaa-11f1-be47-193922aebb67,84.13161,,,8.63231,,,,,,,7a24964c-7364-4278-8019-a423fd0f8b66,2026-04-17,22:11:07.23,2026-04-17T18:11:07.2303616-04:00,2026-04-17T22:11:07.2303616Z,,v3,471239,471515,b8fd878d578e435f98a7c494b8f21721,"Pringle, Lucas",1000268589,Right,CHA_BUC,6549de24-a058-4932-aba2-1d3541c7e317,55.48729,-126.96764,14.0482,5.24603,0.99815,-10.36058,1.85403,-10.25191,5.68149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
