PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-17,17:36:02.45,1,1,"Whitney, Dax",820840,Right,ORE_BEA,"Miller, Nick",1000221269,Right,CAL_FUL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.62976,-3.865732,-2.269733,2109.216458,172.983511,11:45,6.42946,1.01085,6.51058,-14.91119,15.85052,-1.82366,1.63118,-1.22509,86.26435,-6.720009,-2.600527,0.399187,,,,,,,,,,,,0.28311,9.75638,-0.85177,50,6.15249,5.51115,-137.13879,-9.67237,0.53597,31.99808,-13.70349,ORE_BEA,CAL_FUL,GossStadium,D1,PAC12,20260417-GossStadium-1,94292e00-3abe-11f1-be72-1957fa6f4513,94.42295,,,8.36541,,,,,,,733b3efb-a50b-441e-971b-4c32c8e0f4e0,2026-04-18,00:36:02.45,2026-04-17T17:36:02.4596992-07:00,2026-04-18T00:36:02.4596992Z,,v3,471404,471254,3adef2eb3f06482bb23b4d2c2a59fcc1,"Galloway, Jacob",805212,Right,ORE_BEA,0fcc7dec-2fed-4e1c-815c-3a6fdfa3f34f,53.98636,-138.06578,15.99904,6.42695,-9.27537,-6.85175,-1.01121,5.49562,0.26799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-17,17:36:21.28,1,2,"Whitney, Dax",820840,Right,ORE_BEA,"Miller, Nick",1000221269,Right,CAL_FUL,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.80026,-3.655084,-2.598163,2068.828733,180.454532,12:00,6.44796,0.96681,6.5215,-14.4182,16.09166,0.11984,1.88494,-1.40862,86.72485,-6.416008,-2.576431,0.39755,,,,,,,,,,,,-0.7961,9.76819,-0.78603,50,6.18659,6.23191,-137.44354,-9.17155,-1.52064,30.87215,-13.51552,ORE_BEA,CAL_FUL,GossStadium,D1,PAC12,20260417-GossStadium-1,9f5fa9c0-3abe-11f1-be72-1957fa6f4513,94.81186,,,8.07541,,,,,,,733b3efb-a50b-441e-971b-4c32c8e0f4e0,2026-04-18,00:36:21.28,2026-04-17T17:36:21.2875776-07:00,2026-04-18T00:36:21.2875776Z,,v3,471404,471254,3adef2eb3f06482bb23b4d2c2a59fcc1,"Galloway, Jacob",805212,Right,ORE_BEA,f64949ec-b1d4-44ae-bf82-43d4c2b6b0e3,53.97603,-138.33374,15.43607,6.44544,-8.78183,-6.75776,-0.96636,6.27576,-0.76032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-17,17:36:42.65,1,3,"Whitney, Dax",820840,Right,ORE_BEA,"Miller, Nick",1000221269,Right,CAL_FUL,Undefined,1,Top,0,2,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,95.23658,-4.420891,-1.65768,2223.824594,175.860846,11:45,6.46707,1.3145,6.48819,-12.86264,17.43316,-1.19,1.32673,-0.30695,87.1192,-6.894429,-1.873573,0.396153,,,,,,,,,,,,0.15323,10.6802,-1.19774,50,6.15029,4.04389,-138.02343,-11.00073,0.2951,31.19948,-11.60576,ORE_BEA,CAL_FUL,GossStadium,D1,PAC12,20260417-GossStadium-1,ac18cde0-3abe-11f1-be72-1957fa6f4513,95.14627,,,8.11738,,,,,,,733b3efb-a50b-441e-971b-4c32c8e0f4e0,2026-04-18,00:36:42.65,2026-04-17T17:36:42.6503168-07:00,2026-04-18T00:36:42.6503168Z,,v3,471404,471254,3adef2eb3f06482bb23b4d2c2a59fcc1,"Galloway, Jacob",805212,Right,ORE_BEA,9d213ec9-3ad9-4ff2-9dd7-f1c70e7f2ef0,54.00945,-138.92679,15.59974,6.46394,-10.66469,-5.80288,-1.31471,4.03535,0.14755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-17,17:37:03.53,1,4,"Whitney, Dax",820840,Right,ORE_BEA,"Miller, Nick",1000221269,Right,CAL_FUL,Undefined,1,Top,0,3,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,94.06062,-3.193247,-1.54533,2200.051262,175.860007,11:45,6.3947,1.16637,6.47105,-14.08414,16.9371,-1.15272,2.28434,-0.34922,85.90545,-5.90201,-1.754407,0.400868,,,,,,,,,,,,0.16004,10.08217,-1.05704,50,6.16295,3.73006,-136.50092,-7.98452,0.30108,30.83577,-13.2052,ORE_BEA,CAL_FUL,GossStadium,D1,PAC12,20260417-GossStadium-1,b88cd2b0-3abe-11f1-be72-1957fa6f4513,94.02712,,,8.15517,,,,,,,733b3efb-a50b-441e-971b-4c32c8e0f4e0,2026-04-18,00:37:03.53,2026-04-17T17:37:03.5334144-07:00,2026-04-18T00:37:03.5334144Z,,v3,471404,471254,3adef2eb3f06482bb23b4d2c2a59fcc1,"Galloway, Jacob",805212,Right,ORE_BEA,b9e268f2-5ee7-4c95-9c0a-c9ea590672f1,54.02638,-137.40748,15.41789,6.39198,-7.59629,-6.6026,-1.16657,3.7212,0.15054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-17,17:37:23.81,1,5,"Whitney, Dax",820840,Right,ORE_BEA,"Miller, Nick",1000221269,Right,CAL_FUL,Undefined,1,Top,0,3,1,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,93.50289,-1.855091,-1.627303,2231.076687,167.263376,11:30,6.47955,1.20775,6.31808,-15.80241,15.71524,-3.32276,3.45279,-0.56836,85.34802,-4.876419,-2.22809,0.404062,98.82157,38.880583,11.043712,4379.594009,,,,,77.64908,,,1.26827,9.02804,-1.08722,50,6.3362,3.9955,-135.80687,-4.84897,2.36128,30.60096,-15.36545,ORE_BEA,CAL_FUL,GossStadium,D1,PAC12,20260417-GossStadium-1,c49e4520-3abe-11f1-be72-1957fa6f4513,93.28373,65.098,,8.15487,,,,1.42407,3.41914,0.52181,733b3efb-a50b-441e-971b-4c32c8e0f4e0,2026-04-18,00:37:23.81,2026-04-17T17:37:23.8126080-07:00,2026-04-18T00:37:23.8126080Z,,v3,471404,471254,3adef2eb3f06482bb23b4d2c2a59fcc1,"Galloway, Jacob",805212,Right,ORE_BEA,0e584c54-4d11-4a0e-8587-573d9f539b96,54.18017,-136.74554,15.30048,6.47771,-4.37764,-7.68273,-1.20867,3.92307,1.18064,199.059958,1.42407,110.73847,-29.9774,8.53694,-2.1064,0.50206,-0.11751,0.02436,-0.00316,3.41914,90.97752,-18.56747,-0.13713,0.61414,-0.27876,0.09219,-0.02321,0.00332,0.52181,21.61307,1.27415,0.21945,-0.0944,0.02262,-0.00395,0.00046,0,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
6,2026-04-17,17:38:06.54,2,1,"Whitney, Dax",820840,Right,ORE_BEA,"Contreras, Paul",10308013,Right,CAL_FUL,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,94.09273,-4.245013,-0.720921,2133.105982,175.914969,11:45,6.57224,1.16018,6.33265,-13.89894,17.16611,-1.1563,1.49778,0.39997,86.41667,-6.895977,-0.930245,0.401151,,,,,,,,,,,,0.40764,10.39627,-1.10714,50,6.25562,1.7652,-136.46806,-10.50891,0.77074,29.3062,-12.51792,ORE_BEA,CAL_FUL,GossStadium,D1,PAC12,20260417-GossStadium-1,de1dacc0-3abe-11f1-be72-1957fa6f4513,93.9608,,,7.67606,,,,,,,733b3efb-a50b-441e-971b-4c32c8e0f4e0,2026-04-18,00:38:06.54,2026-04-17T17:38:06.5439744-07:00,2026-04-18T00:38:06.5439744Z,,v3,471404,471254,3adef2eb3f06482bb23b4d2c2a59fcc1,"Galloway, Jacob",805212,Right,ORE_BEA,80f8dffd-1f5e-4dd5-9e48-ab8e080db21d,54.16578,-137.35974,14.6531,6.56957,-10.12804,-6.25896,-1.16049,1.74175,0.38537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-17,17:38:25.48,2,2,"Whitney, Dax",820840,Right,ORE_BEA,"Contreras, Paul",10308013,Right,CAL_FUL,Undefined,1,Top,1,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,95.29996,-2.201572,-1.888145,2158.12884,170.599104,11:45,6.52973,1.05822,6.46575,-13.70048,16.43761,-2.56307,3.36388,-0.89018,87.11198,-4.839786,-2.352726,0.39512,,,,,,,,,,,,0.80847,9.51087,-0.92397,50,6.36793,4.66989,-138.41063,-5.6862,1.56656,31.21327,-13.74449,ORE_BEA,CAL_FUL,GossStadium,D1,PAC12,20260417-GossStadium-1,e961e420-3abe-11f1-be72-1957fa6f4513,95.39489,,,8.18798,,,,,,,733b3efb-a50b-441e-971b-4c32c8e0f4e0,2026-04-18,00:38:25.48,2026-04-17T17:38:25.4818304-07:00,2026-04-18T00:38:25.4818304Z,,v3,471404,471254,3adef2eb3f06482bb23b4d2c2a59fcc1,"Galloway, Jacob",805212,Right,ORE_BEA,93752e1c-735b-4d18-a4e1-eb9d350b7d8f,54.032,-139.31692,15.60664,6.52724,-5.28713,-6.87224,-1.05891,4.62441,0.78328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-17,17:38:43.76,2,3,"Whitney, Dax",820840,Right,ORE_BEA,"Contreras, Paul",10308013,Right,CAL_FUL,Undefined,1,Top,1,1,1,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Double,0,0,,95.24615,-2.942662,-1.969385,2225.971499,174.510042,11:45,6.5548,1.11514,6.429,-13.26406,16.98048,-1.53917,2.74088,-0.8239,87.11409,-5.495775,-2.248171,0.395817,100.35048,19.288743,-9.823047,1251.617492,107.91574,33.748,-21.31084,348.64286,348.64286,-14.994445,3.620457,0.25476,10.02658,-0.97426,50,6.33894,4.81721,-138.26605,-7.46578,0.49252,31.23581,-12.79162,ORE_BEA,CAL_FUL,GossStadium,D1,PAC12,20260417-GossStadium-1,f44ab510-3abe-11f1-be72-1957fa6f4513,95.22684,42.92905,,8.13206,,,,2.81778,2.89739,0.76248,733b3efb-a50b-441e-971b-4c32c8e0f4e0,2026-04-18,00:38:43.76,2026-04-17T17:38:43.7688320-07:00,2026-04-18T00:38:43.7688320Z,LineDrive,v3,471404,471254,3adef2eb3f06482bb23b4d2c2a59fcc1,"Galloway, Jacob",805212,Right,ORE_BEA,d11026c6-2496-4d5a-a771-0a904e4d1bb7,54.07018,-139.18251,15.6179,6.55248,-7.09047,-6.39581,-1.11538,4.80277,0.24626,140.572038,2.81749,136.89206,-22.33749,5.05867,-1.14766,0.25929,-0.0541,0.00763,-0.00046,2.89762,48.60996,-15.47386,0.24221,0.21416,-0.09257,0.02262,-0.00233,4E-05,0.76252,-23.69996,-3.12956,1.85771,-0.58393,0.13023,-0.02075,0.00196,-8E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
9,2026-04-17,17:39:33.63,3,1,"Whitney, Dax",820840,Right,ORE_BEA,"Kim, Cameron",800609,Right,CAL_FUL,Undefined,1,Top,1,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,95.15672,-2.314937,-1.725192,2205.946271,181.733779,12:00,6.50343,1.09731,6.53025,-13.12611,17.13001,0.48835,3.28389,-0.44505,86.65989,-4.860814,-1.636542,0.395893,87.28619,54.799681,39.800951,4998.452213,73.27973,132.00124,82.03707,235.56208,99.40445,53.367347,5.961041,-0.76201,9.97304,-0.97775,50,6.33671,4.14202,-138.18463,-5.92004,-1.46582,32.26864,-12.98955,ORE_BEA,CAL_FUL,GossStadium,D1,PAC12,20260417-GossStadium-1,12009a70-3abf-11f1-be72-1957fa6f4513,95.20863,138.97075,,8.49683,,,,1.45698,3.62426,0.40545,733b3efb-a50b-441e-971b-4c32c8e0f4e0,2026-04-18,00:39:33.63,2026-04-17T17:39:33.6346624-07:00,2026-04-18T00:39:33.6346624Z,FlyBall,v3,471404,471254,3adef2eb3f06482bb23b4d2c2a59fcc1,"Galloway, Jacob",805212,Right,ORE_BEA,a3c09216-e60c-4edc-b93e-0037c890b391,53.96776,-139.10809,16.13432,6.50081,-5.54831,-6.49478,-1.09689,4.18397,-0.73291,,1.45864,56.62624,-17.77651,4.22619,-0.33036,-0.13253,0.04622,-0.00573,0.00026,3.61764,104.71451,-25.12551,2.96371,-0.66969,0.10996,-0.00633,-0.0007,8E-05,0.40575,47.23087,-6.25901,1.22669,-0.184,0.02576,-0.00428,0.00057,-3E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
10,2026-04-17,17:40:06.60,3,2,"Whitney, Dax",820840,Right,ORE_BEA,"Kim, Cameron",800609,Right,CAL_FUL,Undefined,1,Top,1,0,1,Sweeper,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,84.66949,-1.852786,-1.129845,2686.996869,78.319161,8:30,6.54965,1.2751,5.62871,-42.42278,-2.19689,-17.81623,1.2847,-1.26395,76.65142,-9.600407,-4.319116,0.456483,,,,,,,,,,,,8.63217,-0.02394,-1.16738,50,6.36502,3.16585,-122.67069,-5.47988,12.84263,29.61228,-32.20968,ORE_BEA,CAL_FUL,GossStadium,D1,PAC12,20260417-GossStadium-1,25b0e2f0-3abf-11f1-be72-1957fa6f4513,82.57149,,,8.01807,,,,,,,733b3efb-a50b-441e-971b-4c32c8e0f4e0,2026-04-18,00:40:06.60,2026-04-17T17:40:06.6065408-07:00,2026-04-18T00:40:06.6065408Z,,v3,471404,471254,3adef2eb3f06482bb23b4d2c2a59fcc1,"Galloway, Jacob",805212,Right,ORE_BEA,c7e6d581-aaf7-4e3b-a513-7c81baa6237e,54.86876,-123.84041,14.80614,6.55636,-4.20755,-16.10484,-1.28242,2.65855,6.42131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
