PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-17,12:02:30.32,1,1,"Potts, Tyson",1000433190,Right,CEN_MIC,"Shirley, Colton",1000218385,Left,OHI_BOB,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,88.34076,-1.416585,-1.412179,2153.086373,205.084402,12:45,5.99532,1.51564,6.00644,-23.60797,11.99713,5.09366,2.71484,0.63145,80.95685,-5.835168,-0.495773,0.429465,87.80582,42.657868,-5.030569,4476.847569,108.4982,97.15432,-18.11289,261.29922,255.61782,-14.540538,5.677555,-3.02666,6.9037,-1.40751,50,5.87098,2.95782,-128.33109,-3.92388,-5.04916,26.46768,-20.65701,CEN_MIC,OHI_BOB,KeilitzField,D1,MAC,20260417-KeilitzField-1,d6cbfa00-3a76-11f1-8f46-dba4e8c7c583,87.76606,112.77673,,7.38391,,,,1.57151,2.76959,-0.63822,157e9005-f190-4f75-931c-c4106498d6ac,2026-04-17,16:02:30.32,2026-04-17T12:02:30.3270400-04:00,2026-04-17T16:02:30.3270400Z,FlyBall,v3,471268,471399,8ad159481252461398737640c2d793c1,"Keilen, Logan",1000338523,Right,CEN_MIC,8799b6ac-09b9-407f-af6a-4dac5ce17985,54.49438,-129.25471,13.23384,5.99533,-3.20303,-10.3285,-1.5138,3.13402,-2.52458,166.924153,1.57764,94.21945,-25.92942,6.70776,-1.09213,0.0655,0.01153,-0.00232,0.00012,2.76262,87.38461,-19.38935,0.81718,0.01898,-0.02974,0.01065,-0.00173,0.0001,-0.63802,-8.31048,-2.65143,1.06975,-0.28708,0.05302,-0.00612,0.00038,-1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
2,2026-04-17,12:03:00.15,2,1,"Potts, Tyson",1000433190,Right,CEN_MIC,"Harris, Taylor",1000277312,Right,OHI_BOB,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.21862,-1.373045,-3.223947,2207.772819,190.678449,12:15,6.00006,1.33507,6.13304,-20.97359,13.86524,2.40752,2.9809,-1.44735,81.66472,-5.324009,-2.790971,0.424818,,,,,,,,,,,,-2.13662,7.88032,-1.08984,50,5.88408,7.19289,-129.44263,-3.74305,-3.62653,26.92074,-18.79863,CEN_MIC,OHI_BOB,KeilitzField,D1,MAC,20260417-KeilitzField-1,e89e81d0-3a76-11f1-8f46-dba4e8c7c583,88.72604,,,7.5539,,,,,,,157e9005-f190-4f75-931c-c4106498d6ac,2026-04-17,16:03:00.15,2026-04-17T12:03:00.1526784-04:00,2026-04-17T16:03:00.1526784Z,,v3,471268,471399,8ad159481252461398737640c2d793c1,"Keilen, Logan",1000338523,Right,CEN_MIC,887e5aff-303d-4da0-ba9f-df770ba7e3e9,54.36658,-130.3476,13.46037,5.99928,-3.11112,-9.39932,-1.33368,7.31481,-1.81326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-17,12:03:14.11,2,2,"Potts, Tyson",1000433190,Right,CEN_MIC,"Harris, Taylor",1000277312,Right,OHI_BOB,Undefined,1,Top,1,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.55151,-1.813643,-3.436632,2191.12987,213.201015,1:00,6.03623,1.38699,6.19283,-20.9154,14.38666,8.67997,2.61524,-1.06638,81.05114,-5.760759,-1.873498,0.427633,72.67964,66.102129,122.938101,5591.843044,,,,,18.59397,,,-5.4737,8.30237,-1.13222,50,5.8887,7.37105,-128.45849,-4.69476,-9.14773,26.57167,-18.29905,CEN_MIC,OHI_BOB,KeilitzField,D1,MAC,20260417-KeilitzField-1,f0eb9940-3a76-11f1-8f46-dba4e8c7c583,88.14196,39.31759,,7.50038,,,,1.91722,2.555,1.09263,157e9005-f190-4f75-931c-c4106498d6ac,2026-04-17,16:03:14.11,2026-04-17T12:03:14.1110784-04:00,2026-04-17T16:03:14.1110784Z,,v3,471268,471399,8ad159481252461398737640c2d793c1,"Keilen, Logan",1000338523,Right,CEN_MIC,c4aaff76-8e6e-4ec3-b40e-0e6296954b31,54.3081,-129.34655,13.28583,6.03539,-4.08318,-9.14952,-1.38368,7.67678,-4.57386,340.252559,1.93039,-23.88941,-5.42308,,,,,,,2.57307,96.90327,-29.42831,,,,,,,1.09681,36.11425,-4.81111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
4,2026-04-17,12:03:31.65,2,3,"Potts, Tyson",1000433190,Right,CEN_MIC,"Harris, Taylor",1000277312,Right,OHI_BOB,Undefined,1,Top,1,1,1,Slider,Slider,InPlay,Undefined,GroundBall,Single,0,0,,81.78662,0.655902,-1.20272,2528.291036,54.425377,7:45,5.92243,1.59008,5.25804,-43.92463,-1.23921,-3.55339,2.87848,0.16375,75.1991,-7.327026,-1.833488,0.470231,87.90554,-15.82994,-30.347821,,,,,11.91369,11.91369,-27.530889,0.085282,1.46154,-0.46874,-1.47706,50,5.94967,2.63856,-118.75851,-0.21994,2.0895,22.51268,-32.84421,CEN_MIC,OHI_BOB,KeilitzField,D1,MAC,20260417-KeilitzField-1,fb5b90b0-3a76-11f1-8f46-dba4e8c7c583,80.1573,3.0071,,6.58752,,,,1.41217,3.0071,-0.14832,157e9005-f190-4f75-931c-c4106498d6ac,2026-04-17,16:03:31.65,2026-04-17T12:03:31.6503040-04:00,2026-04-17T16:03:31.6503040Z,GroundBall,v3,471268,471399,8ad159481252461398737640c2d793c1,"Keilen, Logan",1000338523,Right,CEN_MIC,5c240d63-51b2-429c-80a0-277f9eef18ba,55.24431,-119.74853,11.25634,5.92758,1.22442,-16.4221,-1.59108,2.54667,1.04475,180,1.40836,107.31964,,,,,,,,3.00835,-35.26059,,,,,,,,-0.14609,-62.83275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
5,2026-04-17,12:04:12.83,3,1,"Potts, Tyson",1000433190,Right,CEN_MIC,"Boyd, Cameron",1000077101,Right,OHI_BOB,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.54287,-2.012194,-1.24459,2145.944085,214.693676,1:15,6.13386,1.36425,6.02002,-25.31651,9.8215,6.10248,2.1591,0.71978,81.94067,-6.709079,-0.145771,0.426639,,,,,,,,,,,,-3.46587,5.87768,-1.27009,50,5.9622,2.55056,-128.70674,-5.35054,-5.86999,24.29142,-22.21926,CEN_MIC,OHI_BOB,KeilitzField,D1,MAC,20260417-KeilitzField-1,13d52110-3a77-11f1-8f46-dba4e8c7c583,88.34746,,,6.6022,,,,,,,157e9005-f190-4f75-931c-c4106498d6ac,2026-04-17,16:04:12.83,2026-04-17T12:04:12.8304640-04:00,2026-04-17T16:04:12.8304640Z,,v3,471268,471399,8ad159481252461398737640c2d793c1,"Keilen, Logan",1000338523,Right,CEN_MIC,343c1027-3726-4444-8647-a30e1c0ff5d3,54.48161,-129.54981,12.14571,6.13452,-4.57939,-11.10963,-1.36214,2.75429,-2.935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-17,12:05:01.88,3,2,"Potts, Tyson",1000433190,Right,CEN_MIC,"Boyd, Cameron",1000077101,Right,OHI_BOB,Undefined,1,Top,1,0,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,81.34242,-1.829113,-2.353419,2612.639861,124.163493,10:15,6.00583,1.66139,5.12074,-39.06171,3.84559,-3.98213,1.02569,-0.88855,76.05119,-8.857298,-3.058285,0.471452,,,,,,,,,,,,1.45429,2.65854,-1.43668,50,5.80286,5.01553,-118.12376,-5.17948,2.08624,19.27495,-28.36029,CEN_MIC,OHI_BOB,KeilitzField,D1,MAC,20260417-KeilitzField-1,3118e3b0-3a77-11f1-8f46-dba4e8c7c583,79.94977,,,5.29122,,,,,,,157e9005-f190-4f75-931c-c4106498d6ac,2026-04-17,16:05:01.88,2026-04-17T12:05:01.8817536-04:00,2026-04-17T16:05:01.8817536Z,,v3,471268,471399,8ad159481252461398737640c2d793c1,"Keilen, Logan",1000338523,Right,CEN_MIC,595593b7-19af-40dc-bf8d-e2c77c0b1b05,55.38256,-118.99883,9.63747,6.00878,-3.89195,-14.18014,-1.66223,4.92081,1.04312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-17,12:05:35.86,3,3,"Potts, Tyson",1000433190,Right,CEN_MIC,"Boyd, Cameron",1000077101,Right,OHI_BOB,Undefined,1,Top,1,0,2,Slider,Slider,InPlay,Undefined,GroundBall,FieldersChoice,1,0,,80.33781,-0.201839,-2.223176,2660.742106,57.72938,8:00,5.88676,1.83235,5.234,-44.85739,-0.87492,-3.33937,1.95877,-0.53675,74.6186,-8.309845,-2.81546,0.477322,79.26084,-38.347921,-48.363622,,,,,4.23514,2.6906,-19.032411,0.028916,1.12693,-0.07492,-1.62495,50,5.83415,4.66307,-116.69752,-1.99924,1.56832,20.06984,-32.27834,CEN_MIC,OHI_BOB,KeilitzField,D1,MAC,20260417-KeilitzField-1,456481d0-3a77-11f1-8f46-dba4e8c7c583,78.96652,2.09052,,5.71921,,,,2.24795,2.09052,0.59385,157e9005-f190-4f75-931c-c4106498d6ac,2026-04-17,16:05:35.86,2026-04-17T12:05:35.8630400-04:00,2026-04-17T16:05:35.8630400Z,GroundBall,v3,471268,471399,8ad159481252461398737640c2d793c1,"Keilen, Logan",1000338523,Right,CEN_MIC,5a74ce87-8e25-4ca7-8693-ca0f318f1c49,55.26937,-117.60027,10.03492,5.89142,-0.54736,-16.13917,-1.83311,4.59253,0.78416,,2.24728,60.71697,,,,,,,,2.09131,-72.29654,,,,,,,,0.59461,-68.29977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
8,2026-04-17,12:06:35.98,4,1,"Potts, Tyson",1000433190,Right,CEN_MIC,"Henson, Will",1000216613,Right,OHI_BOB,Undefined,1,Top,2,0,0,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,81.05481,-1.409302,-1.754823,2518.458726,135.207197,10:30,5.92693,1.92153,5.06219,-38.71211,4.2489,-3.17138,1.37108,0.00195,76.19995,-8.366389,-2.315879,0.471746,,,,,,,,,,,,1.22303,2.69898,-1.75199,50,5.7616,3.73816,-117.85735,-4.29897,1.7593,17.63132,-28.29166,CEN_MIC,OHI_BOB,KeilitzField,D1,MAC,20260417-KeilitzField-1,6930a170-3a77-11f1-8f46-dba4e8c7c583,79.8998,,,4.85486,,,,,,,157e9005-f190-4f75-931c-c4106498d6ac,2026-04-17,16:06:35.98,2026-04-17T12:06:35.9841792-04:00,2026-04-17T16:06:35.9841792Z,,v3,471268,471399,8ad159481252461398737640c2d793c1,"Keilen, Logan",1000338523,Right,CEN_MIC,a5ec92cd-f8a2-4d15-b836-5bff15bad1a7,55.44193,-118.66866,8.81566,5.92947,-2.99712,-14.14583,-1.92215,3.6572,0.87965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-17,12:06:57.55,4,2,"Potts, Tyson",1000433190,Right,CEN_MIC,"Henson, Will",1000216613,Right,OHI_BOB,Undefined,1,Top,2,0,1,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,81.34369,0.729761,-2.531437,2673.026265,50.621308,7:45,5.90403,1.83642,5.28053,-45.1655,-2.24528,-4.22362,2.82632,-0.89457,75.28362,-7.453165,-3.280266,0.471522,,,,,,,,,,,,1.4852,-1.01303,-1.60201,50,5.93698,5.39155,-118.11529,-0.10702,2.11353,20.95047,-33.61567,CEN_MIC,OHI_BOB,KeilitzField,D1,MAC,20260417-KeilitzField-1,76196110-3a77-11f1-8f46-dba4e8c7c583,79.93774,,,6.06007,,,,,,,157e9005-f190-4f75-931c-c4106498d6ac,2026-04-17,16:06:57.55,2026-04-17T12:06:57.5506944-04:00,2026-04-17T16:06:57.5506944Z,,v3,471268,471399,8ad159481252461398737640c2d793c1,"Keilen, Logan",1000338523,Right,CEN_MIC,079b96c3-5949-475c-b751-7db418a6f24f,55.2229,-119.03809,10.47524,5.90908,1.37363,-16.80784,-1.83744,5.29845,1.05677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-17,12:07:43.81,4,3,"Potts, Tyson",1000433190,Right,CEN_MIC,"Henson, Will",1000216613,Right,OHI_BOB,Undefined,1,Top,2,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.52205,-1.382129,-3.284817,2174.598088,214.333306,1:15,5.99822,1.51748,6.08994,-26.11057,8.34516,5.00449,2.54144,-1.10744,82.51615,-6.233687,-2.384961,0.422476,,,,,,,,,,,,-3.43484,4.98425,-1.2665,50,5.87757,7.25435,-129.95827,-4.00093,-5.91344,25.53486,-23.59312,CEN_MIC,OHI_BOB,KeilitzField,D1,MAC,20260417-KeilitzField-1,91b03700-3a77-11f1-8f46-dba4e8c7c583,89.21792,,,7.0059,,,,,,,157e9005-f190-4f75-931c-c4106498d6ac,2026-04-17,16:07:43.81,2026-04-17T12:07:43.8170000-04:00,2026-04-17T16:07:43.8170000Z,,v3,471268,471399,8ad159481252461398737640c2d793c1,"Keilen, Logan",1000338523,Right,CEN_MIC,87e375f1-760b-49fe-9ca0-a22c8cc6a394,54.41095,-130.82209,12.76743,5.99941,-3.2028,-11.79656,-1.51529,7.4544,-2.95672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.91813,2.033281,0.780083,1.253198,-0.32574,2.34824,1.17956,-0.58273,5.92765,2.48481,127.28379,3.54153,0.7821,-0.39758,116.96798,-12.17825,5.98623,14.96635,-13.54774,2.45726,-2.93124,1.29316,High,High,High,,,High,High,High
