PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-17,19:07:44.58,1,1,"Agosto, Justus",1000182732,Right,ALA_LIO,"Miller, Brady",1000357366,Right,LIP_BIS,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.79293,-0.572269,-2.419715,1785.135459,214.467845,1:15,5.63753,1.50823,6.01319,-18.95946,13.9904,8.90268,3.52696,0.00729,83.97253,-4.153292,-0.819871,0.413141,,,,,,,,,,,,-5.22114,7.65847,-1.32312,50,5.58219,5.24911,-133.29962,-1.92697,-9.41434,28.08104,-18.36498,ALA_LIO,LIP_BIS,MikeDLaneField,D1,ASUN,20260417-MikeDLaneField-1,a0337150-3aba-11f1-9d14-733bc8117a6b,91.23383,,,7.8204,,,,,,,0524f887-7102-4e19-ba00-360adb8bec23,2026-04-18,00:07:44.58,2026-04-17T19:07:44.5822976-05:00,2026-04-18T00:07:44.5822976Z,,v3,471594,471517,c471fd25ea6346edb0661b7fc7485032,"Millard, William",10059244,Right,ALA_LIO,2fe6f859-3187-4831-a562-a3cc67daaf7e,54.48394,-134.24089,14.04052,5.63647,-1.31138,-9.18249,-1.50435,5.56468,-4.70717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-17,19:08:02.11,1,2,"Agosto, Justus",1000182732,Right,ALA_LIO,"Miller, Brady",1000357366,Right,LIP_BIS,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.96504,-3.648163,-3.562273,1967.977586,208.003496,1:00,5.43366,1.61212,6.32284,-15.07489,17.41391,8.73111,0.80661,-0.94517,84.63186,-6.519571,-1.986551,0.41024,,,,,,,,,,,,-5.49784,10.34489,-1.35581,50,5.1591,7.94838,-133.29087,-8.92925,-9.9505,27.03037,-13.45085,ALA_LIO,LIP_BIS,MikeDLaneField,D1,ASUN,20260417-MikeDLaneField-1,aab3bc70-3aba-11f1-9d14-733bc8117a6b,91.87895,,,7.33318,,,,,,,0524f887-7102-4e19-ba00-360adb8bec23,2026-04-18,00:08:02.11,2026-04-17T19:08:02.1179904-05:00,2026-04-18T00:08:02.1179904Z,,v3,471594,471517,c471fd25ea6346edb0661b7fc7485032,"Millard, William",10059244,Right,ALA_LIO,80ced305-81d5-4fe9-97f2-d2c83f06fc22,54.17629,-134.13512,13.51518,5.43143,-8.50913,-6.72543,-1.60892,8.25917,-4.97525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-17,19:08:20.76,1,3,"Agosto, Justus",1000182732,Right,ALA_LIO,"Miller, Brady",1000357366,Right,LIP_BIS,Undefined,1,Top,0,2,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.20641,-0.58398,-1.37794,2091.054616,170.937837,11:45,5.37564,1.79623,5.87096,-25.58572,10.96662,-1.57583,2.7009,0.3848,80.22522,-5.345762,-1.660642,0.43514,,,,,,,,,,,,0.4428,6.10827,-1.68386,50,5.31353,3.11363,-126.71672,-2.12891,0.72405,24.50982,-22.18562,ALA_LIO,LIP_BIS,MikeDLaneField,D1,ASUN,20260417-MikeDLaneField-1,b5cd6160-3aba-11f1-9d14-733bc8117a6b,86.6214,,,6.98119,,,,,,,0524f887-7102-4e19-ba00-360adb8bec23,2026-04-18,00:08:20.76,2026-04-17T19:08:20.7626240-05:00,2026-04-18T00:08:20.7626240Z,,v3,471594,471517,c471fd25ea6346edb0661b7fc7485032,"Millard, William",10059244,Right,ALA_LIO,20f04dad-0701-4477-b14d-89004a671096,54.62596,-127.60835,12.25491,5.3763,-1.32184,-11.09281,-1.79664,3.08729,0.36202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-17,19:08:38.10,1,4,"Agosto, Justus",1000182732,Right,ALA_LIO,"Miller, Brady",1000357366,Right,LIP_BIS,Undefined,1,Top,0,2,1,Cutter,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.38615,-0.734754,-1.564569,2193.632537,135.914908,10:30,5.4553,1.74297,5.81702,-29.83466,7.44886,-6.16457,2.28564,-0.2258,79.73127,-6.241952,-2.669407,0.439471,71.24584,50.673717,123.086732,4710.282595,,,,,22.45265,,,2.76358,4.32114,-1.61113,50,5.3773,3.67716,-125.55558,-2.61336,4.43942,23.91507,-25.2326,ALA_LIO,LIP_BIS,MikeDLaneField,D1,ASUN,20260417-MikeDLaneField-1,c020d020-3aba-11f1-9d14-733bc8117a6b,85.76784,27.46499,,6.65488,,,,1.60391,2.31932,-0.05477,0524f887-7102-4e19-ba00-360adb8bec23,2026-04-18,00:08:38.10,2026-04-17T19:08:38.1090816-05:00,2026-04-18T00:08:38.1090816Z,,v3,471594,471517,c471fd25ea6346edb0661b7fc7485032,"Millard, William",10059244,Right,ALA_LIO,0fa6b577-9890-428a-824a-b0b9a72b788c,54.68217,-126.44427,11.95754,5.45699,-1.67572,-12.6163,-1.74471,3.51219,2.21971,,1.61234,-36.46384,-3.37196,,,,,,,2.33506,80.25485,-32.31573,,,,,,,-0.04811,55.24053,-10.47908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
5,2026-04-17,19:09:01.50,1,5,"Agosto, Justus",1000182732,Right,ALA_LIO,"Miller, Brady",1000357366,Right,LIP_BIS,Undefined,1,Top,0,2,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,74.10584,3.292756,-0.253131,2241.248406,50.151951,7:45,5.58036,1.32982,5.53505,-61.34677,-9.3406,-13.23989,3.54927,-0.0101,67.56044,-7.908382,-2.61388,0.519038,,,,,,,,,,,,6.56276,-5.12205,-1.29898,50,5.82579,0.97237,-107.45107,4.19209,7.60844,20.07398,-38.11222,ALA_LIO,LIP_BIS,MikeDLaneField,D1,ASUN,20260417-MikeDLaneField-1,ce264a60-3aba-11f1-9d14-733bc8117a6b,72.61985,,,6.5454,,,,,,,0524f887-7102-4e19-ba00-360adb8bec23,2026-04-18,00:09:01.50,2026-04-17T19:09:01.5091712-05:00,2026-04-18T00:09:01.5091712Z,,v3,471594,471517,c471fd25ea6346edb0661b7fc7485032,"Millard, William",10059244,Right,ALA_LIO,8cca6e06-3cbf-4840-871c-bb9a15c72dff,54.96519,-108.3747,10.03699,5.59257,5.94568,-19.05611,-1.33566,0.6223,3.80422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-17,19:09:22.57,1,6,"Agosto, Justus",1000182732,Right,ALA_LIO,"Miller, Brady",1000357366,Right,LIP_BIS,Undefined,1,Top,0,3,2,Cutter,Slider,BallCalled,Walk,Undefined,Undefined,0,0,,85.82134,-2.024152,-2.327299,2246.339088,121.866856,10:00,5.33456,1.68463,5.84627,-34.0199,4.14634,-4.70689,0.61627,-0.87147,78.77756,-8.27507,-3.171612,0.444643,,,,,,,,,,,,1.74327,3.06669,-1.49247,50,5.14982,5.24953,-124.49718,-5.55631,2.72592,25.85505,-27.37868,ALA_LIO,LIP_BIS,MikeDLaneField,D1,ASUN,20260417-MikeDLaneField-1,daa94350-3aba-11f1-9d14-733bc8117a6b,84.7702,,,7.04378,,,,,,,0524f887-7102-4e19-ba00-360adb8bec23,2026-04-18,00:09:22.57,2026-04-17T19:09:22.5782784-05:00,2026-04-18T00:09:22.5782784Z,,v3,471594,471517,c471fd25ea6346edb0661b7fc7485032,"Millard, William",10059244,Right,ALA_LIO,8d124327-be53-463c-b4b0-1d489b7f86d8,54.65169,-125.45951,12.92752,5.33766,-4.53727,-13.68934,-1.68597,5.14807,1.36296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-17,19:09:54.78,2,1,"Agosto, Justus",1000182732,Right,ALA_LIO,"Thomas, Jordan",90000173073,Left,LIP_BIS,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.499,-2.525966,-3.122922,2091.135152,204.30186,12:45,5.45894,1.62554,6.24648,-13.9382,19.5467,8.27331,1.96281,-0.56806,82.47135,-5.242995,-1.631267,0.416481,,,,,,,,,,,,-5.25595,11.26804,-1.3969,50,5.26367,6.87561,-132.49913,-6.18941,-9.20956,32.1017,-12.43,ALA_LIO,LIP_BIS,MikeDLaneField,D1,ASUN,20260417-MikeDLaneField-1,edd3e110-3aba-11f1-9d14-733bc8117a6b,90.50208,,,9.02765,,,,,,,0524f887-7102-4e19-ba00-360adb8bec23,2026-04-18,00:09:54.78,2026-04-17T19:09:54.7840512-05:00,2026-04-18T00:09:54.7840512Z,,v3,471594,471517,c471fd25ea6346edb0661b7fc7485032,"Millard, William",10059244,Right,ALA_LIO,20fb6122-e8d1-40fe-9154-86d2b6256049,54.24793,-133.52435,16.05085,5.455,-5.79243,-6.215,-1.62118,7.16974,-4.60478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-17,19:10:44.46,2,2,"Agosto, Justus",1000182732,Right,ALA_LIO,"Thomas, Jordan",90000173073,Left,LIP_BIS,Undefined,1,Top,0,0,1,ChangeUp,Changeup,InPlay,Undefined,Popup,Out,1,0,,80.30348,-0.103329,-2.650702,1687.946762,263.287114,2:45,5.15622,1.95832,6.02391,-40.10297,3.06843,14.40682,1.7185,0.70216,73.63321,-7.519498,-0.057771,0.4729,63.65851,67.286984,-44.718215,,,,,128.84001,49.26002,-59.12051,4.759747,-8.22961,1.97559,-1.75887,50,5.12614,4.87349,-116.6247,-1.44959,-11.30799,22.41054,-29.45947,ALA_LIO,LIP_BIS,MikeDLaneField,D1,ASUN,20260417-MikeDLaneField-1,0b7490c0-3abb-11f1-9d14-733bc8117a6b,79.70485,94.37395,,6.67026,,,,2.96649,1.91984,-0.70475,0524f887-7102-4e19-ba00-360adb8bec23,2026-04-18,00:10:44.46,2026-04-17T19:10:44.4612096-05:00,2026-04-18T00:10:44.4612096Z,Popup,v3,471594,471517,c471fd25ea6346edb0661b7fc7485032,"Millard, William",10059244,Right,ALA_LIO,eb810072-6e58-493f-85fe-b4a2c9ecacca,54.47593,-117.48164,11.20527,5.16004,-0.32311,-14.72974,-1.9535,5.30589,-5.654,,2.96934,25.49182,-6.78443,0.35975,1.43201,-0.92358,0.27061,-0.03858,0.00215,1.92403,86.02198,-23.18366,1.42238,0.45219,-0.38567,0.11431,-0.01624,0.00091,-0.70858,-25.31238,-0.34489,0.37592,0.11058,-0.17924,0.072,-0.01238,0.00078,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
9,2026-04-17,19:11:48.49,3,1,"Agosto, Justus",1000182732,Right,ALA_LIO,"Stelogeannis, Aaron",1000357372,Right,LIP_BIS,Undefined,1,Top,1,0,0,Cutter,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.98567,-0.860939,-2.721958,2335.706129,168.99317,11:45,5.43545,2.02083,5.83149,-25.79458,11.41225,-1.98311,2.48468,-0.67645,79.3383,-5.671983,-3.076851,0.439019,,,,,,,,,,,,0.2189,6.44949,-1.79745,50,5.35004,6.08081,-126.15172,-2.73624,0.35125,26.67725,-21.82475,ALA_LIO,LIP_BIS,MikeDLaneField,D1,ASUN,20260417-MikeDLaneField-1,319b4230-3abb-11f1-9d14-733bc8117a6b,85.85615,,,7.64737,,,,,,,0524f887-7102-4e19-ba00-360adb8bec23,2026-04-18,00:11:48.49,2026-04-17T19:11:48.4942848-05:00,2026-04-18T00:11:48.4942848Z,,v3,471594,471517,c471fd25ea6346edb0661b7fc7485032,"Millard, William",10059244,Right,ALA_LIO,6fd0c14b-9e1f-4012-86d7-c4a8b03c7161,54.66432,-127.13425,13.33863,5.43601,-1.93243,-10.91238,-2.02117,6.06787,0.17562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-17,19:12:07.57,3,2,"Agosto, Justus",1000182732,Right,ALA_LIO,"Stelogeannis, Aaron",1000357372,Right,LIP_BIS,Undefined,1,Top,1,0,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,92.02524,-1.474561,-3.293679,2071.038363,209.841945,1:00,5.57989,1.63082,6.17483,-14.10139,18.9591,10.20552,3.04043,-0.56388,83.09967,-4.215748,-1.456569,0.413834,,,,,,,,,,,,-6.2502,10.56686,-1.38636,50,5.46082,7.23026,-133.34891,-3.79228,-11.13069,31.61069,-13.35598,ALA_LIO,LIP_BIS,MikeDLaneField,D1,ASUN,20260417-MikeDLaneField-1,3cfe9a50-3abb-11f1-9d14-733bc8117a6b,91.08109,,,8.92557,,,,,,,0524f887-7102-4e19-ba00-360adb8bec23,2026-04-18,00:12:07.57,2026-04-17T19:12:07.5761664-05:00,2026-04-18T00:12:07.5761664Z,,v3,471594,471517,c471fd25ea6346edb0661b7fc7485032,"Millard, William",10059244,Right,ALA_LIO,694efbc6-5961-4c97-92cf-9e02bc34179d,54.31985,-134.36904,15.80534,5.57625,-3.36126,-6.67799,-1.62549,7.58946,-5.56535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
