PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-17,16:03:33.46,1,1,"Barr, Kurt",803913,Right,MIC_WOL,"Barron, Nick",829158,Left,NOR_CAT,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.39487,-2.172889,-0.95224,2245.521692,196.766857,12:30,6.46089,1.36745,5.57561,-14.80064,20.53493,5.85075,3.19672,0.96552,81.83336,-4.989517,0.091599,0.427836,,,,,,,,,,,,-3.21012,11.30725,-1.28935,50,6.26422,1.8972,-129.72865,-5.3536,-5.48353,26.53736,-12.85904,MIC_WOL,NOR_CAT,RayFisher,D1,BIG10,20260417-RayFisher-1,8381adf0-3a98-11f1-b25b-55cfd7366e3d,88.10017,,,7.56151,,,,,,,5177ced5-6487-498e-88bb-1e325fd4b69b,2026-04-17,20:03:33.46,2026-04-17T16:03:33.4627328-04:00,2026-04-17T20:03:33.4627328Z,,v3,2290,471395,5124309f7655429db125a135b67b49d2,"Miller, Noah",806165,Right,MIC_WOL,21266324-beeb-4262-a5e3-703a7df2cef2,54.92332,-130.73188,13.26868,6.45742,-4.86747,-6.42952,-1.36499,2.1045,-2.74177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-17,16:03:50.68,1,2,"Barr, Kurt",803913,Right,MIC_WOL,"Barron, Nick",829158,Left,NOR_CAT,Undefined,1,Top,0,1,0,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,81.66053,-2.531161,-1.336434,2281.035874,173.802657,11:45,6.49596,1.45217,5.57488,-34.69199,7.40426,-0.67181,1.23858,0.14767,75.84993,-8.856154,-1.45651,0.466974,,,,,,,,,,,,0.00587,4.7067,-1.3366,50,6.25471,2.79219,-118.60191,-6.38936,0.00843,21.02565,-25.41768,MIC_WOL,NOR_CAT,RayFisher,D1,BIG10,20260417-RayFisher-1,8dc16da0-3a98-11f1-b25b-55cfd7366e3d,80.71628,,,5.8106,,,,,,,5177ced5-6487-498e-88bb-1e325fd4b69b,2026-04-17,20:03:50.68,2026-04-17T16:03:50.6808832-04:00,2026-04-17T20:03:50.6808832Z,,v3,2290,471395,5124309f7655429db125a135b67b49d2,"Miller, Noah",806165,Right,MIC_WOL,2c88b10c-0257-4bfe-9279-c445a214ee3c,54.92855,-119.47244,10.51283,6.49746,-5.33698,-12.70884,-1.4522,2.79184,0.00422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-17,16:04:11.59,1,3,"Barr, Kurt",803913,Right,MIC_WOL,"Barron, Nick",829158,Left,NOR_CAT,Undefined,1,Top,0,1,1,Curveball,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,78.81993,-2.739404,-2.013279,2437.674926,37.898616,7:15,6.74754,0.88896,5.35013,-46.4642,0.50795,-0.97626,0.30252,-1.08155,71.58165,-11.167996,-2.187283,0.493278,,,,,,,,,,,,-0.19787,1.65732,-0.70691,50,6.46753,4.04627,-114.00941,-7.03301,-0.25466,25.30586,-30.04121,MIC_WOL,NOR_CAT,RayFisher,D1,BIG10,20260417-RayFisher-1,9a410b30-3a98-11f1-b25b-55cfd7366e3d,76.41217,,,7.23827,,,,,,,5177ced5-6487-498e-88bb-1e325fd4b69b,2026-04-17,20:04:11.59,2026-04-17T16:04:11.5969024-04:00,2026-04-17T20:04:11.5969024Z,,v3,2290,471395,5124309f7655429db125a135b67b49d2,"Miller, Noah",806165,Right,MIC_WOL,319b80de-840e-491a-98c9-15378b0f92e4,55.14883,-115.14659,12.65293,6.75324,-5.68303,-15.0206,-0.889,4.05771,-0.12733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-17,16:04:31.21,1,4,"Barr, Kurt",803913,Right,MIC_WOL,"Barron, Nick",829158,Left,NOR_CAT,Undefined,1,Top,0,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.53468,1.655372,-1.003752,2171.362801,188.011486,12:15,6.45077,1.29369,5.67364,-21.92655,14.04402,1.81819,6.16756,0.5093,80.6325,-2.462782,-0.678971,0.431663,,,,,,,,,,,,-1.19213,6.99575,-1.21011,50,6.57679,2.17009,-128.47102,2.99984,-1.99233,26.61786,-20.48232,MIC_WOL,NOR_CAT,RayFisher,D1,BIG10,20260417-RayFisher-1,a5e2f2f0-3a98-11f1-b25b-55cfd7366e3d,87.31913,,,7.90217,,,,,,,5177ced5-6487-498e-88bb-1e325fd4b69b,2026-04-17,20:04:31.21,2026-04-17T16:04:31.2189440-04:00,2026-04-17T20:04:31.2189440Z,,v3,2290,471395,5124309f7655429db125a135b67b49d2,"Miller, Noah",806165,Right,MIC_WOL,bdfd6095-3995-480d-b25c-a0e0bafbf882,54.82333,-129.4665,13.30893,6.45028,3.76586,-10.24116,-1.29266,2.2446,-0.99616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-17,16:04:50.08,1,5,"Barr, Kurt",803913,Right,MIC_WOL,"Barron, Nick",829158,Left,NOR_CAT,Undefined,1,Top,0,3,1,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,89.65095,-4.017638,-2.044163,2114.771248,190.602179,12:15,6.35144,1.34969,5.66436,-18.34158,16.95493,2.95504,1.06808,-0.311,82.01667,-7.451119,-1.516245,0.4276,,,,,,,,,,,,-2.08437,10.10941,-1.17873,50,5.99963,4.50497,-129.79318,-9.70361,-3.54897,27.64214,-14.96102,MIC_WOL,NOR_CAT,RayFisher,D1,BIG10,20260417-RayFisher-1,b12889e0-3a98-11f1-b25b-55cfd7366e3d,88.14888,,,7.63428,,,,,,,5177ced5-6487-498e-88bb-1e325fd4b69b,2026-04-17,20:04:50.08,2026-04-17T16:04:50.0827648-04:00,2026-04-17T20:04:50.0827648Z,,v3,2290,471395,5124309f7655429db125a135b67b49d2,"Miller, Noah",806165,Right,MIC_WOL,6b87ecab-a114-4455-acc8-c2601bf8ba71,54.83517,-130.81887,13.82107,6.3494,-9.14847,-7.48051,-1.34834,4.63666,-1.77448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-17,16:05:21.67,2,1,"Barr, Kurt",803913,Right,MIC_WOL,"Kucherak, Ryan",807725,Right,NOR_CAT,Undefined,1,Top,0,0,0,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,80.98874,-2.378447,-3.251953,2198.695231,196.561479,12:30,6.39895,1.62614,5.69479,-38.9527,5.08418,1.01024,0.93146,-1.32357,73.11465,-9.544902,-3.071336,0.477617,,,,,,,,,,,,-1.63398,3.92551,-1.35329,50,6.17494,6.61094,-117.0683,-6.14562,-2.21572,26.81476,-26.85098,MIC_WOL,NOR_CAT,RayFisher,D1,BIG10,20260417-RayFisher-1,c401fa60-3a98-11f1-b25b-55cfd7366e3d,78.91771,,,7.87409,,,,,,,5177ced5-6487-498e-88bb-1e325fd4b69b,2026-04-17,20:05:21.67,2026-04-17T16:05:21.6732160-04:00,2026-04-17T20:05:21.6732160Z,,v3,2290,471395,5124309f7655429db125a135b67b49d2,"Miller, Noah",806165,Right,MIC_WOL,ddc1ee48-cd9b-4b00-acb7-7c78d8547e00,54.80112,-118.16289,13.40738,6.40344,-5.04955,-13.42549,-1.62499,6.70138,-1.10786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-17,16:05:40.86,2,2,"Barr, Kurt",803913,Right,MIC_WOL,"Kucherak, Ryan",807725,Right,NOR_CAT,Undefined,1,Top,0,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.18073,-2.361212,-1.790599,2208.024712,198.904904,12:45,6.42907,1.49253,5.55318,-19.47997,17.22611,5.46681,2.59705,0.27439,80.1283,-6.027348,-0.815888,0.436054,103.92496,27.043216,-34.190395,3197.327684,87.18737,54.77128,-67.06958,378.20197,253.99829,-48.851796,5.158366,-3.32839,9.81178,-1.34146,50,6.2122,3.76195,-127.80851,-5.89342,-5.46184,28.2904,-16.07308,MIC_WOL,NOR_CAT,RayFisher,D1,BIG10,20260417-RayFisher-1,cf69e660-3a98-11f1-b25b-55cfd7366e3d,86.43984,83.89205,,8.05243,,,,3.15541,2.93174,-0.37291,5177ced5-6487-498e-88bb-1e325fd4b69b,2026-04-17,20:05:40.86,2026-04-17T16:05:40.8682496-04:00,2026-04-17T20:05:40.8682496Z,FlyBall,v3,2290,471395,5124309f7655429db125a135b67b49d2,"Miller, Noah",806165,Right,MIC_WOL,a9d745ec-778e-41d7-9f4c-447b99dd4d8c,54.94669,-128.89881,14.1452,6.42739,-5.27397,-8.03654,-1.4905,3.97244,-2.73092,,3.15664,112.26494,-30.69383,7.58841,-1.49093,0.23162,-0.0308,0.00327,-0.00017,2.93457,69.24507,-15.16596,-0.37482,0.48481,-0.19222,0.04642,-0.00578,0.00028,-0.3735,-76.28041,6.48261,-0.46678,-0.04196,0.01284,0.00012,-0.00036,3E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
8,2026-04-17,16:06:11.59,2,3,"Barr, Kurt",803913,Right,MIC_WOL,"Kucherak, Ryan",807725,Right,NOR_CAT,Undefined,1,Top,0,0,2,Curveball,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,79.33338,-1.796079,-1.761435,2193.896142,353.102234,5:45,6.66,1.19751,5.63392,-45.7679,0.05327,0.2022,1.16892,-0.42959,71.82671,-10.17547,-1.725224,0.487197,,,,,,,,,,,,-0.70929,1.1565,-1.04775,50,6.4782,3.52491,-114.87984,-5.11751,-0.92641,25.77441,-30.66354,MIC_WOL,NOR_CAT,RayFisher,D1,BIG10,20260417-RayFisher-1,e1c685c0-3a98-11f1-b25b-55cfd7366e3d,77.36594,,,7.50667,,,,,,,5177ced5-6487-498e-88bb-1e325fd4b69b,2026-04-17,20:06:11.59,2026-04-17T16:06:11.5960832-04:00,2026-04-17T20:06:11.5960832Z,,v3,2290,471395,5124309f7655429db125a135b67b49d2,"Miller, Noah",806165,Right,MIC_WOL,8ade166a-235b-4661-a4ee-e595f5e08993,54.86386,-115.96596,12.88721,6.66662,-3.82536,-15.33177,-1.19712,3.56395,-0.46321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-17,16:06:29.35,2,4,"Barr, Kurt",803913,Right,MIC_WOL,"Kucherak, Ryan",807725,Right,NOR_CAT,Undefined,1,Top,0,1,2,Curveball,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,77.65749,-1.923538,-2.137361,2383.952817,343.782634,5:30,6.61783,1.09734,5.9094,-51.73467,-5.15189,1.93449,0.51927,-0.72627,71.68229,-11.345901,-1.78874,0.491229,,,,,,,,,,,,-1.63705,-1.68173,-0.92684,50,6.43357,4.13749,-112.71327,-5.40842,-2.09123,21.82409,-34.32236,MIC_WOL,NOR_CAT,RayFisher,D1,BIG10,20260417-RayFisher-1,ec574ba0-3a98-11f1-b25b-55cfd7366e3d,76.73085,,,5.97521,,,,,,,5177ced5-6487-498e-88bb-1e325fd4b69b,2026-04-17,20:06:29.35,2026-04-17T16:06:29.3530112-04:00,2026-04-17T20:06:29.3530112Z,,v3,2290,471395,5124309f7655429db125a135b67b49d2,"Miller, Noah",806165,Right,MIC_WOL,44b8c34a-167a-4826-ab78-85a212289e55,54.593,-113.59911,10.91205,6.62483,-4.01527,-17.16118,-1.0965,4.22237,-1.04561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-17,16:07:01.43,3,1,"Barr, Kurt",803913,Right,MIC_WOL,"Lausch, Jack",702594,Left,NOR_CAT,Undefined,1,Top,1,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,75.38438,-0.612737,0.060357,2356.23355,321.219046,4:45,6.78912,1.11171,5.58392,-54.69306,-4.31953,4.88831,1.65912,1.57543,68.85015,-10.583178,0.935992,0.510826,,,,,,,,,,,,-2.44902,-1.43543,-1.12012,50,6.7011,-0.29863,-109.36417,-2.93213,-2.92077,22.03455,-33.88599,MIC_WOL,NOR_CAT,RayFisher,D1,BIG10,20260417-RayFisher-1,ff7e3fe0-3a98-11f1-b25b-55cfd7366e3d,73.78731,,,6.53423,,,,,,,5177ced5-6487-498e-88bb-1e325fd4b69b,2026-04-17,20:07:01.43,2026-04-17T16:07:01.4360576-04:00,2026-04-17T20:07:01.4360576Z,,v3,2290,471395,5124309f7655429db125a135b67b49d2,"Miller, Noah",806165,Right,MIC_WOL,88218920-596c-40dd-b251-3b80d0bf00de,54.91593,-110.35018,11.01727,6.79838,-1.41578,-16.943,-1.10968,-0.16792,-1.46039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
