PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-17,18:04:40.00,1,1,"Walton, Ryker",1000436633,Right,AUS_GOV,"Pace, Sawyer",10323327,Left,BEL_KNI,Undefined,1,Top,0,0,0,Fastball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AUS_GOV,BEL_KNI,RaymondHand,D1,ASUN,20260417-RaymondHand-3,e0dae3e0-3ab1-11f1-8fca-8b7575061c07,,,,,,,,,,,2c236c51-dfec-4798-bd11-cb84cdc7973f,2026-04-17,23:04:40.00,2026-04-17T18:04:40.0000000-05:00,2026-04-17T23:04:40.0000000Z,,v3,471237,643-144469,,"Conley, Trevor",800753,Right,AUS_GOV,021ab0e8-f53f-4087-b80f-62cafd325dd6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-04-17,18:05:09.45,1,2,"Walton, Ryker",1000436633,Right,AUS_GOV,"Pace, Sawyer",10323327,Left,BEL_KNI,Undefined,1,Top,0,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.93142,-0.302609,-1.560549,1729.071769,250.691499,2:15,5.48008,2.02978,5.95265,-31.40033,7.33426,17.35623,2.58263,2.02847,77.56959,-6.141865,1.560076,0.447941,,,,,,,,,,,,-9.34154,4.23449,-1.91531,50,5.4385,2.6637,-123.36358,-1.66932,-14.33943,25.43652,-25.67401,AUS_GOV,BEL_KNI,RaymondHand,D1,ASUN,20260417-RaymondHand-3,e1cd5a30-3ab1-11f1-8fca-8b7575061c07,84.14599,,,7.36184,,,,,,,2c236c51-dfec-4798-bd11-cb84cdc7973f,2026-04-17,23:05:09.45,2026-04-17T18:05:09.4533632-05:00,2026-04-17T23:05:09.4533632Z,,v3,471237,643-144469,,"Conley, Trevor",800753,Right,AUS_GOV,f1b2c680-76ae-4101-9ab4-e24c06ffaf55,54.54701,-124.2976,12.71826,5.48249,-0.72658,-12.83701,-2.02279,3.19024,-7.16971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-17,18:05:24.25,1,3,"Walton, Ryker",1000436633,Right,AUS_GOV,"Pace, Sawyer",10323327,Left,BEL_KNI,Undefined,1,Top,0,1,1,Cutter,Slider,InPlay,Undefined,FlyBall,Out,1,0,,86.14995,-1.544981,-1.34245,2566.03666,161.026568,11:15,5.60108,1.98392,5.77491,-30.36986,7.10067,-2.07362,1.63185,0.56169,79.78974,-7.129663,-1.714109,0.440572,85.62734,24.221705,-18.796759,4371.754493,101.72656,40.16267,-41.85329,310.37368,300.5531,-28.946938,3.8696,0.73366,4.31,-1.87169,50,5.45475,3.01618,-125.23028,-4.40289,1.17503,23.26815,-25.27122,AUS_GOV,BEL_KNI,RaymondHand,D1,ASUN,20260417-RaymondHand-3,ea94aab0-3ab1-11f1-8fca-8b7575061c07,85.55351,47.79328,,6.36021,,,,3.20353,1.87364,-0.62009,2c236c51-dfec-4798-bd11-cb84cdc7973f,2026-04-17,23:05:24.25,2026-04-17T18:05:24.2520064-05:00,2026-04-17T23:05:24.2520064Z,LineDrive,v3,471237,643-144469,,"Conley, Trevor",800753,Right,AUS_GOV,d599feb4-99a9-47e2-b215-bdf3b05e2be7,54.72727,-126.10556,11.63408,5.6025,-3.45226,-12.63561,-1.98431,2.97198,0.58751,138.294619,3.20324,108.433,-19.31984,4.47266,-1.03807,0.25866,-0.06166,0.00986,-0.00067,1.87431,51.5022,-14.98101,-0.04853,0.43441,-0.2312,0.07199,-0.01137,0.0007,-0.62008,-36.90214,-2.47605,1.32895,-0.41611,0.09526,-0.01639,0.0018,-9E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2026-04-17,18:06:01.30,2,1,"Walton, Ryker",1000436633,Right,AUS_GOV,"Hoerger, Luca",10915204,Right,BEL_KNI,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.46751,-3.636077,-1.986263,2411.697749,209.807509,1:00,6.17369,1.21099,5.78027,-17.15088,16.71367,8.90859,1.35471,0.10453,83.24402,-6.875229,-0.390945,0.418836,,,,,,,,,,,,-5.16733,9.96906,-1.05264,50,5.86302,4.20971,-132.47538,-8.9586,-9.11982,30.11254,-14.57962,AUS_GOV,BEL_KNI,RaymondHand,D1,ASUN,20260417-RaymondHand-3,00aec740-3ab2-11f1-8fca-8b7575061c07,89.99334,,,8.22349,,,,,,,2c236c51-dfec-4798-bd11-cb84cdc7973f,2026-04-17,23:06:01.30,2026-04-17T18:06:01.3083648-05:00,2026-04-17T23:06:01.3083648Z,,v3,471237,643-144469,,"Conley, Trevor",800753,Right,AUS_GOV,4681d0d9-8814-4e37-9ed0-cccad011cf17,54.7192,-133.54378,15.05627,6.17169,-8.44132,-7.28981,-1.20774,4.53328,-4.55991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-17,18:06:15.98,2,2,"Walton, Ryker",1000436633,Right,AUS_GOV,"Hoerger, Luca",10915204,Right,BEL_KNI,Undefined,1,Top,1,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.49929,-1.982434,-1.949061,2410.27101,209.65499,1:00,6.01831,1.43483,6.05328,-13.71556,18.86143,10.12717,3.03845,0.47386,84.2309,-4.627568,-0.127017,0.410797,65.35466,61.319152,114.830802,5534.935639,,,,,57.47551,,,-5.78989,10.61686,-1.28869,50,5.85668,4.13627,-134.25329,-5.02189,-10.52854,30.0592,-12.86803,AUS_GOV,BEL_KNI,RaymondHand,D1,ASUN,20260417-RaymondHand-3,096ffd40-3ab2-11f1-8fca-8b7575061c07,91.75448,84.35804,,8.26839,,,,1.47042,3.14732,-0.44951,2c236c51-dfec-4798-bd11-cb84cdc7973f,2026-04-17,23:06:15.98,2026-04-17T18:06:15.9856640-05:00,2026-04-17T23:06:15.9856640Z,,v3,471237,643-144469,,"Conley, Trevor",800753,Right,AUS_GOV,21795b31-0f20-402d-b110-6d8d2a45e18f,54.44597,-135.24507,15.0296,6.01537,-4.59732,-6.43401,-1.43089,4.48365,-5.26427,315.326154,1.47041,-19.31683,-0.63711,0.51761,-0.59155,0.71881,-0.50777,0.18472,-0.02724,3.14733,84.09184,-22.48652,2.07948,-0.1474,-0.32435,0.27369,-0.10318,0.01548,-0.44952,41.75264,-7.69039,2.19242,-1.16084,1.17886,-0.81226,0.2936,-0.04323,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Undefined,,,
6,2026-04-17,18:06:37.88,2,3,"Walton, Ryker",1000436633,Right,AUS_GOV,"Hoerger, Luca",10915204,Right,BEL_KNI,Undefined,1,Top,1,0,2,Cutter,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,84.82652,-1.137499,-3.358906,2648.607215,82.034592,8:45,5.59239,1.77439,5.58631,-39.02971,0.69886,-4.53484,1.27573,-1.74375,77.43303,-8.269317,-4.166932,0.453652,,,,,,,,,,,,1.28654,1.02949,-1.48245,50,5.46887,7.39698,-122.89693,-3.81407,1.94721,26.71596,-30.61591,AUS_GOV,BEL_KNI,RaymondHand,D1,ASUN,20260417-RaymondHand-3,167f57b0-3ab2-11f1-8fca-8b7575061c07,83.08671,,,7.39349,,,,,,,2c236c51-dfec-4798-bd11-cb84cdc7973f,2026-04-17,23:06:37.88,2026-04-17T18:06:37.8860000-05:00,2026-04-17T23:06:37.8860000Z,,v3,471237,643-144469,,"Conley, Trevor",800753,Right,AUS_GOV,ff14b4d1-007d-45c8-90cb-91a3d52d4c9a,54.91414,-123.96059,13.35798,5.59645,-2.59514,-15.30796,-1.77541,7.31945,0.97361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.47478,,,0.889355,,,,4.86116,5.78895,-2.20419,73.27842,8.76832,-51.53766,4.89787,81.02647,-4.63527,5.8117,15.07251,-13.19703,-2.26302,-60.98287,6.24284,High,High,High,,,High,High,High
7,2026-04-17,18:07:11.04,3,1,"Walton, Ryker",1000436633,Right,AUS_GOV,"Swader, AJ",838609,Left,BEL_KNI,Undefined,1,Top,2,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,76.58303,2.589237,0.913989,3147.615468,47.365366,7:30,5.75555,1.75504,5.48268,-64.74441,-15.13871,-18.5004,2.78473,1.06857,68.81719,-9.228014,-2.387271,0.506917,,,,,,,,,,,,9.53634,-7.83599,-1.82266,50,5.93966,-1.02923,-110.91839,2.78057,11.55756,24.86132,-41.67085,AUS_GOV,BEL_KNI,RaymondHand,D1,ASUN,20260417-RaymondHand-3,2a4d6160-3ab2-11f1-8fca-8b7575061c07,74.35618,,,7.76584,,,,,,,2c236c51-dfec-4798-bd11-cb84cdc7973f,2026-04-17,23:07:11.04,2026-04-17T18:07:11.0496256-05:00,2026-04-17T23:07:11.0496256Z,,v3,471237,643-144469,,"Conley, Trevor",800753,Right,AUS_GOV,7e399182-9afa-4803-a054-86d63eb0fa40,55.01845,-112.03759,12.43066,5.77226,4.65648,-20.83543,-1.76462,-1.54952,5.77878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-17,18:07:26.41,3,2,"Walton, Ryker",1000436633,Right,AUS_GOV,"Swader, AJ",838609,Left,BEL_KNI,Undefined,1,Top,2,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.49715,-0.147672,-1.179687,1763.951826,255.648695,2:30,5.33338,1.97657,6.10056,-32.88081,5.54929,16.32828,2.45671,2.24608,77.26246,-6.292437,1.764964,0.446177,,,,,,,,,,,,-8.72882,3.3452,-1.89382,50,5.30516,1.888,-124.07634,-1.38025,-13.39458,28.44751,-27.04077,AUS_GOV,BEL_KNI,RaymondHand,D1,ASUN,20260417-RaymondHand-3,336f7c10-3ab2-11f1-8fca-8b7575061c07,84.47868,,,8.23469,,,,,,,2c236c51-dfec-4798-bd11-cb84cdc7973f,2026-04-17,23:07:26.41,2026-04-17T18:07:26.4163328-05:00,2026-04-17T23:07:26.4163328Z,,v3,471237,643-144469,,"Conley, Trevor",800753,Right,AUS_GOV,42d549da-06aa-4106-8913-db085479de73,54.39657,-125.0803,14.22376,5.33704,-0.42594,-13.52039,-1.9688,2.36071,-6.69729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-17,18:07:44.00,3,3,"Walton, Ryker",1000436633,Right,AUS_GOV,"Swader, AJ",838609,Left,BEL_KNI,Undefined,1,Top,2,1,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,85.84005,-0.859285,-3.510186,1657.885815,269.086977,3:00,5.32665,1.86245,6.23472,-36.35392,1.53036,13.62343,1.50291,-0.2445,77.9876,-7.616226,-1.050859,0.442997,,,,,,,,,,,,-8.19705,1.42134,-1.60705,50,5.24454,7.11074,-124.48057,-3.037,-12.70858,27.76539,-29.97043,AUS_GOV,BEL_KNI,RaymondHand,D1,ASUN,20260417-RaymondHand-3,3de65150-3ab2-11f1-8fca-8b7575061c07,85.08508,,,7.85244,,,,,,,2c236c51-dfec-4798-bd11-cb84cdc7973f,2026-04-17,23:07:44.00,2026-04-17T18:07:44.0052736-05:00,2026-04-17T23:07:44.0052736Z,,v3,471237,643-144469,,"Conley, Trevor",800753,Right,AUS_GOV,2497971b-6efc-4f1a-a507-fac870e0cbf8,54.26547,-125.42838,13.88269,5.33075,-2.01392,-14.98522,-1.85719,7.54457,-6.35429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-17,18:08:03.22,3,4,"Walton, Ryker",1000436633,Right,AUS_GOV,"Swader, AJ",838609,Left,BEL_KNI,Undefined,1,Top,2,1,2,ChangeUp,Changeup,InPlay,Undefined,LineDrive,Single,0,0,,85.39027,-0.789434,-3.243321,1854.472825,269.493457,3:00,5.36518,1.92844,6.00885,-37.12876,1.52961,18.71666,1.53853,0.48016,77.44153,-7.667258,0.123714,0.4475,99.3798,13.704441,16.860744,1677.177711,104.39543,18.50765,34.66127,243.94901,243.94901,21.147414,2.188815,-10.69256,1.41083,-1.68387,50,5.28283,6.2728,-123.81019,-2.9413,-16.3718,27.85163,-30.01389,AUS_GOV,BEL_KNI,RaymondHand,D1,ASUN,20260417-RaymondHand-3,495e69f0-3ab2-11f1-8fca-8b7575061c07,84.2289,19.03677,,7.94874,,,,2.46649,1.70481,-0.45812,2c236c51-dfec-4798-bd11-cb84cdc7973f,2026-04-17,23:08:03.22,2026-04-17T18:08:03.2280064-05:00,2026-04-17T23:08:03.2280064Z,LineDrive,v3,471237,643-144469,,"Conley, Trevor",800753,Right,AUS_GOV,bdd33d7e-6769-4ad1-84b7-f2ff3acafd04,54.49157,-124.8165,13.92581,5.36951,-1.85687,-15.00695,-1.9212,6.86432,-8.1859,246.898823,2.46649,135.5198,-21.77051,4.64484,-1.01975,0.23767,-0.06847,0.01687,-0.00198,1.70481,34.5318,-18.40653,1.37234,-0.20261,0.01237,0.01471,-0.00665,0.00098,-0.45812,41.07281,0.95946,-1.09909,0.40657,-0.14164,0.05484,-0.01587,0.00203,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
