PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-17,15:08:05.71,1,1,"Damozonio, John",813801,Right,STM_GAE,"Sanchez, Ricky",10957608,Right,GON_BUL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.29729,-2.300081,-4.333269,2419.950974,199.633324,12:45,6.04884,2.10792,5.96791,-14.53363,19.05686,6.33296,2.69782,-1.38979,82.56681,-5.122699,-3.200532,0.417138,,,,,,,,,,,,-4.6991,10.89603,-1.76721,50,5.8579,9.81706,-133.318,-5.75055,-8.27606,34.38854,-12.98395,STM_GAE,GON_BUL,RonaldGallagherStad,D1,WCC,20260417-RonaldGallagherStad-1,e94ba990-3aa9-11f1-bdea-b7e16fe94526,90.35967,,,9.73048,,,,,,,ad7b3e2d-3670-4663-bc75-41cb08cae85a,2026-04-17,22:08:05.71,2026-04-17T15:08:05.7177088-07:00,2026-04-17T22:08:05.7177088Z,,v3,471428,471307,12589,"Armstrong, Ian",1000321869,Right,STM_GAE,d38f0488-f4e6-45e3-a02a-ce9579b569a5,54.52816,-134.48094,17.19427,6.04494,-5.31147,-6.49198,-2.10393,10.09694,-4.13803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-17,15:08:26.42,1,2,"Damozonio, John",813801,Right,STM_GAE,"Sanchez, Ricky",10957608,Right,GON_BUL,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.50775,-0.987801,-3.249675,2477.491949,214.752547,1:15,6.10992,2.02714,5.72978,-17.75627,16.3532,10.48686,3.70867,-0.12879,82.37828,-4.371354,-1.377411,0.420348,,,,,,,,,,,,-6.31504,8.96201,-1.76212,50,6.01665,7.0409,-132.47825,-2.83468,-11.06859,31.93285,-16.46598,STM_GAE,GON_BUL,RonaldGallagherStad,D1,WCC,20260417-RonaldGallagherStad-1,f5aee580-3aa9-11f1-bdea-b7e16fe94526,89.66963,,,9.12947,,,,,,,ad7b3e2d-3670-4663-bc75-41cb08cae85a,2026-04-17,22:08:26.42,2026-04-17T15:08:26.4251904-07:00,2026-04-17T22:08:26.4251904Z,,v3,471428,471307,12589,"Armstrong, Ian",1000321869,Right,STM_GAE,0a80b68c-b65f-45df-b5f7-de7f70658233,54.76726,-133.62242,15.96642,6.10765,-2.24469,-8.23299,-2.0215,7.43749,-5.53429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-17,15:08:47.94,1,3,"Damozonio, John",813801,Right,STM_GAE,"Sanchez, Ricky",10957608,Right,GON_BUL,Undefined,1,Top,0,2,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.70166,-1.180066,-2.502253,2329.27038,232.487125,1:45,6.14493,2.1097,5.67847,-23.60556,10.42831,11.9669,3.07648,0.77275,82.61504,-5.599371,-0.364161,0.419882,,,,,,,,,,,,-6.86737,6.0341,-1.90622,50,6.03077,5.26124,-132.83846,-3.56216,-12.07869,32.61561,-21.56099,STM_GAE,GON_BUL,RonaldGallagherStad,D1,WCC,20260417-RonaldGallagherStad-1,0281ac20-3aaa-11f1-bdea-b7e16fe94526,89.76914,,,9.08662,,,,,,,ad7b3e2d-3670-4663-bc75-41cb08cae85a,2026-04-17,22:08:47.94,2026-04-17T15:08:47.9492608-07:00,2026-04-17T22:08:47.9492608Z,,v3,471428,471307,12589,"Armstrong, Ian",1000321869,Right,STM_GAE,e3fa7037-dabd-4d2a-9e25-f1a81c770511,54.82003,-134.01669,16.30781,6.14538,-2.78327,-10.7805,-2.10417,5.69758,-6.03934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-17,15:09:06.08,1,4,"Damozonio, John",813801,Right,STM_GAE,"Sanchez, Ricky",10957608,Right,GON_BUL,Undefined,1,Top,0,2,1,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,86.9947,-2.169805,-3.728536,2739.523722,80.818072,8:45,6.08962,2.18815,5.29944,-37.73482,0.23724,-5.84575,0.90261,-1.80452,80.12609,-8.985028,-4.764172,0.44351,,,,,,,,,,,,1.88071,1.09098,-1.84426,50,5.86432,8.46336,-125.94838,-6.21625,3.01643,25.94144,-30.42426,STM_GAE,GON_BUL,RonaldGallagherStad,D1,WCC,20260417-RonaldGallagherStad-1,0d4eb7b0-3aaa-11f1-bdea-b7e16fe94526,84.98666,,,6.86861,,,,,,,ad7b3e2d-3670-4663-bc75-41cb08cae85a,2026-04-17,22:09:06.08,2026-04-17T15:09:06.0872704-07:00,2026-04-17T22:09:06.0872704Z,,v3,471428,471307,12589,"Armstrong, Ian",1000321869,Right,STM_GAE,66790e05-4270-4ba6-aa12-7186d670747a,55.202,-127.01531,12.97072,6.09426,-4.96494,-15.21213,-2.1898,8.3393,1.50822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-17,15:09:24.88,1,5,"Damozonio, John",813801,Right,STM_GAE,"Sanchez, Ricky",10957608,Right,GON_BUL,Undefined,1,Top,0,3,1,Fastball,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,,91.43856,-0.943774,-1.602822,2350.973134,233.16484,1:45,6.1343,2.17979,5.54696,-23.2795,10.99615,13.05264,3.31193,1.76922,82.57843,-5.29304,0.725249,0.42137,,,,,,,,,,,,-7.05433,6.2078,-2.04964,50,6.03743,3.10293,-132.53684,-3.00848,-12.38797,31.69472,-21.27263,STM_GAE,GON_BUL,RonaldGallagherStad,D1,WCC,20260417-RonaldGallagherStad-1,187bbd90-3aaa-11f1-bdea-b7e16fe94526,89.45204,,,8.86013,,,,,,,ad7b3e2d-3670-4663-bc75-41cb08cae85a,2026-04-17,22:09:24.88,2026-04-17T15:09:24.8808448-07:00,2026-04-17T22:09:24.8808448Z,,v3,471428,471307,12589,"Armstrong, Ian",1000321869,Right,STM_GAE,b6aa23b5-e685-40b6-9f77-cc27c9d3ac9b,54.95115,-133.71561,15.84736,6.13461,-2.21732,-10.63632,-2.17361,3.56365,-6.19399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-17,15:10:01.34,2,1,"Damozonio, John",813801,Right,STM_GAE,"Bell, Mikey",832246,Right,GON_BUL,Undefined,1,Top,0,0,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.63065,-0.748491,-2.973797,2704.665196,95.334759,9:15,6.10227,2.32466,5.21916,-38.66191,1.69473,-3.82205,2.17568,-0.7925,77.28782,-7.778957,-3.650433,0.457224,,,,,,,,,,,,1.02016,1.47295,-2.04689,50,6.00419,6.53491,-122.59218,-3.04259,1.54161,25.8234,-29.94818,STM_GAE,GON_BUL,RonaldGallagherStad,D1,WCC,20260417-RonaldGallagherStad-1,2e434d50-3aaa-11f1-bdea-b7e16fe94526,82.43761,,,7.34282,,,,,,,ad7b3e2d-3670-4663-bc75-41cb08cae85a,2026-04-17,22:10:01.34,2026-04-17T15:10:01.3430272-07:00,2026-04-17T22:10:01.3430272Z,,v3,471428,471307,12589,"Armstrong, Ian",1000321869,Right,STM_GAE,21feb93f-235e-4afa-8731-81f959acf3d1,55.28095,-123.69959,12.9117,6.10713,-1.7583,-14.97409,-2.32571,6.4688,0.7708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-17,15:10:22.74,2,2,"Damozonio, John",813801,Right,STM_GAE,"Bell, Mikey",832246,Right,GON_BUL,Undefined,1,Top,0,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.88138,-2.196699,-4.070879,2459.759764,217.240882,1:15,6.09243,2.1808,5.67808,-16.82241,17.0234,12.02875,2.6365,-0.61829,83.10473,-5.394136,-1.928189,0.41872,77.03546,10.397693,164.202613,3145.887046,,,,117.09979,49.6451,169.574003,1.220681,-7.35603,9.66367,-1.84475,50,5.89637,8.91823,-132.90709,-5.63501,-13.02968,31.07511,-15.05693,STM_GAE,GON_BUL,RonaldGallagherStad,D1,WCC,20260417-RonaldGallagherStad-1,3b05e750-3aaa-11f1-bdea-b7e16fe94526,90.01822,7.78276,,8.77666,,,,1.11046,2.43822,0.47633,ad7b3e2d-3670-4663-bc75-41cb08cae85a,2026-04-17,22:10:22.74,2026-04-17T15:10:22.7458560-07:00,2026-04-17T22:10:22.7458560Z,GroundBall,v3,471428,471307,12589,"Armstrong, Ian",1000321869,Right,STM_GAE,0713ec1f-b86e-4d64-a9cb-7de0f3793503,54.82156,-134.02968,15.53756,6.09011,-5.09108,-7.52846,-2.17543,9.38892,-6.51484,282.360219,1.05856,-106.35408,9.15815,,,,,,,2.5603,19.01635,-17.3706,,,,,,,0.6497,28.2744,-9.47827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
8,2026-04-17,15:10:47.35,2,3,"Damozonio, John",813801,Right,STM_GAE,"Bell, Mikey",832246,Right,GON_BUL,Undefined,1,Top,0,0,2,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.79171,-1.735772,-3.803449,2852.931578,26.291099,7:00,6.10218,2.27654,5.25691,-47.24097,-5.72618,-3.54418,0.5304,-1.5978,76.4233,-10.255481,-4.431657,0.463738,,,,,,,,,,,,0.55378,-1.96402,-1.92461,50,5.90742,8.20543,-121.19067,-5.43347,0.81048,27.20786,-35.04843,STM_GAE,GON_BUL,RonaldGallagherStad,D1,WCC,20260417-RonaldGallagherStad-1,49abe750-3aaa-11f1-bdea-b7e16fe94526,81.27956,,,7.36841,,,,,,,ad7b3e2d-3670-4663-bc75-41cb08cae85a,2026-04-17,22:10:47.35,2026-04-17T15:10:47.3542144-07:00,2026-04-17T22:10:47.3542144Z,,v3,471428,471307,12589,"Armstrong, Ian",1000321869,Right,STM_GAE,0547a59b-136f-44ea-b241-f361644d4c48,55.24509,-122.36256,13.60393,6.10893,-3.92388,-17.52422,-2.27728,8.17052,0.40524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-17,15:11:27.62,2,4,"Damozonio, John",813801,Right,STM_GAE,"Bell, Mikey",832246,Right,GON_BUL,Undefined,1,Top,0,1,2,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,91.33307,-2.16097,-2.274423,2333.649809,197.695198,12:30,6.18669,2.25886,5.6629,-16.0467,18.47792,5.47327,2.83178,0.59291,81.8472,-5.242469,-1.297302,0.422898,89.71072,36.946616,3.542947,4450.621835,109.29953,73.04364,12.39142,307.38016,307.38016,13.183686,5.019565,-3.57681,10.51442,-2.07004,50,5.9941,5.0084,-132.19967,-5.472,-6.19381,33.8319,-13.96668,STM_GAE,GON_BUL,RonaldGallagherStad,D1,WCC,20260417-RonaldGallagherStad-1,619a0090-3aaa-11f1-bdea-b7e16fe94526,89.12887,91.05214,,9.48587,,,,1.94649,2.90296,-0.61114,ad7b3e2d-3670-4663-bc75-41cb08cae85a,2026-04-17,22:11:27.62,2026-04-17T15:11:27.6293632-07:00,2026-04-17T22:11:27.6293632Z,FlyBall,v3,471428,471307,12589,"Armstrong, Ian",1000321869,Right,STM_GAE,cfa231e8-39ea-4c0c-af85-2f960243a527,54.83626,-133.43161,16.91595,6.18409,-4.96343,-6.98334,-2.25652,5.23393,-3.0969,205.35615,1.94738,104.93123,-21.12902,4.93413,-0.99289,0.19173,-0.03356,0.00395,-0.0002,2.90364,79.07684,-20.79003,1.8928,-0.27789,-0.00526,0.01282,-0.00218,0.00012,-0.61191,6.51789,3.92722,-0.97281,0.15301,-0.01147,-0.00027,8E-05,-0,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
10,2026-04-17,15:12:08.03,3,1,"Damozonio, John",813801,Right,STM_GAE,"Young, Ryder",1000242517,Right,GON_BUL,Undefined,1,Top,1,0,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.97625,-0.209509,-2.761231,2792.57583,72.727417,8:30,6.06939,2.20559,5.15282,-41.54089,-0.43315,-5.79114,2.41018,-0.8785,76.62888,-7.749244,-3.785448,0.461459,,,,,,,,,,,,2.04705,0.26917,-1.94265,50,6.01798,6.12061,-121.65733,-2.00841,3.04333,25.65449,-31.77389,STM_GAE,GON_BUL,RonaldGallagherStad,D1,WCC,20260417-RonaldGallagherStad-1,79d2de70-3aaa-11f1-bdea-b7e16fe94526,81.68101,,,7.34737,,,,,,,ad7b3e2d-3670-4663-bc75-41cb08cae85a,2026-04-17,22:12:08.03,2026-04-17T15:12:08.0351744-07:00,2026-04-17T22:12:08.0351744Z,,v3,471428,471307,12589,"Armstrong, Ian",1000321869,Right,STM_GAE,47103c75-2f8c-49d8-8966-d49f01c83635,55.34736,-122.77977,12.82725,6.07544,-0.61822,-15.88695,-2.20753,5.98745,1.52167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
