PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-17,18:35:34.55,1,1,"Montesa, Dawson",1000459279,Right,WES_MOU,"Cox, Tyler",831690,Right,HOU_COU,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,95.45537,-2.979976,-1.387208,2359.384195,199.217003,12:45,5.59849,1.48353,5.76036,-13.32524,18.03056,5.88024,1.711,0.6821,85.92911,-5.549875,-0.334594,0.403023,,,,,,,,,,,,-3.4378,10.47524,-1.37217,50,5.34345,3.07194,-138.21053,-7.58252,-6.54262,35.43224,-12.23822,WES_MOU,HOU_COU,WestVirginia,D1,BIG12,20260417-WestVirginia-1,cc141f20-3aad-11f1-a35f-2367c20ed45f,93.52418,,,9.52626,,,,,,,1497a5b4-7bb6-44b9-a86f-02cd8342d51b,2026-04-17,22:35:34.55,2026-04-17T18:35:34.5506304-04:00,2026-04-17T22:35:34.5506304Z,,v3,5327,3030,4de9f479d65443edbedb1900fb20855e,"Graveline, Matthew",805343,Right,WES_MOU,b9d54911-3b80-4588-b9e0-d5f1fdb71de2,54.73643,-139.41949,17.71612,5.59505,-7.16494,-6.11911,-1.48079,3.29517,-3.27131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-17,18:35:49.48,1,2,"Montesa, Dawson",1000459279,Right,WES_MOU,"Cox, Tyler",831690,Right,HOU_COU,Undefined,1,Top,0,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,95.75696,-1.880156,-2.134516,2393.233319,204.203098,12:45,5.60662,1.36372,5.76208,-14.11989,16.89052,7.09603,2.67814,-0.03259,86.44411,-4.590207,-0.865102,0.400797,,,,,,,,,,,,-4.29488,9.52182,-1.19127,50,5.44243,4.84476,-138.77923,-4.99109,-8.27154,34.67564,-13.83599,WES_MOU,HOU_COU,WestVirginia,D1,BIG12,20260417-WestVirginia-1,d4fb2ca0-3aad-11f1-a35f-2367c20ed45f,94.04361,,,9.31285,,,,,,,1497a5b4-7bb6-44b9-a86f-02cd8342d51b,2026-04-17,22:35:49.48,2026-04-17T18:35:49.4872576-04:00,2026-04-17T22:35:49.4872576Z,,v3,5327,3030,4de9f479d65443edbedb1900fb20855e,"Graveline, Matthew",805343,Right,WES_MOU,c4063db6-127b-490d-be47-ccc7762f2cc5,54.7362,-139.95762,17.33782,5.60406,-4.5209,-6.91799,-1.36069,5.12585,-4.13577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-17,18:36:12.43,1,3,"Montesa, Dawson",1000459279,Right,WES_MOU,"Cox, Tyler",831690,Right,HOU_COU,Undefined,1,Top,0,0,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,82.34733,0.449889,-1.715144,2721.476511,36.360244,7:15,5.69021,1.29321,4.58556,-58.88007,-14.83485,-12.07658,1.21172,-1.34527,74.78072,-10.05846,-3.835751,0.477662,,,,,,,,,,,,5.30953,-6.91398,-1.10398,50,5.68151,4.12077,-119.21825,-1.47452,7.49304,27.07343,-41.93136,WES_MOU,HOU_COU,WestVirginia,D1,BIG12,20260417-WestVirginia-1,e2b6f3b0-3aad-11f1-a35f-2367c20ed45f,78.91025,,,7.56661,,,,,,,1497a5b4-7bb6-44b9-a86f-02cd8342d51b,2026-04-17,22:36:12.43,2026-04-17T18:36:12.4384256-04:00,2026-04-17T22:36:12.4384256Z,,v3,5327,3030,4de9f479d65443edbedb1900fb20855e,"Graveline, Matthew",805343,Right,WES_MOU,6715d72d-7333-45b8-9137-28706e471792,55.91601,-120.55424,13.53672,5.70322,0.59466,-20.96568,-1.2982,3.75102,3.74652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-17,18:36:28.59,1,4,"Montesa, Dawson",1000459279,Right,WES_MOU,"Cox, Tyler",831690,Right,HOU_COU,Undefined,1,Top,0,1,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,96.66333,-2.473266,-1.905515,2385.721563,196.631101,12:30,5.64099,1.57881,5.6483,-9.76985,20.79686,5.88611,2.51719,0.2913,87.24529,-4.399285,-0.854845,0.39792,,,,,,,,,,,,-3.5874,11.64721,-1.42101,50,5.4252,4.38036,-140.03617,-6.296,-7.03886,35.13453,-9.321,WES_MOU,HOU_COU,WestVirginia,D1,BIG12,20260417-WestVirginia-1,ec4ae300-3aad-11f1-a35f-2367c20ed45f,94.7237,,,9.41805,,,,,,,1497a5b4-7bb6-44b9-a86f-02cd8342d51b,2026-04-17,22:36:28.59,2026-04-17T18:36:28.5967872-04:00,2026-04-17T22:36:28.5967872Z,,v3,5327,3030,4de9f479d65443edbedb1900fb20855e,"Graveline, Matthew",805343,Right,WES_MOU,539e1310-7a39-4c2a-9dad-97541aef735f,54.84996,-141.24776,17.56726,5.63678,-5.97457,-4.6605,-1.57625,4.62309,-3.51943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-17,18:36:49.27,1,5,"Montesa, Dawson",1000459279,Right,WES_MOU,"Cox, Tyler",831690,Right,HOU_COU,Undefined,1,Top,0,1,2,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,,97.10408,-1.126651,-2.305781,2215.115644,212.290815,1:00,5.59042,1.50338,5.82799,-13.9606,15.59887,9.2956,3.3787,0.13337,89.06012,-3.777992,-0.641071,0.391309,79.33457,16.335147,-0.065117,1959.126285,109.97595,22.66329,2.29919,225.01627,223.1301,3.0709,2.574516,-5.3854,8.55638,-1.32064,50,5.49014,5.25747,-141.04417,-3.22757,-10.90463,30.52343,-14.84862,WES_MOU,HOU_COU,WestVirginia,D1,BIG12,20260417-WestVirginia-1,f89ae510-3aad-11f1-a35f-2367c20ed45f,96.32397,22.79641,,8.04396,,,,1.57687,3.38349,-0.17056,1497a5b4-7bb6-44b9-a86f-02cd8342d51b,2026-04-17,22:36:49.27,2026-04-17T18:36:49.2716544-04:00,2026-04-17T22:36:49.2716544Z,LineDrive,v3,5327,3030,4de9f479d65443edbedb1900fb20855e,"Graveline, Matthew",805343,Right,WES_MOU,46ba598f-d069-4acf-83cd-64ceed148e01,54.67306,-142.05187,15.26171,5.58861,-2.73736,-7.42431,-1.50015,5.61748,-5.45232,202.95012,1.57686,111.6618,-15.18497,3.18457,-0.59735,0.09866,-0.01266,0.00106,-4E-05,3.38353,32.72268,-14.33055,0.49634,-0.04678,0.01715,-0.0067,0.00172,-0.00017,-0.17057,-0.12593,2.39718,-0.27298,0.0399,-0.00862,0.00317,-0.00065,5E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2026-04-17,18:37:27.83,2,1,"Montesa, Dawson",1000459279,Right,WES_MOU,"Broussard, Tre",821507,Left,HOU_COU,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,96.01424,-1.912819,-2.85223,2309.177094,213.381362,1:00,5.57792,1.54104,5.87515,-12.82957,17.55887,10.92615,2.72932,-0.19976,87.6023,-4.375675,-0.894993,0.396758,,,,,,,,,,,,-6.41138,9.82749,-1.31673,50,5.4157,6.44747,-139.28293,-5.03793,-12.58878,31.42038,-12.87775,WES_MOU,HOU_COU,WestVirginia,D1,BIG12,20260417-WestVirginia-1,0f979970-3aae-11f1-a35f-2367c20ed45f,95.00112,,,8.41194,,,,,,,1497a5b4-7bb6-44b9-a86f-02cd8342d51b,2026-04-17,22:37:27.83,2026-04-17T18:37:27.8374400-04:00,2026-04-17T22:37:27.8374400Z,,v3,5327,3030,4de9f479d65443edbedb1900fb20855e,"Graveline, Matthew",805343,Right,WES_MOU,3376403e-39c7-4587-9aed-bebfca5bd7e0,54.62517,-140.32243,15.71019,5.57532,-4.61189,-6.43887,-1.53693,6.86395,-6.29439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-17,18:38:07.00,2,2,"Montesa, Dawson",1000459279,Right,WES_MOU,"Broussard, Tre",821507,Left,HOU_COU,Undefined,1,Top,0,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,80.39397,-0.383648,-1.619049,2703.004484,34.540731,7:15,5.76829,1.49813,4.95047,-56.30015,-11.24938,-8.74004,0.71395,-0.7605,73.95003,-10.47043,-3.165266,0.483084,,,,,,,,,,,,3.88941,-5.17225,-1.33335,50,5.68377,3.65728,-116.62661,-2.88831,5.31425,23.56723,-39.2411,WES_MOU,HOU_COU,WestVirginia,D1,BIG12,20260417-WestVirginia-1,26fd6fe0-3aae-11f1-a35f-2367c20ed45f,78.02462,,,6.44394,,,,,,,1497a5b4-7bb6-44b9-a86f-02cd8342d51b,2026-04-17,22:38:07.00,2026-04-17T18:38:07.0043648-04:00,2026-04-17T22:38:07.0043648Z,,v3,5327,3030,4de9f479d65443edbedb1900fb20855e,"Graveline, Matthew",805343,Right,WES_MOU,cb96351e-9966-4358-829b-e6f118f0cb99,55.55305,-117.74339,11.78362,5.77658,-1.02879,-19.62055,-1.50069,3.40546,2.65713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-17,18:38:30.66,2,3,"Montesa, Dawson",1000459279,Right,WES_MOU,"Broussard, Tre",821507,Left,HOU_COU,Undefined,1,Top,0,1,1,Curveball,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,80.09078,0.541211,-1.926785,2722.677782,32.303713,7:00,5.70826,1.47975,4.82921,-58.92314,-13.33375,-9.35123,1.31086,-1.12496,73.59961,-10.0002,-3.575615,0.485963,,,,,,,,,,,,4.06484,-6.40154,-1.28015,50,5.71042,4.30161,-116.15826,-1.15147,5.51322,23.23941,-40.8566,WES_MOU,HOU_COU,WestVirginia,D1,BIG12,20260417-WestVirginia-1,35193140-3aae-11f1-a35f-2367c20ed45f,77.56235,,,6.49118,,,,,,,1497a5b4-7bb6-44b9-a86f-02cd8342d51b,2026-04-17,22:38:30.66,2026-04-17T18:38:30.6664960-04:00,2026-04-17T22:38:30.6664960Z,,v3,5327,3030,4de9f479d65443edbedb1900fb20855e,"Graveline, Matthew",805343,Right,WES_MOU,402ee7cd-91b7-4349-bafe-15f42c87f537,55.67458,-117.28806,11.6197,5.71811,0.8348,-20.4283,-1.48276,4.03359,2.75661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-17,18:39:13.18,2,4,"Montesa, Dawson",1000459279,Right,WES_MOU,"Broussard, Tre",821507,Left,HOU_COU,Undefined,1,Top,0,1,2,Splitter,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.52235,-1.86241,-3.127171,1551.503808,255.064327,2:30,5.54505,1.69917,5.28441,-32.21915,3.92981,10.92867,1.1079,-0.32975,82.15127,-7.708045,-1.188361,0.432732,,,,,,,,,,,,-6.29209,2.70103,-1.42232,50,5.35105,6.54344,-128.46307,-5.41044,-10.6426,23.57645,-27.60548,WES_MOU,HOU_COU,WestVirginia,D1,BIG12,20260417-WestVirginia-1,4e6af930-3aae-11f1-a35f-2367c20ed45f,87.1034,,,6.37108,,,,,,,1497a5b4-7bb6-44b9-a86f-02cd8342d51b,2026-04-17,22:39:13.18,2026-04-17T18:39:13.1881984-04:00,2026-04-17T22:39:13.1881984Z,,v3,5327,3030,4de9f479d65443edbedb1900fb20855e,"Graveline, Matthew",805343,Right,WES_MOU,588f116d-a3a2-4f6f-86b4-41b7ea257a10,55.2183,-129.41722,11.78822,5.54741,-4.29323,-13.80274,-1.69585,6.97415,-5.3213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-17,18:39:39.43,2,5,"Montesa, Dawson",1000459279,Right,WES_MOU,"Broussard, Tre",821507,Left,HOU_COU,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,96.22237,-1.698514,-1.570424,2377.652367,213.132361,1:00,5.55314,1.71257,5.77357,-12.65835,17.80635,10.958,2.91664,1.16399,87.41117,-4.135022,0.391346,0.397256,,,,,,,,,,,,-5.99697,9.84095,-1.58925,50,5.40507,3.30706,-139.59289,-4.50715,-11.77741,32.80422,-12.84748,WES_MOU,HOU_COU,WestVirginia,D1,BIG12,20260417-WestVirginia-1,5e0bd3f0-3aae-11f1-a35f-2367c20ed45f,94.88209,,,8.8112,,,,,,,1497a5b4-7bb6-44b9-a86f-02cd8342d51b,2026-04-17,22:39:39.43,2026-04-17T18:39:39.4359808-04:00,2026-04-17T22:39:39.4359808Z,,v3,5327,3030,4de9f479d65443edbedb1900fb20855e,"Graveline, Matthew",805343,Right,WES_MOU,cff25f54-2de2-4c44-9591-e7c909bbbd1c,54.72403,-140.69866,16.40211,5.5497,-4.07408,-6.42374,-1.70741,3.70406,-5.88871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
