PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-18,15:04:23.64,1,1,"Barnes, Eastyn",10313471,Right,BAR_COL,"Evatt, Nolan",1000303736,Left,SOU_WES1,Undefined,1,Top,0,0,0,Fastball,Slider,InPlay,Undefined,GroundBall,Out,1,0,,82.73226,-0.190304,-1.891166,2242.667202,199.45473,12:45,5.55527,2.0399,5.55452,-27.46324,13.91308,4.44835,3.08875,0.64287,75.61074,-5.299291,-1.098264,0.462964,94.68302,8.07398,13.657039,1545.831652,,,,127.98211,127.98211,15.208792,1.016902,-2.80323,7.48315,-1.87946,50,5.52085,3.7874,-120.08111,-1.27914,-4.08767,23.53686,-21.26206,BAR_COL,SOU_WES1,BartonCollege,D2,CC,20260418-BartonCollege-2,6a0c86d0-3b59-11f1-8eb9-1f1bf882e2a5,81.41545,7.20318,,7.12152,,,,2.71578,3.23264,-0.65819,64d5891e-ecd9-4d93-af05-704a04da8466,2026-04-18,19:04:23.64,2026-04-18T15:04:23.6450000-04:00,2026-04-18T19:04:23.6450000Z,LineDrive,v3,643-144456,643-145851,,"Marvel, Jackson",10092932,Right,BAR_COL,5e39bf77-f94e-420a-8c76-3ccd01cf56d8,54.94568,-121.04662,11.76843,5.55543,-0.40695,-10.63103,-2.03826,3.95508,-2.04384,318.922942,2.71578,133.6043,-15.47481,1.05331,-0.19534,0.02343,-0.0001,-0.00038,8E-05,3.23264,19.50427,-25.26807,3.42868,-0.63459,0.15124,-0.03037,0.00511,-0.00056,-0.65819,32.46311,1.543,-0.45269,0.11648,-0.02621,0.00577,-0.00117,0.00015,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
2,2026-04-18,15:05:07.21,2,1,"Barnes, Eastyn",10313471,Right,BAR_COL,"Tillman, Tristan",1000191861,Right,SOU_WES1,Undefined,1,Top,1,0,0,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,83.29523,-3.519612,-5.597943,2162.267687,211.695475,1:00,5.43313,2.01152,5.96211,-27.07608,13.54154,7.54496,-0.10664,-2.56716,76.50981,-8.534432,-4.251238,0.4587,,,,,,,,,,,,-5.46067,8.33788,-1.5703,50,5.13705,11.50032,-120.25908,-8.24938,-7.99736,23.30754,-19.96288,BAR_COL,SOU_WES1,BartonCollege,D2,CC,20260418-BartonCollege-2,840675a0-3b59-11f1-8eb9-1f1bf882e2a5,82.17234,,,6.78542,,,,,,,64d5891e-ecd9-4d93-af05-704a04da8466,2026-04-18,19:05:07.21,2026-04-18T15:05:07.2190000-04:00,2026-04-18T19:05:07.2190000Z,,v3,643-144456,643-145851,,"Marvel, Jackson",10092932,Right,BAR_COL,937bd295-aed0-46cb-8390-aeca37816615,54.53831,-121.13546,11.65377,5.43312,-7.49876,-9.98144,-2.00837,11.80103,-3.99868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-18,15:05:30.22,2,2,"Barnes, Eastyn",10313471,Right,BAR_COL,"Tillman, Tristan",1000191861,Right,SOU_WES1,Undefined,1,Top,1,0,1,Fastball,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,82.58733,-3.68209,-6.061132,2276.108197,181.984257,12:00,5.42387,1.95016,5.80699,-23.61009,18.88647,0.5974,0.00808,-3.65793,74.41633,-8.11226,-5.955159,0.46919,,,,,,,,,,,,-2.36205,11.36453,-1.45138,50,5.10597,12.59223,-118.81241,-8.35798,-3.30712,27.11833,-16.26248,BAR_COL,SOU_WES1,BartonCollege,D2,CC,20260418-BartonCollege-2,91bd33a0-3b59-11f1-8eb9-1f1bf882e2a5,80.3352,,,8.17099,,,,,,,64d5891e-ecd9-4d93-af05-704a04da8466,2026-04-18,19:05:30.22,2026-04-18T15:05:30.2230000-04:00,2026-04-18T19:05:30.2230000Z,,v3,643-144456,643-145851,,"Marvel, Jackson",10092932,Right,BAR_COL,a0200d88-39da-4d69-9559-f6531f8308bb,54.68956,-119.878,13.55916,5.42183,-7.71896,-8.13124,-1.94873,12.72219,-1.65356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-18,15:05:54.06,2,3,"Barnes, Eastyn",10313471,Right,BAR_COL,"Tillman, Tristan",1000191861,Right,SOU_WES1,Undefined,1,Top,1,1,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.92795,-0.768006,-2.014125,2342.909245,200.716181,12:45,5.31923,2.14029,5.75689,-22.23604,18.70056,6.5676,2.75084,0.81195,75.63911,-4.96413,-0.839306,0.460498,,,,,,,,,,,,-4.04079,10.22654,-1.97761,50,5.24233,3.99097,-120.4131,-2.27362,-5.90434,24.42663,-17.23127,BAR_COL,SOU_WES1,BartonCollege,D2,CC,20260418-BartonCollege-2,9ff3d000-3b59-11f1-8eb9-1f1bf882e2a5,81.85156,,,7.28884,,,,,,,64d5891e-ecd9-4d93-af05-704a04da8466,2026-04-18,19:05:54.06,2026-04-18T15:05:54.0660000-04:00,2026-04-18T19:05:54.0660000Z,,v3,643-144456,643-145851,,"Marvel, Jackson",10092932,Right,BAR_COL,3cefb497-39b0-4343-99c2-9b6ca4422324,54.74616,-121.37207,12.21332,5.31831,-1.59713,-8.61563,-2.13885,4.22277,-2.95217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-18,15:06:13.59,2,4,"Barnes, Eastyn",10313471,Right,BAR_COL,"Tillman, Tristan",1000191861,Right,SOU_WES1,Undefined,1,Top,1,1,2,Fastball,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,83.21157,-2.061055,-3.183936,2329.74746,205.29881,12:45,5.38081,2.16806,5.87391,-24.06958,16.52773,7.17811,1.45688,-0.1941,76.03367,-6.575038,-1.898412,0.458585,51.56334,-16.224248,-41.490622,,,,,12.44049,10.77746,-36.298197,0.124462,-4.64843,9.47371,-1.91471,50,5.19996,6.43831,-120.637,-5.06131,-6.82507,24.27439,-18.26425,BAR_COL,SOU_WES1,BartonCollege,D2,CC,20260418-BartonCollege-2,ab94a650-3b59-11f1-8eb9-1f1bf882e2a5,82.19288,2.87536,,7.17789,,,,3.2999,2.87536,-1.59389,64d5891e-ecd9-4d93-af05-704a04da8466,2026-04-18,19:06:13.59,2026-04-18T15:06:13.5910000-04:00,2026-04-18T19:06:13.5910000Z,GroundBall,v3,643-144456,643-145851,,"Marvel, Jackson",10092932,Right,BAR_COL,4ef772d5-28ca-461d-b2df-27eed063d416,54.62719,-121.56451,12.1372,5.38002,-4.36345,-9.13213,-2.1657,6.69909,-3.41254,,3.29984,54.39932,-2.84423,,,,,,,2.87553,-21.14817,-15.72258,,,,,,,-1.59404,-48.09102,13.88447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
6,2026-04-18,15:07:02.98,3,1,"Barnes, Eastyn",10313471,Right,BAR_COL,"Shimmel, Ethan",10296695,Left,SOU_WES1,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,83.75773,0.155731,-1.80928,2272.223295,201.228103,12:45,5.46707,2.1555,5.79261,-22.20391,17.94682,6.45693,3.76168,1.00996,76.14032,-4.045729,-0.653486,0.456056,,,,,,,,,,,,-3.80229,9.48839,-2.01039,50,5.46669,3.5752,-121.53494,-0.31547,-5.66193,24.80066,-18.04501,BAR_COL,SOU_WES1,BartonCollege,D2,CC,20260418-BartonCollege-2,c90879a0-3b59-11f1-8eb9-1f1bf882e2a5,82.64872,,,7.61741,,,,,,,64d5891e-ecd9-4d93-af05-704a04da8466,2026-04-18,19:07:02.98,2026-04-18T15:07:02.9810000-04:00,2026-04-18T19:07:02.9810000Z,,v3,643-144456,643-145851,,"Marvel, Jackson",10092932,Right,BAR_COL,e6e7ba15-07aa-43f1-aaf8-2bf507102142,54.70471,-122.49123,12.40033,5.46544,0.38032,-9.0225,-2.15246,3.79352,-2.83096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-18,15:07:20.60,3,2,"Barnes, Eastyn",10313471,Right,BAR_COL,"Shimmel, Ethan",10296695,Left,SOU_WES1,Undefined,1,Top,2,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,83.72672,-2.805429,-4.186393,2341.466421,201.736775,12:45,5.42446,2.06073,5.85797,-21.99863,18.14686,6.71433,0.97567,-1.27623,76.70745,-6.931182,-2.986798,0.456026,,,,,,,,,,,,-4.66906,10.50056,-1.72457,50,5.18332,8.61812,-121.21599,-6.6017,-6.94131,23.87051,-16.56324,BAR_COL,SOU_WES1,BartonCollege,D2,CC,20260418-BartonCollege-2,d3847f00-3b59-11f1-8eb9-1f1bf882e2a5,82.65409,,,7.01927,,,,,,,64d5891e-ecd9-4d93-af05-704a04da8466,2026-04-18,19:07:20.60,2026-04-18T15:07:20.6070000-04:00,2026-04-18T19:07:20.6070000Z,,v3,643-144456,643-145851,,"Marvel, Jackson",10092932,Right,BAR_COL,e8c79aa7-a7a3-42d1-83e3-b4f86f75824a,54.6437,-122.12703,11.93526,5.42322,-5.96954,-8.28162,-2.05854,8.88304,-3.47065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-18,15:07:39.57,3,3,"Barnes, Eastyn",10313471,Right,BAR_COL,"Shimmel, Ethan",10296695,Left,SOU_WES1,Undefined,1,Top,2,2,0,Fastball,Slider,InPlay,Undefined,FlyBall,HomeRun,0,1,,82.93463,-0.982117,-2.478501,2308.962539,192.059658,12:30,5.44651,2.06918,5.80394,-24.03045,16.60879,3.28221,2.52963,0.03616,76.17018,-5.480184,-1.891173,0.458822,100.82757,27.769368,3.758447,2966.972194,109.81278,54.99341,6.41155,412.37554,410.01086,2.029877,5.208628,-2.35847,9.13847,-1.86763,50,5.35152,5.08604,-120.41539,-2.78795,-3.47449,22.64432,-18.71115,BAR_COL,SOU_WES1,BartonCollege,D2,CC,20260418-BartonCollege-2,ded168f0-3b59-11f1-8eb9-1f1bf882e2a5,82.15046,85.36893,,6.76445,,,,1.79096,2.62664,-0.06414,64d5891e-ecd9-4d93-af05-704a04da8466,2026-04-18,19:07:39.57,2026-04-18T15:07:39.5700000-04:00,2026-04-18T19:07:39.5700000Z,FlyBall,v3,643-144456,643-145851,,"Marvel, Jackson",10092932,Right,BAR_COL,2367639a-048e-4558-bc0b-e318adc7e44e,54.69692,-121.29544,11.32216,5.44574,-2.06076,-9.35557,-2.06791,5.22107,-1.73724,176.502721,1.79127,130.5687,-23.22143,5.42926,-1.1298,0.2156,-0.0344,0.00363,-0.00017,2.62867,68.84402,-15.2597,0.19986,0.24406,-0.12569,0.03163,-0.00391,0.00019,-0.06411,8.57696,-2.30213,0.4895,-0.10559,0.02298,-0.00431,0.00051,-3E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2026-04-18,15:08:32.05,4,1,"Barnes, Eastyn",10313471,Right,BAR_COL,"Kirschner, Cole",1000359119,Right,SOU_WES1,Undefined,1,Top,2,0,0,Fastball,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,85.04552,-2.436499,-3.780426,2369.812336,192.280819,12:30,5.37339,1.90608,5.91407,-22.95785,15.90009,3.18394,1.19259,-1.34237,77.78121,-6.736659,-3.210592,0.448654,,,,,,,,,,,,-2.72744,9.24209,-1.60442,50,5.16449,8.01486,-123.1823,-5.94127,-4.17935,25.08926,-18.012,BAR_COL,SOU_WES1,BartonCollege,D2,CC,20260418-BartonCollege-2,fe1a7170-3b59-11f1-8eb9-1f1bf882e2a5,84.01236,,,7.26432,,,,,,,64d5891e-ecd9-4d93-af05-704a04da8466,2026-04-18,19:08:32.05,2026-04-18T15:08:32.0560000-04:00,2026-04-18T19:08:32.0560000Z,,v3,643-144456,643-145851,,"Marvel, Jackson",10092932,Right,BAR_COL,addc5363-05d6-48a9-b3db-046b365f2d7c,54.58603,-124.11285,12.54463,5.37246,-5.27322,-9.006,-1.90456,8.16987,-2.08968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-18,15:08:49.52,4,2,"Barnes, Eastyn",10313471,Right,BAR_COL,"Kirschner, Cole",1000359119,Right,SOU_WES1,Undefined,1,Top,2,1,0,Fastball,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.04224,-1.81544,-2.848509,2319.652548,198.41538,12:30,5.35932,2.06568,5.99344,-21.11348,18.72847,5.77177,1.91479,-0.09531,76.23067,-5.828019,-1.812385,0.454299,,,,,,,,,,,,-3.87965,10.62249,-1.84437,50,5.20462,5.84059,-121.82878,-4.45497,-5.76952,26.28454,-16.37708,BAR_COL,SOU_WES1,BartonCollege,D2,CC,20260418-BartonCollege-2,0880f300-3b5a-11f1-8eb9-1f1bf882e2a5,82.96838,,,7.81157,,,,,,,64d5891e-ecd9-4d93-af05-704a04da8466,2026-04-18,19:08:49.52,2026-04-18T15:08:49.5280000-04:00,2026-04-18T19:08:49.5280000Z,,v3,643-144456,643-145851,,"Marvel, Jackson",10092932,Right,BAR_COL,0d98c0e5-ae80-4ad0-9158-15447af6516d,54.50637,-122.79718,13.14227,5.35764,-3.85159,-8.18854,-2.06347,6.05316,-2.88476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
