PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-18,15:03:34.89,1,1,"Winders, Max",1000170806,Right,BUT_BUL,"Solomon, AJ",804748,Left,GEO_HOY,Undefined,1,Top,0,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.96441,-0.92907,0.553676,2245.05122,229.110171,1:45,6.02789,1.8127,6.53996,-24.7893,12.07595,12.61257,3.10989,3.37157,78.75287,-5.614088,2.84569,0.436999,,,,,,,,,,,,-6.43335,6.95953,-1.85577,50,5.95287,-1.68258,-125.00322,-2.71885,-10.16349,25.56358,-21.17926,BUT_BUL,GEO_HOY,BulldogPark,D1,BEAST,20260418-BulldogPark-1,4d0a8820-3b59-11f1-8523-670569c61e3e,86.25299,,,7.21154,,,,,,,265f888b-ae83-4e55-b8a7-c81313c09475,2026-04-18,19:03:34.89,2026-04-18T15:03:34.8939776-04:00,2026-04-18T19:03:34.8939776Z,,v3,471250,471302,c471b4d4f6024aabb823c754b3867fa4,"Duncan, Gunnar",10128708,Right,BUT_BUL,cd65d562-46a3-46d9-b9a8-dcb7886ef9d4,53.95756,-125.80995,12.78179,6.02813,-2.05048,-10.58963,-1.80774,-1.36184,-5.08175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-18,15:03:50.70,1,2,"Winders, Max",1000170806,Right,BUT_BUL,"Solomon, AJ",804748,Left,GEO_HOY,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.24572,-0.418656,-3.185581,2269.960955,216.777382,1:15,6.02589,1.78637,6.78632,-22.11501,14.62028,9.96796,3.8002,-0.29396,77.98419,-4.671699,-1.369713,0.436228,,,,,,,,,,,,-6.22992,8.23969,-1.58232,50,5.9901,6.59396,-125.15506,-1.46748,-9.76415,28.05714,-19.25999,BUT_BUL,GEO_HOY,BulldogPark,D1,BEAST,20260418-BulldogPark-1,56743320-3b59-11f1-8523-670569c61e3e,86.40544,,,8.26153,,,,,,,265f888b-ae83-4e55-b8a7-c81313c09475,2026-04-18,19:03:50.70,2026-04-18T15:03:50.7051008-04:00,2026-04-18T19:03:50.7051008Z,,v3,471250,471302,c471b4d4f6024aabb823c754b3867fa4,"Duncan, Gunnar",10128708,Right,BUT_BUL,f97d9acd-aa88-4109-ab51-3a5ef0cd6528,53.70915,-125.98383,14.02857,6.02504,-0.89857,-9.62999,-1.78136,6.88238,-4.88207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-18,15:04:06.72,1,3,"Winders, Max",1000170806,Right,BUT_BUL,"Solomon, AJ",804748,Left,GEO_HOY,Undefined,1,Top,0,2,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.38983,-1.723945,-1.589109,2429.45927,203.863893,12:45,6.11949,1.83896,6.77261,-18.00588,18.29017,7.56622,3.04379,1.01809,78.81696,-5.202046,-0.208577,0.433612,,,,,,,,,,,,-4.4326,10.51741,-1.73768,50,5.99968,3.20263,-125.53742,-4.19314,-7.04903,26.23942,-15.44845,BUT_BUL,GEO_HOY,BulldogPark,D1,BEAST,20260418-BulldogPark-1,60034070-3b59-11f1-8523-670569c61e3e,86.9267,,,7.57288,,,,,,,265f888b-ae83-4e55-b8a7-c81313c09475,2026-04-18,19:04:06.72,2026-04-18T15:04:06.7279872-04:00,2026-04-18T19:04:06.7279872Z,,v3,471250,471302,c471b4d4f6024aabb823c754b3867fa4,"Duncan, Gunnar",10128708,Right,BUT_BUL,87d0c174-32a9-45b2-b70f-11cc0d9dfe4d,53.72363,-126.31332,13.11971,6.11691,-3.73632,-7.72423,-1.83547,3.41107,-3.52452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-18,15:04:21.91,1,4,"Winders, Max",1000170806,Right,BUT_BUL,"Solomon, AJ",804748,Left,GEO_HOY,Undefined,1,Top,0,2,1,Fastball,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,86.21175,-0.983966,-2.13823,2454.111631,201.861031,12:45,6.07837,1.76727,6.70687,-19.05784,17.24658,6.47536,3.5899,0.3511,79.09923,-4.639694,-0.958964,0.433662,,,,,,,,,,,,-3.97362,9.70315,-1.62755,50,6.00508,4.44124,-125.34116,-2.61801,-6.34332,24.51215,-16.68436,BUT_BUL,GEO_HOY,BulldogPark,D1,BEAST,20260418-BulldogPark-1,6909e3e0-3b59-11f1-8523-670569c61e3e,86.91662,,,7.11253,,,,,,,265f888b-ae83-4e55-b8a7-c81313c09475,2026-04-18,19:04:21.91,2026-04-18T15:04:21.9175936-04:00,2026-04-18T19:04:21.9175936Z,,v3,471250,471302,c471b4d4f6024aabb823c754b3867fa4,"Duncan, Gunnar",10128708,Right,BUT_BUL,d94a66d5-5a14-4a8d-b7d9-5a7878410c09,53.79033,-126.08023,12.25608,6.07643,-2.11495,-8.34218,-1.76434,4.6325,-3.17166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-18,15:04:37.65,1,5,"Winders, Max",1000170806,Right,BUT_BUL,"Solomon, AJ",804748,Left,GEO_HOY,Undefined,1,Top,0,3,1,Fastball,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.41195,-1.21604,-2.435842,2442.745556,202.201658,12:45,6.02279,1.90665,6.68481,-19.35611,17.6732,6.75126,3.29637,0.24001,78.40518,-4.925332,-1.207238,0.43797,,,,,,,,,,,,-4.20268,9.99564,-1.74641,50,5.93345,5.03598,-124.14791,-3.10783,-6.58303,24.00444,-16.51692,BUT_BUL,GEO_HOY,BulldogPark,D1,BEAST,20260418-BulldogPark-1,7279a960-3b59-11f1-8523-670569c61e3e,86.06175,,,7.00677,,,,,,,265f888b-ae83-4e55-b8a7-c81313c09475,2026-04-18,19:04:37.65,2026-04-18T15:04:37.6512000-04:00,2026-04-18T19:04:37.6512000Z,,v3,471250,471302,c471b4d4f6024aabb823c754b3867fa4,"Duncan, Gunnar",10128708,Right,BUT_BUL,b555b261-2591-465d-a702-80761c0e0cd7,53.81281,-124.88296,12.00222,6.02087,-2.60206,-8.25846,-1.90371,5.23756,-3.29152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-18,15:04:53.61,1,6,"Winders, Max",1000170806,Right,BUT_BUL,"Solomon, AJ",804748,Left,GEO_HOY,Undefined,1,Top,0,3,2,Fastball,Cutter,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,84.60302,-1.239968,-2.20489,2331.05856,198.153748,12:30,6.01077,1.99718,6.69404,-20.92997,16.69702,5.10831,3.13167,0.40556,77.89686,-5.231184,-1.274797,0.44149,,,,,,,,,,,,-3.2674,9.4891,-1.85218,50,5.91951,4.55471,-123.02077,-3.18515,-5.03792,23.00478,-17.54304,BUT_BUL,GEO_HOY,BulldogPark,D1,BEAST,20260418-BulldogPark-1,7bf57cd0-3b59-11f1-8523-670569c61e3e,85.37549,,,6.70616,,,,,,,265f888b-ae83-4e55-b8a7-c81313c09475,2026-04-18,19:04:53.61,2026-04-18T15:04:53.6140000-04:00,2026-04-18T19:04:53.6140000Z,,v3,471250,471302,c471b4d4f6024aabb823c754b3867fa4,"Duncan, Gunnar",10128708,Right,BUT_BUL,3843e010-4f80-47b4-a39e-05465bcbaa03,53.80402,-123.73007,11.50239,6.00938,-2.64425,-8.77152,-1.99501,4.71004,-2.51896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.09175,2.612014,1.375539,1.236475,-1.26312,2.88075,-0.34704,-1.99061,4.01955,0.82704,70.49885,2.3797,-54.28316,-1.94473,63.22888,-3.75647,4.09989,16.26205,-14.2832,0.69444,-52.5629,6.56155,High,High,High,,,High,High,High
7,2026-04-18,15:05:23.09,2,1,"Winders, Max",1000170806,Right,BUT_BUL,"Ilitch, Travis",804468,Left,GEO_HOY,Undefined,1,Top,1,0,0,Fastball,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.87775,-2.194643,-1.842214,2437.966479,193.248434,12:30,6.06791,1.90603,6.73894,-17.34143,18.40127,4.07264,2.61555,0.56162,79.77649,-5.529124,-1.099827,0.430294,,,,,,,,,,,,-2.63788,10.65028,-1.78617,50,5.9162,3.91099,-126.26147,-5.2472,-4.27185,24.94165,-14.92669,BUT_BUL,GEO_HOY,BulldogPark,D1,BEAST,20260418-BulldogPark-1,8d84e120-3b59-11f1-8523-670569c61e3e,87.597,,,7.10127,,,,,,,265f888b-ae83-4e55-b8a7-c81313c09475,2026-04-18,19:05:23.09,2026-04-18T15:05:23.0964736-04:00,2026-04-18T19:05:23.0964736Z,,v3,471250,471302,c471b4d4f6024aabb823c754b3867fa4,"Duncan, Gunnar",10128708,Right,BUT_BUL,cc8ffe7d-9aba-41f5-bd0c-0b8ba5e7a466,53.75826,-127.0017,12.47083,6.06535,-4.8042,-7.46335,-1.90412,4.03778,-2.13593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-18,15:05:37.51,2,2,"Winders, Max",1000170806,Right,BUT_BUL,"Ilitch, Travis",804468,Left,GEO_HOY,Undefined,1,Top,1,0,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,87.99945,-1.473064,-3.057536,2419.996279,199.94736,12:45,5.97668,2.00991,6.70854,-18.27678,16.39339,5.59051,3.1047,-0.32213,81.28169,-4.960416,-2.040692,0.423789,79.57175,-17.259291,0.741317,,,,,10.57396,10.57396,2.700268,0.09062,-3.72831,9.35563,-1.8091,50,5.87133,6.63172,-127.92978,-3.75969,-6.24115,23.89547,-16.51289,BUT_BUL,GEO_HOY,BulldogPark,D1,BEAST,20260418-BulldogPark-1,961f5540-3b59-11f1-8523-670569c61e3e,88.94158,3.03657,,6.71777,,,,0.61185,3.03657,0.3563,265f888b-ae83-4e55-b8a7-c81313c09475,2026-04-18,19:05:37.51,2026-04-18T15:05:37.5120384-04:00,2026-04-18T19:05:37.5120384Z,GroundBall,v3,471250,471302,c471b4d4f6024aabb823c754b3867fa4,"Duncan, Gunnar",10128708,Right,BUT_BUL,1d5d95f7-39d7-4c8f-86ab-4f3091f38d97,53.79107,-128.63595,11.94774,5.97522,-3.27169,-8.25645,-2.00781,6.81616,-3.12057,184.041171,0.61196,111.42484,-17.92034,,,,,,,3.03632,-34.58974,11.99961,,,,,,,0.35628,1.44474,1.33585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2026-04-18,15:06:11.14,3,1,"Winders, Max",1000170806,Right,BUT_BUL,"Peek, Connor",809063,Right,GEO_HOY,Undefined,1,Top,2,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,76.0333,0.997276,0.065227,2396.83944,84.204963,8:45,5.9131,1.92511,6.16333,-46.71928,0.16193,-9.9204,2.94114,1.15867,71.19918,-7.596719,-1.726476,0.4928,,,,,,,,,,,,5.16327,0.23532,-1.92507,50,5.96461,0.20903,-110.75373,0.56375,6.53579,16.23915,-31.87619,BUT_BUL,GEO_HOY,BulldogPark,D1,BEAST,20260418-BulldogPark-1,aa334190-3b59-11f1-8523-670569c61e3e,76.48627,,,4.83412,,,,,,,265f888b-ae83-4e55-b8a7-c81313c09475,2026-04-18,19:06:11.14,2026-04-18T15:06:11.1487488-04:00,2026-04-18T19:06:11.1487488Z,,v3,471250,471302,c471b4d4f6024aabb823c754b3867fa4,"Duncan, Gunnar",10128708,Right,BUT_BUL,3b174e82-a90e-4111-9c29-5760f438f6f3,54.33854,-111.38805,8.11957,5.91827,1.80886,-15.93809,-1.92825,-0.04626,3.26789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-18,15:06:24.76,3,2,"Winders, Max",1000170806,Right,BUT_BUL,"Peek, Connor",809063,Right,GEO_HOY,Undefined,1,Top,2,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.87593,-1.761352,-2.639213,2469.433605,202.636629,12:45,6.12324,1.69849,6.73204,-19.25844,16.34879,6.38205,2.90661,-0.18312,80.11471,-5.435541,-1.476909,0.429478,87.64227,28.132333,54.703503,4932.264788,54.71797,52.61817,95.42477,328.07094,130.14599,74.325793,4.395597,-4.06284,9.43619,-1.52678,50,5.99921,5.59436,-126.30061,-4.37288,-6.61239,23.89733,-16.8163,BUT_BUL,GEO_HOY,BulldogPark,D1,BEAST,20260418-BulldogPark-1,b2476eb0-3b59-11f1-8523-670569c61e3e,87.76345,62.91813,,6.76122,,,,0.8101,2.88595,-0.08956,265f888b-ae83-4e55-b8a7-c81313c09475,2026-04-18,19:06:24.76,2026-04-18T15:06:24.7687680-04:00,2026-04-18T19:06:24.7687680Z,LineDrive,v3,471250,471302,c471b4d4f6024aabb823c754b3867fa4,"Duncan, Gunnar",10128708,Right,BUT_BUL,fbf3ce08-a22f-427f-853c-29fff43ee58f,53.76722,-127.0114,11.94866,6.12184,-3.8727,-8.40815,-1.6961,5.79103,-3.30619,,0.81004,65.49168,-21.44798,4.74431,-0.77843,0.01183,0.0359,-0.00804,0.00056,2.88195,60.70466,-16.36139,0.64523,-0.29194,0.17962,-0.04165,0.00364,-7E-05,-0.08661,92.43155,-13.4084,3.20199,0.13891,-0.46851,0.17886,-0.02913,0.00177,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
