PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-18,11:45:34.18,1,1,"Harvey, Ridge",838959,Left,BEL_BRU,"Magill, Spike",10250132,Right,EVA_ACE,Undefined,1,Top,0,0,0,Fastball,Cutter,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.43419,-0.670481,2.656771,2410.161158,178.386117,12:00,5.47446,-1.72643,5.60742,-28.07824,6.87185,-0.16622,2.50805,0.74144,82.79431,-5.826663,2.627137,0.425496,,,,,,,,,,,,0.73728,3.93626,1.49922,50,5.39872,-6.02173,-129.92301,-2.53409,1.27463,24.30265,-25.36889,BEL_BRU,EVA_ACE,ESRosePark,D1,MVC,20260418-ESRosePark-1,054cba20-3b46-11f1-96c9-41d07540bda6,88.58468,,,6.63988,,,,,,,914bed9c-18e3-491d-b9f5-946711fc6056,2026-04-18,16:45:34.18,2026-04-18T11:45:34.1809664-05:00,2026-04-18T16:45:34.1809664Z,,v3,471514,471290,04e3ebd477c540c2a02d7a179dfdaf9e,"Sprockett, Michael",1000119908,Right,BEL_BRU,4bbba92f-3b28-4aad-a991-16ae12d093af,54.89302,-130.83507,12.15133,5.47595,-1.58202,-12.68445,1.72611,-6.06956,0.63732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-18,11:45:52.59,1,2,"Harvey, Ridge",838959,Left,BEL_BRU,"Magill, Spike",10250132,Right,EVA_ACE,Undefined,1,Top,0,0,1,Fastball,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,88.97711,0.613457,0.006261,2467.416707,169.328145,11:45,5.40485,-1.73597,5.78341,-25.63946,9.84445,-1.64126,3.839,-1.86692,81.07759,-4.172709,-0.287753,0.428733,,,,,,,,,,,,0.83472,5.19008,1.73644,50,5.44011,0.05702,-129.20572,0.5139,1.40761,27.53879,-23.42203,BEL_BRU,EVA_ACE,ESRosePark,D1,MVC,20260418-ESRosePark-1,1039d0d0-3b46-11f1-96c9-41d07540bda6,87.91581,,,7.89952,,,,,,,914bed9c-18e3-491d-b9f5-946711fc6056,2026-04-18,16:45:52.59,2026-04-18T11:45:52.5999616-05:00,2026-04-18T16:45:52.5999616Z,,v3,471514,471290,04e3ebd477c540c2a02d7a179dfdaf9e,"Sprockett, Michael",1000119908,Right,BEL_BRU,6d24c626-e567-4d6c-8dd2-9330b42b9025,54.71317,-130.20641,13.7694,5.40597,1.36499,-11.71101,1.7353,0.00587,0.7038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-18,11:46:07.69,1,3,"Harvey, Ridge",838959,Left,BEL_BRU,"Magill, Spike",10250132,Right,EVA_ACE,Undefined,1,Top,0,1,1,Fastball,Cutter,HitByPitch,Undefined,Undefined,Undefined,0,0,,88.64402,0.38615,2.561112,2519.916449,172.105456,11:45,5.53851,-1.46177,5.52603,-28.49281,7.61288,-0.89791,3.52547,0.85929,80.97316,-4.876609,2.401303,0.432473,46.83858,-3.945652,157.02092,4115.366032,,,,20.72883,20.72883,161.702763,0.296288,1.16984,4.08071,1.23962,50,5.55319,-5.71217,-128.58698,-0.15722,1.9575,26.80775,-25.34566,BEL_BRU,EVA_ACE,ESRosePark,D1,MVC,20260418-ESRosePark-1,1941fae0-3b46-11f1-96c9-41d07540bda6,87.15556,3.14256,,7.67087,,,,-1.11896,3.14256,-0.99734,914bed9c-18e3-491d-b9f5-946711fc6056,2026-04-18,16:46:07.69,2026-04-18T11:46:07.6904960-05:00,2026-04-18T16:46:07.6904960Z,GroundBall,v3,471514,471290,04e3ebd477c540c2a02d7a179dfdaf9e,"Sprockett, Michael",1000119908,Right,BEL_BRU,6f4712e2-d735-4354-b496-b66a815b3662,54.97157,-129.61931,13.40388,5.54045,0.81881,-12.67283,1.46103,-5.78755,0.97875,313.891372,-1.11798,-63.13898,1.63473,,,,,,,3.14336,-4.76277,-19.74111,,,,,,,-0.99753,26.76328,-4.83168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2026-04-18,11:46:46.33,2,1,"Harvey, Ridge",838959,Left,BEL_BRU,"McConnell, Drew",1000097791,Left,EVA_ACE,Undefined,1,Top,0,0,0,Fastball,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,88.23996,-1.231865,3.234337,2482.119963,182.153736,12:00,5.36134,-1.83715,5.70786,-22.81812,13.43312,0.46173,2.31011,1.21792,80.68743,-5.488088,3.316702,0.433344,,,,,,,,,,,,0.67374,7.52937,1.5657,50,5.24394,-7.24878,-127.92761,-3.50435,1.11541,26.62928,-19.70867,BEL_BRU,EVA_ACE,ESRosePark,D1,MVC,20260418-ESRosePark-1,30548130-3b46-11f1-96c9-41d07540bda6,86.98044,,,7.55253,,,,,,,914bed9c-18e3-491d-b9f5-946711fc6056,2026-04-18,16:46:46.33,2026-04-18T11:46:46.3304192-05:00,2026-04-18T16:46:46.3304192Z,,v3,471514,471290,04e3ebd477c540c2a02d7a179dfdaf9e,"Sprockett, Michael",1000119908,Right,BEL_BRU,e246e9c9-3123-4e3c-a7d4-3effcaf5e697,54.78975,-128.92078,13.31464,5.36093,-2.76929,-9.85433,1.83683,-7.29038,0.5577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-18,11:47:04.54,2,2,"Harvey, Ridge",838959,Left,BEL_BRU,"McConnell, Drew",1000097791,Left,EVA_ACE,Undefined,1,Top,0,1,0,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,80.31332,0.510247,2.396916,2732.826909,288.560441,3:30,5.177,-1.80966,5.37791,-46.99928,-2.7291,12.20914,1.73916,1.45606,73.8411,-8.027034,4.56557,0.47888,,,,,,,,,,,,-5.46532,-1.11921,1.58605,50,5.18936,-5.36763,-116.53412,-0.60667,-7.49492,22.46055,-33.70888,BEL_BRU,EVA_ACE,ESRosePark,D1,MVC,20260418-ESRosePark-1,3b4170d0-3b46-11f1-96c9-41d07540bda6,78.70953,,,6.47222,,,,,,,914bed9c-18e3-491d-b9f5-946711fc6056,2026-04-18,16:47:04.54,2026-04-18T11:47:04.5415936-05:00,2026-04-18T16:47:04.5415936Z,,v3,471514,471290,04e3ebd477c540c2a02d7a179dfdaf9e,"Sprockett, Michael",1000119908,Right,BEL_BRU,850b52f9-d479-4dd2-9c6e-5bafc3b01e9c,55.12222,-117.51722,11.23028,5.18363,0.86877,-16.85444,1.81381,-5.03958,-3.74746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-18,11:47:23.97,2,3,"Harvey, Ridge",838959,Left,BEL_BRU,"McConnell, Drew",1000097791,Left,EVA_ACE,Undefined,1,Top,0,1,1,Fastball,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,87.44181,-0.03364,1.686456,2575.10605,201.772479,12:45,5.37388,-1.7341,5.66984,-30.26002,6.71784,2.20453,2.82084,0.02243,79.75192,-5.632764,2.080388,0.437666,,,,,,,,,,,,-0.63004,3.78055,1.59029,50,5.35207,-3.83049,-126.90715,-1.13157,-1.02317,26.99422,-26.03459,BEL_BRU,EVA_ACE,ESRosePark,D1,MVC,20260418-ESRosePark-1,46bac1f0-3b46-11f1-96c9-41d07540bda6,86.12157,,,7.68988,,,,,,,914bed9c-18e3-491d-b9f5-946711fc6056,2026-04-18,16:47:23.97,2026-04-18T11:47:23.9766016-05:00,2026-04-18T16:47:23.9766016Z,,v3,471514,471290,04e3ebd477c540c2a02d7a179dfdaf9e,"Sprockett, Michael",1000119908,Right,BEL_BRU,146ed3cd-76ef-4d04-8881-81542b4cf91c,54.82762,-127.9299,13.49711,5.37625,-0.14517,-13.0173,1.73469,-3.79172,-0.51158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-18,11:48:02.53,2,4,"Harvey, Ridge",838959,Left,BEL_BRU,"McConnell, Drew",1000097791,Left,EVA_ACE,Undefined,1,Top,0,1,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,78.65214,0.757366,2.042748,2591.119252,298.173238,4:00,5.16727,-1.88018,5.46631,-54.92704,-8.16737,18.35761,1.29933,1.56224,71.39696,-9.239042,5.312284,0.492161,,,,,,,,,,,,-8.60221,-3.94646,1.68735,50,5.19633,-4.78389,-114.00409,-0.36876,-11.08068,25.10921,-37.25757,BEL_BRU,EVA_ACE,ESRosePark,D1,MVC,20260418-ESRosePark-1,5dbd90d0-3b46-11f1-96c9-41d07540bda6,76.58559,,,7.25518,,,,,,,914bed9c-18e3-491d-b9f5-946711fc6056,2026-04-18,16:48:02.53,2026-04-18T11:48:02.5300480-05:00,2026-04-18T16:48:02.5300480Z,,v3,471514,471290,04e3ebd477c540c2a02d7a179dfdaf9e,"Sprockett, Michael",1000119908,Right,BEL_BRU,c63f4ab4-0869-4c18-95ac-70f8dbcf67e2,55.03397,-115.10747,12.5546,5.17656,1.26846,-18.62878,1.88687,-4.29697,-5.54034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-18,11:48:42.01,3,1,"Harvey, Ridge",838959,Left,BEL_BRU,"Haire, Reid",822668,Left,EVA_ACE,Undefined,1,Top,1,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,78.89242,2.167127,1.866946,2576.910978,306.916499,4:15,5.16737,-1.75822,5.4734,-57.32094,-10.78953,16.59328,2.42063,1.37222,71.30221,-8.286684,4.820315,0.490958,,,,,,,,,,,,-7.69693,-5.65162,1.58261,50,5.3191,-4.39078,-114.28451,2.32997,-9.96093,25.28059,-39.48807,BEL_BRU,EVA_ACE,ESRosePark,D1,MVC,20260418-ESRosePark-1,754d0f50-3b46-11f1-96c9-41d07540bda6,76.77322,,,7.59021,,,,,,,914bed9c-18e3-491d-b9f5-946711fc6056,2026-04-18,16:48:42.01,2026-04-18T11:48:42.0180480-05:00,2026-04-18T16:48:42.0180480Z,,v3,471514,471290,04e3ebd477c540c2a02d7a179dfdaf9e,"Sprockett, Michael",1000119908,Right,BEL_BRU,68d4e86e-3ccf-4086-b9cb-67b2590d8568,55.02635,-115.39101,12.6403,5.1793,4.05833,-19.74404,1.76526,-3.9548,-4.98047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-18,11:49:00.49,3,2,"Harvey, Ridge",838959,Left,BEL_BRU,"Haire, Reid",822668,Left,EVA_ACE,Undefined,1,Top,1,1,0,Fastball,Cutter,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.72749,0.553553,2.45082,2594.587644,169.911865,11:45,5.29412,-1.7014,5.52639,-29.65187,7.07276,-1.06,3.34112,0.50282,80.42505,-4.911705,2.262131,0.436164,87.87466,35.912112,-33.784644,,86.36786,73.46097,-68.12117,307.75235,145.38612,-44.473537,5.182359,1.19744,3.75488,1.48899,50,5.32248,-5.4041,-127.32571,0.17102,1.97171,25.40309,-25.99133,BEL_BRU,EVA_ACE,ESRosePark,D1,MVC,20260418-ESRosePark-1,8049b660-3b46-11f1-96c9-41d07540bda6,86.41799,91.18486,,7.30244,,,,0.30528,3.26494,-0.50445,914bed9c-18e3-491d-b9f5-946711fc6056,2026-04-18,16:49:00.49,2026-04-18T11:49:00.4944384-05:00,2026-04-18T16:49:00.4944384Z,FlyBall,v3,471514,471290,04e3ebd477c540c2a02d7a179dfdaf9e,"Sprockett, Michael",1000119908,Right,BEL_BRU,ca1b8e6f-1ef9-4515-9fb5-780bec43c65b,54.97228,-128.31391,12.70155,5.29616,1.1821,-12.99566,1.70071,-5.4808,0.98585,,0.30829,86.69074,-21.64829,5.03766,-0.66679,-0.01828,0.02281,-0.00315,0.00014,3.26495,75.59023,-17.7637,0.64987,0.07059,-0.07372,0.02585,-0.004,0.00023,-0.50567,-58.02231,6.02818,-0.82147,0.02363,0.02299,-0.00572,0.00055,-2E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
10,2026-04-18,11:49:34.62,3,3,"Harvey, Ridge",838959,Left,BEL_BRU,"Haire, Reid",822668,Left,EVA_ACE,Undefined,1,Top,1,1,1,Fastball,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,87.33268,0.700058,2.264292,2543.724278,176.720808,12:00,5.40106,-1.7274,5.43231,-28.31395,8.74815,-0.43898,3.69771,0.35762,80.2784,-4.515352,2.186286,0.438164,,,,,,,,,,,,0.80559,4.56008,1.52709,50,5.44356,-4.99366,-126.77848,0.5355,1.32022,24.23879,-24.70099,BEL_BRU,EVA_ACE,ESRosePark,D1,MVC,20260418-ESRosePark-1,949c8070-3b46-11f1-96c9-41d07540bda6,86.02364,,,7.05428,,,,,,,914bed9c-18e3-491d-b9f5-946711fc6056,2026-04-18,16:49:34.62,2026-04-18T11:49:34.6249216-05:00,2026-04-18T16:49:34.6249216Z,,v3,471514,471290,04e3ebd477c540c2a02d7a179dfdaf9e,"Sprockett, Michael",1000119908,Right,BEL_BRU,f469c33e-732c-4f7a-97ca-1365b801f3d0,55.06586,-127.74335,12.1194,5.40267,1.51877,-12.35049,1.72692,-5.04622,0.66011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
