PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-18,16:05:43.78,1,1,"Alexander, Luke",10145026,Right,JMU_DUK,"Smith, Steven",10959769,Right,APP_MOU,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.29655,-0.269617,-4.421047,2341.931494,206.009878,12:45,5.50257,2.81012,6.47277,-20.22194,13.57851,6.08276,3.56907,-0.75107,82.09163,-4.121281,-3.322857,0.418439,,,,,,,,,,,,-4.38126,7.49087,-2.50022,50,5.47432,9.85382,-130.80539,-1.18286,-7.56517,28.46373,-19.23951,JMU_DUK,APP_MOU,EagleFieldJMU,D1,SBELT,20260418-EagleFieldJMU-1,fbff11e0-3b61-11f1-8415-c9bfef903ae8,90.07859,,,8.20492,,,,,,,b9ec628d-3b75-4b2e-b629-d7d8d1a1283e,2026-04-18,20:05:43.78,2026-04-18T16:05:43.7892096-04:00,2026-04-18T20:05:43.7892096Z,,v3,471327,471230,02cff58751ae4044b2483f0ac6702a4c,"Cannizzaro, Jack",1000125199,Right,JMU_DUK,d2e349b8-9b66-49fe-8316-7411adbe823f,54.02011,-131.67727,14.23186,5.50153,-0.59353,-9.61975,-2.80561,10.08555,-3.78259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-18,16:06:04.23,1,2,"Alexander, Luke",10145026,Right,JMU_DUK,"Smith, Steven",10959769,Right,APP_MOU,Undefined,1,Top,0,0,1,FourSeamFastBall,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.1967,-2.165944,-5.587796,2319.770263,228.064619,1:30,5.51674,2.69435,6.37094,-20.2567,12.80701,13.13276,1.8253,-1.36902,83.81967,-5.982764,-3.225741,0.413854,,,,,,,,,,,,-8.28544,7.5513,-2.29551,50,5.35,12.38433,-131.98704,-5.61964,-14.71344,26.33197,-18.76432,JMU_DUK,APP_MOU,EagleFieldJMU,D1,SBELT,20260418-EagleFieldJMU-1,08296380-3b62-11f1-8415-c9bfef903ae8,91.07665,,,7.37703,,,,,,,b9ec628d-3b75-4b2e-b629-d7d8d1a1283e,2026-04-18,20:06:04.23,2026-04-18T16:06:04.2326528-04:00,2026-04-18T20:06:04.2326528Z,,v3,471327,471230,02cff58751ae4044b2483f0ac6702a4c,"Cannizzaro, Jack",1000125199,Right,JMU_DUK,554c4fef-1cc0-4077-b68b-2b2503c6b29a,54.12824,-132.80809,13.16598,5.5161,-5.03455,-9.38216,-2.68881,12.8431,-7.35672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-18,16:06:19.52,1,3,"Alexander, Luke",10145026,Right,JMU_DUK,"Smith, Steven",10959769,Right,APP_MOU,Undefined,1,Top,0,1,1,FourSeamFastBall,Sinker,HitByPitch,Undefined,Undefined,Undefined,0,0,,90.26169,0.319223,-2.929373,2367.677709,236.393093,2:00,5.47421,2.98547,6.35651,-22.80938,11.39544,15.29379,3.86762,1.5615,81.21389,-4.023524,-0.164309,0.420935,,,,,,,,,,,,-8.96252,6.18296,-2.78013,50,5.48673,6.08677,-130.93224,0.05044,-15.30293,31.87854,-21.61704,JMU_DUK,APP_MOU,EagleFieldJMU,D1,SBELT,20260418-EagleFieldJMU-1,1140a8c0-3b62-11f1-8415-c9bfef903ae8,89.54453,,,9.04781,,,,,,,b9ec628d-3b75-4b2e-b629-d7d8d1a1283e,2026-04-18,20:06:19.52,2026-04-18T16:06:19.5268096-04:00,2026-04-18T20:06:19.5268096Z,,v3,471327,471230,02cff58751ae4044b2483f0ac6702a4c,"Cannizzaro, Jack",1000125199,Right,JMU_DUK,baabbf53-6a8b-445a-a0d9-e2391bff5b5e,54.14143,-131.93671,15.93927,5.47441,0.73158,-10.80852,-2.97952,6.56895,-7.65146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-18,16:06:54.01,2,1,"Alexander, Luke",10145026,Right,JMU_DUK,"Luft, Riley",1000102710,Right,APP_MOU,Undefined,1,Top,0,0,0,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,81.92522,-0.491172,-3.736153,2481.652942,64.795541,8:15,5.44325,2.81069,6.08037,-42.54585,-0.58461,-4.31469,1.44237,-1.0104,74.57223,-8.340608,-4.51141,0.466225,,,,,,,,,,,,1.04028,0.24701,-2.51939,50,5.38278,7.91375,-118.71515,-2.36754,1.46326,25.77351,-31.82663,JMU_DUK,APP_MOU,EagleFieldJMU,D1,SBELT,20260418-EagleFieldJMU-1,25d4e8a0-3b62-11f1-8415-c9bfef903ae8,80.84602,,,7.35299,,,,,,,b9ec628d-3b75-4b2e-b629-d7d8d1a1283e,2026-04-18,20:06:54.01,2026-04-18T16:06:54.0128768-04:00,2026-04-18T20:06:54.0128768Z,,v3,471327,471230,02cff58751ae4044b2483f0ac6702a4c,"Cannizzaro, Jack",1000125199,Right,JMU_DUK,fa9fdcf1-d0ee-47af-a567-0c8183f50d3b,54.41809,-119.67049,12.88676,5.44867,-1.18783,-15.91331,-2.81172,7.85951,0.73163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-18,16:07:11.67,2,2,"Alexander, Luke",10145026,Right,JMU_DUK,"Luft, Riley",1000102710,Right,APP_MOU,Undefined,1,Top,0,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.45924,-0.470411,-1.07944,2488.694135,71.114404,8:15,5.4851,3.02878,5.84094,-43.40695,0.25614,-3.62508,1.43058,1.72338,73.3207,-8.46223,-1.730652,0.475585,,,,,,,,,,,,1.51429,0.72874,-2.93875,50,5.42151,2.34009,-116.7731,-2.37051,2.06604,24.43226,-31.17981,JMU_DUK,APP_MOU,EagleFieldJMU,D1,SBELT,20260418-EagleFieldJMU-1,3061b6e0-3b62-11f1-8415-c9bfef903ae8,79.25482,,,7.13854,,,,,,,b9ec628d-3b75-4b2e-b629-d7d8d1a1283e,2026-04-18,20:07:11.67,2026-04-18T16:07:11.6782080-04:00,2026-04-18T20:07:11.6782080Z,,v3,471327,471230,02cff58751ae4044b2483f0ac6702a4c,"Cannizzaro, Jack",1000125199,Right,JMU_DUK,49b7f000-0497-4656-b6d2-4d99698f414c,54.65661,-117.74336,12.21613,5.49106,-1.13228,-15.58991,-3.03005,2.25804,1.03302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-18,16:09:00.34,2,3,"Alexander, Luke",10145026,Right,JMU_DUK,"Luft, Riley",1000102710,Right,APP_MOU,Undefined,1,Top,0,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.45882,-2.071234,-4.072869,2476.134136,96.671966,9:15,5.53272,2.98898,6.04417,-40.60857,1.89512,-3.8404,0.2254,-1.10815,74.49583,-9.530294,-4.762479,0.469229,,,,,,,,,,,,0.72012,1.98725,-2.66913,50,5.34894,8.53834,-117.9418,-5.54056,1.00161,25.05229,-29.40994,JMU_DUK,APP_MOU,EagleFieldJMU,D1,SBELT,20260418-EagleFieldJMU-1,711f3360-3b62-11f1-8415-c9bfef903ae8,80.32847,,,6.96299,,,,,,,b9ec628d-3b75-4b2e-b629-d7d8d1a1283e,2026-04-18,20:09:00.34,2026-04-18T16:09:00.3421184-04:00,2026-04-18T20:09:00.3421184Z,,v3,471327,471230,02cff58751ae4044b2483f0ac6702a4c,"Cannizzaro, Jack",1000125199,Right,JMU_DUK,0e3fa887-4d8a-479e-9d4e-87cc35483a2c,54.45511,-118.88435,12.52615,5.53658,-4.43405,-14.70497,-2.98966,8.50066,0.50081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-18,16:09:22.01,2,4,"Alexander, Luke",10145026,Right,JMU_DUK,"Luft, Riley",1000102710,Right,APP_MOU,Undefined,1,Top,0,2,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.0796,0.356452,-3.405806,1743.985293,251.480781,2:30,5.40362,3.21559,6.8485,-31.93301,5.51906,12.78792,3.06812,1.17224,77.44837,-5.680194,-1.072865,0.440463,,,,,,,,,,,,-7.7452,3.22295,-3.00156,50,5.4152,6.89037,-123.54545,-0.11862,-11.89678,26.03622,-27.22351,JMU_DUK,APP_MOU,EagleFieldJMU,D1,SBELT,20260418-EagleFieldJMU-1,7e0c86e0-3b62-11f1-8415-c9bfef903ae8,85.57458,,,7.63123,,,,,,,b9ec628d-3b75-4b2e-b629-d7d8d1a1283e,2026-04-18,20:09:22.01,2026-04-18T16:09:22.0165120-04:00,2026-04-18T20:09:22.0165120Z,,v3,471327,471230,02cff58751ae4044b2483f0ac6702a4c,"Cannizzaro, Jack",1000125199,Right,JMU_DUK,53cc7102-e728-4d3f-b242-601f61c40ec5,53.64903,-124.31207,13.01811,5.4069,0.68297,-13.61176,-3.2096,7.24066,-5.94839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-18,16:09:41.17,2,5,"Alexander, Luke",10145026,Right,JMU_DUK,"Luft, Riley",1000102710,Right,APP_MOU,Undefined,1,Top,0,3,1,FourSeamFastBall,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,,89.42305,-0.608836,-3.457617,2269.669018,234.979451,1:45,5.45531,3.11765,6.32509,-21.22359,13.83418,17.86257,3.12495,1.41816,80.18878,-4.672325,-0.231487,0.426151,,,,,,,,,,,,-10.56816,7.78563,-2.87362,50,5.40081,7.12696,-129.61036,-1.98794,-17.60416,32.32898,-19.20498,JMU_DUK,APP_MOU,EagleFieldJMU,D1,SBELT,20260418-EagleFieldJMU-1,896e0a40-3b62-11f1-8415-c9bfef903ae8,88.44854,,,9.23427,,,,,,,b9ec628d-3b75-4b2e-b629-d7d8d1a1283e,2026-04-18,20:09:41.17,2026-04-18T16:09:41.1716096-04:00,2026-04-18T20:09:41.1716096Z,,v3,471327,471230,02cff58751ae4044b2483f0ac6702a4c,"Cannizzaro, Jack",1000125199,Right,JMU_DUK,9a6fae21-f281-4d61-9fd4-cabe1a28987e,54.17342,-130.6472,16.16449,5.4547,-1.37201,-9.60249,-3.11124,7.69155,-8.80208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-18,16:10:26.27,3,1,"Alexander, Luke",10145026,Right,JMU_DUK,"Puig, Ethan",813911,Right,APP_MOU,Undefined,1,Top,0,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.97447,0.690906,-2.698024,2463.876492,91.511645,9:00,5.44929,3.08823,5.97375,-41.28931,1.4713,-2.80795,2.64976,0.35119,73.9153,-6.940432,-3.202106,0.470645,,,,,,,,,,,,0.63547,0.99697,-2.87312,50,5.48137,5.64399,-117.47907,0.0988,0.88233,23.60094,-30.7898,JMU_DUK,APP_MOU,EagleFieldJMU,D1,SBELT,20260418-EagleFieldJMU-1,a45d2e80-3b62-11f1-8415-c9bfef903ae8,80.0868,,,7.05917,,,,,,,b9ec628d-3b75-4b2e-b629-d7d8d1a1283e,2026-04-18,20:10:26.27,2026-04-18T16:10:26.2712832-04:00,2026-04-18T20:10:26.2712832Z,,v3,471327,471230,02cff58751ae4044b2483f0ac6702a4c,"Cannizzaro, Jack",1000125199,Right,JMU_DUK,50f28acf-1a89-4e8b-9e2b-162a27da5144,54.5237,-118.38437,11.80047,5.45492,1.27986,-15.3949,-3.08897,5.61015,0.44116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-18,16:10:46.20,3,2,"Alexander, Luke",10145026,Right,JMU_DUK,"Puig, Ethan",813911,Right,APP_MOU,Undefined,1,Top,0,0,1,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.23981,-0.449358,-4.054498,2214.988922,214.229513,1:15,5.42343,2.85971,6.70143,-18.52867,14.80682,9.36158,3.46747,-0.07357,82.43528,-4.00063,-2.354984,0.415551,53.29257,52.189218,172.473184,3236.511205,,,,126.73512,43.85239,-179.764646,3.16028,-6.08103,8.26461,-2.59338,50,5.38592,8.93109,-130.97975,-1.51489,-10.56466,27.64683,-17.81582,JMU_DUK,APP_MOU,EagleFieldJMU,D1,SBELT,20260418-EagleFieldJMU-1,b0336cb0-3b62-11f1-8415-c9bfef903ae8,90.70466,46.84783,,7.80452,,,,1.32433,3.56849,0.06357,b9ec628d-3b75-4b2e-b629-d7d8d1a1283e,2026-04-18,20:10:46.20,2026-04-18T16:10:46.2020096-04:00,2026-04-18T20:10:46.2020096Z,Popup,v3,471327,471230,02cff58751ae4044b2483f0ac6702a4c,"Cannizzaro, Jack",1000125199,Right,JMU_DUK,03f7f2ce-d9a5-4aa2-954a-05f59751dc21,53.79734,-131.77884,13.82342,5.42227,-0.99995,-8.90791,-2.85594,9.23644,-5.28233,330.391066,1.32413,-47.50094,0.72934,0.91226,-0.16305,-0.13768,0.11593,-0.03149,0.00294,3.56904,61.7299,-24.9142,2.33563,-0.00871,-0.27291,0.1097,-0.01781,0.00102,0.06394,6.26224,-4.55099,1.22015,0.01778,-0.19988,0.08809,-0.01615,0.00109,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
