PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-18,14:03:12.00,1,1,"Tyndall, Eli",10123166,Right,VIR_KEY,"Lyda, Jackson",1000426737,Left,WCC,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.21876,0.065672,-2.954669,1827.949937,255.719498,2:30,4.71003,2.11853,4.92921,-35.36092,5.37807,15.0565,1.82545,0.57776,76.47073,-6.411127,-0.302286,0.459385,,,,,,,,,,,,-8.36815,3.09496,-1.84375,50,4.68764,5.65921,-123.20299,-1.21054,-12.61226,28.91124,-27.50941,VIR_KEY,WCC,GrayMinorStadium,D1,SOCON,20260418-GrayMinorStadium-1,dd9b7010-3b50-11f1-ad2c-eb64e02ebafd,82.04986,,,8.74803,,,,,,,81bb30f2-07f3-40cb-a50d-8f29330be28a,2026-04-18,18:03:12.00,2026-04-18T14:03:12.0047616-04:00,2026-04-18T18:03:12.0047616Z,,v3,471480,471488,84a6f31582884ebdb5932664f52d3f93,"Raile, Cole",1000433146,Right,VIR_KEY,84e9ba9a-d168-40fc-8707-176ef47943eb,55.566,-124.50228,14.45562,4.71426,0.02575,-13.75471,-2.11081,6.22601,-6.30613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-18,14:03:24.40,1,2,"Tyndall, Eli",10123166,Right,VIR_KEY,"Lyda, Jackson",1000426737,Left,WCC,Undefined,1,Top,0,0,1,Sinker,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.96691,1.959196,-3.473375,1981.98495,284.833898,3:30,3.80183,2.87589,5.11458,-44.63928,-2.35669,14.37139,1.93167,0.79741,75.16929,-6.16425,-0.936353,0.468007,,,,,,,,,,,,-8.16717,-1.31862,-2.56032,50,3.95188,6.65727,-120.05584,2.43313,-11.81858,25.09054,-34.08219,VIR_KEY,WCC,GrayMinorStadium,D1,SOCON,20260418-GrayMinorStadium-1,e4fe0070-3b50-11f1-ad2c-eb64e02ebafd,80.53824,,,7.79762,,,,,,,81bb30f2-07f3-40cb-a50d-8f29330be28a,2026-04-18,18:03:24.40,2026-04-18T14:03:24.4052992-04:00,2026-04-18T18:03:24.4052992Z,,v3,471480,471488,84a6f31582884ebdb5932664f52d3f93,"Raile, Cole",1000433146,Right,VIR_KEY,bbb9d54b-0312-4ef1-89fa-ac7d099c7531,55.38427,-121.17588,12.54527,3.8093,3.95455,-17.0411,-2.86928,7.18485,-5.90929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-18,14:03:37.39,1,3,"Tyndall, Eli",10123166,Right,VIR_KEY,"Lyda, Jackson",1000426737,Left,WCC,Undefined,1,Top,0,0,2,Fastball,Changeup,InPlay,Undefined,GroundBall,Single,0,0,,86.5433,1.120142,-2.542569,2046.568919,233.044893,1:45,5.14936,2.00344,5.11039,-27.06423,12.00658,14.06202,3.95049,0.77829,77.69372,-3.910501,-0.058592,0.449881,66.60417,-61.219936,34.381113,,,,,3.82795,3.82795,6.320894,0.046281,-7.85386,5.99882,-1.77554,50,5.23448,4.92882,-125.24659,1.48419,-12.27177,29.14832,-22.80081,VIR_KEY,WCC,GrayMinorStadium,D1,SOCON,20260418-GrayMinorStadium-1,ecafe950-3b50-11f1-ad2c-eb64e02ebafd,83.78316,3.98835,,8.84959,,,,1.9966,3.98835,-0.81569,81bb30f2-07f3-40cb-a50d-8f29330be28a,2026-04-18,18:03:37.39,2026-04-18T14:03:37.3953024-04:00,2026-04-18T18:03:37.3953024Z,GroundBall,v3,471480,471488,84a6f31582884ebdb5932664f52d3f93,"Raile, Cole",1000433146,Right,VIR_KEY,a1564fda-7aee-4dd5-80f0-aaa87a7b5200,55.38685,-126.49405,14.57416,5.15008,2.45999,-11.4004,-1.99772,5.45401,-6.13589,180,1.99472,39.06727,,,,,,,,3.9925,-86.17682,,,,,,,,-0.81698,26.731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2026-04-18,14:04:16.86,2,1,"Tyndall, Eli",10123166,Right,VIR_KEY,"Turner, Trent",1000363705,Right,WCC,Undefined,1,Top,0,0,0,Sinker,Changeup,InPlay,Undefined,LineDrive,Out,1,0,,82.31034,2.919286,-4.778331,1939.819291,276.312048,3:15,3.62908,2.68887,5.17502,-43.72227,-0.34189,17.61686,2.74456,-0.34989,73.75604,-5.074189,-1.675388,0.474043,99.33415,16.728501,15.667353,3473.18799,103.90913,27.92543,36.09553,299.3096,288.93402,25.589796,3.058165,-10.28938,-0.65043,-2.2573,50,3.86874,9.15952,-118.73533,4.47418,-14.45164,26.15966,-33.08758,VIR_KEY,WCC,GrayMinorStadium,D1,SOCON,20260418-GrayMinorStadium-1,044d2370-3b51-11f1-ad2c-eb64e02ebafd,79.51265,32.01436,,8.5543,,,,0.44674,2.70988,0.37776,81bb30f2-07f3-40cb-a50d-8f29330be28a,2026-04-18,18:04:16.86,2026-04-18T14:04:16.8671232-04:00,2026-04-18T18:04:16.8671232Z,LineDrive,v3,471480,471488,84a6f31582884ebdb5932664f52d3f93,"Raile, Cole",1000433146,Right,VIR_KEY,097af475-7d6d-463f-9243-17126ad74c8b,55.32282,-119.90231,13.07983,3.63623,5.95022,-16.54379,-2.68029,9.80421,-7.22582,233.175988,0.44678,134.33837,-25.22734,5.57453,-1.21749,0.24285,-0.04004,0.00455,-0.00025,2.70978,41.93831,-16.22312,1.07378,-0.21471,0.0618,-0.01474,0.00204,-0.0001,0.37767,37.682,3.24174,-1.12508,0.29048,-0.04939,0.00497,-0.00045,5E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2026-04-18,14:04:49.64,3,1,"Tyndall, Eli",10123166,Right,VIR_KEY,"Fox, Walker",1000466402,Left,WCC,Undefined,1,Top,1,0,0,Sinker,Changeup,InPlay,Undefined,FlyBall,Single,0,0,,82.9225,2.341075,-4.452353,2030.617798,279.426577,3:15,3.91851,2.8587,5.01796,-43.74089,-1.09591,15.56162,2.49071,-0.05482,74.90104,-5.612112,-1.716596,0.470008,72.26809,29.718695,3.132619,2382.410047,109.98006,43.08712,2.08047,244.65406,244.65406,-0.862376,3.459282,-9.10709,-0.87858,-2.44477,50,4.10812,8.6518,-119.79924,3.26856,-13.105,25.26768,-33.43833,VIR_KEY,WCC,GrayMinorStadium,D1,SOCON,20260418-GrayMinorStadium-1,17d5bfb0-3b51-11f1-ad2c-eb64e02ebafd,80.19528,44.3536,,8.02145,,,,1.62695,2.58006,0.04621,81bb30f2-07f3-40cb-a50d-8f29330be28a,2026-04-18,18:04:49.64,2026-04-18T14:04:49.6476160-04:00,2026-04-18T18:04:49.6476160Z,FlyBall,v3,471480,471488,84a6f31582884ebdb5932664f52d3f93,"Raile, Cole",1000433146,Right,VIR_KEY,adfaaf39-fff3-477d-ba0b-6ea8622a4638,55.48174,-120.9499,12.63384,3.9246,4.7913,-16.71917,-2.85236,9.24859,-6.5525,148.028146,1.62666,91.92426,-11.67427,2.79343,-0.71704,0.23539,-0.07043,0.01262,-0.00093,2.58048,52.5316,-17.87292,0.91416,0.06021,-0.12254,0.04638,-0.00758,0.00045,0.04615,5.03247,-3.6231,1.00799,-0.25578,0.06468,-0.01481,0.00232,-0.00016,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2026-04-18,14:05:26.03,4,1,"Tyndall, Eli",10123166,Right,VIR_KEY,"Quarless, Noah",1000438943,Right,WCC,Undefined,1,Top,1,0,0,Sinker,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.2229,3.160989,-3.293686,2004.664866,259.274723,2:45,3.91042,2.67833,5.01676,-37.9027,4.47799,15.75434,3.74304,0.87933,74.85334,-3.780258,-0.520457,0.468549,,,,,,,,,,,,-8.75252,1.69291,-2.37563,50,4.18397,6.20966,-120.23255,5.24271,-12.67085,25.70906,-29.72325,VIR_KEY,WCC,GrayMinorStadium,D1,SOCON,20260418-GrayMinorStadium-1,2d7fdc60-3b51-11f1-ad2c-eb64e02ebafd,80.44496,,,8.36956,,,,,,,81bb30f2-07f3-40cb-a50d-8f29330be28a,2026-04-18,18:05:26.03,2026-04-18T14:05:26.0339712-04:00,2026-04-18T18:05:26.0339712Z,,v3,471480,471488,84a6f31582884ebdb5932664f52d3f93,"Raile, Cole",1000433146,Right,VIR_KEY,2e27c858-25ef-46ef-bfc0-9388aeff705c,55.47972,-121.39862,12.85453,3.91561,6.59084,-14.86163,-2.67031,6.78436,-6.33543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-18,14:05:44.98,4,2,"Tyndall, Eli",10123166,Right,VIR_KEY,"Quarless, Noah",1000438943,Right,WCC,Undefined,1,Top,1,1,0,Sinker,Sinker,InPlay,Undefined,LineDrive,Single,1,0,,86.83829,0.425923,-3.044428,2120.329217,244.634219,2:15,5.22946,2.02779,5.41132,-29.68293,8.62233,15.27367,3.15548,0.44568,78.22722,-5.081536,-0.331416,0.445452,62.34631,14.507693,13.49489,2599.23819,,,,130.69519,129.39672,17.84262,1.69529,-8.6428,4.59142,-1.76788,50,5.247,6.01236,-125.73358,-0.1157,-13.63878,28.88044,-24.92857,VIR_KEY,WCC,GrayMinorStadium,D1,SOCON,20260418-GrayMinorStadium-1,38cc9f40-3b51-11f1-ad2c-eb64e02ebafd,84.61623,11.70344,,8.61107,,,,0.50343,3.10952,-0.44609,81bb30f2-07f3-40cb-a50d-8f29330be28a,2026-04-18,18:05:44.98,2026-04-18T14:05:44.9823744-04:00,2026-04-18T18:05:44.9823744Z,LineDrive,v3,471480,471488,84a6f31582884ebdb5932664f52d3f93,"Raile, Cole",1000433146,Right,VIR_KEY,a22412fd-74d4-4245-baf2-55453a85ff5f,55.08578,-126.89638,14.44022,5.23145,0.888,-12.46429,-2.021,6.5615,-6.81939,241.58992,0.50343,86.08104,-9.39851,1.38801,-0.19872,-0.09988,0.11564,-0.05359,0.00988,3.10952,22.90716,-15.8511,0.8412,-0.14362,0.12259,-0.08895,0.03928,-0.00713,-0.44609,20.65822,2.81789,-0.86337,0.2423,-0.02373,-0.01463,0.00962,-0.00193,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2026-04-18,14:06:28.53,5,1,"Tyndall, Eli",10123166,Right,VIR_KEY,"Jones, Jaylen",10113123,Right,WCC,Undefined,1,Top,2,0,0,Sinker,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,82.69645,2.695249,-3.047706,2032.993605,286.027426,3:30,3.55016,2.57514,5.09991,-46.58526,-3.49969,17.86245,2.21327,1.1891,73.9939,-5.808764,0.105991,0.47243,,,,,,,,,,,,-9.86284,-2.16512,-2.30198,50,3.7687,5.57401,-119.50259,3.87884,-13.96783,27.46566,-35.24029,VIR_KEY,WCC,GrayMinorStadium,D1,SOCON,20260418-GrayMinorStadium-1,52c1ac10-3b51-11f1-ad2c-eb64e02ebafd,79.7842,,,8.70255,,,,,,,81bb30f2-07f3-40cb-a50d-8f29330be28a,2026-04-18,18:06:28.53,2026-04-18T14:06:28.5307392-04:00,2026-04-18T18:06:28.5307392Z,,v3,471480,471488,84a6f31582884ebdb5932664f52d3f93,"Raile, Cole",1000433146,Right,VIR_KEY,3d4deb15-88a6-430e-9e6b-a74add809111,55.3979,-120.73683,13.73283,3.55881,5.46245,-17.62014,-2.56657,6.20169,-6.98392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-18,14:06:57.00,5,2,"Tyndall, Eli",10123166,Right,VIR_KEY,"Jones, Jaylen",10113123,Right,WCC,Undefined,1,Top,2,0,1,Sinker,Changeup,InPlay,Undefined,GroundBall,Single,0,1,,82.0214,1.715818,-3.665033,1927.712119,277.935413,3:15,3.43301,2.73126,4.88792,-45.3051,-0.77803,18.5743,1.28457,0.80725,72.87947,-6.55312,-0.399608,0.480268,73.50095,-11.139685,28.454699,,,,,5.22231,4.83149,19.742197,0.051037,-10.43402,-0.47913,-2.38797,50,3.56389,6.7446,-118.34959,1.83418,-14.37154,28.66023,-32.83399,VIR_KEY,WCC,GrayMinorStadium,D1,SOCON,20260418-GrayMinorStadium-1,63b4f770-3b51-11f1-ad2c-eb64e02ebafd,78.48214,1.06433,,9.14193,,,,0.16321,1.06433,-0.81131,81bb30f2-07f3-40cb-a50d-8f29330be28a,2026-04-18,18:06:57.00,2026-04-18T14:06:57.0003968-04:00,2026-04-18T18:06:57.0003968Z,GroundBall,v3,471480,471488,84a6f31582884ebdb5932664f52d3f93,"Raile, Cole",1000433146,Right,VIR_KEY,d1c627df-31a8-444f-a330-d807b33dbdda,55.60788,-119.69992,14.33011,3.44103,3.38116,-16.417,-2.7217,7.42172,-7.18577,180,0.16222,93.11221,,,,,,,,1.06455,-20.85418,,,,,,,,-0.81184,50.46053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2026-04-18,14:07:44.61,6,1,"Tyndall, Eli",10123166,Right,VIR_KEY,"Holton, Mason",10144870,Right,WCC,Undefined,1,Top,2,0,0,Sinker,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,83.28493,2.25201,-4.13498,2024.499063,292.184317,3:45,3.77295,2.55644,5.06116,-47.89581,-5.19721,16.79985,1.91188,0.05044,74.41046,-6.469176,-1.175164,0.470304,,,,,,,,,,,,-9.78918,-2.93854,-2.17705,50,3.94944,7.954,-120.23238,2.91897,-13.99734,28.34731,-36.37578,VIR_KEY,WCC,GrayMinorStadium,D1,SOCON,20260418-GrayMinorStadium-1,80149ba0-3b51-11f1-ad2c-eb64e02ebafd,80.14492,,,8.87447,,,,,,,81bb30f2-07f3-40cb-a50d-8f29330be28a,2026-04-18,18:07:44.61,2026-04-18T14:07:44.6185472-04:00,2026-04-18T18:07:44.6185472Z,,v3,471480,471488,84a6f31582884ebdb5932664f52d3f93,"Raile, Cole",1000433146,Right,VIR_KEY,0f78d6b2-1cd4-4d54-b09c-381eadb49fec,55.43756,-121.50763,14.17366,3.78131,4.5554,-18.18789,-2.54904,8.58369,-6.99867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
