PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-18,11:35:13.40,1,1,"Lopez, David",10968596,Right,HBU_HUS,"Biddick, Dylan",1000180319,Left,NEW_PRI,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.84062,-2.0661,0.438106,2327.889787,211.209206,1:00,6.59351,1.02893,5.58444,-14.36843,20.93332,11.94772,3.46591,2.43368,81.51043,-4.822771,2.569723,0.427631,,,,,,,,,,,,-5.86658,11.53812,-1.07428,50,6.40687,-1.53768,-130.26057,-5.09688,-10.00055,29.37015,-12.50543,HBU_HUS,NEW_PRI,HuskyField,D1,SLAND,20260418-HuskyField-3,9336c0d0-3b44-11f1-9cb2-bd7104703c74,88.14235,,,8.33019,,,,,,,189d35c7-9461-4ce5-b3d1-b7bb00ad60eb,2026-04-18,16:35:13.40,2026-04-18T11:35:13.4000000-05:00,2026-04-18T16:35:13.4000000Z,,v3,471314,471381,,"Castilleja, Levi",1000221253,Right,HBU_HUS,fe9f590f-2d5b-4eb9-8f48-9ab069650e3d,54.90893,-131.36273,14.68508,6.58934,-4.62759,-6.25272,-1.02362,-1.16239,-5.00028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-18,11:35:30.53,1,2,"Lopez, David",10968596,Right,HBU_HUS,"Biddick, Dylan",1000180319,Left,NEW_PRI,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.88533,-1.17771,-0.946425,2202.625312,222.12171,1:30,6.54912,0.99286,5.65301,-19.75844,15.40709,12.84064,3.80394,1.18019,81.49636,-4.904957,1.348558,0.426805,,,,,,,,,,,,-6.74807,8.51406,-0.92077,50,6.43705,1.57528,-130.38081,-3.31464,-11.51795,29.56665,-17.64177,HBU_HUS,NEW_PRI,HuskyField,D1,SLAND,20260418-HuskyField-3,9d6e6a30-3b44-11f1-9cb2-bd7104703c74,88.31292,,,8.38896,,,,,,,189d35c7-9461-4ce5-b3d1-b7bb00ad60eb,2026-04-18,16:35:30.53,2026-04-18T11:35:30.5300000-05:00,2026-04-18T16:35:30.5300000Z,,v3,471314,471381,,"Castilleja, Levi",1000221253,Right,HBU_HUS,090f267f-20cb-4f31-8c0c-4615585c1fae,54.84047,-131.47391,14.78332,6.54754,-2.66241,-8.82089,-0.98688,2.00111,-5.75898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-18,11:35:53.74,1,3,"Lopez, David",10968596,Right,HBU_HUS,"Biddick, Dylan",1000180319,Left,NEW_PRI,Undefined,1,Top,0,2,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.83823,-0.494905,-1.763231,2125.182666,232.20927,1:45,6.51165,0.9449,5.7986,-22.90769,12.57745,14.78245,4.14215,0.53633,81.23461,-4.782314,0.88515,0.428741,,,,,,,,,,,,-7.99953,6.89126,-0.8088,50,6.45735,3.33601,-129.01692,-1.86608,-13.49195,26.68105,-20.55128,HBU_HUS,NEW_PRI,HuskyField,D1,SLAND,20260418-HuskyField-3,ab4a8a80-3b44-11f1-9cb2-bd7104703c74,87.91434,,,7.60362,,,,,,,189d35c7-9461-4ce5-b3d1-b7bb00ad60eb,2026-04-18,16:35:53.74,2026-04-18T11:35:53.7410000-05:00,2026-04-18T16:35:53.7410000Z,,v3,471314,471381,,"Castilleja, Levi",1000221253,Right,HBU_HUS,bae54c7c-d5b0-4a32-93c7-5f788a1e7838,54.69722,-129.98469,13.34053,6.51151,-1.12065,-10.27564,-0.93868,3.82539,-6.74597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-18,11:36:13.38,1,4,"Lopez, David",10968596,Right,HBU_HUS,"Biddick, Dylan",1000180319,Left,NEW_PRI,Undefined,1,Top,0,3,0,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,90.56413,-1.088452,0.319902,2264.10581,210.778512,1:00,6.57253,0.81435,5.75215,-14.0141,20.63072,11.55705,4.39133,2.07522,81.72363,-3.80377,2.388283,0.423634,,,,,,,,,,,,-5.72516,11.15973,-0.84771,50,6.47379,-1.25595,-131.33828,-2.86227,-9.87295,31.12123,-12.92929,HBU_HUS,NEW_PRI,HuskyField,D1,SLAND,20260418-HuskyField-3,b6fdd760-3b44-11f1-9cb2-bd7104703c74,88.97411,,,8.8405,,,,,,,189d35c7-9461-4ce5-b3d1-b7bb00ad60eb,2026-04-18,16:36:13.38,2026-04-18T11:36:13.3870000-05:00,2026-04-18T16:36:13.3870000Z,,v3,471314,471381,,"Castilleja, Levi",1000221253,Right,HBU_HUS,cfd83375-82e3-43c8-8815-d2f612ce863c,54.74028,-132.45675,15.56062,6.56831,-2.39761,-6.46465,-0.80895,-0.90112,-4.93648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-18,11:36:47.41,2,1,"Lopez, David",10968596,Right,HBU_HUS,"Rogers, Evan",10309710,Right,NEW_PRI,Undefined,1,Top,0,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,79.82511,-0.159721,-1.037674,2215.501177,140.971505,10:45,6.18276,0.91142,5.27997,-33.33073,11.49363,-8.17993,3.25518,-0.74484,73.21451,-6.286347,-2.489225,0.481868,,,,,,,,,,,,3.79559,6.23107,-0.81065,50,6.14407,2.43336,-115.84596,-1.4328,5.16266,21.45778,-23.69875,HBU_HUS,NEW_PRI,HuskyField,D1,SLAND,20260418-HuskyField-3,cb45a4f0-3b44-11f1-9cb2-bd7104703c74,78.22145,,,6.6106,,,,,,,189d35c7-9461-4ce5-b3d1-b7bb00ad60eb,2026-04-18,16:36:47.41,2026-04-18T11:36:47.4120000-05:00,2026-04-18T16:36:47.4120000Z,,v3,471314,471381,,"Castilleja, Levi",1000221253,Right,HBU_HUS,fa0e1066-0e10-428b-9377-d75fd576f66a,55.21464,-116.80785,10.72889,6.18448,-0.37044,-11.84938,-0.91454,2.20193,2.58133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-18,11:37:08.54,2,2,"Lopez, David",10968596,Right,HBU_HUS,"Rogers, Evan",10309710,Right,NEW_PRI,Undefined,1,Top,0,0,1,Splitter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.81074,-3.304188,-2.768301,2227.00685,146.633694,11:00,6.16807,0.8512,5.58604,-32.84199,10.85158,-6.18847,0.33884,-2.25149,74.17998,-9.31571,-3.872096,0.475752,,,,,,,,,,,,2.36508,6.88414,-0.60909,50,5.86243,5.89238,-117.00325,-7.81059,3.25706,23.42572,-22.69355,HBU_HUS,NEW_PRI,HuskyField,D1,SLAND,20260418-HuskyField-3,d7debdf0-3b44-11f1-9cb2-bd7104703c74,79.22715,,,6.63076,,,,,,,189d35c7-9461-4ce5-b3d1-b7bb00ad60eb,2026-04-18,16:37:08.54,2026-04-18T11:37:08.5460000-05:00,2026-04-18T16:37:08.5460000Z,,v3,471314,471381,,"Castilleja, Levi",1000221253,Right,HBU_HUS,1a39d022-e833-4c91-b918-c57415079644,54.9114,-117.98248,11.71286,6.1691,-6.86196,-11.34678,-0.85255,5.75622,1.62853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-18,11:37:35.60,2,3,"Lopez, David",10968596,Right,HBU_HUS,"Rogers, Evan",10309710,Right,NEW_PRI,Undefined,1,Top,0,1,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.11162,-3.580797,-1.583501,2229.041402,199.958878,12:45,6.49188,0.36495,5.88627,-12.78599,22.1734,7.5876,2.09587,-0.47346,81.37639,-6.072935,-0.222309,0.425553,73.98422,45.431222,131.230186,4946.62673,,,,,34.8487,,,-4.37862,12.84544,-0.24166,50,6.19559,3.27834,-130.454,-8.47615,-7.445,30.85625,-10.33281,HBU_HUS,NEW_PRI,HuskyField,D1,SLAND,20260418-HuskyField-3,e8078d60-3b44-11f1-9cb2-bd7104703c74,88.57291,31.59281,,8.73524,,,,1.00677,2.03827,0.5834,189d35c7-9461-4ce5-b3d1-b7bb00ad60eb,2026-04-18,16:37:35.60,2026-04-18T11:37:35.6040000-05:00,2026-04-18T16:37:35.6040000Z,,v3,471314,471381,,"Castilleja, Levi",1000221253,Right,HBU_HUS,32c42723-9095-4055-8a36-cfc579e43003,54.60764,-131.53933,15.42813,6.48734,-8.1127,-5.1664,-0.36158,3.54021,-3.7225,,1.01698,-50.4825,-0.36679,,,,,,,2.06502,76.54507,-30.61863,,,,,,,0.58941,57.10074,-7.41622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
8,2026-04-18,11:38:01.94,2,4,"Lopez, David",10968596,Right,HBU_HUS,"Rogers, Evan",10309710,Right,NEW_PRI,Undefined,1,Top,0,1,2,Curveball,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,78.45429,-1.179469,-0.572597,2214.819533,31.049604,7:00,6.47476,0.3248,5.55691,-51.56629,-5.35685,-4.12996,1.0754,-0.55435,72.18491,-10.541602,-1.31224,0.489257,,,,,,,,,,,,1.93303,-1.97319,-0.27253,50,6.33864,1.295,-113.90497,-4.06826,2.51996,22.43081,-34.74638,HBU_HUS,NEW_PRI,HuskyField,D1,SLAND,20260418-HuskyField-3,f7ba1b60-3b44-11f1-9cb2-bd7104703c74,77.04019,,,6.26938,,,,,,,189d35c7-9461-4ce5-b3d1-b7bb00ad60eb,2026-04-18,16:38:01.94,2026-04-18T11:38:01.9450000-05:00,2026-04-18T16:38:01.9450000Z,,v3,471314,471381,,"Castilleja, Levi",1000221253,Right,HBU_HUS,95bd9161-9456-4bcc-9ff3-7722efabae83,54.94139,-114.87393,11.2154,6.48196,-2.56729,-17.37319,-0.32612,1.18614,1.25998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-18,11:38:37.94,3,1,"Lopez, David",10968596,Right,HBU_HUS,"Curley, Miles",702677,Right,NEW_PRI,Undefined,1,Top,1,0,0,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,79.93578,-1.742039,-0.859663,2208.723785,86.942403,9:00,6.06358,0.89006,5.47531,-44.52924,1.23839,-11.25142,0.72208,-0.85202,71.75324,-9.901144,-2.869122,0.486912,,,,,,,,,,,,5.36969,1.77158,-0.80665,50,5.88073,2.18728,-115.66525,-5.01809,7.04192,27.99193,-29.85074,HBU_HUS,NEW_PRI,HuskyField,D1,SLAND,20260418-HuskyField-3,0d3056d0-3b45-11f1-9cb2-bd7104703c74,77.41117,,,8.18254,,,,,,,189d35c7-9461-4ce5-b3d1-b7bb00ad60eb,2026-04-18,16:38:37.94,2026-04-18T11:38:37.9460000-05:00,2026-04-18T16:38:37.9460000Z,,v3,471314,471381,,"Castilleja, Levi",1000221253,Right,HBU_HUS,b839f105-6071-4c9e-a928-8484a0a74c8a,55.01821,-116.87339,13.99597,6.0695,-3.72972,-14.92537,-0.8945,1.88334,3.52096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-18,11:38:58.27,3,2,"Lopez, David",10968596,Right,HBU_HUS,"Curley, Miles",702677,Right,NEW_PRI,Undefined,1,Top,1,0,1,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,79.07793,-0.774483,-0.894916,2291.937678,93.602844,9:00,6.08683,1.15724,5.58011,-43.22313,1.91118,-8.30713,1.7615,-0.37083,72.93145,-8.664935,-2.379989,0.483532,,,,,,,,,,,,3.96658,1.60252,-1.07477,50,5.99199,2.11426,-114.86181,-2.98178,5.30059,21.22154,-30.03258,HBU_HUS,NEW_PRI,HuskyField,D1,SLAND,20260418-HuskyField-3,194e4c60-3b45-11f1-9cb2-bd7104703c74,77.95239,,,6.14648,,,,,,,189d35c7-9461-4ce5-b3d1-b7bb00ad60eb,2026-04-18,16:38:58.27,2026-04-18T11:38:58.2770000-05:00,2026-04-18T16:38:58.2770000Z,,v3,471314,471381,,"Castilleja, Levi",1000221253,Right,HBU_HUS,da0630f6-0073-4144-8647-dd61c37038e9,54.91698,-115.7667,10.61077,6.09184,-1.70119,-15.01629,-1.16011,1.88825,2.6503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
