PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-18,15:06:33.74,1,1,"Bryans, Beau",827515,Left,JAC_GAM,"Rasmussen, Cooper",10285998,Left,FLO_PAN,Undefined,1,Top,0,0,0,Undefined,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,97.6947,-0.105416,5.830884,2120.344523,110.274804,9:45,4.79736,-4.56661,5.90617,-22.07993,7.71611,-18.02135,2.85901,-0.6371,88.04644,-4.239619,2.619408,0.392872,,,,,,,,,,,,10.92245,4.29662,4.1066,50,4.77639,-13.54615,-141.10217,-1.0672,21.79966,35.112,-23.59862,JAC_GAM,FLO_PAN,RudyAbbottField,D1,CUSA,20260418-RudyAbbottField-1,b7948c90-3b59-11f1-a4d4-7d0fe41a201e,95.94087,,,9.64825,,,,,,,51ce42f6-999e-4bb9-8674-00df5cccee86,2026-04-18,19:06:33.74,2026-04-18T15:06:33.7480000-04:00,2026-04-18T19:06:33.7480000Z,,v3,471325,4468,8441,"Ashe, Grayson",10062829,Right,JAC_GAM,13666355-6e34-4322-b1c1-7f3337af3120,54.59201,-142.24026,17.556,4.79859,-0.3023,-11.79931,4.55713,-14.25274,10.89983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-18,15:05:35.89,1,2,"Bryans, Beau",827515,Left,JAC_GAM,"Rasmussen, Cooper",10285998,Left,FLO_PAN,Undefined,1,Top,0,0,1,FourSeamFastBall,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,95.96785,1.457914,5.126832,2069.007313,104.529357,9:30,4.63831,-4.49664,5.98075,-26.00013,4.52803,-13.61205,3.82876,-0.86594,87.08072,-3.376818,2.695152,0.397669,,,,,,,,,,,,8.38288,2.23043,4.09761,50,4.73978,-11.82418,-138.83249,2.58722,16.31624,31.87942,-27.83278,JAC_GAM,FLO_PAN,RudyAbbottField,D1,CUSA,20260418-RudyAbbottField-1,9517d050-3b59-11f1-9d77-05464096cc1f,94.7834,,,8.88713,,,,,,,51ce42f6-999e-4bb9-8674-00df5cccee86,2026-04-18,19:05:35.89,2026-04-18T15:05:35.8920000-04:00,2026-04-18T19:05:35.8920000Z,,v3,471325,4468,8441,"Ashe, Grayson",10062829,Right,JAC_GAM,a0119ac8-2158-4c5a-8f81-3827d92626d6,54.51798,-139.86608,15.93971,4.64127,3.48962,-13.91639,4.48955,-12.35318,8.15812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-18,15:05:48.63,1,3,"Bryans, Beau",827515,Left,JAC_GAM,"Rasmussen, Cooper",10285998,Left,FLO_PAN,Undefined,1,Top,0,1,1,FourSeamFastBall,Sinker,HitByPitch,Undefined,Undefined,Undefined,0,0,,95.97819,0.813379,4.698635,2200.577226,120.623598,10:00,4.46826,-4.42387,6.35923,-20.03115,10.20457,-15.45725,3.55016,-1.37789,86.52583,-2.993085,1.913673,0.39576,,,,,,,,,,,,9.55024,5.3637,4.08999,50,4.51798,-10.76646,-138.99367,1.3458,18.47004,34.4666,-21.80072,JAC_GAM,FLO_PAN,RudyAbbottField,D1,CUSA,20260418-RudyAbbottField-1,9ca73d10-3b59-11f1-9d77-05464096cc1f,95.24072,,,9.45235,,,,,,,51ce42f6-999e-4bb9-8674-00df5cccee86,2026-04-18,19:05:48.63,2026-04-18T15:05:48.6310000-04:00,2026-04-18T19:05:48.6310000Z,,v3,471325,4468,8441,"Ashe, Grayson",10062829,Right,JAC_GAM,c659a1ba-88b9-4c75-9fae-3878caf84db1,54.14088,-140.01673,17.2333,4.46843,1.9929,-10.90036,4.4177,-11.3147,9.23502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-18,15:06:18.08,2,1,"Bryans, Beau",827515,Left,JAC_GAM,"Ildefonso, Andrew",10074340,Right,FLO_PAN,Undefined,1,Top,0,0,0,FourSeamFastBall,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,97.09586,0.052429,6.784041,2149.867042,98.473976,9:15,4.59447,-4.59466,6.07316,-26.22683,3.69051,-17.94883,2.45776,0.21663,87.97022,-4.821929,3.585088,0.393671,,,,,,,,,,,,11.13721,2.21358,4.0761,50,4.58483,-15.836,-140.11131,-0.84147,22.03638,33.03037,-27.79422,JAC_GAM,FLO_PAN,RudyAbbottField,D1,CUSA,20260418-RudyAbbottField-1,ae3b0e30-3b59-11f1-9d77-05464096cc1f,95.74612,,,9.12564,,,,,,,51ce42f6-999e-4bb9-8674-00df5cccee86,2026-04-18,19:06:18.08,2026-04-18T15:06:18.0850000-04:00,2026-04-18T19:06:18.0850000Z,,v3,471325,4468,8441,"Ashe, Grayson",10062829,Right,JAC_GAM,15b24dd0-a1c7-4555-91a9-2aeeff9cd2ec,54.42636,-141.15094,16.51518,4.59754,0.03335,-13.89711,4.58545,-16.52959,11.01819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-18,15:06:33.74,2,2,"Bryans, Beau",827515,Left,JAC_GAM,"Ildefonso, Andrew",10074340,Right,FLO_PAN,Undefined,1,Top,0,0,1,FourSeamFastBall,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,97.6947,-0.105416,5.830884,2120.344523,110.274804,9:45,4.79736,-4.56661,5.90617,-22.07993,7.71611,-18.02135,2.85901,-0.6371,88.04644,-4.239619,2.619408,0.392872,,,,,,,,,,,,10.92245,4.29662,4.1066,50,4.77639,-13.54615,-141.10217,-1.0672,21.79966,35.112,-23.59862,JAC_GAM,FLO_PAN,RudyAbbottField,D1,CUSA,20260418-RudyAbbottField-1,b7980f00-3b59-11f1-9d77-05464096cc1f,95.94087,,,9.64825,,,,,,,51ce42f6-999e-4bb9-8674-00df5cccee86,2026-04-18,19:06:33.74,2026-04-18T15:06:33.7480000-04:00,2026-04-18T19:06:33.7480000Z,,v3,471325,4468,8441,"Ashe, Grayson",10062829,Right,JAC_GAM,13666355-6e34-4322-b1c1-7f3337af3120,54.59201,-142.24026,17.556,4.79859,-0.3023,-11.79931,4.55713,-14.25274,10.89983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-18,15:06:33.74,2,3,"Bryans, Beau",827515,Left,JAC_GAM,"Ildefonso, Andrew",10074340,Right,FLO_PAN,Undefined,1,Top,0,0,2,Undefined,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,97.6947,-0.105416,5.830884,2120.344523,110.274804,9:45,4.79736,-4.56661,5.90617,-22.07993,7.71611,-18.02135,2.85901,-0.6371,88.04644,-4.239619,2.619408,0.392872,,,,,,,,,,,,10.92245,4.29662,4.1066,50,4.77639,-13.54615,-141.10217,-1.0672,21.79966,35.112,-23.59862,JAC_GAM,FLO_PAN,RudyAbbottField,D1,CUSA,20260418-RudyAbbottField-1,b7b29be0-3b59-11f1-a4d4-7d0fe41a201e,95.94087,,,9.64825,,,,,,,51ce42f6-999e-4bb9-8674-00df5cccee86,2026-04-18,19:06:33.74,2026-04-18T15:06:33.7480000-04:00,2026-04-18T19:06:33.7480000Z,,v3,471325,4468,8441,"Ashe, Grayson",10062829,Right,JAC_GAM,13666355-6e34-4322-b1c1-7f3337af3120,54.59201,-142.24026,17.556,4.79859,-0.3023,-11.79931,4.55713,-14.25274,10.89983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-18,15:06:52.49,2,4,"Bryans, Beau",827515,Left,JAC_GAM,"Ildefonso, Andrew",10074340,Right,FLO_PAN,Undefined,1,Top,0,0,2,FourSeamFastBall,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,97.1838,1.018218,5.772521,2139.990922,94.032246,9:15,4.90468,-4.60266,5.94077,-27.72624,2.1389,-16.32454,3.54362,-0.58998,88.17917,-4.114933,2.862078,0.393327,,,,,,,,,,,,10.05339,1.0813,4.15033,50,4.97059,-13.45893,-140.50452,1.45714,20.02452,32.90747,-30.0203,JAC_GAM,FLO_PAN,RudyAbbottField,D1,CUSA,20260418-RudyAbbottField-1,c2bcfe90-3b59-11f1-9d77-05464096cc1f,95.82978,,,9.00463,,,,,,,51ce42f6-999e-4bb9-8674-00df5cccee86,2026-04-18,19:06:52.49,2026-04-18T15:06:52.4990000-04:00,2026-04-18T19:06:52.4990000Z,,v3,471325,4468,8441,"Ashe, Grayson",10062829,Right,JAC_GAM,f759aeda-0694-449e-9dbe-9578df480444,54.56039,-141.56858,16.45374,4.90778,2.42784,-15.01015,4.59599,-14.10642,10.01226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-18,15:06:52.49,2,5,"Bryans, Beau",827515,Left,JAC_GAM,"Ildefonso, Andrew",10074340,Right,FLO_PAN,Undefined,1,Top,0,0,2,Undefined,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,97.1838,1.018218,5.772521,2139.990922,94.032246,9:15,4.90468,-4.60266,5.94077,-27.72624,2.1389,-16.32454,3.54362,-0.58998,88.17917,-4.114933,2.862078,0.393327,,,,,,,,,,,,10.05339,1.0813,4.15033,50,4.97059,-13.45893,-140.50452,1.45714,20.02452,32.90747,-30.0203,JAC_GAM,FLO_PAN,RudyAbbottField,D1,CUSA,20260418-RudyAbbottField-1,c2c2a3e0-3b59-11f1-a4d4-7d0fe41a201e,95.82978,,,9.00463,,,,,,,51ce42f6-999e-4bb9-8674-00df5cccee86,2026-04-18,19:06:52.49,2026-04-18T15:06:52.4990000-04:00,2026-04-18T19:06:52.4990000Z,,v3,471325,4468,8441,"Ashe, Grayson",10062829,Right,JAC_GAM,f759aeda-0694-449e-9dbe-9578df480444,54.56039,-141.56858,16.45374,4.90778,2.42784,-15.01015,4.59599,-14.10642,10.01226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-18,15:07:14.10,2,6,"Bryans, Beau",827515,Left,JAC_GAM,"Ildefonso, Andrew",10074340,Right,FLO_PAN,Undefined,1,Top,0,0,2,FourSeamFastBall,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,97.73684,0.379834,7.46741,2223.623589,100.071761,9:15,4.99943,-4.54935,6.19683,-25.49647,3.97599,-16.74233,3.22838,0.98851,88.48241,-4.36696,4.48558,0.390733,,,,,,,,,,,,10.81379,2.25036,3.99235,50,5.01553,-17.70663,-140.85905,0.02102,21.62014,33.45638,-27.6749,JAC_GAM,FLO_PAN,RudyAbbottField,D1,CUSA,20260418-RudyAbbottField-1,cf9fcac0-3b59-11f1-9d77-05464096cc1f,96.46608,,,9.25444,,,,,,,51ce42f6-999e-4bb9-8674-00df5cccee86,2026-04-18,19:07:14.10,2026-04-18T15:07:14.1090000-04:00,2026-04-18T19:07:14.1090000Z,,v3,471325,4468,8441,"Ashe, Grayson",10062829,Right,JAC_GAM,f876f80a-22eb-4d52-9936-9956d0886eda,54.30327,-141.87747,16.72819,5.00207,0.86345,-13.83745,4.54136,-18.36475,10.81007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-18,15:07:31.47,2,7,"Bryans, Beau",827515,Left,JAC_GAM,"Ildefonso, Andrew",10074340,Right,FLO_PAN,Undefined,1,Top,0,1,2,FourSeamFastBall,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,98.01135,0.068178,6.636266,2281.822587,95.340278,9:15,4.74664,-4.6263,6.16706,-26.61769,2.735,-18.21875,2.5919,0.01294,88.47367,-4.889188,3.38124,0.389938,,,,,,,,,,,,11.46363,1.68469,4.13048,50,4.73831,-15.64056,-141.47086,-0.80585,23.00922,35.16977,-28.79265,JAC_GAM,FLO_PAN,RudyAbbottField,D1,CUSA,20260418-RudyAbbottField-1,d9f58370-3b59-11f1-9d77-05464096cc1f,96.66265,,,9.53769,,,,,,,51ce42f6-999e-4bb9-8674-00df5cccee86,2026-04-18,19:07:31.47,2026-04-18T15:07:31.4760000-04:00,2026-04-18T19:07:31.4760000Z,,v3,471325,4468,8441,"Ashe, Grayson",10062829,Right,JAC_GAM,2cfcb201-49f6-40a6-ac62-593dba29a3ef,54.3336,-142.54413,17.58489,4.74949,0.07281,-14.39633,4.61849,-16.34273,11.50461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
