PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-18,18:06:45.22,1,1,"Heppner, Jacob",1000313312,Left,UTA_WOL,"McDaniel, Kyle",823497,Left,DIX_STE,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.18078,-0.933937,4.156645,2246.054982,146.079058,10:45,5.69035,-2.79277,5.62789,-20.48627,16.10568,-10.00717,3.10936,0.25857,80.14749,-4.788591,2.376446,0.435376,,,,,,,,,,,,6.29079,8.79859,2.4449,50,5.59775,-8.84755,-127.67102,-2.73906,10.33793,27.35528,-17.71495,UTA_WOL,DIX_STE,UCCUBallpark,D1,WAC,20260418-UCCUBallpark-1,a73aa8f0-3b83-11f1-b7a9-83d9cd15db9a,86.57452,,,8.03329,,,,,,,2d78ba21-01aa-43ed-8230-c1c5581c4029,2026-04-19,00:06:45.22,2026-04-18T18:06:45.2210000-06:00,2026-04-19T00:06:45.2210000Z,,v3,471519,526275,ad24a0b3765743f3a9efcec01c9314c1,"Strong, Mason",701767,Right,UTA_WOL,2b8b622e-e440-493c-91a1-6cdfc3c1e878,54.86902,-128.71005,13.67764,5.68901,-2.0662,-8.85747,2.78842,-9.24021,5.16896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-18,18:07:03.52,1,2,"Heppner, Jacob",1000313312,Left,UTA_WOL,"McDaniel, Kyle",823497,Left,DIX_STE,Undefined,1,Top,0,0,1,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.24955,-0.304904,4.909228,2044.240684,196.429137,12:30,5.54442,-2.66719,5.90161,-40.91786,3.32473,0.51772,1.85052,1.94435,72.79096,-7.854888,5.001633,0.478731,,,,,,,,,,,,1.31807,2.29193,2.27145,50,5.49682,-9.9845,-116.01128,-1.91522,1.7695,24.72492,-29.09718,UTA_WOL,DIX_STE,UCCUBallpark,D1,WAC,20260418-UCCUBallpark-1,b2296d50-3b83-11f1-b7a9-83d9cd15db9a,78.73404,,,7.45859,,,,,,,2d78ba21-01aa-43ed-8230-c1c5581c4029,2026-04-19,00:07:03.52,2026-04-18T18:07:03.5270000-06:00,2026-04-19T00:07:03.5270000Z,,v3,471519,526275,ad24a0b3765743f3a9efcec01c9314c1,"Strong, Mason",701767,Right,UTA_WOL,f0aae33e-1504-45a0-bd82-0fc9b051b7e3,54.59359,-116.9862,12.36246,5.54972,-0.76791,-14.54859,2.66652,-10.05428,0.88475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-18,18:07:19.94,1,3,"Heppner, Jacob",1000313312,Left,UTA_WOL,"McDaniel, Kyle",823497,Left,DIX_STE,Undefined,1,Top,0,1,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.86694,-1.617233,4.878246,2333.447526,150.005408,11:00,5.65267,-2.66592,5.60591,-16.6308,19.99714,-10.73953,2.75127,1.00378,79.67587,-4.811767,2.97205,0.43559,92.62143,21.452284,-32.557857,5038.889922,87.41212,34.64186,-66.77666,279.31015,191.88045,-44.352119,3.199179,7.06394,11.05666,2.25495,50,5.50363,-10.47939,-128.31598,-4.11447,11.56375,31.04319,-14.07421,UTA_WOL,DIX_STE,UCCUBallpark,D1,WAC,20260418-UCCUBallpark-1,bbe5cc30-3b83-11f1-b7a9-83d9cd15db9a,86.53198,38.53139,,9.19108,,,,1.16178,2.74402,-0.92707,2d78ba21-01aa-43ed-8230-c1c5581c4029,2026-04-19,00:07:19.94,2026-04-18T18:07:19.9410000-06:00,2026-04-19T00:07:19.9410000Z,LineDrive,v3,471519,526275,ad24a0b3765743f3a9efcec01c9314c1,"Strong, Mason",701767,Right,UTA_WOL,6e343733-c4e1-4e3c-b03e-d7ce090dee8b,54.88937,-129.49344,15.52159,5.64957,-3.58063,-7.03711,2.66075,-10.91801,5.78188,120.715661,1.16187,106.56082,-24.68626,5.95189,-1.26468,0.19552,-0.01622,-0.00087,0.00025,2.74394,49.68486,-18.71147,1.11282,-0.10213,0.03208,-0.01555,0.00428,-0.00043,-0.92708,-68.04011,0.77319,1.47146,-0.65338,0.19357,-0.042,0.00588,-0.00039,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
4,2026-04-18,18:08:09.47,1,4,"Heppner, Jacob",1000313312,Left,UTA_WOL,"McDaniel, Kyle",823497,Left,DIX_STE,Undefined,1,Top,0,1,2,ChangeUp,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,78.98086,1.337475,4.300661,1974.478097,197.469384,12:30,5.54106,-2.65855,5.80466,-40.4075,5.1126,1.12831,3.42134,1.44256,71.79271,-6.131142,4.501756,0.485594,,,,,,,,,,,,0.73118,2.66453,2.30436,50,5.62723,-8.6383,-114.29528,1.41055,0.95885,22.76523,-28.67985,UTA_WOL,DIX_STE,UCCUBallpark,D1,WAC,20260418-UCCUBallpark-1,d9b8d680-3b83-11f1-b7a9-83d9cd15db9a,77.62137,,,7.18815,,,,,,,2d78ba21-01aa-43ed-8230-c1c5581c4029,2026-04-19,00:08:09.47,2026-04-18T18:08:09.4730000-06:00,2026-04-19T00:08:09.4730000Z,,v3,471519,526275,ad24a0b3765743f3a9efcec01c9314c1,"Strong, Mason",701767,Right,UTA_WOL,5bda6e42-6bf7-49c0-a5f8-164be0ba9d54,54.69142,-115.22592,11.38262,5.5456,2.58299,-14.33992,2.65829,-8.6775,0.47942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-18,18:08:25.60,1,5,"Heppner, Jacob",1000313312,Left,UTA_WOL,"McDaniel, Kyle",823497,Left,DIX_STE,Undefined,1,Top,0,2,2,ChangeUp,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,75.95758,-1.777381,4.614908,2714.696806,8.500364,6:15,5.50354,-2.63441,5.52324,-53.98656,-4.95406,-0.94819,-0.66294,1.61039,71.0111,-11.480467,4.446124,0.50398,,,,,,,,,,,,1.69055,-1.80067,2.23292,50,5.31137,-8.85126,-110.06778,-5.15257,2.08698,18.38262,-34.39697,UTA_WOL,DIX_STE,UCCUBallpark,D1,WAC,20260418-UCCUBallpark-1,e3127bf0-3b83-11f1-b7a9-83d9cd15db9a,74.78955,,,4.94648,,,,,,,2d78ba21-01aa-43ed-8230-c1c5581c4029,2026-04-19,00:08:25.60,2026-04-18T18:08:25.6030000-06:00,2026-04-19T00:08:25.6030000Z,,v3,471519,526275,ad24a0b3765743f3a9efcec01c9314c1,"Strong, Mason",701767,Right,UTA_WOL,877ac233-0f92-4cc9-82e1-4eb41ca7637d,54.97913,-110.89624,9.19131,5.50865,-3.60239,-17.19848,2.63394,-8.94532,1.04349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-18,18:08:43.91,1,6,"Heppner, Jacob",1000313312,Left,UTA_WOL,"McDaniel, Kyle",823497,Left,DIX_STE,Undefined,1,Top,0,3,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.49606,-0.723045,4.402326,2257.540917,155.777082,11:15,5.56372,-2.70748,5.6795,-17.72548,18.05655,-7.65619,3.41057,0.76632,81.4874,-4.057144,3.040454,0.43053,80.19921,45.375397,-85.638909,1170.64729,,,,,60.23485,,,5.0076,9.69245,2.34093,50,5.49161,-9.55492,-128.29433,-2.17359,8.43122,24.00799,-15.85502,UTA_WOL,DIX_STE,UCCUBallpark,D1,WAC,20260418-UCCUBallpark-1,edf35da0-3b83-11f1-b7a9-83d9cd15db9a,87.54884,56.42615,,7.00866,,,,1.15349,3.39183,-0.78028,2d78ba21-01aa-43ed-8230-c1c5581c4029,2026-04-19,00:08:43.91,2026-04-18T18:08:43.9160000-06:00,2026-04-19T00:08:43.9160000Z,,v3,471519,526275,ad24a0b3765743f3a9efcec01c9314c1,"Strong, Mason",701767,Right,UTA_WOL,97aae9ea-2482-4175-acd1-882a4d6856ad,54.81934,-129.19304,12.004,5.56187,-1.58008,-7.92751,2.70451,-9.87053,4.21561,,1.15349,6.28311,-4.76273,-1.01718,0.34107,-0.12641,0.02757,-0.00466,0.00081,3.39183,83.71682,-24.92029,3.56957,-0.71778,0.1594,-0.02443,0.00472,-0.00083,-0.78028,-82.3877,12.14654,-1.56648,0.29831,-0.02841,-0.00024,-0.00145,0.00037,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Undefined,,,
7,2026-04-18,18:09:04.59,1,7,"Heppner, Jacob",1000313312,Left,UTA_WOL,"McDaniel, Kyle",823497,Left,DIX_STE,Undefined,1,Top,0,3,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.99331,-2.041319,4.853741,2342.531282,142.012103,10:45,5.60372,-2.76745,5.64023,-19.18222,16.683,-12.11174,2.09329,0.76194,81.22509,-5.646569,2.701442,0.431031,92.83395,-6.569374,-46.050797,,,,,18.01691,17.62711,-45.851326,0.126649,7.50032,9.38146,2.36225,50,5.41764,-10.40643,-128.72353,-5.2134,12.58442,26.72059,-16.43334,UTA_WOL,DIX_STE,UCCUBallpark,D1,WAC,20260418-UCCUBallpark-1,fa4cd590-3b83-11f1-b7a9-83d9cd15db9a,87.44722,1.9753,,7.76822,,,,0.64514,1.9753,-0.57887,2d78ba21-01aa-43ed-8230-c1c5581c4029,2026-04-19,00:09:04.59,2026-04-18T18:09:04.5970000-06:00,2026-04-19T00:09:04.5970000Z,GroundBall,v3,471519,526275,ad24a0b3765743f3a9efcec01c9314c1,"Strong, Mason",701767,Right,UTA_WOL,d76fbd79-0ebb-481c-ac05-c0cdec00aca0,54.85731,-129.72789,13.36029,5.60199,-4.5957,-8.21667,2.7623,-10.87945,6.29221,180,0.64274,93.99262,,,,,,,,1.9757,-15.59667,,,,,,,,-0.57638,-97.50505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2026-04-18,18:09:38.35,1,8,"Heppner, Jacob",1000313312,Left,UTA_WOL,"McDaniel, Kyle",823497,Left,DIX_STE,Undefined,1,Top,0,3,2,Cutter,Slider,InPlay,Undefined,LineDrive,Single,0,0,,79.39442,0.875549,2.51951,2012.852765,257.234756,2:30,5.43539,-2.78006,5.90157,-41.84479,2.53504,5.09469,2.76194,-0.01514,72.82463,-6.841996,3.43285,0.479473,84.58623,17.615251,9.109557,1243.509186,109.15884,22.80813,13.57429,231.78964,230.10997,5.509831,2.4008,-1.91469,1.42244,2.57446,50,5.48166,-5.25874,-115.26323,0.45693,-2.57065,21.82775,-30.2643,UTA_WOL,DIX_STE,UCCUBallpark,D1,WAC,20260418-UCCUBallpark-1,0e699b80-3b84-11f1-b7a9-83d9cd15db9a,78.61223,22.99498,,6.56979,,,,2.21742,2.88369,0.05576,2d78ba21-01aa-43ed-8230-c1c5581c4029,2026-04-19,00:09:38.35,2026-04-18T18:09:38.3540000-06:00,2026-04-19T00:09:38.3540000Z,LineDrive,v3,471519,526275,ad24a0b3765743f3a9efcec01c9314c1,"Strong, Mason",701767,Right,UTA_WOL,baee5f90-1055-41bc-992e-535a8090552d,54.59743,-116.1306,10.91388,5.43961,1.65954,-15.13215,2.7814,-5.15659,-1.28532,98.692439,2.21731,116.75788,-11.63683,1.86672,-0.69348,0.42849,-0.21786,0.05813,-0.00608,2.88374,37.54043,-19.00434,1.51174,-0.07524,-0.12396,0.08196,-0.02183,0.00212,0.05573,18.72234,-6.9638,2.27701,-0.73212,0.24627,-0.08762,0.02098,-0.00209,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2026-04-18,18:10:18.92,2,1,"Heppner, Jacob",1000313312,Left,UTA_WOL,"Naone, Kace",10316411,Right,DIX_STE,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.37467,-0.765797,3.424349,2311.355186,140.219446,10:45,5.59713,-2.73036,5.59781,-19.13363,16.98603,-13.21099,3.2864,-0.6305,80.91394,-4.363435,1.071763,0.432557,,,,,,,,,,,,7.5876,9.1391,2.44542,50,5.51914,-7.09431,-128.16757,-2.32332,12.67489,25.43461,-16.9074,UTA_WOL,DIX_STE,UCCUBallpark,D1,WAC,20260418-UCCUBallpark-1,269978b0-3b84-11f1-b7a9-83d9cd15db9a,87.13865,,,7.46074,,,,,,,2d78ba21-01aa-43ed-8230-c1c5581c4029,2026-04-19,00:10:18.92,2026-04-18T18:10:18.9260000-06:00,2026-04-19T00:10:18.9260000Z,,v3,471519,526275,ad24a0b3765743f3a9efcec01c9314c1,"Strong, Mason",701767,Right,UTA_WOL,011df015-0905-4b77-b532-f51b35f7cb39,54.89973,-129.13626,12.71731,5.59536,-1.6794,-8.4537,2.7248,-7.57703,6.33744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-18,18:10:39.18,2,2,"Heppner, Jacob",1000313312,Left,UTA_WOL,"Naone, Kace",10316411,Right,DIX_STE,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.89444,-3.377027,4.198782,2272.700755,147.443088,11:00,5.68741,-2.53088,5.58991,-16.78658,19.92537,-11.97209,1.12313,0.39903,80.6057,-6.54259,2.070109,0.436089,,,,,,,,,,,,7.20548,11.35985,2.1781,50,5.3859,-8.82556,-127.15626,-8.03011,11.8439,25.10722,-13.50144,UTA_WOL,DIX_STE,UCCUBallpark,D1,WAC,20260418-UCCUBallpark-1,32b91bf0-3b84-11f1-b7a9-83d9cd15db9a,86.43289,,,7.28874,,,,,,,2d78ba21-01aa-43ed-8230-c1c5581c4029,2026-04-19,00:10:39.18,2026-04-18T18:10:39.1870000-06:00,2026-04-19T00:10:39.1870000Z,,v3,471519,526275,ad24a0b3765743f3a9efcec01c9314c1,"Strong, Mason",701767,Right,UTA_WOL,14cab7ce-ccd3-48a7-ae0f-5e9b32cde0cd,54.90842,-128.12178,12.55361,5.68472,-7.51091,-6.75072,2.52625,-9.28103,5.92195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
