PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-18,14:03:18.29,1,1,"Barnett, Michael",1000131946,Right,UCLA,"Spanier, Jack",822384,Right,MIN_GOL,Undefined,1,Top,0,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.04732,-1.576946,-5.211185,2040.026002,239.452508,2:00,5.72021,1.46047,6.47335,-24.41501,9.6443,14.41473,2.23101,-2.13741,82.00677,-6.17781,-2.609791,0.420039,,,,,,,,,,,,-8.96595,5.85489,-1.09778,50,5.5979,11.29865,-130.32766,-4.34088,-15.36324,28.34562,-22.14165,UCLA,MIN_GOL,UCLA,D1,BIG10,20260418-UCLA-1,0695d190-3b6a-11f1-96fe-ddb2dea9c25e,89.73562,,,8.04054,,,,,,,90116a81-9a16-41ae-be3d-7da4f8169055,2026-04-18,21:03:18.29,2026-04-18T14:03:18.2997504-07:00,2026-04-18T21:03:18.2997504Z,,v3,5048,471360,2b66f772123c4aa085be078ae3789b5f,"Dugger, Cashel",814158,Right,UCLA,e6e6e62d-b816-4c7c-9177-0e1ead64c987,54.02682,-131.20056,14.17281,5.72108,-3.65904,-11.07083,-1.453,11.77175,-7.68162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-18,14:03:37.14,1,2,"Barnett, Michael",1000131946,Right,UCLA,"Spanier, Jack",822384,Right,MIN_GOL,Undefined,1,Top,0,1,0,Sweeper,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,79.23559,-0.359438,-2.661999,2242.692713,111.735844,9:45,5.79901,1.88212,5.67588,-40.87998,4.19418,-6.90142,2.05688,-1.17657,72.67798,-7.859859,-3.894318,0.483209,,,,,,,,,,,,2.71595,2.71205,-1.6531,50,5.74323,5.61322,-114.92261,-2.05077,3.619,22.02258,-28.56025,UCLA,MIN_GOL,UCLA,D1,BIG10,20260418-UCLA-1,11dca100-3b6a-11f1-96fe-ddb2dea9c25e,78.00437,,,6.55761,,,,,,,90116a81-9a16-41ae-be3d-7da4f8169055,2026-04-18,21:03:37.14,2026-04-18T14:03:37.1409408-07:00,2026-04-18T21:03:37.1409408Z,,v3,5048,471360,2b66f772123c4aa085be078ae3789b5f,"Dugger, Cashel",814158,Right,UCLA,94db1960-e47e-4e14-ba71-87f8d1e2a666,54.82427,-115.8434,11.01129,5.80401,-0.85664,-14.28013,-1.88463,5.4619,1.8095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-18,14:03:57.26,1,3,"Barnett, Michael",1000131946,Right,UCLA,"Spanier, Jack",822384,Right,MIN_GOL,Undefined,1,Top,0,2,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.02056,0.038171,-3.061978,2082.950905,242.318262,2:00,5.68495,1.68295,6.51655,-25.3782,8.65587,14.25461,3.60518,0.05839,81.43715,-4.768931,-0.47704,0.419883,,,,,,,,,,,,-8.33654,4.88457,-1.47457,50,5.67679,6.40584,-130.62138,-0.67969,-14.2484,30.27116,-23.82558,UCLA,MIN_GOL,UCLA,D1,BIG10,20260418-UCLA-1,1dd2c340-3b6a-11f1-96fe-ddb2dea9c25e,89.76889,,,8.5834,,,,,,,90116a81-9a16-41ae-be3d-7da4f8169055,2026-04-18,21:03:57.26,2026-04-18T14:03:57.2693504-07:00,2026-04-18T21:03:57.2693504Z,,v3,5048,471360,2b66f772123c4aa085be078ae3789b5f,"Dugger, Cashel",814158,Right,UCLA,b5122b0d-e088-4191-abeb-352b186560ba,53.98287,-131.54116,15.13558,5.68644,0.04424,-11.91279,-1.67579,6.83878,-7.1242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-18,14:04:15.35,1,4,"Barnett, Michael",1000131946,Right,UCLA,"Spanier, Jack",822384,Right,MIN_GOL,Undefined,1,Top,0,2,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,81.34337,-2.986262,-3.853452,1228.716761,243.972938,2:15,5.86565,1.76846,6.19016,-34.11651,8.22063,13.81312,0.25656,-0.64382,74.25168,-9.318556,-1.362115,0.468309,,,,,,,,,,,,-8.27489,5.63567,-1.48399,50,5.62288,7.40741,-117.72901,-7.17408,-11.50884,24.23428,-24.33589,UCLA,MIN_GOL,UCLA,D1,BIG10,20260418-UCLA-1,28a76ff0-3b6a-11f1-96fe-ddb2dea9c25e,80.48631,,,7.09169,,,,,,,90116a81-9a16-41ae-be3d-7da4f8169055,2026-04-18,21:04:15.35,2026-04-18T14:04:15.3564672-07:00,2026-04-18T21:04:15.3564672Z,,v3,5048,471360,2b66f772123c4aa085be078ae3789b5f,"Dugger, Cashel",814158,Right,UCLA,76992848-d1b9-4d5c-94f3-93e9932dfc62,54.3097,-118.61283,12.11714,5.86834,-6.28656,-12.16795,-1.76179,7.82714,-5.75442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-18,14:04:37.84,1,5,"Barnett, Michael",1000131946,Right,UCLA,"Spanier, Jack",822384,Right,MIN_GOL,Undefined,1,Top,0,3,1,Sinker,Sinker,InPlay,Undefined,LineDrive,Single,0,0,,90.60486,-1.229974,-2.749445,2107.299377,232.679304,1:45,5.67791,1.64611,6.47255,-25.50541,8.15367,9.16548,2.42137,-0.11712,82.14263,-6.041821,-1.087545,0.417563,99.46558,10.597858,2.377989,2195.339419,109.43436,14.58151,11.1359,221.92566,221.92566,8.981141,2.01399,-5.67752,4.98673,-1.45614,50,5.57987,5.95398,-131.49227,-3.60799,-9.82267,30.96121,-23.54649,UCLA,MIN_GOL,UCLA,D1,BIG10,20260418-UCLA-1,35fd4940-3b6a-11f1-96fe-ddb2dea9c25e,90.26758,14.65,,8.46223,,,,1.21599,2.38925,0.12935,90116a81-9a16-41ae-be3d-7da4f8169055,2026-04-18,21:04:37.84,2026-04-18T14:04:37.8458112-07:00,2026-04-18T21:04:37.8458112Z,LineDrive,v3,5048,471360,2b66f772123c4aa085be078ae3789b5f,"Dugger, Cashel",814158,Right,UCLA,6d088892-cb6c-4efd-9f64-8694e2fb8172,54.02884,-132.4375,15.48061,5.67904,-2.88913,-11.77325,-1.64248,6.25387,-4.91134,245.681926,1.21599,143.2707,-24.33488,4.8214,-0.89756,0.13677,-0.01887,0.00219,-0.00013,2.38925,26.82996,-15.28481,0.60157,0.0938,-0.04806,0.01467,-0.00233,0.00016,0.12934,5.94976,10.85162,-4.39602,1.34526,-0.34247,0.07398,-0.01139,0.00088,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2026-04-18,14:05:24.29,2,1,"Barnett, Michael",1000131946,Right,UCLA,"Hamilton, Davis",837901,Left,MIN_GOL,Undefined,1,Top,0,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,StolenBase,0,0,,81.82309,-1.649765,-3.030738,1362.330436,271.248189,3:00,5.79956,1.74166,6.22204,-41.02935,1.32047,15.83233,0.85554,0.26173,73.52497,-9.282679,-0.16796,0.468379,,,,,,,,,,,,-9.33571,1.72303,-1.52243,50,5.65579,5.68337,-118.50041,-4.67594,-12.90122,28.58037,-29.79294,UCLA,MIN_GOL,UCLA,D1,BIG10,20260418-UCLA-1,51b98180-3b6a-11f1-96fe-ddb2dea9c25e,80.47425,,,8.29812,,,,,,,90116a81-9a16-41ae-be3d-7da4f8169055,2026-04-18,21:05:24.29,2026-04-18T14:05:24.2993152-07:00,2026-04-18T21:05:24.2993152Z,,v3,5048,471360,2b66f772123c4aa085be078ae3789b5f,"Dugger, Cashel",814158,Right,UCLA,36018b2e-07de-4114-9571-a1b0c337b3ab,54.27863,-119.52789,14.29018,5.80464,-3.60486,-14.89647,-1.73509,6.14717,-6.45061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-18,14:05:52.67,2,2,"Barnett, Michael",1000131946,Right,UCLA,"Hamilton, Davis",837901,Left,MIN_GOL,Undefined,1,Top,0,1,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.88647,-1.975945,-4.782438,1270.159009,247.899089,2:15,5.86098,1.74717,6.25764,-34.54951,6.36579,12.0204,1.15265,-1.67152,75.12268,-8.414179,-2.617557,0.460378,,,,,,,,,,,,-7.70713,4.41339,-1.39674,50,5.69734,9.56171,-119.85312,-5.19865,-11.05031,26.25623,-25.84625,UCLA,MIN_GOL,UCLA,D1,BIG10,20260418-UCLA-1,62a022b0-3b6a-11f1-96fe-ddb2dea9c25e,81.87286,,,7.7638,,,,,,,90116a81-9a16-41ae-be3d-7da4f8169055,2026-04-18,21:05:52.67,2026-04-18T14:05:52.6718976-07:00,2026-04-18T21:05:52.6718976Z,,v3,5048,471360,2b66f772123c4aa085be078ae3789b5f,"Dugger, Cashel",814158,Right,UCLA,fb25cf50-1fd6-494a-956b-3508c8417db6,54.24113,-120.77865,13.12811,5.86453,-4.28757,-12.92312,-1.74065,9.95123,-5.52515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-18,14:06:27.69,2,3,"Barnett, Michael",1000131946,Right,UCLA,"Hamilton, Davis",837901,Left,MIN_GOL,Undefined,1,Top,0,2,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,81.26057,-0.075757,-1.944719,1289.828558,256.383314,2:30,5.82409,1.81712,6.40232,-36.41321,5.48012,16.66536,2.71995,1.4168,73.81812,-6.899451,1.077248,0.465848,,,,,,,,,,,,-9.21414,3.35654,-1.68431,50,5.80252,3.38549,-118.00106,-1.22207,-12.84587,24.80691,-27.49455,UCLA,MIN_GOL,UCLA,D1,BIG10,20260418-UCLA-1,778a23b0-3b6a-11f1-96fe-ddb2dea9c25e,80.91153,,,7.44245,,,,,,,90116a81-9a16-41ae-be3d-7da4f8169055,2026-04-18,21:06:27.69,2026-04-18T14:06:27.6993536-07:00,2026-04-18T21:06:27.6993536Z,,v3,5048,471360,2b66f772123c4aa085be078ae3789b5f,"Dugger, Cashel",814158,Right,UCLA,6b79e403-88f7-4162-8972-e3d493675e5e,54.09771,-118.85938,12.40345,5.82834,-0.27075,-13.74728,-1.80914,3.82996,-6.42293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-18,14:06:45.43,2,4,"Barnett, Michael",1000131946,Right,UCLA,"Hamilton, Davis",837901,Left,MIN_GOL,Undefined,1,Top,0,3,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.86041,-1.468805,-3.755047,2147.253272,229.3321,1:45,5.633,1.73224,6.74938,-23.30556,10.40528,10.81768,2.34584,-0.80169,81.91469,-5.893002,-1.786674,0.417884,,,,,,,,,,,,-6.7867,6.26981,-1.48893,50,5.52736,8.14255,-130.38144,-4.00446,-11.62857,28.59073,-21.43111,UCLA,MIN_GOL,UCLA,D1,BIG10,20260418-UCLA-1,8213bda0-3b6a-11f1-96fe-ddb2dea9c25e,90.19823,,,7.94572,,,,,,,90116a81-9a16-41ae-be3d-7da4f8169055,2026-04-18,21:06:45.43,2026-04-18T14:06:45.4364160-07:00,2026-04-18T21:06:45.4364160Z,,v3,5048,471360,2b66f772123c4aa085be078ae3789b5f,"Dugger, Cashel",814158,Right,UCLA,b8618c93-3358-4db7-8b7e-5c317ea8765f,53.75136,-131.20148,14.29536,5.6334,-3.38977,-10.71556,-1.72726,8.47608,-5.81428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-18,14:07:02.68,2,5,"Barnett, Michael",1000131946,Right,UCLA,"Hamilton, Davis",837901,Left,MIN_GOL,Undefined,1,Top,0,3,1,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,82.18402,-0.967209,-2.665721,1287.502293,257.025915,2:30,5.76362,2.00067,6.37489,-36.30207,4.82662,14.65989,1.84747,0.76781,74.60641,-7.753843,-0.009198,0.461577,95.63367,0.022317,31.15246,2827.014486,,,,58.79846,54.5599,31.12221,0.423586,-8.57343,3.20236,-1.81497,50,5.6769,5.03003,-119.27972,-3.07958,-12.17382,26.02634,-27.62686,UCLA,MIN_GOL,UCLA,D1,BIG10,20260418-UCLA-1,8c5af760-3b6a-11f1-96fe-ddb2dea9c25e,81.66016,2.40193,,7.57761,,,,3.29799,2.40193,-0.64086,90116a81-9a16-41ae-be3d-7da4f8169055,2026-04-18,21:07:02.68,2026-04-18T14:07:02.6843136-07:00,2026-04-18T21:07:02.6843136Z,GroundBall,v3,5048,471360,2b66f772123c4aa085be078ae3789b5f,"Dugger, Cashel",814158,Right,UCLA,262141ab-f217-4186-a70d-4076857f7b12,54.12773,-120.177,13.01317,5.76665,-2.12713,-13.81343,-1.99562,5.44973,-6.08691,,3.30963,119.66897,-20.48455,,,,,,,2.40442,-0.02378,-13.35816,,,,,,,-0.64584,72.71864,1.33107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
