PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-18,16:03:51.57,1,1,"Johnson, Cameron",702987,Left,OKL_SOO,"Ward, Blaize",1000263242,Left,MIZ_TIG,Undefined,1,Top,0,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,97.21904,-2.19638,2.832406,2061.514145,104.374614,9:30,5.59724,-2.27435,5.96509,-24.08899,6.06166,-19.16552,1.54985,-1.24312,87.22605,-6.702313,-0.612585,0.395203,,,,,,,,,,,,10.80048,4.19303,2.06029,50,5.40964,-6.07529,-140.76095,-6.28469,21.18877,38.55782,-23.94803,OKL_SOO,MIZ_TIG,UofOklahoma,D1,SEC,20260418-UofOklahoma-1,1a6d0300-3b6a-11f1-a6b7-a98f812af9c0,95.37497,,,9.99299,,,,,,,f27ac119-2a28-4e65-a147-34a1b43aad3c,2026-04-18,21:03:51.57,2026-04-18T16:03:51.5785216-05:00,2026-04-18T21:03:51.5785216Z,,v3,4244,4806,512725ad794d4672921b066aa60ba3c1,"Brock, Brendan",833392,Right,OKL_SOO,265f6afb-7b24-41dc-87d0-3b5abe2e6985,54.53214,-141.99699,19.27891,5.5988,-5.51699,-11.97401,2.26593,-6.75453,10.59439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-18,16:04:06.10,1,2,"Johnson, Cameron",702987,Left,OKL_SOO,"Ward, Blaize",1000263242,Left,MIZ_TIG,Undefined,1,Top,0,1,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,97.15298,0.065924,2.969267,2021.208905,102.0085,9:30,5.54409,-2.42319,5.98259,-25.46068,4.28642,-15.4141,3.48356,-0.95303,88.04056,-4.680025,0.200937,0.392549,,,,,,,,,,,,8.75296,2.4989,2.19672,50,5.53542,-6.58946,-140.91622,-0.78953,17.45838,34.42951,-27.18982,OKL_SOO,MIZ_TIG,UofOklahoma,D1,SEC,20260418-UofOklahoma-1,2316e070-3b6a-11f1-a6b7-a98f812af9c0,96.01973,,,9.11242,,,,,,,f27ac119-2a28-4e65-a147-34a1b43aad3c,2026-04-18,21:04:06.10,2026-04-18T16:04:06.1013504-05:00,2026-04-18T21:04:06.1013504Z,,v3,4244,4806,512725ad794d4672921b066aa60ba3c1,"Brock, Brendan",833392,Right,OKL_SOO,2e3aa84d-7424-4e37-b42d-3e7178dbad0e,54.51501,-142.01507,17.21476,5.54677,0.07826,-13.59491,2.41593,-7.14666,8.72919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-18,16:04:22.29,1,3,"Johnson, Cameron",702987,Left,OKL_SOO,"Ward, Blaize",1000263242,Left,MIZ_TIG,Undefined,1,Top,0,2,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,95.97552,-2.51067,4.345585,2150.48675,109.247139,9:45,5.37729,-2.40412,6.07511,-22.62926,8.37264,-20.46521,1.16025,-0.08094,85.75567,-6.776261,0.668707,0.400743,,,,,,,,,,,,12.04099,5.54331,2.07799,50,5.17063,-9.60717,-138.68613,-6.8764,22.86821,38.20432,-21.64623,OKL_SOO,MIZ_TIG,UofOklahoma,D1,SEC,20260418-UofOklahoma-1,2cbb98a0-3b6a-11f1-a6b7-a98f812af9c0,94.05647,,,10.21985,,,,,,,f27ac119-2a28-4e65-a147-34a1b43aad3c,2026-04-18,21:04:22.29,2026-04-18T16:04:22.2914048-05:00,2026-04-18T21:04:22.2914048Z,,v3,4244,4806,512725ad794d4672921b066aa60ba3c1,"Brock, Brendan",833392,Right,OKL_SOO,5dae2dd1-cace-4586-b786-b612621aac7b,54.42156,-139.89885,19.10216,5.378,-6.18929,-10.82312,2.39447,-10.33308,11.4341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-18,16:04:39.74,1,4,"Johnson, Cameron",702987,Left,OKL_SOO,"Ward, Blaize",1000263242,Left,MIZ_TIG,Undefined,1,Top,0,2,1,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,97.32955,0.633818,2.107716,2029.068978,104.909922,9:30,5.5324,-2.45811,5.92884,-25.03816,4.48433,-13.28233,4.03438,-1.60848,88.60169,-4.025431,-0.276735,0.391064,,,,,,,,,,,,7.34264,2.4287,2.29678,50,5.56909,-4.57215,-141.30036,0.6164,14.80592,32.98575,-27.27671,OKL_SOO,MIZ_TIG,UofOklahoma,D1,SEC,20260418-UofOklahoma-1,371d8650-3b6a-11f1-a6b7-a98f812af9c0,96.38434,,,8.72787,,,,,,,f27ac119-2a28-4e65-a147-34a1b43aad3c,2026-04-18,21:04:39.74,2026-04-18T16:04:39.7481984-05:00,2026-04-18T21:04:39.7481984Z,,v3,4244,4806,512725ad794d4672921b066aa60ba3c1,"Brock, Brendan",833392,Right,OKL_SOO,c1d560bf-5a64-41a5-825d-1ce44ac1d8f8,54.56863,-142.36288,16.49288,5.53509,1.49502,-13.63836,2.45174,-5.04907,7.40296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-18,16:04:57.91,1,5,"Johnson, Cameron",702987,Left,OKL_SOO,"Ward, Blaize",1000263242,Left,MIZ_TIG,Undefined,1,Top,0,3,1,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,98.12899,-2.157769,4.149505,2130.632865,124.368742,10:15,5.38053,-2.44046,6.00386,-18.14851,10.91938,-14.57792,1.86272,0.19607,89.47396,-5.570811,1.53557,0.388042,,,,,,,,,,,,8.62099,6.50453,2.1215,50,5.20047,-9.63365,-142.13497,-5.99441,17.61286,32.97518,-18.88517,OKL_SOO,MIZ_TIG,UofOklahoma,D1,SEC,20260418-UofOklahoma-1,41fb33b0-3b6a-11f1-a6b7-a98f812af9c0,97.13505,,,8.65502,,,,,,,f27ac119-2a28-4e65-a147-34a1b43aad3c,2026-04-18,21:04:57.91,2026-04-18T16:04:57.9161088-05:00,2026-04-18T21:04:57.9161088Z,,v3,4244,4806,512725ad794d4672921b066aa60ba3c1,"Brock, Brendan",833392,Right,OKL_SOO,524a6e3e-8d93-4b44-8ffa-08bd08728b58,54.49427,-143.17384,16.48759,5.37995,-5.39944,-9.44259,2.43375,-10.18853,8.80643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-18,16:05:15.14,1,6,"Johnson, Cameron",702987,Left,OKL_SOO,"Ward, Blaize",1000263242,Left,MIZ_TIG,Undefined,1,Top,0,3,2,Sinker,Sinker,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,98.83162,-2.568945,2.385514,2195.091512,119.773137,10:00,5.48425,-2.44377,5.96518,-20.27588,8.15524,-12.75871,1.40901,-1.29387,90.91175,-6.338228,0.092303,0.383768,,,,,,,,,,,,7.22575,5.12855,2.26187,50,5.26893,-5.40093,-143.47729,-7.1838,15.13594,31.67528,-21.43116,OKL_SOO,MIZ_TIG,UofOklahoma,D1,SEC,20260418-UofOklahoma-1,4c4a5cb0-3b6a-11f1-a6b7-a98f812af9c0,98.21683,,,7.91986,,,,,,,f27ac119-2a28-4e65-a147-34a1b43aad3c,2026-04-18,21:05:15.14,2026-04-18T16:05:15.1440000-05:00,2026-04-18T21:05:15.1440000Z,,v3,4244,4806,512725ad794d4672921b066aa60ba3c1,"Brock, Brendan",833392,Right,OKL_SOO,d6cb1f61-4799-4287-b9dc-f0b5ad346c33,54.53537,-144.47509,15.83764,5.4846,-6.5087,-10.71558,2.43951,-5.87772,7.56797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.95698,,,,,,,-0.32861,5.63112,1.12353,,,,-0.13409,85.98683,-7.62638,5.73613,18.26887,-13.86582,1.00857,-34.53046,3.98997,High,High,High,,,High,Medium,Low
7,2026-04-18,16:05:45.20,2,1,"Johnson, Cameron",702987,Left,OKL_SOO,"Durnin, Kam",806494,Right,MIZ_TIG,Undefined,1,Top,1,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,97.9589,-2.7892,3.453923,2205.59307,117.471865,10:00,5.47075,-2.48232,6.02405,-19.46977,9.77823,-16.89993,1.25824,-0.68784,89.08361,-6.442218,0.417025,0.389242,,,,,,,,,,,,9.72481,6.15225,2.22093,50,5.24142,-7.79424,-141.90775,-7.60536,19.70544,34.39052,-19.70773,OKL_SOO,MIZ_TIG,UofOklahoma,D1,SEC,20260418-UofOklahoma-1,5e1f0760-3b6a-11f1-a6b7-a98f812af9c0,96.83553,,,8.87529,,,,,,,f27ac119-2a28-4e65-a147-34a1b43aad3c,2026-04-18,21:05:45.20,2026-04-18T16:05:45.2023808-05:00,2026-04-18T21:05:45.2023808Z,,v3,4244,4806,512725ad794d4672921b066aa60ba3c1,"Brock, Brendan",833392,Right,OKL_SOO,999e5d1d-f131-4830-b43d-a790c9806f5e,54.47492,-142.9881,17.19526,5.47061,-6.98625,-9.85386,2.4755,-8.41327,9.85272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-18,16:06:00.35,2,2,"Johnson, Cameron",702987,Left,OKL_SOO,"Durnin, Kam",806494,Right,MIZ_TIG,Undefined,1,Top,1,1,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,95.99218,-1.252243,2.436686,2055.918218,114.700943,9:45,5.46522,-2.376,6.02202,-22.58206,7.2687,-13.98028,2.42231,-1.28279,88.7399,-5.445401,-0.078155,0.393232,,,,,,,,,,,,7.77902,4.31921,2.1926,50,5.35473,-5.31673,-139.53601,-3.86324,15.51592,27.9645,-23.559,OKL_SOO,MIZ_TIG,UofOklahoma,D1,SEC,20260418-UofOklahoma-1,67303220-3b6a-11f1-a6b7-a98f812af9c0,95.85288,,,7.25227,,,,,,,f27ac119-2a28-4e65-a147-34a1b43aad3c,2026-04-18,21:06:00.35,2026-04-18T16:06:00.3530752-05:00,2026-04-18T21:06:00.3530752Z,,v3,4244,4806,512725ad794d4672921b066aa60ba3c1,"Brock, Brendan",833392,Right,OKL_SOO,8fbd36b4-982f-48c1-8e24-9f7a0f7d721c,54.47822,-140.43062,13.98225,5.46626,-3.10956,-11.7795,2.37062,-5.8131,7.75796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-18,16:06:15.55,2,3,"Johnson, Cameron",702987,Left,OKL_SOO,"Durnin, Kam",806494,Right,MIZ_TIG,Undefined,1,Top,1,1,1,Sinker,Sinker,InPlay,Undefined,FlyBall,Out,1,0,,98.16937,-1.241417,3.659323,2204.924142,114.361964,9:45,5.41841,-2.44129,6.11056,-20.8593,8.02591,-15.6493,2.52972,-0.35715,89.45362,-5.152238,0.844653,0.38682,104.14228,18.576875,16.242873,3592.105784,103.13944,34.27973,38.23916,331.83669,324.82869,31.15151,3.763262,9.18512,4.77366,2.16848,50,5.31199,-8.41313,-142.39766,-3.82632,18.80051,33.65297,-22.40311,OKL_SOO,MIZ_TIG,UofOklahoma,D1,SEC,20260418-UofOklahoma-1,70354ef0-3b6a-11f1-a6b7-a98f812af9c0,97.44176,44.82509,,8.71575,,,,0.8605,2.51108,0.3555,f27ac119-2a28-4e65-a147-34a1b43aad3c,2026-04-18,21:06:15.55,2026-04-18T16:06:15.5539456-05:00,2026-04-18T21:06:15.5539456Z,LineDrive,v3,4244,4806,512725ad794d4672921b066aa60ba3c1,"Brock, Brendan",833392,Right,OKL_SOO,052e4e68-020a-490a-94b9-5221cce52e9b,54.3896,-143.43131,16.82649,5.41895,-3.13821,-11.20156,2.43576,-8.99059,9.40026,226.128885,0.86064,138.99928,-32.27941,7.77593,-1.82949,0.38795,-0.06456,0.00692,-0.00034,2.51113,48.65841,-14.96272,0.5867,0.01431,-0.0345,0.0113,-0.0017,0.0001,0.3555,40.49758,3.44484,-1.30596,0.41719,-0.10907,0.02132,-0.00262,0.00015,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
10,2026-04-18,16:07:14.43,3,1,"Johnson, Cameron",702987,Left,OKL_SOO,"Woita, Jase",831805,Left,MIZ_TIG,Undefined,1,Top,2,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,97.00492,-3.626448,3.375252,2054.369057,109.323419,9:45,5.52051,-2.13165,6.02119,-23.41789,6.49532,-15.6117,0.19979,-0.30278,88.33218,-7.974617,0.567531,0.393643,,,,,,,,,,,,9.14126,4.72303,1.87593,50,5.22296,-7.59688,-140.42855,-9.75649,18.10107,34.2871,-22.82176,OKL_SOO,MIZ_TIG,UofOklahoma,D1,SEC,20260418-UofOklahoma-1,935a5920-3b6a-11f1-a6b7-a98f812af9c0,95.75279,,,8.67273,,,,,,,f27ac119-2a28-4e65-a147-34a1b43aad3c,2026-04-18,21:07:14.43,2026-04-18T16:07:14.4331264-05:00,2026-04-18T21:07:14.4331264Z,,v3,4244,4806,512725ad794d4672921b066aa60ba3c1,"Brock, Brendan",833392,Right,OKL_SOO,d14c36d1-c69d-4b31-87fe-f98cb2bd28ac,54.47899,-141.51791,17.14355,5.52143,-9.0314,-11.41088,2.12643,-8.17198,9.05053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
