PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-27,17:01:28.18,1,1,"Wyatt, Zach",10113270,Right,UNI_MON,"Franklin, Landon",1000077936,Right,LEE_UNI,Undefined,1,Top,0,0,0,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,90.02438,-1.345553,-3.247677,2393.438801,228.630866,1:30,5.92191,1.55283,6.19388,-21.33194,12.99536,13.4491,2.89965,-0.32828,81.86844,-5.380271,-0.824262,0.421688,97.8012,-24.387598,16.663612,,,,,7.20143,7.20143,17.063086,0.047813,-7.94016,7.46811,-1.31447,50,5.80949,6.86094,-130.58293,-3.72042,-13.62822,29.03194,-19.35605,UNI_MON,LEE_UNI,UofMontevallo,D2,Team,20260327-UofMontevallo-2,81adde70-2a28-11f1-8010-4dca11d6abd1,89.3847,2.83765,,8.15594,,,,0.88813,2.83765,0.31824,04fca3d3-f99d-4550-8c11-ce966935b6fd,2026-03-27,22:01:28.18,2026-03-27T17:01:28.1820000-05:00,2026-03-27T22:01:28.1820000Z,GroundBall,v3,643-146074,643-145172,,"Brock, Hollon",10304743,Right,UNI_MON,1f4db981-0839-4037-9143-1d320dba4e94,54.31129,-131.53795,14.51597,5.9214,-3.08369,-9.67803,-1.54753,7.30925,-6.81411,180,0.88616,125.41182,,,,,,,,2.83858,-59.34897,,,,,,,,0.31766,37.53855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
2,2026-03-27,17:01:55.65,2,1,"Wyatt, Zach",10113270,Right,UNI_MON,"Collier, Luke",1000234418,Right,LEE_UNI,Undefined,1,Top,1,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.60688,0.123559,-3.026498,2448.729846,227.495397,1:30,5.93004,1.64112,6.10034,-20.69147,14.29426,14.24485,4.3202,0.02621,80.77664,-3.817303,-0.464488,0.425713,,,,,,,,,,,,-8.203,7.67331,-1.4147,50,5.92867,6.25108,-129.88486,-0.33512,-13.84131,30.31473,-19.22655,UNI_MON,LEE_UNI,UofMontevallo,D2,Team,20260327-UofMontevallo-2,9201dc90-2a28-11f1-8010-4dca11d6abd1,88.53957,,,8.83024,,,,,,,04fca3d3-f99d-4550-8c11-ce966935b6fd,2026-03-27,22:01:55.65,2026-03-27T17:01:55.6530000-05:00,2026-03-27T22:01:55.6530000Z,,v3,643-146074,643-145172,,"Brock, Hollon",10304743,Right,UNI_MON,6b8a6e34-e801-4b74-a52f-0ac08d64d6e0,54.40128,-130.90807,15.15737,5.92903,0.31383,-9.61327,-1.63358,6.71827,-6.92066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-27,17:02:08.92,2,2,"Wyatt, Zach",10113270,Right,UNI_MON,"Collier, Luke",1000234418,Right,LEE_UNI,Undefined,1,Top,1,1,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.54051,-2.422522,-5.151221,2416.963249,236.719748,2:00,5.74379,1.82902,6.08992,-22.44005,13.55902,18.69064,1.62219,-1.39189,80.13795,-6.659086,-1.800798,0.431834,,,,,,,,,,,,-11.18804,8.10808,-1.43991,50,5.54408,10.75941,-127.96342,-6.11658,-18.36192,28.91701,-18.86699,UNI_MON,LEE_UNI,UofMontevallo,D2,Team,20260327-UofMontevallo-2,99f00b20-2a28-11f1-8010-4dca11d6abd1,87.28449,,,8.40255,,,,,,,04fca3d3-f99d-4550-8c11-ce966935b6fd,2026-03-27,22:02:08.92,2026-03-27T17:02:08.9260000-05:00,2026-03-27T22:02:08.9260000Z,,v3,643-146074,643-145172,,"Brock, Hollon",10304743,Right,UNI_MON,4242ce59-55bf-4abf-8411-b1ff80f82680,54.41441,-128.95712,14.45851,5.74313,-5.46824,-9.4335,-1.82049,11.3904,-9.18096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-27,17:02:22.53,2,3,"Wyatt, Zach",10113270,Right,UNI_MON,"Collier, Luke",1000234418,Right,LEE_UNI,Undefined,1,Top,1,2,0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,79.6871,0.114741,-3.933795,1508.158041,277.223666,3:15,5.46466,1.98175,5.8782,-44.98235,-0.1278,13.91016,1.82296,-0.51866,72.06184,-8.189199,-1.441703,0.482031,,,,,,,,,,,,-8.37646,0.39595,-1.67104,50,5.44823,7.39639,-115.36831,-1.21443,-11.09913,24.83875,-31.64941,UNI_MON,LEE_UNI,UofMontevallo,D2,Team,20260327-UofMontevallo-2,a2177220-2a28-11f1-8010-4dca11d6abd1,78.1951,,,7.62527,,,,,,,04fca3d3-f99d-4550-8c11-ce966935b6fd,2026-03-27,22:02:22.53,2026-03-27T17:02:22.5310000-05:00,2026-03-27T22:02:22.5310000Z,,v3,643-146074,643-145172,,"Brock, Hollon",10304743,Right,UNI_MON,6a2f709e-2278-48b9-a56b-c0e7804d0cc2,54.62604,-116.36004,12.41938,5.47149,0.04922,-15.82471,-1.97519,7.83954,-5.54956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-27,17:02:37.57,2,4,"Wyatt, Zach",10113270,Right,UNI_MON,"Collier, Luke",1000234418,Right,LEE_UNI,Undefined,1,Top,1,2,1,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,90.27952,-0.598073,-3.265034,2446.21647,230.070931,1:45,5.88505,1.60006,5.86262,-18.10741,16.95753,18.66127,3.8195,0.11832,80.75244,-4.074916,0.076116,0.426194,,,,,,,,,,,,-10.53127,9.21221,-1.34527,50,5.82603,6.61652,-130.68332,-1.8941,-17.84451,32.7239,-16.56463,UNI_MON,LEE_UNI,UofMontevallo,D2,Team,20260327-UofMontevallo-2,ab03afc0-2a28-11f1-8010-4dca11d6abd1,88.43953,,,9.52708,,,,,,,04fca3d3-f99d-4550-8c11-ce966935b6fd,2026-03-27,22:02:37.57,2026-03-27T17:02:37.5740000-05:00,2026-03-27T22:02:37.5740000Z,,v3,643-146074,643-145172,,"Brock, Hollon",10304743,Right,UNI_MON,9f2db510-272d-4830-b770-2b27665e6e95,54.6387,-131.83976,16.36195,5.88262,-1.30872,-8.28232,-1.59023,7.24713,-8.92226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-27,17:02:52.66,2,5,"Wyatt, Zach",10113270,Right,UNI_MON,"Collier, Luke",1000234418,Right,LEE_UNI,Undefined,1,Top,1,2,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.89251,-0.357181,-4.285983,1614.224291,281.649302,3:30,5.4287,1.85777,5.89379,-45.53325,-1.97709,17.34359,1.30166,-0.68416,73.16958,-8.746908,-1.177278,0.475003,,,,,,,,,,,,-10.22445,-0.37327,-1.52132,50,5.37412,8.08969,-117.07163,-2.23233,-13.94325,25.68727,-32.68309,UNI_MON,LEE_UNI,UofMontevallo,D2,Team,20260327-UofMontevallo-2,b40263f0-2a28-11f1-8010-4dca11d6abd1,79.352,,,7.72293,,,,,,,04fca3d3-f99d-4550-8c11-ce966935b6fd,2026-03-27,22:02:52.66,2026-03-27T17:02:52.6650000-05:00,2026-03-27T22:02:52.6650000Z,,v3,643-146074,643-145172,,"Brock, Hollon",10304743,Right,UNI_MON,acfe7eb8-0f1e-4691-b030-52c565e72cb6,54.61075,-118.07896,12.84364,5.43653,-0.95066,-16.34155,-1.84928,8.63648,-6.97162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-27,17:03:07.61,2,6,"Wyatt, Zach",10113270,Right,UNI_MON,"Collier, Luke",1000234418,Right,LEE_UNI,Undefined,1,Top,1,3,2,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.9217,-1.503998,-2.179272,2476.55501,238.610889,2:00,5.83362,1.61755,5.97954,-21.64718,13.57615,20.01962,2.63405,1.26455,80.50256,-5.616659,1.419379,0.427156,,,,,,,,,,,,-11.14461,7.88571,-1.45658,50,5.70274,4.12182,-130.30757,-4.09486,-18.69467,33.60709,-18.94602,UNI_MON,LEE_UNI,UofMontevallo,D2,Team,20260327-UofMontevallo-2,bcfad690-2a28-11f1-8010-4dca11d6abd1,88.24041,,,9.41913,,,,,,,04fca3d3-f99d-4550-8c11-ce966935b6fd,2026-03-27,22:03:07.61,2026-03-27T17:03:07.6120000-05:00,2026-03-27T22:03:07.6120000Z,,v3,643-146074,643-145172,,"Brock, Hollon",10304743,Right,UNI_MON,324a0ade-43c8-4e75-a86e-9c2dafa73a61,54.52527,-131.46949,16.80355,5.83299,-3.43983,-9.47301,-1.61026,4.76817,-9.34734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-27,17:03:27.90,2,7,"Wyatt, Zach",10113270,Right,UNI_MON,"Collier, Luke",1000234418,Right,LEE_UNI,Undefined,1,Top,1,3,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,79.13542,-0.96478,-2.308624,2565.826948,112.820121,9:45,5.48967,2.12299,5.48731,-41.03089,4.54729,-7.27406,1.16691,-0.64442,72.55945,-8.461257,-3.604149,0.485903,,,,,,,,,,,,3.01496,2.98713,-1.9152,50,5.37703,4.90783,-114.7691,-3.2874,3.99709,22.43659,-28.21383,UNI_MON,LEE_UNI,UofMontevallo,D2,Team,20260327-UofMontevallo-2,c90e92f0-2a28-11f1-8010-4dca11d6abd1,77.57188,,,6.57597,,,,,,,04fca3d3-f99d-4550-8c11-ce966935b6fd,2026-03-27,22:03:27.90,2026-03-27T17:03:27.9040000-05:00,2026-03-27T22:03:27.9040000Z,,v3,643-146074,643-145172,,"Brock, Hollon",10304743,Right,UNI_MON,4e347844-faad-452c-98b3-777065393d80,55.01829,-115.74598,11.2183,5.49343,-2.05898,-14.10691,-2.12509,4.7338,1.99855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.34572,3.057071,1.904947,1.152124,3.07748,1.4107,0.5404,-3.62519,5.42361,4.63256,66.81412,7.54643,58.0104,-3.56212,67.15729,-5.2843,5.46985,18.72827,-14.7007,4.64519,48.30475,-1.72615,High,High,High,,,High,High,High
9,2026-03-27,17:03:54.08,3,1,"Wyatt, Zach",10113270,Right,UNI_MON,"French, Isaiah",10050808,Right,LEE_UNI,Undefined,1,Top,2,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.1597,-1.960299,-3.738246,2415.339951,234.549857,1:45,5.86577,1.55281,5.98194,-21.2406,13.72698,17.43336,2.2739,-0.46477,81.04316,-5.987401,-0.610797,0.425603,,,,,,,,,,,,-10.10465,8.05874,-1.26604,50,5.69873,7.76045,-130.45026,-5.1324,-17.10814,31.91045,-18.52986,UNI_MON,LEE_UNI,UofMontevallo,D2,Team,20260327-UofMontevallo-2,d89ecbe0-2a28-11f1-8010-4dca11d6abd1,88.56253,,,9.11654,,,,,,,04fca3d3-f99d-4550-8c11-ce966935b6fd,2026-03-27,22:03:54.08,2026-03-27T17:03:54.0830000-05:00,2026-03-27T22:03:54.0830000Z,,v3,643-146074,643-145172,,"Brock, Hollon",10304743,Right,UNI_MON,0de39bfe-6968-4799-beba-05c744dbbd74,54.52028,-131.55135,15.95523,5.8648,-4.49301,-9.26493,-1.54401,8.35078,-8.55407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-27,17:04:08.87,3,2,"Wyatt, Zach",10113270,Right,UNI_MON,"French, Isaiah",10050808,Right,LEE_UNI,Undefined,1,Top,2,0,1,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.36033,1.777054,-3.191297,1563.738603,279.985545,3:15,5.38059,2.12991,5.68847,-46.23404,-2.00669,20.25001,3.18733,0.83958,72.66667,-6.735151,0.425115,0.478649,,,,,,,,,,,,-11.17568,-1.04284,-1.8734,50,5.50201,5.66781,-116.40566,2.04943,-15.13791,24.46161,-33.58661,UNI_MON,LEE_UNI,UofMontevallo,D2,Team,20260327-UofMontevallo-2,e1749b50-2a28-11f1-8010-4dca11d6abd1,78.74762,,,7.69366,,,,,,,04fca3d3-f99d-4550-8c11-ce966935b6fd,2026-03-27,22:04:08.87,2026-03-27T17:04:08.8790000-05:00,2026-03-27T22:04:08.8790000Z,,v3,643-146074,643-145172,,"Brock, Hollon",10304743,Right,UNI_MON,63f6f868-940e-4b79-a0eb-d255e71beef7,54.81658,-117.41346,12.2308,5.38907,3.43317,-16.79331,-2.11976,6.29148,-7.56896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
