PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-18,18:07:54.42,1,1,"Mayhew, Hogan",10120596,Right,GEO_COL1,"Harding, Evan",1000260396,Right,USC_PAC,Undefined,1,Top,0,0,0,Undefined,,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GEO_COL1,USC_PAC,JohnKurtzField,D2,NCAAPB,20260418-JohnKurtzField-1,a1a1e850-3cd1-11f1-a073-db2cb6cd3761,,,,,,,,,,,938b4490-4103-4a48-a681-5f77c131fb26,2026-04-18,18:07:54.42,2026-04-18T18:07:54.4230000Z,2026-04-18T18:07:54.4230000Z,,v3,643-144949,643-146088,5437,"Vick, Carson",10107144,Right,GEO_COL1,b8d862c5-94d4-48b3-a090-97f1b9e473a3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-04-18,18:07:55.42,1,2,"Mayhew, Hogan",10120596,Right,GEO_COL1,"Harding, Evan",1000260396,Right,USC_PAC,Undefined,1,Top,0,1,0,Undefined,,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GEO_COL1,USC_PAC,JohnKurtzField,D2,NCAAPB,20260418-JohnKurtzField-1,a1a1e851-3cd1-11f1-a073-db2cb6cd3761,,,,,,,,,,,938b4490-4103-4a48-a681-5f77c131fb26,2026-04-18,18:07:55.42,2026-04-18T18:07:55.4230000Z,2026-04-18T18:07:55.4230000Z,,v3,643-144949,643-146088,5437,"Vick, Carson",10107144,Right,GEO_COL1,3435ee61-ea7e-41df-a7fc-e9065c717a8e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-04-18,18:07:56.42,1,3,"Mayhew, Hogan",10120596,Right,GEO_COL1,"Harding, Evan",1000260396,Right,USC_PAC,Undefined,1,Top,0,2,0,Undefined,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GEO_COL1,USC_PAC,JohnKurtzField,D2,NCAAPB,20260418-JohnKurtzField-1,a1a1e852-3cd1-11f1-a073-db2cb6cd3761,,,,,,,,,,,938b4490-4103-4a48-a681-5f77c131fb26,2026-04-18,18:07:56.42,2026-04-18T18:07:56.4230000Z,2026-04-18T18:07:56.4230000Z,,v3,643-144949,643-146088,5437,"Vick, Carson",10107144,Right,GEO_COL1,359dde11-521f-4d60-8da4-c9ac4e9044a2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-04-18,18:07:57.42,1,4,"Mayhew, Hogan",10120596,Right,GEO_COL1,"Harding, Evan",1000260396,Right,USC_PAC,Undefined,1,Top,0,2,1,Undefined,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GEO_COL1,USC_PAC,JohnKurtzField,D2,NCAAPB,20260418-JohnKurtzField-1,a1a1e853-3cd1-11f1-a073-db2cb6cd3761,,,,,,,,,,,938b4490-4103-4a48-a681-5f77c131fb26,2026-04-18,18:07:57.42,2026-04-18T18:07:57.4230000Z,2026-04-18T18:07:57.4230000Z,,v3,643-144949,643-146088,5437,"Vick, Carson",10107144,Right,GEO_COL1,6ec9bfdd-4bc5-49d7-b3e2-5851f004d9b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-04-18,18:07:58.42,1,5,"Mayhew, Hogan",10120596,Right,GEO_COL1,"Harding, Evan",1000260396,Right,USC_PAC,Undefined,1,Top,0,2,2,Undefined,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GEO_COL1,USC_PAC,JohnKurtzField,D2,NCAAPB,20260418-JohnKurtzField-1,a1a1e854-3cd1-11f1-a073-db2cb6cd3761,,,,,,,,,,,938b4490-4103-4a48-a681-5f77c131fb26,2026-04-18,18:07:58.42,2026-04-18T18:07:58.4230000Z,2026-04-18T18:07:58.4230000Z,,v3,643-144949,643-146088,5437,"Vick, Carson",10107144,Right,GEO_COL1,683a4314-353a-4da6-b584-4b91c68cc8a6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-04-18,18:07:59.42,1,6,"Mayhew, Hogan",10120596,Right,GEO_COL1,"Harding, Evan",1000260396,Right,USC_PAC,Undefined,1,Top,0,2,2,Undefined,,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GEO_COL1,USC_PAC,JohnKurtzField,D2,NCAAPB,20260418-JohnKurtzField-1,a1a20f60-3cd1-11f1-a073-db2cb6cd3761,,,,,,,,,,,938b4490-4103-4a48-a681-5f77c131fb26,2026-04-18,18:07:59.42,2026-04-18T18:07:59.4230000Z,2026-04-18T18:07:59.4230000Z,,v3,643-144949,643-146088,5437,"Vick, Carson",10107144,Right,GEO_COL1,e933373f-e3fa-4720-aa14-b85f222c7fce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-04-18,14:08:00.42,1,7,"Mayhew, Hogan",10120596,Right,GEO_COL1,"Harding, Evan",1000260396,Right,USC_PAC,Undefined,1,Top,0,3,2,Fastball,,BallCalled,Walk,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GEO_COL1,USC_PAC,JohnKurtzField,D2,NCAAPB,20260418-JohnKurtzField-1,79d9c260-3b51-11f1-b43e-031c80e1314e,,,,,,,,,,,938b4490-4103-4a48-a681-5f77c131fb26,2026-04-18,18:08:00.42,2026-04-18T14:08:00.4230000-04:00,2026-04-18T18:08:00.4230000Z,,v3,643-144949,643-146088,5437,"Vick, Carson",10107144,Right,GEO_COL1,ee4bfce0-d21a-4242-b142-71f6a9ee8cde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-04-18,14:08:01.42,2,1,"Mayhew, Hogan",10120596,Right,GEO_COL1,"Jennings, Chancellor",831447,Right,USC_PAC,Undefined,1,Top,0,0,0,Fastball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GEO_COL1,USC_PAC,JohnKurtzField,D2,NCAAPB,20260418-JohnKurtzField-1,827ff650-3b51-11f1-b43e-031c80e1314e,,,,,,,,,,,938b4490-4103-4a48-a681-5f77c131fb26,2026-04-18,18:08:01.42,2026-04-18T14:08:01.4230000-04:00,2026-04-18T18:08:01.4230000Z,,v3,643-144949,643-146088,5437,"Vick, Carson",10107144,Right,GEO_COL1,43da6ea7-4f9d-4dc2-9c7a-bc174d759f58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-04-18,14:08:02.42,2,2,"Mayhew, Hogan",10120596,Right,GEO_COL1,"Jennings, Chancellor",831447,Right,USC_PAC,Undefined,1,Top,0,0,1,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GEO_COL1,USC_PAC,JohnKurtzField,D2,NCAAPB,20260418-JohnKurtzField-1,84577570-3b51-11f1-b43e-031c80e1314e,,,,,,,,,,,938b4490-4103-4a48-a681-5f77c131fb26,2026-04-18,18:08:02.42,2026-04-18T14:08:02.4230000-04:00,2026-04-18T18:08:02.4230000Z,,v3,643-144949,643-146088,5437,"Vick, Carson",10107144,Right,GEO_COL1,fb49af73-c236-42f6-9486-57e2fbe71206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-04-18,14:08:03.42,2,3,"Mayhew, Hogan",10120596,Right,GEO_COL1,"Jennings, Chancellor",831447,Right,USC_PAC,Undefined,1,Top,0,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,84.78456,-0.412846,-0.220698,2051.021845,209.011228,1:00,6.13135,0.90888,6.0838,-20.3532,18.81958,9.64296,4.05329,1.50827,76.27448,-4.322159,1.516186,0.450468,,,,,,,,,,,,-4.98418,10.21453,-0.89653,50,6.08865,0.07837,-122.98014,-1.42347,-7.50517,28.2027,-16.79296,GEO_COL1,USC_PAC,JohnKurtzField,D2,NCAAPB,20260418-JohnKurtzField-1,8b1cdb70-3b51-11f1-b43e-031c80e1314e,83.674,,,8.51008,,,,,,,938b4490-4103-4a48-a681-5f77c131fb26,2026-04-18,18:08:03.42,2026-04-18T14:08:03.4230000-04:00,2026-04-18T18:08:03.4230000Z,,v3,643-144949,643-146088,5437,"Vick, Carson",10107144,Right,GEO_COL1,bb19cdf9-a06b-4955-b343-9d0d679ec15f,54.41104,-123.98758,14.10135,6.12879,-0.8236,-8.39648,-0.90412,0.34646,-3.75258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
