PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-18,13:06:46.89,1,1,"Shaver, Gage",1000294062,Left,LEE_UNI,"Robinson, Rashad",1000337222,Right,UNI_WES1,Undefined,1,Top,0,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,74.40904,4.304595,-2.381809,2251.529765,284.896026,3:30,4.80059,-2.59538,5.40285,-55.88755,-4.04969,21.53485,4.18793,-3.03392,67.65517,-5.902882,1.440223,0.518197,,,,,,,,,,,,-11.35001,-2.64847,2.79263,50,5.14645,3.63869,-107.68095,6.27126,-13.2813,19.28904,-35.27319,LEE_UNI,UNI_WES1,LeeUniversity,D2,Team,20260418-LeeUniversity-1,ea6d1ee0-3b48-11f1-ae88-7578104e48ec,72.73764,,,6.75386,,,,,,,6c7cf2fc-c3aa-45a7-b014-8c523b4dede4,2026-04-18,17:06:46.89,2026-04-18T13:06:46.8910000-04:00,2026-04-18T17:06:46.8910000Z,,v3,643-145172,643-146177,15228,"Caraballo, Nate",1000188954,Right,LEE_UNI,cc9b8389-1314-48e1-9697-6e357491a8d4,55.0985,-108.59041,9.64452,4.81156,7.93436,-17.63659,2.60631,4.26489,-6.64065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-18,13:07:02.33,1,2,"Shaver, Gage",1000294062,Left,LEE_UNI,"Robinson, Rashad",1000337222,Right,UNI_WES1,Undefined,1,Top,0,1,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.41944,1.532924,1.388029,2117.110543,270.877985,3:00,4.98977,-2.2794,5.79092,-42.78813,1.57906,6.81374,2.85087,-0.42011,72.08998,-6.40739,2.608186,0.479405,,,,,,,,,,,,-2.94921,0.82882,2.16118,50,5.09112,-3.0979,-116.4694,1.71512,-3.95537,26.69161,-31.06245,LEE_UNI,UNI_WES1,LeeUniversity,D2,Team,20260418-LeeUniversity-1,f39d1c40-3b48-11f1-ae88-7578104e48ec,78.62343,,,8.32946,,,,,,,6c7cf2fc-c3aa-45a7-b014-8c523b4dede4,2026-04-18,17:07:02.33,2026-04-18T13:07:02.3390000-04:00,2026-04-18T17:07:02.3390000Z,,v3,643-145172,643-146177,15228,"Caraballo, Nate",1000188954,Right,LEE_UNI,1b0670de-868a-4b5c-a175-09abac4f914b,54.70394,-117.54248,13.34581,4.99706,2.96391,-15.53123,2.28253,-2.93888,-1.97769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-18,13:07:18.63,1,3,"Shaver, Gage",1000294062,Left,LEE_UNI,"Robinson, Rashad",1000337222,Right,UNI_WES1,Undefined,1,Top,0,1,1,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.92006,-0.459819,2.865126,2133.945371,133.454063,10:30,5.08144,-2.20404,5.9761,-21.7706,13.9065,-13.3417,2.84042,-0.65759,80.25268,-4.585449,0.470059,0.429899,,,,,,,,,,,,7.74067,7.64807,1.9846,50,5.03308,-5.88762,-128.90678,-1.70566,12.85935,29.97271,-19.46853,LEE_UNI,UNI_WES1,LeeUniversity,D2,Team,20260418-LeeUniversity-1,fd46b670-3b48-11f1-ae88-7578104e48ec,87.67746,,,8.66738,,,,,,,6c7cf2fc-c3aa-45a7-b014-8c523b4dede4,2026-04-18,17:07:18.63,2026-04-18T13:07:18.6360000-04:00,2026-04-18T17:07:18.6360000Z,,v3,643-145172,643-146177,15228,"Caraballo, Nate",1000188954,Right,LEE_UNI,c68c08ce-6bf3-4329-a34e-8bd2f5c7a764,54.52161,-129.95387,14.98636,5.08078,-1.02553,-9.73427,2.19813,-6.33685,6.42967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-18,13:07:40.78,1,4,"Shaver, Gage",1000294062,Left,LEE_UNI,"Robinson, Rashad",1000337222,Right,UNI_WES1,Undefined,1,Top,0,1,2,Fastball,Slider,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,81.81634,1.246881,0.682477,2245.23798,301.136527,4:00,4.92421,-2.13976,5.70834,-45.76144,-2.68051,7.19949,2.27274,-0.90391,73.24216,-7.20592,1.971296,0.472404,,,,,,,,,,,,-3.37858,-1.25102,2.07821,50,5.001,-1.70995,-118.50792,1.00517,-4.67653,28.27695,-33.90571,LEE_UNI,UNI_WES1,LeeUniversity,D2,Team,20260418-LeeUniversity-1,0a8229f0-3b49-11f1-ae88-7578104e48ec,79.7885,,,8.57419,,,,,,,6c7cf2fc-c3aa-45a7-b014-8c523b4dede4,2026-04-18,17:07:40.78,2026-04-18T13:07:40.7890000-04:00,2026-04-18T17:07:40.7890000Z,,v3,643-145172,643-146177,15228,"Caraballo, Nate",1000188954,Right,LEE_UNI,75b3d72d-1270-48f8-ad2d-a09cfe747770,54.78737,-119.64477,14.13847,4.93319,2.36832,-16.95285,2.14318,-1.52194,-2.33826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-18,13:08:06.29,2,1,"Shaver, Gage",1000294062,Left,LEE_UNI,"Walburn, Hudson",824553,Right,UNI_WES1,Undefined,1,Top,1,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.09867,-0.161767,3.605761,1594.766723,114.292798,9:45,4.75939,-2.23526,6.03418,-35.16486,7.56622,-12.77465,1.67889,0.04358,72.77396,-6.776364,1.311014,0.470482,,,,,,,,,,,,7.84315,4.49823,1.95974,50,4.72848,-6.95649,-118.6494,-1.41935,10.79745,29.94049,-25.98147,LEE_UNI,UNI_WES1,LeeUniversity,D2,Team,20260418-LeeUniversity-1,19b46460-3b49-11f1-ae88-7578104e48ec,80.11446,,,9.32471,,,,,,,6c7cf2fc-c3aa-45a7-b014-8c523b4dede4,2026-04-18,17:08:06.29,2026-04-18T13:08:06.2940000-04:00,2026-04-18T17:08:06.2940000Z,,v3,643-145172,643-146177,15228,"Caraballo, Nate",1000188954,Right,LEE_UNI,ef881327-3ae0-4f81-913f-3dcda5883366,54.45829,-119.76914,14.97025,4.7634,-0.44767,-12.99073,2.22745,-7.3603,5.39873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-18,13:08:22.10,2,2,"Shaver, Gage",1000294062,Left,LEE_UNI,"Walburn, Hudson",824553,Right,UNI_WES1,Undefined,1,Top,1,1,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.95974,-1.934288,3.924976,2188.964219,135.25386,10:30,5.18103,-1.99576,5.8773,-22.34253,12.75379,-11.39363,1.51778,0.7058,81.31953,-6.136499,1.88635,0.426385,,,,,,,,,,,,6.99847,7.49059,1.68443,50,5.01153,-8.42764,-130.1571,-5.12629,11.8648,30.30618,-19.47496,LEE_UNI,UNI_WES1,LeeUniversity,D2,Team,20260418-LeeUniversity-1,2319a290-3b49-11f1-ae88-7578104e48ec,88.39995,,,8.64022,,,,,,,6c7cf2fc-c3aa-45a7-b014-8c523b4dede4,2026-04-18,17:08:22.10,2026-04-18T13:08:22.1070000-04:00,2026-04-18T17:08:22.1070000Z,,v3,643-145172,643-146177,15228,"Caraballo, Nate",1000188954,Right,LEE_UNI,dc43786c-2a2e-41b6-af8e-19a8e0f8ba50,54.61887,-131.22817,15.15309,5.18053,-4.43802,-9.73748,1.98969,-8.84696,5.9324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-18,13:08:39.84,2,3,"Shaver, Gage",1000294062,Left,LEE_UNI,"Walburn, Hudson",824553,Right,UNI_WES1,Undefined,1,Top,1,2,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.57134,2.508478,2.103656,2061.11236,256.388619,2:30,4.85971,-2.13053,5.51167,-41.66376,2.44284,3.99063,3.73657,0.1701,73.05736,-5.160144,2.813451,0.477995,,,,,,,,,,,,-1.35555,0.98394,1.94438,50,5.05124,-4.4523,-116.69642,3.69155,-1.85461,23.56883,-30.82788,LEE_UNI,UNI_WES1,LeeUniversity,D2,Team,20260418-LeeUniversity-1,2db8e760-3b49-11f1-ae88-7578104e48ec,78.85535,,,7.51399,,,,,,,6c7cf2fc-c3aa-45a7-b014-8c523b4dede4,2026-04-18,17:08:39.84,2026-04-18T13:08:39.8430000-04:00,2026-04-18T17:08:39.8430000Z,,v3,643-145172,643-146177,15228,"Caraballo, Nate",1000188954,Right,LEE_UNI,446059b5-f5a9-450f-9963-952824207473,54.98477,-117.69888,11.78442,4.86635,5.00275,-15.41394,2.13207,-4.37342,-0.9273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-18,13:08:58.02,2,4,"Shaver, Gage",1000294062,Left,LEE_UNI,"Walburn, Hudson",824553,Right,UNI_WES1,Undefined,1,Top,1,3,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.34748,-0.835738,3.047372,2054.802247,122.017192,10:00,4.93849,-2.04715,5.9598,-25.73773,10.5119,-14.7154,2.01755,-0.44491,79.69002,-5.672348,0.405814,0.433334,,,,,,,,,,,,8.45886,6.04662,1.81292,50,4.8579,-6.18314,-128.00746,-2.70168,13.83449,29.95198,-22.2848,LEE_UNI,UNI_WES1,LeeUniversity,D2,Team,20260418-LeeUniversity-1,38818620-3b49-11f1-ae88-7578104e48ec,86.98236,,,8.65746,,,,,,,6c7cf2fc-c3aa-45a7-b014-8c523b4dede4,2026-04-18,17:08:58.02,2026-04-18T13:08:58.0250000-04:00,2026-04-18T17:08:58.0250000Z,,v3,643-145172,643-146177,15228,"Caraballo, Nate",1000188954,Right,LEE_UNI,76dddf18-442c-42e1-beb5-ed054711628f,54.53677,-129.06464,14.97599,4.93938,-1.91513,-11.1424,2.03978,-6.67143,6.91725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-18,13:09:14.92,2,5,"Shaver, Gage",1000294062,Left,LEE_UNI,"Walburn, Hudson",824553,Right,UNI_WES1,Undefined,1,Top,1,3,1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.02513,-1.055028,3.243467,2174.376666,129.673594,10:15,5.02466,-2.09495,5.97656,-23.43383,12.14926,-13.13489,2.09213,-0.17957,80.5187,-5.469491,0.886019,0.429332,,,,,,,,,,,,7.69745,6.93028,1.84519,50,4.92822,-6.74642,-128.99822,-3.12288,12.82792,29.58628,-20.62466,LEE_UNI,UNI_WES1,LeeUniversity,D2,Team,20260418-LeeUniversity-1,42a1afe0-3b49-11f1-ae88-7578104e48ec,87.79322,,,8.50644,,,,,,,6c7cf2fc-c3aa-45a7-b014-8c523b4dede4,2026-04-18,17:09:14.92,2026-04-18T13:09:14.9280000-04:00,2026-04-18T17:09:14.9280000Z,,v3,643-145172,643-146177,15228,"Caraballo, Nate",1000188954,Right,LEE_UNI,8b648cf4-1dc5-47c8-9e15-4a2968ab7850,54.52033,-130.03084,14.79314,5.02465,-2.40304,-10.31233,2.08846,-7.19414,6.41396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-18,13:09:33.51,2,6,"Shaver, Gage",1000294062,Left,LEE_UNI,"Walburn, Hudson",824553,Right,UNI_WES1,Undefined,1,Top,1,3,2,Slider,Slider,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,81.47636,0.711151,1.371453,2184.854134,279.822944,3:15,4.77006,-2.17133,5.72652,-42.77124,0.21083,7.61843,1.86837,-0.25887,73.70989,-7.177741,2.735026,0.471862,,,,,,,,,,,,-3.38524,0.40661,2.05234,50,4.80375,-3.14054,-118.12517,0.01854,-4.70675,25.85442,-31.60873,LEE_UNI,UNI_WES1,LeeUniversity,D2,Team,20260418-LeeUniversity-1,4db624b0-3b49-11f1-ae88-7578104e48ec,79.8802,,,7.76647,,,,,,,6c7cf2fc-c3aa-45a7-b014-8c523b4dede4,2026-04-18,17:09:33.51,2026-04-18T13:09:33.5120000-04:00,2026-04-18T17:09:33.5120000Z,,v3,643-145172,643-146177,15228,"Caraballo, Nate",1000188954,Right,LEE_UNI,50e7dca5-cae8-4d20-94f9-df7f420f9740,54.76979,-119.16458,12.92721,4.77746,1.28927,-15.80436,2.17479,-2.95132,-2.35338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
