PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-18,12:59:29.38,1,1,"Ritchey, Rece",695313,Left,MIL_UNI2,"McTigue, Slade",10179691,Left,MAN_MOU,Undefined,1,Top,0,0,0,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.33633,-1.051524,4.247959,2445.640116,112.394312,9:45,5.73417,-2.47577,6.06044,-24.77812,9.49351,-19.69891,2.69332,-0.17853,81.33621,-5.737492,0.71083,0.421346,59.52336,3.034423,-44.732382,4281.012056,,,,46.47296,45.6702,-47.323636,0.568734,11.5528,5.65567,2.15549,50,5.63944,-8.93187,-132.03659,-3.24058,19.84945,35.11483,-22.45675,MIL_UNI2,MAN_MOU,MillersvilleU,D2,Team,20260418-MillersvilleU-2,f73a5cb0-3b47-11f1-b9ac-05e41e4c9ec1,89.45724,2.81076,,10.00012,,,,-0.31231,2.48275,0.07922,39b39e2f-7643-4d56-8500-e366d696f6da,2026-04-18,16:59:29.38,2026-04-18T12:59:29.3824512-04:00,2026-04-18T16:59:29.3824512Z,GroundBall,v3,643-145331,643-145255,,"Yost, Maddox",1000523981,Right,MIL_UNI2,920c6089-0fe6-44d8-abda-9b2d08ba817b,54.43361,-133.21048,17.55742,5.73522,-2.48985,-11.22837,2.46517,-9.59544,9.92472,,-0.29992,61.63804,-10.0949,,,,,,,2.49117,4.42389,-15.50521,,,,,,,0.08126,-61.40451,2.08061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
2,2026-04-18,12:59:54.35,1,2,"Ritchey, Rece",695313,Left,MIL_UNI2,"McTigue, Slade",10179691,Left,MAN_MOU,Undefined,1,Top,0,0,1,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.91291,-0.641688,3.367242,2407.716947,103.021723,9:30,5.73044,-2.43627,6.13014,-27.76604,6.05646,-21.16915,2.82243,-1.08441,82.45475,-5.833477,-0.445716,0.418576,34.90942,9.500754,-48.894495,4884.90785,,,,35.65051,35.07407,-49.74384,0.76357,11.94906,3.66697,2.18953,50,5.66705,-6.86688,-131.86773,-2.41247,20.8427,30.4989,-25.77775,MIL_UNI2,MAN_MOU,MillersvilleU,D2,Team,20260418-MillersvilleU-2,0612b750-3b48-11f1-b9ac-05e41e4c9ec1,90.04925,3.80658,,8.45816,,,,0.13173,2.69038,1.07955,39b39e2f-7643-4d56-8500-e366d696f6da,2026-04-18,16:59:54.35,2026-04-18T12:59:54.3553536-04:00,2026-04-18T16:59:54.3553536Z,GroundBall,v3,643-145331,643-145255,,"Yost, Maddox",1000523981,Right,MIL_UNI2,3d6bdad4-5c28-4cf8-987a-208230fb19aa,54.36844,-132.87424,15.24945,5.73263,-1.56176,-12.88888,2.4275,-7.55472,10.42135,105.840137,0.13173,33.20035,-4.33215,0.40418,-0.94903,1.91271,-2.16367,1.28318,-0.31007,2.69038,8.45111,-16.16867,0.65513,0.01815,-0.08918,0.04384,0.00603,-0.011,1.07955,-38.05056,1.27309,-0.00037,0.35329,-0.81595,0.91971,-0.53447,0.12614,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2026-04-18,13:00:21.94,1,3,"Ritchey, Rece",695313,Left,MIL_UNI2,"McTigue, Slade",10179691,Left,MAN_MOU,Undefined,1,Top,0,0,2,Cutter,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.32722,0.149575,3.766127,2641.69984,154.050634,11:15,5.76891,-2.40771,5.62207,-18.53525,16.45631,-7.42327,4.36419,0.49322,81.66046,-3.363134,2.44536,0.425749,,,,,,,,,,,,4.8615,8.6189,2.09095,50,5.76999,-8.26887,-130.75959,-0.24028,8.3494,29.6396,-17.37148,MIL_UNI2,MAN_MOU,MillersvilleU,D2,Team,20260418-MillersvilleU-2,167ed150-3b48-11f1-892c-178f7daed025,88.53217,,,8.66676,,,,,,,39b39e2f-7643-4d56-8500-e366d696f6da,2026-04-18,17:00:21.94,2026-04-18T13:00:21.9489280-04:00,2026-04-18T17:00:21.9489280Z,,v3,643-145331,643-145255,,"Yost, Maddox",1000523981,Right,MIL_UNI2,659ec4b8-bb98-4992-abf5-9c93ec15294c,54.87232,-131.85939,14.8198,5.76695,0.4043,-8.68574,2.40352,-8.57868,4.1747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-18,13:00:40.79,1,4,"Ritchey, Rece",695313,Left,MIL_UNI2,"McTigue, Slade",10179691,Left,MAN_MOU,Undefined,1,Top,0,1,2,Sinker,Sinker,InPlay,Undefined,GroundBall,Single,0,0,,91.08964,-2.052091,4.426039,2455.543499,121.308995,10:00,5.67208,-2.33193,5.98812,-23.66867,10.55107,-15.27485,1.79133,0.50535,82.11231,-6.500037,1.688538,0.421027,81.03152,-13.297762,3.693139,,,,,8.41974,7.79753,-1.633444,0.065691,9.27024,6.44567,1.99062,50,5.49681,-9.53748,-131.72949,-5.50978,16.03745,32.01714,-21.02307,MIL_UNI2,MAN_MOU,MillersvilleU,D2,Team,20260418-MillersvilleU-2,21d7c930-3b48-11f1-892c-178f7daed025,89.52507,1.79899,,8.97733,,,,0.82054,1.79899,-0.73029,39b39e2f-7643-4d56-8500-e366d696f6da,2026-04-18,17:00:40.79,2026-04-18T13:00:40.7907328-04:00,2026-04-18T17:00:40.7907328Z,GroundBall,v3,643-145331,643-145255,,"Yost, Maddox",1000523981,Right,MIL_UNI2,f2404280-f2f4-4bc9-bfee-ee156579dbc9,54.50837,-132.82073,16.00857,5.6724,-4.79324,-10.51154,2.325,-10.08409,8.01873,180,0.81833,115.62805,,,,,,,,1.79951,-27.38541,,,,,,,,-0.73043,7.46343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
5,2026-04-18,13:01:23.82,2,1,"Ritchey, Rece",695313,Left,MIL_UNI2,"Sekulski, Ryan",10297590,Right,MAN_MOU,Undefined,1,Top,0,0,0,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,79.97754,0.667802,1.281336,2460.773353,269.583853,3:00,5.61448,-2.40922,5.4222,-43.6542,1.82843,14.51328,2.60232,0.00061,71.87601,-7.361725,3.863517,0.485394,,,,,,,,,,,,-6.81099,1.21221,2.28524,50,5.64397,-3.18873,-115.81336,-0.14084,-9.02496,26.54537,-30.56782,MIL_UNI2,MAN_MOU,MillersvilleU,D2,Team,20260418-MillersvilleU-2,3b79acf0-3b48-11f1-892c-178f7daed025,77.65335,,,8.10153,,,,,,,39b39e2f-7643-4d56-8500-e366d696f6da,2026-04-18,17:01:23.82,2026-04-18T13:01:23.8256640-04:00,2026-04-18T17:01:23.8256640Z,,v3,643-145331,643-145255,,"Yost, Maddox",1000523981,Right,MIL_UNI2,e7b9f66a-2ba6-4137-89c5-f7673dd961e4,55.07265,-116.97028,13.27269,5.62107,1.19138,-15.28391,2.41564,-2.7954,-4.51248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-18,13:01:44.56,2,2,"Ritchey, Rece",695313,Left,MIL_UNI2,"Sekulski, Ryan",10297590,Right,MAN_MOU,Undefined,1,Top,0,0,1,Slider,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,79.00976,0.18903,1.856768,2487.881708,294.608093,3:45,5.5985,-2.5555,5.32842,-47.13333,-0.83256,5.34563,1.84819,-0.36721,71.83305,-8.407951,2.806911,0.48974,,,,,,,,,,,,-2.08717,0.00575,2.38368,50,5.58185,-3.92814,-114.5097,-1.25029,-2.73347,23.83663,-32.1665,MIL_UNI2,MAN_MOU,MillersvilleU,D2,Team,20260418-MillersvilleU-2,47ce1bd0-3b48-11f1-892c-178f7daed025,76.96421,,,7.17671,,,,,,,39b39e2f-7643-4d56-8500-e366d696f6da,2026-04-18,17:01:44.56,2026-04-18T13:01:44.5693952-04:00,2026-04-18T17:01:44.5693952Z,,v3,643-145331,643-145255,,"Yost, Maddox",1000523981,Right,MIL_UNI2,ddf76bf0-2291-4c74-90e3-672252e83d3f,55.16843,-115.58056,11.91832,5.60556,0.1948,-16.08325,2.55739,-3.80534,-1.36674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-18,13:02:06.05,2,3,"Ritchey, Rece",695313,Left,MIL_UNI2,"Sekulski, Ryan",10297590,Right,MAN_MOU,Undefined,1,Top,0,0,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,80.15297,-0.949226,1.616557,2512.322103,261.417195,2:45,5.40856,-2.65582,5.37868,-41.68463,3.84795,13.71875,1.04458,0.00321,72.01872,-8.600153,4.056891,0.48566,,,,,,,,,,,,-6.35075,2.74095,2.50092,50,5.29448,-3.82744,-116.00817,-3.32997,-8.40752,27.47114,-28.54543,MIL_UNI2,MAN_MOU,MillersvilleU,D2,Team,20260418-MillersvilleU-2,549f34c0-3b48-11f1-892c-178f7daed025,77.61069,,,8.13425,,,,,,,39b39e2f-7643-4d56-8500-e366d696f6da,2026-04-18,17:02:06.05,2026-04-18T13:02:06.0592640-04:00,2026-04-18T17:02:06.0592640Z,,v3,643-145331,643-145255,,"Yost, Maddox",1000523981,Right,MIL_UNI2,fddc1f3a-713f-409b-8be3-965ff20dc624,55.1173,-117.2137,13.73557,5.41312,-2.0773,-14.27271,2.66079,-3.45849,-4.20376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-18,13:02:36.72,3,1,"Ritchey, Rece",695313,Left,MIL_UNI2,"Tadic, Peter",1000092851,Right,MAN_MOU,Undefined,1,Top,1,0,0,Cutter,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.59266,0.310882,1.354796,2475.835491,160.22667,11:15,5.6651,-2.47107,5.53213,-21.43887,14.77312,-4.88508,4.16921,-1.61153,80.53094,-3.713288,0.484251,0.433109,,,,,,,,,,,,2.83091,7.70965,2.35665,50,5.67804,-2.81852,-128.52026,-0.01002,4.71903,27.46966,-19.32243,MIL_UNI2,MAN_MOU,MillersvilleU,D2,Team,20260418-MillersvilleU-2,66deaf30-3b48-11f1-892c-178f7daed025,87.02753,,,8.06172,,,,,,,39b39e2f-7643-4d56-8500-e366d696f6da,2026-04-18,17:02:36.72,2026-04-18T13:02:36.7209472-04:00,2026-04-18T17:02:36.7209472Z,,v3,643-145331,643-145255,,"Yost, Maddox",1000523981,Right,MIL_UNI2,4aff6706-2fd0-4d42-ba1c-5308e47f93c5,54.96228,-129.57655,13.73483,5.66414,0.73298,-9.66121,2.46852,-2.99998,2.35951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-18,13:02:56.25,3,2,"Ritchey, Rece",695313,Left,MIL_UNI2,"Tadic, Peter",1000092851,Right,MAN_MOU,Undefined,1,Top,1,1,0,Sinker,Sinker,InPlay,Undefined,LineDrive,Out,1,0,,88.63618,-0.641277,3.146385,2401.278672,117.616255,10:00,5.76421,-2.33266,5.89432,-26.50183,9.84851,-16.16737,2.95942,-0.75582,79.39965,-5.625382,0.247941,0.433936,93.95027,17.802873,18.099318,3088.756358,102.01942,29.54831,41.13439,295.86561,290.02538,27.83197,3.189094,9.32044,5.65465,2.08839,50,5.69759,-6.35849,-128.33339,-2.30844,15.2056,31.94437,-22.94889,MIL_UNI2,MAN_MOU,MillersvilleU,D2,Team,20260418-MillersvilleU-2,728774c0-3b48-11f1-892c-178f7daed025,86.86177,33.56982,,9.23653,,,,0.32715,2.91187,0.74628,39b39e2f-7643-4d56-8500-e366d696f6da,2026-04-18,17:02:56.25,2026-04-18T13:02:56.2571776-04:00,2026-04-18T17:02:56.2571776Z,LineDrive,v3,643-145331,643-145255,,"Yost, Maddox",1000523981,Right,MIL_UNI2,152077ae-20bf-43fc-8166-0e9f691ede8b,54.6009,-129.47357,15.97218,5.76536,-1.48933,-11.47445,2.32503,-6.90121,7.6028,231.966577,0.32708,124.70835,-21.79039,4.43804,-0.94518,0.20156,-0.03904,0.00474,-0.00021,2.91192,42.12493,-15.36706,0.62185,0.02293,-0.03814,0.01298,-0.00136,-0,0.74648,40.74602,3.25311,-1.79632,0.70524,-0.26894,0.07917,-0.0135,0.00097,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2026-04-18,13:03:35.61,4,1,"Ritchey, Rece",695313,Left,MIL_UNI2,"Wells, Logan",10915305,Right,MAN_MOU,Undefined,1,Top,2,0,0,Cutter,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,87.35749,-1.276267,4.248475,2428.197496,169.957631,11:45,5.65841,-2.30121,5.66235,-28.27513,8.84469,-1.35791,2.10859,1.5545,80.02072,-6.492549,4.006831,0.438505,,,,,,,,,,,,1.91563,5.1641,1.94234,50,5.53221,-9.34707,-126.55608,-3.78986,3.10016,26.34753,-23.81678,MIL_UNI2,MAN_MOU,MillersvilleU,D2,Team,20260418-MillersvilleU-2,89f7d280-3b48-11f1-892c-178f7daed025,85.95673,,,7.33677,,,,,,,39b39e2f-7643-4d56-8500-e366d696f6da,2026-04-18,17:03:35.61,2026-04-18T13:03:35.6114432-04:00,2026-04-18T17:03:35.6114432Z,,v3,643-145331,643-145255,,"Yost, Maddox",1000523981,Right,MIL_UNI2,43531c3f-8bc8-4f67-9721-2e257fe6bc70,54.83829,-127.55938,13.17376,5.65926,-2.88293,-11.90839,2.30052,-9.46512,1.55008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
