PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-19,13:05:53.77,1,1,"Wallace, Zack",1000301399,Right,BAY_BEA,"Griffin, Colton",823055,Left,TCU_HFG,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.56261,-2.149827,-1.806927,2401.297842,191.612954,12:30,5.99164,1.68113,6.09482,-12.7828,19.76859,3.83819,2.93589,0.32901,84.14901,-4.630897,-1.11599,0.410634,,,,,,,,,,,,-2.48886,11.10918,-1.54372,50,5.81878,4.06741,-134.2802,-5.3599,-4.52231,30.38916,-11.98844,BAY_BEA,TCU_HFG,Baylor,D1,BIG12,20260419-Baylor-1,685f2c40-3c1a-11f1-8c5c-21d3ff909ee2,91.79053,,,8.4136,,,,,,,a0c3d0ee-3d03-4d4b-b526-598df094fff1,2026-04-19,18:05:53.77,2026-04-19T13:05:53.7705984-05:00,2026-04-19T18:05:53.7705984Z,,v3,3033,5045,5d901e823e2d4fdb863cd02396e22a2d,"Kennett, JJ",831097,Right,BAY_BEA,955b65fd-e40a-4a33-99ee-36692a268065,54.40475,-135.27337,15.19458,5.98755,-4.96809,-5.99422,-1.67906,4.2152,-2.26115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-19,13:06:09.29,1,2,"Wallace, Zack",1000301399,Right,BAY_BEA,"Griffin, Colton",823055,Left,TCU_HFG,Undefined,1,Top,0,0,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,92.67735,-2.450648,-2.290083,2421.293563,192.559472,12:30,5.91443,1.84149,6.00046,-12.19572,20.41163,4.30335,2.62402,0.07686,84.27812,-4.820448,-1.517211,0.410988,,,,,,,,,,,,-2.85217,11.4778,-1.66335,50,5.71428,5.18069,-134.35984,-6.05198,-5.1921,30.24152,-11.27975,BAY_BEA,TCU_HFG,Baylor,D1,BIG12,20260419-Baylor-1,71a326d0-3c1a-11f1-8c5c-21d3ff909ee2,91.71181,,,8.39923,,,,,,,a0c3d0ee-3d03-4d4b-b526-598df094fff1,2026-04-19,18:06:09.29,2026-04-19T13:06:09.2997120-05:00,2026-04-19T18:06:09.2997120Z,,v3,3033,5045,5d901e823e2d4fdb863cd02396e22a2d,"Kennett, JJ",831097,Right,BAY_BEA,fb78e9c6-5c2e-4c24-b7c3-8f71f9180e8c,54.49888,-135.36866,15.12076,5.90989,-5.6757,-5.63988,-1.83906,5.35389,-2.59605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-19,13:06:26.20,1,3,"Wallace, Zack",1000301399,Right,BAY_BEA,"Griffin, Colton",823055,Left,TCU_HFG,Undefined,1,Top,0,0,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.46573,-3.154414,-2.594286,2420.362608,187.529103,12:15,5.93585,1.6166,6.09369,-11.11264,20.92269,2.62087,2.08594,-0.56641,84.92669,-5.328471,-2.123032,0.407367,80.24311,59.660393,-32.541407,,74.89313,116.14891,-80.56659,201.99757,201.99757,-51.747991,5.189147,-2.12299,12.05839,-1.41786,50,5.68631,6.02346,-135.43162,-7.73323,-3.91773,31.35023,-9.92168,BAY_BEA,TCU_HFG,Baylor,D1,BIG12,20260419-Baylor-1,7bb323f0-3c1a-11f1-8c5c-21d3ff909ee2,92.52694,116.30062,,8.53904,,,,1.15798,2.23751,0.51685,a0c3d0ee-3d03-4d4b-b526-598df094fff1,2026-04-19,18:06:26.20,2026-04-19T13:06:26.2047744-05:00,2026-04-19T18:06:26.2047744Z,Popup,v3,3033,5045,5d901e823e2d4fdb863cd02396e22a2d,"Kennett, JJ",831097,Right,BAY_BEA,5e714928-e1e0-4e67-8d22-270010abf2f1,54.40774,-136.44813,15.67512,5.93183,-7.41153,-4.96084,-1.61523,6.15049,-1.95886,142.098504,1.18631,49.51066,-11.06069,-0.84452,3.00384,-1.52962,0.3736,-0.04502,0.00214,2.26186,101.1116,-26.22113,0.68311,1.32469,-0.64759,0.13792,-0.014,0.00054,0.52045,-32.11412,-2.76296,0.06872,1.35066,-0.86073,0.24566,-0.03346,0.00176,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
4,2026-04-19,13:07:03.54,1,4,"Wallace, Zack",1000301399,Right,BAY_BEA,"Griffin, Colton",823055,Left,TCU_HFG,Undefined,1,Top,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.59478,-3.723397,-3.057392,2403.815036,193.22665,12:30,6.00112,1.77101,6.17928,-13.3956,18.77773,4.13477,1.43639,-0.7107,84.42817,-6.320726,-2.312956,0.408244,,,,,,,,,,,,-3.10937,11.23386,-1.54166,50,5.71193,7.04947,-135.36905,-9.1612,-5.68421,33.6358,-11.63763,BAY_BEA,TCU_HFG,Baylor,D1,BIG12,20260419-Baylor-1,91f5d720-3c1a-11f1-8c5c-21d3ff909ee2,92.32828,,,9.16661,,,,,,,a0c3d0ee-3d03-4d4b-b526-598df094fff1,2026-04-19,18:07:03.54,2026-04-19T13:07:03.5470336-05:00,2026-04-19T18:07:03.5470336Z,,v3,3033,5045,5d901e823e2d4fdb863cd02396e22a2d,"Kennett, JJ",831097,Right,BAY_BEA,de17cd26-516f-4df1-824b-22a29eaaecc1,54.31992,-136.43822,16.8179,5.99726,-8.79128,-5.81882,-1.76861,7.23015,-2.8421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-19,13:07:22.18,1,5,"Wallace, Zack",1000301399,Right,BAY_BEA,"Griffin, Colton",823055,Left,TCU_HFG,Undefined,1,Top,0,1,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,94.27825,-2.634972,-2.667047,2455.642425,196.91786,12:30,5.89174,1.81171,6.1327,-12.38686,19.02328,5.46185,2.41952,-0.20018,85.64649,-5.039387,-1.684023,0.403372,79.22788,56.1178,-53.471194,5001.377318,44.05949,102.81237,-100.79053,208.23105,87.19101,-71.821314,4.850032,-3.61158,10.92382,-1.61057,50,5.68356,6.12955,-136.67281,-6.61574,-6.78823,31.89523,-11.642,BAY_BEA,TCU_HFG,Baylor,D1,BIG12,20260419-Baylor-1,9d0a9a10-3c1a-11f1-8c5c-21d3ff909ee2,93.44327,103.4326,,8.63176,,,,1.06749,2.33071,0.22143,a0c3d0ee-3d03-4d4b-b526-598df094fff1,2026-04-19,18:07:22.18,2026-04-19T13:07:22.1811200-05:00,2026-04-19T18:07:22.1811200Z,Popup,v3,3033,5045,5d901e823e2d4fdb863cd02396e22a2d,"Kennett, JJ",831097,Right,BAY_BEA,2edc2a08-e3d6-471a-a56c-8253158fe762,54.36866,-137.68855,15.94762,5.88834,-6.24499,-5.821,-1.80922,6.34573,-3.39412,142.327845,1.0914,38.03693,-12.22775,0.14032,2.63739,-1.48513,0.3824,-0.04776,0.00234,2.33977,96.29896,-27.59976,2.50905,-0.07091,-0.04338,-0.01044,0.00528,-0.00048,0.22526,-52.16867,1.55333,-0.46507,1.14131,-0.74564,0.22922,-0.03364,0.0019,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
6,2026-04-19,13:07:46.42,1,6,"Wallace, Zack",1000301399,Right,BAY_BEA,"Griffin, Colton",823055,Left,TCU_HFG,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.70519,-0.56037,-1.642128,2455.218679,197.029329,12:30,5.9362,1.71323,6.1641,-14.03391,17.97899,5.1467,4.24882,0.62472,84.1089,-3.297092,-0.714303,0.407225,,,,,,,,,,,,-3.15914,9.75945,-1.59097,50,5.88623,3.66195,-135.87053,-1.68584,-5.80454,34.51947,-14.24226,BAY_BEA,TCU_HFG,Baylor,D1,BIG12,20260419-Baylor-1,ab84f630-3c1a-11f1-8c5c-21d3ff909ee2,92.55934,,,9.59629,,,,,,,a0c3d0ee-3d03-4d4b-b526-598df094fff1,2026-04-19,18:07:46.42,2026-04-19T13:07:46.4248320-05:00,2026-04-19T18:07:46.4248320Z,,v3,3033,5045,5d901e823e2d4fdb863cd02396e22a2d,"Kennett, JJ",831097,Right,BAY_BEA,f5c320d6-efd9-49ac-b076-26c971923f2e,54.33278,-136.9669,17.25973,5.93259,-1.23349,-7.12113,-1.71021,3.8463,-2.90227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-19,13:08:02.55,1,7,"Wallace, Zack",1000301399,Right,BAY_BEA,"Griffin, Colton",823055,Left,TCU_HFG,Undefined,1,Top,0,2,2,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,93.17231,-2.800508,-2.306193,2438.060379,197.866284,12:30,5.87316,1.65636,6.0394,-14.93859,17.99107,5.37248,2.03092,-0.03255,83.05268,-5.701796,-1.340267,0.413014,96.83295,25.278149,-4.44333,3204.081669,109.07847,46.85297,-14.20852,340.23349,338.91551,-15.217528,4.262839,-3.57984,10.6169,-1.47913,50,5.64637,5.18795,-134.77078,-7.00046,-6.40518,36.70642,-13.17792,BAY_BEA,TCU_HFG,Baylor,D1,BIG12,20260419-Baylor-1,b5205f90-3c1a-11f1-8c5c-21d3ff909ee2,91.26185,61.88842,,10.11963,,,,1.07984,2.06593,0.03637,a0c3d0ee-3d03-4d4b-b526-598df094fff1,2026-04-19,18:08:02.55,2026-04-19T13:08:02.5526784-05:00,2026-04-19T18:08:02.5526784Z,LineDrive,v3,3033,5045,5d901e823e2d4fdb863cd02396e22a2d,"Kennett, JJ",831097,Right,BAY_BEA,34525eb9-9f6c-4a62-8c11-001614d1a71d,54.45846,-135.97967,18.35321,5.86978,-6.56645,-6.58896,-1.65347,5.3989,-3.20259,146.733818,1.07944,128.04304,-25.34633,5.98304,-1.18125,0.18837,-0.02113,0.00122,-1E-05,2.06677,60.62814,-16.76089,1.03906,-0.32955,0.13383,-0.03719,0.00573,-0.00036,0.03622,-9.94661,-5.28404,1.28225,-0.27015,0.0416,-0.0038,7E-05,1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
8,2026-04-19,13:08:39.93,2,1,"Wallace, Zack",1000301399,Right,BAY_BEA,"Cramer, Cole",823144,Right,TCU_HFG,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.49121,-3.394533,-1.861034,2330.566628,205.25359,12:45,6.05449,1.33254,6.27531,-16.44119,16.09576,7.06059,1.54982,0.20472,84.02679,-6.534607,-0.584887,0.410544,,,,,,,,,,,,-4.22335,9.7193,-1.19819,50,5.79505,4.05937,-134.06096,-8.41804,-7.61969,31.31681,-14.63868,BAY_BEA,TCU_HFG,Baylor,D1,BIG12,20260419-Baylor-1,cb66e350-3c1a-11f1-8c5c-21d3ff909ee2,91.81094,,,8.46442,,,,,,,a0c3d0ee-3d03-4d4b-b526-598df094fff1,2026-04-19,18:08:39.93,2026-04-19T13:08:39.9340032-05:00,2026-04-19T18:08:39.9340032Z,,v3,3033,5045,5d901e823e2d4fdb863cd02396e22a2d,"Kennett, JJ",831097,Right,BAY_BEA,a854ea4b-1c82-46cc-94fb-8f72e5c2bdf1,54.2255,-135.04444,15.65841,6.0522,-7.95832,-7.31934,-1.32943,4.29866,-3.80985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-19,13:08:55.84,2,2,"Wallace, Zack",1000301399,Right,BAY_BEA,"Cramer, Cole",823144,Right,TCU_HFG,Undefined,1,Top,1,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.14278,-2.324615,-1.433952,2658.084241,97.730948,9:15,5.83713,1.81826,5.63088,-40.75841,2.90484,-9.69347,0.26963,-0.32783,73.71466,-9.784417,-3.168781,0.475586,,,,,,,,,,,,4.46819,2.67878,-1.68967,50,5.61298,3.32328,-117.53974,-6.12614,6.13024,26.28886,-28.49884,BAY_BEA,TCU_HFG,Baylor,D1,BIG12,20260419-Baylor-1,d4ec7ac0-3c1a-11f1-8c5c-21d3ff909ee2,79.25466,,,7.42812,,,,,,,a0c3d0ee-3d03-4d4b-b526-598df094fff1,2026-04-19,18:08:55.84,2026-04-19T13:08:55.8451712-05:00,2026-04-19T18:08:55.8451712Z,,v3,3033,5045,5d901e823e2d4fdb863cd02396e22a2d,"Kennett, JJ",831097,Right,BAY_BEA,e5166f5d-fae2-4e66-be45-82bae6e0704c,54.87073,-118.62413,13.14443,5.84143,-4.9506,-14.24942,-1.82154,3.07041,3.06512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-19,13:09:11.90,2,3,"Wallace, Zack",1000301399,Right,BAY_BEA,"Cramer, Cole",823144,Right,TCU_HFG,Undefined,1,Top,1,1,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.29183,-2.078587,-2.277597,2364.727344,208.649258,1:00,6.13471,1.2769,6.14676,-15.84402,17.15662,8.71563,2.8912,-0.10262,83.16295,-5.132364,-0.707149,0.413459,76.81738,26.945631,146.052828,3907.128853,,,,,59.65384,,,-5.23126,9.87851,-1.10771,50,5.96805,4.94589,-133.76833,-5.29698,-9.33234,33.01591,-14.55131,BAY_BEA,TCU_HFG,Baylor,D1,BIG12,20260419-Baylor-1,de810650-3c1a-11f1-8c5c-21d3ff909ee2,91.16365,26.42579,,9.12888,,,,0.50209,2.72078,0.02987,a0c3d0ee-3d03-4d4b-b526-598df094fff1,2026-04-19,18:09:11.90,2026-04-19T13:09:11.9077888-05:00,2026-04-19T18:09:11.9077888Z,,v3,3033,5045,5d901e823e2d4fdb863cd02396e22a2d,"Kennett, JJ",831097,Right,BAY_BEA,346fbe44-909b-47a5-a8f2-441b2d22cd81,54.35327,-134.8385,16.50795,6.13211,-4.82532,-7.27565,-1.27293,5.24838,-4.66617,,0.50209,-83.31532,6.98793,0.27482,-0.06669,0.0499,-0.01376,0.00319,-0.00071,2.72078,51.0537,-24.44998,2.84833,-0.57001,0.13517,-0.02571,0.00579,-0.00102,0.02987,56.0852,-15.7158,2.43103,-0.53246,0.10718,-0.02018,0.0045,-0.00067,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
