PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-19,12:04:43.21,1,1,"Grant, Garrett",10179010,Right,FAU_OWL,"Wood, Tye",830559,Left,TUL_GRE,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.30816,-1.361625,-2.02443,2567.424573,245.351122,2:15,5.67095,1.90823,5.68193,-24.27489,10.41166,20.19068,2.37775,1.70289,82.29654,-5.879665,1.586289,0.423889,,,,,,,,,,,,-10.75453,6.03311,-1.75008,50,5.54111,3.72168,-131.02527,-3.9606,-18.61418,28.81118,-21.7318,FAU_OWL,TUL_GRE,FAUBaseballStadium,D1,AMER,20260419-FAUBaseballStadium-1,7b357830-3c09-11f1-ae03-39ed0a08d56c,88.92058,,,8.01162,,,,,,,c1df5f71-4f74-4772-bba5-d7e33c10b277,2026-04-19,16:04:43.21,2026-04-19T12:04:43.2180000-04:00,2026-04-19T16:04:43.2180000Z,,v3,339,471471,98821b49f73f468da222954f9f4e6813,"Gramesty, TJ",813124,Right,FAU_OWL,04538c27-4caa-48d8-a068-997f1e41186e,54.81722,-132.08028,14.40559,5.67157,-3.16483,-10.8659,-1.89884,4.4033,-9.30709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-19,12:04:57.96,1,2,"Grant, Garrett",10179010,Right,FAU_OWL,"Wood, Tye",830559,Left,TUL_GRE,Undefined,1,Top,0,1,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,77.9096,0.469611,-4.142509,2322.318719,244.156731,2:15,5.51355,1.86577,6.06978,-35.52655,10.30658,18.27233,2.98873,-0.4517,71.30425,-6.152035,-0.861861,0.48726,,,,,,,,,,,,-10.51859,5.62953,-1.55378,50,5.53113,7.51582,-112.9663,-0.09677,-13.60461,20.4044,-24.89289,FAU_OWL,TUL_GRE,FAUBaseballStadium,D1,AMER,20260419-FAUBaseballStadium-1,840ef120-3c09-11f1-ae03-39ed0a08d56c,77.35584,,,6.60535,,,,,,,c1df5f71-4f74-4772-bba5-d7e33c10b277,2026-04-19,16:04:57.96,2026-04-19T12:04:57.9640000-04:00,2026-04-19T16:04:57.9640000Z,,v3,339,471471,98821b49f73f468da222954f9f4e6813,"Gramesty, TJ",813124,Right,FAU_OWL,8af282ea-51d5-443c-b846-e107e67c07a6,54.43031,-113.76371,10.2022,5.51591,0.87604,-12.44645,-1.85788,8.04749,-6.80231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-19,12:05:12.76,1,3,"Grant, Garrett",10179010,Right,FAU_OWL,"Wood, Tye",830559,Left,TUL_GRE,Undefined,1,Top,0,1,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,77.17671,2.581309,-1.213017,2757.60843,70.146565,8:15,5.58313,1.96665,5.38749,-53.07771,-5.33229,-18.67344,3.58164,-0.72661,71.04652,-7.069218,-4.529804,0.497322,,,,,,,,,,,,9.00666,-2.90394,-1.84485,50,5.77666,3.10529,-112.02747,3.24106,11.46336,19.94967,-35.8701,FAU_OWL,TUL_GRE,FAUBaseballStadium,D1,AMER,20260419-FAUBaseballStadium-1,8cda3940-3c09-11f1-ae03-39ed0a08d56c,75.79089,,,6.1302,,,,,,,c1df5f71-4f74-4772-bba5-d7e33c10b277,2026-04-19,16:05:12.76,2026-04-19T12:05:12.7620000-04:00,2026-04-19T16:05:12.7620000Z,,v3,339,471471,98821b49f73f468da222954f9f4e6813,"Gramesty, TJ",813124,Right,FAU_OWL,8696d89c-9da5-4ab9-b80b-0205549aed3f,55.11562,-112.93477,9.97483,5.59216,4.87243,-17.93505,-1.97422,2.58393,5.73168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-19,12:05:27.75,1,4,"Grant, Garrett",10179010,Right,FAU_OWL,"Wood, Tye",830559,Left,TUL_GRE,Undefined,1,Top,0,2,1,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.79652,-1.927486,-3.017249,2601.172775,234.93399,1:45,5.69806,1.8208,5.72934,-20.71544,13.54438,17.68576,2.17346,0.48193,82.78805,-5.809831,0.144283,0.421273,75.42888,6.43925,-168.570505,1247.672307,,,,60.94562,52.00188,-172.528643,0.540881,-9.66839,7.75682,-1.57888,50,5.52432,6.1139,-131.5869,-5.11904,-16.92753,28.29727,-18.59332,FAU_OWL,TUL_GRE,FAUBaseballStadium,D1,AMER,20260419-FAUBaseballStadium-1,95d40b70-3c09-11f1-ae03-39ed0a08d56c,89.47266,3.22603,,8.00847,,,,,,,c1df5f71-4f74-4772-bba5-d7e33c10b277,2026-04-19,16:05:27.75,2026-04-19T12:05:27.7520000-04:00,2026-04-19T16:05:27.7520000Z,GroundBall,v3,339,471471,98821b49f73f468da222954f9f4e6813,"Gramesty, TJ",813124,Right,FAU_OWL,38baf93f-9f45-4108-807a-8423c6a69309,54.76745,-132.60816,14.14864,5.69696,-4.448,-9.29666,-1.81056,6.72482,-8.46376,46.578747,-2.3704,-108.37778,1.83371,,,,,,,1.94776,12.22418,-29.28406,,,,,,,-0.39654,-21.70522,14.40776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
5,2026-04-19,12:05:46.49,1,5,"Grant, Garrett",10179010,Right,FAU_OWL,"Wood, Tye",830559,Left,TUL_GRE,Undefined,1,Top,0,2,2,Slider,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,78.13221,0.648967,-2.044681,2809.801124,52.990675,7:45,5.532,1.9726,5.45385,-54.55519,-8.04122,-12.52036,1.59368,-0.9857,72.18309,-9.233535,-4.275059,0.490866,,,,,,,,,,,,5.76296,-3.85122,-1.78324,50,5.55144,4.53208,-113.47141,-0.57421,7.50604,20.96277,-37.19012,FAU_OWL,TUL_GRE,FAUBaseballStadium,D1,AMER,20260419-FAUBaseballStadium-1,a0fa0c70-3c09-11f1-ae03-39ed0a08d56c,76.78763,,,5.94912,,,,,,,c1df5f71-4f74-4772-bba5-d7e33c10b277,2026-04-19,16:05:46.49,2026-04-19T12:05:46.4900000-04:00,2026-04-19T16:05:46.4900000Z,,v3,339,471471,98821b49f73f468da222954f9f4e6813,"Gramesty, TJ",813124,Right,FAU_OWL,91632ac6-9281-4640-8303-cc4450cebad8,55.04975,-114.4005,10.48138,5.54037,1.07409,-18.59506,-1.97673,4.1994,3.75302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.32379,2.750815,1.122202,1.628613,0.01649,1.36195,1.09109,-4.15544,3.86639,1.12046,80.84608,6.3634,-43.95019,-3.99284,58.64023,-4.0234,4.08634,26.16967,-15.21161,0.99627,-31.9004,2.64401,High,High,High,,,High,High,High
6,2026-04-19,12:06:20.28,2,1,"Grant, Garrett",10179010,Right,FAU_OWL,"Wachs, Jason",832160,Left,TUL_GRE,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.91629,-0.487206,-3.557102,2563.435022,221.863472,1:30,5.78396,1.898,5.93132,-16.7821,16.60206,13.83993,3.93253,-0.25325,83.07989,-3.698504,-1.077862,0.415855,,,,,,,,,,,,-8.0989,8.96418,-1.62098,50,5.73545,7.65723,-133.17274,-1.62704,-14.41834,30.91336,-16.21528,FAU_OWL,TUL_GRE,FAUBaseballStadium,D1,AMER,20260419-FAUBaseballStadium-1,b50df8c0-3c09-11f1-ae03-39ed0a08d56c,90.63847,,,8.83641,,,,,,,c1df5f71-4f74-4772-bba5-d7e33c10b277,2026-04-19,16:06:20.28,2026-04-19T12:06:20.2870000-04:00,2026-04-19T16:06:20.2870000Z,,v3,339,471471,98821b49f73f468da222954f9f4e6813,"Gramesty, TJ",813124,Right,FAU_OWL,ef3433ab-cf2a-4f9d-bf2c-4a0166bdaae1,54.56587,-134.22843,15.45668,5.78156,-1.07329,-8.10764,-1.89088,8.14962,-7.20917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-19,12:06:36.53,2,2,"Grant, Garrett",10179010,Right,FAU_OWL,"Wachs, Jason",832160,Left,TUL_GRE,Undefined,1,Top,1,1,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,78.23038,1.614084,-0.41753,2829.543588,58.029147,8:00,5.49883,2.02085,5.3316,-54.74916,-8.1291,-15.31111,2.45131,0.35316,71.96076,-8.315159,-3.140375,0.491426,,,,,,,,,,,,7.53977,-4.06595,-1.97182,50,5.6052,1.43891,-113.61267,1.2816,9.83978,21.11259,-37.48033,FAU_OWL,TUL_GRE,FAUBaseballStadium,D1,AMER,20260419-FAUBaseballStadium-1,bed5f060-3c09-11f1-ae03-39ed0a08d56c,76.70018,,,6.26963,,,,,,,c1df5f71-4f74-4772-bba5-d7e33c10b277,2026-04-19,16:06:36.53,2026-04-19T12:06:36.5300000-04:00,2026-04-19T16:06:36.5300000Z,,v3,339,471471,98821b49f73f468da222954f9f4e6813,"Gramesty, TJ",813124,Right,FAU_OWL,8a4b208d-b85d-4502-aa78-97146f6cc701,55.17157,-114.56967,10.55629,5.5086,2.98052,-18.74016,-2.02693,0.99289,4.91989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-19,12:06:54.52,2,3,"Grant, Garrett",10179010,Right,FAU_OWL,"Wachs, Jason",832160,Left,TUL_GRE,Undefined,1,Top,1,1,1,ChangeUp,Changeup,InPlay,Undefined,FlyBall,HomeRun,0,1,,79.06069,-0.187942,-2.718413,2240.872696,236.303431,2:00,5.53827,1.99936,5.95089,-33.66372,11.77922,15.11446,2.55845,0.73575,71.15514,-6.505867,-0.004338,0.485182,102.89157,25.501602,18.36187,2468.835263,103.12762,51.53311,38.27124,384.89259,375.93189,26.321336,4.980427,-8.66878,6.58548,-1.79152,50,5.50468,4.87081,-114.55832,-1.35802,-11.29664,24.98877,-23.59223,FAU_OWL,TUL_GRE,FAUBaseballStadium,D1,AMER,20260419-FAUBaseballStadium-1,c9890b50-3c09-11f1-ae03-39ed0a08d56c,77.68724,77.58693,,7.90556,,,,1.88079,2.6156,-0.72782,c1df5f71-4f74-4772-bba5-d7e33c10b277,2026-04-19,16:06:54.52,2026-04-19T12:06:54.5280000-04:00,2026-04-19T16:06:54.5280000Z,FlyBall,v3,339,471471,98821b49f73f468da222954f9f4e6813,"Gramesty, TJ",813124,Right,FAU_OWL,14490eaa-ba8c-4c33-9edb-8d46ff341882,54.5469,-115.54589,12.49438,5.53993,-0.42565,-11.79611,-1.99283,5.31725,-5.64832,205.500153,1.88251,129.23418,-29.68515,7.53189,-1.54711,0.2538,-0.03291,0.00316,-0.00015,2.61654,64.94811,-13.48131,-1.27964,0.8886,-0.3161,0.07133,-0.00875,0.00043,-0.72819,42.91657,-1.60885,-0.51863,0.26312,-0.0603,0.00777,-0.00051,1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2026-04-19,12:07:43.81,3,1,"Grant, Garrett",10179010,Right,FAU_OWL,"Haas, Matthias",809920,Right,TUL_GRE,Undefined,1,Top,1,0,0,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.16335,-1.397097,-3.114058,2503.89322,226.511653,1:30,5.63051,1.91999,5.66581,-19.57611,14.6693,14.21528,2.69426,0.19804,82.60008,-5.087556,-0.577421,0.421185,66.8555,40.769579,127.683598,5065.273566,,,,,49.19919,,,-8.16426,8.21402,-1.6658,50,5.50012,6.55286,-132.09075,-3.86904,-14.30339,30.3439,-17.78351,FAU_OWL,TUL_GRE,FAUBaseballStadium,D1,AMER,20260419-FAUBaseballStadium-1,e6e0f230-3c09-11f1-ae03-39ed0a08d56c,89.49146,36.6539,,8.56327,,,,1.16891,2.67757,-0.04806,c1df5f71-4f74-4772-bba5-d7e33c10b277,2026-04-19,16:07:43.81,2026-04-19T12:07:43.8150000-04:00,2026-04-19T16:07:43.8150000Z,,v3,339,471471,98821b49f73f468da222954f9f4e6813,"Gramesty, TJ",813124,Right,FAU_OWL,861d8e9b-4055-4e76-b0d9-9bf7cb0a9d87,54.83334,-133.19643,15.17195,5.6293,-3.22103,-8.89175,-1.91407,7.07406,-7.15169,,1.16891,-45.39527,-1.14414,1.38591,-0.64107,-0.31745,2.352,-3.11933,1.34973,2.67758,64.03142,-25.51053,2.78627,-0.46015,-0.03439,0.08023,0.00135,-0.02251,-0.04806,58.77041,-11.88376,3.21249,-0.82868,-0.67171,3.33098,-4.1735,1.76247,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
10,2026-04-19,12:08:03.82,3,2,"Grant, Garrett",10179010,Right,FAU_OWL,"Haas, Matthias",809920,Right,TUL_GRE,Undefined,1,Top,1,0,1,Cutter,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,83.93664,-0.356734,-3.498902,2361.456316,163.259627,11:30,5.51077,1.97285,5.81086,-30.90521,8.58063,-2.24689,2.60298,-1.47213,77.69096,-6.052904,-3.900266,0.452264,,,,,,,,,,,,0.2785,4.82721,-1.68432,50,5.46299,7.53877,-121.83788,-1.77044,0.42305,21.58341,-24.8418,FAU_OWL,TUL_GRE,FAUBaseballStadium,D1,AMER,20260419-FAUBaseballStadium-1,f2c78410-3c09-11f1-ae03-39ed0a08d56c,83.34164,,,6.24569,,,,,,,c1df5f71-4f74-4772-bba5-d7e33c10b277,2026-04-19,16:08:03.82,2026-04-19T12:08:03.8290000-04:00,2026-04-19T16:08:03.8290000Z,,v3,339,471471,98821b49f73f468da222954f9f4e6813,"Gramesty, TJ",813124,Right,FAU_OWL,9062d2c3-4810-4ba4-89da-1a598b7f9ad3,54.68945,-122.6658,10.79171,5.51262,-0.81754,-12.4209,-1.97319,7.52254,0.21153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
