PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-19,13:06:26.23,1,1,"McAlinden, Shane",10049698,Right,CSU_BAK,"Nahaku, Kamana",1000310793,Right,HAW_WAR,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.7426,-2.809806,-3.78832,2012.304963,202.761519,12:45,5.96494,1.93028,5.9994,-18.57013,17.87615,6.98835,1.80604,-1.00279,80.02601,-6.328989,-2.53552,0.434508,,,,,,,,,,,,-4.7163,10.38871,-1.63575,50,5.73311,8.13255,-127.05677,-6.78454,-7.67913,26.99573,-15.25901,CSU_BAK,HAW_WAR,HardtField,D1,BW,20260419-HardtField-1,0a55a000-3c2b-11f1-a887-41c337d365ba,86.74738,,,7.7166,,,,,,,d2643341-ee68-4ae9-8a51-847752154bce,2026-04-19,20:06:26.23,2026-04-19T13:06:26.2346752-07:00,2026-04-19T20:06:26.2346752Z,,v3,471252,471311,4b9a636cde124ef0830013a891c4792f,"Morisaki, Kanoa",1000294158,Right,CSU_BAK,eb92ed6d-012e-44f7-aefd-df2391db22ad,54.49989,-128.00929,13.49786,5.963,-6.24614,-7.6295,-1.92748,8.4035,-3.83956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-19,13:06:45.46,1,2,"McAlinden, Shane",10049698,Right,CSU_BAK,"Nahaku, Kamana",1000310793,Right,HAW_WAR,Undefined,1,Top,0,0,1,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,,88.8166,-1.968609,-2.860095,2159.562893,203.932173,12:45,5.98471,1.90292,5.92702,-16.55068,19.17718,7.96146,2.77586,-0.08964,80.52497,-5.139661,-1.432689,0.430204,99.47848,11.745884,-12.328689,2131.025933,106.99885,13.52158,-25.51657,189.4866,152.19786,-14.143756,1.677205,-4.95197,10.79335,-1.67865,50,5.81784,6.09684,-128.72012,-4.89101,-8.2375,28.84436,-14.21956,CSU_BAK,HAW_WAR,HardtField,D1,BW,20260419-HardtField-1,15ccf550-3c2b-11f1-a887-41c337d365ba,87.61521,13.71501,,8.29163,,,,1.11246,2.69369,0.12491,d2643341-ee68-4ae9-8a51-847752154bce,2026-04-19,20:06:45.46,2026-04-19T13:06:45.4685184-07:00,2026-04-19T20:06:45.4685184Z,LineDrive,v3,471252,471311,4b9a636cde124ef0830013a891c4792f,"Morisaki, Kanoa",1000294158,Right,CSU_BAK,ea5815e6-5821-486b-84c3-28dc504f806e,54.57077,-129.74032,14.42218,5.98194,-4.38808,-7.10978,-1.89945,6.38819,-4.11875,88.965799,1.11245,139.55324,-24.91255,5.56279,-1.44745,0.55542,-0.28397,0.10086,-0.01529,2.69369,29.70112,-21.45289,2.18249,-0.38831,0.02465,0.0348,-0.01833,0.00315,0.12491,-30.49956,0.48832,1.30701,-0.65862,0.38768,-0.22956,0.08554,-0.01326,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2026-04-19,13:07:29.15,2,1,"McAlinden, Shane",10049698,Right,CSU_BAK,"Zeigler-Namoa, Ben",823772,Left,HAW_WAR,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.59437,-0.087073,-2.666947,2061.014744,213.453723,1:00,5.87335,2.14386,6.03233,-21.1945,14.36737,8.72335,4.02642,0.39932,80.58444,-4.097221,-1.099489,0.429204,,,,,,,,,,,,-5.24063,7.76024,-1.94,50,5.85505,5.62348,-128.55818,-0.83773,-8.73644,27.61663,-19.23728,CSU_BAK,HAW_WAR,HardtField,D1,BW,20260419-HardtField-1,2fd22ec0-3c2b-11f1-a887-41c337d365ba,87.8194,,,8.00993,,,,,,,d2643341-ee68-4ae9-8a51-847752154bce,2026-04-19,20:07:29.15,2026-04-19T13:07:29.1558912-07:00,2026-04-19T20:07:29.1558912Z,,v3,471252,471311,4b9a636cde124ef0830013a891c4792f,"Morisaki, Kanoa",1000294158,Right,CSU_BAK,6afe3117-17cb-4ebc-80ea-584f594fa448,54.46513,-129.51382,13.80831,5.87252,-0.17205,-9.61864,-2.13982,5.92579,-4.36822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-19,13:07:49.69,2,2,"McAlinden, Shane",10049698,Right,CSU_BAK,"Zeigler-Namoa, Ben",823772,Left,HAW_WAR,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.08207,-2.296586,-3.098731,2048.676977,202.562734,12:45,5.71784,2.20053,6.11949,-17.91426,18.09958,7.01107,2.09751,-0.08284,80.09535,-5.715772,-1.837507,0.431923,,,,,,,,,,,,-4.55146,10.40087,-1.96664,50,5.53229,6.62932,-127.67165,-5.62299,-7.46292,27.90224,-15.11998,CSU_BAK,HAW_WAR,HardtField,D1,BW,20260419-HardtField-1,3c15d4c0-3c2b-11f1-a887-41c337d365ba,87.26661,,,7.98672,,,,,,,d2643341-ee68-4ae9-8a51-847752154bce,2026-04-19,20:07:49.69,2026-04-19T13:07:49.6925696-07:00,2026-04-19T20:07:49.6925696Z,,v3,471252,471311,4b9a636cde124ef0830013a891c4792f,"Morisaki, Kanoa",1000294158,Right,CSU_BAK,a88582f1-1e62-438f-9f2a-6d4ab2a2c0ec,54.37884,-128.62508,13.95112,5.7156,-5.10634,-7.55999,-2.19752,6.88433,-3.73146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-19,13:08:09.34,2,3,"McAlinden, Shane",10049698,Right,CSU_BAK,"Zeigler-Namoa, Ben",823772,Left,HAW_WAR,Undefined,1,Top,0,1,1,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,71.08958,2.438555,-1.028463,2499.371537,29.288177,7:00,5.76246,2.2485,5.15623,-76.03166,-17.69804,-11.17501,1.72373,0.34902,64.23511,-11.311859,-3.012675,0.549706,,,,,,,,,,,,5.18827,-9.0602,-2.14344,50,5.93185,2.26525,-102.92399,1.88322,5.4067,21.62049,-41.61566,CSU_BAK,HAW_WAR,HardtField,D1,BW,20260419-HardtField-1,47db7120-3c2b-11f1-a887-41c337d365ba,68.56831,,,6.85447,,,,,,,d2643341-ee68-4ae9-8a51-847752154bce,2026-04-19,20:08:09.34,2026-04-19T13:08:09.3469696-07:00,2026-04-19T20:08:09.3469696Z,,v3,471252,471311,4b9a636cde124ef0830013a891c4792f,"Morisaki, Kanoa",1000294158,Right,CSU_BAK,3b196ae9-7a64-4af8-a7f4-259d1e96ed15,55.3462,-104.04096,10.81025,5.77902,4.0332,-20.80783,-2.25325,1.98592,2.70335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-19,13:08:29.65,2,4,"McAlinden, Shane",10049698,Right,CSU_BAK,"Zeigler-Namoa, Ben",823772,Left,HAW_WAR,Undefined,1,Top,0,1,2,Fastball,Four-Seam,InPlay,Undefined,Popup,Out,1,0,,88.7826,-1.613641,-3.852539,2142.385512,212.996802,1:00,6.01856,2.15522,6.01377,-16.5632,19.47973,11.76272,3.13969,-0.43879,79.63565,-4.818727,-1.743429,0.432097,88.64733,62.108633,9.895877,,109.97665,151.92347,-2.26303,163.88571,72.42313,-3.369365,6.196188,-7.38178,10.96638,-1.85923,50,5.88293,8.16702,-128.47946,-4.07188,-12.09871,31.44652,-14.20021,CSU_BAK,HAW_WAR,HardtField,D1,BW,20260419-HardtField-1,53df9d20-3c2b-11f1-a887-41c337d365ba,87.23139,157.08678,,9.14696,,,,1.44097,3.25604,0.39331,d2643341-ee68-4ae9-8a51-847752154bce,2026-04-19,20:08:29.65,2026-04-19T13:08:29.6514560-07:00,2026-04-19T20:08:29.6514560Z,FlyBall,v3,471252,471311,4b9a636cde124ef0830013a891c4792f,"Morisaki, Kanoa",1000294158,Right,CSU_BAK,4d0303b8-c3c4-47ef-a729-34161603a680,54.48411,-129.57234,15.72326,6.01587,-3.57837,-7.10011,-2.15037,8.5875,-6.04936,168.923302,1.44465,59.83475,-18.50931,4.85503,-0.61541,-0.04474,0.03027,-0.00428,0.00021,3.23068,115.3025,-28.07338,4.39456,-1.44781,0.40134,-0.0693,0.00624,-0.00022,0.38749,10.53493,-8.50659,2.99759,-0.70414,0.10688,-0.00805,2E-05,2E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
7,2026-04-19,13:09:13.10,3,1,"McAlinden, Shane",10049698,Right,CSU_BAK,"Shimao, Tate",809935,Right,HAW_WAR,Undefined,1,Top,1,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,68.25069,5.702577,-0.174105,2187.630542,51.071008,7:45,5.807,1.91105,4.97316,-72.44114,-9.76882,-14.53698,5.17434,0.53519,62.27371,-7.374016,-2.732515,0.569783,,,,,,,,,,,,7.07292,-5.76331,-1.88177,50,6.30005,0.83676,-98.62607,7.52611,6.95348,15.96138,-37.84003,CSU_BAK,HAW_WAR,HardtField,D1,BW,20260419-HardtField-1,6dd8efb0-3c2b-11f1-a887-41c337d365ba,66.1523,,,5.97698,,,,,,,d2643341-ee68-4ae9-8a51-847752154bce,2026-04-19,20:09:13.10,2026-04-19T13:09:13.1070464-07:00,2026-04-19T20:09:13.1070464Z,,v3,471252,471311,4b9a636cde124ef0830013a891c4792f,"Morisaki, Kanoa",1000294158,Right,CSU_BAK,34f11ed6-8205-448e-b449-a44254a55a65,55.52991,-99.51699,7.98069,5.82101,9.63824,-18.92002,-1.91765,0.44863,3.47674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-19,13:09:36.69,3,2,"McAlinden, Shane",10049698,Right,CSU_BAK,"Shimao, Tate",809935,Right,HAW_WAR,Undefined,1,Top,1,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.23306,-2.444298,-3.769167,2071.428432,208.982314,1:00,5.94275,1.98843,6.12818,-16.83914,19.21127,9.93567,2.2738,-0.67272,79.91573,-5.679983,-1.983549,0.432142,81.20242,38.038569,58.336945,5271.604534,46.52173,64.8994,99.67802,266.84834,128.49942,74.195207,4.268026,-6.2863,11.04276,-1.70501,50,5.74667,8.01084,-127.74572,-5.91087,-10.28586,28.73125,-14.10551,CSU_BAK,HAW_WAR,HardtField,D1,BW,20260419-HardtField-1,7bd7da40-3c2b-11f1-a887-41c337d365ba,87.22236,71.0865,,8.31733,,,,0.84644,2.20041,0.92593,d2643341-ee68-4ae9-8a51-847752154bce,2026-04-19,20:09:36.69,2026-04-19T13:09:36.6947840-07:00,2026-04-19T20:09:36.6947840Z,FlyBall,v3,471252,471311,4b9a636cde124ef0830013a891c4792f,"Morisaki, Kanoa",1000294158,Right,CSU_BAK,0ab2ad87-a373-450e-b29b-973f48a600ba,54.36948,-128.7247,14.36562,5.93989,-5.43024,-7.05276,-1.98394,8.36132,-5.14293,,0.85959,48.90634,-14.24115,0.65865,2.45679,-1.63107,0.51024,-0.08129,0.00526,2.20065,73.37576,-22.5622,1.99555,-0.18867,-0.06925,0.03803,-0.00697,0.00046,0.92571,79.84389,-7.01792,0.92125,-0.19196,0.07224,-0.02354,0.00396,-0.00025,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
9,2026-04-19,13:10:21.52,3,3,"McAlinden, Shane",10049698,Right,CSU_BAK,"Shimao, Tate",809935,Right,HAW_WAR,Undefined,1,Top,1,1,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,70.33344,4.00856,-0.946935,2409.146764,42.721693,7:30,5.8088,1.93898,4.92905,-72.82165,-13.79091,-14.47922,3.53631,-0.16283,64.40128,-9.097217,-3.498435,0.552981,,,,,,,,,,,,6.8304,-7.35996,-1.83417,50,6.13884,2.23282,-101.86075,4.70324,7.13306,17.67279,-39.86014,CSU_BAK,HAW_WAR,HardtField,D1,BW,20260419-HardtField-1,96aa27b0-3c2b-11f1-a887-41c337d365ba,68.16222,,,5.93216,,,,,,,d2643341-ee68-4ae9-8a51-847752154bce,2026-04-19,20:10:21.52,2026-04-19T13:10:21.5236096-07:00,2026-04-19T20:10:21.5236096Z,,v3,471252,471311,4b9a636cde124ef0830013a891c4792f,"Morisaki, Kanoa",1000294158,Right,CSU_BAK,3821b31f-5214-454a-a455-6d4fb0e75451,55.57514,-102.82349,8.8364,5.82348,6.87465,-19.93007,-1.94522,1.84424,3.56653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-19,13:10:44.96,3,4,"McAlinden, Shane",10049698,Right,CSU_BAK,"Shimao, Tate",809935,Right,HAW_WAR,Undefined,1,Top,1,2,1,Curveball,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,70.687,2.48972,-1.266163,2380.461548,33.641461,7:00,5.79361,2.03121,4.74496,-74.13689,-15.03859,-11.33898,1.97911,-0.11487,64.66603,-10.789913,-3.262124,0.553298,69.61848,-26.347465,-67.543887,,,,,6.35542,6.17791,-39.887689,0.049982,5.21902,-7.77099,-1.89303,50,5.97751,2.68955,-102.41256,1.94709,5.46777,19.05196,-40.31544,CSU_BAK,HAW_WAR,HardtField,D1,BW,20260419-HardtField-1,a499a8f0-3c2b-11f1-a887-41c337d365ba,68.12324,2.2725,,6.02097,,,,3.12384,2.2725,0.16492,d2643341-ee68-4ae9-8a51-847752154bce,2026-04-19,20:10:44.96,2026-04-19T13:10:44.9650176-07:00,2026-04-19T20:10:44.9650176Z,GroundBall,v3,471252,471311,4b9a636cde124ef0830013a891c4792f,"Morisaki, Kanoa",1000294158,Right,CSU_BAK,1422327c-a75a-4f45-a222-16d90a694037,55.75922,-103.47841,9.52598,5.8055,4.20251,-20.15772,-2.03494,2.38366,2.73388,180,3.12291,35.06661,,,,,,,,2.27371,-45.46666,,,,,,,,0.16718,-84.84203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
